@relation 'FEATURE_VALUES-SAT12-ALL-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 3'

@attribute TRINARYp numeric
@attribute VCG_CLAUSE_entropy numeric
@attribute cl_num_min numeric
@attribute algorithm {ebglucose,ebminisat,glucose2,glueminisat,lingeling,lrglshr,minisatpsm,mphaseSAT64,precosat,qutersat,rcl,restartsat,cryptominisat2011,spear-sw,spear-hw,eagleup,sparrow,marchrw,mphaseSATm,satime11,tnm,mxc09,gnoveltyp2,sattime,sattimep,clasp2,clasp1,picosat,mphaseSAT,sapperlot,sol,allfair}

@data
0.8663,1.0139,392,glucose2
0,0,4463,marchrw
0.0976,2.5695,192,glueminisat
0,0.0081,1330,mxc09
0.9401,0.9809,0,mphaseSAT
0.5335,0.9209,75,precosat
0.8711,1.0378,0,qutersat
0.9665,0.1513,7,eagleup
0.8754,1.0292,179,ebglucose
0.6915,1.0652,458,glueminisat
1,0,4208,mphaseSAT64
1,0,4365,mphaseSAT64
0.0192,1.2847,199,mxc09
0.6767,1.0487,521,picosat
0,0,0,gnoveltyp2
0.9049,1.0214,139,glueminisat
0.892,1.0132,123,ebglucose
0.9489,0.2069,3829,marchrw
0.9586,0.1802,64,eagleup
0.7797,1.1781,32,glueminisat
0.5428,0.9027,85,mphaseSAT
0.9752,0.1183,3635,tnm
0,0,29,sparrow
0,0,4356,eagleup
0.9545,0.1925,3701,gnoveltyp2
0.5987,1.3248,1135,picosat
0.7046,1.0297,8,ebglucose
0.9369,0.5897,0,lrglshr
0.5341,1.7058,212,lrglshr
0.3863,1.2058,4224,mxc09
0.968,0.1508,80,eagleup
0.4701,1.6197,140,glucose2
0.9656,0.1572,94,tnm
0.9711,0.131,3778,sparrow
0.737,1.0876,515,glueminisat
0.8435,1.1396,185,mphaseSAT64
0.9527,0.3071,40,lingeling
0.2054,0.6185,641,mphaseSAT64
0.9702,0.134,3769,eagleup
0,0,4398,mphaseSATm
0,0,28,sparrow
0.94,0.979,0,qutersat
0.576,1.234,774,glueminisat
0.9628,0.1639,3851,eagleup
0,0,4041,sparrow
0.9304,0.2785,397,sattime
0.5987,1.3246,1027,rcl
0.4966,1.8531,60,mphaseSAT
0.8865,0.4319,2653,sparrow
0,0,4299,sparrow
0.8831,0.856,3179,sparrow
0.0896,2.5543,268,glueminisat
0.9251,0.2813,4025,marchrw
0.9634,0.1599,3858,gnoveltyp2
0.841,1.1497,2629,glueminisat
0.9506,0.4028,493,lrglshr
0.7774,1.1596,402,cryptominisat2011
0.9708,0.1338,2230,satime11
0.9655,0.1527,7,sparrow
0.1722,2.62,772,cryptominisat2011
0.7509,1.6739,0,minisatpsm
0.5641,1.2493,1300,marchrw
0,0,3980,mphaseSAT64
0.97,0.1658,747,sol
0.0031,0.0472,102,clasp2
0.9134,0.2947,4794,ebminisat
0,0,4465,marchrw
1,0.0131,4318,mphaseSATm
0.9386,0.9909,0,mphaseSAT64
0.7605,1.3986,0,glueminisat
1,0,4360,mphaseSAT64
0.896,1.0107,30,lingeling
0.9251,0.5951,22,allfair
0.9773,0.1084,3774,eagleup
0.9827,0.0873,4009,marchrw
0.9268,0.4592,395,sparrow
0.9384,0.394,333,spear-sw
0,0.0837,4682,glucose2
0.0021,1.8653,45,precosat
0.98,0.0979,0,ebminisat
0.752,1.3282,1031,glucose2
0.8873,0.5153,0,qutersat
0,0,29,sparrow
0.473,1.3365,372,glueminisat
0.97,0.1347,3670,sparrow
0.9651,0.1535,32,mphaseSAT64
0.5428,0.9027,85,mphaseSAT
0.8676,1.0251,223,qutersat
0.0075,0.4757,4438,marchrw
0.5427,0.9028,107,picosat
0.6081,1.3083,969,lrglshr
1,0,4042,picosat
0.5335,0.9209,75,precosat
0,0,4109,sparrow
0.0361,0.6975,4125,picosat
0.1818,0.4741,2565,mphaseSAT64
?,?,?,cryptominisat2011
0.9673,0.1481,25,eagleup
0,0,4256,gnoveltyp2
0.9654,0.1554,1,sparrow
0.0138,0.0943,165,clasp2
0.8809,0.5398,0,glueminisat
0.9753,0.12,3868,marchrw
0.824,1.0721,2598,sol
0,0,0,spear-sw
0.8494,1.2545,0,glueminisat
0.9699,0.1643,324,sol
0,0,4239,gnoveltyp2
0.9628,0.1638,8,eagleup
0.9656,0.1498,3800,satime11
0.9684,0.1482,3562,gnoveltyp2
0.926,0.2854,204,sattimep
0.8699,1.0826,0,qutersat
0,0,4422,eagleup
0,0,3927,mphaseSAT64
0.9888,0.0613,3861,marchrw
0.7895,0.5147,4751,marchrw
0.4583,1.6331,111,glucose2
0,0,60,sattime
0.9031,1.0111,81,cryptominisat2011
0.0315,1.4948,3552,mxc09
0.8678,0.3906,0,ebminisat
0.8869,0.8634,3884,marchrw
0.6927,1.0617,433,glueminisat
0,0,4545,marchrw
0.5653,1.1176,1568,glueminisat
0.8911,0.5773,1620,restartsat
0.6944,1.0575,92,glueminisat
0,0,4101,sparrow
0.797,1.0757,2796,cryptominisat2011
0.8024,1.1484,312,sparrow
0.9647,0.1561,4,sparrow
0.891,1.0233,1347,qutersat
0.9564,0.1875,3767,satime11
0.9536,0.1907,3738,marchrw
1,0,4307,mphaseSAT64
1,0,4365,mphaseSAT64
1,0,4246,mphaseSAT64
0.888,1.0342,9,picosat
1,0,3732,clasp1
1,0,3940,clasp1
0.9988,0.0975,1380,lrglshr
0.8449,0.4834,4609,mxc09
0.9091,0.3046,4855,sol
0.9019,1.0223,75,glueminisat
0.9711,0.131,3879,eagleup
0.5407,0.9021,136,precosat
0.4888,1.8766,49,restartsat
0.7097,1.3882,1217,lingeling
0.8544,1.0473,9,lingeling
0.9636,0.1628,4,sparrow
0.0876,2.1532,1128,glueminisat
0.9627,0.1657,1,sparrow
0,0.8555,427,glucose2
0,0,4208,sparrow
0.9594,0.1699,4066,marchrw
