@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE FORALL_POS_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC
@ATTRIBUTE OCCP_OCCN NUMERIC
@ATTRIBUTE LITN_LIT NUMERIC
@ATTRIBUTE OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE POS_HORN NUMERIC
@ATTRIBUTE NEG_HORN_CLAUSE NUMERIC
@ATTRIBUTE TOTAL_VARS NUMERIC
@ATTRIBUTE EXIST_VARS NUMERIC
@ATTRIBUTE EXIST_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE WOCCEP_WOCC NUMERIC
@ATTRIBUTE WOCCN_WOCC NUMERIC
@ATTRIBUTE NEG_HORN NUMERIC
@ATTRIBUTE FORALL_VARS NUMERIC
@ATTRIBUTE LITEN_LITN NUMERIC
@ATTRIBUTE BINARY_CLAUSES NUMERIC
@ATTRIBUTE LITERALS NUMERIC
@ATTRIBUTE W_OCCS_FORALL_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE FORALL_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE WOCCEP_WOCCP NUMERIC
@ATTRIBUTE W_OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE OCCS_FORALL_NO_PER_VAR NUMERIC
@ATTRIBUTE LITEP_LIT NUMERIC
@ATTRIBUTE WOCCEP_WOCCE NUMERIC
@ATTRIBUTE TERNARY_MORE_CLAUSES NUMERIC
@ATTRIBUTE OCCE_OCC NUMERIC
@ATTRIBUTE OCCS_FORALL_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE OCCEN_OCCE NUMERIC
@ATTRIBUTE LITEN_LITE NUMERIC
@ATTRIBUTE OCCEN_OCC NUMERIC
@ATTRIBUTE LITFN_LIT NUMERIC
@ATTRIBUTE TERMORE_CLAUSE NUMERIC
@ATTRIBUTE W_OCCS_FORALL_NO_PER_VAR NUMERIC
@ATTRIBUTE W_PRODUCTS NUMERIC
@ATTRIBUTE OCCFP_OCCFN NUMERIC
@ATTRIBUTE OCCFP_OCCF NUMERIC
@ATTRIBUTE LITFP_LITFN NUMERIC
@ATTRIBUTE CLAUSES NUMERIC
@ATTRIBUTE WOCCFN_WOCCN NUMERIC
@ATTRIBUTE OCCEN_OCCN NUMERIC
@ATTRIBUTE FORALL_NEG_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE WOCCFN_WOCC NUMERIC
@ATTRIBUTE TOTAL_SET NUMERIC
@ATTRIBUTE UNARY_CLAUSES NUMERIC
@ATTRIBUTE EXIST_SET NUMERIC
@ATTRIBUTE FORALL_SET NUMERIC

@DATA
aim-100-6_0-yes1-3-90-shuffled,1,0.370066,361,0.668132,0.599473,2.958637,2134,0.501645,822,722,1.752467,0.246033,0.642655,1220,100,0.75,1833,6072,18,0.744243,0.688503,5.540146,18.1,0.252306,0.301841,599,0.799128,9,0.640544,0.640544,0.511877,0.149868,0.246299,36.2,18.908587,0.989011,0.497238,0.989011,2432,1.826667,0.853878,0.374178,1.173917,3,0,2,1
aim-100-6_0-yes1-4-90-shuffled,1,0.369852,361,0.668043,0.599505,2.952555,2135,0.500412,822,722,1.751236,0.246112,0.6427,1215,100,0.749518,1833,6060,17.96,0.744646,0.688811,5.53163,18.08,0.25231,0.301976,595,0.798832,8.98,0.640405,0.640405,0.511575,0.150165,0.245058,36.16,18.804709,0.986813,0.496681,0.986813,2428,1.829123,0.85333,0.374794,1.175578,3,0,2,1
aim-200-1_6-yes1-2-90-shuffled,1,0.360387,281,0.670829,0.598505,1.762467,1193,0.503351,762,562,1.760238,0.29806,0.642083,676,200,0.751748,1023,3345,4.84,0.730454,0.832761,3.292651,4.905,0.256801,0.305269,320,0.958231,2.42,0.636633,0.636633,0.610041,0.14858,0.238273,9.81,7.52847,0.973843,0.493374,0.973843,1343,0.8414,1.019274,0.370067,0.540248,3,0,2,1
aim-200-1_6-yes1-4-90-shuffled,1,0.359643,282,0.6715,0.598265,1.757853,1188,0.509308,764,564,1.760238,0.298532,0.641736,684,200,0.752,1026,3343,4.83,0.728965,0.833274,3.28534,4.895,0.257254,0.305864,317,0.957911,2.415,0.63621,0.63621,0.609433,0.14837,0.236039,9.79,7.475177,0.97379,0.493361,0.97379,1343,0.842847,1.018667,0.369322,0.540885,3,0,2,1
aim-200-2_0-yes1-2-90-shuffled,1,0.360961,322,0.669618,0.59894,1.971564,1469,0.504505,844,644,1.757958,0.287235,0.642685,840,200,0.750101,1266,4149,6.01,0.733934,0.803871,3.683649,6.11,0.256206,0.304779,399,0.924562,3.005,0.63683,0.63683,0.588788,0.149675,0.23964,12.22,8.704969,0.967794,0.491817,0.967794,1665,0.937275,0.983051,0.372973,0.602372,3,0,2,1
aim-200-3_4-yes1-1-90-shuffled,1,0.367207,459.5,0.668675,0.599278,2.479893,2431,0.505586,1119,919,1.754595,0.264326,0.642646,1403,200,0.75012,2097,6925,10.19,0.740901,0.739676,4.639857,10.28,0.253574,0.302774,678,0.85612,5.095,0.639351,0.639351,0.547361,0.149747,0.244324,20.56,12.536453,0.982642,0.495623,0.982642,2775,1.242801,0.913368,0.373694,0.798681,3,0,2,1
aim-200-3_4-yes1-4-90-shuffled,1,0.367398,461,0.668191,0.599452,2.475045,2453,0.50018,1122,922,1.753508,0.264035,0.642734,1390,200,0.75,2103,6933,10.21,0.741274,0.739045,4.634581,10.3,0.253281,0.302635,676,0.855337,5.105,0.639647,0.639647,0.547114,0.149863,0.243253,20.6,12.490239,0.982676,0.495631,0.982676,2779,1.246134,0.91269,0.373875,0.800933,3,0,2,1
aim-50-1_6-yes1-1-00-shuffled,1,0.262821,114,0.692308,0.590909,1.683453,431,0.549145,278,228,1.824786,0.310489,0.64147,257,50,0.752959,387,1144,4.92,0.619658,0.866003,3.053957,5.8,0.301573,0.337248,81,0.91021,2.46,0.596019,0.596019,0.542502,0.145979,0.173077,11.6,6.447368,0.736527,0.424138,0.736527,468,1.222541,0.918081,0.356838,0.784223,3,0,2,1
aim-50-1_6-yes1-1-90-shuffled,1,0.369369,69,0.671371,0.598311,1.771277,296,0.501502,188,138,1.753754,0.296293,0.640967,167,50,0.754032,252,829,4.92,0.735736,0.825251,3.319149,4.9,0.253317,0.302885,81,0.959704,2.46,0.640411,0.640411,0.614605,0.147165,0.243243,9.8,7.57971,1.008197,0.502041,1.008197,333,0.823555,1.027232,0.366366,0.527871,3,0,2,1
aim-50-1_6-yes1-2-00-shuffled,1,0.246253,114,0.692878,0.59071,1.679856,428,0.537473,278,228,1.82227,0.314491,0.64482,251,50,0.740356,387,1141,4.6,0.620985,0.885443,3.021583,5.8,0.308501,0.341737,80,0.909398,2.3,0.586369,0.586369,0.533243,0.153374,0.171306,11.6,6.355263,0.657143,0.396552,0.657143,467,1.276066,0.902715,0.374732,0.822833,3,0,2,1
aim-50-1_6-yes1-2-50-shuffled,1,0.288945,91,0.683849,0.593878,1.715517,359,0.515075,232,182,1.791457,0.308854,0.64513,205,50,0.738832,318,980,4.6,0.670854,0.87033,3.125,5.34,0.288776,0.328032,80,0.927428,2.3,0.603086,0.603086,0.559318,0.155102,0.201005,10.68,6.813187,0.756579,0.430712,0.756579,398,1.070228,0.941807,0.38191,0.690436,3,0,2,1
aim-50-1_6-yes1-3-00-shuffled,1,0.248927,114,0.693452,0.59051,1.676259,421,0.555794,278,228,1.824034,0.314658,0.643463,259,50,0.744048,387,1138,4.64,0.618026,0.88254,3.021583,5.76,0.307557,0.341573,79,0.910724,2.32,0.588235,0.588235,0.53572,0.151142,0.169528,11.52,6.368421,0.674419,0.402778,0.674419,466,1.261636,0.907216,0.369099,0.811817,3,0,2,1
aim-50-1_6-yes1-4-50-shuffled,1,0.31701,88,0.683099,0.594142,1.716814,352,0.525773,226,176,1.78866,0.303618,0.64006,204,50,0.755282,309,956,4.92,0.675258,0.843524,3.172566,5.24,0.277197,0.320845,79,0.932175,2.46,0.618156,0.618156,0.576229,0.145397,0.203608,10.48,6.903409,0.884892,0.469466,0.884892,388,0.985537,0.96985,0.358247,0.630803,3,0,2,1
aim-50-1_6-yes1-4-90-shuffled,1,0.371601,69,0.672764,0.597813,1.760638,295,0.501511,188,138,1.752266,0.296774,0.639629,166,50,0.756098,252,823,4.92,0.734139,0.823524,3.308511,4.86,0.252734,0.303226,79,0.960079,2.46,0.641379,0.641379,0.615775,0.145808,0.238671,9.72,7.521739,1.025,0.506173,1.025,331,0.817391,1.030046,0.362538,0.522827,3,0,2,1
aim-50-2_0-yes1-1-90-shuffled,1,0.363855,80,0.668821,0.599226,1.971429,363,0.510843,210,160,1.751807,0.286221,0.642692,212,50,0.749596,315,1033,6.04,0.737349,0.801048,3.690476,6.12,0.254598,0.303789,100,0.923705,3.02,0.638239,0.638239,0.589545,0.150048,0.240964,12.24,8.7,0.974194,0.493464,0.974194,415,0.934003,0.983845,0.373494,0.600277,3,0,2,1
aim-50-2_0-yes1-2-50-shuffled,1,0.3159,101,0.680912,0.594915,1.896825,422,0.541841,252,202,1.786611,0.293625,0.64187,259,50,0.750712,378,1180,6.04,0.682008,0.819883,3.496032,6.52,0.277119,0.320243,100,0.90287,3.02,0.617096,0.617096,0.557157,0.148305,0.209205,13.04,7.940594,0.862857,0.46319,0.862857,478,1.117163,0.936532,0.366109,0.717073,3,0,2,1
aim-50-2_0-yes1-3-90-shuffled,1,0.362981,80,0.670968,0.598456,1.980952,366,0.504808,210,160,1.754808,0.287034,0.642265,210,50,0.75,315,1036,6.04,0.735577,0.802365,3.7,6.12,0.255792,0.304487,101,0.924831,3.02,0.636986,0.636986,0.589105,0.149614,0.242788,12.24,8.75,0.974194,0.493464,0.974194,416,0.933333,0.984375,0.372596,0.599448,3,0,2,1
aim-50-3_4-yes1-2-90-shuffled,1,0.366522,114,0.668919,0.59919,2.492806,604,0.505051,278,228,1.751804,0.264495,0.643054,350,50,0.748069,522,1729,10.16,0.743146,0.740994,4.658273,10.3,0.253904,0.302925,171,0.856118,5.08,0.638386,0.638386,0.546533,0.150954,0.246753,20.6,12.627193,0.97318,0.493204,0.97318,693,1.244029,0.91212,0.376623,0.799978,3,0,2,1
aim-50-3_4-yes1-3-90-shuffled,1,0.363506,115,0.669231,0.599078,2.485714,607,0.50431,280,230,1.752874,0.265072,0.643328,351,50,0.747115,525,1736,10.12,0.741379,0.74318,4.639286,10.32,0.255184,0.303831,171,0.85554,5.06,0.636885,0.636885,0.544881,0.151498,0.24569,20.64,12.565217,0.961977,0.49031,0.961977,696,1.257192,0.909532,0.377874,0.808786,3,0,2,1
aim-50-6_0-yes1-3-50-shuffled,1,0.358974,193.5,0.669533,0.59897,2.851259,1093,0.513622,437,387,1.757212,0.248316,0.642693,641,50,0.749597,953,3107,17.92,0.732372,0.694966,5.331808,18.28,0.256839,0.305561,295,0.797017,8.96,0.636115,0.636115,0.506995,0.149984,0.236378,36.56,17.865633,0.961373,0.490153,0.961373,1248,1.943613,0.846444,0.373397,1.249146,3,0,2,1
aim-50-6_0-yes1-4-90-shuffled,1,0.371594,179,0.667402,0.599735,2.965686,1062,0.500413,408,358,1.749794,0.24556,0.642778,606,50,0.749586,912,3023,18,0.746491,0.687417,5.558824,18.08,0.251406,0.301255,299,0.798859,9,0.64134,0.64134,0.51234,0.150182,0.246903,36.16,18.930168,0.991189,0.497788,0.991189,1211,1.815555,0.854277,0.374897,1.167,3,0,2,1
biu.mv.xl_ao.bb-b001-p005-OPF05-c02.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-004-shuffled,1,0.090828,589,0.750112,0.571392,2.20125,4998,0.520317,3041,2945,2.151479,0.409161,0.583302,3483,96,0.931869,4462,15618,25.666667,0.181655,0.981912,16.50707,12.666667,0.389679,0.413145,2231,0.952201,6.333333,0.57742,0.57742,0.54982,0.038929,0.333284,51.333333,66.241766,1,0.5,1,6694,1.110781,0.962246,0.090828,0.64792,9,1,5,4
biu.mv.xl_ao.bb-b001-p010-MIF04-c05.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,0.12517,1185.666667,0.750041,0.571415,2.495986,13732,0.508913,7349,7114,2.08292,0.399161,0.584612,9335,235,0.906117,12228,42799,49.021277,0.250341,0.960935,22.460063,19.540426,0.374939,0.41018,6114,0.922197,9.770213,0.579998,0.579998,0.534873,0.053646,0.333315,98.042553,87.690891,1,0.5,1,18343,1.550815,0.936049,0.12517,0.906625,11,1,6,5
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,0,7543,0.700244,0.588151,1.369482,8796,0.581874,7543,7543,2.217683,0.411849,0.588151,6581,0,1,6886,25082,0,0,1,1.369482,0,0.411849,0.411849,3443,1,0,0.588151,0.588151,0.588151,0,0.304421,0,6.639798,0,0,0,11310,0,1,0,0,1,981,1,0
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-007-shuffled,1,0.049117,155.347826,0.74272,0.573816,2.351526,25906,0.515498,14383,14292,2.213716,0.406458,0.584931,17695,91,0.962976,22608,79360,1484.747253,0.098235,0.979254,348.669401,37.054945,0.40494,0.413126,11213,0.963607,18.527473,0.577091,0.577091,0.556089,0.021245,0.326662,2969.494505,1795.336132,1,0.5,1,34326,3.021718,0.969107,0.049117,1.767497,183,505,92,91
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.018382,41.97561,0.731461,0.577547,1.478705,2082,0.564706,1761,1721,2.229412,0.421936,0.582333,1536,40,0.985955,1762,6164,55,0.036765,1.01022,98.168086,2.5,0.414341,0.416782,841,1.006642,1.25,0.578826,0.578826,0.58267,0.008112,0.309191,110,406.605462,1,0.5,1,2720,0.401838,1.008871,0.018382,0.234004,81,117,41,40
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,0.050611,67.024691,0.74122,0.57431,2.038119,8668,0.5274,5509,5429,2.200349,0.410014,0.585139,6044,80,0.961711,7538,26376,471,0.101222,0.988316,262.698856,14.5,0.4037,0.412981,3689,0.970108,7.25,0.577728,0.577728,0.560459,0.02199,0.321902,942,1038.345552,1,0.5,1,11460,1.271178,0.975883,0.050611,0.743816,161,233,81,80
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.046998,40.86,0.748054,0.572065,1.975149,6298,0.527745,4185,4086,2.215977,0.414163,0.585752,4413,99,0.964434,5576,19316,311.393939,0.093997,0.999795,308.780167,7.939394,0.40759,0.412519,2689,0.982551,3.969697,0.575121,0.575121,0.565086,0.020346,0.321574,622.787879,1165.682085,1,0.5,1,8362,0.713193,0.987802,0.046998,0.417754,199,97,100,99
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.049839,201.317241,0.746325,0.572631,2.578899,57332,0.50619,29335,29191,2.221992,0.405412,0.585036,38595,144,0.962512,50530,177018,3421.666667,0.099677,0.976981,603.871553,52.777778,0.405902,0.412955,25121,0.961788,26.388889,0.575889,0.575889,0.553883,0.021467,0.329473,6843.333333,3783.233325,1,0.5,1,76246,4.019027,0.96726,0.049839,2.351276,289,595,145,144
