@relation 'FEATURE_VALUES_COP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 3'

@attribute gr_cv_clust_cg numeric
@attribute s_indomain_min numeric
@attribute s_other_var numeric
@attribute algorithm {bprolog,fzn2smt,g12cpx,g12fd,g12lazyfd,g12mip,gecode,izplus,jacop,minisatid,mistral,ortools,allfair}

@data
1.369748,0,0,mistral
-1,0,0,g12cpx
1.400088,0,0,mistral
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
1.350047,0,0,g12cpx
1.401128,0,0,g12mip
-1,0,0,g12fd
-1,0,0,ortools
-1,0,0,g12mip
-1,0,0,g12mip
1.400526,0,0,g12mip
1.400088,0,0,g12mip
1.400409,0,0,g12mip
1.400739,0,0,g12mip
-1,0,0,g12mip
-1,0,0,ortools
-1,0,1,izplus
1.369748,0,0,mistral
1.400553,0,0,g12mip
1.401009,0,0,g12mip
1.400978,0,0,g12mip
1.400983,0,0,g12mip
1.400263,0,0,g12mip
-1,0,0,izplus
1.4009,0,0,g12mip
-1,0,0,g12cpx
-1,0,0,ortools
-1,0,0,ortools
-1,0,0,ortools
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,ortools
-1,0,0,g12mip
-1,0,0,g12mip
1.400088,0,0,g12mip
1.400088,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,ortools
-1,0,0,g12mip
-1,0,0,ortools
-1,0,0,g12mip
1.400088,0,0,g12mip
1.400088,0,0,g12mip
1.400088,0,0,g12mip
1.400088,0,0,g12mip
1.400088,0,0,g12mip
-1,0,0,g12mip
1.400088,0,0,g12mip
1.400088,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,ortools
-1,0,0,g12mip
1.400088,0,0,g12mip
1.400088,0,0,g12mip
1.369748,0,0,mistral
1.369748,0,0,mistral
1.369748,0,0,mistral
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,ortools
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
1.400088,0,0,g12mip
1.400088,0,0,g12mip
1.400088,0,0,g12mip
1.369748,0,0,mistral
1.369748,0,0,mistral
-1,0,0,ortools
-1,0,0,ortools
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,ortools
-1,0,0,ortools
-1,0,0,g12mip
1.400088,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,ortools
-1,0,0,ortools
1.400088,0,0,g12mip
-1,0,0,g12mip
-1,0,0,ortools
-1,0,0,ortools
-1,0,0,ortools
-1,0,0,ortools
-1,0,0,g12fd
-1,0,0,g12mip
-1,0,0,g12mip
1.400088,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
1.400258,0,0,g12mip
1.400099,0,0,g12mip
-1,0,0,g12mip
1.400088,0,0,g12mip
1.400088,0,0,g12mip
-1,0,0,ortools
1.400088,0,0,g12mip
1.400088,0,0,g12mip
-1,0,0,g12mip
1.400088,0,0,g12mip
-1,0,0,g12mip
-1,0,0,ortools
1.400088,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,ortools
1.400088,0,0,mistral
-1,0,0,g12mip
-1,0,0,g12mip
1.400088,0,0,mistral
1.400088,0,0,g12mip
-1,0,0,ortools
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,ortools
-1,0,0,g12mip
1.400088,0,0,mistral
-1,0,0,mistral
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
1.369748,0,0,mistral
-1,0,0,g12mip
1.369748,0,0,mistral
-1,0,0,g12mip
-1,0,0,ortools
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,ortools
1.400089,0,0,g12mip
1.400088,0,0,g12mip
1.369748,0,0,mistral
1.400088,0,0,g12mip
-1,0,0,mistral
1.400088,0,0,g12mip
1.400536,0,0,g12mip
1.400088,0,0,g12mip
1.400088,0,0,g12mip
-1,0,0,ortools
-1,0,0,g12mip
-1,0,0,ortools
-1,0,0,g12fd
1.400088,0,0,g12mip
-1,0,0,g12mip
1.400088,0,0,g12mip
-1,0,0,ortools
1.400088,0,0,g12mip
-1,0,0,g12mip
-1,0,0,ortools
1.400258,0,0,g12mip
1.400088,0,0,g12mip
-1,0,0,ortools
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12fd
-1,0,0,ortools
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,ortools
-1,0,0,g12mip
-1,0,0,g12cpx
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,ortools
-1,0,0,g12mip
-1,0,0,ortools
1.400088,0,0,mistral
-1,0,0,ortools
-1,0,0,g12mip
1.400088,0,0,g12mip
-1,0,0,g12mip
1.400088,0,0,g12mip
1.400088,0,0,g12mip
-1,0,0,g12mip
-1,0,0,ortools
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,ortools
-1,0,0,g12mip
-1,0,0,g12mip
1.400088,0,0,g12mip
1.400088,0,0,g12mip
-1,0,0,g12mip
1.370408,0,0,g12mip
1.400088,0,0,g12mip
-1,0,0,g12mip
-1,0,0,ortools
-1,0,0,g12mip
-1,0,0,ortools
-1,0,0,g12mip
-1,0,0,ortools
-1,0,0,g12mip
-1,0,0,g12mip
1.400088,0,0,g12mip
1.369748,0,0,g12mip
-1,0,0,g12mip
1.369748,0,0,g12cpx
-1,0,0,ortools
1.369748,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,ortools
1.369748,0,0,g12cpx
-1,0,0,g12mip
1.400088,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
1.400088,0,0,g12mip
1.400095,0,0,g12mip
1.369748,0,0,g12mip
1.400088,0,0,g12mip
-1,0,0,g12mip
1.400091,0,0,g12mip
1.370408,0,0,g12mip
1.400088,0,0,g12mip
1.400088,0,0,g12mip
-1,0,0,mistral
-1,0,0,g12fd
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
1.399862,0,0,g12mip
-1,0,0,g12fd
1.400054,0,0,g12mip
-1,0,0,ortools
-1,0,0,ortools
-1,0,0,ortools
1.400088,0,0,g12mip
-1,0,0,ortools
-1,0,0,ortools
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12fd
-1,0,0,ortools
-1,0,0,ortools
-1,0,0,ortools
-1,0,0,g12mip
-1,0,0,ortools
-1,0,0,g12mip
-1,0,0,mistral
-1,0,0,g12mip
1.369748,0,0,g12mip
1.400031,0,0,g12mip
-1,0,0,g12mip
1.400088,0,0,g12mip
-1,0,0,mistral
1.400083,0,0,g12mip
-1,0,0,g12mip
-1,0,0,ortools
-1,0,0,ortools
1.400088,0,0,mistral
1.400088,0,0,g12mip
1.400408,0,0,g12mip
1.400408,0,0,g12mip
1.400084,0,0,g12mip
-1,0,0,g12cpx
-1,0,0,g12mip
1.400088,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,ortools
-1,0,0,ortools
-1,0,0,ortools
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
1.400408,0,0,g12mip
-1,0,0,ortools
-1,0,0,g12mip
-1,0,0,g12mip
1.400088,0,0,mistral
-1,0,0,g12mip
1.400079,0,0,g12mip
1.400407,0,0,g12mip
-1,0,0,g12mip
1.400034,0,0,mistral
-1,0,0,ortools
1.400088,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
0.805006,0,0,g12mip
-1,0,0,g12mip
0.805006,0,0,gecode
0.805006,0,0,g12lazyfd
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
0.805006,0,0,g12lazyfd
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,ortools
1.400258,0,0,g12mip
-1,0,0,g12mip
-1,0,0,ortools
0.805006,0,0,g12lazyfd
-1,0,0,g12mip
-1,0,0,ortools
-1,0,0,g12mip
0.805006,0,0,ortools
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12cpx
-1,0,0,ortools
-1,0,0,g12mip
-1,0,0,ortools
-1,0,0,ortools
-1,0,0,g12mip
1.400418,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12fd
-1,0,0,g12mip
-1,0,0,ortools
-1,0,0,g12mip
-1,0,0,g12fd
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,ortools
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12cpx
-1,0,0,g12mip
-1,0,0,g12mip
0.805006,0,0,g12cpx
-1,0,0,g12mip
-1,0,0,ortools
0.805006,0,0,mistral
0.805006,0,0,mistral
-1,0,0,ortools
-1,0,0,ortools
0.805006,0,0,mistral
-1,0,0,ortools
-1,0,0,g12mip
0.805006,0,0,ortools
-1,0,0,g12mip
0.805006,0,0,mistral
-1,0,0,g12mip
-1,0,0,ortools
-1,0,0,ortools
-1,0,0,ortools
0.805006,0,0,izplus
-1,0,0,g12mip
-1,0,0,ortools
-1,0,0,g12mip
-1,0,0,g12cpx
-1,0,0,g12mip
1.028988,0,0,g12cpx
0.805006,0,0,ortools
-1,0,0,g12mip
0.805006,0,0,ortools
-1,0,0,g12mip
1.028988,0,0,g12cpx
-1,0,0,ortools
1.028988,0,0,g12cpx
1.028988,0,0,g12cpx
1.028988,0,0,g12cpx
-1,0,0,g12mip
1.054149,0,0,g12cpx
1.028988,0,0,mistral
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
0.910521,0,0,g12mip
0.847405,0,0,g12mip
0.852439,0,0,izplus
0.805006,0,0,g12cpx
0.805006,0,0,g12cpx
0.805006,0,0,mistral
0.805006,0,0,ortools
-1,0,0,g12mip
0.805006,0,0,izplus
-1,0,0,g12mip
0.805006,0,0,g12mip
0.937416,0,0,g12mip
-1,0,0,izplus
-1,0,0,g12mip
0.805006,0,0,mistral
-1,0,0,g12fd
-1,0,0,g12mip
-1,0,0,g12mip
1.05023,0,0,mistral
-1,0,0,ortools
-1,0,0,ortools
-1,0,0,g12mip
1.0479,0,0,mistral
1.090732,0,0,mistral
-1,0,0,g12mip
-1,0,0,ortools
-1,0,0,g12mip
0.98522,0,0,izplus
1.162518,0,0,mistral
1.07911,0,0,mistral
1.142554,0,0,mistral
-1,0,0,g12mip
-1,0,0,ortools
0.84889,0,0,mistral
0.986443,0,0,g12mip
0.805006,0,0,ortools
0.805006,0,0,g12cpx
1.134525,0,0,mistral
1.028988,0,0,g12lazyfd
1.028988,0,0,g12lazyfd
1.028988,0,0,g12lazyfd
0.91076,0,0,izplus
1.028988,0,0,g12lazyfd
1.054783,0,0,mistral
0.805006,0,0,g12cpx
0.805006,0,0,g12mip
-1,0,0,ortools
1.028988,0,0,izplus
1.028988,0,0,g12mip
-1,0,0,g12mip
1.028988,0,0,g12mip
-1,0,0,ortools
-1,0,0,g12mip
1.028988,0,0,g12lazyfd
1.028988,0,0,mistral
0.805006,0,0,g12cpx
1.028988,0,0,mistral
1.028988,0,0,mistral
-1,0,0,izplus
-1,0,0,ortools
0.805006,0,0,izplus
0.805006,0,0,g12mip
1.028988,0,0,mistral
-1,0,0,g12mip
0.805006,0,0,izplus
1.028988,0,0,mistral
1.028988,0,0,g12cpx
1.028988,0,0,mistral
0.805006,0,0,g12cpx
0.845021,0,0,g12cpx
0.805006,0,0,izplus
0.805006,0,0,izplus
-1,0,0,g12mip
1.028988,0,0,mistral
0.805006,0,0,izplus
1.162341,0,0,g12mip
0.805006,0,0,g12mip
1.028988,0,0,g12cpx
-1,0,0,ortools
1.028988,0,0,g12lazyfd
1.028988,0,0,izplus
-1,0,0,ortools
1.028988,0,0,g12lazyfd
-1,0,0,ortools
1.028988,0,0,mistral
1.028988,0,0,mistral
1.028988,0,0,mistral
1.028988,0,0,mistral
1.028988,0,0,mistral
-1,0,0,g12cpx
1.028988,0,0,izplus
1.028988,0,0,g12lazyfd
1.028988,0,0,mistral
1.028988,0,0,g12lazyfd
1.028988,0,0,g12mip
1.028988,0,0,g12lazyfd
1.028988,0,0,g12mip
0.805006,0,0,g12mip
0.805006,0,0,g12mip
0.805006,0,0,g12mip
0.805006,0,0,izplus
0.805006,0,0,g12mip
0.844621,0,0,g12mip
1.028988,0,0,g12lazyfd
-1,0,0,g12mip
-1,0,0,g12fd
-1,0,0,ortools
1.0479,0,0,mistral
-1,0,0,g12fd
0.805006,0,0,izplus
0.805006,0,0,izplus
-1,0,0,g12mip
-1,0,0,g12fd
0.40379,0,1,g12cpx
0.404392,0,1,izplus
1.028988,0,0,mistral
1.047188,0,0,g12mip
0.403602,0,1,izplus
-1,0,0,g12mip
1.028988,0,0,g12mip
0.808052,0,0,g12mip
1.073454,0,0,g12mip
0.403436,0,1,izplus
1.028988,0,0,mistral
0.403603,0,1,g12cpx
0.403933,0,1,izplus
1.073336,0,0,g12mip
1.028988,0,0,g12lazyfd
1.028988,0,0,izplus
0.403737,0,1,izplus
0.805006,0,0,g12mip
0.404335,0,1,izplus
1.028988,0,0,mistral
0.40404,0,1,izplus
0.403752,0,1,fzn2smt
0.404286,0,1,izplus
0.404593,0,1,izplus
1.055613,0,0,mistral
-1,0,0,g12fd
1.028988,0,0,g12mip
1.028988,0,0,mistral
1.028988,0,0,g12mip
0.403708,0,1,g12lazyfd
0.805006,0,0,g12cpx
1.028988,0,0,g12lazyfd
0.805006,0,0,izplus
1.028988,0,0,g12lazyfd
1.048653,0,0,g12mip
0.805006,0,0,g12mip
0.805006,0,0,izplus
0.805006,0,0,izplus
-1,0,0,g12fd
0.805006,0,0,g12mip
0.805006,0,0,izplus
0.805006,0,0,g12mip
0.404094,0,1,izplus
0.403838,0,1,izplus
0.805006,0,0,izplus
-1,0,0,g12mip
0.805006,0,0,mistral
-1,0,0,g12fd
0.403904,0,1,izplus
0.805006,0,0,izplus
1.005598,0,0,mistral
0.805006,0,0,mistral
0.805006,0,0,mistral
1.028988,0,0,g12mip
0.403271,0,1,izplus
0.805006,0,0,izplus
1.028988,0,0,mistral
0.805006,0,0,izplus
1.028988,0,0,g12lazyfd
1.028988,0,0,mistral
1.028988,0,0,mistral
1.028988,0,0,mistral
0.805006,0,0,izplus
1.028988,0,0,g12lazyfd
0.403374,0,1,g12cpx
0.40394,0,1,izplus
0.403924,0,1,izplus
0.403767,0,1,fzn2smt
0.403831,0,1,g12cpx
0.369397,0,1,jacop
0.403935,0,1,izplus
0.40401,0,1,izplus
0.380643,0,1,izplus
0.379116,0,1,izplus
0.805006,0,0,izplus
1.028988,0,0,g12lazyfd
-1,0,0,ortools
0.805006,0,0,izplus
1.028988,0,0,mistral
0.40374,0,1,izplus
1.028988,0,0,mistral
1.054783,0,0,mistral
1.07531,0,0,mistral
1.028988,0,0,mistral
1.055069,0,0,mistral
0.369673,0,1,g12fd
0.379908,0,1,g12fd
0.374142,0,1,g12fd
1.028988,0,0,mistral
0.370382,0,1,izplus
0.383178,0,1,g12fd
0.377298,0,1,g12cpx
0.383599,0,1,g12fd
0.374113,0,1,g12fd
1.028988,0,0,g12lazyfd
0.381389,0,1,g12fd
-1,0,0,g12mip
0.358183,0,1,g12fd
-1,0,0,g12mip
0.403524,0,1,g12cpx
0.076665,1,0,izplus
-1,0,0,fzn2smt
0.369049,0,1,izplus
-1,0,0,izplus
0.129189,1,0,g12mip
0.373659,0,1,g12fd
0.374806,0,1,g12fd
1.028988,0,0,allfair
-1,0,0,mistral
-1,0,0,g12mip
-1,0,0,mistral
0.805006,0,0,mistral
-1,0,0,g12mip
-1,0,0,mistral
-1,0,0,mistral
-1,0,0,fzn2smt
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
0.404218,0,1,izplus
0.393091,0,1,g12fd
0.059296,1,0,g12mip
0.379557,0,1,g12fd
-1,0,0,g12mip
-1,0,0,g12mip
0.122683,1,0,g12mip
-1,0,0,g12mip
-1,0,0,g12mip
-1,0,0,izplus
-1,0,0,mistral
-1,0,0,mistral
-1,0,0,g12mip
1.074077,0,0,mistral
-1,0,0,mistral
0.805006,0,0,izplus
1.052371,0,0,mistral
-1,0,0,mistral
-1,0,0,mistral
-1,0,0,mistral
-1,0,0,mistral
-1,0,0,mistral
-1,0,0,mistral
-1,0,0,izplus
0.103526,1,0,g12mip
-1,0,0,mistral
-1,0,0,mistral
-1,0,0,mistral
-1,0,0,g12mip
-1,0,0,fzn2smt
0.059113,1,0,g12mip
-1,0,0,g12mip
-1,0,0,mistral
-1,0,0,mistral
-1,0,0,mistral
-1,0,0,ortools
-1,0,0,mistral
-1,0,0,mistral
-1,0,0,g12mip
-1,0,0,mistral
-1,0,0,mistral
-1,0,0,mistral
-1,0,0,mistral
-1,0,0,minisatid
-1,0,0,mistral
-1,0,0,mistral
-1,0,0,mistral
0.380687,0,1,g12fd
-1,0,0,mistral
-1,0,0,mistral
1.026454,0,0,mistral
-1,0,0,mistral
-1,0,0,mistral
-1,0,0,mistral
-1,0,0,mistral
0.478463,0,0,gecode
-1,0,0,mistral
-1,0,0,izplus
-1,0,0,mistral
-1,0,0,izplus
0.433168,0,0,fzn2smt
-1,0,0,izplus
-1,0,0,izplus
0.454128,0,0,fzn2smt
-1,0,0,g12mip
0.454128,0,0,fzn2smt
-1,0,0,mistral
-1,0,0,mistral
-1,0,0,mistral
-1,0,0,mistral
-1,0,0,izplus
-1,0,0,mistral
0.110638,1,0,g12mip
-1,0,0,mistral
0.403975,0,1,izplus
1.366594,1,0,gecode
-1,0,0,mistral
-1,0,0,mistral
-1,0,0,mistral
0.454128,0,0,fzn2smt
-1,0,0,mistral
1.386303,1,0,gecode
1.361095,1,0,gecode
-1,0,0,mistral
1.360828,1,0,gecode
-1,0,0,mistral
1.362356,1,0,gecode
-1,0,0,mistral
-1,0,0,mistral
1.36183,1,0,gecode
-1,0,0,mistral
-1,0,0,mistral
-1,0,0,mistral
1.359995,1,0,gecode
1.358244,1,0,gecode
-1,0,0,mistral
1.360118,1,0,gecode
-1,0,0,mistral
-1,0,0,mistral
-1,0,0,mistral
-1,0,0,mistral
-1,0,0,mistral
1.065585,0,1,g12cpx
-1,0,0,mistral
-1,0,0,fzn2smt
-1,0,0,mistral
0.874832,0,1,fzn2smt
0.375827,0,1,izplus
0.878126,0,1,g12cpx
0.143912,0,0,gecode
-1,0,0,izplus
1.360257,1,0,gecode
-1,0,0,mistral
0.146853,0,0,gecode
0.545288,0,1,g12cpx
0.642747,0,1,g12cpx
-1,0,0,mistral
0.890036,0,1,mistral
1.360606,1,0,gecode
-1,0,0,mistral
1.065585,0,1,fzn2smt
0.454128,0,0,fzn2smt
1.360418,1,0,gecode
0.454128,0,0,fzn2smt
0.907409,0,1,mistral
0.906638,0,1,g12fd
1.357019,1,0,gecode
0.845896,0,1,g12cpx
0.1306,0,0,g12cpx
0.647397,0,1,g12cpx
-1,0,0,mistral
0.110618,0,0,gecode
-1,0,0,mistral
0.433168,0,0,fzn2smt
0.120676,0,0,g12cpx
0.135107,0,0,g12cpx
0.796504,0,1,g12cpx
0.825694,0,1,fzn2smt
0.131363,0,0,gecode
0.433168,0,0,fzn2smt
0.133536,0,0,gecode
0.55906,0,1,mistral
0.105789,0,0,gecode
0.433168,0,0,fzn2smt
-1,0,0,mistral
0.454128,0,0,fzn2smt
0.767848,0,1,g12cpx
0.510305,0,1,g12cpx
0.412892,0,0,g12fd
0.408506,0,0,g12fd
0.128403,0,0,gecode
0.438035,0,0,g12fd
0.120019,0,0,gecode
-1,0,0,mistral
0.431443,0,0,g12fd
0.437743,0,0,g12fd
0.956899,0,1,jacop
0.868933,0,1,izplus
0.11573,0,0,gecode
0.139201,0,0,g12cpx
0.845949,0,1,jacop
0.845949,0,1,jacop
1.285986,0,1,izplus
-1,0,1,izplus
1.285986,0,1,g12cpx
0.839748,0,1,g12cpx
0.597881,0,1,mistral
0.504539,0,1,mistral
0.135927,0,0,gecode
1.357529,1,0,gecode
1.361422,1,0,gecode
0.839748,0,1,g12cpx
0.149947,0,0,gecode
0.115585,0,0,gecode
0.956899,0,1,jacop
0.956899,0,1,g12cpx
1.065585,0,1,g12cpx
0.845949,0,1,jacop
0.433168,0,0,fzn2smt
0.845949,0,1,jacop
0.123253,0,0,g12fd
1.065585,0,1,g12cpx
0.417322,0,0,g12fd
0.113558,0,0,g12fd
0.956899,0,1,g12cpx
0.430533,0,0,g12fd
0.297876,1,1,g12cpx
0.845949,0,1,jacop
0.280548,1,1,g12fd
0.305291,1,0,g12fd
0.322237,0,0,g12cpx
0.845949,0,1,jacop
0.321112,0,0,g12cpx
0.117718,0,0,gecode
0.320849,0,0,g12lazyfd
0.839748,0,1,jacop
0.321101,0,0,g12lazyfd
0.321109,0,0,fzn2smt
0.28014,1,1,g12cpx
0.335094,0,0,mistral
1.050122,0,1,jacop
1.050122,0,1,g12cpx
0.329941,0,0,izplus
0.329955,0,0,mistral
0.138441,0,0,gecode
0.322271,0,0,fzn2smt
0.125731,0,0,g12cpx
0.131222,0,0,gecode
0.845949,0,1,jacop
0.321056,0,0,mistral
0.322299,0,0,g12lazyfd
0.298577,1,1,g12cpx
0.335172,0,0,izplus
1.050122,0,1,g12lazyfd
-1,1,0,bprolog
0.641226,0,1,g12cpx
0.298045,1,1,g12cpx
0.433168,0,0,fzn2smt
0.330645,0,0,mistral
0.322248,0,0,g12cpx
0.322211,0,0,g12cpx
0.956899,0,1,g12cpx
0.33516,0,0,mistral
0.32229,0,0,g12cpx
-1,0,0,mistral
-1,0,0,mistral
0.297401,1,1,bprolog
1.038728,0,0,g12cpx
-1,0,0,mistral
-1,0,1,mistral
1.055156,0,0,ortools
0.322244,0,0,g12lazyfd
0.335159,0,0,izplus
1.01935,0,0,g12cpx
0.322272,0,0,g12lazyfd
0.335167,0,0,g12fd
0.322183,0,0,g12cpx
0.329945,0,0,izplus
0.335543,0,0,mistral
1.038728,0,0,g12cpx
0.322209,0,0,fzn2smt
0.335539,0,0,g12fd
0.33554,0,0,g12fd
0.322244,0,0,g12lazyfd
0.335176,0,0,izplus
0.322183,0,0,g12cpx
1.01935,0,0,g12cpx
1.029247,0,0,ortools
-1,0,0,mistral
0.335538,0,0,g12fd
-1,0,0,fzn2smt
0.962209,1,0,gecode
-1,0,0,g12fd
0.330652,0,0,fzn2smt
0.930906,0,1,ortools
0.930906,0,1,ortools
0.331078,0,0,fzn2smt
0.322218,0,0,g12cpx
0.331076,0,0,fzn2smt
0.331074,0,0,mistral
0.930906,0,1,ortools
0.930906,0,1,ortools
-1,0,0,g12cpx
0.930906,0,1,ortools
-1,0,0,g12fd
0.322218,0,0,g12cpx
0.933096,0,1,ortools
0.933096,0,1,ortools
0.32995,0,0,izplus
0.933096,0,1,ortools
0.933096,0,1,ortools
0.307777,1,0,fzn2smt
1.038728,0,0,g12cpx
1.01935,0,0,g12cpx
1.055156,0,0,g12cpx
1.055156,0,0,g12cpx
0.933096,0,1,ortools
0.933096,0,1,ortools
0.933096,0,1,ortools
0.330652,0,0,fzn2smt
1.055156,0,0,g12cpx
0.938902,0,1,ortools
0.942134,1,0,gecode
0.938902,0,1,ortools
0.933096,0,1,ortools
0.938902,0,1,ortools
0.938902,0,1,ortools
0.938902,0,1,ortools
0.938902,0,1,ortools
0.938902,0,1,g12cpx
0.938902,0,1,ortools
0.322251,0,0,mistral
-1,0,0,g12fd
0.330649,0,0,g12cpx
0.930906,0,1,ortools
0.942227,0,1,ortools
1.042185,0,0,g12cpx
-1,1,0,bprolog
0.938902,0,1,g12cpx
0.322209,0,0,fzn2smt
0.335537,0,0,g12fd
0.335538,0,0,g12fd
0.942227,0,1,ortools
0.330664,0,0,fzn2smt
0.942227,0,1,ortools
0.942227,0,1,ortools
0.942227,0,1,ortools
-1,0,0,gecode
0.942227,0,1,ortools
0.933096,0,1,ortools
1.270694,0,0,g12cpx
0.322321,0,0,g12lazyfd
0.930906,0,1,ortools
1.321984,0,0,g12cpx
0.331066,0,0,fzn2smt
0.942227,0,1,ortools
1.01935,0,0,g12cpx
0.335535,0,0,g12fd
0.938902,0,1,ortools
0.331068,0,0,g12lazyfd
0.322321,0,0,g12lazyfd
1.039826,1,0,g12cpx
-1,0,0,g12fd
0.945266,0,1,g12cpx
0.32992,0,0,mistral
0.933096,0,1,ortools
1.042185,0,0,g12cpx
1.035305,0,0,fzn2smt
0.945266,0,1,g12cpx
-1,0,0,gecode
0.942227,0,1,ortools
-1,0,0,g12fd
-1,0,0,g12fd
0.945266,0,1,ortools
1.014133,0,0,g12cpx
-1,0,0,g12fd
0.942227,0,1,ortools
0.945266,0,1,ortools
0.191118,1,1,g12cpx
1.270694,0,0,g12cpx
0.945266,0,1,ortools
0.942227,0,1,ortools
1.322236,0,0,g12lazyfd
0.930906,0,1,ortools
0.160014,1,1,g12cpx
-1,0,0,fzn2smt
0.945266,0,1,g12cpx
-1,0,0,g12fd
1.029247,0,0,g12cpx
1.014133,0,0,bprolog
1.014133,0,0,fzn2smt
0.945266,0,1,g12cpx
-1,0,0,g12fd
0.160687,1,1,g12cpx
