@relation 'feature_values_proteus_2014-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 3'

@attribute csp_perten_avg_predshape numeric
@attribute csp_perten_avg_predsize numeric
@attribute csp_sqrt_max_domsize numeric
@attribute algorithm {abscon,choco,claspcnf_direct,claspcnf_directorder,claspcnf_support,cryptominisat_direct,cryptominisat_directorder,cryptominisat_support,gecode,glucose_direct,glucose_directorder,glucose_support,lingeling_direct,lingeling_directorder,lingeling_support,minisat22_direct,minisat22_directorder,minisat22_support,mistral_nj,riss3g_direct,riss3g_directorder,riss3g_support,allfair}

@data
55.851468,56.020725,1.414214,riss3g_support
56.248831,57.433739,1.414214,claspcnf_direct
56.182012,44.842601,1.414214,riss3g_support
56.511419,43.254211,1.414214,claspcnf_directorder
56.369351,46.33275,1.414214,riss3g_support
56.417234,41.128445,1.414214,claspcnf_directorder
?,?,?,gecode
57.893296,36.653889,1.414214,riss3g_direct
?,?,?,gecode
56.073629,39.879339,1.414214,glucose_directorder
56.135818,48.875228,1.414214,riss3g_direct
56.405331,42.933432,1.414214,riss3g_direct
?,?,?,gecode
?,?,?,gecode
56.054046,38.478485,1.414214,riss3g_support
55.905144,42.300156,1.414214,minisat22_directorder
56.268483,42.661018,1.414214,claspcnf_direct
56.54934,42.721559,1.414214,claspcnf_directorder
55.638007,57.653341,1.414214,riss3g_support
57.825517,114.745818,1.414214,gecode
?,?,?,gecode
56.184018,42.870308,1.414214,riss3g_support
56.060624,38.939225,1.414214,riss3g_support
?,?,?,claspcnf_directorder
?,?,?,choco
12.010812,31.44316,1.414214,claspcnf_directorder
12.029703,31.25,1.414214,claspcnf_support
12.030361,31.233397,1.414214,riss3g_direct
14.172679,30.169886,1.414214,riss3g_direct
14.285714,30.091485,1.414214,gecode
?,?,?,gecode
12.02757,31.303848,1.414214,claspcnf_support
?,?,?,gecode
14.219005,30.137754,1.414214,riss3g_direct
12.010878,31.439795,1.414214,claspcnf_direct
14.340759,30.078266,1.414214,claspcnf_support
12.028219,31.287478,1.414214,minisat22_direct
?,?,?,gecode
14.276296,30.122865,1.414214,claspcnf_direct
12.010961,31.435531,1.414214,claspcnf_direct
14.293429,30.111011,1.414214,claspcnf_direct
14.314904,30.096154,1.414214,claspcnf_directorder
?,?,?,gecode
12.028812,31.272509,1.414214,minisat22_direct
12.011062,31.430327,1.414214,claspcnf_direct
?,?,?,gecode
12.010764,31.445657,1.414214,claspcnf_direct
?,?,?,gecode
14.263473,30.131737,1.414214,claspcnf_direct
?,?,?,gecode
?,?,?,gecode
14.120102,30.206353,1.414214,minisat22_support
?,?,?,gecode
14.332784,30.058837,1.414214,minisat22_support
?,?,?,gecode
32.578125,81.640625,1.414214,minisat22_direct
32.191011,92.752809,1.414214,minisat22_direct
29.302326,213.953488,1.414214,gecode
29.210526,188.954887,1.414214,gecode
29.284863,209.177592,1.414214,gecode
29.164013,179.458599,1.414214,lingeling_direct
28.928571,138.585714,1.414214,gecode
29.346563,229.574056,1.414214,lingeling_direct
31.778656,107.905138,1.414214,minisat22_directorder
31.304348,139.130435,1.414214,gecode
32.168675,91.445783,1.414214,gecode
31.442308,129.807692,1.414214,minisat22_support
32.020725,96.994819,1.414214,riss3g_direct
29.266504,204.400978,1.414214,lingeling_support
29.090909,163.636364,1.414214,gecode
32.142857,90.779221,1.414214,gecode
29.187935,184.068059,1.414214,lingeling_support
31.666667,112.814815,1.414214,gecode
15,119.37963,1.414214,gecode
32.542373,80.084746,1.414214,gecode
32.038835,97.864078,1.414214,riss3g_support
31.875,101.923077,1.414214,gecode
32.830189,75.471698,1.414214,riss3g_direct
32.307692,84.615385,1.414214,gecode
29.028078,154.211663,1.414214,lingeling_direct
32.340426,85.815603,1.414214,cryptominisat_direct
31.90678,103.601695,1.414214,riss3g_support
31.160991,147.058824,1.414214,lingeling_direct
31.369863,134.474886,1.414214,gecode
31.764706,107.058824,1.414214,gecode
28.885587,133.729569,1.414214,riss3g_direct
32,96,1.414214,gecode
29.060543,158.924843,1.414214,gecode
29.361098,234.26408,1.414214,lingeling_support
31.891892,102.477477,1.414214,gecode
32.368421,86.842105,1.414214,minisat22_directorder
?,?,?,choco
9.258649,10.356947,1.414214,gecode
?,?,?,gecode
37.894737,315.789474,1.414214,cryptominisat_support
?,?,?,choco
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,mistral_nj
?,?,?,choco
?,?,?,choco
17.757353,89.154412,1.414214,gecode
27.115385,116.121795,1.414214,claspcnf_direct
40,171.95122,1.414214,gecode
0.621762,5.595855,1.414214,gecode
?,?,?,gecode
?,?,?,gecode
0,0,1.414214,gecode
?,?,?,gecode
?,?,?,mistral_nj
32.727273,272.727273,1.414214,cryptominisat_direct
?,?,?,gecode
45.714286,379.285714,1.414214,cryptominisat_support
46.987952,389.759036,1.414214,riss3g_direct
3.076923,26.666667,1.414214,choco
9.577465,77.13615,1.414214,riss3g_support
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
17.142857,71.428571,1.414214,minisat22_support
?,?,?,choco
45.771268,202.327828,1.414214,abscon
5.504587,20.183486,1.414214,gecode
?,?,?,gecode
6.122449,28.253968,1.414214,choco
0,0,1.414214,gecode
3.380282,28.732394,1.414214,choco
0,0,1.414214,gecode
?,?,?,gecode
0,0,1.414214,gecode
?,?,?,gecode
?,?,?,lingeling_support
24.534413,120.080972,1.414214,gecode
0,0,1.414214,gecode
?,?,?,choco
?,?,?,gecode
3.629032,29.919355,1.414214,gecode
?,?,?,choco
54.551148,304.812109,1.414214,riss3g_direct
0,0,1.414214,gecode
-1,-1,-1,gecode
37.995849,63.024014,1.414214,minisat22_support
22.331839,128.026906,1.414214,choco
27.303058,113.846154,1.414214,riss3g_support
47.848101,398.291139,1.414214,cryptominisat_support
?,?,?,choco
5.333333,47.555556,1.414214,riss3g_support
?,?,?,gecode
42.352941,352.941176,1.414214,cryptominisat_directorder
-1,-1,-1,gecode
19.2,160,1.414214,gecode
?,?,?,gecode
38.709677,187.096774,1.414214,gecode
?,?,?,gecode
?,?,?,riss3g_direct
30.455927,261.033435,1.414214,riss3g_support
?,?,?,choco
?,?,?,choco
1.651376,13.211009,1.414214,choco
-1,-1,-1,gecode
0.039037,0.039037,1.414214,gecode
47.142857,395.408163,1.414214,lingeling_support
2.622951,9.562842,1.414214,riss3g_direct
?,?,?,claspcnf_support
43.483146,360.168539,1.414214,cryptominisat_support
7.142403,8.175461,1.414214,gecode
39.183673,324.183673,1.414214,glucose_support
27.870968,88.774194,1.414214,choco
6.122449,28.253968,1.414214,choco
0,0,1.414214,gecode
56.754508,314.868239,1.414214,gecode
9.408465,10.295767,1.414214,gecode
20.534759,127.486631,1.414214,gecode
34.666667,285.492063,1.414214,minisat22_support
47.54717,394.339623,1.414214,lingeling_directorder
?,?,?,gecode
?,?,?,choco
22.38806,164.776119,1.414214,minisat22_direct
2.912621,25.970874,1.414214,claspcnf_support
15.576923,67.403846,1.414214,choco
6.964286,25.535714,1.414214,gecode
43.902439,362.804878,1.414214,claspcnf_support
?,?,?,choco
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
59.5189,53.153876,1.414214,gecode
59.501861,53.20792,1.414214,gecode
59.50462,53.198349,1.414214,gecode
59.51442,53.167191,1.414214,gecode
59.511012,53.181333,1.414214,gecode
59.526004,53.130819,1.414214,gecode
?,?,?,minisat22_direct
?,?,?,gecode
?,?,?,minisat22_support
?,?,?,mistral_nj
?,?,?,minisat22_direct
?,?,?,minisat22_direct
?,?,?,minisat22_direct
?,?,?,mistral_nj
?,?,?,minisat22_direct
?,?,?,mistral_nj
?,?,?,mistral_nj
?,?,?,minisat22_direct
?,?,?,gecode
?,?,?,minisat22_direct
?,?,?,mistral_nj
?,?,?,glucose_direct
?,?,?,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
?,?,?,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,-1,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,riss3g_direct
-1,-1,1.414214,glucose_direct
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
?,?,?,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,glucose_support
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,minisat22_directorder
?,?,?,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
?,?,?,gecode
?,?,?,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
?,?,?,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
?,?,?,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
?,?,?,gecode
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
?,?,?,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
?,?,?,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
?,?,?,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,glucose_direct
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,-1,gecode
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
?,?,?,abscon
-1,-1,1.414214,abscon
?,?,?,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
?,?,?,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
?,?,?,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
?,?,?,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
?,?,?,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
?,?,?,gecode
-1,-1,1.414214,abscon
?,?,?,gecode
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
?,?,?,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,-1,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,gecode
?,?,?,gecode
-1,-1,1.414214,minisat22_direct
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
?,?,?,gecode
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
?,?,?,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,gecode
-1,-1,1.414214,glucose_direct
-1,-1,-1,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
?,?,?,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,-1,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,riss3g_support
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
?,?,?,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
?,?,?,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
?,?,?,gecode
-1,-1,1.414214,gecode
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,minisat22_direct
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
?,?,?,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,glucose_support
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
?,?,?,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
-1,-1,1.414214,gecode
-1,-1,1.414214,abscon
-1,-1,1.414214,abscon
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
25.466993,66.542787,1.414214,lingeling_support
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,mistral_nj
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
57.692308,145.384615,1.414214,mistral_nj
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,mistral_nj
1.864117,20.895507,1.414214,minisat22_support
11.428571,31.904762,1.414214,claspcnf_support
7.798697,27.05286,1.414214,minisat22_direct
11.428571,31.904762,1.414214,claspcnf_support
?,?,?,minisat22_direct
13.270949,29.196087,1.414214,lingeling_support
?,?,?,lingeling_direct
?,?,?,riss3g_directorder
7.225895,26.952102,1.414214,glucose_support
1.864306,20.897629,1.414214,lingeling_direct
11.428571,31.904762,1.414214,claspcnf_directorder
57.898833,88.145266,1.414214,glucose_directorder
?,?,?,gecode
58.593063,110.884221,1.414214,choco
59.13629,137.35779,1.414214,lingeling_support
?,?,?,minisat22_direct
45.536547,59.692846,1.414214,minisat22_support
?,?,?,mistral_nj
?,?,?,riss3g_support
?,?,?,claspcnf_direct
20.1,33.333333,1.414214,minisat22_support
?,?,?,mistral_nj
?,?,?,mistral_nj
?,?,?,claspcnf_direct
?,?,?,lingeling_direct
?,?,?,gecode
23.538462,33.846154,1.414214,riss3g_support
?,?,?,lingeling_direct
?,?,?,riss3g_direct
23.192308,33.846154,1.414214,riss3g_support
?,?,?,lingeling_direct
?,?,?,lingeling_support
?,?,?,mistral_nj
?,?,?,lingeling_direct
20.2,33.333333,1.414214,riss3g_direct
?,?,?,claspcnf_support
?,?,?,claspcnf_support
?,?,?,claspcnf_direct
?,?,?,claspcnf_direct
?,?,?,claspcnf_direct
13.772727,32.272727,1.414214,claspcnf_directorder
?,?,?,claspcnf_direct
13.636364,32.272727,1.414214,claspcnf_direct
?,?,?,claspcnf_support
?,?,?,claspcnf_direct
?,?,?,lingeling_support
?,?,?,claspcnf_direct
?,?,?,claspcnf_direct
?,?,?,gecode
?,?,?,claspcnf_direct
?,?,?,lingeling_direct
?,?,?,riss3g_support
?,?,?,riss3g_support
13.772727,32.272727,1.414214,claspcnf_direct
20.1,33.333333,1.414214,claspcnf_support
?,?,?,gecode
?,?,?,riss3g_support
13.772727,32.272727,1.414214,minisat22_direct
?,?,?,mistral_nj
?,?,?,riss3g_direct
?,?,?,mistral_nj
?,?,?,claspcnf_support
20.1,33.333333,1.414214,claspcnf_direct
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
0,0,1.414214,claspcnf_support
0,0,1.414214,claspcnf_directorder
0,0,1.414214,claspcnf_directorder
29.032258,232.258065,1.414214,claspcnf_direct
25.714286,257.142857,1.414214,claspcnf_support
0,0,1.414214,claspcnf_support
0,0,1.414214,claspcnf_support
0,93.75,1.414214,claspcnf_direct
0,120,1.414214,claspcnf_support
20,200,1.414214,riss3g_direct
0,0,1.414214,claspcnf_directorder
0,111.111111,1.414214,claspcnf_direct
0,0,1.414214,claspcnf_direct
28.571429,157.142857,1.414214,glucose_directorder
0,0,1.414214,claspcnf_support
0,0,1.414214,claspcnf_support
29.268293,307.317073,1.414214,claspcnf_directorder
0,0,1.414214,claspcnf_support
0,0,1.414214,claspcnf_support
24,180,1.414214,glucose_directorder
0,0,1.414214,claspcnf_support
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
