@relation 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 3'

@attribute d_ratio_int_cons numeric
@attribute d_ratio_array_cons numeric
@attribute d_ratio_int_vars numeric
@attribute algorithm {bprolog,fzn2smt,g12cpx,g12fd,g12lazyfd,g12mip,gecode,izplus,minisatid,mistral,ortools,allfair}

@data
0.560224,0.439776,0.333333,g12lazyfd
1,0,1,minisatid
1,0,1,minisatid
0.501882,0.498118,0.333333,g12lazyfd
1,0,1,allfair
1,0,1,izplus
1,0,1,allfair
1,0,1,g12cpx
1,0,1,g12cpx
0.371402,0.628598,0.333333,g12lazyfd
1,0,1,izplus
1,0,1,fzn2smt
0.500626,0.499374,0.333333,g12cpx
1,0,1,g12cpx
0.555556,0.444444,0.333333,g12cpx
0.251731,0.748269,0.333333,g12lazyfd
1,0,1,g12lazyfd
0.5,0.5,0.333333,g12lazyfd
1,0,1,g12cpx
0.5,0.5,0.333333,g12lazyfd
1,0,1,g12cpx
1,0,1,g12cpx
1,0,1,g12lazyfd
1,0,1,izplus
1,0,1,g12cpx
1,0,1,izplus
1,0,1,g12cpx
1,0,1,izplus
1,0,1,g12cpx
1,0,1,fzn2smt
1,0,1,izplus
1,0,1,minisatid
1,0,1,minisatid
1,0,1,g12cpx
0.5,0.5,0.333333,g12cpx
1,0,1,izplus
1,0,1,minisatid
1,0,1,izplus
1,0,1,allfair
1,0,1,g12lazyfd
1,0,1,izplus
0.500626,0.499374,0.333333,g12lazyfd
1,0,1,izplus
0.252685,0.747315,0.333333,g12lazyfd
0.5,0.5,0.333333,g12lazyfd
1,0,1,izplus
1,0,1,izplus
1,0,1,fzn2smt
1,0,1,fzn2smt
1,0,1,fzn2smt
1,0,1,izplus
1,0,1,izplus
1,0,1,izplus
1,0,1,minisatid
1,0,1,g12cpx
1,0,1,izplus
1,0,1,fzn2smt
1,0,1,izplus
1,0,1,g12cpx
1,0,1,fzn2smt
1,0,1,fzn2smt
1,0,1,fzn2smt
1,0,1,minisatid
1,0,1,fzn2smt
1,0,1,fzn2smt
1,0,1,fzn2smt
1,0,1,izplus
1,0,1,fzn2smt
1,0,1,minisatid
1,0,1,izplus
1,0,1,bprolog
1,0,1,fzn2smt
0.555556,0.444444,0.333333,g12cpx
0,0,1,izplus
1,0,1,minisatid
1,0,1,allfair
1,0,1,fzn2smt
0.227752,0.713115,0.214141,izplus
1,0,1,fzn2smt
1,0,1,allfair
1,0,1,g12cpx
0,0,1,fzn2smt
0.053478,0.940308,0.117216,g12cpx
1,0,1,allfair
0.555556,0.444444,0.333333,g12cpx
0.053478,0.940308,0.117216,g12cpx
1,0,1,fzn2smt
0,0,1,bprolog
0.22486,0.716444,0.212991,g12lazyfd
0.224034,0.716738,0.21267,fzn2smt
0.212575,0.734656,0.198872,fzn2smt
1,0,1,fzn2smt
0.370714,0.629286,0.333333,g12lazyfd
0.229819,0.709307,0.212991,g12lazyfd
0.220008,0.724278,0.206745,izplus
0.053478,0.940308,0.117216,g12cpx
0,0,1,fzn2smt
1,0,1,allfair
0.213381,0.731591,0.207353,fzn2smt
0,0,1,izplus
1,0,1,fzn2smt
0.218256,0.725761,0.207658,g12lazyfd
1,0,1,fzn2smt
1,0,1,izplus
1,0,1,fzn2smt
0,0,1,fzn2smt
0.053478,0.940308,0.117216,g12cpx
0.23297,0.703906,0.215596,izplus
1,0,1,izplus
1,0,1,ortools
0.234131,0.703772,0.216923,g12lazyfd
0.221803,0.720755,0.210448,fzn2smt
0.220241,0.723766,0.209821,fzn2smt
1,0,1,izplus
0.053478,0.940308,0.117216,g12cpx
0,0,1,izplus
0.053478,0.940308,0.117216,g12cpx
0.224714,0.719001,0.209821,fzn2smt
0.219424,0.724221,0.204348,izplus
0.22684,0.714286,0.21203,fzn2smt
0.2247,0.715695,0.21203,g12lazyfd
0.221535,0.721122,0.207965,g12lazyfd
0.219718,0.724748,0.20524,fzn2smt
0,0,1,fzn2smt
1,0,1,izplus
0.224473,0.718565,0.20951,g12lazyfd
0,0,1,izplus
0,0,1,izplus
0,0,1,fzn2smt
0.219682,0.726011,0.207658,fzn2smt
0,0,1,fzn2smt
0,0,1,fzn2smt
0.22582,0.714162,0.212349,g12lazyfd
0.235704,0.701069,0.217593,g12lazyfd
0.231371,0.706072,0.218944,g12lazyfd
0,0,1,g12cpx
0.225586,0.715565,0.210448,g12lazyfd
1,0,1,allfair
0.053478,0.940308,0.117216,g12cpx
0.225834,0.714713,0.210762,fzn2smt
0,0,1,fzn2smt
1,0,1,fzn2smt
0,0,1,fzn2smt
0.22079,0.723493,0.209821,izplus
0.053478,0.940308,0.117216,g12cpx
0.201331,0.7493,0.196927,g12lazyfd
0,0,1,fzn2smt
0,0,1,fzn2smt
0.22036,0.722404,0.207353,fzn2smt
0,0,1,fzn2smt
0.229391,0.707885,0.215926,g12lazyfd
0.205078,0.745117,0.201521,izplus
0.230666,0.708091,0.214612,fzn2smt
0,0,1,fzn2smt
0.215294,0.729412,0.204348,g12lazyfd
0.234317,0.701568,0.217257,fzn2smt
1,0,1,allfair
0.227095,0.713417,0.212349,g12lazyfd
0.758621,0.172414,0.138047,fzn2smt
0.76087,0.173913,0.130827,fzn2smt
0,0,1,fzn2smt
0.232664,0.70438,0.21659,izplus
0,0,1,fzn2smt
0.222269,0.719328,0.210448,fzn2smt
0.224343,0.717557,0.210448,fzn2smt
1,0,1,fzn2smt
0.515344,0.237834,0.17933,fzn2smt
1,0,1,allfair
0.229048,0.709961,0.21267,g12lazyfd
0.238163,0.69697,0.218944,fzn2smt
0,0,1,fzn2smt
0.209251,0.738987,0.198312,fzn2smt
0.218893,0.724927,0.211394,fzn2smt
0.21816,0.727201,0.202586,g12lazyfd
0.228384,0.712227,0.212349,fzn2smt
0.21355,0.730586,0.207353,izplus
0.21991,0.723378,0.207353,fzn2smt
1,0,1,fzn2smt
0,0,1,bprolog
0.230096,0.708661,0.211394,fzn2smt
0,0,1,fzn2smt
0,0,1,izplus
0,0,1,g12lazyfd
0,0,1,fzn2smt
0.212156,0.735856,0.202586,g12lazyfd
1,0,1,minisatid
0.213221,0.734047,0.201717,fzn2smt
0.772727,0.181818,0.092229,fzn2smt
0,0,1,g12cpx
0.77551,0.183673,0.083041,allfair
1,0,1,fzn2smt
0.76087,0.173913,0.130827,g12cpx
0,0,1,fzn2smt
0,0,1,fzn2smt
0.053478,0.940308,0.117216,g12cpx
1,0,1,fzn2smt
1,0,1,g12mip
1,0,1,izplus
0.221719,0.722748,0.207353,g12lazyfd
0.216886,0.72928,0.201141,g12lazyfd
0.772727,0.181818,0.092229,minisatid
0,0,1,izplus
1,0,1,fzn2smt
1,0,1,g12mip
1,0,1,fzn2smt
0.772727,0.181818,0.092229,fzn2smt
0.772727,0.181818,0.092229,minisatid
1,0,1,g12fd
0.785714,0.190476,0.048921,allfair
0,0,1,fzn2smt
1,0,1,izplus
1,0,1,fzn2smt
0.785714,0.190476,0.048921,allfair
0.77551,0.183673,0.083041,allfair
0.727273,0.272727,0.04,fzn2smt
0.229699,0.708389,0.215926,fzn2smt
1,0,1,fzn2smt
0.218599,0.725845,0.20614,fzn2smt
1,0,1,fzn2smt
0.785714,0.190476,0.048921,minisatid
0.785714,0.190476,0.048921,fzn2smt
0.727273,0.272727,0.04,izplus
0.77551,0.183673,0.083041,fzn2smt
1,0,1,fzn2smt
0.772727,0.181818,0.092229,fzn2smt
1,0,1,fzn2smt
0.72,0.28,0.030769,izplus
0.709677,0.290323,0.019802,minisatid
0.236007,0.698694,0.217929,fzn2smt
1,0,1,izplus
0.776316,0.184211,0.080372,allfair
1,0,1,g12mip
1,0,1,izplus
1,0,1,g12mip
0.785714,0.190476,0.048921,minisatid
1,0,1,fzn2smt
1,0,1,g12mip
0.21409,0.731507,0.204942,fzn2smt
1,0,1,fzn2smt
1,0,1,fzn2smt
0.714286,0.285714,0.02439,fzn2smt
0.224714,0.716039,0.209821,fzn2smt
0.714286,0.285714,0.02439,fzn2smt
1,0,1,g12mip
1,0,1,g12mip
1,0,1,fzn2smt
0.776316,0.184211,0.080372,fzn2smt
1,0,1,g12mip
1,0,1,g12mip
1,0,1,allfair
1,0,1,g12mip
0,0,1,fzn2smt
0.758621,0.172414,0.138047,minisatid
0.220551,0.722222,0.210762,g12lazyfd
1,0,1,minisatid
1,0,1,g12cpx
1,0,1,g12mip
1,0,1,fzn2smt
0.216839,0.727562,0.20524,fzn2smt
0.476341,0,1,izplus
0.477401,0,1,allfair
0.478372,0,1,izplus
1,0,1,g12mip
1,0,1,g12mip
0.157012,0.799041,0.117845,g12cpx
1,0,1,fzn2smt
1,0,1,fzn2smt
1,0,1,g12mip
1,0,1,izplus
1,0,1,fzn2smt
0.1538,0.802085,0.120413,g12cpx
1,0,1,minisatid
1,0,1,minisatid
1,0,1,bprolog
1,0,1,g12mip
0.154478,0.801443,0.119863,g12cpx
0.053478,0.940308,0.117216,g12cpx
0,0,1,g12cpx
1,0,1,fzn2smt
1,0,1,g12mip
0,0,1,g12cpx
1,0,1,bprolog
0,0,1,g12cpx
0.473896,0,1,fzn2smt
1,0,1,g12mip
0,0,1,g12cpx
0,0,1,g12cpx
1,0,1,g12mip
0.685315,0.314685,0.1,fzn2smt
0.161367,0.794913,0.114504,g12cpx
0.685315,0.314685,0.1,izplus
0,0,1,g12cpx
1,0,1,g12mip
0,0,1,g12cpx
0.475177,0,1,fzn2smt
1,0,1,g12lazyfd
0,0,1,g12cpx
0.772727,0.181818,0.092229,minisatid
1,0,1,g12mip
0.218546,0.72549,0.20858,fzn2smt
0.685315,0.314685,0.1,izplus
1,0,1,minisatid
0.685315,0.314685,0.1,minisatid
0,0,1,g12cpx
0,0,1,g12cpx
0.685315,0.314685,0.1,mistral
0.685315,0.314685,0.1,fzn2smt
1,0,1,g12mip
0.685315,0.314685,0.1,minisatid
0.685315,0.314685,0.1,minisatid
1,0,1,g12cpx
0.685315,0.314685,0.1,izplus
0.14518,0.85482,0.166667,izplus
0,0,1,g12cpx
0.685315,0.314685,0.1,izplus
1,0,1,fzn2smt
0.685315,0.314685,0.1,minisatid
0,0,1,g12cpx
0.709677,0.290323,0.019802,fzn2smt
1,0,1,g12mip
0.219651,0.725132,0.206745,g12lazyfd
0,0,1,izplus
0.77551,0.183673,0.083041,fzn2smt
0.685315,0.314685,0.1,minisatid
0.685315,0.314685,0.1,mistral
0.685315,0.314685,0.1,mistral
1,0,1,g12mip
0.685315,0.314685,0.1,minisatid
0.685315,0.314685,0.1,mistral
0.472477,0,1,fzn2smt
0.685315,0.314685,0.1,mistral
1,0,1,fzn2smt
1,0,1,g12lazyfd
0.785714,0.190476,0.048921,allfair
0.685315,0.314685,0.1,fzn2smt
1,0,1,izplus
1,0,1,g12mip
1,0,1,allfair
1,0,1,g12lazyfd
0.685315,0.314685,0.1,g12cpx
0.685315,0.314685,0.1,mistral
0.790323,0.193548,0.033288,allfair
0.685315,0.314685,0.1,minisatid
0,0,1,g12cpx
1,0,1,g12lazyfd
1,0,1,bprolog
0.790323,0.193548,0.033288,allfair
1,0,1,allfair
0.758621,0.172414,0.138047,minisatid
1,0,1,allfair
1,0,1,g12mip
0.229748,0.710491,0.213636,g12lazyfd
0.811661,0.170316,0.583655,allfair
0.811661,0.170316,0.583655,allfair
1,0,1,allfair
0.811773,0.170197,0.583783,allfair
1,0,1,minisatid
0.156506,0.79952,0.118243,g12cpx
0.811661,0.170316,0.583655,allfair
0.812167,0.169781,0.584234,allfair
0.702703,0.297297,0.013793,fzn2smt
0.790323,0.193548,0.033288,allfair
0.790323,0.193548,0.033288,allfair
0.814781,0.167016,0.587212,allfair
1,0,1,minisatid
0.790323,0.193548,0.033288,allfair
0.813298,0.168584,0.585525,allfair
0.817789,0.163834,0.590615,allfair
1,0,1,minisatid
0.702703,0.297297,0.013793,allfair
1,0,1,minisatid
0.812054,0.1699,0.584105,allfair
1,0,1,izplus
0.790323,0.193548,0.033288,allfair
0.72,0.28,0.030769,fzn2smt
1,0,1,g12cpx
0.812506,0.169423,0.58462,allfair
0.811773,0.170197,0.583783,allfair
1,0,1,allfair
1,0,1,minisatid
1,0,1,minisatid
0.818601,0.166031,0.586395,allfair
1,0,1,izplus
0.813324,0.171563,0.580457,allfair
0.813362,0.171524,0.5805,allfair
0.813741,0.171126,0.580929,allfair
0.813969,0.170887,0.581187,allfair
0.813324,0.171563,0.580457,allfair
0.813513,0.171365,0.580671,allfair
1,0,1,minisatid
0.814961,0.169847,0.582308,allfair
0.815882,0.168881,0.583346,allfair
0.813324,0.171563,0.580457,allfair
1,0,1,izplus
0.814197,0.170647,0.581445,allfair
0.816368,0.166963,0.586014,allfair
0.812308,0.171237,0.581417,ortools
0.812514,0.171021,0.581651,allfair
0.81272,0.170804,0.581885,allfair
0.813546,0.169934,0.582824,allfair
0.813132,0.17037,0.582354,allfair
0.814065,0.169388,0.583412,allfair
0.812445,0.171093,0.581573,allfair
0.812308,0.171237,0.581417,allfair
0.812514,0.171021,0.581651,allfair
0.812651,0.170876,0.581807,allfair
1,0,1,izplus
1,0,1,izplus
0.818843,0.168315,0.582037,allfair
0.814907,0.172409,0.577648,allfair
0.792683,0.195122,0.025227,allfair
0.792683,0.195122,0.025227,allfair
0.814322,0.173018,0.576993,allfair
0.814322,0.173018,0.576993,allfair
0.792683,0.195122,0.025227,allfair
0.814322,0.173018,0.576993,allfair
0.792683,0.195122,0.025227,allfair
1,0,1,allfair
0.792683,0.195122,0.025227,allfair
0.814588,0.172741,0.57729,allfair
0.814429,0.172907,0.577112,allfair
0.792683,0.195122,0.025227,allfair
0.816244,0.171019,0.579144,allfair
0.814322,0.173018,0.576993,allfair
0.815601,0.171688,0.578425,allfair
0.814322,0.173018,0.576993,allfair
0.817141,0.168848,0.582363,allfair
1,0,1,bprolog
0.813725,0.172415,0.57853,allfair
0.813725,0.172415,0.57853,allfair
1,0,1,bprolog
1,0,1,bprolog
0.813775,0.172363,0.578586,allfair
0.813725,0.172415,0.57853,allfair
1,0,1,bprolog
0.813974,0.172156,0.57881,allfair
0.814372,0.171739,0.579259,allfair
0.815123,0.170956,0.580102,allfair
0.813775,0.172363,0.578586,allfair
0.813775,0.172363,0.578586,allfair
0.813825,0.172311,0.578642,allfair
0.048348,0.920524,0.205749,g12cpx
0.048348,0.920524,0.205749,g12cpx
1,0,1,g12cpx
0.695652,0.304348,0.00885,allfair
0.695652,0.304348,0.00885,fzn2smt
0.816917,0.168796,0.582374,allfair
0.813353,0.17252,0.578373,allfair
0.813353,0.17252,0.578373,allfair
0.813353,0.17252,0.578373,allfair
0.813353,0.17252,0.578373,allfair
0.815259,0.170528,0.580518,allfair
0.813424,0.172446,0.578453,allfair
0.813353,0.17252,0.578373,allfair
0.814544,0.171275,0.579714,allfair
0.813974,0.171871,0.579073,allfair
0.81369,0.172168,0.578753,allfair
1,0,1,minisatid
1,0,1,minisatid
0.029751,0.968284,0.068881,g12cpx
1,0,1,minisatid
0.029751,0.968284,0.068881,g12cpx
0.029751,0.968284,0.068881,g12cpx
0.029751,0.968284,0.068881,g12cpx
0.029751,0.968284,0.068881,g12cpx
0.029751,0.968284,0.068881,g12cpx
0.029751,0.968284,0.068881,g12cpx
0.815914,0.165722,0.588832,allfair
0.814418,0.173323,0.57618,allfair
0.029751,0.968284,0.068881,g12cpx
0.815072,0.172644,0.576912,allfair
0.814418,0.173323,0.57618,allfair
0.814418,0.173323,0.57618,allfair
0.029751,0.968284,0.068881,g12cpx
0.029751,0.968284,0.068881,g12cpx
0.029751,0.968284,0.068881,g12cpx
0.029751,0.968284,0.068881,g12cpx
0.029751,0.968284,0.068881,g12cpx
0.029751,0.968284,0.068881,g12cpx
0.029751,0.968284,0.068881,g12cpx
0.029751,0.968284,0.068881,g12cpx
0.029751,0.968284,0.068881,g12cpx
0.029751,0.968284,0.068881,g12cpx
0.029751,0.968284,0.068881,g12cpx
0.824335,0.156422,0.615566,allfair
0.029751,0.968284,0.068881,g12cpx
0.811678,0.170204,0.584008,ortools
0.824477,0.156271,0.615733,allfair
0.814418,0.173323,0.57618,allfair
0.814418,0.173323,0.57618,allfair
0.814478,0.173261,0.576247,allfair
0.814478,0.173261,0.576247,allfair
0.814537,0.173199,0.576313,allfair
0.814537,0.173199,0.576313,allfair
0.813357,0.172351,0.57869,allfair
0.814656,0.173076,0.576446,allfair
0.040795,0.916918,0.125,g12cpx
1,0,1,minisatid
0.813357,0.172351,0.57869,allfair
0.811678,0.170204,0.584008,allfair
0.805416,0.162272,0.602888,allfair
0.824299,0.15646,0.615525,allfair
0.804982,0.162752,0.602365,g12fd
0.804982,0.162752,0.602365,g12fd
0.804982,0.162752,0.602365,g12fd
0.040598,0.917183,0.125,ortools
0.813656,0.172039,0.579027,allfair
0.040057,0.918826,0.125,ortools
0.813357,0.172351,0.57869,allfair
0.813357,0.172351,0.57869,allfair
0.039848,0.920016,0.125,g12cpx
0.813417,0.172289,0.578757,allfair
0.813357,0.172351,0.57869,allfair
0.040407,0.917982,0.125,g12cpx
0.813417,0.172289,0.578757,allfair
0.813537,0.172164,0.578892,allfair
0.804982,0.162752,0.602365,g12fd
0.805021,0.162708,0.602412,allfair
0.813477,0.172226,0.578825,allfair
0.805021,0.162708,0.602412,allfair
0.805021,0.162708,0.602412,allfair
0.8051,0.162621,0.602507,allfair
0.813596,0.172101,0.57896,allfair
0.804982,0.162752,0.602365,allfair
0.805179,0.162534,0.602603,allfair
0.811678,0.170204,0.584008,ortools
0.811888,0.169982,0.584248,allfair
0.040672,0.917443,0.125,bprolog
0.811678,0.170204,0.584008,allfair
0.811161,0.172718,0.578118,ortools
0.811161,0.172718,0.578118,ortools
0.811743,0.170136,0.584082,allfair
0.811161,0.172718,0.578118,ortools
0.811928,0.171912,0.578987,allfair
0.811161,0.172718,0.578118,ortools
0.811161,0.172718,0.578118,ortools
0.811161,0.172718,0.578118,ortools
0.812698,0.169125,0.585174,allfair
0.811678,0.170204,0.584008,ortools
0.811985,0.169879,0.584359,allfair
0.813643,0.168125,0.586252,allfair
0.809876,0.165465,0.59394,allfair
0.808658,0.166779,0.592515,allfair
0.809418,0.165959,0.593405,allfair
0.808658,0.166779,0.592515,allfair
0.815024,0.173943,0.574573,ortools
0.8161,0.172829,0.575772,allfair
0.815024,0.173943,0.574573,ortools
0.811209,0.172668,0.578173,ortools
0.815621,0.173325,0.575238,allfair
0.809723,0.165629,0.593762,allfair
0.03991,0.919604,0.125,g12cpx
0.03981,0.919595,0.125,bprolog
0.8098,0.165547,0.593851,allfair
0.811305,0.172567,0.578281,ortools
0.815183,0.173779,0.57475,ortools
0.811496,0.172366,0.578498,allfair
0.81578,0.17316,0.575416,allfair
0.039177,0.921703,0.125,g12cpx
0.815024,0.173943,0.574573,ortools
0.81582,0.173119,0.57546,allfair
0.815302,0.173655,0.574883,allfair
0.815103,0.173861,0.574662,ortools
0.809609,0.165753,0.593628,allfair
0.811209,0.172668,0.578173,ortools
0.809876,0.165465,0.59394,allfair
0.809876,0.165465,0.59394,allfair
0.808848,0.166575,0.592737,allfair
0.80919,0.166205,0.593138,allfair
0.815422,0.173532,0.575016,allfair
0.040755,0.916457,0.125,g12cpx
0.040424,0.917374,0.125,ortools
0.040359,0.91767,0.125,g12cpx
0.039142,0.92152,0.125,bprolog
0.819038,0.168477,0.581522,allfair
0.039506,0.920629,0.125,g12cpx
0.814412,0.173284,0.576368,ortools
0.816754,0.17085,0.578985,allfair
0.814412,0.173284,0.576368,g12fd
0.814515,0.173177,0.576484,ortools
0.814825,0.172854,0.576831,ortools
0.814412,0.173284,0.576368,ortools
0.814412,0.173284,0.576368,ortools
0.814437,0.173257,0.576397,ortools
0.814722,0.172962,0.576715,ortools
0.81682,0.166538,0.586489,allfair
0.815344,0.172315,0.577412,ortools
0.813456,0.17008,0.582689,allfair
0.81235,0.171243,0.581433,allfair
0.904705,0.095295,0.827469,mistral
0.904945,0.095055,0.828283,fzn2smt
0.812966,0.170595,0.582133,allfair
0.90432,0.09568,0.827425,mistral
0.905304,0.094696,0.828473,fzn2smt
0.905042,0.094958,0.828996,mistral
0.906182,0.093818,0.830369,mistral
0.81235,0.171243,0.581433,allfair
0.81235,0.171243,0.581433,allfair
0.81235,0.171243,0.581433,allfair
0.906313,0.093687,0.830795,fzn2smt
0.907558,0.092442,0.832904,mistral
0.814517,0.168962,0.583891,allfair
0.907644,0.092356,0.832836,mistral
0.905314,0.094686,0.829225,fzn2smt
0.902452,0.097548,0.824451,mistral
0.907305,0.092695,0.832599,mistral
0.908111,0.091889,0.833625,fzn2smt
0.906123,0.093877,0.830676,mistral
0.905599,0.094401,0.829966,mistral
0.908411,0.091589,0.834347,mistral
0.812529,0.171055,0.581637,allfair
0.90318,0.09682,0.825737,mistral
0.814733,0.171391,0.579454,allfair
0.90855,0.09145,0.834711,mistral
0.909031,0.090969,0.835397,g12mip
0.813756,0.172412,0.578353,allfair
0.908581,0.091419,0.83502,mistral
0.813756,0.172412,0.578353,allfair
0.813752,0.172416,0.578368,allfair
0.04003,0.918888,0.125,g12cpx
0.812427,0.171162,0.58152,allfair
0.813782,0.172384,0.578383,allfair
0.812401,0.171189,0.581491,allfair
0.908104,0.091896,0.834039,allfair
1,0,1,izplus
1,0,1,izplus
1,0,1,g12cpx
1,0,1,g12cpx
1,0,1,mistral
1,0,1,mistral
0.903842,0.096158,0.826901,mistral
1,0,1,g12cpx
0.909402,0.090598,0.836157,mistral
1,0,1,g12lazyfd
1,0,1,g12cpx
0.9091,0.0909,0.83593,mistral
0.815339,0.173899,0.574737,allfair
0.815624,0.173606,0.575053,allfair
0.909502,0.090498,0.836196,minisatid
1,0,1,g12lazyfd
0.815339,0.173899,0.574737,allfair
1,0,1,minisatid
0.909344,0.090656,0.836145,mistral
1,0,1,mistral
0.815339,0.173899,0.574737,allfair
1,0,1,g12cpx
1,0,1,g12cpx
1,0,1,minisatid
0.90879,0.09121,0.835266,allfair
1,0,1,minisatid
0.815339,0.173899,0.574737,allfair
1,0,1,minisatid
1,0,1,minisatid
1,0,1,g12lazyfd
1,0,1,minisatid
1,0,1,minisatid
1,0,1,minisatid
1,0,1,g12lazyfd
1,0,1,mistral
1,0,1,g12cpx
1,0,1,minisatid
0.815339,0.173899,0.574737,allfair
1,0,1,g12mip
1,0,1,g12mip
0.910022,0.089978,0.837209,minisatid
0.909873,0.090127,0.836823,fzn2smt
1,0,1,g12mip
0.910495,0.089505,0.838282,mistral
1,0,1,g12cpx
1,0,1,allfair
1,0,1,allfair
1,0,1,minisatid
1,0,1,minisatid
0.904459,0.095541,0.827979,mistral
1,0,1,allfair
1,0,1,g12mip
1,0,1,minisatid
1,0,1,minisatid
1,0,1,minisatid
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
0.907453,0.092547,0.833037,mistral
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
0.910192,0.089808,0.837587,mistral
1,0,1,allfair
1,0,1,allfair
1,0,1,g12cpx
1,0,1,allfair
0.816948,0.168295,0.583378,allfair
1,0,1,allfair
0.910996,0.089004,0.839161,minisatid
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,g12cpx
0.81329,0.172123,0.579264,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
0.813836,0.172329,0.578443,allfair
1,0,1,minisatid
0.813351,0.172059,0.579333,allfair
1,0,1,allfair
1,0,1,allfair
1,0,1,allfair
0.813782,0.172384,0.578383,allfair
0.81329,0.172123,0.579264,allfair
0.813575,0.171825,0.579586,allfair
0.814329,0.171036,0.580437,allfair
0.813876,0.172287,0.578489,allfair
0.923077,0,1,minisatid
0.923077,0,1,fzn2smt
0.911695,0.088305,0.840328,minisatid
0.947368,0,1,allfair
0.947368,0,1,fzn2smt
0.952381,0,1,allfair
0.967742,0,1,allfair
0.033363,0.965673,0.0625,fzn2smt
1,0,1,fzn2smt
0.81329,0.172123,0.579264,allfair
1,0,1,fzn2smt
0.033103,0.966014,0.0625,ortools
0.032472,0.966806,0.0625,ortools
0.029611,0.970389,0.0625,ortools
0.81517,0.170156,0.581383,allfair
0.81409,0.172063,0.578729,allfair
0.81388,0.171506,0.579931,allfair
0.029524,0.970476,0.0625,ortools
0.813956,0.172203,0.578579,allfair
0.814384,0.171756,0.579061,allfair
0.029607,0.970393,0.0625,fzn2smt
0.81331,0.172102,0.579287,allfair
0.813453,0.171953,0.579448,allfair
0.812613,0.171374,0.580891,allfair
0.800514,0.156336,0.617519,allfair
