@relation 'FEATURE_VALUES-SAT11-RANDOM-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 5'

@attribute VCG_CLAUSE_min numeric
@attribute saps_FirstLocalMinStep_Q10 numeric
@attribute gsat_BestSolution_Mean numeric
@attribute cl_size_mean numeric
@attribute nclauses numeric
@attribute algorithm {EagleUP_1.565.350,SAT09referencesolverTNM_2009-03-22,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02,adaptg2wsat2011_2011-03-02,sattime2011_2011-03-02,MPhaseSAT_M_2011-02-16,march_rw_2011-03-02,SAT09referencesolvermarch_hi_hi,SAT09referencesolvergnovelty+2_2009-03-22,allfair}

@data
0.0875,10,9.7005,28.5736,7120,SAT09referencesolverTNM_2009-03-22
0.1,9,8.5197,25.7436,6230,EagleUP_1.565.350
0.0051,119,19.2836,32.3752,2546,allfair
0.0044,140,17.8645,36.1473,2969,EagleUP_1.565.350
0.0002,0,257.182,59.6007,62563,EagleUP_1.565.350
0.0077,77,12.6254,23.8191,1694,march_rw_2011-03-02
0.0025,364,79.9176,73.3461,40000,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0778,12,10.455,31.3211,8010,allfair
0.0056,108,16.2036,29.303,2330,SAT09referencesolvermarch_hi_hi
0.1,9,8.4507,25.759,6230,allfair
0.0047,130,19.3754,34.1957,2758,allfair
0.1167,8,7.2822,22.7553,5340,EagleUP_1.565.350
0.0038,162,19.8817,33.708,3393,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0233,42,26.1501,52.079,25500,allfair
0.0033,272,63.0916,66.3107,30000,SAT09referencesolverTNM_2009-03-22
0.004,225,52.6607,61.7119,25000,SAT09referencesolvergnovelty+2_2009-03-22
0.0001,0,1607,100.28,167019,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0067,89,15.5153,25.9852,1912,march_rw_2011-03-02
0.0047,128,17.8345,33.9853,2752,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0033,267,64.4846,68.4821,30000,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0778,12,10.599,31.3803,8010,MPhaseSAT_M_2011-02-16
0.05,16,8.5583,23.2896,2130,march_rw_2011-03-02
0.1,9,8.5466,25.724,6230,allfair
0.14,6,6.3853,19.5631,4450,SAT09referencesolvermarch_hi_hi
0.005,177,47.1092,56.684,20000,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0067,131,36.5213,51.7941,15000,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0055,109,17.2262,30.5291,2335,allfair
0.0233,42,25.7865,51.8292,25500,allfair
0.0076,79,10.9497,24.7939,1696,SAT09referencesolvergnovelty+2_2009-03-22
0.0061,98,14.4062,28.2759,2119,march_rw_2011-03-02
0.1167,8,7.4009,22.8044,5340,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0001,8494,1787.25,96.1626,166812,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.1,9,8.4032,25.8163,6230,sattime2011_2011-03-02
0.0002,3129,257.417,65.3405,62521,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0102,58,10.8669,18.1934,1274,march_rw_2011-03-02
0.0003,2071,162.65,53.9201,41691,EagleUP_1.565.350
0.0003,2096,177.143,54.1087,41704,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0025,359,80.5714,73.9585,40000,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.14,6,6.383,19.7041,4450,SAT09referencesolvermarch_hi_hi
0.05,16,8.227,23.2501,2130,march_rw_2011-03-02
0.0667,12,6.488,18.8073,1597,SAT09referencesolvergnovelty+2_2009-03-22
0.04,20,9.8453,27.6514,2662,allfair
0.0051,120,16.1048,31.9067,2544,SAT09referencesolvergnovelty+2_2009-03-22
0.0875,10,9.5004,28.4094,7120,MPhaseSAT_M_2011-02-16
0.0078,77,11.817,24.2877,1690,march_rw_2011-03-02
0.0012,510,44.4878,34.4051,10422,EagleUP_1.565.350
0.1167,8,7.2822,22.8807,5340,SAT09referencesolvermarch_hi_hi
0.05,16,8.1699,23.6086,2130,SAT09referencesolvergnovelty+2_2009-03-22
0.1167,8,7.5343,22.8437,5340,march_rw_2011-03-02
0.0076,79,10.6086,24.9319,1699,SAT09referencesolverTNM_2009-03-22
0.0667,12,6.5653,18.6596,1597,SAT09referencesolvergnovelty+2_2009-03-22
0.05,16,8.3467,23.3564,2130,march_rw_2011-03-02
0.1,9,8.467,25.7564,6230,SAT09referencesolvermarch_hi_hi
0.14,6,6.4333,19.7218,4450,SAT09referencesolvergnovelty+2_2009-03-22
0.0175,57,33.4792,57.3688,34000,allfair
0.028,35,22.1762,48.9519,21250,allfair
0.0003,2096,153.105,52.2324,41711,EagleUP_1.565.350
0.0068,87,14.3298,26.0812,1897,march_rw_2011-03-02
0.0052,118,17.4363,32.7099,2538,allfair
0.0076,80,11.4123,24.5861,1701,SAT09referencesolvergnovelty+2_2009-03-22
0.04,20,9.9358,27.696,2662,allfair
0.14,6,6.2688,19.8139,4450,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0333,24,11.5623,31.8011,3195,allfair
0.0001,0,830.25,99.2378,145968,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.14,6,6.3385,19.6603,4450,EagleUP_1.565.350
0.0006,1033,92.5085,41.719,20886,SAT09referencesolverTNM_2009-03-22
0.04,20,9.4805,27.8679,2662,EagleUP_1.565.350
0.0001,0,3018.4,90.686,146031,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0012,505,47.9789,34.0087,10414,EagleUP_1.565.350
0.0061,99,16.8805,28.1221,2119,march_rw_2011-03-02
0.0233,41,26.0783,52.1004,25500,allfair
0.005,174,43.4915,57.493,20000,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0051,121,16.0455,32.9878,2549,sattime2011_2011-03-02
0.14,6,6.3174,19.8814,4450,SAT09referencesolvermarch_hi_hi
0.05,16,8.2589,23.272,2130,SAT09referencesolvergnovelty+2_2009-03-22
0.04,20,10.499,27.5932,2662,adaptg2wsat2011_2011-03-02
0.0047,131,19.3358,34.7155,2760,allfair
0.0025,365,82.0787,73.1195,40000,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0056,106,15.1366,30.33,2309,SAT09referencesolverTNM_2009-03-22
0.0286,29,12.4554,35.8896,3727,EagleUP_1.565.350
0.0025,360,80.9067,76.4793,40000,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0002,0,376.375,72.4741,83430,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0076,79,13.5946,23.2675,1699,march_rw_2011-03-02
0.0041,151,18.6081,36.0018,3175,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.028,35,22.0945,49.0404,21250,allfair
0.0044,140,17.6697,36.7479,2973,EagleUP_1.565.350
0.05,16,8.3425,23.2857,2130,march_rw_2011-03-02
0.0044,138,20.0438,35.9109,2944,allfair
0.028,35,22.2811,49.0707,21250,allfair
0.0051,118,18.8289,32.104,2543,allfair
0.005,177,46.1079,56.3427,20000,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0667,12,6.3667,18.7653,1597,march_rw_2011-03-02
0.0033,270,61.9618,67.5144,30000,SAT09referencesolvergnovelty+2_2009-03-22
0.0088,67,12.0266,21.9459,1471,march_rw_2011-03-02
0.0122,48,8.351,17.8444,1061,march_rw_2011-03-02
0.0002,0,371.125,72.0619,83454,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0025,366,80.3294,74.9631,40000,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0056,111,13.128,30.6014,2333,SAT09referencesolverTNM_2009-03-22
0.05,16,8.3003,23.5681,2130,SAT09referencesolverTNM_2009-03-22
0.0056,107,17.4909,30.303,2329,march_rw_2011-03-02
0.0044,140,17.5043,35.7248,2964,SAT09referencesolverTNM_2009-03-22
0.1167,8,7.4108,22.7185,5340,SAT09referencesolvermarch_hi_hi
0.0001,8467,1521.5,102.9991,166834,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0078,76,11.2115,24.9519,1690,SAT09referencesolverTNM_2009-03-22
0.0086,69,11.5727,22.4803,1487,march_rw_2011-03-02
0.0033,269,64.7059,65.672,30000,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0044,138,20.352,35.3137,2960,allfair
0.0062,97,14.0873,28.7976,2114,SAT09referencesolverTNM_2009-03-22
0.028,35,22.3092,49.3686,21250,allfair
0.0778,12,10.4899,31.3407,8010,allfair
0.0778,12,10.5721,30.9765,8010,allfair
0.0056,108,13.8397,29.9457,2328,EagleUP_1.565.350
0.05,16,8.1858,23.3902,2130,EagleUP_1.565.350
0.04,20,9.1173,27.7354,2662,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0875,10,9.6618,28.6242,7120,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.1167,8,7.242,22.7836,5340,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0333,24,11.4302,31.42,3195,allfair
0.0002,0,508,68.3166,83408,EagleUP_1.565.350
0.0003,2086,211.05,54.5401,41704,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0051,119,15.5496,32.055,2544,SAT09referencesolvergnovelty+2_2009-03-22
0.0333,24,11.5634,31.7705,3195,adaptg2wsat2011_2011-03-02
0.1167,8,7.4636,22.9208,5340,SAT09referencesolvermarch_hi_hi
0.0001,10567,1790.33,99.8759,208528,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.1167,8,7.3822,22.8636,5340,SAT09referencesolvergnovelty+2_2009-03-22
0.035,28,18.0451,56.914,17000,EagleUP_1.565.350
0.0003,2106,200.476,52.396,41730,EagleUP_1.565.350
0.0667,12,6.4296,18.9715,1597,march_rw_2011-03-02
0.0006,1038,89.5857,42.2061,20901,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0333,24,10.9476,31.764,3195,SAT09referencesolvergnovelty+2_2009-03-22
0.0062,97,15.3626,27.6969,2116,EagleUP_1.565.350
0.0051,118,16.9373,31.8895,2543,EagleUP_1.565.350
0.14,6,6.3101,19.7501,4450,SAT09referencesolvergnovelty+2_2009-03-22
0.0025,360,84.4878,73.0454,40000,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0001,7403,3701.6,93.5268,146006,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0101,58,9.8276,19.825,1274,march_rw_2011-03-02
0.0667,12,6.3944,19.0053,1597,march_rw_2011-03-02
0.0051,120,17.2639,32.3324,2548,allfair
0.0001,6341,681,77.8833,125199,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.05,16,8.647,23.6382,2130,march_rw_2011-03-02
0.0047,129,17.3368,34.5868,2756,EagleUP_1.565.350
0.004,220,53.6761,62.2647,25000,EagleUP_1.565.350
0.0002,0,436.75,70.6967,83430,EagleUP_1.565.350
0.0286,29,12.6459,35.7961,3727,sattime2011_2011-03-02
0.0003,2073,153.429,54.7557,41713,EagleUP_1.565.350
0.0127,46,9.6673,16.9876,1054,march_rw_2011-03-02
0.1,9,8.4642,25.5991,6230,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0048,128,20.0993,33.8186,2749,allfair
0.0088,68,9.1994,22.2052,1480,SAT09referencesolverTNM_2009-03-22
0.0061,98,15.7189,27.6489,2119,march_rw_2011-03-02
0.0667,12,6.5338,18.8305,1597,march_rw_2011-03-02
0.004,222,52.2326,63.9561,25000,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.004,151,21.1173,37.9504,3188,SAT09referencesolvergnovelty+2_2009-03-22
0.0286,29,13.0962,35.5536,3727,SAT09referencesolvergnovelty+2_2009-03-22
0.0041,150,19.5549,37.5792,3167,SAT09referencesolverTNM_2009-03-22
0.0001,10536,1955.67,107.8215,208588,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0044,139,22.32,35.6061,2965,allfair
0.1,9,8.4211,25.6988,6230,SAT09referencesolvermarch_hi_hi
0.0333,24,11.1482,31.8496,3195,SAT09referencesolvergnovelty+2_2009-03-22
0.0077,77,13.4423,23.7346,1689,march_rw_2011-03-02
0.0333,24,10.9284,31.6145,3195,sattime2011_2011-03-02
0.0001,5344,553.833,74.3659,104354,EagleUP_1.565.350
0.04,20,9.6016,27.5799,2662,allfair
0.0056,108,16.3257,29.4282,2333,march_rw_2011-03-02
0.0333,24,11.4773,31.6895,3195,allfair
0.0778,12,10.3985,31.0641,8010,EagleUP_1.565.350
0.1,9,8.5274,25.8331,6230,march_rw_2011-03-02
0.028,34,22.1147,49.1828,21250,allfair
0.005,176,43.6109,56.8889,20000,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0069,88,14.2783,25.2045,1905,march_rw_2011-03-02
0.0012,513,50.1327,33.7468,10438,SAT09referencesolverTNM_2009-03-22
0.0333,24,10.708,31.8982,3195,sattime2011_2011-03-02
0.0333,25,10.7708,31.7502,3195,MPhaseSAT_M_2011-02-16
0.0067,131,34.5199,51.8948,15000,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0001,6280,669.2,81.4076,125188,EagleUP_1.565.350
0.04,20,9.9521,27.7751,2662,allfair
0.1,8,4.9726,13.6845,1065,march_rw_2011-03-02
0.0077,78,10.749,24.5347,1690,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0012,509,51.3553,34.0645,10434,EagleUP_1.565.350
0.0001,0,818,87.2262,145976,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0333,25,11.0732,31.626,3195,adaptg2wsat2011_2011-03-02
0.0051,119,15.6197,32.9416,2542,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0025,364,80.8171,75.3987,40000,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0044,140,18.9802,36.7121,2968,SAT09referencesolvergnovelty+2_2009-03-22
0.0286,29,12.0894,35.8678,3727,SAT09referencesolvergnovelty+2_2009-03-22
0.0233,42,26.1168,52.255,25500,allfair
0.1167,8,7.5861,22.6486,5340,EagleUP_1.565.350
0.0175,57,33.4939,58.8277,34000,allfair
0.0051,120,17.7145,32.4875,2548,EagleUP_1.565.350
0.035,27,18.258,57.6275,17000,EagleUP_1.565.350
0.0067,132,34.6474,51.3617,15000,EagleUP_1.565.350
0.1,8,4.8146,13.7436,1065,march_rw_2011-03-02
0.0124,48,7.695,16.7271,1054,march_rw_2011-03-02
0.0012,515,51.6649,34.3372,10457,EagleUP_1.565.350
0.0667,12,6.5993,18.6287,1597,march_rw_2011-03-02
0.0002,0,244.727,63.8007,62631,EagleUP_1.565.350
0.0102,58,10.2981,18.5407,1271,march_rw_2011-03-02
0.0056,109,16.7497,30.2651,2330,allfair
0.0001,10713,2143,112.1312,208736,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0001,8557,1659.25,108.0263,166873,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0778,12,10.6327,31.3117,8010,SAT09referencesolverTNM_2009-03-22
0.0778,12,10.3133,31.1373,8010,allfair
0.0778,12,10.6728,31.2291,8010,allfair
0.035,27,18.5308,57.1574,17000,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0088,68,10.8473,21.7233,1482,march_rw_2011-03-02
0.0175,56,32.919,59.1539,34000,allfair
0.0047,130,18.6235,35.4339,2758,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0875,10,9.5423,28.4698,7120,allfair
0.035,27,18.0768,57.6355,17000,adaptg2wsat2011_2011-03-02
0.005,177,43.8547,56.8542,20000,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0033,271,62.3175,67.2516,30000,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0875,10,9.584,28.6991,7120,allfair
0.005,176,43.0786,56.8166,20000,EagleUP_1.565.350
0.0233,42,26,52.015,25500,allfair
0.0012,506,50.045,34.3203,10396,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0001,0,1467.25,96.3732,166818,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.04,20,9.8475,27.6843,2662,allfair
0.0087,68,10.9107,21.4885,1484,SAT09referencesolvergnovelty+2_2009-03-22
0.0667,12,6.6333,18.7958,1597,SAT09referencesolvergnovelty+2_2009-03-22
0.0333,24,11.6795,31.5972,3195,allfair
0.0175,58,33.3347,58.4358,34000,allfair
0.0061,99,12.1907,29.0364,2114,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0068,89,14.1314,27.0555,1911,march_rw_2011-03-02
0.0041,150,20.1024,37.8903,3181,EagleUP_1.565.350
0.1,9,8.2836,25.7529,6230,SAT09referencesolvermarch_hi_hi
0.1,8,4.6833,13.8277,1065,march_rw_2011-03-02
0.05,16,7.5933,23.3727,2130,march_rw_2011-03-02
0.0077,78,10.3895,24.4159,1691,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0003,2096,166.526,53.5382,41691,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0051,118,16.8465,31.3772,2540,allfair
0.0121,48,8.0803,17.7178,1063,march_rw_2011-03-02
0.0087,69,10.2387,21.9619,1485,SAT09referencesolverTNM_2009-03-22
0.0667,12,6.2023,18.8577,1597,adaptg2wsat2011_2011-03-02
0.0001,0,504.833,81.7542,104344,EagleUP_1.565.350
0.0077,78,11.7781,25.0119,1695,EagleUP_1.565.350
0.0875,10,9.4993,28.385,7120,allfair
0.05,16,6.9566,23.4401,2130,EagleUP_1.565.350
0.0062,97,12.9986,28.1771,2111,EagleUP_1.565.350
0.0048,127,19.0931,33.4392,2742,allfair
0.0041,151,19.3264,32.0603,3182,MPhaseSAT_M_2011-02-16
0.0047,129,16.5366,34.9412,2752,SAT09referencesolverTNM_2009-03-22
0.0044,139,21.6443,35.7234,2968,allfair
0.0033,268,63.4,66.7184,30000,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.14,6,6.4924,19.771,4450,EagleUP_1.565.350
0.0102,58,10.4656,19.4101,1272,march_rw_2011-03-02
0.0124,47,9.1371,16.4968,1059,march_rw_2011-03-02
0.0103,57,10.207,19.6154,1267,march_rw_2011-03-02
0.14,6,6.3861,19.6844,4450,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0068,89,13.9752,25.9773,1912,march_rw_2011-03-02
0.028,34,22.336,49.2665,21250,allfair
0.0001,6384,726.6,82.7053,125175,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0667,12,6.4394,18.9309,1597,march_rw_2011-03-02
0.0875,10,9.4217,28.6859,7120,allfair
0.0875,10,9.5472,28.3579,7120,EagleUP_1.565.350
0.1,9,8.6224,25.5665,6230,SAT09referencesolvergnovelty+2_2009-03-22
0.0467,20,14.402,46.6295,12750,EagleUP_1.565.350
0.0044,140,18.6769,36.0624,2970,EagleUP_1.565.350
0.0125,47,8.7788,16.9423,1049,march_rw_2011-03-02
0.0002,0,312,66.2212,62579,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0667,12,6.1644,18.8794,1597,EagleUP_1.565.350
0.0047,130,17.528,34.8757,2757,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0101,59,10.3757,19.4291,1276,march_rw_2011-03-02
0.0002,0,341,61.8875,62573,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.035,27,18.4317,57.0618,17000,allfair
0.0002,3107,287.417,62.0086,62572,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.1,8,4.6001,13.899,1065,march_rw_2011-03-02
0.0124,47,8.3857,16.9231,1050,march_rw_2011-03-02
0.1167,8,7.4503,22.6799,5340,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.1167,8,7.4282,22.8812,5340,SAT09referencesolvermarch_hi_hi
0.0001,0,1554,102.9543,166883,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0102,58,11.1273,18.1341,1272,march_rw_2011-03-02
0.0175,58,32.6761,58.7361,34000,allfair
0.0056,111,13.5607,31.2912,2333,sattime2011_2011-03-02
0.1167,8,7.498,22.8548,5340,SAT09referencesolvergnovelty+2_2009-03-22
0.0233,42,26.1504,52.4036,25500,allfair
0.0002,4242,434.5,70.5679,83502,EagleUP_1.565.350
0.04,20,10.301,27.6453,2662,EagleUP_1.565.350
0.0089,67,8.8975,21.8966,1478,SAT09referencesolvergnovelty+2_2009-03-22
0.1167,8,7.4,22.8023,5340,SAT09referencesolvermarch_hi_hi
0.1167,8,7.4179,22.828,5340,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0051,118,20.55,31.0528,2545,allfair
0.0044,137,18.3146,36.8412,2961,allfair
0.0002,0,487.167,61.1773,62642,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0089,66,12.0111,21.538,1472,march_rw_2011-03-02
0.0012,508,49.0837,34.1208,10419,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0001,6322,680.8,87.4085,125264,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0051,120,15.8664,31.3202,2540,sattime2011_2011-03-02
0.0003,2061,156.818,54.1257,41695,SAT09referencesolverTNM_2009-03-22
0.1,9,8.5949,25.663,6230,SAT09referencesolvermarch_hi_hi
0.04,20,9.8355,27.7997,2662,allfair
0.0006,1036,94.5373,42.5705,20877,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0038,160,19.9446,34.2356,3388,SAT09referencesolvergnovelty+2_2009-03-22
0.0044,139,21.678,35.9018,2964,allfair
0.0001,0,850,90.3857,145983,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0467,20,14.2199,46.8616,12750,sattime2011_2011-03-02
0.0041,151,20.8228,37.3495,3184,sattime2011_2011-03-02
0.0047,128,18.792,33.8652,2752,allfair
0.1,8,5.0139,13.6355,1065,march_rw_2011-03-02
0.0778,12,10.3274,31.4722,8010,allfair
0.035,27,18.7405,57.3765,17000,EagleUP_1.565.350
0.1,8,4.8008,13.5764,1065,march_rw_2011-03-02
0.1,9,8.4133,25.773,6230,EagleUP_1.565.350
0.0175,57,33.5403,58.05,34000,allfair
0.035,27,18.3595,57.6101,17000,allfair
0.0001,6325,693.8,85.1213,125223,EagleUP_1.565.350
0.0061,99,15.7864,28.2744,2125,march_rw_2011-03-02
0.0001,5262,510.833,76.9902,104318,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.04,20,9.6576,27.826,2662,SAT09referencesolverTNM_2009-03-22
0.0001,8420,1739.75,103.0252,166810,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0087,69,11.1597,21.3074,1487,march_rw_2011-03-02
