@relation 'FEATURE_VALUES-SAT12-RAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 3'

@attribute cl_num_max numeric
@attribute cl_num_q90 numeric
@attribute cl_num_q75 numeric
@attribute algorithm {ebglucose,ebminisat,glucose2,glueminisat,lingeling,lrglshr,minisatpsm,mphaseSAT64,precosat,qutersat,rcl,restartsat,cryptominisat2011,spear-sw,spear-hw,eagleup,sparrow,marchrw,mphaseSATm,satime11,tnm,mxc09,gnoveltyp2,sattime,sattimep,clasp2,clasp1,picosat,mphaseSAT,sapperlot,sol,allfair}

@data
87,49,43,gnoveltyp2
23,15,10,sparrow
4565,4565,4526,allfair
103,54,45,eagleup
168,75,63,sparrow
4309,4309,4280,allfair
10,6,4,allfair
3922,3922,3867,allfair
4410,4410,4379,eagleup
4348,4348,4292,tnm
35,20,16,eagleup
4003,4003,3980,eagleup
4593,4593,4492,allfair
4002,4002,4002,eagleup
296,136,118,eagleup
4053,4053,4029,allfair
4385,4385,4297,gnoveltyp2
137,87,72,sparrow
4363,4363,4279,allfair
4069,4069,3873,eagleup
24,13,10,eagleup
4589,4589,4515,eagleup
92,61,47,sparrow
17,13,11,sparrow
4570,4570,4478,sparrow
3819,3819,3772,sparrow
3997,3997,3746,allfair
2708,1522,470,allfair
3959,3959,3852,eagleup
3794,3794,3764,tnm
4552,4552,4491,allfair
4001,4001,3975,sattime
11,6,4,allfair
42,22,19,sparrow
4400,4400,4400,tnm
155,77,66,sparrow
3896,3896,3704,sattimep
4439,4439,4264,sattime
3996,3996,3902,allfair
4059,4059,3977,eagleup
4521,4521,4471,gnoveltyp2
113,77,63,sparrow
4541,4541,4406,allfair
4426,4426,4362,allfair
794,278,228,allfair
4306,4306,4221,allfair
4567,4567,4534,allfair
4556,4556,4493,gnoveltyp2
32,19,14,eagleup
4568,4568,4536,eagleup
4397,4397,4396,sparrow
14,10,7,eagleup
4404,4404,4404,sattime
4046,4046,3925,sparrow
4046,4046,4006,sparrow
39,25,21,eagleup
12,7,5,sparrow
46,25,20,sparrow
2179,1710,1672,sparrow
1675,1133,874,tnm
4607,4607,4526,eagleup
4548,4548,4537,allfair
131,72,64,gnoveltyp2
3998,3998,3845,allfair
354,179,148,allfair
57,34,27,eagleup
99,66,55,sparrow
3961,3961,3862,allfair
139,88,80,gnoveltyp2
3565,3565,3141,allfair
3952,3952,3935,allfair
59,37,31,tnm
4617,4617,4617,eagleup
3862,3862,3749,allfair
4589,4589,4514,allfair
1177,832,813,sparrow
4554,4554,4548,gnoveltyp2
4626,4626,4555,eagleup
4037,4037,4007,sparrow
1346,913,670,sparrow
4057,4057,4052,eagleup
15,7,5,eagleup
1098,862,644,sparrow
2974,2122,1526,allfair
1305,339,268,allfair
2305,1518,1087,restartsat
121,80,68,satime11
4025,4025,3971,tnm
4320,4320,4273,allfair
4455,4455,4364,eagleup
4006,4006,4003,satime11
4345,4345,4345,satime11
4339,4339,4252,allfair
148,71,64,eagleup
3939,3939,3921,allfair
4008,4008,3911,eagleup
4420,4420,4346,sparrow
3807,3807,3684,satime11
39,24,20,sparrow
4658,4658,4573,eagleup
4363,4363,4312,allfair
11,5,4,sparrow
4018,4018,3972,eagleup
4404,4404,4404,satime11
4416,4416,4416,sattimep
66,50,41,sattime
1834,542,409,allfair
4510,4510,4494,sattime
4016,4016,4011,tnm
21,17,13,eagleup
3989,3989,3845,allfair
4577,4577,4539,sparrow
4080,4080,4080,allfair
4143,4143,4118,sparrow
3904,3904,3900,allfair
4003,4003,3976,satime11
107,65,55,eagleup
302,140,121,mphaseSAT64
16,9,6,sparrow
4401,4401,4331,allfair
14,7,5,sparrow
56,30,27,sparrow
37,28,22,sparrow
4351,4351,4345,allfair
158,76,64,sparrow
172,89,78,gnoveltyp2
51,32,27,sparrow
2694,1847,1274,allfair
3989,3989,3792,tnm
4397,4397,4353,sparrow
25,14,12,eagleup
4332,4332,4281,eagleup
3949,3949,3781,satime11
30,15,12,sparrow
34,27,22,sparrow
3768,3768,3567,clasp1
4582,4582,4489,allfair
4671,4671,4610,gnoveltyp2
83,55,46,eagleup
4033,4033,4010,eagleup
30,18,15,sparrow
4322,4322,4322,allfair
4365,4365,4338,allfair
4536,4536,4467,eagleup
4098,4098,3958,sparrow
108,63,56,sparrow
304,165,144,allfair
4088,4088,4030,eagleup
2992,2861,1108,allfair
4637,4637,4635,eagleup
84,49,43,sparrow
4530,4530,4438,allfair
3910,3910,3910,sattime
4649,4649,4595,sparrow
47,27,21,sparrow
26,15,12,sparrow
49,32,28,sparrow
4392,4392,4282,allfair
3932,3932,3806,allfair
50,31,27,eagleup
3944,3944,3917,gnoveltyp2
4607,4607,4512,allfair
4054,4054,3945,allfair
4418,4418,4418,mphaseSAT64
4575,4575,4528,allfair
4062,4062,4022,gnoveltyp2
74,48,41,sparrow
4617,4617,4589,eagleup
153,96,77,eagleup
4595,4595,4508,gnoveltyp2
20,12,10,eagleup
3981,3981,3842,allfair
4434,4434,4434,sattime
3955,3955,3853,eagleup
4140,4140,3981,eagleup
3992,3992,3987,allfair
4096,4096,4027,tnm
4482,4482,4438,satime11
4108,4108,3924,tnm
3992,3992,3983,sparrow
4447,4447,4357,gnoveltyp2
4569,4569,4488,allfair
31,15,12,sparrow
86,57,49,gnoveltyp2
2167,2167,2104,sattimep
42,32,27,allfair
4394,4394,4332,allfair
9,5,4,allfair
752,634,419,sparrow
4366,4366,4366,satime11
89,57,46,sparrow
3843,3843,3827,sparrow
4525,4525,4482,gnoveltyp2
75,49,43,gnoveltyp2
75,40,35,sparrow
2142,980,417,allfair
4541,4541,4461,gnoveltyp2
4037,4037,4026,allfair
4026,4026,3898,allfair
4050,4050,4036,tnm
133,70,63,gnoveltyp2
4157,4157,4012,eagleup
4621,4621,4483,allfair
4155,4155,4080,satime11
26,16,14,sparrow
4372,4372,4372,mphaseSAT64
4125,4125,4125,sattimep
40,20,16,eagleup
4046,4046,3984,allfair
44,25,20,sparrow
163,88,78,satime11
4064,4064,4045,eagleup
108,64,54,tnm
4055,4055,4016,sparrow
93,56,47,sparrow
76,51,42,tnm
4375,4375,4375,sattimep
4344,4344,4331,sattime
18,8,6,sparrow
62,38,31,tnm
143,92,77,tnm
4439,4439,4353,allfair
4307,4307,4307,tnm
32,18,13,sparrow
4633,4633,4565,gnoveltyp2
4580,4580,4480,allfair
4387,4387,4306,sparrow
0,0,0,eagleup
142,80,63,sparrow
4418,4418,4381,sparrow
4579,4579,4513,allfair
64,33,29,sparrow
27,15,12,sparrow
3828,3828,3728,gnoveltyp2
54,43,35,sparrow
4455,4455,4449,gnoveltyp2
4526,4526,4506,mphaseSAT64
85,51,42,sparrow
126,73,64,gnoveltyp2
3533,3522,3389,tnm
1842,1812,1528,allfair
3972,3972,3930,eagleup
4005,4005,3985,eagleup
183,116,101,gnoveltyp2
733,257,213,allfair
4394,4394,4322,allfair
34,19,16,eagleup
4424,4424,4334,satime11
4384,4384,4308,allfair
84,56,47,eagleup
1009,296,260,allfair
224,109,96,eagleup
3874,3874,3800,satime11
4458,4458,4430,eagleup
4426,4426,4358,eagleup
4058,4058,4005,eagleup
75,50,43,eagleup
4394,4394,4326,allfair
37,21,17,eagleup
4597,4597,4507,gnoveltyp2
12,5,4,allfair
4030,4030,3953,allfair
4431,4431,4379,allfair
3829,3829,3810,allfair
4604,4604,4489,allfair
3866,3866,3866,allfair
4301,4301,4208,tnm
49,36,28,sparrow
3369,3206,2172,sparrow
3986,3986,3953,eagleup
4464,4464,4353,gnoveltyp2
87,54,47,sparrow
4598,4598,4571,eagleup
8,5,4,sparrow
4478,4478,4431,eagleup
4069,4069,3932,eagleup
4030,4030,3998,sattimep
4605,4605,4519,gnoveltyp2
4579,4579,4496,allfair
4336,4336,4336,sattimep
4601,4601,4498,mphaseSATm
3945,3945,3917,gnoveltyp2
4111,4111,4102,sparrow
4064,4064,4063,eagleup
256,159,145,allfair
90,64,56,tnm
31,16,13,eagleup
3935,3935,3888,allfair
4399,4399,4284,eagleup
139,70,63,gnoveltyp2
3707,3707,3622,allfair
3644,3612,3571,satime11
4594,4594,4535,gnoveltyp2
3912,3912,3842,allfair
99,64,54,gnoveltyp2
4379,4379,4303,sparrow
4326,4326,4315,sparrow
4352,4352,4352,gnoveltyp2
4394,4394,4346,allfair
36,19,14,eagleup
3890,3232,2926,satime11
4087,4087,4007,sparrow
124,85,72,sparrow
310,153,118,eagleup
3938,3938,3925,satime11
3942,3942,3895,allfair
127,81,69,eagleup
4391,4391,4368,sparrow
405,180,164,tnm
3908,3908,3882,allfair
4129,4129,4026,allfair
4307,4307,4307,eagleup
61,33,27,sparrow
4334,4334,4286,eagleup
4046,4046,3977,sparrow
1497,957,869,sparrow
31,12,9,sparrow
133,112,93,allfair
3994,3994,3956,eagleup
4587,4587,4504,eagleup
146,82,65,sparrow
4574,4574,4521,allfair
3930,3930,3900,mphaseSAT64
3964,3964,3897,allfair
4212,4212,4212,allfair
270,134,114,sparrow
3985,3985,3940,eagleup
4045,4045,3956,tnm
4477,4477,4470,allfair
4247,4247,4201,satime11
61,34,27,sparrow
4104,4104,4007,sattime
2987,2942,2817,satime11
4132,4132,4128,eagleup
4605,4605,4544,sparrow
158,92,81,sparrow
17,9,6,sparrow
4140,4140,4140,eagleup
4425,4425,4301,sparrow
3856,3856,3654,sparrow
4394,4394,4296,eagleup
2616,937,380,allfair
25,19,15,eagleup
23,13,10,eagleup
4496,4496,4428,allfair
4426,4426,4379,sparrow
3511,3511,3448,clasp2
4471,4471,4462,sattimep
4369,4369,4312,allfair
4010,4010,3928,allfair
4083,4083,3994,eagleup
295,147,114,sparrow
4366,4366,4239,sattimep
3739,3739,3715,eagleup
101,64,53,gnoveltyp2
4040,4040,4028,eagleup
44,27,22,sparrow
4361,4361,4322,allfair
2729,2669,978,sparrow
3904,3904,3819,allfair
4526,4526,4514,sparrow
3765,3765,3714,eagleup
4582,4582,4476,allfair
61,40,34,eagleup
4417,4417,4351,allfair
4049,4049,4018,eagleup
4148,4148,4107,gnoveltyp2
3913,3913,3824,eagleup
4516,4516,4420,eagleup
4398,4398,4398,sattimep
4536,4536,4536,sparrow
3903,3903,3859,tnm
3800,3800,3798,sparrow
11,7,5,sparrow
71,47,41,gnoveltyp2
4168,4168,4168,eagleup
3304,3238,1281,tnm
65,38,29,tnm
3733,2996,1210,eagleup
4391,4391,4239,sparrow
115,77,66,tnm
71,40,35,eagleup
4049,4049,4031,gnoveltyp2
4090,4090,4049,gnoveltyp2
142,85,79,eagleup
4011,4011,3993,allfair
3641,3641,3619,satime11
4403,4403,4195,gnoveltyp2
4109,4109,3971,eagleup
43,25,20,sparrow
3421,3421,2155,allfair
4337,4337,4337,satime11
3860,3860,3742,allfair
2081,578,376,allfair
4342,4342,4306,allfair
58,32,27,sparrow
4359,4359,4359,mphaseSAT64
4519,4519,4461,allfair
110,72,64,eagleup
160,91,80,sparrow
3994,3994,3865,gnoveltyp2
4345,4345,4345,eagleup
4430,4430,4347,allfair
3560,3275,2033,sparrow
3963,3963,3959,eagleup
76,50,41,sattime
3962,3962,3789,allfair
4107,4107,4015,allfair
3959,3959,3891,sparrow
148,85,70,mphaseSAT64
4371,4371,4241,allfair
108,75,62,gnoveltyp2
118,69,64,gnoveltyp2
4173,4173,4047,eagleup
4354,4354,4354,eagleup
31,19,15,eagleup
407,175,155,sparrow
362,195,159,tnm
2771,1844,1185,satime11
18,10,8,sparrow
12,8,6,sparrow
27,18,15,eagleup
4012,4012,3934,eagleup
85,47,41,tnm
23,13,10,eagleup
4530,4530,4467,allfair
143,104,91,allfair
4005,4005,3967,allfair
98,63,55,eagleup
113,75,64,sparrow
122,72,64,eagleup
4428,4428,4406,eagleup
1919,1692,1499,allfair
4068,4068,4038,eagleup
4582,4582,4543,sparrow
4519,4519,4442,allfair
4332,4332,4306,satime11
3951,3951,3918,eagleup
