@relation 'FEATURE_VALUES-SAT12-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute VCG_VAR_max numeric
@attribute HORNY_VAR_max numeric
@attribute VG_max numeric
@attribute cluster_coeff_mean numeric
@attribute cluster_coeff_min numeric
@attribute cl_num_q75 numeric
@attribute SP_unconstraint_mean numeric
@attribute saps_FirstLocalMinRatio_CoeffVariance numeric
@attribute lobjois_mean_depth_over_vars numeric
@attribute lobjois_log_num_nodes_over_vars numeric

@data
0.0023,0.0009,0.0008,?,?,1219,0.0521,0,0.0093,0.0401
0.0018,0.001,0.0015,?,?,358,0.0758,0,0.0258,0.1334
?,?,?,?,?,?,?,?,?,?
0.0562,0.0161,0.0195,?,?,310,0.0657,0.1577,0.0508,0.5619
0.0127,0.0038,0.0089,?,?,0,0.3134,0,0.4478,0.4843
0.0048,0.0016,0.0032,?,?,495,0.0751,0.2176,0.0683,0.1772
0.0008,0.0008,0.0008,?,?,45,0.0865,0,0.4034,0.7489
0.0197,0.0093,0.0172,0.1296,0.0046,2799,0.0338,0.0106,0.1577,0.95
0.0001,0,0.0001,?,?,13,0.0191,0,0.1322,0.4044
?,?,?,?,?,?,?,?,?,?
0.0345,0.0179,0.0392,?,?,93,0.0514,0.0214,0.288,0.5646
0.0043,0.0011,0.0033,?,?,0,0.0967,0,0.1339,0.2373
0.0123,0.0063,0.005,?,?,1287,0.0068,0.0076,0.571,0.797
0.0034,0.0016,0.0019,?,?,289,0.0721,0,0.0307,0.1224
?,?,?,?,?,?,?,?,?,?
0.0082,0.0076,0.0059,?,?,0,0.1632,0.0052,0.4208,0.8641
0.0005,0.0002,0.0002,0.2547,0.0887,310,0.0308,0.391,0.0354,0.1206
0.0007,0.0003,0.0007,?,?,1071,0.0311,0,0.0232,0.098
0.0072,0.0034,0.0054,0.1488,0.0101,3032,0.0347,0.0268,0.1011,0.4831
?,?,?,?,?,?,?,?,?,?
0.0026,0.0008,0.003,?,?,0,0.0879,0,0.2429,0.4255
0.0001,0,0.0001,0.1488,0.0309,0,0.0158,0,0.1319,0.4467
0.0118,0.0028,0.008,?,?,582,0.1218,0.0217,0.2015,0.5065
0.0061,0.0007,0.0011,?,?,546,0.0687,0.0274,0.2362,0.4031
0.0144,0.0109,0.0117,?,?,0,0.0902,0,0.1453,0.4489
0.0074,0.0037,0.0042,?,?,198,0.0759,0,0.0196,0.0498
0,0,0,?,?,0,0.0156,0,0.2407,0.7407
0.0019,0.0015,0.002,0.173,0.0187,0,0.033,0.0316,0.2237,0.6249
0.002,0.0013,0.0035,?,?,2753,0.0123,0.0025,0.2631,0.3274
0.0001,0.0001,0.0001,?,?,18,0.0194,0,0.1521,0.5147
0.0132,0.0074,0.0105,?,?,65,0.069,0,0.2314,0.5476
0.0001,0,0.0001,?,?,53,0.0149,0,0.103,0.3928
0.0163,0.0162,0.0013,?,?,1024,0.0103,0,0.267,0.6859
0.0003,0.0002,0.0006,?,?,0,0.1023,0,0.0631,0.2616
0.0018,0.0015,0.0021,0.1729,0.0184,0,0.033,0.2117,0.2486,0.6306
0.0005,0.0002,0.0002,0.2768,0.1053,380,0.0312,0.0316,0.0335,0.0808
?,?,?,?,?,?,?,?,?,?
0.0023,0.0009,0.0008,?,?,0,0.0543,0,0.0117,0.1051
0.0022,0.0012,0.0107,?,?,9,0.1745,0,0.1954,0.388
0.0066,0.003,0.0067,?,?,453,0.0793,1.1038,0.0455,0.1576
0.0001,0,0.0001,0.1556,0.0277,223,0.0161,0,0.2077,0.7596
0.0001,0,0.0001,0.1532,0.0246,211,0.0164,0,0.1808,0.7452
0.0096,0.0072,0.0104,0.2754,0.0272,3329,0.0512,0.0368,0.2912,0.9841
0.0022,0.0008,0.0014,?,?,1239,0.037,0.013,0.081,0.6718
0.0004,0.0004,0.0005,?,?,0,0.1553,0,0.3609,0.398
0.0056,0.0053,0.0044,?,?,0,0.1511,0.0158,0.324,0.7954
0.0187,0.0138,0.0152,?,?,0,0.0748,0,0.1641,0.7542
0.0041,0.0017,0.0044,?,?,428,0.0609,0.078,0.2039,0.8738
0.0406,0.0091,0.0104,?,?,139,0.0507,0.3709,0.0551,0.2383
0.0017,0.0008,0.0012,?,?,0,0.033,0,0.057,0.1448
0.0065,0.0043,0.0053,?,?,0,0.0465,0,0.0015,0.0015
0.0115,0.0095,0.0103,?,?,919,0.0676,0.0603,0.1251,0.6974
0.0236,0.0118,0.0171,0.2235,0.006,2230,0.0578,0.0321,0.139,0.6596
0.0112,0.0056,0.0099,?,?,1142,0.0723,0.0132,0.1091,0.4202
0.0162,0.0073,0.01,0.1848,0.0476,572,0.0163,0.0034,0.5216,0.8927
0.0014,0.0014,0.0018,?,?,0,0.155,0,0.3416,0.595
0.0013,0.0006,0.0015,?,?,172,0.0573,0,0.1457,0.3861
0.0073,0.0063,0.0092,0.2751,0.0218,2446,0.0504,0.0328,0.2684,0.9866
0.0011,0.001,0.0018,?,?,106,0.0775,0.1109,0.5641,0.7058
0.0021,0.0009,0.0022,?,?,153,0.0606,0,0.187,0.708
?,?,?,?,?,?,?,?,?,?
0.0059,0.0055,0.0043,?,?,0,0.1508,0.0145,0.3578,0.8323
0.0044,0.0011,0.0033,?,?,0,0.0967,0,0.1552,0.2664
0.0057,0.0055,0.0023,?,?,0,0.1419,0.0314,0.3038,0.5267
0.0045,0.0015,0.0052,0.2222,0.0026,1859,0.0555,0.0564,0.1683,0.5463
0.002,0.0009,0.0016,?,?,0,0.0254,0,0.2199,0.7465
0.0165,0.0083,0.0089,?,?,0,0.0571,0,0.3703,0.4933
0.0001,0.0001,0.0002,?,?,0,0.001,0,0.4929,0.6875
0.0001,0,0.0001,0.1556,0.0277,223,0.0161,0,0.1714,0.711
0.0018,0.0009,0.0013,?,?,334,0.0767,0,0.0208,0.1034
0.011,0.0065,0.009,?,?,0,0.0523,0,0.2162,0.5808
0.0005,0.0005,0.0007,?,?,0,0.0352,0,0.1919,0.34
0.0011,0.0006,0.001,0.2027,0.0006,936,0.0618,0.0469,0.0735,0.3313
?,?,?,?,?,?,?,?,?,?
0.0048,0.0013,0.0037,?,?,0,0.0979,0,0.1092,0.1918
0.0037,0.0013,0.005,?,?,860,0.1085,0.2894,0.064,0.2195
0.0001,0.0001,0.0001,0.1403,0.0274,0,0.0138,0,0.1847,0.6525
0.0013,0.001,0.0025,?,?,0,0.0724,0,0.0191,0.0509
0.003,0.002,0.0089,0.1276,0.0048,730,0.0658,0.7519,0.1102,0.3353
0.007,0.0026,0.0071,?,?,460,0.0795,0.2442,0.0367,0.1818
0.0281,0.0244,0.02,0.2519,0.0059,1782,0.0541,0.0207,0.1081,0.5319
0.001,0.0006,0.001,?,?,833,0.0549,0.2112,0.0435,0.1198
0.0016,0.0009,0.0017,0.1523,0.0314,373,0.0239,0.4336,0.0671,0.36
?,?,?,?,?,?,?,?,?,?
0.0001,0,0.0001,0.1531,0.0258,179,0.016,0,0.1995,0.5667
0.0014,0.0004,0.0013,?,?,1242,0.0552,0.2601,0.0771,0.1895
0.0008,0.0004,0.0008,?,?,829,0.0369,0,0.0206,0.1031
0.0162,0.0057,0.0112,?,?,257,0.0477,0.004,0.1974,0.575
0.0162,0.0162,0.0005,?,?,0,0.0951,0,0.1874,0.4899
0.0069,0.004,0.0071,0.1547,0.0347,1073,0.0258,0.0411,0.237,0.6929
0.0236,0.0126,0.0122,0.1375,0.0149,3845,0.0267,0.0235,0.1774,0.9438
0.09,0.0067,0.0074,?,?,1068,0.0447,0.0973,0.0918,0.6007
0.0005,0.0002,0.0006,?,?,0,0.1013,0,0.0828,0.2505
0.0003,0.0002,0.0002,0.3003,0.0849,324,0.0313,0.0695,0.0324,0.0877
0.0153,0.0077,0.0084,?,?,830,0.0696,0.0701,0.0719,0.3598
0.0001,0.0001,0.0001,0.1431,0.0276,50,0.0149,0,0.1555,0.6285
0.0073,0.0063,0.0092,0.2751,0.0218,2552,0.0504,0.033,0.2675,0.9853
0.0023,0.0023,0.0013,?,?,1852,0,0.0001,0.7519,0.9256
0.0095,0.0048,0.0036,?,?,543,0.0048,0.0141,0.5535,0.7363
0.0065,0.0043,0.0053,?,?,0,0.0465,0,0.0141,0.0275
0.0234,0.012,0.024,?,?,35,0.1265,0,0.2858,0.522
0.0101,0.0049,0.0159,0.157,0,182,0.0964,0.0768,0.0526,0.3472
0.0073,0.0036,0.0042,?,?,165,0.0758,0,0.0187,0.0567
0.0005,0.0002,0.0002,0.2563,0.0887,280,0.0308,0.0073,0.0356,0.1313
0.0021,0.0016,0.0022,0.1715,0.0186,0,0.0331,0.1085,0.2507,0.6519
0.0004,0.0004,0.0007,?,?,10,0.0971,0,0.5688,0.6957
0.0077,0.0033,0.0056,?,?,362,0.0782,0.3257,0.0322,0.0994
0.0006,0.0003,0.0006,?,?,735,0.0405,0,0.0171,0.07
0.0046,0.0045,0.0026,?,?,4017,0,0.0016,0.781,0.9337
0.0079,0.0077,0.0052,?,?,0,0.0404,0,0.2712,0.5161
0.0001,0.0001,0.0001,0.158,0.0269,272,0.0164,0,0.1955,0.4909
0.0172,0.007,0.0096,?,?,885,0.0684,0.0517,0.0875,0.4291
0.0032,0.0016,0.0049,?,?,0,0.0422,0,0.1187,0.1883
0.003,0.0019,0.0019,?,?,624,0.0515,0,0.0288,0.1488
0.0003,0.0002,0.0002,0.3003,0.0872,333,0.0313,0.0233,0.0329,0.0948
0.0005,0.0005,0.0008,?,?,0,0.0687,0,0.2218,0.7097
0.0002,0.0001,0.0002,0.1253,0.014,41,0.0193,0,0.2258,0.5719
0.0018,0.0008,0.0033,?,?,1196,0.0149,0.0426,0.3208,0.4196
0.0001,0.0001,0.0001,0.1456,0.0261,150,0.0149,0,0.1628,0.6042
0.0008,0.0008,0.001,?,?,0,0.1561,0,0.3834,0.5061
0.0113,0.0057,0.0048,?,?,700,0.0063,0.0121,0.5938,0.8177
0.0068,0.0035,0.006,0.1558,0.0159,1668,0.0386,0.0151,0.1314,0.5364
0.0094,0.0035,0.0168,?,?,2725,0.153,0.1576,0.1248,0.4368
0.0064,0.0026,0.0066,?,?,234,0.0808,0.1349,0.0355,0.184
0.0086,0.0041,0.0065,?,?,386,0.0786,0.0125,0.0313,0.125
0.0076,0.0038,0.0043,?,?,542,0.0759,0,0.0183,0.0619
0.0005,0.0002,0.0002,0.2765,0.1053,408,0.0312,0.4644,0.0316,0.0814
0.0047,0.0022,0.0028,?,?,454,0.0682,0.8711,0.0431,0.2261
0.0021,0.0016,0.0022,0.1715,0.0186,0,0.0331,0.209,0.2482,0.6938
0.0012,0.0005,0.001,?,?,667,0.0507,0.0044,0.0632,0.2383
0.0096,0.0057,0.0105,?,?,0,0.0784,0,0.1431,0.2222
0.0209,0.0009,0.0008,?,?,429,0.0751,0.0712,0.2964,0.5093
0.0043,0.0025,0.0051,0.2261,0.0025,2105,0.0564,0.2409,0.1677,0.7461
0.0021,0.0017,0.0023,0.172,0.0186,0,0.0331,0.2391,0.2744,0.694
0.0063,0.0059,0.0041,?,?,0,0.1512,0.0149,0.3334,0.8395
0.0005,0.0002,0.0002,0.2563,0.0887,280,0.0308,0.0505,0.0371,0.1094
0.0022,0.0011,0.0023,?,?,1758,0.0226,0.0031,0.1078,0.7485
0.0281,0.0244,0.02,0.2519,0.0059,1782,0.0541,0.0233,0.1062,0.7177
0.0082,0.0076,0.0059,?,?,0,0.1632,0.0014,0.406,0.8159
0.0127,0.0038,0.0089,?,?,0,0.3134,0,0.3958,0.3958
0.0033,0.001,0.0038,?,?,0,0.0977,0,0.2016,0.5806
0.0094,0.0035,0.0168,?,?,2725,0.153,0.5393,0.1263,0.4317
0.0065,0.0043,0.0054,?,?,0,0.0465,0,0.0265,0.0265
0.0016,0.0014,0.0016,?,?,756,0.0538,0.3192,0.3373,0.7098
0.0042,0.004,0.012,?,?,2104,0.0621,0.0043,0.0742,0.3998
0.0147,0.0066,0.0082,?,?,784,0.0714,0.0532,0.0802,0.3671
0.0003,0.0002,0.0002,?,?,75,0.0401,0,0.0793,0.1912
0.019,0.0095,0.0745,0.1245,0.0176,4059,0.2328,0.0056,0.7629,0.951
0.0065,0.0043,0.0054,?,?,0,0.0465,0,0.0211,0.0211
0.0005,0.0002,0.0006,?,?,0,0.1208,0,0.0916,0.3178
0.0005,0.0002,0.0006,?,?,0,0.1013,0,0.0779,0.3648
0.0078,0.0033,0.0053,?,?,663,0.0716,0.0791,0.0706,0.3378
0.009,0.0036,0.0078,0.183,0.0094,3267,0.0429,0.0198,0.2244,0.84
0.0294,0.0155,0.0166,0.1404,0.017,3829,0.0275,0.0216,0.2036,0.992
0.0005,0.0002,0.0002,0.2768,0.1026,254,0.0312,0.0943,0.0358,0.0869
0.0043,0.0011,0.0033,?,?,0,0.0966,0,0.1462,0.2281
0.0044,0.0015,0.0032,?,?,1128,0.0423,0.0055,0.0849,0.319
0.0188,0.0095,0.0061,?,?,0,0.0055,0.0093,0.4936,0.7606
0.038,0.0163,0.0307,0.1935,0.0493,0,0.0422,0.0408,0.4398,0.9654
0.0044,0.0042,0.0124,?,?,2170,0.0612,0.155,0.078,0.6091
0.0398,0.0095,0.0124,?,?,773,0.0474,0.1689,0.1446,0.7319
0.0203,0.0106,0.021,?,?,0,0.1093,0,0.2173,0.6025
0.0036,0.0015,0.0023,?,?,372,0.0744,0.866,0.0304,0.1131
0.0005,0.0002,0.0002,0.2764,0.1053,333,0.0312,0.0819,0.0346,0.0922
0.0036,0.0036,0.0021,?,?,1387,0,0.0211,0.751,0.9333
0.0127,0.0124,0.0047,?,?,2551,0.0108,0.1351,0.2491,0.6876
0.0196,0.0039,0.0155,?,?,1211,0.0862,0.0065,0.1909,0.8301
0.0006,0.0006,0.0007,?,?,0,0.1322,0,0.331,0.4651
0.0002,0.0002,0.0002,?,?,10,0.0011,0,0.468,0.7714
0.0005,0.0002,0.0002,0.2768,0.1053,379,0.0312,0.0204,0.0365,0.0874
0.0115,0.0095,0.0103,?,?,919,0.0676,0.1975,0.1246,0.7911
0.1263,0.0737,0.1105,0.2697,0.1242,0,0.0736,0.0912,0.6393,0.972
?,?,?,?,?,?,?,?,?,?
0.0081,0.0041,0.0044,?,?,0,0.0098,0.0092,0.6514,0.8474
0.0001,0,0.0001,?,?,0,0.0191,0,0.1895,0.6175
0.0024,0.0015,0.002,?,?,0,0.034,0,0.0316,0.0526
0.1799,0.005,0.0069,?,?,1353,0.053,0.0123,0.0871,0.3716
0.0036,0.0036,0.0021,?,?,1387,0,0.008,0.7612,0.9404
0.0093,0.004,0.0079,?,?,0,0.1269,0,0.16,0.4988
0.0034,0.0017,0.0081,0.2051,0.0465,0,0.0426,0.0873,0.5462,0.9804
?,?,?,?,?,?,?,?,?,?
0.0007,0.0002,0.0005,?,?,1295,0.0321,0,0.0661,0.647
0.0001,0,0.0001,0.1507,0.0258,179,0.0159,0,0.2656,0.7872
0.0016,0.0007,0.0012,?,?,1143,0.0428,0.186,0.0736,0.1955
0.0047,0.0045,0.0066,0.2704,0.0127,924,0.0481,0.0469,0.2094,0.9401
0.0043,0.0021,0.0053,?,?,0,0.0467,0,0.3026,0.6081
0.0172,0.0007,0.0002,?,?,584,0.0783,0.0846,0.0522,0.1645
0.0001,0.0001,0.0001,?,?,3,0.0169,0,0.1667,0.4724
0.0038,0.0015,0.0024,?,?,664,0.0362,0,0.0578,0.246
0.0084,0.0043,0.0041,?,?,104,0.0093,0.0129,0.6679,0.7646
0.0043,0.0014,0.0028,0.2095,0.0102,0,0.1101,0.176,0.0703,0.8252
0.0004,0.0002,0.0004,?,?,1160,0.022,0,0.0302,0.3443
0.0129,0.0124,0.0077,?,?,1800,0.0187,0.053,0.3219,0.7129
0.0164,0.016,0.0128,?,?,1054,0.0435,0.2279,0.0462,0.2
0.0438,0.0284,0.0503,0.1682,0.0101,0,0.0399,0.0057,0.424,0.952
0.0023,0.0023,0.0013,?,?,1852,0,0.0002,0.808,0.9412
0.001,0.0006,0.0007,?,?,0,0.0432,0.2458,0.2271,0.5196
0.0032,0.0011,0.0032,?,?,919,0.0855,0.2875,0.073,0.2432
0.1557,0.1203,0.0746,?,?,1309,0.0438,0.0848,0.1386,0.9359
0.0078,0.005,0.0064,?,?,0,0.0511,0,0.4532,0.4532
0.0252,0.0129,0.0076,?,?,4651,0.0027,0.0035,0.4782,0.8291
0.0043,0.0042,0.0123,?,?,2274,0.0614,0.022,0.0768,0.5881
0.0597,0.0262,0.0651,?,?,2135,0.0289,0.0059,0.4058,0.978
0.0011,0.0004,0.001,0.1381,0.0201,904,0.0397,0.4153,0.0263,0.0978
0.0065,0.0032,0.0041,?,?,408,0.077,0,0.0203,0.0654
0.0009,0.0004,0.0009,?,?,519,0.0434,0.5816,0.0652,0.2308
0.0025,0.0013,0.0017,?,?,242,0.0752,0.0802,0.0287,0.1325
0.0001,0.0001,0.0001,0.1489,0.0291,120,0.015,0,0.161,0.6685
0.0079,0.0077,0.0052,?,?,0,0.0404,0,0.2492,0.5203
0.0292,0.0149,0.0308,?,?,41,0.0631,0,0.2999,0.6582
0.006,0.0055,0.008,0.2698,0.0179,1800,0.0492,0.0381,0.2529,0.9885
0.0144,0.0109,0.0117,?,?,0,0.0902,0,0.1429,0.3234
0.0094,0.0041,0.0076,?,?,0,0.0482,0,0.1487,0.7313
0.0508,0.0475,0.0528,0.4068,0.0272,3012,0.1223,0.0377,0.5205,0.9802
0.0074,0.0069,0.007,?,?,0,0.0506,0,0.0296,0.0924
0.011,0.0021,0.0089,?,?,448,0.0946,0.0141,0.1126,0.4032
0.0007,0.0003,0.0007,?,?,220,0.0383,0,0.0383,0.1377
0.0021,0.0009,0.0022,?,?,153,0.0606,0,0.24,0.5725
0.0001,0.0001,0.0001,?,?,56,0.0121,0,0.1866,0.4364
0.0147,0.0066,0.0082,?,?,784,0.0714,0.1162,0.0784,0.4102
0.0215,0.0211,0.0155,?,?,0,0.037,0,0.1934,0.5978
0.0225,0.0103,0.0201,?,?,3164,0.0181,0.0246,0.2437,0.9817
0.0088,0.0044,0.0034,?,?,816,0.0089,0.0263,0.5518,0.7818
0.0032,0.0016,0.0049,?,?,0,0.0422,0,0.1076,0.1167
0.003,0.0027,0.0046,0.2643,0.0045,731,0.0632,1.3656,0.1698,0.5471
0.0001,0.0001,0.0001,?,?,1,0.0196,0,0.1523,0.6263
0.0005,0.0002,0.0002,0.2768,0.1053,243,0.0312,0.064,0.0345,0.075
0.0004,0.0004,0.0006,?,?,0,0.1733,0,0.2847,0.381
0.0001,0,0.0001,?,?,0,0.0186,0,0.1977,0.5939
0.0001,0.0001,0.0001,?,?,0,0.0193,0,0.1352,0.4749
0.016,0.0075,0.0124,?,?,401,0.0821,0,0.2366,0.5936
0.014,0.014,0.0097,?,?,0,0.1138,0,0.5576,0.6435
0.0215,0.0109,0.0064,?,?,4686,0.0032,0.0157,0.4949,0.8724
0.006,0.0055,0.008,0.2698,0.0179,1908,0.0492,0.0844,0.2546,0.988
0.0222,0.0102,0.0199,?,?,3615,0.0181,0.0291,0.2394,0.9266
0.0134,0.007,0.0151,0.156,0.0078,1892,0.0583,0.0221,0.32,0.9919
0.0001,0.0001,0.0001,0.1554,0.0269,274,0.0165,0,0.208,0.7374
0.0022,0.0012,0.0107,?,?,10,0.1745,0,0.1641,0.491
0.0024,0.0024,0.0014,?,?,2117,0,0.0117,0.7492,0.912
0.0149,0.0076,0.0108,0.2117,0.0113,2098,0.0535,0.0418,0.1211,0.5617
0.0001,0,0.0001,?,?,30,0.0165,0,0.1808,0.6016
0.0024,0.0024,0.0014,?,?,2117,0,0.4511,0.7718,0.9172
0.0127,0.0052,0.0073,0.186,0.0498,2696,0.0314,0.0524,0.1875,0.6803
0.0094,0.0088,0.0043,?,?,0,0.0391,0.0032,0.3938,0.847
