@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 3'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE NEG_HORN_CLAUSE NUMERIC
@ATTRIBUTE TERMORE_CLAUSE NUMERIC
@ATTRIBUTE OCCFP_OCCFN NUMERIC

@DATA
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.500587,0.331648,1
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-003-shuffled,1,0.514998,0.333275,1
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-004-shuffled,1,0.524501,0.320236,1
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,0.505029,0.329063,1
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.51707,0.321629,1
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,0.505452,0.328103,1
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.526159,0.320904,1
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.51017,0.327708,1
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.503655,0.330348,1
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.501827,0.331071,1
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.503088,0.330516,1
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.53401,0.313494,1
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.513884,0.324537,1
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.499798,0.331656,1
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,0.503302,0.333319,1
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,0.599495,0.294955,0
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-002-shuffled,1,0.57623,0.302049,1
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-009-shuffled,1,0.508388,0.328287,1
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.54358,0.312658,1
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.583605,0.302202,1
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.51154,0.32693,1
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.528422,0.318761,1
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.542173,0.308946,1
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.516708,0.322417,1
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-007-shuffled,1,0.501541,0.333326,1
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-003-shuffled,1,0.523387,0.313278,1
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-006-shuffled,1,0.505741,0.325854,1
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-008-shuffled,1,0.50273,0.328148,1
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,0.505357,0.327513,1
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,0.50721,0.324962,1
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-007-shuffled,1,0.500827,0.329675,1
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,0.522971,0.319996,1
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.505087,0.328967,1
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,0.508233,0.325951,1
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.501852,0.329985,1
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.500977,0.330511,1
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.500329,0.330896,1
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.49983,0.33119,1
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.547215,0.304681,1
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.52257,0.319697,1
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.504025,0.329499,1
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.510661,0.323965,1
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-006-shuffled,1,0.501297,0.330306,1
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-008-shuffled,1,0.499912,0.333328,1
BLOCKS3i.5.3-shuffled,1,0.44018,0.45332,1.474227
BLOCKS3ii.5.2-shuffled,1,0.494644,0.388992,1.474227
BLOCKS3iii.5-shuffled,1,0.413624,0.140599,1.474227
BLOCKS4ii.7.2-shuffled,1,0.354157,0.292749,1.425911
BLOCKS4iii.7-shuffled,1,0.251172,0.092011,1.425911
blocks_enc_2_b3_ser--opt-9_-shuffled,1,0.466005,0.301922,1.363636
blocks_enc_2_b4_ser--opt-26_-shuffled,1,0.309172,0.197129,1.38785
c1_BMC_p1_k2048-shuffled,1,0.790047,0.248582,1
c1_BMC_p2_k1024-shuffled,1,0.77792,0.261124,1
c1_BMC_p2_k128-shuffled,1,0.641429,0.402277,1
c1_BMC_p2_k8-shuffled,1,0.448856,0.634657,1
c2_Debug_s5_f1_e1_v3-shuffled,1,0.101979,0.956197,1
c3_BMC_p1_k256-shuffled,1,0.634249,0.367935,1
c3_BMC_p2_k1024-shuffled,1,0.714365,0.279523,1
c3_BMC_p2_k2048-shuffled,1,0.729838,0.262448,1
c3_BMC_p2_k512-shuffled,1,0.68539,0.311498,1
c3_Debug_s3_f2_e2_v2-shuffled,1,0.025715,0.912075,1
C432.blif_0.10_0.20_0_0_out_exact-shuffled,1,0.638638,0.223767,1
C432.blif_0.10_0.20_0_1_out_exact-shuffled,1,0.639139,0.223456,1
C432.blif_0.10_1.00_0_0_out_exact-shuffled,1,0.640232,0.219858,1
C432.blif_0.10_1.00_0_1_inp_exact-shuffled,1,0.641339,0.219575,1
C499.blif_0.10_0.20_0_0_inp_exact,1,0.754791,0.327728,1
C499.blif_0.10_0.20_0_0_out_exact,1,0.749687,0.34183,1
C499.blif_0.10_0.20_0_1_out_exact,1,0.749687,0.34183,1
C499.blif_0.10_1.00_0_0_inp_exact-shuffled,1,0.7471,0.33256,1
C499.blif_0.10_1.00_0_0_out_exact-shuffled,1,0.746315,0.333592,1
c4_BMC_p1_k1024-shuffled,1,0.712275,0.299671,1
c4_BMC_p1_k2048-shuffled,1,0.724213,0.286811,1
c4_BMC_p1_k512-shuffled,1,0.689598,0.324102,1
c4_BMC_p2_k2048-shuffled,1,0.724213,0.286811,1
c4_Debug_s3_f1_e1_v3-shuffled,1,0.001866,0.998997,1
c4_Debug_s3_f1_e2_v3-shuffled,1,0.001868,0.998997,1
c4_Debug_s3_f2_e1_v3-shuffled,1,0.106721,0.581431,1
C5315.blif_0.10_0.20_0_0_inp_exact-shuffled,1,0.592788,0.211832,1
C5315.blif_0.10_0.20_0_0_out_exact-shuffled,1,0.585606,0.216053,1
C5315.blif_0.10_0.20_0_1_inp_exact-shuffled,1,0.592775,0.211803,1
C5315.blif_0.10_0.20_0_1_out_exact-shuffled,1,0.585594,0.216022,1
C5315.blif_0.10_1.00_0_0_inp_exact-shuffled,1,0.585095,0.214314,1
C5315.blif_0.10_1.00_0_0_out_exact-shuffled,1,0.584986,0.21437,1
C5315.blif_0.10_1.00_0_1_inp_exact-shuffled,1,0.585161,0.214314,1
c5_BMC_p1_k32-shuffled,1,0.537325,0.566464,1
C6288.blif_0.10_0.20_0_0_out_exact-shuffled,1,0.374071,0.336524,1
C6288.blif_0.10_1.00_0_0_inp_exact-shuffled,1,0.375505,0.335352,1
C6288.blif_0.10_1.00_0_1_inp_exact-shuffled,1,0.375595,0.335303,1
C6288.blif_0.10_1.00_0_1_out_exact-shuffled,1,0.373353,0.33644,1
c6_BMC_p1_k1024-shuffled,1,0.755096,0.283393,1
c6_BMC_p1_k256-shuffled,1,0.722999,0.316645,1
c6_BMC_p2_k128-shuffled,1,0.684392,0.356642,1
c6_BMC_p2_k2048-shuffled,1,0.760738,0.277549,1
c6_BMC_p2_k64-shuffled,1,0.618828,0.424566,1
C880.blif_0.10_0.20_0_0_inp_exact,1,0.58888,0.248109,1
C880.blif_0.10_0.20_0_0_out_exact,1,0.572866,0.256844,1
C880.blif_0.10_0.20_0_1_inp_exact,1,0.589259,0.248109,1
C880.blif_0.10_0.20_0_1_out_exact,1,0.572866,0.256844,1
C880.blif_0.10_1.00_0_0_inp_exact,1,0.58046,0.254789,1
C880.blif_0.10_1.00_0_0_out_exact,1,0.571821,0.259419,1
C880.blif_0.10_1.00_0_1_out_exact-shuffled,1,0.572214,0.259419,1
CHAIN23v.24-shuffled,1,0.380257,0.107613,1
cmu.dme1.B-f2,1,0.533359,0.333203,1
cmu.dme1.B-f3,1,0.523128,0.33326,1
cmu.dme1.B-f4-shuffled,1,0.517799,0.333284,1
cmu.dme2.B-f2,1,0.513449,0.333234,1
cmu.periodic.N-d2-shuffled,1,0.448053,0.33331,1
cmu.periodic.N-d4-shuffled,1,0.446944,0.333323,1
cmu.periodic.N-f4-shuffled,1,0.447843,0.333324,1
comp.blif_0.10_0.20_0_0_inp_exact-shuffled,1,0.677497,0.269555,1
comp.blif_0.10_1.00_0_0_inp_exact-shuffled,1,0.665083,0.275534,1
connect_5x4_3_R-shuffled,1,0.772453,0.981203,1.400794
connect_5x4_4_W-shuffled,1,0.777199,0.97723,1.401186
connect_6x5_4_D-shuffled,1,0.786262,0.985032,1.416667
connect_6x5_5_R-shuffled,1,0.783869,0.981946,1.416667
connect_7x6_4_R-shuffled,1,0.791489,0.989133,1.428157
connect_7x6_6_W-shuffled,1,0.788304,0.985066,1.428019
connect_8x7_3_D-shuffled,1,0.77845,0.992032,1.4375
connect_8x7_7_D-shuffled,1,0.791676,0.987274,1.4375
connect_9x8_3_R-shuffled,1,0.779291,0.993396,1.443912
connect_9x8_6_D-shuffled,1,0.810841,0.991929,1.443912
connect_9x8_8_D-shuffled,1,0.794156,0.988921,1.443912
Core1108_tbm_02.tex.moduleQ3.2S.000007,1,0.285054,0.719164,1.325991
Core1108_tbm_02.tex.moduleQ3.2S.000015,1,0.283615,0.720612,1.317181
Core1108_tbm_02.tex.moduleQ3.2S.000026,1,0.290753,0.713432,1.330435
Core1108_tbm_02.tex.moduleQ3.2S.000056,1,0.284335,0.719887,1.311404
Core1108_tbm_02.tex.moduleQ3.2S.000077,1,0.285054,0.719164,1.325991
Core1108_tbm_02.tex.moduleQ3.2S.000095,1,0.287915,0.716287,1.323144
Core1108_tbm_02.tex.moduleQ3.2S.000098,1,0.289337,0.714856,1.331878
Core1108_tbm_02.tex.moduleQ3.2S.000099,1,0.287202,0.717004,1.318777
Core1108_tbm_02.tex.moduleQ3.2S.000108,1,0.287202,0.717004,1.318777
Core1108_tbm_03.tex.module.000003,1,0.443893,0.562066,1.483333
Core1108_tbm_03.tex.module.000019,1,0.433371,0.573348,1.256198
Core1108_tbm_03.tex.module.000021,1,0.43178,0.574958,1.305085
Core1108_tbm_03.tex.module.000023,1,0.433371,0.573348,1.313559
Core1108_tbm_03.tex.module.000031,1,0.439646,0.566999,1.308333
Core1108_tbm_03.tex.module.000034,1,0.438724,0.567991,1.283333
Core1108_tbm_03.tex.module.000037,1,0.435838,0.571098,1.293103
Core1108_tbm_03.tex.module.000038,1,0.434833,0.57218,1.307018
Core1108_tbm_03.tex.module.000039,1,0.434833,0.57218,1.307018
Core1108_tbm_03.tex.module.000048,1,0.433806,0.573286,1.280702
Core1108_tbm_03.tex.module.000056,1,0.429455,0.57797,1.210526
Core1108_tbm_03.tex.module.000057,1,0.428303,0.579211,1.20354
Core1108_tbm_03.tex.module.000058,1,0.427123,0.580482,1.185841
Core1108_tbm_03.tex.module.000064,1,0.425914,0.581783,1.168142
Core1108_tbm_03.tex.module.000065,1,0.424675,0.583117,1.150442
Core1108_tbm_03.tex.module.000090,1,0.419399,0.588798,1.157407
Core1108_tbm_03.tex.module.000092,1,0.417993,0.590311,1.138889
Core1108_tbm_03.tex.moduleQ3.2S.000002,1,0.289812,0.714777,1.308458
Core1108_tbm_03.tex.moduleQ3.2S.000003,1,0.291438,0.713141,1.318408
Core1108_tbm_03.tex.moduleQ3.2S.000009,1,0.293056,0.711512,1.316832
Core1108_tbm_03.tex.moduleQ3.2S.000011,1,0.290626,0.713958,1.30198
Core1108_tbm_03.tex.moduleQ3.2S.000018,1,0.289812,0.714777,1.308458
Core1108_tbm_03.tex.moduleQ3.2S.000048,1,0.293056,0.711512,1.316832
Core1108_tbm_09.tex.module.000008,1,0.47707,0.526392,1.976048
Core1108_tbm_09.tex.module.000009,1,0.47707,0.526392,1.976048
Core1108_tbm_09.tex.module.000010,1,0.47707,0.526392,1.976048
Core1108_tbm_09.tex.module.000028,1,0.466197,0.538028,1.692308
Core1108_tbm_09.tex.module.000033,1,0.462345,0.542151,1.618421
Core1108_tbm_09.tex.moduleQ3.10S.000001,1,0.25654,0.746193,1.504505
Core1108_tbm_09.tex.moduleQ3.2S.000003,1,0.255086,0.747653,1.5
Core1108_tbm_09.tex.moduleQ3.2S.000005,1,0.25654,0.746193,1.504505
Core1108_tbm_09.tex.moduleQ3.2S.000007,1,0.25654,0.746193,1.482143
Core1108_tbm_09.tex.moduleQ3.2S.000010,1,0.258711,0.744014,1.507463
Core1108_tbm_09.tex.moduleQ3.2S.000011,1,0.25654,0.746193,1.504505
Core1108_tbm_09.tex.moduleQ3.9S.000001,1,0.25654,0.746193,1.504505
Core1108_tbm_21.tex.module.000008,1,0.445703,0.559962,1.572581
Core1108_tbm_21.tex.module.000009,1,0.445703,0.559962,1.572581
Core1108_tbm_21.tex.module.000010,1,0.445703,0.559962,1.572581
Core1108_tbm_21.tex.module.000014,1,0.438624,0.56754,1.46281
Core1108_tbm_21.tex.module.000017,1,0.438624,0.56754,1.46281
Core1108_tbm_21.tex.module.000023,1,0.43018,0.576577,1.358974
Core1108_tbm_21.tex.module.000026,1,0.43018,0.576577,1.421053
Core1108_tbm_21.tex.module.000027,1,0.43018,0.576577,1.421053
Core1108_tbm_21.tex.module.000030,1,0.436526,0.570156,1.413793
Core1108_tbm_21.tex.module.000091,1,0.400624,0.60873,1.128713
Core1108_tbm_21.tex.moduleQ3.2S.000002,1,0.30284,0.701583,1.383085
Core1108_tbm_21.tex.moduleQ3.2S.000007,1,0.296288,0.708177,1.378788
Core1108_tbm_21.tex.moduleQ3.2S.000011,1,0.297937,0.706517,1.376884
Core1108_tbm_21.tex.moduleQ3.2S.000014,1,0.301213,0.70322,1.385
Core1108_tbm_21.tex.moduleQ3.2S.000015,1,0.297937,0.706517,1.376884
Core1108_tbm_21.tex.moduleQ3.2S.000019,1,0.297937,0.706517,1.376884
Core1108_tbm_21.tex.moduleQ3.2S.000024,1,0.297937,0.706517,1.376884
Core1108_tbm_21.tex.moduleQ3.2S.000027,1,0.296288,0.708177,1.378788
