@RELATION 'FEATURE_VALUES-SAT11-RANDOM-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE DIAMETER_entropy NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE DIAMETER_coeff_variation NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE cl_size_coeff_variation NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE SP_bias_max NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC

@DATA
SAT11/random/medium/unif-k5-r21.3-v150-c3195-S31505198-038.UNKNOWN.cnf,1,4320,4320,4273,4163.2857,4124,4090,4078,4078,0.0463,0,30.3354,30.8469,0.044,0,0.0212,31.7884,31.5157,0.704,32.9055,3,1.0053,0.0097,0.041,0.0333,0.0423,33.0958,0.0333,0.0333,0.0333,3195,3195,0.0059,3,0.0244,2.8497,0.5418,150,150,35,30,0.0305,29.7067,3,30.3354,0.8299,30,29.7083,35,33.0958,3.5051,0.5234,0.6601,24,0.3734,0.3188,0.1778,0.2,0.2184,0.1552,0.0084,1.4788,0.2952,0.0028,0.1437
SAT11/random/medium/unif-k5-r21.3-v150-c3195-S375894551-007.UNKNOWN.cnf,1,4363,4363,4312,4176.5714,4182,4061,4038,4038,0.0463,0,30.955,31.6269,0.0441,0,0.0276,32.2049,31.972,0.6902,33.1368,3,1.0089,0.0103,0.041,0.0333,0.0423,33.7334,0.0333,0.0333,0.0333,3195,3195,0.0066,3,0.0241,2.7698,0.5405,150,150,35,29,0.0271,29.4587,3,30.955,0.8434,29,29.6066,35,33.7334,3.4139,0.3729,0.594,24,0.3813,0.3063,0.1972,0.2,0.2179,0.1471,0.007,1.4716,0.2,0.0038,0.1302
SAT11/random/medium/unif-k7-r89-v80-c7120-S1623694027-006.SATISFIABLE.cnf,1,4549,4549,4452,4408.6,4358,4357,4327,4327,0.0111,0,27.9901,28.4267,0.0111,0,0.0186,28.5137,28.5106,0.7574,28.5159,2,1.7419,0.0084,0.0111,0.0875,0.0958,29.1253,0.0875,0.0875,0.0875,7120,7120,0.006,2,0.0801,2.116,0.6697,80,80,17,14,0.0127,13.8743,2,27.9901,1.0023,14,13.7394,17,29.1253,3.7462,0.2686,0.3438,11,0.3128,0.1402,0.0683,0.1429,0.0964,0.0683,0.0001,1.9693,0.1465,0.0041,0.0565
SAT11/random/medium/unif-k7-r89-v80-c7120-S1901567697-013.UNKNOWN.cnf,1,4514,4514,4504,4418,4413,4344,4315,4315,0.0111,0,27.8808,28.2044,0.0111,0,0.0183,28.42,28.3577,0.7522,28.4983,2,1.758,0.0073,0.0111,0.0875,0.0973,29.1588,0.0875,0.0875,0.0875,7120,7120,0.0054,2,0.0801,1.9602,0.6707,80,80,17,14,0.0149,13.788,2,27.8808,1.0046,14,13.7505,17,29.1588,3.9096,0.2142,0.3932,10,0.3119,0.1174,0.0615,0.1429,0.0813,0.0588,0.0001,1.971,0.1129,0.0038,0.0541
SAT11/random/medium/unif-k3-r4.26-v400-c1704-S895193371-061.UNKNOWN.cnf,1,4022,4022,3966,3928.5714,3922,3892,3834,3834,0.0366,0,22.463,23.1441,0.0154,0,0.0142,23.4231,23.4128,0.6303,23.8661,4,0.3739,0.0083,0.0059,0.0129,0.0183,23.8866,0.0078,0.0078,0.0077,1704,1693,0.0039,4,0.003,3.258,0.3267,400,389,95,86,0.02,86.3066,4,22.463,0.7304,86,86.5656,95,23.8866,2.7381,0.9012,0.6665,78,0.4985,0.7011,0.4979,0,0.5626,0.3901,0.3605,0.9499,0.6923,0.0006,0.3844
SAT11/random/medium/unif-k3-r4.26-v550-c2343-S874954918-011.SATISFIABLE.cnf,1,3984,3984,3910,3823.7143,3791,3776,3726,3726,0.021,0,27.8871,29.3663,0.0112,0,0.0218,31.2851,30.0989,0.5563,32.9217,4,0.3221,0.0064,0.0043,0.0112,0.0107,38.1678,0.0056,0.0056,0.0056,2343,2331,0.0028,4,0.0021,3.3478,0.3191,550,537,130,119,0.1002,119.308,4,27.8871,0.7144,119,118.939,129,38.1678,2.6706,0.9174,0.6726,109,0.4973,0.726,0.5002,0,0.5636,0.3975,0.3785,0.9208,0.7143,0.0004,0.3927
SAT11/random/large/unif-k3-r4.2-v2500-c10500-S924370159-018-UNKNOWN.cnf,1,140,322,118,116.8571,107,97,74,90,0.0072,0.2711,30.9029,32.2734,0.0025,0.0541,0.3352,34.2843,34.3874,0.4112,35.9032,4.9231,0.1327,0.0017,0.0008,0.0021,0.0035,36.9828,0.0013,0.0013,0.0012,10500,10427,0.0006,5,0.0004,3.3491,0.2639,2500,2433,551,529,0.0748,529.8,4,29.3115,0.7363,528,527.222,547,43.51,2.7449,1,0.6655,512,0.4992,0.7031,0.4891,0,0.5588,0.3908,0.4806,0.6974,1,0,0.3774
SAT11/random/medium/unif-k7-r89-v90-c8010-S2014736708-037.SATISFIABLE.cnf,1,4556,4556,4454,4372.2,4293,4280,4278,4278,0.0111,0,30.556,31.0778,0.0111,0,0.0259,31.249,31.0874,0.7522,31.3013,2,1.7221,0.006,0.0111,0.0778,0.0876,32.2223,0.0778,0.0778,0.0778,8010,8010,0.0044,2,0.0702,2.1281,0.6631,90,90,19,15,0.0174,15.3607,2,30.556,0.9888,15,15.3491,19,32.2223,3.9296,0.1916,0.3983,12,0.3079,0.1438,0.0559,0.1429,0.1065,0.0761,0.0002,1.9262,0.0997,0.0029,0.0739
SAT11/random/medium/unif-k7-r89-v80-c7120-S199880667-010.UNKNOWN.cnf,1,4530,4530,4462,4411.8,4408,4357,4302,4302,0.0111,0,28.0041,28.2257,0.0111,0,0.018,28.5038,28.4435,0.7508,28.7396,2,1.7549,0.0076,0.0111,0.0875,0.0934,29.106,0.0875,0.0875,0.0875,7120,7120,0.0051,2,0.0824,1.9547,0.6703,80,80,17,14,0.0136,13.7092,2,28.0041,0.9963,14,13.6807,17,29.106,3.6726,0.1629,0.283,10,0.3114,0.1199,0.0587,0.1429,0.088,0.0588,0.0001,1.9632,0.0832,0.0035,0.0487
SAT11/random/medium/unif-k7-r89-v60-c5340-S239039906-021.SATISFIABLE.cnf,1,4588,4588,4517,4487.6,4458,4439,4436,4436,0.011,0,22.5249,22.5787,0.011,0,0.0129,22.6802,22.5915,0.7683,22.6422,2,1.8856,0.0101,0.011,0.1167,0.1255,23.0636,0.1167,0.1167,0.1167,5340,5340,0.0074,2,0.1064,2.1942,0.6906,60,60,13,10,0.0086,10.4649,2,22.5249,0.9995,10,10.4885,13,23.0636,3.7534,0.2037,0.4079,8,0.3111,0.1635,0.0631,0.1429,0.1076,0.0775,0.0001,2.0999,0.1056,0.0047,0.0727
SAT11/random/large/unif-k3-r4.2-v30000-c126000-S643238994-057-UNKNOWN.cnf,1,9,15,6,5.2165,5,3,2,3,0.0006,0.5098,55.5,63.2857,0.0002,0.0699,0.4777,82.2434,77.125,0.2663,92.5,5.7931,0.1658,0.0002,0,0.0002,0.0003,116.25,0.0001,0.0001,0.0001,126000,125159,0.0001,6,0,3.3621,0.2233,30000,29224,6355,6347,0.3411,6343,5,42.5,0.7196,6408.5,6408.5,6393,261,2.7182,1,0.6648,6299,0.4958,0.7042,0.4948,0,0.5696,0.3938,0.84,0.6958,1,0,0.3876
SAT11/random/medium/unif-k3-r4.26-v300-c1278-S1869766438-024.UNKNOWN.cnf,1,4066,4066,4050,4003.8571,4010,3941,3929,3929,0.0353,0.0569,18.2385,18.9747,0.0196,0.0251,0.0119,20.1429,19.69,0.652,21.6365,4.0102,0.4482,0.0118,0.0016,0.0169,0.0196,22.3901,0.0102,0.0102,0.0102,1278,1273,0.0051,5,0.0008,3.2441,0.3492,300,295,73,66,0.0675,65.7542,4,18.2385,0.6608,66,65.6208,73,22.3901,2.6038,1,0.7175,58,0.4953,0.7169,0.5004,0,0.5774,0.389,0.5995,1.0181,1,0,0.3852
