@RELATION 'FEATURE_VALUES-SAT12-RAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE DIAMETER_entropy NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE cl_size_coeff_variation NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC

@DATA
SAT_Competition2007/random/OnTreshold/7SAT/v75/unif-k7-r89-v75-c6675-S1762817022-10.UNSAT.shuffled.cnf,1,4559,4559,4543,4432.6,4376,4360,4325,4325,0.0111,0,0.7539,26.8085,6675,26.9495,6675,26.958,26.4833,26.9979,2,75,75,16,13,0.0222,1.8009,0.0122,27.5001,13,12.8651,16,2,12.8971
SAT_Competition2009/RANDOM/MEDIUM/5SAT/UNKNOWN/110/unif-k5-r21.3-v110-c2343-S257485978-084.cnf,1,4378,4378,4374,4253.875,4249,4202,4158,4158,0.0465,0.4627,0.7097,24.5667,2343,24.9022,2343,25.1176,24.3279,25.1631,2.8257,110,110,27,22,0.0181,1.1428,0.0146,25.37,22,21.9356,27,2,21.9807
SAT_Competition2007/random/OnTreshold/3SAT/v650/unif-k3-r4.261-v650-c2769-S1172355929-14.SAT.shuffled.cnf,1,4067,4067,3919,3772.7143,3736,3618,3595,3595,0.0197,0.0301,0.5247,33.0784,2744,34.658,2769,33.687,31.4054,38.332,4.0047,650,633,152,140,0.041,0.2998,0.0717,38.434,140,140.408,152,4,140.333
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/100/unif-k5-r21.3-v100-c2130-S1920888253-090.cnf,1,4446,4446,4349,4300.75,4286,4264,4231,4231,0.0465,0.6555,0.7094,22.925,2130,23.2729,2130,23.5079,22.5951,23.6589,2.6364,100,100,25,20,0.0149,1.2102,0.0228,24.2114,20,20.1016,24,2,20.0942
SAT_Competition2007/random/2+p/p0.7/v3500/unif2p-p0.7-v3500-c9345-S1909130260-19-SAT.cnf,1,2918,2918,2169,1845,2126,1281,1096,955,0.0092,0.6924,0.5327,35.8951,8079,39.2389,9344,40.6912,34.7244,41.842,5.5196,3500,2574,557,539,0.3182,0.1169,0.0978,44.001,537,536.403,561,5,538.215
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v125-c2662-S236776564-037.SATISFIABLE.cnf,1,4304,4304,4304,4201.375,4173,4165,4148,4148,0.0466,0.0826,0.7022,26.9098,2662,27.8081,2662,28.073,26.7188,28.9496,2.9839,125,125,30,25,0.0143,1.0912,0.0311,29.0253,25,24.9176,30,2,24.8788
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v70-c6230-S1516725086-012.UNKNOWN.cnf,1,4583,4583,4521,4443.8333,4430,4386,4338,4338,0.0111,0,0.761,25.4089,6230,25.6207,6230,25.6413,25.3447,25.862,2,70,70,15,12,0.0187,1.8262,0.0083,25.9134,12,12.0581,15,2,12.0504
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/220/unif-k7-r85-v220-c18700-S1961115887-052.cnf,1,2254,550,421,457.0714,355,299,259,247,0.0117,0,0.7456,47.0193,18700,48.776,18700,48.4732,46.1333,49.6291,2,220,220,42,36,0.8539,1.225,0.062,50.9048,36,36.0753,42,2,36
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/500/unif-k3-r4.25-v500-c2125-S1494961823-060.cnf,1,3969,3969,3911,3844.8571,3811,3799,3771,3771,0.0274,0,0.5791,26.1667,2114,28.3464,2125,27.8221,26.0673,30.8476,4,500,488,117,107,0.0171,0.3382,0.0752,31.9698,108,107.667,117,4,107.542
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v600-c2556-S248192082-054.UNKNOWN.cnf,1,3921,3921,3869,3788.875,3791,3753,3647,3647,0.0217,0.0799,0.5324,31.3527,2538,32.6051,2556,32.0491,29.6108,34.4952,4.0155,600,582,139,128,0.0207,0.3031,0.0766,38.2884,128,128.049,138,4,127.932
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/520/unif-k3-r4.25-v520-c2210-S227954525-082.cnf,1,4148,4148,3965,3883.625,3839,3822,3797,3797,0.0213,0,0.5657,28.3993,2202,29.3443,2210,28.6012,26.8841,31.4653,4,520,512,123,113,0.0288,0.3267,0.071,33.8667,113,113.286,124,4,113.096
SAT_Competition2009/RANDOM/LARGE/5SAT/UNKNOWN/900/unif-k5-r20-v900-c18000-S1119648091-064.cnf,1,104,65,56,51.3645,49,44,36,31,0.0228,0,0.6069,50.2857,18000,54.4229,18000,53.4894,48.6863,58.2034,3,900,900,187,172,0.256,0.3585,0.096,62.2881,172,172.208,185,3,172.177
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1617626827-069.SATISFIABLE.cnf,1,4060,4060,3987,3902.375,3904,3854,3808,3808,0.0309,0,0.5753,26.2087,1908,26.5055,1917,26.3316,24.6385,27.5872,4,450,441,107,98,0.0201,0.3555,0.0435,28.8118,98,97.9801,107,4,97.9555
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v600-c2556-S869604189-077.UNKNOWN.cnf,1,3989,3989,3842,3772.625,3744,3711,3664,3664,0.0188,0.0319,0.541,30.4797,2549,32.2866,2556,31.4923,29.3076,35.5898,4.0051,600,591,142,131,0.0258,0.3087,0.086,38.0201,130,130.431,141,4,130.654
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v70-c6230-S1018943457-089.SATISFIABLE.cnf,1,4607,4607,4496,4457.8333,4447,4400,4395,4395,0.0111,0,0.756,25.5604,6230,25.8818,6230,25.9741,25.4551,26.2046,2,70,70,15,12,0.0169,1.829,0.0115,26.2427,12,12.0972,15,2,12.1367
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/12000/unif-k3-r4.2-v12000-c50400-S1510966387-018.cnf,1,39,20,16,13.8674,13,10,8,6,0.0016,0.0956,0.3125,46.9231,50088,54.4317,50400,53.3846,42.1875,60.0357,5.0194,12000,11696,2577,2547,0.3578,0.1443,0.1951,68.6364,2554.5,2299.5,2599,5,2546.45
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/180/unif-k7-r85-v180-c15300-S1802626390-033.cnf,1,4373,4373,4373,4134,4162,4033,3968,3968,0.0117,0,0.7355,52.7016,15300,53.6173,15300,54.8552,51.9432,54.9692,2,180,180,35,29,0.0374,1.3247,0.0247,54.9692,29,29.7098,35,2,29.6766
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/65/unif-k7-r89-v65-c5785-S1645769281-097.cnf,1,4588,4588,4516,4477.5,4509,4406,4397,4397,0.0111,0,0.7661,24.0173,5785,24.193,5785,24.2122,23.9219,24.2336,2,65,65,14,11,0.015,1.8678,0.0098,24.6635,11,11.2868,14,2,11.2707
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/4000/unif-k3-r4.2-v4000-c16800-S139794312-098.cnf,1,150,77,66,59.5468,55,49,42,37,0.0041,0.0073,0.373,36.7925,16683,39.2148,16800,38.88,34.7193,42.1509,4.9991,4000,3902,876,851,0.3008,0.1132,0.0933,43.561,853,851.661,877,4,849.574
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/180/unif-k7-r85-v180-c15300-S1295462378-089.cnf,1,4419,4419,4419,4143.75,4186,3998,3972,3972,0.0117,0,0.7295,53.2931,15300,53.7805,15300,54.1639,52.6661,54.9991,2,180,180,35,30,0.0432,1.3475,0.0164,54.9991,30,29.971,36,2,29.7648
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/75/unif-k7-r89-v75-c6675-S819692891-023.cnf,1,4533,4533,4518,4430.8,4398,4359,4346,4346,0.0111,0,0.7559,26.9932,6675,26.9987,6675,27.0189,26.2861,27.3331,2,75,75,16,13,0.0179,1.7949,0.0144,27.3622,13,12.9799,16,2,12.9642
SAT_Competition2007/random/2+p/p0.9/v990/unif2p-p0.9-v990-c3583-S516218553-20-SAT.cnf,1,3741,3741,3643,3141.7143,3363,3006,1805,1805,0.019,0.6898,0.5107,35.6289,3526,37.6799,3582,37.6061,35.2454,39.7848,4.4593,990,935,218,205,0.1916,0.2298,0.0526,40.717,205,204.819,218,4,204.688
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/400/unif-k3-r4.25-v400-c1700-S419666888-007.cnf,1,4008,4008,3980,3940,3943,3901,3854,3854,0.0292,0,0.5858,23.8839,1679,24.4973,1700,23.986,21.8258,26.475,4,400,383,94,85,0.0123,0.3911,0.064,26.7879,85,84.8677,93,4,84.9997
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v600-c2556-S252359291-002.SATISFIABLE.cnf,1,3886,3886,3849,3773.5,3767,3754,3641,3641,0.0204,0,0.5378,31.2177,2545,32.9793,2556,32.1636,29.9076,37.2601,4,600,589,141,131,0.0182,0.3047,0.0848,38.0003,130,130.384,141,4,130.4
SAT_Competition2011/SAT11/random/large/unif-k3-r4.2-v30000-c126000-S285324961-078-UNKNOWN.cnf,1,11,8,6,4.7482,4,3,2,1,0.0007,0.5196,0.2858,63.75,125223,82.6888,126000,78.4,51.1667,96.6667,5.7857,30000,29275,6370,6362,0.4631,0.1268,0.3354,121.5,6397.5,6397.5,6334,5,5436.86
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v125-c2662-S34055288-072.SATISFIABLE.cnf,1,4367,4367,4365,4234.1429,4198,4185,4099,4099,0.0466,0.2392,0.6906,26.882,2662,28.1514,2662,27.9255,26.6054,29.0103,2.9355,125,125,30,25,0.0216,1.0829,0.0486,30.7177,25,25.0527,30,2,25.0874
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v700-c2982-S812011128-009.SATISFIABLE.cnf,1,3684,3684,3680,3636,3659,3599,3558,3558,0.0178,0.0199,0.5615,34.402,2973,36.4054,2982,35.6602,33.6874,39.8978,4.0029,700,688,164,152,0.0121,0.2838,0.0828,42.7725,152,152.384,164,4,152.195
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v600-c2556-S506401817-075.UNKNOWN.cnf,1,3985,3985,3889,3828.1429,3840,3751,3718,3718,0.0232,0.093,0.5076,29.0458,2545,31.0528,2556,30.5273,26.8802,34.5511,4.0187,600,589,140,129,0.0223,0.3006,0.0891,35.387,129,129.25,140,4,129.468
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/440/unif-k3-r4.25-v440-c1870-S1112524719-021.cnf,1,4026,4026,3990,3940.625,3947,3908,3873,3873,0.0366,0,0.5723,23.6116,1857,24.1911,1870,24.1505,23.1183,25.041,4,440,427,104,94,0.0126,0.3575,0.0334,25.7599,94,94.3491,104,4,94.2871
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/12000/unif-k3-r4.2-v12000-c50400-S650356257-052.cnf,1,32,20,17,14.1395,13,11,9,6,0.0016,0.1503,0.3107,49.6154,50039,58.1435,50400,57.4,46.4545,65,5.0346,12000,11682,2584,2531,0.3259,0.1378,0.1715,70.7778,2552.5,2364.21,2579,5,2539.22
SAT_Competition2011/SAT11/random/large/unif-k5-r20-v1000-c20000-S541740666-063-UNKNOWN.cnf,1,80,57,45,42.4123,41,35,32,27,0.0216,0,0.5845,53.5581,20000,57.1003,20000,57.0244,50.5313,60.2143,3,1000,1000,207,191,0.2506,0.3618,0.0938,63.54,191,191.7,207,3,191.279
SAT_Competition2007/random/LargeSize/5SAT/v600/unif-k5-r20-v600-c12000-S1556473581-06.cnf,1,188,112,100,93.2973,88,81,73,59,0.0296,0,0.6248,45.1717,12000,47.3918,12000,47.4557,43.7736,49.5149,3,600,600,127,115,0.249,0.4533,0.0622,51.6047,115,115.258,126,3,115.132
SAT_Competition2011/SAT11/random/large/unif-k7-r85-v250-c21250-S317257086-003-UNKNOWN.cnf,1,889,251,231,228.8947,198,179,164,135,0.0117,0,0.7054,47.1707,21250,48.907,21250,48.5285,46.1352,49.9957,2,250,250,49,42,0.5489,1.1558,0.0553,51.8478,41,41.2177,48,2,41.6614
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v550-c2343-S943066845-088.UNKNOWN.cnf,1,4039,4039,3951,3869.1429,3843,3793,3779,3779,0.0253,0.0245,0.5231,28.7132,2328,29.8472,2343,28.9828,26.9442,31.7656,4.0037,550,539,129,118,0.0229,0.3185,0.0645,32.9948,118,118.127,128,4,118.42
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/460/unif-k3-r4.25-v460-c1955-S321371087-018.cnf,1,4138,4138,3952,3886.75,3864,3801,3784,3784,0.0319,0,0.5718,25.4337,1944,26.9642,1955,26.9309,24.0745,29.1938,4,460,448,109,100,0.0285,0.3569,0.0823,31.2547,100,99.8806,110,4,99.778
SAT_Competition2011/SAT11/random/large/unif-k7-r85-v250-c21250-S655589261-059-UNKNOWN.cnf,1,879,271,249,243.6563,215,192,173,138,0.0117,0,0.7211,47.2167,21250,49.1892,21250,48.9554,45.8531,50.4589,2,250,250,48,41,0.5389,1.1995,0.0617,51.4703,41,41.0161,48,2,41.4119
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/540/unif-k3-r4.25-v540-c2295-S1137823545-077.cnf,1,3998,3998,3964,3871.5,3891,3795,3757,3757,0.0285,0.0249,0.5556,28.7286,2284,29.6025,2295,29.2184,26.7767,30.834,4.0038,540,529,127,117,0.0214,0.3248,0.0717,34.456,116,116.392,127,4,116.618
SAT_Competition2007/random/2+p/p0.9/v1170/unif2p-p0.9-v1170-c4235-S622482268-08-UNKNOWN.cnf,1,2921,2792,1355,1229.6,963,892,810,758,0.0152,0.5745,0.4882,27.6556,4155,30.6485,4234,28.7061,26.9361,31.6199,4.7386,1170,1099,253,238,0.5127,0.2021,0.1622,42.5666,239,238.521,253,4,237.967
SAT_Competition2011/SAT11/random/large/unif-k3-r4.2-v15000-c63000-S38529837-091-UNKNOWN.cnf,1,28,15,12,10.2255,10,8,7,5,0.0011,0.0735,0.2763,51.8571,62631,61.4837,63000,60.6154,44.4667,72.1667,5.014,15000,14668,3255,3187,0.3546,0.1032,0.2129,78.1429,3189,2841.11,3244,5,3198.19
SAT_Competition2007/random/2+p/p0.8/v1665/unif2p-p0.8-v1665-c5178-S1363528912-04-SAT.cnf,1,2198,2188,1994,1720.8462,1689,1391,1331,1188,0.0106,0.0991,0.4799,30.9121,4888,33.2674,5177,33.0757,30.0387,34.3599,5.0145,1665,1452,328,311,0.2004,0.1649,0.1098,40.154,311,311.145,328,4,311.154
SAT_Competition2009/RANDOM/MEDIUM/3SAT/UNKNOWN/560/unif-k3-r4.25-v560-c2380-S688769362-007.cnf,1,3948,3948,3944,3840.625,3843,3800,3686,3686,0.0242,0.0244,0.5584,28.7063,2356,30.1669,2380,29.2564,27.4314,33.4848,4.0037,560,542,130,119,0.0212,0.326,0.0791,34.6383,120,119.573,130,4,119.422
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/380/unif-k3-r4.25-v380-c1615-S1036996799-006.cnf,1,4057,4057,4027,3943.625,3960,3886,3865,3865,0.0305,0,0.6262,23.0096,1607,23.9264,1615,23.6568,21.9059,26.1666,4,380,369,91,82,0.017,0.3914,0.0641,26.6424,82,82.5433,91,4,82.6059
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/380/unif-k3-r4.25-v380-c1615-S1804335510-002.cnf,1,4180,4180,4115,3954.125,3937,3878,3789,3789,0.0331,0,0.5691,21.7471,1603,22.6141,1615,22.4257,21.4516,23.3835,4,380,373,92,83,0.0309,0.3928,0.0561,25.5907,83,83.0862,92,4,83.2452
SAT_Competition2009/RANDOM/LARGE/5SAT/UNKNOWN/1100/unif-k5-r20-v1100-c22000-S1388268034-092.cnf,1,91,50,42,38.1846,36,32,28,23,0.0193,0,0.5725,56.3077,22000,60.1845,22000,60.9375,52.3409,63.7692,3,1100,1100,225,210,0.2725,0.33,0.0991,67.6571,210,210.691,226,3,210.352
SAT_Competition2007/random/LargeSize/7SAT/v160/unif-k7-r85-v160-c13600-S187076430-06.cnf,1,4388,4388,4388,4187.75,4251,4080,4032,4032,0.0117,0,0.7369,47.7902,13600,48.6146,13600,49.0618,47.6228,49.9838,2,160,160,32,26,0.0338,1.3793,0.0199,49.9838,26,26.4366,32,2,26.5309
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/65/unif-k7-r89-v65-c5785-S1223878722-065.cnf,1,4590,4590,4506,4470.6667,4442,4432,4417,4417,0.0111,0,0.7638,24.106,5785,24.1835,5785,24.2144,23.8546,24.3602,2,65,65,14,11,0.0135,1.8509,0.0081,24.459,11,11.271,14,2,11.3157
SAT_Competition2007/random/OnTreshold/5SAT/v130/unif-k5-r21.3-v130-c2769-S116991008-16.SAT.shuffled.cnf,1,4437,4437,4353,4221.625,4187,4171,4116,4116,0.0466,0.0454,0.6946,28.5403,2769,28.7835,2769,28.6214,27.587,29.5169,2.9922,130,130,31,26,0.0253,1.0807,0.0334,30.8393,26,25.8344,31,2,25.9668
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/380/unif-k3-r4.25-v380-c1615-S326477539-068.cnf,1,0,0,0,0,0,0,0,0,0.0387,0,0.6139,0,1600,0,1615,0,0,0,4,380,374,92,83,0,0.3901,0,0,83,82.7028,91,4,82.7771
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/8000/unif-k3-r4.2-v8000-c33600-S195213520-027.cnf,1,54,34,30,24.9076,23,19,16,12,0.0021,0.024,0.3198,45.5333,33418,50.3385,33600,49.2083,42,55.0769,5.0036,8000,7809,1738,1712,0.3222,0.0756,0.1472,59.9787,1710,1652.1,1747,5,1711.66
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S1771223975-021.cnf,1,4421,4421,4391,4262.75,4227,4214,4139,4139,0.0465,0.3467,0.7256,24.9836,2343,25.4895,2343,25.4502,24.2069,26.1478,2.8899,110,110,27,22,0.0216,1.1411,0.0411,27.665,22,22.1134,27,2,22.1211
SAT_Competition2011/SAT11/random/large/unif-k3-r4.2-v10000-c42000-S677627694-051-UNKNOWN.cnf,1,42,26,21,17.6359,17,14,11,8,0.0018,0.3447,0.3213,47.5385,41704,53.6791,42000,52.6429,42.4091,60.1622,5.1091,10000,9738,2163,2122.5,0.338,0.1202,0.1728,66.15,2123.5,2123.6,2152,5,2126.19
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/6000/unif-k3-r4.2-v6000-c25200-S762724712-048.cnf,1,64,45,40,33.7514,32,27,24,18,0.0026,0.0098,0.3436,41.6,25009,45.3728,25200,45.5143,38.5161,48.4333,5.0013,6000,5839,1305,1275.5,0.2737,0.0886,0.1132,51.4545,1265,1269,1296,5,1275.76
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v650-c2769-S466707249-079.SATISFIABLE.cnf,1,3947,3947,3835,3774.375,3760,3735,3666,3666,0.0203,0.046,0.5384,32.6685,2756,34.4643,2769,33.6065,32.2247,37.4362,4.0079,650,635,152,140,0.021,0.2961,0.0687,39.2316,140,140.311,152,4,140.279
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/4000/unif-k3-r4.2-v4000-c16800-S1933199449-033.cnf,1,154,74,64,58.625,56,49,40,32,0.0042,0.0095,0.3719,36.617,16681,39.3422,16800,38.8409,34.8864,41.8947,4.9988,4000,3890,876,848.5,0.3102,0.1119,0.091,44.1731,849,842.864,877,4,850.421
SAT_Competition2011/SAT11/random/large/unif-k7-r85-v400-c34000-S927774663-037-UNKNOWN.cnf,1,162,102,86,83.5,80,70,64,54,0.0117,0.2541,0.7034,56.98,34000,59.1003,34000,59.2024,54.439,61.6512,2.0702,400,400,75,65,0.2534,0.9563,0.0592,64.1786,66,66.1529,74,2,65.4719
