@RELATION 'FEATURE_VALUES-SAT12-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 8'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE TRINARYp NUMERIC

@DATA
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top21.cnf,1,0.1582,0.196,0.5318,0.1536,0.2397,2.1233,0.3317,0.8331
SAT_Competition2011/SAT03/industrial/schuppan/l2s/dme-03-1-k247-unsat.shuffled-as.sat03-407.cnf,1,0.1331,0.172,0.1373,0.0189,0.5,2.0429,0.2083,0.7697
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-06.cnf,1,0.1638,0.1943,0.1317,0.0109,0.3082,1.302,0.1729,0.6106
SAT-Race-2010-CNF/mixed/anbulagan/dated-10-19-u.cnf,1,0.5503,0.1535,0.6119,0.1994,0.1983,3.1522,0.6838,0.9281
SAT-Race-2010-CNF/software-verification/bitverif/minxorminand128.cnf,1,0.3719,0.0774,0.8199,0.6945,0.4592,1.9719,0.3044,0.4899
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/minor/minor064.cnf,1,0.3838,0.1111,0.7019,0.3361,0.4725,2.8825,0.6998,0.5069
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,0.585,0.1733,0.7644,0.2751,0.1345,2.8426,0.6779,0.8731
SAT_Competition2007/industrial/industrial/babic/dspam/dspam_dump_vc1080.cnf,1,?,?,?,?,?,?,?,?
SAT_RACE2008/fuhs-aprove-15.cnf,1,0.2219,0.1831,0.2087,0.0674,0.2875,1.9442,0.4262,0.6128
SAT_Competition2011/SAT11/application/leberre/2dimensionalstrippacking/E02F17.cnf,1,0.2109,0.083,0.8251,0.8201,0.1496,1.471,0.6967,0.3812
SAT_Competition2011/SAT07/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,0.6153,0.178,0.6568,0.2448,0.2053,3.0829,0.7248,0.892
SAT_Competition2011/SAT07/industrial/anbulagan/medium-unsat/dated-5-11-u.cnf,1,0.6356,0.1843,0.6706,0.2641,0.2037,3.0944,0.7475,0.8874
SAT-Race-2010-CNF/hardware-verification/velev/2dlx_ca_bp_f_liveness.cnf,1,0.9069,0.0439,0.9971,0.9718,0.5,4.0238,0.6257,0.9471
SAT_RACE2006/SAT-Race_TS_2/velev-pipe-sat-1.1-03.cnf,1,0.8293,0.0178,0.9995,0.7693,0.5,4.0371,0.31,0.9406
SAT-Race-2010-CNF/software-verification/nec/hard-0-U-7061.cnf,1,0.4386,0.1611,0.4015,0.1635,0.4377,3.0198,0.4956,0.8536
SAT_RACE2008/ibm-2002-18r-k90.cnf,1,0.5212,0.1359,0.6558,0.3916,0.3401,3.5936,0.1049,0.6631
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,0.6153,0.178,0.6567,0.2443,0.2055,3.0829,0.5088,0.892
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/partial-5-15-u.cnf,1,0.6071,0.1789,0.744,0.2332,0.1485,2.8925,0.6693,0.8708
SAT_Competition2007/industrial/industrial/babic/xinetd/itox_vc1044.cnf,1,0.0812,0.2186,0.156,0.1488,1,1.6082,0.5478,0.8913
SAT_RACE2006/SAT-Race_TS_1/velev-pipe-1.1-05.cnf,1,0.8293,0.0178,0.9995,0.7693,0.5,4.0371,0.2791,0.9406
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_3_keyfind_1.cnf,1,0.0181,0.2042,0.0252,0.0027,0.135,1.782,0.6582,0.4828
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-eijkbs6669-tseitin.cnf,1,0.1174,0.2072,0.1209,0.0447,0.438,2.0203,0.0917,0.7211
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_4_keyfind_1.cnf,1,0.0161,0.2023,0.0252,0.0027,0.135,1.7705,0.5707,0.4731
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.170-NOTKNOWN.cnf,1,0.9607,0.0571,0.9835,0.962,0.5,1.6649,0.3538,0.9978
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-sat/partial-10-15-s.cnf,1,0.5987,0.176,0.7566,0.2749,0.1588,2.898,0.6851,0.8754
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_r_uc_sat.cnf,1,0.1396,0.1019,0.5335,0.3233,0.5,2.7564,0.1476,0.3436
SAT_Competition2007/industrial/industrial/anbulagan/hard-sat/partial-5-17-s.cnf,1,0.5856,0.1739,0.7541,0.2063,0.1312,2.821,0.739,0.8711
SAT-Race-2010-CNF/mixed/anbulagan/dated-5-11-u.cnf,1,0.6356,0.1843,0.6706,0.2641,0.2037,3.0944,0.6668,0.8874
SAT-Race-2010-CNF/software-verification/nec/hard-2-U-9007.cnf,1,0.4006,0.1531,0.7295,0.3187,0.5,3.2658,0.2778,0.6942
SAT_RACE2006/SAT-Race_TS_1/velev-vliw-sat-2.0-04.cnf,1,0.4047,0.025,0.9811,0.5838,0.5,4.0219,0.5053,0.9692
SAT-Race-2010-CNF/cryptography/mizh/md5_48_3.cnf,1,0.0718,0.1696,0.0104,0.0001,0.1579,0.9718,0.0847,0.5407
SAT_RACE2008/post-c32s-gcdm16-22.cnf,1,0.0742,0.1443,0.0635,0.02,0.26,1.6455,0.7265,0.5433
SAT_RACE2008/post-c32s-ss-8.cnf,1,0.4161,0.2086,0.6957,0.5636,0.217,1.76,0.3483,0.8711
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_kkb_unknown.cnf,1,0.0716,0.0454,0.1663,0.043,0.3768,1.8364,0.5508,0.1929
SAT-Race-2010-CNF/mixed/bioinf/q_query_3_l48_lambda.cnf,1,0.1814,0.1138,0.6832,0.4997,1,3.1041,0.5842,0.7589
SAT_Competition2007/industrial/industrial/manolios/manol-pipe-g10bidw.cnf,1,0.1344,0.1295,0.6495,0.5015,0.4628,2.7152,0.104,0.4602
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-c7bidw_i.cnf,1,0.1229,0.1328,0.6206,0.4333,0.443,2.9052,0.1622,0.4693
SAT_Competition2009/APPLICATION/SAT07/industrial/grieu/vmpc_24.cnf,1,0.3914,0.0085,0.6934,0.6934,0,0.3614,0.9343,0.9993
SAT_RACE2006/SAT-Race_TS_1/simon-mixed-s02bis-01.cnf,1,0.7751,0.1484,0.8851,0.8106,0.0827,2.4435,0.9045,0.8234
SAT_Competition2011/SAT-Race-2010-CNF/software-verification/nec/hard-25-U-7061.cnf,1,?,?,?,?,?,?,?,?
SAT_Competition2011/SAT09/APPLICATIONS/satComp09_BioInstances/rbcl_xits_08_UNSAT.cnf,1,0.028,0.0114,0.5448,0.4774,0.1719,2.6677,0.8582,0.8911
SAT_RACE2006/SAT-Race-Benchmarks/ibm-2004-1_31_2-k25.cnf,1,0.5517,0.1562,0.6283,0.2984,0.3221,3.3454,0.3974,0.6952
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_f_unknown.cnf,1,0.0669,0.0416,0.1451,0.0391,0.3432,1.6787,0.6672,0.1885
SAT_Competition2009/APPLICATION/SAT_RACE06/manol-pipe-c6nidw_i.cnf,1,0.127,0.1341,0.6132,0.4146,0.439,2.9405,0.1376,0.4697
SAT_Competition2007/industrial/industrial/anbulagan/medium-sat/total-5-17-s.cnf,1,0.5669,0.1628,0.6454,0.203,0.2021,3.0643,0.4581,0.9035
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-f10ni.cnf,1,0.1298,0.1236,0.6814,0.5122,0.435,2.8303,0.1732,0.483
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bc57sensorsp2-tseitin.cnf,1,0.1966,0.2187,0.2098,0.1552,0.9998,2.8716,0.415,0.7678
SAT_RACE2008/velev-vliw-uns-4.0-9-i1.cnf,1,0.6001,0.0429,0.9969,0.835,0.5,4.0488,0.6553,0.953
SAT_Competition2011/SAT07/industrial/anbulagan/hard-unsat/partial-5-11-u.cnf,1,0.6423,0.1882,0.7517,0.2855,0.1341,2.8848,0.8221,0.8637
SAT_RACE2008/post-cbmc-aes-d-r2.cnf,1,0.0114,0.0192,0.0659,0.0199,0.5,2.6334,0.1511,0.0352
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/satComp09_BioInstances/ndhf_xits_11_UNSAT.cnf,1,0.0167,0.0067,0.5652,0.4554,0.1933,2.6131,0.7107,0.9173
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_5_keyfind_1.cnf,1,0.0149,0.2012,0.0252,0.0027,0.135,1.7617,0.5211,0.4674
SAT_Competition2007/industrial/industrial/palacios/uts/uts-l06-ipc5-h29-unknown.cnf,1,0.7171,0.0234,0.8752,0.4544,0.5,4.2573,0.8209,0.7843
SAT-Race-2010-CNF/mixed/jarvisalo/eq.atree.braun.12.unsat.cnf,1,0.217,0.241,0.1759,0.0982,0.3218,2.0475,0.9878,0.8775
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/partial-10-17-u.cnf,1,0.5908,0.1752,0.7644,0.2863,0.1344,2.8612,0.7251,0.8711
SAT_Competition2007/industrial/industrial/anbulagan/medium-unsat/dated-5-11-u.cnf,1,0.6356,0.1843,0.6706,0.2641,0.2037,3.0944,0.7511,0.8874
SAT_Competition2011/SAT02/industrial/nam/fpga-routing/k2fix_gr_rcs_w8.shuffled.cnf,1,0.7657,0.0322,0.4906,0.3815,1,0.0896,0.3445,0.7657
SAT_RACE2006/SAT-Race-Benchmarks/simon-s03-fifo8-400.cnf,1,0.2358,0.2155,0.1824,0.092,0.4804,2.8031,0.1064,0.7081
SAT_Competition2011/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-lfsr_008_079_112-tseitin.cnf,1,0.5524,0.063,0.8491,0.6875,0.4995,3.169,0.6817,0.8398
SAT_Competition2009/APPLICATION/SAT_RACE06/velev-pipe-o-uns-1.1-6.cnf,1,0.8894,0.0402,0.9496,0.7268,0.4999,4.037,0.4779,0.9129
SAT_Competition2011/SAT07/industrial/IBM_FV_2002_13_rule_1/SAT_dat.k80.cnf,1,0.3465,0.1415,0.1245,0,0.2916,1.7922,0.4666,0.5075
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom15.cnf,1,0.1424,0.1817,0.1577,0.0409,0.2404,2.3483,0.33,0.7261
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_b_unsat.cnf,1,0.0599,0.0349,0.1002,0.0271,0.2793,1.7163,0.4627,0.1821
SAT_RACE2008/babic-dspam-vc973.cnf,1,?,?,?,?,?,?,?,?
SAT_RACE2006/SAT-Race-Benchmarks/ibm-2002-26r-k45.cnf,1,0.7174,0.0986,0.8207,0.6288,0.4749,3.4492,0.0789,0.7819
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/satComp09_BioInstances/rbcl_xits_12_UNKNOWN.cnf,1,0.0237,0.0102,0.3974,0.3118,0.2005,2.2046,0.815,0.9242
SAT_RACE2008/ibm-2004-29-k25.cnf,1,0.529,0.1482,0.5349,0.1873,0.2987,3.3525,0.3433,0.7359
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-03.cnf,1,0.2645,0.1869,0.4925,0.2275,0.9992,3.4323,0.3903,0.6806
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/dated-5-17-u.cnf,1,0.5776,0.1666,0.635,0.2198,0.2026,3.1127,0.4178,0.8998
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top22.cnf,1,0.1551,0.1961,0.5377,0.1536,0.2397,2.1335,0.3239,0.8328
SAT-Race-2010-CNF/software-verification/nec/hard-11-U-7061.cnf,1,?,?,?,?,?,?,?,?
SAT_Competition2009/APPLICATION/SAT07/industrial/palacios/hard/safe-50-h49-unsat.cnf,1,0.3787,0.0267,0.8996,0.5195,0.5,4.1327,0.594,0.6377
SAT_Competition2011/SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-18-step15.cnf,1,0.9718,0.0499,0.9512,0.3636,0.5,3.2353,0.58,0.9761
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-15.cnf,1,0.1532,0.1905,0.1282,0.0634,0.3002,1.1936,0.2122,0.5909
SAT_RACE2006/SAT-Race_TS_2/manol-pipe-c7_i.cnf,1,0.1608,0.1475,0.5947,0.3477,0.4353,3.3927,0.6503,0.5576
SAT_RACE2006/SAT-Race_TS_2/manol-pipe-f6nid.cnf,1,0.1365,0.128,0.6486,0.4922,0.4729,2.8613,0.1431,0.4535
SAT_Competition2007/industrial/industrial/fuhs/medium/AProVE07-15.cnf,1,0.2219,0.1831,0.2087,0.0674,0.2875,1.9442,0.5146,0.6128
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bioinfo/q_query_3_L100_coli.sat.cnf,1,0.1038,0.0959,0.6323,0.6037,1,2.4475,0.0778,0.7891
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.025-NOTKNOWN.cnf,1,0.9701,0.157,0.915,0.2846,0.5198,2.4951,0.7171,0.9791
SAT_Competition2007/industrial/industrial/babic/xinetd/itox_vc1033.cnf,1,0.0765,0.2176,0.156,0.1488,1,1.6293,0.1636,0.8861
SAT_RACE2008/mizh-md5-48-2.cnf,1,0.0718,0.1696,0.0103,0.0001,0.1579,0.9713,0.0898,0.5407
SAT_RACE2006/SAT-Race_TS_2/miza-sr06-md5-47-03.cnf,1,0.0722,0.1699,0.0107,0.0001,0.1579,0.9811,0.0934,0.5427
SAT-Race-2010-CNF/software-verification/babic/dspam_dump_vc972.cnf,1,0.0228,0.2225,0.1552,0.1482,0.4034,0.9825,0.0401,0.9771
SAT_RACE2008/manol-pipe-f7nidw.cnf,1,0.1277,0.1255,0.6556,0.5301,0.4512,2.8031,0.1334,0.4591
SAT_Competition2007/industrial/industrial/babic/hsatv17/hsat_vc12070.cnf,1,?,?,?,?,?,?,?,?
SAT_Competition2007/industrial/industrial/babic/xinetd/itox_vc909.cnf,1,0.0703,0.2108,0.156,0.1488,1,1.6402,0.5619,0.8473
SAT_RACE2006/SAT-Race_TS_1/narai-vpn-10s.cnf,1,0.4582,0.1954,0.6149,0.4,0.5,2.0392,0.4843,0.7765
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bjrb07amba2andenv-tseitin.cnf,1,0.2421,0.1666,0.4468,0.2671,0.4333,3.1934,0.1772,0.5634
SAT_Competition2011/SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-12-step15.cnf,1,0.9636,0.0606,0.9015,0.3693,0.4918,3.111,0.7489,0.9665
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/icbrt/icbrt1_32.cnf,1,0.3324,0.2217,0.2205,0.0862,0.3705,2.2022,0.95,0.8044
SAT-Race-2010-CNF/mixed/diagnosis/UCG-20-10p1.cnf,1,0.515,0.1442,0.7772,0.3041,0.092,2.9439,0.4044,0.8694
SAT_Competition2011/SAT07/industrial/babic/hsatv17/hsat_vc12062.cnf,1,?,?,?,?,?,?,?,?
SAT_RACE2008/velev-vliw-uns-2.0-iq1.cnf,1,0.8694,0.0692,0.8912,0.7302,0.4654,3.9885,0.5646,0.9168
SAT_RACE2006/SAT-Race_TS_1/velev-pipe-1.1-03.cnf,1,0.8293,0.0178,0.9995,0.7696,0.5,4.0378,0.2373,0.9407
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/satComp09_BioInstances/rpoc_xits_12_UNKNOWN.cnf,1,0.0219,0.0094,0.4761,0.3149,0.2003,2.275,0.797,0.9241
SAT_Competition2009/APPLICATION/SAT_RACE06/manol-pipe-f10ni.cnf,1,0.1298,0.1236,0.6814,0.5122,0.435,2.8303,0.1224,0.483
SAT_Competition2011/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-ext_con_032_008_0256-tseitin.cnf,1,?,?,?,?,?,?,?,?
SAT_Competition2009/APPLICATION/SAT07/industrial/palacios/uts/uts-l05-ipc5-h27-unknown.cnf,1,0.6339,0.0313,0.8295,0.4197,0.5,4.2382,0.8641,0.7264
SAT-Race-2010-CNF/cryptography/mizh/sha0_36_5.cnf,1,0.0807,0.171,0.0044,0.0001,0.2106,0.8221,0.1206,0.5286
SAT_Competition2011/SAT_RACE06/ibm-2002-21r-k95.cnf,1,0.5208,0.1352,0.6648,0.4,0.34,3.69,0.098,0.6574
SAT_Competition2011/SAT09/APPLICATIONS/bitverif/countbitsrotate/countbitsrotate032.cnf,1,0.316,0.243,0.0917,0.0717,0.2787,1.47,0.4831,0.8666
SAT_Competition2007/industrial/industrial/babic/hsatv17/hsat_vc11803.cnf,1,?,?,?,?,?,?,?,?
SAT_Competition2011/SAT-Race-2010-CNF/software-verification/nec/hard-18-U-10652.cnf,1,0.4402,0.1458,0.9971,0.8424,0.5,3.2103,0.4255,0.7758
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/partial-5-17-u.cnf,1,0.5913,0.1758,0.7674,0.2894,0.1387,2.8392,0.4467,0.869
SAT_RACE2006/SAT-Race-Benchmarks/velev-pipe-uns-1.1-7.cnf,1,0.8955,0.0332,0.9916,0.6837,0.5,3.997,0.5065,0.9161
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/128/aes_128_3_keyfind_1.cnf,1,0.0219,0.0819,0.0022,0.0001,0.1504,0.9854,0.4031,0.1617
SAT_Competition2007/industrial/industrial/palacios/medium/cube-11-h14-sat.cnf,1,0.1646,0.1524,0.4495,0.1652,0.3151,3.001,0.4489,0.5858
SAT_RACE2006/SAT-Race_TS_2/manol-pipe-c10nid_s.cnf,1,0.1256,0.1249,0.6603,0.576,0.4429,2.6279,0.0498,0.4488
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/partial-10-19-u.cnf,1,0.5778,0.1714,0.7631,0.2714,0.138,2.8471,0.7407,0.8738
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/crypto/desgen/gss-28-s100.cnf,1,0.6551,0.2407,0.851,0.7453,0.1714,2.3336,0.6249,0.9402
SAT_RACE2006/SAT-Race-Benchmarks/simon-s02b-k2f-gr-rcs-w8.cnf,1,0.7657,0.0322,0.4921,0.3765,1,0.0896,0.3274,0.7657
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/diagnosis/UR-15-5p0.cnf,1,0.5621,0.1568,0.7404,0.2014,0.1581,2.8687,0.5147,0.8554
SAT_RACE2006/SAT-Race_TS_1/velev-pipe-uns-1.0-08.cnf,1,0.9501,0.0233,0.9992,0.9776,1,4.249,0.5476,0.9566
SAT_Competition2007/industrial/industrial/anbulagan/medium-sat/total-5-19-s.cnf,1,0.5507,0.1577,0.6262,0.1908,0.1967,3.0893,0.3928,0.9069
SAT_Competition2011/SAT11/application/leberre/2dimensionalstrippacking/E02F20.cnf,1,0.0591,0.023,0.8757,0.8258,0.2693,1.2131,0.6859,0.1107
SAT_RACE2008/schup-l2s-bc56s-1-k391.cnf,1,0.2019,0.1867,0.1648,0.0994,0.3176,2.5283,0.2616,0.8345
SAT_Competition2011/SAT09/APPLICATIONS/crypto/desgen/gss-22-s100.cnf,1,0.6586,0.2406,0.8516,0.748,0.1713,2.3826,0.6306,0.9386
SAT_Competition2007/industrial/industrial/crypto/mizh-md5-47-4.cnf,1,0.0723,0.17,0.0106,0.0001,0.1579,0.9795,0.0808,0.5428
SAT_RACE2008/babic-dspam-vc1080.cnf,1,?,?,?,?,?,?,?,?
SAT_Competition2007/industrial/industrial/babic/dspam/dspam_dump_vc972.cnf,1,0.0228,0.2225,0.1515,0.1452,0.4034,0.9825,0.1051,0.9771
SAT_RACE2006/SAT-Race_TS_1/velev-fvp-sat-3.0-07.cnf,1,0.4972,0.0308,0.8079,0.594,0.5,3.9796,0.388,0.9743
SAT_RACE2006/SAT-Race_TS_2/manol-pipe-c6ni_s.cnf,1,0.119,0.1301,0.6148,0.4349,0.4939,2.9328,0.1576,0.4553
SAT_Competition2007/industrial/industrial/anbulagan/hard-sat/partial-10-13-s.cnf,1,0.6156,0.1814,0.7477,0.237,0.1302,2.8563,0.7596,0.8676
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/partial-5-15-u.cnf,1,0.6071,0.1789,0.742,0.2409,0.1412,2.8925,0.7452,0.8708
SAT_Competition2009/APPLICATION/SAT07/industrial/jarvisalo/eq.atree.braun.9.unsat.cnf,1,0.2014,0.2409,0.1728,0.0922,0.3211,1.9997,0.9841,0.8799
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/c32sat/post-c32s-gcdm16-22.cnf,1,0.0742,0.1443,0.0635,0.02,0.26,1.6455,0.6718,0.5433
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/transport-transport-city-sequential-35nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.050-SAT.cnf,1,0.9899,0.1447,0.9466,0.6157,0.616,1.2856,0.398,0.99
SAT_Competition2009/APPLICATION/SAT07/industrial/palacios/uts/uts-l06-ipc5-h31-unknown.cnf,1,0.6848,0.0242,0.8566,0.4382,0.5,4.2559,0.7954,0.7614
SAT_Competition2007/industrial/industrial/palacios/medium/cube-9-h11-sat.cnf,1,0.1678,0.1511,0.4006,0.2247,0.187,3.0732,0.7542,0.5844
SAT_Competition2011/SAT09/APPLICATIONS/bitverif/maxxor/maxxor064.cnf,1,0.2608,0.2143,0.2633,0.1335,0.447,2.3703,0.8738,0.8199
SAT_RACE2006/SAT-Race_TS_1/goldb-heqc-desmul.cnf,1,0.2282,0.1578,0.7185,0.5764,0.3045,2.0042,0.2383,0.6957
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/countbitsrotate/countbitsrotate128.cnf,1,0.3196,0.2434,0.0917,0.0715,0.2788,1.3426,0.1448,0.8801
SAT_RACE2006/SAT-Race_TS_2/velev-pipe-sat-1.0-01.cnf,1,0.9264,0.0121,1,0.9978,0.5,4.2511,0.0015,0.9761
SAT_Competition2009/APPLICATION/SAT07/industrial/palacios/medium/emptyroom-4-h21-unsat.cnf,1,0.1619,0.1488,0.3523,0.2132,0.1811,2.7559,0.6974,0.5821
SAT_Competition2007/industrial/industrial/fuhs/hard/AProVE07-03.cnf,1,0.1305,0.1746,0.1137,0.0367,0.2659,1.9873,0.6596,0.5653
SAT_RACE2006/SAT-Race_TS_1/manol-pipe-f6b.cnf,1,0.156,0.135,0.5989,0.3248,0.4472,3.2062,0.4202,0.5288
SAT_RACE2006/SAT-Race_TS_1/simon-mixed-s02bis-05.cnf,1,0.7723,0.148,0.8864,0.8083,0.0732,2.4849,0.8927,0.8207
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/transport-transport-three-cities-sequential-14nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.020-NOTKNOWN.cnf,1,0.9903,0.1424,0.9468,0.6155,0.6587,1.3576,0.595,0.9906
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/maxxororand/maxxororand128.cnf,1,0.2934,0.1801,0.4006,0.1212,0.4513,2.1508,0.3861,0.7481
SAT_Competition2009/APPLICATION/SAT07/industrial/jarvisalo/eq.atree.braun.10.unsat.cnf,1,0.2035,0.2403,0.1721,0.0957,0.3213,2.0227,0.9866,0.8826
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.025-NOTKNOWN.cnf,1,0.9709,0.1547,0.916,0.2878,0.5198,2.5225,0.7058,0.9795
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/maxor/maxor128.cnf,1,0.2671,0.214,0.2573,0.1464,0.4592,2.2843,0.708,0.826
SAT-Race-2010-CNF/software-verification/post/zfcp.cnf,1,?,?,?,?,?,?,?,?
SAT_Competition2007/industrial/industrial/palacios/uts/uts-l06-ipc5-h32-unknown.cnf,1,0.6703,0.0247,0.8501,0.432,0.5,4.2532,0.8323,0.7509
SAT_Competition2011/SAT04/industrial/velev/pipe-sat-1-1/12pipe_bug4_q0.used-as.sat04-723.cnf,1,0.8292,0.0178,0.9995,0.7681,0.5,4.0386,0.2664,0.9405
SAT_Competition2007/industrial/industrial/palacios/hard/safe-50-h49-unsat.cnf,1,0.3787,0.0267,0.8996,0.5195,0.5,4.1327,0.5267,0.6377
