@RELATION 'FEATURE_VALUES-SAT11-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE CG_min NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE CG_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE CG_max NUMERIC
@ATTRIBUTE SP_bias_max NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC

@DATA
./SAT03/industrial/goldberg/hard_eq_check/x1mul.miter.shuffled-as.sat03-359.cnf,1,0.7119,0.7996,0.7421,0.6544,0.6037,0.2299,0.0709,0.156,0.6934,?,0.4607,?,1.7742,?,0.9506,0.2365
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top25.cnf,1,0.5502,0.5848,0.5724,0.4021,0.1545,0.1489,0.1815,0.1962,0.8351,?,0.4242,?,2.0728,?,0.9903,0.5749
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-27-step14.cnf,1,0.9778,1,0.9987,0.7626,0.5,0.9842,0.32,0.0402,0.9853,?,0.9842,?,3.079,?,1,0.4657
./SAT09/APPLICATIONS/bitverif/maxxororand/maxxororand064.cnf,1,0.3132,0.548,0.4877,0.3249,0.1275,0.2964,0.1834,0.1826,0.7464,?,0.4981,?,2.3172,?,1,0.7169
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pathways-13-step17.cnf,1,0.8123,0.9513,0.949,0.6114,0.2212,0.9005,0.2947,0.1563,0.9644,0,0.9064,0.0001,2.83,0.0062,1,0.6078
./SAT09/APPLICATIONS/bioinfo/q_query_3_L70_coli.sat.cnf,1,0.6128,0.9211,0.828,0.626,0.5433,0.1224,0.1749,0.0952,0.7578,?,0.4776,?,2.666,?,1,0.3381
./SAT05/industrial/maris05/DriverLog/driverlog3_v01a.renamed-as.sat05-3963.cnf,1,0.8343,0.9531,0.8844,0.7698,0.7472,0.7698,0.2633,0.1235,0.8544,0.0026,0.7802,0.0256,3.4393,0.1313,0.9944,0.2653
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-pdtpmsns2-tseitin.cnf,1,0.3393,0.7174,0.5776,0.3554,0.1252,0.2359,0.1192,0.1757,0.6345,0,0.4676,0.0005,2.896,0.0036,1,0.7191
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-lfsr_008_079_112-tseitin.cnf,1,0.8491,0.9899,0.9554,0.7563,0.6875,0.5524,0.2535,0.063,0.8398,?,0.8552,?,3.169,?,0.9993,0.3812
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.035-NOTKNOWN.cnf,1,0.9254,0.9545,0.9448,0.701,0.2957,0.9764,0.1651,0.1527,0.9829,?,0.9739,?,2.3914,?,1,0.4678
SAT-Race-2010-CNF/hardware-verification/velev/2dlx_ca_bp_f_liveness.cnf,1,0.9971,1,0.9996,0.9439,0.9718,0.9069,0.2372,0.0439,0.9471,?,0.9495,?,4.0238,?,1,0.1547
./SAT04/industrial/velev/vliw_unsat_2.0/9dlx_vliw_at_b_iq6.used-as.sat04-347.cnf,1,0.9918,1,0.9996,0.8634,0.9247,0.9087,0.2634,0.0476,0.9369,?,0.9301,?,4.2629,?,1,0.3208
./SAT11/application/kullmann/AES/Benchmarks/32/aes_32_2_keyfind_1.cnf,1,0.0253,0.2234,0.0984,0.0734,0.0028,0.0223,0.0707,0.2081,0.5028,0.0063,0.4064,0.0187,1.793,0.0356,0.3962,1.3266
./SAT11/application/leberre/2dimensionalstrippacking/korf-18.cnf,1,0.8508,0.9071,0.8784,0.845,0.8183,0.0943,0.2169,0.0371,0.1793,?,0.942,?,1.2868,?,0.9924,0.0751
./SAT09/APPLICATIONS/diagnosis/ACG-10-10p0.cnf,1,0.582,0.8834,0.8364,0.5143,0.1881,0.6431,0.1615,0.1944,0.8544,0,0.7535,0.0001,2.7473,0.0004,0.9964,0.6306
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top26.cnf,1,0.5507,0.586,0.5722,0.4038,0.1546,0.1471,0.1821,0.1963,0.8357,?,0.4245,?,2.0847,?,0.9947,0.5727
./SAT05/industrial/grieu05/vmpc/vmpc_25.renamed-as.sat05-1913.cnf,1,0.6928,0.6977,0.6928,0.6929,0.6928,0.3917,0.002,0.0081,0.9993,?,0.9993,?,0.0335,?,0.7028,0.003
./SAT07/industrial/palacios/hard/sortnet-8-ipc5-h19-sat.cnf,1,0.6386,0.9685,0.8785,0.5962,0.3379,0.401,0.249,0.0718,0.5813,?,0.6514,?,3.7986,?,1,0.5122
./SAT11/application/kullmann/AES/Benchmarks/32/aes_32_1_keyfind_1.cnf,1,0.0175,0.2222,0.0952,0.0751,0.0045,0.0364,0.0746,0.2212,0.5697,0.0167,0.4303,0.0366,1.7135,0.0561,0.3811,1.3184
./SAT07/industrial/anbulagan/hard-unsat/partial-5-11-u.cnf,1,0.7515,0.8792,0.8341,0.5847,0.2799,0.6423,0.1602,0.1882,0.8637,0,0.7554,0,2.8848,0.0002,0.9369,0.5241
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.085-SAT.cnf,1,0.9176,0.9844,0.9833,0.8119,0.6473,0.9812,0.1645,0.1508,0.9859,?,0.9794,?,2.225,?,1,0.269
./SAT07/industrial/anbulagan/hard-sat/partial-10-15-s.cnf,1,0.7406,0.8796,0.837,0.5666,0.2208,0.5987,0.1634,0.176,0.8754,0,0.7393,0,2.898,0.0001,0.9453,0.5684
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom24.cnf,1,0.1567,0.5997,0.5594,0.2743,0.04,0.1177,0.2461,0.1803,0.7204,?,0.3808,?,2.2144,?,0.9908,0.8925
./SAT11/application/rintanen/SATPlanning/blocks-blocks-37-1.120-NOTKNOWN.cnf,1,0.9835,0.9945,0.9918,0.9609,0.9617,0.961,0.3259,0.0569,0.9978,?,0.961,?,1.7403,?,0.9998,0.1013
./SAT09/APPLICATIONS/crypto/desgen/gss-16-s100.cnf,1,0.853,0.9252,0.9011,0.7576,0.7562,0.6633,0.1522,0.2405,0.9396,0.0001,0.8961,0.0005,2.3661,0.0038,0.9697,0.3302
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom23.cnf,1,0.1568,0.5983,0.5616,0.2733,0.0399,0.1192,0.2457,0.1803,0.7206,?,0.3807,?,2.2121,?,0.9924,0.8941
SAT_RACE08/cnf/velev-vliw-uns-4.0-9-i1.cnf,1,0.9969,1,0.9999,0.8642,0.835,0.6001,0.2587,0.0429,0.953,?,0.9461,?,4.0488,?,1,0.2737
./SAT11/application/rintanen/SATPlanning/sokoban-sequential-p145-microban-sequential.030-NOTKNOWN.cnf,1,0.9218,0.9676,0.9319,0.8882,0.9069,0.9575,0.2521,0.0737,0.9637,?,0.9575,?,2.0274,?,0.9946,0.1627
./SAT03/industrial/goldberg/hard_eq_check/k2mul.miter.shuffled-as.sat03-355.cnf,1,0.6883,0.7804,0.734,0.614,0.556,0.2298,0.0773,0.1555,0.6937,?,0.4635,?,1.9964,?,0.9188,0.3062
./SAT11/application/fuhs/AProVE11/AProVE11-07.cnf,1,0.1503,0.4743,0.3975,0.218,0.0522,0.1576,0.0677,0.21,0.7046,?,0.5439,?,1.6587,?,0.9945,0.8578
SAT_RACE06/ibm-2002-21r-k95.cnf,1,0.6552,0.92,0.8266,0.6004,0.4153,0.5208,0.164,0.1352,0.6574,?,0.5996,?,3.69,?,0.9963,0.4638
./SAT11/application/kullmann/AES/Benchmarks/128/aes_128_1_keyfind_1.cnf,1,0.0016,0.0908,0.036,0.0235,0.0001,0.04,0.018,0.0834,0.1468,0.0014,0.1437,0.0253,0.9864,0.0417,0.1865,1.6404
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-lfsr_004_127_112-tseitin.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
./SAT11/application/leberre/2dimensionalstrippacking/E15N15.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.045-NOTKNOWN.cnf,1,0.9466,0.9771,0.9604,0.7469,0.4072,0.9782,0.1615,0.1539,0.9841,?,0.9759,?,2.2997,?,1,0.3924
./SAT07/industrial/fuhs/hard/AProVE07-01.cnf,1,0.1741,0.6364,0.4805,0.271,0.0496,0.1962,0.1553,0.1714,0.5657,0.0004,0.509,0.0033,2.7463,0.0413,0.9401,0.9304
./SAT03/industrial/li/li-test4/li-test4-100.shuffled-as.sat03-370.cnf,1,0.1201,0.4703,0.3485,0.1927,0.0471,0.1001,0.2885,0.2369,0.6173,0,0.4518,0.0002,1.6395,0.0039,0.815,0.9153
./SAT04/industrial/velev/vliw_unsat_2.0/9dlx_vliw_at_b_iq8.used-as.sat04-718.cnf,1,0.9978,1,1,0.8861,0.9488,0.9186,0.2614,0.0434,0.9417,?,0.9362,?,4.2501,?,1,0.2881
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.045-NOTKNOWN.cnf,1,0.9469,0.9772,0.9604,0.7466,0.4062,0.9787,0.1648,0.1518,0.9843,?,0.9764,?,2.3196,?,1,0.3938
./SAT03/industrial/schuppan/l2s/valves-gates-1-k617-unsat.shuffled-as.sat03-412.cnf,1,0.293,0.6586,0.5,0.3053,0.04,0.1786,0.1635,0.1815,0.8307,?,0.5003,?,2.5145,?,1,0.8389
./SAT11/application/leberre/2dimensionalstrippacking/E05F18.cnf,1,0.8327,0.9054,0.8598,0.8469,0.8241,0.1383,0.2197,0.0535,0.2716,?,0.9405,?,1.3748,?,0.985,0.0569
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k45-pdtpmspalu-tseitin.cnf,1,0.3256,0.695,0.5408,0.3597,0.1778,0.1742,0.1051,0.1644,0.5903,?,0.3923,?,2.6693,?,1,0.6377
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top30.cnf,1,0.5528,0.5916,0.5657,0.4065,0.1564,0.1414,0.1846,0.1969,0.8375,?,0.4259,?,2.0429,?,0.9868,0.5629
SAT-Race-2010-CNF/hardware-verification/velev/11pipe_11_ooo.cnf,1,1,1,1,0.909,0.9855,0.8928,0.2832,0.0187,0.9716,?,0.9713,?,4.2103,?,1,0.2237
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k45-pdtswvtms14x8p1-tseitin.cnf,1,0.3712,0.8049,0.6997,0.4043,0.1364,0.1765,0.1379,0.1404,0.5855,?,0.4848,?,2.536,?,0.9927,0.705
./SAT11/application/fuhs/AProVE11/AProVE11-11.cnf,1,0.1793,0.4822,0.3896,0.2418,0.0869,0.1823,0.0893,0.216,0.7765,0,0.5384,0.0002,2.1353,0.0047,0.9649,0.7759
./SAT11/application/manthey/traffic/traffic_r_uc_sat.cnf,1,0.5335,0.8319,0.6818,0.5081,0.3233,0.1396,0.0605,0.1019,0.3436,?,0.2316,?,2.7564,?,1,0.4912
./SAT07/industrial/fuhs/medium/AProVE07-21.cnf,1,0.166,0.5773,0.3706,0.2437,0.0618,0.2034,0.0957,0.1833,0.576,0.0009,0.6087,0.0048,1.7903,0.0509,0.9537,0.8804
./SAT07/industrial/IBM_FV_2002_13_rule_1/SAT_dat.k45.cnf,1,0.0483,0.9068,0.7891,0.3163,0,0.3348,0.1557,0.1373,0.4883,?,0.5925,?,1.6669,?,0.9948,1.2052
./SAT11/application/rintanen/SATPlanning/transport-transport-two-cities-sequential-15nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.040-SAT.cnf,1,0.9375,0.9952,0.9785,0.7981,0.5767,0.9874,0.2355,0.1456,0.9877,?,0.9874,?,1.4369,?,1,0.3367
./SAT11/application/rintanen/SATPlanning/sokoban-sequential-p145-microban-sequential.050-NOTKNOWN.cnf,1,0.9323,0.9823,0.9565,0.8876,0.884,0.9585,0.2539,0.0721,0.9644,?,0.9585,?,1.8324,?,0.999,0.1723
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-lfsr_008_063_080-tseitin.cnf,1,0.8903,0.9809,0.968,0.7654,0.7903,0.5851,0.2233,0.0617,0.8282,?,0.8478,?,2.7646,?,0.9952,0.4007
./SAT05/industrial/grieu05/vmpc/vmpc_36.renamed-as.sat05-1922.cnf,1,0.6919,0.6919,0.6919,0.692,0.6919,0.394,0.0012,0.0056,0.9997,?,0.9997,?,0.2756,?,0.6982,0.0015
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom12.cnf,1,0.1588,0.5947,0.5183,0.2651,0.0464,0.1608,0.2404,0.1834,0.7304,0.0001,0.3889,0.0031,2.4469,0.039,0.9847,0.8811
./SAT07/industrial/anbulagan/medium-unsat/dated-5-11-u.cnf,1,0.6706,0.8596,0.8056,0.5492,0.2641,0.6356,0.1552,0.1843,0.8874,0,0.7631,0.0001,3.0944,0.0004,0.9902,0.5442
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.025-NOTKNOWN.cnf,1,0.916,0.943,0.9364,0.6673,0.2878,0.9709,0.1659,0.1547,0.9795,0,0.9674,0.0002,2.5225,0.0043,1,0.5392
SAT-Race-2010-CNF/software-verification/nec/hard-18-U-10652.cnf,1,0.9971,1,1,0.8194,0.8424,0.4402,0.2239,0.1458,0.7758,?,0.4577,?,3.2103,?,1,0.3898
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pathways-17-step20.cnf,1,0.8311,0.9554,0.9521,0.629,0.2482,0.8938,0.2925,0.1515,0.9602,0,0.9006,0.0001,3.041,0.0036,1,0.5769
./SAT09/APPLICATIONS/bitverif/maxxor/maxxor032.cnf,1,0.2604,0.5187,0.4857,0.2886,0.1224,0.2537,0.1758,0.2151,0.8059,0.0002,0.5052,0.0024,2.5111,0.0784,0.8419,0.6913
./SAT09/APPLICATIONS/bitverif/countbitsarray/countbitsarray04_32.cnf,1,0.1223,0.2174,0.1392,0.1151,0.0374,0.3405,0.0713,0.2233,0.6835,0.0003,0.4905,0.0008,1.7047,0.0076,1,0.8492
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k45-bobsmhdlc2-tseitin.cnf,1,0.3101,0.6612,0.4969,0.3332,0.1248,0.2386,0.1198,0.2023,0.7257,0.0001,0.4885,0.0005,2.6337,0.0057,1,0.7097
./SAT11/application/rintanen/SATPlanning/sokoban-sequential-p145-microban-sequential.070-NOTKNOWN.cnf,1,0.9333,0.9827,0.9569,0.889,0.8861,0.9588,0.2545,0.0716,0.9646,?,0.9588,?,1.7572,?,0.999,0.171
./SAT09/APPLICATIONS/diagnosis/UTI-20-10p1.cnf,1,0.7791,0.9512,0.8842,0.6413,0.3533,0.512,0.1485,0.1447,0.8693,0,0.6907,0,2.9701,0.0002,1,0.4771
./SAT09/APPLICATIONS/c32sat/post-c32s-gcdm16-23.cnf,1,0.0632,0.7081,0.2249,0.1967,0.0198,0.0741,0.1052,0.1442,0.543,0,0.3972,0.0011,1.6474,0.0022,0.9845,1.3437
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bc57sensorsp3-tseitin.cnf,1,0.2085,0.9574,0.4694,0.3496,0.1546,0.1894,0.137,0.2173,0.7606,?,0.6102,?,2.9157,?,1,0.8587
./SAT09/APPLICATIONS/crypto/desgen/gss-21-s100.cnf,1,0.8522,0.9253,0.9011,0.7523,0.7505,0.6596,0.1525,0.2408,0.9391,0.0001,0.8917,0.0004,2.3597,0.0034,0.9718,0.34
./SAT02/industrial/goldberg/rand_net/rand_net60-25-10.shuffled.cnf,1,0.4975,0.7604,0.639,0.4793,0.3233,0.4984,0.1238,0.266,0.8412,0.0006,0.582,0.0021,2.5807,0.0354,0.9963,0.4649
./SAT02/industrial/dellacherie/comb/comb1.shuffled.cnf,1,0.2704,0.6082,0.4494,0.2971,0.1008,0.3049,0.0928,0.2013,0.7774,0.0007,0.5288,0.0026,2.544,0.0329,1,0.7362
./SAT09/APPLICATIONS/bitverif/countbitsrotate/countbitsrotate032.cnf,1,0.0917,0.3212,0.1392,0.1355,0.0717,0.316,0.0676,0.243,0.8666,0.0004,0.4947,0.0014,1.47,0.0106,0.7477,0.7626
./SAT02/industrial/nam/fpga-routing/k2fix_gr_rcs_w8.shuffled.cnf,1,0.4921,0.6926,0.6023,0.4926,0.3765,0.7657,0.0352,0.0322,0.7657,?,0.5948,?,0.0896,?,1,0.3017
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom13.cnf,1,0.1584,0.5945,0.5279,0.2662,0.0452,0.1544,0.2397,0.1827,0.7291,0.0001,0.3871,0.0029,2.3887,0.0364,0.9779,0.886
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom15.cnf,1,0.1577,0.5937,0.5418,0.267,0.0409,0.1424,0.2415,0.1817,0.7261,?,0.3838,?,2.3483,?,0.9848,0.8897
./SAT05/industrial/maris05/Rovers/rovers1_ks99i.renamed-as.sat05-3971.cnf,1,0.8581,0.9629,0.9304,0.7976,0.727,0.816,0.1983,0.087,0.8734,0.0012,0.832,0.0226,3.8051,0.245,0.9918,0.233
./SAT04/industrial/vangelder/cnf-color/myciel6-tr.used-as.sat04-320.cnf,1,0.7047,0.7546,0.7378,0.6848,0.6004,0.8536,0.1777,0.1112,0.8564,0,0.8536,0.0096,1.9147,0.0875,1,0.1449
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-18-step16.cnf,1,0.9504,1,0.999,0.7306,0.3718,0.9717,0.3148,0.0498,0.976,?,0.9717,?,3.2216,?,1,0.4804
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-12-step16.cnf,1,0.9018,0.9748,0.9623,0.6805,0.3695,0.9636,0.309,0.0605,0.9663,?,0.9636,?,3.0942,?,1,0.5287
./SAT11/application/kullmann/AES/Benchmarks/32/aes_32_5_keyfind_1.cnf,1,0.0252,0.2247,0.1024,0.0719,0.0027,0.0149,0.0678,0.2012,0.4674,0.0024,0.4053,0.0074,1.7617,0.0136,0.3961,1.3328
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-18-step15.cnf,1,0.9512,1,0.9994,0.7285,0.3636,0.9718,0.3145,0.0499,0.9761,?,0.9718,?,3.2353,?,1,0.483
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-pdtviseisenberg2-tseitin.cnf,1,0.4565,0.6831,0.5553,0.4251,0.2868,0.2783,0.1405,0.1738,0.6662,?,0.4486,?,2.8674,?,0.9788,0.4502
./SAT11/application/leberre/2dimensionalstrippacking/E05F20.cnf,1,0.9504,0.9943,0.9756,0.8989,0.8557,0.0489,0.2294,0.019,0.094,?,0.9632,?,1.2135,?,1,0.1422
./SAT04/industrial/hoonsang/vis-bmc/all.used-as.sat04-986.cnf,1,0.1864,0.6423,0.3142,0.2662,0.1524,0.1409,0.3252,0.1906,0.7097,0.0002,0.5882,0.0051,3.2571,0.0429,1,0.8637
SAT_RACE08/Q1/SAT_dat.k80_04.cnf,1,0.5462,0.8864,0.7874,0.5169,0.2419,0.5867,0.1523,0.1615,0.7264,0,0.6251,0.0002,3.3371,0.0012,1,0.576
SAT_RACE06/velev-npe-1.0-9dlx-b71.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-pdtswvsam6x8p3-tseitin.cnf,1,0.5885,0.7854,0.7162,0.5105,0.3165,0.1794,0.1227,0.1378,0.5677,?,0.4962,?,2.5871,?,1,0.4979
./SAT11/application/leberre/2dimensionalstrippacking/E07N15.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
./SAT09/APPLICATIONS/bitverif/minandmaxor/minandmaxor128.cnf,1,0.3073,0.6048,0.5679,0.3356,0.0986,0.2829,0.1872,0.1935,0.7788,?,0.5362,?,2.2935,?,1,0.7146
./SAT11/application/kullmann/AES/Benchmarks/64/aes_64_2_keyfind_1.cnf,1,0.0099,0.1518,0.0573,0.0484,0,0.0623,0.0542,0.173,0.4083,0.0019,0.2608,0.0103,1.3517,0.0175,0.4241,1.5697
./SAT02/industrial/goldberg/rand_net/rand_net60-30-1.shuffled.cnf,1,0.4862,0.7345,0.6312,0.4699,0.3234,0.526,0.107,0.2744,0.8696,0.0006,0.598,0.0015,2.4104,0.0338,0.999,0.4467
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k45-pdtpmsgoodbakery-tseitin.cnf,1,0.385,0.6679,0.5459,0.3893,0.2245,0.2859,0.1074,0.1947,0.7131,0,0.4972,0.0003,2.991,0.002,0.9957,0.5425
./SAT11/application/kullmann/AES/Benchmarks/32/aes_32_4_keyfind_1.cnf,1,0.0252,0.2247,0.1023,0.0721,0.0027,0.0161,0.0683,0.2023,0.4731,0.003,0.4036,0.0093,1.7705,0.0171,0.3961,1.3317
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top21.cnf,1,0.5318,0.586,0.5719,0.3949,0.1536,0.1582,0.1801,0.196,0.8331,?,0.4236,?,2.1233,?,0.9924,0.5833
SAT_RACE08/cnf/manol-pipe-c10nidw.cnf,1,0.6558,0.91,0.8231,0.6217,0.5549,0.1239,0.1472,0.1255,0.4583,?,0.4692,?,2.6359,?,1,0.4157
./SAT09/APPLICATIONS/satComp09_BioInstances/rbcl_xits_08_UNSAT.cnf,1,0.5447,0.9394,0.592,0.5441,0.4761,0.028,0.2792,0.0114,0.8911,?,0.8911,?,2.6677,?,0.9638,0.4329
./SAT05/industrial/maris05/DriverLog/driverlog1_ks99i.renamed-as.sat05-3951.cnf,1,?,?,?,?,?,?,?,?,?,0,?,0,?,0,?,?
./SAT05/industrial/grieu05/vmpc/vmpc_34.renamed-as.sat05-1926.cnf,1,0.6917,0.6917,0.6917,0.6918,0.6917,0.3937,0.0013,0.006,0.9996,?,0.9996,?,0.2903,?,0.6984,0.0017
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-12-step15.cnf,1,0.9015,0.9749,0.9624,0.6803,0.3693,0.9636,0.3087,0.0606,0.9665,?,0.9636,?,3.111,?,1,0.5291
./SAT09/APPLICATIONS/crypto/md5gen/gus-md5-12.cnf,1,0.0144,0.3927,0.1034,0.0981,0.0015,0.0613,0.0429,0.1745,0.5555,0,0.5125,0.0002,1.0549,0.0009,0.7455,1.5924
./SAT02/industrial/goldberg/rand_net/rand_net60-40-10.shuffled.cnf,1,0.5113,0.747,0.6529,0.4864,0.333,0.5295,0.1128,0.2678,0.8528,0.0004,0.5972,0.0012,2.502,0.0236,0.9853,0.4461
