@RELATION 'featureValues_ASP_Potassco-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 7'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Frac_Body-Body_Equivalences NUMERIC
@ATTRIBUTE Frac_Other_Equivalences NUMERIC
@ATTRIBUTE Tight NUMERIC
@ATTRIBUTE Frac_Atom-Atom_Equivalences NUMERIC
@ATTRIBUTE Literals_in_Conflict_Nogoods-1 NUMERIC
@ATTRIBUTE Frac_Ternary_Rules NUMERIC
@ATTRIBUTE Literals_in_Conflict_Nogoods-2 NUMERIC

@DATA
FolioSuite/ASP-Comp-2007-Lparse/SLparse/HamiltonianPath/gryzzles.48.gz,1,0.1784,0.5902,0,0.2315,232,0.7344,450
FolioSuite/ASP-Comp-2007-Lparse/SLparse/HamiltonianPath/gryzzles.30.gz,1,0.1758,0.5898,0,0.2344,246,0.7119,470
FolioSuite/ASP-Comp-2007-Lparse/SLparse/HamiltonianPath/gryzzles.41.gz,1,0.1755,0.5893,0,0.2353,287,0.7031,474
FolioSuite/ASP-Comp-2007-Lparse/SLparse/HamiltonianPath/hampath.ngrnd.6.gz,1,0.1851,0.5941,0,0.2208,1853,0.8451,2989
FolioSuite/ASP-Comp-2007-Lparse/SLparse/HamiltonianPath/gryzzles.15.gz,1,0.1771,0.5899,0,0.2329,189,0.7212,357
FolioSuite/ASP-Comp-2007-Lparse/SLparse/Hashiwokakero/hashiwokakero-size11-puzzle5.gz,1,?,?,?,?,?,?,?
FolioSuite/ASP-Comp-2007-Lparse/SLparse/KnightsTour/knights_13_13_t17.lp.gz,1,0.17,0.6588,1,0.1712,?,0.5782,?
FolioSuite/ASP-Comp-2007-Lparse/SLparse/KnightsTour/knights_20_20_t19.lp.gz,1,0.1696,0.6601,1,0.1703,?,0.5832,?
FolioSuite/ASP-Comp-2007-Lparse/SLparse/KnightsTour/knights_18_18_t8.lp.gz,1,0.1731,0.6511,1,0.1758,?,0.4151,?
FolioSuite/ASP-Comp-2007-Lparse/SLparse/KnightsTour/knights_17_17_t9.lp.gz,1,0.1724,0.6527,1,0.1748,?,0.4387,?
FolioSuite/ASP-Comp-2007-Lparse/SLparse/KnightsTour/knights_15_15_t9.lp.gz,1,0.1723,0.6525,1,0.1751,?,0.444,?
FolioSuite/ASP-Comp-2007-Lparse/SLparse/RLP-150/lp.150.00750.23.gz,1,0,1,0,0,303,1,658
FolioSuite/ASP-Comp-2007-Lparse/SLparse/RLP-150/lp.150.00675.13.gz,1,0,1,0,0,383,1,889
FolioSuite/ASP-Comp-2007-Lparse/SLparse/RLP-150/lp.150.00825.25.gz,1,0,1,0,0,341,1,764
FolioSuite/ASP-Comp-2007-Lparse/SLparse/RLP-150/lp.150.00675.26.gz,1,0,1,0,0,380,0.994,735
FolioSuite/ASP-Comp-2007-Lparse/SLparse/RLP-200/lp.200.00700.1.gz,1,0,0.9688,0,0.0312,448,0.969,889
FolioSuite/ASP-Comp-2007-Lparse/SLparse/RLP-200/lp.200.00700.15.gz,1,0.04,0.92,0,0.04,564,0.9942,1020
FolioSuite/ASP-Comp-2007-Lparse/SLparse/RLP-200/lp.200.01100.8.gz,1,0,1,0,0,380,1,798
FolioSuite/ASP-Comp-2007-Lparse/SLparse/RandomNonTight/n50-unsat-b16.lp.gz,1,0,1,0,0,911,0,1995
FolioSuite/ASP-Comp-2007-Lparse/SLparse/RandomNonTight/n50-unsat-b6.lp.gz,1,0,1,0,0,980,0,2049
FolioSuite/ASP-Comp-2007-Lparse/SLparse/RandomNonTight/n60-sat-b18.lp.gz,1,0,1,0,0,1043,0,2167
FolioSuite/ASP-Comp-2007-Lparse/SLparse/SchurCompetition/20.1.schur.gz,1,0.1426,0.6851,1,0.1723,653,0.0076,1377
FolioSuite/ASP-Comp-2007-Lparse/SLparse/SchurCompetition/15.10.schur.gz,1,0.1409,0.6828,1,0.1763,662,0.0076,1324
FolioSuite/ASP-Comp-2007-Lparse/SLparse/SchurCompetition/20.13.schur.gz,1,0.1363,0.6905,1,0.1731,585,0.0076,1051
FolioSuite/ASP-Comp-2007-Lparse/SLparse/SchurCompetition/15.17.schur.gz,1,0.1458,0.6785,1,0.1758,621,0.0076,1244
FolioSuite/ASP-Comp-2007-Lparse/SLparse/SchurCompetition/15.16.schur.gz,1,0.1406,0.6835,1,0.176,514,0.0076,977
FolioSuite/ASP-Comp-2007-Lparse/SLparse/SocialGolfer/csp010-SocialGolfer_w4_g6_s4.dlv.dat.lp.gz,1,0.1089,0.8603,1,0.0309,731,0.7875,1432
FolioSuite/ASP-Comp-2007-Lparse/SLparse/SocialGolfer/csp010-SocialGolfer_w8_g4_s2.dlv.dat.lp.gz,1,0.1992,0.7593,1,0.0415,454,0.5875,910
FolioSuite/ASP-Comp-2007-Lparse/SLparse/SocialGolfer/csp010-SocialGolfer_w6_g6_s3.dlv.dat.lp.gz,1,0.1525,0.8157,1,0.0318,687,0.7975,1632
FolioSuite/ASP-Comp-2007-Lparse/SLparse/SolitaireBackward2/t31.dat.gz,1,0.4038,0.5392,1,0.0571,416,0.1712,729
FolioSuite/ASP-Comp-2007-Lparse/SLparse/SolitaireBackward2/t29.dat.gz,1,0.3994,0.5394,1,0.0612,137,0.1713,258
FolioSuite/ASP-Comp-2007-Lparse/SLparse/SolitaireForward/solitare_forward_t24.lp.gz,1,0.0572,0.9363,1,0.0065,111,0.2182,375
FolioSuite/ASP-Comp-2007-Lparse/SLparse/Su-Doku/sudoku378.lp.gz,1,0.1626,0.8233,1,0.0141,442,0.9965,878
FolioSuite/ASP-Comp-2007-Lparse/SLparse/TowersOfHanoiCompetition/mgs_towers-hanoi.39_6.gz,1,0.0051,0.9855,1,0.0094,564,0.8676,693
FolioSuite/ASP-Comp-2007-Lparse/SLparse/TowersOfHanoiCompetition/mgs_towers-hanoi.36_6.gz,1,0.0051,0.9849,1,0.0099,96,0.867,271
FolioSuite/ASP-Comp-2007-Lparse/SLparse/TowersOfHanoiCompetition/mgs_towers-hanoi.33_6.gz,1,0.0051,0.9843,1,0.0106,51,0.8663,413
FolioSuite/ASP-Comp-2007-Lparse/SLparse/TowersOfHanoiCompetition/mgs_towers-hanoi.41_7.gz,1,0.0043,0.9872,1,0.0086,330,0.8736,544
FolioSuite/ASP-Comp-2007-Lparse/SLparse/TowersOfHanoiCompetition/mgs_towers-hanoi.16_50.6.gz,1,0.0052,0.9845,1,0.0104,90,0.8665,291
FolioSuite/ASP-Comp-2007-Lparse/SLparse/TravelingSalespersonSuite/tsp_rand_70_300_1155482584_11.gph.gz,1,0,0.6703,0,0.3297,2468,0.1597,4645
FolioSuite/ASP-Comp-2007-Lparse/SLparse/TravelingSalespersonSuite/tsp_rand_70_300_1155482584_8.gph.gz,1,0,0.6703,0,0.3297,2113,0.1595,4882
FolioSuite/ASP-Comp-2007-Lparse/SLparse/TravelingSalespersonSuite/rand_80_340_1159656267_13.gph.gz,1,0,0.6705,0,0.3295,2564,0.1595,4312
FolioSuite/ASP-Comp-2007-Lparse/SLparse/TravelingSalespersonSuite/tsp_rand_70_300_1155482584_5.gph.gz,1,0,0.6703,0,0.3297,2006,0.1584,3489
FolioSuite/ASP-Comp-2007-Lparse/SLparse/WeightBoundedDominatingSetSuite/rand_200_800_1159728969_10.gph.gz,1,0.0002,0.6029,1,0.3969,2569,0.0655,5284
FolioSuite/ASP-Comp-2007-Lparse/SLparse/WeightBoundedDominatingSetSuite/rand_150_600_1159731678_7.gph.gz,1,0,0.6001,1,0.3999,1869,0.0629,3873
FolioSuite/ASP-Comp-2007-Lparse/SLparse/WeightedLatinSquareCompetition/505.6.1976043347.dat.data.gz,1,0,0.7504,1,0.2496,221,0.1083,312
FolioSuite/ASP-Comp-2007-Lparse/SLparse/WeightedLatinSquareCompetition/505.6.1976049584.dat.data.gz,1,0,0.7504,1,0.2496,229,0.1083,358
FolioSuite/ASP-Comp-2007-Lparse/SLparse/WeightedLatinSquareCompetition/505.6.1976048738.dat.data.gz,1,0,0.7504,1,0.2496,270,0.1083,457
FolioSuite/ASP-Comp-2007-Lparse/SLparse/WeightedLatinSquareCompetition/505.6.1976048051.dat.data.gz,1,0,0.7504,1,0.2496,590,0.1083,743
FolioSuite/ASP-Comp-2007-Lparse/SLparse/WeightedSpanningTree/209_rand_45_138_1119571853_0.gph.gz,1,0.0176,0.9205,1,0.0619,32,0.0397,182
FolioSuite/ASP-Comp-2007-Lparse/SLparse/WeightedSpanningTree/207_rand_35_138_2077119725_0.gph.gz,1,0.0204,0.8899,1,0.0898,32,0.0346,444
FolioSuite/ASP-Comp-2007-Lparse/SLparse/searchTest-plain/stp_sequence3-ss2.gz,1,?,?,?,?,?,?,?
FolioSuite/ASP-Comp-2007-Lparse/SLparse/searchTest-plain/stp_sequence4-ss1.gz,1,0.646,0.3425,1,0.0115,32,0.2025,139
FolioSuite/ASP-Comp-2007-Lparse/SLparse/searchTest-plain/stp_sequence1-ss1.gz,1,0.5193,0.4041,1,0.0767,?,0.2066,?
FolioSuite/ASP-Comp-2007-Lparse/SLparse/searchTest-plain/stp_sequence4-ss4.gz,1,0.6459,0.3428,1,0.0113,13620,0.2025,33955
FolioSuite/ASP-Comp-2007-Lparse/SLparse/searchTest-verbose/stv_sequence2-ss2.gz,1,0.5903,0.3761,1,0.0336,8188,0.2024,9797
FolioSuite/ASP-Comp-2007-Lparse/SLparse/searchTest-verbose/stv_sequence4-ss1.gz,1,0.646,0.3425,1,0.0115,549,0.2025,?
FolioSuite/ASP-Comp-2007-Lparse/SLparse/searchTest-verbose/stv_sequence3-ss3.gz,1,0.6281,0.3537,1,0.0182,11245,0.2015,30102
FolioSuite/ASP-Comp-2007-Lparse/SLparse/searchTest-verbose/stv_sequence4-ss2.gz,1,0.646,0.3426,1,0.0114,4025,0.2025,6983
FolioSuite/ASP-Comp-2007-Lparse/SLparse/verifyTest-variableSearchSpace/vtvss_test13.gz,1,0.1599,0.6215,1,0.2186,194,0.198,?
FolioSuite/ASP-Comp-2007-Lparse/SLparse/verifyTest-variableSearchSpace/vtvss_test16.gz,1,0.1541,0.6358,1,0.2101,226,0.1982,531
FolioSuite/ASP-Comp-2007-Lparse/SLparse/verifyTest-variableSearchSpace/vtvss_test19.gz,1,0.1486,0.6495,1,0.2019,226,0.1983,711
FolioSuite/ASP-Comp-2007-Lparse/SLparse/verifyTest-variableSearchSpace/vtvss_test22.gz,1,0.1433,0.6626,1,0.1941,226,0.1985,683
FolioSuite/ASP-Comp-2007-Lparse/SLparse/verifyTest-variableSearchSpace/vtvss_test24.gz,1,0.1399,0.671,1,0.189,226,0.1986,424
FolioSuite/ASP-Comp-2009-Lparse/Comp15Puzzle/15-puzzle.init13.gz,1,0.001,0.8353,1,0.1636,449,0.0235,1040
FolioSuite/ASP-Comp-2009-Lparse/Comp15Puzzle/15-puzzle.init12.gz,1,0.001,0.8354,1,0.1635,779,0.0235,1178
FolioSuite/ASP-Comp-2009-Lparse/Comp15Puzzle/15-puzzle.init11.gz,1,0.001,0.8353,1,0.1636,938,0.0235,2713
FolioSuite/ASP-Comp-2009-Lparse/Comp15Puzzle/15-puzzle.init2.gz,1,0.0012,0.8343,1,0.1645,804,0.0238,1357
FolioSuite/ASP-Comp-2009-Lparse/Comp15Puzzle/15-puzzle.init3.gz,1,0.0019,0.8324,1,0.1657,1101,0.0241,1664
FolioSuite/ASP-Comp-2009-Lparse/Comp15Puzzle/15-puzzle.init7.gz,1,0.0011,0.8346,1,0.1643,799,0.0237,1150
FolioSuite/ASP-Comp-2009-Lparse/Comp15Puzzle/15-puzzle.init1.gz,1,0.0012,0.8342,1,0.1646,1210,0.0238,1687
FolioSuite/ASP-Comp-2009-Lparse/Comp15Puzzle/15-puzzle.init5.gz,1,0.0019,0.8324,1,0.1657,1466,0.0241,1850
FolioSuite/ASP-Comp-2009-Lparse/CompBlockedNQueens/156.48.1960.36.1721286911.dat.gz,1,0,0.5295,1,0.4705,571,0.007,1723
FolioSuite/ASP-Comp-2009-Lparse/CompBlockedNQueens/156.48.1960.36.1721329185.dat.gz,1,0.0001,0.5289,1,0.471,921,0.0071,1640
FolioSuite/ASP-Comp-2009-Lparse/CompBlockedNQueens/156.48.1960.36.1721347806.dat.gz,1,0,0.5299,1,0.4701,842,0.008,1704
FolioSuite/ASP-Comp-2009-Lparse/CompBlockedNQueens/156.48.1960.36.1721301641.dat.gz,1,0,0.5299,1,0.4701,836,0.0079,1600
FolioSuite/ASP-Comp-2009-Lparse/CompBlockedNQueens/156.48.1960.36.1721349794.dat.gz,1,0.0001,0.529,1,0.4709,938,0.0066,1659
FolioSuite/ASP-Comp-2009-Lparse/CompBlockedNQueens/156.48.1960.36.1721327521.dat.gz,1,0,0.5298,1,0.4702,821,0.0087,1500
FolioSuite/ASP-Comp-2009-Lparse/CompBlockedNQueens/156.48.1960.36.1721326070.dat.gz,1,0,0.5296,1,0.4704,725,0.0074,1486
FolioSuite/ASP-Comp-2009-Lparse/CompBlockedNQueens/156.48.1960.36.1721297189.dat.gz,1,0,0.5298,1,0.4702,867,0.0063,1810
FolioSuite/ASP-Comp-2009-Lparse/CompBlockedNQueens/156.48.1960.36.1721325287.dat.gz,1,0,0.5298,1,0.4702,987,0.0083,1955
FolioSuite/ASP-Comp-2009-Lparse/CompBlockedNQueens/156.48.1960.36.1721330060.dat.gz,1,0,0.5297,1,0.4703,768,0.0076,1679
FolioSuite/ASP-Comp-2009-Lparse/CompChannelRouting/channelRoute.in4.gz,1,0,0.5257,1,0.4743,302,0.9552,723
FolioSuite/ASP-Comp-2009-Lparse/CompChannelRouting/channelRoute.in2.gz,1,0,0.612,1,0.388,14,0.6619,?
FolioSuite/ASP-Comp-2009-Lparse/CompChannelRouting/channelRoute.in8.gz,1,0,0.5257,1,0.4743,1571,0.9016,3572
FolioSuite/ASP-Comp-2009-Lparse/CompChannelRouting/channelRoute.in5.gz,1,0,0.5257,1,0.4743,1196,0.9184,2581
FolioSuite/ASP-Comp-2009-Lparse/CompChannelRouting/channelRoute.in10.gz,1,0,0.5257,1,0.4743,?,0.906,?
FolioSuite/ASP-Comp-2009-Lparse/CompConnectedDominatingSet/rand_50_250_1235345753_0_k=6_unsat.gph.gz,1,0.0008,0.5783,0,0.4209,682,0.314,985
FolioSuite/ASP-Comp-2009-Lparse/CompConnectedDominatingSet/rand_70_250_1235844252_0_k=13_sat.gph.gz,1,0.0007,0.5997,0,0.3996,471,0.3078,1112
FolioSuite/ASP-Comp-2009-Lparse/CompConnectedDominatingSet/rand_50_250_1235842610_0_k=7_sat.gph.gz,1,0.0008,0.5795,0,0.4197,1324,0.3114,2875
FolioSuite/ASP-Comp-2009-Lparse/CompConnectedDominatingSet/rand_50_250_1235842610_0_k=6_unsat.gph.gz,1,0.0008,0.5795,0,0.4197,1070,0.3114,1747
FolioSuite/ASP-Comp-2009-Lparse/CompConnectedDominatingSet/rand_40_200_1235844018_0_k=5_sat.gph.gz,1,0.001,0.5786,0,0.4204,1158,0.3139,2014
FolioSuite/ASP-Comp-2009-Lparse/CompConnectedDominatingSet/rand_60_400_1235843083_0_k=7_sat.gph.gz,1,0.0005,0.5622,0,0.4373,881,0.3183,1443
FolioSuite/ASP-Comp-2009-Lparse/CompConnectedDominatingSet/rand_55_250_1235855873_0_k=8_sat.gph.gz,1,0.0007,0.584,0,0.4152,601,0.3124,1090
FolioSuite/ASP-Comp-2009-Lparse/CompConnectedDominatingSet/rand_65_500_1235857888_0_k=5_unsat.gph.gz,1,0.0004,0.5552,0,0.4444,1136,0.3201,1662
FolioSuite/ASP-Comp-2009-Lparse/CompConnectedDominatingSet/rand_150_500_1235354638_0_k=15_unsat.gph.gz,1,0.0003,0.604,0,0.3957,214,0.3065,913
FolioSuite/ASP-Comp-2009-Lparse/CompEdgeMatching/edge-matching-width=10-height=10-colours=11.gz,1,0,0.8096,1,0.1904,?,0.9855,?
FolioSuite/ASP-Comp-2009-Lparse/CompEdgeMatching/edge-matching-width=8-height=8-colours=15.gz,1,0,0.8034,1,0.1966,?,0.982,?
FolioSuite/ASP-Comp-2009-Lparse/CompEdgeMatching/edge-matching-width=9-height=9-colours=12.gz,1,0,0.8072,1,0.1928,?,0.9832,?
FolioSuite/ASP-Comp-2009-Lparse/CompEdgeMatching/edge-matching-width=7-height=7-colours=13.gz,1,0,0.7999,1,0.2001,?,0.976,?
FolioSuite/ASP-Comp-2009-Lparse/CompEdgeMatching/edge-matching-width=7-height=7-colours=15.gz,1,0,0.7991,1,0.2009,?,0.9782,?
FolioSuite/ASP-Comp-2009-Lparse/CompEdgeMatching/edge-matching-width=9-height=9-colours=8.gz,1,0,0.8083,1,0.1917,?,0.9811,?
FolioSuite/ASP-Comp-2009-Lparse/CompEdgeMatching/edge-matching-width=9-height=9-colours=10.gz,1,0,0.8078,1,0.1922,?,0.9821,?
FolioSuite/ASP-Comp-2009-Lparse/CompEdgeMatching/edge-matching-width=8-height=8-colours=14.gz,1,0,0.8037,1,0.1963,?,0.9812,?
FolioSuite/ASP-Comp-2009-Lparse/CompEdgeMatching/edge-matching-width=10-height=10-colours=9.gz,1,0,0.81,1,0.19,?,0.9848,?
FolioSuite/ASP-Comp-2009-Lparse/CompEdgeMatching/edge-matching-width=9-height=9-colours=15.gz,1,0,0.8065,1,0.1935,?,0.9848,?
FolioSuite/ASP-Comp-2009-Lparse/CompEdgeMatching/edge-matching-width=7-height=7-colours=14.gz,1,0,0.7995,1,0.2005,?,0.9771,?
FolioSuite/ASP-Comp-2009-Lparse/CompEdgeMatching/edge-matching-width=8-height=8-colours=12.gz,1,0,0.8043,1,0.1957,?,0.9796,?
FolioSuite/ASP-Comp-2009-Lparse/CompEdgeMatching/edge-matching-width=8-height=8-colours=13.gz,1,0,0.804,1,0.196,?,0.9804,?
FolioSuite/ASP-Comp-2009-Lparse/CompEdgeMatching/edge-matching-width=10-height=10-colours=13.gz,1,0,0.8092,1,0.1908,?,0.9863,?
FolioSuite/ASP-Comp-2009-Lparse/CompEdgeMatching/edge-matching-width=7-height=7-colours=12.gz,1,0,0.8237,1,0.1763,?,0.9748,?
FolioSuite/ASP-Comp-2009-Lparse/CompFastfood/a7.3.4.tweaked.5.asp.gz,1,0.0046,0.8685,1,0.1269,32,0.0199,64
FolioSuite/ASP-Comp-2009-Lparse/CompFastfood/a2.9.32.asp.gz,1,0.0065,0.8414,1,0.1521,32,0.0324,64
FolioSuite/ASP-Comp-2009-Lparse/CompFastfood/a3.3.0.asp.gz,1,0.005,0.8693,1,0.1258,32,0.0218,111
FolioSuite/ASP-Comp-2009-Lparse/CompFastfood/a9.8.71.asp.gz,1,0.0068,0.8328,1,0.1603,32,0.0386,64
FolioSuite/ASP-Comp-2009-Lparse/CompFastfood/a8.7.3.asp.gz,1,0.0131,0.8216,1,0.1653,32,0.0411,64
FolioSuite/ASP-Comp-2009-Lparse/CompFastfood/a7.3.5.tweaked.5.asp.gz,1,0.0046,0.8685,1,0.1269,32,0.0199,64
FolioSuite/ASP-Comp-2009-Lparse/CompFastfood/a3.3.2.asp.gz,1,0.005,0.8693,1,0.1258,32,0.0218,111
FolioSuite/ASP-Comp-2009-Lparse/CompFastfood/a7.3.0.tweaked.3.asp.gz,1,0.0046,0.8685,1,0.1269,32,0.0199,64
FolioSuite/ASP-Comp-2009-Lparse/CompFastfood/a7.3.4.tweaked.4.asp.gz,1,0.0046,0.8685,1,0.1269,32,0.0199,64
FolioSuite/ASP-Comp-2009-Lparse/CompGeneralizedSlitherlink/trisquares.59.asp.gz,1,0.0069,0.6892,0,0.3039,90,0.5051,202
FolioSuite/ASP-Comp-2009-Lparse/CompGeneralizedSlitherlink/altair1.42.asp.gz,1,0.0001,0.7312,0,0.2686,71,0.5163,209
FolioSuite/ASP-Comp-2009-Lparse/CompGeneralizedSlitherlink/penrose.50.asp.gz,1,0.0029,0.7096,0,0.2875,89,0.5069,200
FolioSuite/ASP-Comp-2009-Lparse/CompGeneralizedSlitherlink/penrose.31.asp.gz,1,0.0023,0.7037,0,0.294,32,0.5128,202
FolioSuite/ASP-Comp-2009-Lparse/CompGeneralizedSlitherlink/penrose.11.asp.gz,1,0.0016,0.7043,0,0.294,46,0.5138,173
FolioSuite/ASP-Comp-2009-Lparse/CompGeneralizedSlitherlink/penrose.35.asp.gz,1,0.0023,0.7085,0,0.2892,82,0.5092,186
FolioSuite/ASP-Comp-2009-Lparse/CompGeneralizedSlitherlink/trisquares.11.asp.gz,1,0.0049,0.6948,0,0.3003,44,0.5053,183
FolioSuite/ASP-Comp-2009-Lparse/CompGeneralizedSlitherlink/penrosesmall.5.asp.gz,1,0.0025,0.7113,0,0.2862,?,0.5316,?
FolioSuite/ASP-Comp-2009-Lparse/CompGeneralizedSlitherlink/trisquares.41.asp.gz,1,0.0062,0.6909,0,0.3029,32,0.5054,121
FolioSuite/ASP-Comp-2009-Lparse/CompGeneralizedSlitherlink/altair1.54.asp.gz,1,0.0001,0.731,0,0.2689,72,0.5165,186
FolioSuite/ASP-Comp-2009-Lparse/CompGeneralizedSlitherlink/altair1.9.asp.gz,1,0.0003,0.7304,0,0.2693,60,0.5167,143
FolioSuite/ASP-Comp-2009-Lparse/CompGeneralizedSlitherlink/trisquares.47.asp.gz,1,0.0069,0.6894,0,0.3036,32,0.5049,113
FolioSuite/ASP-Comp-2009-Lparse/CompGeneralizedSlitherlink/trisquares.49.asp.gz,1,0.0065,0.6913,0,0.3022,37,0.5044,443
FolioSuite/ASP-Comp-2009-Lparse/CompGraphColouring/graph-colouring-nodes=140-density=0.1-instance=8.gz,1,0,0.5811,1,0.4189,1252,0.6384,2363
FolioSuite/ASP-Comp-2009-Lparse/CompGraphColouring/graph-colouring-nodes=145-density=0.1-instance=5.gz,1,0,0.5783,1,0.4217,1235,0.6413,2196
FolioSuite/ASP-Comp-2009-Lparse/CompGraphColouring/graph-colouring-nodes=145-density=0.1-instance=7.gz,1,0,0.5816,1,0.4184,974,0.6378,1854
FolioSuite/ASP-Comp-2009-Lparse/CompGraphColouring/graph-colouring-nodes=140-density=0.1-instance=9.gz,1,0,0.5798,1,0.4202,1180,0.6397,2059
FolioSuite/ASP-Comp-2009-Lparse/CompGraphColouring/graph-colouring-nodes=125-density=0.1-instance=3.gz,1,0,0.591,1,0.409,1145,0.6275,2081
FolioSuite/ASP-Comp-2009-Lparse/CompGraphColouring/graph-colouring-nodes=150-density=0.1-instance=5.gz,1,0,0.5834,1,0.4166,1165,0.636,2238
FolioSuite/ASP-Comp-2009-Lparse/CompGraphColouring/graph-colouring-nodes=150-density=0.1-instance=3.gz,1,0,0.5792,1,0.4208,1218,0.6404,2101
FolioSuite/ASP-Comp-2009-Lparse/CompGraphColouring/graph-colouring-nodes=145-density=0.1-instance=8.gz,1,0,0.5786,1,0.4214,1184,0.641,2139
FolioSuite/ASP-Comp-2009-Lparse/CompGraphColouring/graph-colouring-nodes=145-density=0.1-instance=2.gz,1,0,0.5802,1,0.4198,891,0.6394,1842
FolioSuite/ASP-Comp-2009-Lparse/CompGraphColouring/graph-colouring-nodes=140-density=0.1-instance=7.gz,1,0,0.5848,1,0.4152,1336,0.6344,2347
FolioSuite/ASP-Comp-2009-Lparse/CompGraphColouring/graph-colouring-nodes=130-density=0.1-instance=7.gz,1,0,0.5879,1,0.4121,1091,0.631,2193
FolioSuite/ASP-Comp-2009-Lparse/CompGraphColouring/graph-colouring-nodes=145-density=0.1-instance=10.gz,1,0,0.5815,1,0.4185,1184,0.638,1913
FolioSuite/ASP-Comp-2009-Lparse/CompGraphColouring/graph-colouring-nodes=125-density=0.1-instance=2.gz,1,0,0.5953,1,0.4047,1258,0.6228,2446
FolioSuite/ASP-Comp-2009-Lparse/CompGraphColouring/graph-colouring-nodes=130-density=0.1-instance=2.gz,1,0,0.5928,1,0.4072,1320,0.6256,2161
FolioSuite/ASP-Comp-2009-Lparse/CompGraphColouring/graph-colouring-nodes=140-density=0.1-instance=2.gz,1,0,0.5814,1,0.4186,898,0.638,1793
