@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE d_ratio_array_cons NUMERIC
@ATTRIBUTE d_ratio_int_vars NUMERIC
@ATTRIBUTE d_ratio_bool_vars NUMERIC
@ATTRIBUTE c_max_domdeg_cons NUMERIC
@ATTRIBUTE c_ent_domdeg_cons NUMERIC
@ATTRIBUTE c_ent_dom_cons NUMERIC
@ATTRIBUTE gr_ent_deg_vg NUMERIC
@ATTRIBUTE c_avg_domdeg_cons NUMERIC
@ATTRIBUTE gr_ent_deg_cg NUMERIC
@ATTRIBUTE dy_props NUMERIC
@ATTRIBUTE gr_ent_diam_vg NUMERIC
@ATTRIBUTE v_ent_domdeg_vars NUMERIC
@ATTRIBUTE gr_ent_clust_cg NUMERIC
@ATTRIBUTE gr_max_clust_cg NUMERIC
@ATTRIBUTE v_cv_deg_vars NUMERIC
@ATTRIBUTE v_avg_domdeg_vars NUMERIC
@ATTRIBUTE d_array_cons NUMERIC
@ATTRIBUTE o_de_di NUMERIC
@ATTRIBUTE v_ent_dom_vars NUMERIC
@ATTRIBUTE dy_tot_time NUMERIC
@ATTRIBUTE gr_cv_deg_vg NUMERIC
@ATTRIBUTE v_avg_dom_vars NUMERIC
@ATTRIBUTE v_logprod_deg_vars NUMERIC
@ATTRIBUTE v_max_dom_vars NUMERIC
@ATTRIBUTE gr_avg_clust_cg NUMERIC
@ATTRIBUTE gr_cv_diam_vg NUMERIC
@ATTRIBUTE c_cv_domdeg_cons NUMERIC
@ATTRIBUTE v_cv_dom_vars NUMERIC
@ATTRIBUTE v_cv_domdeg_vars NUMERIC
@ATTRIBUTE v_max_domdeg_vars NUMERIC
@ATTRIBUTE dy_fzn_time NUMERIC

@DATA
normalized-1-insertions-6-4.xml.mzn_AND_NODATA,1,1,0,1,0,2,0,0,3.833265,2,5.277076,9460481,3.127213,0.318088,0.819367,0,0.701374,0.248408,0,1,0,5.84,0.701374,4,2537.644916,4,0.582444,0.455654,0,0,0.488583,0.666667,0.69
normalized-2-fullins-5-4.xml.mzn_AND_NODATA,1,1,0,1,0,2,0,0,5.055056,2,-1,2699651,3.246226,0.04307,-1,-1,0.713313,0.181949,0,1,0,7.85,0.713313,4,3942.949153,4,-1,0.305677,0,0,0.473842,0.5,1.58
normalized-3-fullins-4-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928,0,0,3.790965,2.321928,5.381285,-1,3.532405,0.741247,0.953276,0,0.623264,0.362095,0,1,0,2.86,0.623264,5,1593.790885,5,0.559371,0.790129,0,0,0.427097,0.833333,0.34
normalized-1-insertions-6-6.xml.mzn_AND_NODATA,1,1,0,1,0,2.584963,0,0,3.833265,2.584963,5.277076,2191853,3.127213,0.801339,0.819367,0,0.701374,0.372612,0,1,0,5.82,0.701374,6,2537.644916,6,0.582444,0.455654,-1,0,0.488583,1,0.68
normalized-4-insertions-4-4.xml.mzn_AND_NODATA,1,1,0,1,0,2,0,0,1.408585,2,1.985377,1368577,5.497163,0.110769,0.579404,0,0.531234,0.572503,0,1,0,2.43,0.531234,4,1353.561223,4,0.506515,0.404824,0,0,0.243825,1,0.19
normalized-5-fullins-3-6.xml.mzn_AND_NODATA,1,1,0,1,0,2.584963,0,0,2.448476,2.584963,3.458095,2319016,3.608672,1.061591,0.999222,0,0.57589,0.756897,0,1,0,2.15,0.57589,6,486.142172,6,0.537262,0.709731,0,0,0.435673,1.5,0.07
normalized-5-fullins-3-7.xml.mzn_AND_NODATA,1,1,0,1,0,2.807355,0,0,2.448476,2.807355,3.458095,2028544,3.608672,1.061591,0.999222,0,0.57589,0.883046,0,1,0,2.15,0.57589,7,486.142172,7,0.537262,0.709731,0,0,0.435673,1.75,0.07
normalized-1-insertions-5-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928,0,0,2.997733,2.321928,4.102625,3985492,4.181638,0.998231,0.982449,0,0.548023,0.491187,0,1,0,2.24,0.548023,5,699.618418,5,0.556014,0.573638,-1,0,0.392361,1,0.1
normalized-46s-smv.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,1.350737,3.302871,0.985662,4.955747,2385722,3.719351,2.301525,0.714087,1,2.159785,0.378053,0,1,0.71894,4.76,2.315368,1.801489,3315.849389,2,0.62417,0.858983,0.067324,0.221416,0.671302,1,1.08
normalized-3-insertions-4-3.xml.mzn_AND_NODATA,1,1,0,1,0,1.584963,0,0,1.588719,1.584963,2.227353,6924574,4.728864,0.936117,0.655908,0,0.491696,0.439498,0,1,0,2.22,0.491696,3,793.13323,3,0.510277,0.296572,0,0,0.258952,0.75,0.11
normalized-2-fullins-3-4.xml.mzn_AND_NODATA,1,1,0,1,0,2,0,0,2.609496,2,3.659697,9290719,2.666813,0.890492,0.999554,0,0.390634,0.590743,0,1,0,2.09,0.390634,4,148.237462,4,0.509205,0.337233,0,0,0.342333,1,0.03
normalized-aim-100-1-6-4.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.961237,1.803639,1,2.697578,4920505,5.333997,0.346981,0.845845,0,0.178905,0.604333,0,1,0,2.1,0.214677,2,348.985078,2,0.400692,0.264871,0,0,0.150177,0.666667,0.05
normalized-aim-100-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.991076,1.995767,1,2.661092,6930406,3.606939,0.286397,0.687315,0,0.284318,0.736667,160,1,0,2.1,0.452248,2,448.798859,2,0.338457,0.6535,0,0,0.272585,1,0.05
normalized-4-fullins-4-6.xml.mzn_AND_NODATA,1,1,0,1,0,2.584963,0,0,3.730763,2.584963,5.296715,489708,3.840313,0.864757,0.976223,0,0.700023,0.406858,0,1,0,5.6,0.700023,6,2794.838676,6,0.566504,0.494538,-1,0,0.449044,1,0.77
normalized-2-fullins-5-6.xml.mzn_AND_NODATA,1,1,0,1,0,2.584963,0,0,5.055056,2.584963,-1,1230504,3.246226,0.376177,-1,-1,0.713313,0.272923,0,1,0,7.89,0.713313,6,3942.949153,6,-1,0.305677,0,0,0.473842,0.75,1.62
normalized-3-insertions-5-4.xml.mzn_AND_NODATA,1,1,0,1,0,2,0,0,2.317467,2,-1,1193013,5.608482,0.474383,-1,-1,0.735868,0.335645,0,1,0,7.82,0.735868,4,5153.0049,4,-1,0.376342,0,0,0.359898,0.8,1.41
normalized-3-insertions-5-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928,0,0,2.317467,2.321928,-1,1526813,5.608482,0.935897,-1,-1,0.735868,0.419556,0,1,0,7.81,0.735868,5,5153.0049,5,-1,0.376342,0.000001,0,0.359898,1,1.4
normalized-aim-100-2-0-4.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.918296,0.932533,1,1.579863,6241422,5.161123,0,0.56651,0,0,0.5,0,1,0,2.1,0.072384,2,400,2,0.370805,0.274565,0,0,0,0.5,0.05
normalized-aim-100-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.990159,2.092088,1,2.60937,-1,3.096106,0.242292,0.681291,0,0.286588,0.737286,160,1,0,0.14,0.44655,2,448.318502,2,0.340268,0.643589,0,0,0.27143,1,0.05
normalized-aim-100-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,0.5,0.5,0.333333,0.666667,1,0,0.999982,1.521737,1,1.475288,7765838,2.653228,0,0.999982,0,0.282947,0.667222,200,1,0,2.11,0.438588,2,499.584963,2,0.387786,0.575666,0,0,0.352964,1,0.05
normalized-aim-100-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,0.502513,0.497487,0.333333,0.666667,1,0,0.999927,1.638127,1,1.656276,7649653,2.712271,0,0.999344,0,0.2835,0.670556,198,1,0,2.11,0.440577,2,497.094738,2,0.385696,0.540878,0,0,0.349398,1,0.05
normalized-4-insertions-4-3.xml.mzn_AND_NODATA,1,1,0,1,0,1.584963,0,0,1.408585,1.584963,1.985377,4846153,5.497163,0.882574,0.579404,0,0.531234,0.429377,0,1,0,2.43,0.531234,3,1353.561223,3,0.506515,0.404824,-1,0,0.243825,0.75,0.19
normalized-aim-100-2-0-3.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.921593,0.905162,1,1.542002,5057295,5.084632,0,0.557438,0,0.017655,0.500833,0,1,0,2.11,0.073119,2,399.584963,2,0.372255,0.227717,0,0,0.023472,0.666667,0.05
normalized-aim-100-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.989197,1.994514,1,2.587193,6305414,3.544501,0.242292,0.681291,0,0.282028,0.737444,160,1,0,2.09,0.451034,2,448.096109,2,0.335173,0.54416,0,0,0.270911,1,0.04
normalized-25s-smv.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,1.29745,2.977039,0.982142,-1,2151165,3.907571,2.518517,-1,-1,2.373003,0.396665,0,-1,0.745936,14.46,2.834897,1.787658,10157.090084,2,-1,0.818126,0.075937,0.228772,0.643642,1,7.84
normalized-44s-smv.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,1.455197,3.425601,0.971442,4.223542,6012243,3.514837,2.104389,0.63325,1,1.836038,0.405183,0,1,0.792342,2.35,1.746067,1.761616,954.530936,2,0.649753,0.950782,0.093598,0.241877,0.673452,1,0.19
normalized-aim-100-3-4-2.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.785075,2.039848,1,2.485011,7017013,4.831594,0,0.314683,0,0.056398,0.329631,0,1,0,2.12,0.103291,2,520.621498,2,0.366752,0.252562,0,0,0.051819,0.4,0.06
normalized-aim-100-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.991076,2.120722,1,2.64541,6375579,3.109397,0.257372,0.693265,0,0.28158,0.736222,160,1,0,2.09,0.446466,2,448.985078,2,0.340569,0.586657,0,0,0.272608,1,0.04
normalized-aim-100-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.989197,2.113667,1,2.677766,7761977,3.784292,0.300391,0.669016,0,0.291527,0.739222,160,1,0,2.09,0.450441,2,447.401743,2,0.341932,0.602327,0,0,0.2718,1,0.04
normalized-aim-100-2-0-1.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.921593,0.97968,1,1.631423,6422658,5.093431,0,0.557438,0,0.017655,0.500833,0,1,0,2.1,0.078978,2,399.584963,2,0.372358,0.231476,0,0,0.023472,0.666667,0.04
normalized-aim-200-1-6-2.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.962529,1.65962,1,2.749786,3621241,6.048745,0.346981,0.869218,0,0.183692,0.60525,0,1,0,2.19,0.21386,2,697.251112,2,0.391212,0.283018,0,0,0.150903,0.666667,0.1
normalized-aim-200-1-6-3.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.962529,1.754486,1,2.656297,1385719,5.961278,0.296923,0.876538,0,0.182509,0.604917,0,1,0,2.2,0.211173,2,697.412653,2,0.397178,0.324194,0,0,0.149399,0.666667,0.11
normalized-4-fullins-3-6.xml.mzn_AND_NODATA,1,1,0,1,0,2.584963,0,0,2.572158,2.584963,3.640354,3065542,4.480348,1.099409,0.999445,0,0.522207,0.786161,0,1,0,2.1,0.522207,6,350.708953,6,0.530117,0.699913,0,0,0.410402,1.5,0.04
normalized-aim-200-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,0.556328,0.443672,0.333333,0.666667,1,0,0.990366,2.101026,1,2.576131,3421639,3.363379,0.218878,0.687864,0,0.283405,0.737722,319,1,0,2.19,0.443728,2,895.997615,2,0.340453,0.675078,0,0,0.271334,1,0.09
normalized-3-insertions-5-3.xml.mzn_AND_NODATA,1,1,0,1,0,1.584963,0,0,2.317467,1.584963,-1,4845118,5.608482,0.238234,-1,-1,0.735868,0.251734,0,1,0,7.84,0.735868,3,5153.0049,3,-1,0.376342,-1,0,0.359898,0.6,1.42
normalized-2-insertions-5-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928,0,0,2.650763,2.321928,3.546667,1828490,3.802394,0.982424,0.998867,0,0.644545,0.446332,0,1,0,3.36,0.644545,5,2142.505766,5,0.552028,0.311121,0,0,0.378003,1,0.42
normalized-aim-200-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.990159,2.017101,1,2.65735,4255654,3.907037,0.264765,0.687315,0,0.28318,0.737056,320,1,0,2.19,0.44627,2,896.894968,2,0.336462,0.682877,0,0,0.271749,1,0.08
normalized-4-fullins-4-7.xml.mzn_AND_NODATA,1,1,0,1,0,2.807355,0,0,3.730763,2.807355,5.296715,612809,3.840313,0.972621,0.976223,0,0.700023,0.474668,0,1,0,5.56,0.700023,7,2794.838676,7,0.566504,0.494538,0,0,0.449044,1.166667,0.79
normalized-aim-100-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,0.501253,0.498747,0.333333,0.666667,1,0,0.999995,1.470759,1,1.478513,9182115,3.500223,0,0.999887,0,0.283145,0.668333,199,1,0,2.1,0.441561,2,498.754888,2,0.384951,0.588707,0,0,0.35178,1,0.05
normalized-aim-200-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.991076,1.956294,1,2.673259,2435667,3.9007,0.242292,0.684312,0,0.287704,0.736865,320,1,0,2.2,0.456341,2,897.355717,2,0.335771,0.63439,0,0,0.272202,1,0.08
normalized-aim-200-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.990623,2.077507,1,2.625435,2018970,3.142562,0.272065,0.684312,0,0.282724,0.736722,320,1,0,2.19,0.446579,2,897.368899,2,0.337763,0.609115,0,0,0.272206,1,0.08
normalized-aim-200-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,0.55788,0.44212,0.333333,0.666667,1,0,0.989838,2.075345,1,2.713905,2970264,4.168898,0.226794,0.685961,0,0.286798,0.740921,317,1,0,2.21,0.456617,2,892.524014,2,0.332576,0.605888,0,0,0.271612,1,0.09
normalized-aim-200-2-0-sat-2_ext.xml.mzn_AND_NODATA,1,0.500626,0.499374,0.333333,0.666667,1,0,0.99999,1.533759,1,1.489336,6453513,2.940062,0,0.999945,0,0.283048,0.667778,399,1,0,2.21,0.439301,2,998.33985,2,0.386196,0.655278,0,0,0.352372,1,0.1
normalized-aim-200-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.989197,2.09155,1,2.594054,3825969,3.268288,0.279274,0.669016,0,0.28409,0.737833,320,1,0,2.19,0.443823,2,895.878674,2,0.33935,0.650966,0,0,0.270951,1,0.08
normalized-aim-200-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,0.500626,0.499374,0.333333,0.666667,1,0,0.99999,1.50643,1,1.473556,6597490,3.578389,0,0.999945,0,0.283048,0.667778,399,1,0,2.2,0.440178,2,998.33985,2,0.38486,0.599358,0,0,0.352372,1,0.1
normalized-aim-200-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,0.500626,0.499374,0.333333,0.666667,1,0,0.999972,1.442657,1,1.43333,4188662,3.634239,0,0.999908,0,0.283097,0.668056,399,1,0,2.22,0.44167,2,997.924813,2,0.382541,0.645826,0,0,0.352076,1,0.1
normalized-4-insertions-3-3.xml.mzn_AND_NODATA,1,1,0,1,0,1.584963,0,0,0.739735,1.584963,1.040852,8351990,3.830085,0.097941,0.413817,0,0.275902,0.784567,0,1,0,2.04,0.275902,3,154.304952,3,0.428022,0.152136,-1,0,0.142518,1,0.01
normalized-5-fullins-4-8.xml.mzn_AND_NODATA,1,1,0,1,0,3,0,0,3.541915,3,-1,555066,3.512272,0.943749,-1,-1,0.767947,0.516058,0,1,0,7.87,0.767947,8,4494.946931,8,-1,1.005255,0,0,0.467907,1.333333,1.54
normalized-aim-100-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,0.502513,0.497487,0.333333,0.666667,1,0,0.999836,1.57248,1,1.623311,7035739,3.126317,0,0.999107,0,0.28358,0.671111,198,1,0,2.11,0.442811,2,496.6797,2,0.382504,0.518744,0,0,0.3488,1,0.05
normalized-aim-100-1-6-2.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.9638,1.739078,1,2.582748,4802389,5.324877,0.307268,0.894941,0,0.174003,0.6045,0,1,0,2.1,0.196934,2,348.756259,2,0.40384,0.298305,0,0,0.14762,0.666667,0.04
normalized-aim-100-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.991076,2.090999,1,2.588039,6101168,3.097818,0.226794,0.693265,0,0.284318,0.736444,160,1,0,2.1,0.44399,2,448.86729,2,0.341524,0.578328,0,0,0.272346,1,0.04
normalized-2-fullins-5-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928,0,0,5.055056,2.321928,-1,3419062,3.246226,0.185125,-1,-1,0.713313,0.227436,0,1,0,7.88,0.713313,5,3942.949153,5,-1,0.305677,0.000001,0,0.473842,0.625,1.61
normalized-aim-200-3-4-sat-3_ext.xml.mzn_AND_NODATA,1,0.370714,0.629286,0.333333,0.666667,1,0,0.952623,2.156002,1,2.288831,5964331,2.261925,0.918296,0.951218,0,0.411442,0.552905,679,1,0,2.28,0.530603,2,1241.606167,2,0.445639,0.448773,0,0,0.572264,1,0.15
normalized-aim-50-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.568182,0.431818,0.333333,0.666667,1,0,0.9842,2.364002,1,2.7651,9170036,3.582909,0.272065,0.63213,0,0.302833,0.761111,76,1,0,2.05,0.457044,2,217.387091,2,0.334664,0.674622,0,0,0.267377,1,0.02
normalized-aim-100-3-4-3.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.773227,2.062447,1,2.502383,7891872,4.720999,0,0.367618,0,0.051841,0.328631,0,1,0,2.14,0.104378,2,521.410601,2,0.367683,0.228418,0,0,0.044793,0.333333,0.06
normalized-aim-200-2-0-1.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.919953,0.949456,1,1.585819,-1,5.95698,0,0.519703,0,0.012492,0.500417,0,1,0,0.22,0.073821,2,799.584963,2,0.366506,0.255856,0,0,0.016632,0.666667,0.12
normalized-43s-smv.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,1.264645,3.309212,0.987359,-1,1762333,4.080703,1.749091,-1,-1,2.247258,0.386944,0,1,0.589446,11.88,2.750762,1.858003,8156.607898,2,-1,0.817046,0.063734,0.187862,0.602314,1,3.93
normalized-aim-200-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.990623,2.052007,1,2.635496,5917844,4.041541,0.264765,0.678251,0,0.286133,0.737111,320,1,0,2.19,0.449872,2,897.005999,2,0.336321,0.629814,0,0,0.271996,1,0.09
normalized-aim-100-1-6-3.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.961237,1.759055,1,2.690314,5860924,5.246506,0.307268,0.871684,0,0.183676,0.604667,0,1,0,2.1,0.210754,2,348.86729,2,0.396663,0.289674,0,0,0.150168,0.666667,0.05
normalized-aim-100-1-6-1.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.9638,1.760689,1,2.687123,5280863,5.65613,0.327445,0.876538,0,0.188369,0.605929,0,1,0,2.08,0.218285,2,348.318502,2,0.398314,0.463774,0,0,0.150434,0.666667,0.04
normalized-aim-200-1-6-sat-2_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.990623,2.024709,1,2.648181,-1,3.272931,0.257372,0.684312,0,0.284093,0.736833,320,1,0,0.21,0.448052,2,897.251112,2,0.336466,0.67624,0,0,0.272074,1,0.1
normalized-aim-200-6-0-sat-4_ext.xml.mzn_AND_NODATA,1,0.252845,0.747155,0.333333,0.666667,1,0,0.822598,2.381853,1,2.282858,9271430,2.102991,0.918296,0.815756,0,0.513342,0.468954,1182,1,0,2.53,0.600175,2,1519.445284,2,0.442571,0.372288,0,0,0.800874,1,0.27
normalized-3-fullins-5-7.xml.mzn_AND_NODATA,1,1,0,1,0,2.807355,0,0,4.858298,2.807355,-1,303406,3.257389,0.406676,-1,-1,0.844944,0.282717,0,1,0,13.58,0.844944,7,9772.681063,7,-1,0.748524,0.000001,0,0.493241,0.875,6.47
normalized-aim-200-2-0-2.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.919953,0.882662,1,1.526476,3435486,5.83247,0,0.538867,0,0.012492,0.500417,0,1,0,2.22,0.070026,2,799.584963,2,0.365095,0.243676,0,0,0.016632,0.666667,0.11
normalized-3-fullins-4-6.xml.mzn_AND_NODATA,1,1,0,1,0,2.584963,0,0,3.790965,2.584963,5.381285,972931,3.532405,0.918296,0.953276,0,0.623264,0.434514,0,1,0,3.17,0.623264,6,1593.790885,6,0.559371,0.790129,-1,0,0.427097,1,0.34
normalized-aim-50-2-0-3.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.918296,0.881291,1,1.505823,8876302,4.358704,0,0.56651,0,0,0.5,0,1,0,2.07,0.068397,2,200,2,0.378386,0.264028,0,0,0,0.5,0.04
normalized-aim-200-2-0-4.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.921593,0.922841,1,1.57099,4165923,5.790181,0,0.489779,0,0.017655,0.500833,0,1,0,2.24,0.074278,2,799.169925,2,0.364162,0.230041,0,0,0.023472,0.666667,0.12
normalized-aim-100-2-0-sat-4_ext.xml.mzn_AND_NODATA,1,0.501253,0.498747,0.333333,0.666667,1,0,0.999995,1.580294,1,1.555603,7162421,2.808773,0,0.999887,0,0.283145,0.668333,199,1,0,2.11,0.439234,2,498.754888,2,0.388292,0.570542,0,0,0.35178,1,0.05
normalized-aim-200-3-4-sat-1_ext.xml.mzn_AND_NODATA,1,0.370714,0.629286,0.333333,0.666667,1,0,0.952623,2.2784,1,2.409164,6933082,2.404782,0.918296,0.951923,0,0.411986,0.552976,679,1,0,2.31,0.532792,2,1241.50603,2,0.447392,0.484364,0,0,0.572155,1,0.15
normalized-aim-100-2-0-2.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.924819,0.837356,1,1.510346,7313012,5.338131,0,0.499916,0,0.024937,0.501667,0,1,0,2.1,0.073703,2,399.169925,2,0.368463,0.328495,0,0,0.033056,0.666667,0.06
