@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 5'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE NEG_HORN_CLAUSE NUMERIC
@ATTRIBUTE TERMORE_CLAUSE NUMERIC
@ATTRIBUTE OCCFP_OCCFN NUMERIC
@ATTRIBUTE LITFP_LITFN NUMERIC
@ATTRIBUTE OCCFP_OCCF NUMERIC

@DATA
aim-200-3_4-yes1-1-90-shuffled,1,0.505586,0.244324,0.982642,0.982642,0.495623
aim-200-3_4-yes1-4-90-shuffled,1,0.50018,0.243253,0.982676,0.982676,0.495631
aim-50-1_6-yes1-1-00-shuffled,1,0.549145,0.173077,0.736527,0.736527,0.424138
aim-50-1_6-yes1-1-90-shuffled,1,0.501502,0.243243,1.008197,1.008197,0.502041
aim-50-1_6-yes1-2-00-shuffled,1,0.537473,0.171306,0.657143,0.657143,0.396552
aim-50-1_6-yes1-2-50-shuffled,1,0.515075,0.201005,0.756579,0.756579,0.430712
aim-50-1_6-yes1-3-00-shuffled,1,0.555794,0.169528,0.674419,0.674419,0.402778
aim-50-1_6-yes1-4-50-shuffled,1,0.525773,0.203608,0.884892,0.884892,0.469466
aim-50-1_6-yes1-4-90-shuffled,1,0.501511,0.238671,1.025,1.025,0.506173
aim-50-2_0-yes1-1-90-shuffled,1,0.510843,0.240964,0.974194,0.974194,0.493464
aim-50-2_0-yes1-2-50-shuffled,1,0.541841,0.209205,0.862857,0.862857,0.46319
aim-50-2_0-yes1-3-90-shuffled,1,0.504808,0.242788,0.974194,0.974194,0.493464
aim-50-3_4-yes1-2-90-shuffled,1,0.505051,0.246753,0.97318,0.97318,0.493204
aim-50-3_4-yes1-3-90-shuffled,1,0.50431,0.24569,0.961977,0.961977,0.49031
aim-50-6_0-yes1-3-50-shuffled,1,0.513622,0.236378,0.961373,0.961373,0.490153
aim-50-6_0-yes1-4-90-shuffled,1,0.500413,0.246903,0.991189,0.991189,0.497788
biu.mv.xl_ao.bb-b001-p005-OPF05-c02.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-004-shuffled,1,0.520317,0.333284,1,1,0.5
biu.mv.xl_ao.bb-b001-p010-MIF04-c05.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,0.508913,0.333315,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,0.581874,0.304421,0,0,0
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-007-shuffled,1,0.515498,0.326662,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.564706,0.309191,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,0.5274,0.321902,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.527745,0.321574,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.50619,0.329473,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.509098,0.328303,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.502997,0.330601,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.520087,0.323152,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.551117,0.313812,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-006-shuffled,1,0.510326,0.327858,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.543881,0.316119,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,0.508017,0.328987,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.505901,0.330171,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.537077,0.317612,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.500587,0.331648,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-003-shuffled,1,0.514998,0.333275,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-004-shuffled,1,0.524501,0.320236,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,0.505029,0.329063,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.51707,0.321629,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,0.505452,0.328103,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.526159,0.320904,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.51017,0.327708,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.503655,0.330348,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.501827,0.331071,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.503088,0.330516,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.53401,0.313494,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.513884,0.324537,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.499798,0.331656,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,0.503302,0.333319,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,0.599495,0.294955,0,0,0
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-002-shuffled,1,0.57623,0.302049,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-009-shuffled,1,0.508388,0.328287,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.54358,0.312658,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.583605,0.302202,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.51154,0.32693,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.528422,0.318761,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.542173,0.308946,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.516708,0.322417,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-007-shuffled,1,0.501541,0.333326,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-003-shuffled,1,0.523387,0.313278,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-006-shuffled,1,0.505741,0.325854,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-008-shuffled,1,0.50273,0.328148,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,0.505357,0.327513,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,0.50721,0.324962,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-007-shuffled,1,0.500827,0.329675,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,0.522971,0.319996,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.505087,0.328967,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,0.508233,0.325951,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.501852,0.329985,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.500977,0.330511,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.500329,0.330896,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.49983,0.33119,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.547215,0.304681,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.52257,0.319697,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.504025,0.329499,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.510661,0.323965,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-006-shuffled,1,0.501297,0.330306,1,1,0.5
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-008-shuffled,1,0.499912,0.333328,1,1,0.5
BLOCKS3i.5.3-shuffled,1,0.44018,0.45332,1.474227,1.474227,0.595833
BLOCKS3ii.5.2-shuffled,1,0.494644,0.388992,1.474227,1.474227,0.595833
BLOCKS3iii.5-shuffled,1,0.413624,0.140599,1.474227,1.474227,0.595833
BLOCKS4ii.7.2-shuffled,1,0.354157,0.292749,1.425911,1.425911,0.587784
BLOCKS4iii.7-shuffled,1,0.251172,0.092011,1.425911,1.425911,0.587784
blocks_enc_2_b3_ser--opt-9_-shuffled,1,0.466005,0.301922,1.363636,1.363636,0.576923
blocks_enc_2_b4_ser--opt-26_-shuffled,1,0.309172,0.197129,1.38785,1.38785,0.581213
c1_BMC_p1_k2048-shuffled,1,0.790047,0.248582,1,1,0.5
c1_BMC_p2_k1024-shuffled,1,0.77792,0.261124,1,1,0.5
c1_BMC_p2_k128-shuffled,1,0.641429,0.402277,1,1,0.5
c1_BMC_p2_k8-shuffled,1,0.448856,0.634657,1,1,0.5
c2_Debug_s5_f1_e1_v3-shuffled,1,0.101979,0.956197,1,1,0.5
c3_BMC_p1_k256-shuffled,1,0.634249,0.367935,1,1,0.5
c3_BMC_p2_k1024-shuffled,1,0.714365,0.279523,1,1,0.5
c3_BMC_p2_k2048-shuffled,1,0.729838,0.262448,1,1,0.5
c3_BMC_p2_k512-shuffled,1,0.68539,0.311498,1,1,0.5
c3_Debug_s3_f2_e2_v2-shuffled,1,0.025715,0.912075,1,1,0.5
C432.blif_0.10_0.20_0_0_out_exact-shuffled,1,0.638638,0.223767,1,1,0.5
C432.blif_0.10_0.20_0_1_out_exact-shuffled,1,0.639139,0.223456,1,1,0.5
C432.blif_0.10_1.00_0_0_out_exact-shuffled,1,0.640232,0.219858,1,1,0.5
C432.blif_0.10_1.00_0_1_inp_exact-shuffled,1,0.641339,0.219575,1,1,0.5
C499.blif_0.10_0.20_0_0_inp_exact,1,0.754791,0.327728,1,1,0.5
C499.blif_0.10_0.20_0_0_out_exact,1,0.749687,0.34183,1,1,0.5
C499.blif_0.10_0.20_0_1_out_exact,1,0.749687,0.34183,1,1,0.5
C499.blif_0.10_1.00_0_0_inp_exact-shuffled,1,0.7471,0.33256,1,1,0.5
C499.blif_0.10_1.00_0_0_out_exact-shuffled,1,0.746315,0.333592,1,1,0.5
c4_BMC_p1_k1024-shuffled,1,0.712275,0.299671,1,1,0.5
c4_BMC_p1_k2048-shuffled,1,0.724213,0.286811,1,1,0.5
c4_BMC_p1_k512-shuffled,1,0.689598,0.324102,1,1,0.5
c4_BMC_p2_k2048-shuffled,1,0.724213,0.286811,1,1,0.5
c4_Debug_s3_f1_e1_v3-shuffled,1,0.001866,0.998997,1,1,0.5
c4_Debug_s3_f1_e2_v3-shuffled,1,0.001868,0.998997,1,1,0.5
c4_Debug_s3_f2_e1_v3-shuffled,1,0.106721,0.581431,1,1,0.5
C5315.blif_0.10_0.20_0_0_inp_exact-shuffled,1,0.592788,0.211832,1,1,0.5
C5315.blif_0.10_0.20_0_0_out_exact-shuffled,1,0.585606,0.216053,1,1,0.5
C5315.blif_0.10_0.20_0_1_inp_exact-shuffled,1,0.592775,0.211803,1,1,0.5
C5315.blif_0.10_0.20_0_1_out_exact-shuffled,1,0.585594,0.216022,1,1,0.5
C5315.blif_0.10_1.00_0_0_inp_exact-shuffled,1,0.585095,0.214314,1,1,0.5
C5315.blif_0.10_1.00_0_0_out_exact-shuffled,1,0.584986,0.21437,1,1,0.5
C5315.blif_0.10_1.00_0_1_inp_exact-shuffled,1,0.585161,0.214314,1,1,0.5
c5_BMC_p1_k32-shuffled,1,0.537325,0.566464,1,1,0.5
C6288.blif_0.10_0.20_0_0_out_exact-shuffled,1,0.374071,0.336524,1,1,0.5
C6288.blif_0.10_1.00_0_0_inp_exact-shuffled,1,0.375505,0.335352,1,1,0.5
C6288.blif_0.10_1.00_0_1_inp_exact-shuffled,1,0.375595,0.335303,1,1,0.5
C6288.blif_0.10_1.00_0_1_out_exact-shuffled,1,0.373353,0.33644,1,1,0.5
c6_BMC_p1_k1024-shuffled,1,0.755096,0.283393,1,1,0.5
c6_BMC_p1_k256-shuffled,1,0.722999,0.316645,1,1,0.5
c6_BMC_p2_k128-shuffled,1,0.684392,0.356642,1,1,0.5
c6_BMC_p2_k2048-shuffled,1,0.760738,0.277549,1,1,0.5
c6_BMC_p2_k64-shuffled,1,0.618828,0.424566,1,1,0.5
C880.blif_0.10_0.20_0_0_inp_exact,1,0.58888,0.248109,1,1,0.5
C880.blif_0.10_0.20_0_0_out_exact,1,0.572866,0.256844,1,1,0.5
C880.blif_0.10_0.20_0_1_inp_exact,1,0.589259,0.248109,1,1,0.5
C880.blif_0.10_0.20_0_1_out_exact,1,0.572866,0.256844,1,1,0.5
C880.blif_0.10_1.00_0_0_inp_exact,1,0.58046,0.254789,1,1,0.5
C880.blif_0.10_1.00_0_0_out_exact,1,0.571821,0.259419,1,1,0.5
C880.blif_0.10_1.00_0_1_out_exact-shuffled,1,0.572214,0.259419,1,1,0.5
CHAIN23v.24-shuffled,1,0.380257,0.107613,1,1,0.5
cmu.dme1.B-f2,1,0.533359,0.333203,1,1,0.5
cmu.dme1.B-f3,1,0.523128,0.33326,1,1,0.5
cmu.dme1.B-f4-shuffled,1,0.517799,0.333284,1,1,0.5
cmu.dme2.B-f2,1,0.513449,0.333234,1,1,0.5
cmu.periodic.N-d2-shuffled,1,0.448053,0.33331,1,1,0.5
cmu.periodic.N-d4-shuffled,1,0.446944,0.333323,1,1,0.5
cmu.periodic.N-f4-shuffled,1,0.447843,0.333324,1,1,0.5
comp.blif_0.10_0.20_0_0_inp_exact-shuffled,1,0.677497,0.269555,1,1,0.5
comp.blif_0.10_1.00_0_0_inp_exact-shuffled,1,0.665083,0.275534,1,1,0.5
connect_5x4_3_R-shuffled,1,0.772453,0.981203,1.400794,1.400794,0.583471
connect_5x4_4_W-shuffled,1,0.777199,0.97723,1.401186,1.401186,0.583539
connect_6x5_4_D-shuffled,1,0.786262,0.985032,1.416667,1.416667,0.586207
connect_6x5_5_R-shuffled,1,0.783869,0.981946,1.416667,1.416667,0.586207
connect_7x6_4_R-shuffled,1,0.791489,0.989133,1.428157,1.428157,0.588165
connect_7x6_6_W-shuffled,1,0.788304,0.985066,1.428019,1.428019,0.588142
connect_8x7_3_D-shuffled,1,0.77845,0.992032,1.4375,1.4375,0.589744
connect_8x7_7_D-shuffled,1,0.791676,0.987274,1.4375,1.4375,0.589744
connect_9x8_3_R-shuffled,1,0.779291,0.993396,1.443912,1.443912,0.59082
connect_9x8_6_D-shuffled,1,0.810841,0.991929,1.443912,1.443912,0.59082
connect_9x8_8_D-shuffled,1,0.794156,0.988921,1.443912,1.443912,0.59082
Core1108_tbm_02.tex.moduleQ3.2S.000007,1,0.285054,0.719164,1.325991,1.325991,0.570076
Core1108_tbm_02.tex.moduleQ3.2S.000015,1,0.283615,0.720612,1.317181,1.317181,0.568441
Core1108_tbm_02.tex.moduleQ3.2S.000026,1,0.290753,0.713432,1.330435,1.330435,0.570896
Core1108_tbm_02.tex.moduleQ3.2S.000056,1,0.284335,0.719887,1.311404,1.311404,0.567362
Core1108_tbm_02.tex.moduleQ3.2S.000077,1,0.285054,0.719164,1.325991,1.325991,0.570076
Core1108_tbm_02.tex.moduleQ3.2S.000095,1,0.287915,0.716287,1.323144,1.323144,0.569549
Core1108_tbm_02.tex.moduleQ3.2S.000098,1,0.289337,0.714856,1.331878,1.331878,0.571161
Core1108_tbm_02.tex.moduleQ3.2S.000099,1,0.287202,0.717004,1.318777,1.318777,0.568738
Core1108_tbm_02.tex.moduleQ3.2S.000108,1,0.287202,0.717004,1.318777,1.318777,0.568738
Core1108_tbm_03.tex.module.000003,1,0.443893,0.562066,1.483333,1.483333,0.597315
Core1108_tbm_03.tex.module.000019,1,0.433371,0.573348,1.256198,1.256198,0.556777
Core1108_tbm_03.tex.module.000021,1,0.43178,0.574958,1.305085,1.305085,0.566176
Core1108_tbm_03.tex.module.000023,1,0.433371,0.573348,1.313559,1.313559,0.567766
Core1108_tbm_03.tex.module.000031,1,0.439646,0.566999,1.308333,1.308333,0.566787
Core1108_tbm_03.tex.module.000034,1,0.438724,0.567991,1.283333,1.283333,0.562044
Core1108_tbm_03.tex.module.000037,1,0.435838,0.571098,1.293103,1.293103,0.56391
Core1108_tbm_03.tex.module.000038,1,0.434833,0.57218,1.307018,1.307018,0.56654
Core1108_tbm_03.tex.module.000039,1,0.434833,0.57218,1.307018,1.307018,0.56654
Core1108_tbm_03.tex.module.000048,1,0.433806,0.573286,1.280702,1.280702,0.561538
Core1108_tbm_03.tex.module.000056,1,0.429455,0.57797,1.210526,1.210526,0.547619
Core1108_tbm_03.tex.module.000057,1,0.428303,0.579211,1.20354,1.20354,0.546185
Core1108_tbm_03.tex.module.000058,1,0.427123,0.580482,1.185841,1.185841,0.54251
