@RELATION 'feature_values_proteus_2014-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE csp_percent_dec_predicate NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-CLAUSE-min NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-CLAUSE-min NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-max NUMERIC
@ATTRIBUTE csp_percent_wsum NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-VAR-min NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-VAR-max NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-mean NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-stdev NUMERIC
@ATTRIBUTE directorder_CG-entropy NUMERIC
@ATTRIBUTE support_CG-entropy NUMERIC
@ATTRIBUTE directorder_cluster-coeff-mean NUMERIC
@ATTRIBUTE support_cluster-coeff-mean NUMERIC
@ATTRIBUTE support_VCG-CLAUSE-max NUMERIC
@ATTRIBUTE directorder_cluster-coeff-max NUMERIC
@ATTRIBUTE directorder_cluster-coeff-min NUMERIC

@DATA
bool/ii/ii-16a2.xml,1,?,0,0,0.826087,?,0,0.878788,0.373748,0.198935,3.529098,3.607503,0.265183,0.236733,0.000251,0.7,0.022965
bool/ii/ii-32b3.xml,1,94.278198,0,0,0.826087,-1,0,0.938462,0.391571,0.216867,-512,-512,-1,-1,0.000151,0,-1
bool/ii/ii-8a3.xml,1,?,0,0,0.733333,?,0,0.764706,0.348252,0.174587,3.209003,3.160528,0.31647,0.305572,0.001088,0.7,0.069701
bool/ii/ii-8e1.xml,1,?,0,0,0.733333,?,0,0.809524,0.351277,0.179222,3.160942,3.197293,0.305276,0.29492,0.001172,0.7,0.049347
bool/ii/ii-8a4.xml,1,?,0,0,0.733333,?,0,0.764706,0.348059,0.173317,3.269015,3.230091,0.31639,0.30508,0.0005,0.7,0.069701
bool/ii/ii-16d2.xml,1,93.712868,0,0,0.826087,-1,0,0.878788,0.369912,0.189372,-512,-512,-1,-1,0.000127,0,-1
bool/ii/ii-32b1.xml,1,?,0,0,0.826087,?,0,0.938462,0.389792,0.217478,3.481251,3.818982,0.206505,0.162058,0.000781,0.7,0.006679
bool/ii/ii-8d2.xml,1,?,0,0,0.733333,?,0,0.809524,0.350595,0.18092,3.287651,3.321806,0.309758,0.299134,0.000661,0.7,0.047339
bool/ii/ii-32d3.xml,1,95.941287,0,0,0.897436,-1,0,0.938462,0.392572,0.217697,-512,-512,-1,-1,0.000086,0,-1
bool/ii/ii-16c2.xml,1,93.72581,0,0,0.826087,-1,0,0.878788,0.370346,0.190241,-512,-512,-1,-1,0.000139,0,-1
bool/ii/ii-32d1.xml,1,?,0,0,0.897436,?,0,0.938462,0.390792,0.218039,3.497049,3.816355,0.208586,0.163576,0.00071,0.7,0.006679
bool/ii/ii-8b2.xml,1,?,0,0,0.733333,?,0,0.764706,0.352347,0.182345,3.276486,3.23437,0.319401,0.310943,0.000912,0.7,0.069701
bool/ii/ii-32a1.xml,1,95.253852,0,0,0.826087,-1,0,0.938462,0.391252,0.216971,-512,-512,-1,-1,0.000185,0,-1
bool/ii/ii-32c4.xml,1,96.489524,0,0,?,-1,0,0.938462,?,?,?,-512,?,-1,0.000037,?,?
bool/mps/mps-neos16.xml,1,64.826941,0,0,0.988024,-1,0,0.995104,0.359871,0.276492,-512,-512,-1,-1,0.007706,0,-1
bool/mps/mps-p0282.xml,1,?,?,?,0.994737,?,?,?,0.307602,0.39008,-512,?,-1,?,?,0,-1
bool/mps/mps-gt2.xml,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
bool/mps/mps-air06.xml,1,99.207317,?,?,?,-1,?,?,?,?,?,?,?,?,?,?,?
bool/mps/mps-p6000.xml,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
bool/mps/mps-air03.xml,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
bool/mps/mps-neos18.xml,1,?,0,0,1,?,0,1,0.328814,0.214118,3.637502,3.80403,0.233185,0.207744,0.005229,0.8,0.006357
bool/mps/mps-aflow30a.xml,1,100,?,?,?,-1,?,?,?,?,?,?,?,?,?,?,?
bool/mps/mps-diamond.xml,1,?,0,0,0,?,0,0,0,0,-512,-512,0,0,0,0,0
bool/mps/mps-10teams.xml,1,100,0,0,0.904762,-1,0,0.950617,0.374458,0.23692,3.736197,3.917236,0.178155,0.152467,0.000437,0.7,0.001817
bool/mps/mps-p0548.xml,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
bool/mps/mps-p0291.xml,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
bool/mps/mps-stein15.xml,1,?,0,0,0.75,?,0,0.84,0.415532,0.18705,2.865126,2.95889,0.286259,0.269913,0.115385,0.714286,0.02448
bool/mps/mps-opt1217.xml,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
bool/mps/mps-p2756.xml,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
bool/mps/mps-air04.xml,1,99.756987,?,?,?,-1,?,?,?,?,?,?,?,?,?,?,?
bool/mps/mps-mzzv11.xml,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
bool/mps/mps-mod008.xml,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
bool/mps/mps-p0201.xml,1,?,0,0,0.987805,?,0,0.996705,0.366353,0.355136,-512,-512,-1,-1,0.006063,0,-1
bool/mps/mps-neos5.xml,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
bool/mps/mps-vpm2.xml,1,100,?,?,?,-1,?,?,?,?,?,?,?,?,?,?,?
bool/mps/mps-vpm1.xml,1,100,?,?,?,-1,?,?,?,?,?,?,?,?,?,?,?
bool/mps/mps-seymour1.xml,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
bool/mps/mps-cracpb1.xml,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
bool/mps/mps-lp4l.xml,1,99.408284,0,0,0.997579,-1,0,0.998434,0.385739,0.275933,-512,-512,-1,-1,0.02039,0,-1
bool/mps/mps-stein45.xml,1,?,0,0,0.888889,?,0,0.942857,0.444454,0.260252,3.422269,3.758837,0.215326,0.179658,0.095238,0.714286,0.003776
bool/mps/mps-bm23.xml,1,?,0,0,0.96,?,0,0.981818,0.33322,0.330261,4.611217,-512,0.098056,-1,0.009556,0.714286,0.000359
bool/mps/mps-air02.xml,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
bool/mps/mps-mitre.xml,1,90.415648,?,?,?,-1,?,?,?,?,?,?,?,?,?,?,?
bool/mps/mps-p0040.xml,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
bool/mps/mps-protfold.xml,1,100,0,0,0.992308,-1,0,0.997712,0.378383,0.237027,-512,-512,-1,-1,0.003732,0,-1
bool/mps/mps-l152lav.xml,1,99.481865,?,?,?,-1,?,?,?,?,?,?,?,?,?,?,?
bool/mps/mps-sentoy.xml,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
bool/mps/mps-enigma.xml,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
bool/mps/mps-fit1d.xml,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
bool/mps/mps-seymour.xml,1,?,0,0,0.777778,?,0,0.897436,0.333484,0.182652,-512,-512,-1,-1,0.000105,0,-1
bool/mps/mps-p0033.xml,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
bool/mps/mps-lseu.xml,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
bool/mps/mps-neos1.xml,1,94.375,0,0,0.826087,-1,0,0.921569,0.355589,0.202222,3.371487,3.51419,0.25631,0.237746,0.000304,0.7,0.006613
bool/mps/mps-mod010.xml,1,99.312715,?,?,0.997558,-1,?,?,0.397636,0.272851,-512,?,-1,?,?,0,-1
bool/mps/mps-aflow40b.xml,1,100,?,?,?,-1,?,?,?,?,?,?,?,?,?,?,?
bool/mps/mps-air01.xml,1,?,0,0,0.984791,?,0,0.995439,0.407708,0.276211,-512,-512,-1,-1,0.003533,0,-1
bool/mps/mps-pipex.xml,1,?,?,?,0.996317,?,?,?,0.313807,0.368543,-512,?,-1,?,?,0,-1
bool/mps/mps-manna81.xml,1,?,0,0,0.870968,?,0,0.928571,0.234336,0.248351,-512,-512,-1,-1,0.000076,0,-1
bool/mps/mps-air05.xml,1,99.647887,?,?,?,-1,?,?,?,?,?,?,?,?,?,?,?
bool/mps/mps-stein9.xml,1,?,0,0,0.666667,?,0,0.75,0.370439,0.163436,2.676282,2.832215,0.335603,0.330733,0.153846,0.714286,0.058586
bool/mps/mps-stein27.xml,1,?,0,0,0.833333,?,0,0.906977,0.437247,0.230634,3.133209,3.342631,0.246956,0.219288,0.101796,0.714286,0.009126
bool/mps/mps-mzzv42z.xml,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
bool/logic-synthesis/5xp1-b.xml,1,?,0,0,0.956522,?,0,0.986622,0.395324,0.238699,-512,-512,-1,-1,0.000451,0,-1
bool/logic-synthesis/ex5-pi.xml,1,?,0,0,0.955056,?,0,0.986348,0.398424,0.248057,-512,-512,-1,-1,0.000298,0,-1
bool/logic-synthesis/alu4-b.xml,1,?,0,0,0.944444,?,0,0.979695,0.378346,0.217781,-512,-512,-1,-1,0.000327,0,-1
bool/logic-synthesis/clip-b.xml,1,?,0,0,0.944444,?,0,0.982063,0.383781,0.231893,-512,-512,-1,-1,0.000784,0,-1
bool/logic-synthesis/e64-b.xml,1,?,0,0,0.833333,?,0,0.938462,0.323603,0.185022,3.416271,3.506167,0.307126,0.281946,0.000573,0.7,0.006679
bool/logic-synthesis/bench1-pi.xml,1,?,0,0,0.927273,?,0,0.975155,0.358519,0.228158,3.459964,3.997777,0.207952,0.164196,0.000885,0.733333,0.001216
bool/logic-synthesis/e-am-pi.xml,1,?,0,0,0.963303,?,0,0.987988,0.394253,0.253669,-512,-512,-1,-1,0.00057,0,-1
bool/logic-synthesis/sao2-b.xml,1,?,0,0,0.943662,?,0,0.979695,0.377947,0.218425,-512,-512,-1,-1,0.000952,0,-1
bool/logic-synthesis/count-b.xml,1,?,0,0,0.924528,?,0,0.974522,0.382065,0.220608,-512,-512,-1,-1,0.000475,0,-1
bool/logic-synthesis/prom2-pi.xml,1,?,0,0,0.833333,?,0,0.934426,0.331118,0.193405,3.317203,3.473437,0.285799,0.257234,0.000285,0.7,0.007525
bool/logic-synthesis/max1024-pi.xml,1,?,0,0,0.764706,?,0,0.891892,0.324882,0.189936,3.359994,3.466858,0.298976,0.275206,0.000462,0.711111,0.018748
bool/logic-synthesis/rot-b.xml,1,?,0,0,0.928571,?,0,0.97546,0.366962,0.210249,-512,-512,-1,-1,0.000248,0,-1
bool/logic-synthesis/f51m-b.xml,1,?,0,0,0.944444,?,0,0.983806,0.386021,0.231938,-512,-512,-1,-1,0.000809,0,-1
bool/logic-synthesis/9symml.xml,1,?,0,0,1,?,0,1,0.326822,0.193371,3.694909,3.799036,0.311454,0.280932,0.001708,0.7,0.004199
bool/logic-synthesis/jac3.xml,1,?,0,0,0.991011,?,0,0.99712,0.393299,0.257028,-512,-512,-1,-1,0.002848,0,-1
bool/logic-synthesis/apex4-a.xml,1,?,0,0,1,?,0,1,0.348604,0.210003,-512,-512,-1,-1,0.000569,0,-1
bool/logic-synthesis/9sym-b.xml,1,?,0,0,0.935484,?,0,0.977143,0.386186,0.228006,-512,-512,-1,-1,0.000426,0,-1
bool/uclid/ooo-tag14.xml,1,0.904741,?,?,?,-1,?,?,?,?,?,?,?,?,?,?,?
bool/uclid/ooo-burch-dill-2-accl.xml,1,18.246614,0,0,0.955556,-1,0,0.975309,0.321221,0.333647,-512,-512,-1,-1,0.000737,0,-1
bool/uclid/elf-rf6.xml,1,?,0,0,0,?,0,0,0,0,-512,-512,0,0,0,0,0
bool/uclid/ooo-tag10.xml,1,14.880562,0,0,0.956989,-1,0,0.975904,0.331173,0.343057,-512,-512,-1,-1,0.000441,0,-1
bool/uclid/ooo-rf7.xml,1,14.556236,0,0,0.954023,-1,0,0.975,0.320724,0.334992,-512,-512,-1,-1,0.000898,0,-1
bool/uclid/blast-floppy1-8.xml,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
bool/uclid/22s-smv.xml,1,18.510804,?,?,?,-1,?,?,?,?,?,?,?,?,?,?,?
bool/uclid/dlx1c-rwmem1-ucl.xml,1,14.88785,0,0,0.954023,-1,0,0.975,0.315755,0.330453,-512,-512,-1,-1,0.000388,0,-1
bool/uclid/ooo-rf6.xml,1,?,0,0,0.946667,?,0,0.95122,0.243329,0.249223,-512,-512,-1,-1,0.001498,0,-1
bool/uclid/elf-rf9.xml,1,3.175744,?,?,?,-1,?,?,?,?,?,?,?,?,?,?,?
bool/uclid/blast-tlan3.xml,1,13.6504,?,?,?,-1,?,?,?,?,?,?,?,?,?,?,?
bool/uclid/44s-smv.xml,1,24.707135,0,0,0.976608,-1,0,0.987616,0.30816,0.351992,-512,-512,-1,-1,0.002284,0,-1
bool/uclid/cache-inv10-ucl.xml,1,8.80386,0,0,0.932203,-1,0,0.95,0.242233,0.247152,-512,-512,-1,-1,0.001124,0,-1
bool/uclid/ooo-tag12.xml,1,1.964912,0,0,0.957895,-1,0,0.97619,0.331615,0.343052,-512,-512,-1,-1,0.000278,0,-1
bool/uclid/43s-smv.xml,1,18.364997,?,?,?,-1,?,?,?,?,?,?,?,?,?,?,?
bool/uclid/25s-smv.xml,1,18.101029,?,?,?,-1,?,?,?,?,?,?,?,?,?,?,?
bool/uclid/cache-ibm-q-unbounded-Icl2arity-ucl.xml,1,3.53131,?,?,?,-1,?,?,?,?,?,?,?,?,?,?,?
bool/uclid/elf-rf8.xml,1,14.284002,0,0,0.954545,-1,0,0.975155,0.329055,0.340735,-512,-512,-1,-1,0.000414,0,-1
bool/uclid/ooo-burch-dill-3-accl.xml,1,16.605665,0,0,0.956044,-1,0,0.97546,0.32339,0.335109,-512,-512,-1,-1,0.000425,0,-1
bool/uclid/dlx1c-rwmem-ucl.xml,1,14.199443,0,0,0.954023,-1,0,0.975,0.31613,0.330688,-512,-512,-1,-1,0.00039,0,-1
bool/uclid/blast-floppy1-6.xml,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
bool/uclid/cache-inv12-ucl.xml,1,0,0,0,0.916667,-1,0,0.95,0.242555,0.243719,-512,-512,-1,-1,0.000761,0,-1
bool/uclid/cache-inv8-ucl.xml,1,?,0,0,0.916667,?,0,0.95,0.243844,0.249902,-512,-512,-1,-1,0.001845,0,-1
bool/uclid/ooo-rf8.xml,1,14.089135,0,0,0.954023,-1,0,0.975,0.319083,0.333377,-512,-512,-1,-1,0.000639,0,-1
bool/uclid/ooo-burch-dill-4-accl.xml,1,17.347037,?,?,?,-1,?,?,?,?,?,?,?,?,?,?,?
bool/uclid/ooo-burch-dill-6-accl.xml,1,3.068493,?,?,?,-1,?,?,?,?,?,?,?,?,?,?,?
bool/uclid/blast-floppy1-2.xml,1,?,?,?,0.995996,?,?,?,0.357437,0.38153,-512,?,-1,?,?,0,-1
bool/uclid/blast-floppy1-3.xml,1,?,0,0,0.976608,?,0,0.987616,0.302074,0.349496,-512,-512,-1,-1,0.003254,0,-1
bool/uclid/ooo-rf10.xml,1,1.753249,0,0,0.956989,-1,0,0.975904,0.329381,0.341805,-512,-512,-1,-1,0.000341,0,-1
bool/uclid/ooo-tag8.xml,1,15.809397,0,0,0.954023,-1,0,0.975,0.314977,0.329538,-512,-512,-1,-1,0.000923,0,-1
bool/uclid/dlx1c-ucl.xml,1,15.174171,0,0,0.954023,-1,0,0.975,0.321198,0.335076,-512,-512,-1,-1,0.000423,0,-1
bool/uclid/37s-smv.xml,1,12.005028,0,0,0.958763,-1,0,0.976471,0.33806,0.341776,-512,-512,-1,-1,0.002707,0,-1
bool/uclid/46s-smv.xml,1,20.454545,?,?,0.978022,-1,?,?,0.30619,0.351216,-512,?,-1,?,?,0,-1
bool/uclid/blast-tlan2.xml,1,29.485077,?,?,?,-1,?,?,?,?,?,?,?,?,?,?,?
bool/uclid/blast-floppy1-4.xml,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
bool/uclid/ooo-burch-dill-8-accl.xml,1,3.535412,?,?,?,-1,?,?,?,?,?,?,?,?,?,?,?
bool/uclid/ooo-rf9.xml,1,1.583608,0,0,0.954023,-1,0,0.975,0.317781,0.33199,-512,-512,-1,-1,0.000478,0,-1
bool/uclid/elf-rf7.xml,1,?,0,0,0.954023,?,0,0.975,0.298993,0.315362,-512,-512,-1,-1,0.002231,0,-1
bool/uclid/blast-floppy1-7.xml,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
bool/par/par-32-4-c.xml,1,79.981979,0,0,0.4,-1,0,0.4,0.02682,0.089243,4.106836,4.106836,0.243382,0.243382,0.006234,0.654545,0.077458
bool/par/par-16-4-c.xml,1,79.950495,0,0,0.466667,-1,0,0.428571,0.053565,0.122433,3.584711,3.626722,0.28292,0.282725,0.025253,0.571429,0.1
bool/par/par-16-1-c.xml,1,79.949399,0,0,0.466667,-1,0,0.428571,0.054115,0.122938,3.646948,3.700121,0.281415,0.281165,0.02551,0.571429,0.1
bool/par/par-16-5.xml,1,76.378869,0,0,0.4,-1,0,0.571429,0.05141,0.118111,3.797109,3.962712,0.285814,0.247391,0.022831,0.517968,0.1
bool/par/par-16-4.xml,1,76.190476,0,0,0.571429,-1,0,0.6,0.0569,0.128485,3.73741,3.911677,0.29116,0.252736,0.023923,0.546473,0.1
bool/par/par-8-5-c.xml,1,?,0,0,0.333333,?,0,0.333333,0.092338,0.125026,3.400433,3.400433,0.399005,0.399005,0.121951,0.777778,0.18
bool/par/par-16-2-c.xml,1,79.954049,0,0,0.333333,-1,0,0.428571,0.04861,0.113985,3.480757,3.483885,0.279807,0.280119,0.023474,0.526252,0.1
bool/par/par-8-2-c.xml,1,?,0,0,0.333333,?,0,0.333333,0.090238,0.115627,3.350724,3.350724,0.376848,0.376848,0.131579,0.733333,0.147186
bool/par/par-16-3.xml,1,76.301658,0,0,0.538462,-1,0,0.538462,0.052218,0.121042,3.804433,3.903029,0.294656,0.26644,0.023474,0.548855,0.1
bool/par/par-32-3-c.xml,1,79.98187,0,0,0.4,-1,0,0.4,0.026921,0.089395,3.9316,3.9316,0.2296,0.2296,0.006258,0.545455,0.07823
bool/par/par-32-2.xml,1,76.098736,0,0,0.4,-1,0,0.714286,0.02715,0.089392,4.06339,4.26734,0.24191,0.212864,0.008495,0.666667,0.067368
bool/par/par-16-5-c.xml,1,79.952969,0,0,0.333333,-1,0,0.428571,0.050019,0.11532,3.603123,3.588982,0.293446,0.293456,0.024155,0.469697,0.1
bool/par/par-8-1.xml,1,?,0,0,0.333333,?,0,0.333333,0.080865,0.118645,3.425615,3.412529,0.397584,0.359927,0.138889,0.644444,0.17316
bool/par/par-32-4.xml,1,76.206173,0,0,0.4,-1,0,0.6,0.026711,0.088731,4.027401,4.35548,0.238428,0.21109,0.007092,0.666667,0.077125
