@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE d_ratio_array_cons NUMERIC
@ATTRIBUTE d_ratio_int_vars NUMERIC
@ATTRIBUTE d_ratio_bool_vars NUMERIC
@ATTRIBUTE c_max_domdeg_cons NUMERIC
@ATTRIBUTE c_ent_domdeg_cons NUMERIC
@ATTRIBUTE c_ent_dom_cons NUMERIC
@ATTRIBUTE gr_ent_deg_vg NUMERIC
@ATTRIBUTE c_avg_domdeg_cons NUMERIC
@ATTRIBUTE gr_ent_deg_cg NUMERIC
@ATTRIBUTE dy_props NUMERIC
@ATTRIBUTE gr_ent_diam_vg NUMERIC
@ATTRIBUTE v_ent_domdeg_vars NUMERIC
@ATTRIBUTE gr_ent_clust_cg NUMERIC
@ATTRIBUTE gr_max_clust_cg NUMERIC
@ATTRIBUTE v_cv_deg_vars NUMERIC
@ATTRIBUTE v_avg_domdeg_vars NUMERIC
@ATTRIBUTE d_array_cons NUMERIC
@ATTRIBUTE o_de_di NUMERIC
@ATTRIBUTE v_ent_dom_vars NUMERIC
@ATTRIBUTE dy_tot_time NUMERIC
@ATTRIBUTE gr_cv_deg_vg NUMERIC
@ATTRIBUTE v_avg_dom_vars NUMERIC
@ATTRIBUTE v_logprod_deg_vars NUMERIC
@ATTRIBUTE v_max_dom_vars NUMERIC
@ATTRIBUTE gr_avg_clust_cg NUMERIC
@ATTRIBUTE gr_cv_diam_vg NUMERIC
@ATTRIBUTE c_cv_domdeg_cons NUMERIC
@ATTRIBUTE v_cv_dom_vars NUMERIC
@ATTRIBUTE v_cv_domdeg_vars NUMERIC
@ATTRIBUTE v_max_domdeg_vars NUMERIC
@ATTRIBUTE dy_fzn_time NUMERIC
@ATTRIBUTE d_bool_vars NUMERIC
@ATTRIBUTE v_max_deg_vars NUMERIC
@ATTRIBUTE c_ent_deg_cons NUMERIC
@ATTRIBUTE gr_cv_clust_cg NUMERIC
@ATTRIBUTE o_di_de NUMERIC
@ATTRIBUTE v_num_vars NUMERIC
@ATTRIBUTE gr_max_deg_cg NUMERIC
@ATTRIBUTE v_def_vars NUMERIC
@ATTRIBUTE v_intro_vars NUMERIC
@ATTRIBUTE gc_ratio_globs NUMERIC
@ATTRIBUTE gc_bool_lin NUMERIC
@ATTRIBUTE c_min_domdeg_cons NUMERIC
@ATTRIBUTE gr_cv_deg_cg NUMERIC
@ATTRIBUTE v_num_consts NUMERIC
@ATTRIBUTE gr_min_clust_cg NUMERIC
@ATTRIBUTE o_deg_std NUMERIC
@ATTRIBUTE o_deg_cons NUMERIC
@ATTRIBUTE o_dom_avg NUMERIC
@ATTRIBUTE v_logprod_dom_vars NUMERIC
@ATTRIBUTE v_ratio_bounded NUMERIC
@ATTRIBUTE o_di NUMERIC
@ATTRIBUTE v_ent_deg_vars NUMERIC
@ATTRIBUTE c_cv_deg_cons NUMERIC
@ATTRIBUTE c_cv_dom_cons NUMERIC
@ATTRIBUTE v_sum_dom_vars NUMERIC
@ATTRIBUTE d_ratio_bool_cons NUMERIC
@ATTRIBUTE dy_nodes NUMERIC
@ATTRIBUTE dy_fails NUMERIC
@ATTRIBUTE v_sum_domdeg_vars NUMERIC
@ATTRIBUTE d_set_cons NUMERIC
@ATTRIBUTE dy_static_time NUMERIC
@ATTRIBUTE gr_max_deg_vg NUMERIC

@DATA
normalized-1-insertions-6-4.xml.mzn_AND_NODATA,1,1,0,1,0,2,0,0,3.833265,2,5.277076,9460481,3.127213,0.318088,0.819367,0,0.701374,0.248408,0,1,0,5.84,0.701374,4,2537.644916,4,0.582444,0.455654,0,0,0.488583,0.666667,0.69,0,202,0,0.195967,607,607,268,0,0,0,0,2,0.626101,0,0,0,1,0,1214,0,1,3.833265,0,0,2428,0,26523,13197,150.783695,0,3.1,202
normalized-2-fullins-5-4.xml.mzn_AND_NODATA,1,1,0,1,0,2,0,0,5.055056,2,-1,2699651,3.246226,0.04307,-1,-1,0.713313,0.181949,0,1,0,7.85,0.713313,4,3942.949153,4,-1,0.305677,0,0,0.473842,0.5,1.58,0,215,0,-1,852,852,-1,0,0,0,0,2,-1,0,-1,0,1,0,1704,0,1,5.055056,0,0,3408,0,11805,5897,155.020452,0,4.2,215
normalized-3-fullins-4-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928,0,0,3.790965,2.321928,5.381285,-1,3.532405,0.741247,0.953276,0,0.623264,0.362095,0,1,0,2.86,0.623264,5,1593.790885,5,0.559371,0.790129,0,0,0.427097,0.833333,0.34,0,84,0,0.172387,405,405,166,0,0,0,0,2.321928,0.497161,0,0,0,1,0,940.380878,0,1,3.790965,0,0,2025,0,-1,-1,146.648435,0,0.8,84
normalized-1-insertions-6-6.xml.mzn_AND_NODATA,1,1,0,1,0,2.584963,0,0,3.833265,2.584963,5.277076,2191853,3.127213,0.801339,0.819367,0,0.701374,0.372612,0,1,0,5.82,0.701374,6,2537.644916,6,0.582444,0.455654,-1,0,0.488583,1,0.68,0,202,0,0.195967,607,607,268,0,0,0,0,2.584963,0.626101,0,0,0,1,0,1569.072238,0,1,3.833265,0,-1,3642,0,52856,26310,226.175542,0,3.08,202
normalized-4-insertions-4-4.xml.mzn_AND_NODATA,1,1,0,1,0,2,0,0,1.408585,2,1.985377,1368577,5.497163,0.110769,0.579404,0,0.531234,0.572503,0,1,0,2.43,0.531234,4,1353.561223,4,0.506515,0.404824,0,0,0.243825,1,0.19,0,79,0,0.216191,475,475,91,0,0,0,0,2,0.838335,0,0,0,1,0,950,0,1,1.408585,0,0,1900,0,233597,116652,271.938911,0,0.19,79
normalized-5-fullins-3-6.xml.mzn_AND_NODATA,1,1,0,1,0,2.584963,0,0,2.448476,2.584963,3.458095,2319016,3.608672,1.061591,0.999222,0,0.57589,0.756897,0,1,0,2.15,0.57589,6,486.142172,6,0.537262,0.709731,0,0,0.435673,1.5,0.07,0,27,0,0.160848,154,154,52,0,0,0,0,2.584963,0.392877,0,0,0,1,0,398.084225,0,1,2.448476,0,0,924,0,171194,85590,116.562068,0,0.05,27
normalized-5-fullins-3-7.xml.mzn_AND_NODATA,1,1,0,1,0,2.807355,0,0,2.448476,2.807355,3.458095,2028544,3.608672,1.061591,0.999222,0,0.57589,0.883046,0,1,0,2.15,0.57589,7,486.142172,7,0.537262,0.709731,0,0,0.435673,1.75,0.07,0,27,0,0.160848,154,154,52,0,0,0,0,2.807355,0.392877,0,0,0,1,0,432.332658,0,1,2.448476,0,0,1078,0,180213,90097,135.98908,0,0.04,27
normalized-1-insertions-5-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928,0,0,2.997733,2.321928,4.102625,3985492,4.181638,0.998231,0.982449,0,0.548023,0.491187,0,1,0,2.24,0.548023,5,699.618418,5,0.556014,0.573638,-1,0,0.392361,1,0.1,0,67,0,0.183571,202,202,88,0,0,0,0,2.321928,0.451873,0,0,0,1,0,469.029475,0,1,2.997733,0,-1,1010,0,360955,180421,99.219688,0,0.1,67
normalized-46s-smv.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,1.350737,3.302871,0.985662,4.955747,2385722,3.719351,2.301525,0.714087,1,2.159785,0.378053,0,1,0.71894,4.76,2.315368,1.801489,3315.849389,2,0.62417,0.858983,0.067324,0.221416,0.671302,1,1.08,0,212,1.352633,0.241737,1612,1612,243,0,0,0,0,0.666667,1.780413,0,0,0,1,0,1292,0,1,3.379324,0.970936,0.982006,2904,0,72337,36125,609.421674,0,1.6,357
normalized-3-insertions-4-3.xml.mzn_AND_NODATA,1,1,0,1,0,1.584963,0,0,1.588719,1.584963,2.227353,6924574,4.728864,0.936117,0.655908,0,0.491696,0.439498,0,1,0,2.22,0.491696,3,793.13323,3,0.510277,0.296572,0,0,0.258952,0.75,0.11,0,56,0,0.210349,281,281,66,0,0,0,0,1.584963,0.654286,0,0,0,1,0,445.374463,0,1,1.588719,0,0,843,0,119019,59500,123.499026,0,0.07,56
normalized-2-fullins-3-4.xml.mzn_AND_NODATA,1,1,0,1,0,2,0,0,2.609496,2,3.659697,9290719,2.666813,0.890492,0.999554,0,0.390634,0.590743,0,1,0,2.09,0.390634,4,148.237462,4,0.509205,0.337233,0,0,0.342333,1,0.03,0,15,0,0.116635,52,52,28,0,0,0,0,2,0.2922,0,0,0,1,0,104,0,1,2.609496,0,0,208,0,623999,311989,30.718615,0,0.01,15
normalized-aim-100-1-6-4.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.961237,1.803639,1,2.697578,4920505,5.333997,0.346981,0.845845,0,0.178905,0.604333,0,1,0,2.1,0.214677,2,348.985078,2,0.400692,0.264871,0,0,0.150177,0.666667,0.05,0,5,0.961237,0.278473,200,200,11,0,0,0,0,1,0.270603,0,0,0,1,0,200,0,1,1.157745,0.186016,0.186016,400,0,318418,159192,120.866667,0,0.02,9
normalized-aim-100-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.991076,1.995767,1,2.661092,6930406,3.606939,0.286397,0.687315,0,0.284318,0.736667,160,1,0,2.1,0.452248,2,448.798859,2,0.338457,0.6535,0,0,0.272585,1,0.05,200,5,0.991076,0.292672,100,300,11,200,200,0,0,1,0.436955,0,0,0,1,0,300,0,1,1.693646,0.203279,0.203279,600,0,315040,157506,221,0,0.02,9
normalized-4-fullins-4-6.xml.mzn_AND_NODATA,1,1,0,1,0,2.584963,0,0,3.730763,2.584963,5.296715,489708,3.840313,0.864757,0.976223,0,0.700023,0.406858,0,1,0,5.6,0.700023,6,2794.838676,6,0.566504,0.494538,-1,0,0.449044,1,0.77,0,119,0,0.18575,690,690,236,0,0,0,0,2.584963,0.582101,0,0,0,1,0,1783.624125,0,1,3.730763,0,-1,4140,0,28638,14279,280.732127,0,2.77,119
normalized-2-fullins-5-6.xml.mzn_AND_NODATA,1,1,0,1,0,2.584963,0,0,5.055056,2.584963,-1,1230504,3.246226,0.376177,-1,-1,0.713313,0.272923,0,1,0,7.89,0.713313,6,3942.949153,6,-1,0.305677,0,0,0.473842,0.75,1.62,0,215,0,-1,852,852,-1,0,0,0,0,2.584963,-1,0,-1,0,1,0,2202.388051,0,1,5.055056,0,0,5112,0,14501,7233,232.530678,0,4.2,215
normalized-3-insertions-5-4.xml.mzn_AND_NODATA,1,1,0,1,0,2,0,0,2.317467,2,-1,1193013,5.608482,0.474383,-1,-1,0.735868,0.335645,0,1,0,7.82,0.735868,4,5153.0049,4,-1,0.376342,0,0,0.359898,0.8,1.41,0,281,0,-1,1406,1406,-1,0,0,0,0,2,-1,0,-1,0,1,0,2812,0,1,2.317467,0,0,5624,0,21100,10446,471.916903,0,4.34,281
normalized-3-insertions-5-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928,0,0,2.317467,2.321928,-1,1526813,5.608482,0.935897,-1,-1,0.735868,0.419556,0,1,0,7.81,0.735868,5,5153.0049,5,-1,0.376342,0.000001,0,0.359898,1,1.4,0,281,0,-1,1406,1406,-1,0,0,0,0,2.321928,-1,0,-1,0,1,0,3264.630901,0,1,2.317467,0,0.000001,7030,0,42282,20776,589.896129,0,4.34,281
normalized-aim-100-2-0-4.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.918296,0.932533,1,1.579863,6241422,5.161123,0,0.56651,0,0,0.5,0,1,0,2.1,0.072384,2,400,2,0.370805,0.274565,0,0,0,0.5,0.05,0,4,0.918296,0.260541,200,200,9,0,0,0,0,1,0.172323,0,0,0,1,0,200,0,1,0,0.176777,0.176777,400,0,232883,116431,100,0,0.02,7
normalized-aim-100-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.990159,2.092088,1,2.60937,-1,3.096106,0.242292,0.681291,0,0.286588,0.737286,160,1,0,0.14,0.44655,2,448.318502,2,0.340268,0.643589,0,0,0.27143,1,0.05,200,7,0.990159,0.287557,100,300,14,200,200,0,0,1,0.435833,0,0,0,1,0,300,0,1,1.690855,0.20338,0.20338,600,0,-1,-1,221.185714,0,0.02,13
normalized-aim-100-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,0.5,0.5,0.333333,0.666667,1,0,0.999982,1.521737,1,1.475288,7765838,2.653228,0,0.999982,0,0.282947,0.667222,200,1,0,2.11,0.438588,2,499.584963,2,0.387786,0.575666,0,0,0.352964,1,0.05,200,4,0.999982,0.294785,100,300,9,200,200,0,0,1,0.374985,0,0,0,1,0,300,0,1,0.948572,0.200198,0.200198,600,0,234974,117477,200.166667,0,0.02,7
normalized-aim-100-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,0.502513,0.497487,0.333333,0.666667,1,0,0.999927,1.638127,1,1.656276,7649653,2.712271,0,0.999344,0,0.2835,0.670556,198,1,0,2.11,0.440577,2,497.094738,2,0.385696,0.540878,0,0,0.349398,1,0.05,200,4,0.999927,0.296178,100,300,9,200,200,0,0,1,0.378606,0,0,0,1,0,300,0,1,1.064214,0.200393,0.200393,600,0,240954,120470,201.166667,0,0.02,7
normalized-4-insertions-4-3.xml.mzn_AND_NODATA,1,1,0,1,0,1.584963,0,0,1.408585,1.584963,1.985377,4846153,5.497163,0.882574,0.579404,0,0.531234,0.429377,0,1,0,2.43,0.531234,3,1353.561223,3,0.506515,0.404824,-1,0,0.243825,0.75,0.19,0,79,0,0.216191,475,475,91,0,0,0,0,1.584963,0.838335,0,0,0,1,0,752.857188,0,1,1.408585,0,-1,1425,0,73637,36799,203.954183,0,0.2,79
normalized-aim-100-2-0-3.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.921593,0.905162,1,1.542002,5057295,5.084632,0,0.557438,0,0.017655,0.500833,0,1,0,2.11,0.073119,2,399.584963,2,0.372255,0.227717,0,0,0.023472,0.666667,0.05,0,4,0.921593,0.256569,200,200,9,0,0,0,0,1,0.17266,0,0,0,1,0,200,0,1,0.045415,0.177435,0.177435,400,0,271809,135893,100.166667,0,0.01,7
normalized-aim-100-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.989197,1.994514,1,2.587193,6305414,3.544501,0.242292,0.681291,0,0.282028,0.737444,160,1,0,2.09,0.451034,2,448.096109,2,0.335173,0.54416,0,0,0.270911,1,0.04,200,6,0.989197,0.292559,100,300,12,200,200,0,0,1,0.431055,0,0,0,1,0,300,0,1,1.690855,0.203474,0.203474,600,0,372935,186455,221.233333,0,0.02,11
normalized-25s-smv.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,1.29745,2.977039,0.982142,-1,2151165,3.907571,2.518517,-1,-1,2.373003,0.396665,0,-1,0.745936,14.46,2.834897,1.787658,10157.090084,2,-1,0.818126,0.075937,0.228772,0.643642,1,7.84,0,340,1.332091,-1,-1,5072,-1,0,0,0,0,0.666667,-1,0,-1,-1,-1,-1,3995,0,-1,3.022216,1.068341,1.086168,9067,0,20686,10298,2011.882543,0,4.47,631
normalized-44s-smv.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,1.455197,3.425601,0.971442,4.223542,6012243,3.514837,2.104389,0.63325,1,1.836038,0.405183,0,1,0.792342,2.35,1.746067,1.761616,954.530936,2,0.649753,0.950782,0.093598,0.241877,0.673452,1,0.19,0,96,1.460184,0.255032,495,495,104,0,0,0,0,0.666667,1.371392,0,0,0,1,0,377,0,1,3.364944,0.958856,0.980102,872,0,205702,102827,200.565823,0,0.12,173
normalized-aim-100-3-4-2.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.785075,2.039848,1,2.485011,7017013,4.831594,0,0.314683,0,0.056398,0.329631,0,1,0,2.12,0.103291,2,520.621498,2,0.366752,0.252562,0,0,0.051819,0.4,0.06,0,8,0.785075,0.196531,200,200,17,0,0,0,0,1,0.154853,0,0,0,1,0,200,0,1,0.591386,0.153089,0.153089,400,0,176442,88212,65.92619,0,0.02,13
normalized-aim-100-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.991076,2.120722,1,2.64541,6375579,3.109397,0.257372,0.693265,0,0.28158,0.736222,160,1,0,2.09,0.446466,2,448.985078,2,0.340569,0.586657,0,0,0.272608,1,0.04,200,5,0.991076,0.287039,100,300,11,200,200,0,0,1,0.43028,0,0,0,1,0,300,0,1,1.690126,0.203279,0.203279,600,0,355372,177670,220.866667,0,0.02,9
normalized-aim-100-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.989197,2.113667,1,2.677766,7761977,3.784292,0.300391,0.669016,0,0.291527,0.739222,160,1,0,2.09,0.450441,2,447.401743,2,0.341932,0.602327,0,0,0.2718,1,0.04,200,6,0.989197,0.291569,100,300,12,200,200,0,0,1,0.438574,0,0,0,1,0,300,0,1,1.709178,0.203474,0.203474,600,0,361922,180944,221.766667,0,0.02,10
normalized-aim-100-2-0-1.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.921593,0.97968,1,1.631423,6422658,5.093431,0,0.557438,0,0.017655,0.500833,0,1,0,2.1,0.078978,2,399.584963,2,0.372358,0.231476,0,0,0.023472,0.666667,0.04,0,4,0.921593,0.260771,200,200,9,0,0,0,0,1,0.175829,0,0,0,1,0,200,0,1,0.045415,0.177435,0.177435,400,0,236624,118302,100.166667,0,0.02,7
normalized-aim-200-1-6-2.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.962529,1.65962,1,2.749786,3621241,6.048745,0.346981,0.869218,0,0.183692,0.60525,0,1,0,2.19,0.21386,2,697.251112,2,0.391212,0.283018,0,0,0.150903,0.666667,0.1,0,6,0.962529,0.277829,400,400,12,0,0,0,0,1,0.275311,0,0,0,1,0,400,0,1,1.173211,0.186326,0.186326,800,0,144513,72233,242.1,0,0.05,10
normalized-aim-200-1-6-3.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.962529,1.754486,1,2.656297,1385719,5.961278,0.296923,0.876538,0,0.182509,0.604917,0,1,0,2.2,0.211173,2,697.412653,2,0.397178,0.324194,0,0,0.149399,0.666667,0.11,0,6,0.962529,0.286363,400,400,13,0,0,0,0,1,0.259967,0,0,0,1,0,400,0,1,1.166676,0.186326,0.186326,800,0,146142,73050,241.966667,0,0.05,11
normalized-4-fullins-3-6.xml.mzn_AND_NODATA,1,1,0,1,0,2.584963,0,0,2.572158,2.584963,3.640354,3065542,4.480348,1.099409,0.999445,0,0.522207,0.786161,0,1,0,2.1,0.522207,6,350.708953,6,0.530117,0.699913,0,0,0.410402,1.5,0.04,0,23,0,0.148162,114,114,44,0,0,0,0,2.584963,0.371077,0,0,0,1,0,294.685725,0,1,2.572158,0,0,684,0,244899,122442,89.62236,0,0.02,23
normalized-aim-200-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,0.556328,0.443672,0.333333,0.666667,1,0,0.990366,2.101026,1,2.576131,3421639,3.363379,0.218878,0.687864,0,0.283405,0.737722,319,1,0,2.19,0.443728,2,895.997615,2,0.340453,0.675078,0,0,0.271334,1,0.09,400,6,0.990366,0.288405,200,600,13,400,400,0,0,1,0.424735,0,0,0,1,0,600,0,1,1.692595,0.203358,0.203358,1200,0,148021,73989,442.633333,0,0.06,11
