@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 8'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE d_ratio_array_cons NUMERIC
@ATTRIBUTE d_ratio_int_vars NUMERIC
@ATTRIBUTE d_ratio_bool_vars NUMERIC
@ATTRIBUTE c_max_domdeg_cons NUMERIC
@ATTRIBUTE c_ent_domdeg_cons NUMERIC
@ATTRIBUTE c_ent_dom_cons NUMERIC
@ATTRIBUTE gr_ent_deg_vg NUMERIC

@DATA
normalized-3-insertions-5-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928,0,0,2.317467
normalized-aim-100-2-0-4.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.918296,0.932533
normalized-aim-100-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.990159,2.092088
normalized-aim-100-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,0.5,0.5,0.333333,0.666667,1,0,0.999982,1.521737
normalized-aim-100-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,0.502513,0.497487,0.333333,0.666667,1,0,0.999927,1.638127
normalized-4-insertions-4-3.xml.mzn_AND_NODATA,1,1,0,1,0,1.584963,0,0,1.408585
normalized-aim-100-2-0-3.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.921593,0.905162
normalized-aim-100-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.989197,1.994514
normalized-25s-smv.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,1.29745,2.977039
normalized-44s-smv.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,1.455197,3.425601
normalized-aim-100-3-4-2.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.785075,2.039848
normalized-aim-100-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.991076,2.120722
normalized-aim-100-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.989197,2.113667
normalized-aim-100-2-0-1.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.921593,0.97968
normalized-aim-200-1-6-2.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.962529,1.65962
normalized-aim-200-1-6-3.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.962529,1.754486
normalized-4-fullins-3-6.xml.mzn_AND_NODATA,1,1,0,1,0,2.584963,0,0,2.572158
normalized-aim-200-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,0.556328,0.443672,0.333333,0.666667,1,0,0.990366,2.101026
normalized-3-insertions-5-3.xml.mzn_AND_NODATA,1,1,0,1,0,1.584963,0,0,2.317467
normalized-2-insertions-5-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928,0,0,2.650763
normalized-aim-200-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.990159,2.017101
normalized-4-fullins-4-7.xml.mzn_AND_NODATA,1,1,0,1,0,2.807355,0,0,3.730763
normalized-aim-100-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,0.501253,0.498747,0.333333,0.666667,1,0,0.999995,1.470759
normalized-aim-200-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.991076,1.956294
normalized-aim-200-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.990623,2.077507
normalized-aim-200-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,0.55788,0.44212,0.333333,0.666667,1,0,0.989838,2.075345
normalized-aim-200-2-0-sat-2_ext.xml.mzn_AND_NODATA,1,0.500626,0.499374,0.333333,0.666667,1,0,0.99999,1.533759
normalized-aim-200-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.989197,2.09155
normalized-aim-200-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,0.500626,0.499374,0.333333,0.666667,1,0,0.99999,1.50643
normalized-aim-200-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,0.500626,0.499374,0.333333,0.666667,1,0,0.999972,1.442657
normalized-4-insertions-3-3.xml.mzn_AND_NODATA,1,1,0,1,0,1.584963,0,0,0.739735
normalized-5-fullins-4-8.xml.mzn_AND_NODATA,1,1,0,1,0,3,0,0,3.541915
normalized-aim-100-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,0.502513,0.497487,0.333333,0.666667,1,0,0.999836,1.57248
normalized-aim-100-1-6-2.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.9638,1.739078
normalized-aim-100-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.991076,2.090999
normalized-2-fullins-5-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928,0,0,5.055056
normalized-aim-200-3-4-sat-3_ext.xml.mzn_AND_NODATA,1,0.370714,0.629286,0.333333,0.666667,1,0,0.952623,2.156002
normalized-aim-50-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.568182,0.431818,0.333333,0.666667,1,0,0.9842,2.364002
normalized-aim-100-3-4-3.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.773227,2.062447
normalized-aim-200-2-0-1.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.919953,0.949456
normalized-43s-smv.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,1.264645,3.309212
normalized-aim-200-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.990623,2.052007
normalized-aim-100-1-6-3.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.961237,1.759055
normalized-aim-100-1-6-1.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.9638,1.760689
normalized-aim-200-1-6-sat-2_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.990623,2.024709
normalized-aim-200-6-0-sat-4_ext.xml.mzn_AND_NODATA,1,0.252845,0.747155,0.333333,0.666667,1,0,0.822598,2.381853
normalized-3-fullins-5-7.xml.mzn_AND_NODATA,1,1,0,1,0,2.807355,0,0,4.858298
normalized-aim-200-2-0-2.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.919953,0.882662
normalized-3-fullins-4-6.xml.mzn_AND_NODATA,1,1,0,1,0,2.584963,0,0,3.790965
normalized-aim-50-2-0-3.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.918296,0.881291
normalized-aim-200-2-0-4.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.921593,0.922841
normalized-aim-100-2-0-sat-4_ext.xml.mzn_AND_NODATA,1,0.501253,0.498747,0.333333,0.666667,1,0,0.999995,1.580294
normalized-aim-200-3-4-sat-1_ext.xml.mzn_AND_NODATA,1,0.370714,0.629286,0.333333,0.666667,1,0,0.952623,2.2784
normalized-aim-100-2-0-2.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.924819,0.837356
normalized-army8-9ls.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,2.097437,2.099008
normalized-aim-100-2-0-unsat-4_ext.xml.mzn_AND_NODATA,1,0.5,0.5,0.333333,0.666667,1,0,1,1.508074
normalized-aim-200-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,0.500626,0.499374,0.333333,0.666667,1,0,0.99999,1.449018
normalized-5-fullins-4-7.xml.mzn_AND_NODATA,1,1,0,1,0,2.807355,0,0,3.541915
normalized-army13-24bt.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,2.195563,2.784642
normalized-aim-100-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0.560224,0.439776,0.333333,0.666667,1,0,0.988508,2.081276
normalized-aim-200-3-4-3.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.777218,1.845122
normalized-anna-10.xml.mzn_AND_NODATA,1,1,0,1,0,3.321928,0,0,3.71276
normalized-aim-200-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,0.501882,0.498118,0.333333,0.666667,1,0,0.999972,1.617838
normalized-army12-21bt.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,2.21476,2.906369
normalized-army10-14ls.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,2.096156,2.022179
normalized-army12-21ls.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,2.07194,1.934548
normalized-aim-200-6-0-4.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.608483,2.171066
normalized-aim-200-6-0-3.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.602966,2.043954
normalized-aim-200-3-4-sat-4_ext.xml.mzn_AND_NODATA,1,0.371402,0.628598,0.333333,0.666667,1,0,0.953142,2.255594
normalized-army10-14bt.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,2.251027,3.052278
normalized-2-fullins-4-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928,0,0,3.879839
normalized-aim-200-2-0-sat-4_ext.xml.mzn_AND_NODATA,1,0.500626,0.499374,0.333333,0.666667,1,0,0.999972,1.55866
normalized-aim-200-6-0-1.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.609209,2.061693
normalized-aim-50-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.989197,2.258917
normalized-aim-200-6-0-sat-2_ext.xml.mzn_AND_NODATA,1,0.251731,0.748269,0.333333,0.666667,1,0,0.820859,2.262288
normalized-aim-100-3-4-1.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.777218,1.93309
normalized-aim-100-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,0.5,0.5,0.333333,0.666667,1,0,1,1.401
normalized-aim-200-3-4-1.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.777674,2.040156
normalized-aim-200-2-0-unsat-4_ext.xml.mzn_AND_NODATA,1,0.5,0.5,0.333333,0.666667,1,0,0.999959,1.423433
normalized-aim-200-3-4-4.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.777218,1.953641
normalized-aim-50-1-6-2.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.961237,1.711337
normalized-aim-50-1-6-1.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.961237,1.482287
normalized-aim-50-1-6-4.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.970951,1.753891
normalized-anna-9.xml.mzn_AND_NODATA,1,1,0,1,0,3.169925,0,0,3.71276
normalized-army9-12ls.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,2.100949,2.063054
normalized-aim-200-6-0-2.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.607325,1.957861
normalized-bibd-6-50-25-3-10_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.500372,0.863121
normalized-aim-200-1-6-4.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.966273,1.759882
normalized-bibd-6-60-30-3-12_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.479337,0.863121
normalized-ash608GPIA-4.xml.mzn_AND_NODATA,1,1,0,1,0,2,0,0,3.443623
normalized-army9-12bt.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,2.254488,3.04712
normalized-22s-smv.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,1.283164,2.742252
normalized-aim-200-2-0-3.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.919953,0.90705
normalized-aim-100-2-0-sat-2_ext.xml.mzn_AND_NODATA,1,0.5,0.5,0.333333,0.666667,1,0,0.999928,1.476533
normalized-bibd-7-42-18-3-6_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.450352,0.811278
normalized-aim-100-3-4-4.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.777218,1.933858
normalized-5-fullins-4-6.xml.mzn_AND_NODATA,1,1,0,1,0,2.584963,0,0,3.541915
normalized-army13-24ls.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,2.055656,1.890293
normalized-aim-200-1-6-1.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.962529,1.738817
normalized-bibd-6-40-20-3-8_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.529767,0.863121
normalized-aim-200-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,0.500626,0.499374,0.333333,0.666667,1,0,0.99999,1.54511
normalized-bibd-6-70-35-3-14_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.463471,0.863121
normalized-aim-200-6-0-sat-3_ext.xml.mzn_AND_NODATA,1,0.252685,0.747315,0.333333,0.666667,1,0,0.820409,2.339208
normalized-aim-50-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,0.5,0.5,0.333333,0.666667,1,0,1,1.520409
normalized-bibd-7-35-15-3-5_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.476702,0.811278
normalized-bibd-9-36-12-3-3_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.381056,0.721928
normalized-bibd-7-63-27-3-9_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.40181,0.811278
normalized-bibd-8-42-21-4-9_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.398056,0.764205
normalized-bibd-16-16-6-6-2_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.378336,0.522559
normalized-bibd-6-100-50-3-20_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.432721,0.863121
normalized-ash958GPIA-4.xml.mzn_AND_NODATA,1,1,0,1,0,2,0,0,3.501116
normalized-army11-17bt.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,2.233478,2.919083
normalized-bf-2670-001.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.843055,3.110408
normalized-anna-8.xml.mzn_AND_NODATA,1,1,0,1,0,3,0,0,3.71276
normalized-bibd-13-26-6-3-1_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.347084,0.591673
normalized-bibd-7-77-33-3-11_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.38232,0.811278
normalized-bibd-7-28-12-3-4_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.513185,0.811278
normalized-aim-200-3-4-2.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.773227,1.891793
normalized-bibd-8-28-14-4-6_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.460638,0.764205
normalized-bibd-9-48-16-3-4_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.341961,0.721928
normalized-bibd-6-80-40-3-16_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.451035,0.863121
normalized-abb313GPIA-8.xml.mzn_AND_NODATA,1,1,0,1,0,3,0,0,5.720469
normalized-bibd-11-22-10-5-4_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.412649,0.650022
normalized-3-fullins-5-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928,0,0,4.858298
normalized-bibd-10-90-27-3-6_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.24989,0.684038
normalized-bibd-10-30-9-3-2_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.379876,0.684038
normalized-bibd-8-56-21-3-6_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.362513,0.764205
normalized-abb313GPIA-9.xml.mzn_AND_NODATA,1,1,0,1,0,3.169925,0,0,5.720469
normalized-bibd-6-90-45-3-18_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.441002,0.863121
normalized-bibd-16-24-9-6-3_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.329569,0.522559
normalized-bibd-7-98-42-3-14_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.362304,0.811278
normalized-aim-100-1-6-sat-2_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.990159,2.077681
normalized-bqwh-15-106-14_glb.xml.mzn_AND_NODATA,1,0,0,1,0,3.906891,0.995722,4.473942,1.011761
normalized-bf-0432-007.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,1.211194,3.773166
normalized-bibd-15-21-7-5-2_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.364343,0.543564
normalized-bibd-7-70-30-3-10_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.391235,0.811278
normalized-bqwh-15-106-83_ext.xml.mzn_AND_NODATA,1,0.227752,0.713115,0.214141,0.785859,3.807355,1.106652,1.933123,3.305224
normalized-bibd-12-22-11-6-5_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.393776,0.619382
normalized-bibd-15-45-24-8-12_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.24135,0.543564
normalized-bf-1355-075.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,1.078565,3.456005
normalized-bqwh-18-141-15_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.169925,1.218992,4.737148,0.958987
normalized-BlackHole-4-4-e-2_ext.xml.mzn_AND_NODATA,1,0.053478,0.940308,0.117216,0.882784,4,0.33285,0.346747,2.173706
normalized-bibd-8-70-35-4-15_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.339354,0.764205
normalized-aim-50-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.991076,2.058489
normalized-BlackHole-4-4-e-9_ext.xml.mzn_AND_NODATA,1,0.053478,0.940308,0.117216,0.882784,4,0.33285,0.346747,2.173706
normalized-bibd-10-60-18-3-4_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.286985,0.684038
normalized-bqwh-18-141-23_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.169925,1.108996,4.652724,0.971585
normalized-bqwh-18-141-21_ext.xml.mzn_AND_NODATA,1,0.22486,0.716444,0.212991,0.787009,4.169925,1.181936,2.049852,3.279108
normalized-bqwh-18-141-14_ext.xml.mzn_AND_NODATA,1,0.224034,0.716738,0.21267,0.78733,4.169925,1.231659,2.011677,3.250162
normalized-bqwh-18-141-22_ext.xml.mzn_AND_NODATA,1,0.212575,0.734656,0.198872,0.801128,4.169925,1.187753,1.919094,3.293062
normalized-bibd-9-108-36-3-9_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.265492,0.721928
normalized-aim-200-3-4-sat-2_ext.xml.mzn_AND_NODATA,1,0.370714,0.629286,0.333333,0.666667,1,0,0.951218,2.18994
normalized-bqwh-18-141-27_ext.xml.mzn_AND_NODATA,1,0.229819,0.709307,0.212991,0.787009,4.169925,1.261885,2.06357,3.140578
normalized-bqwh-18-141-29_ext.xml.mzn_AND_NODATA,1,0.220008,0.724278,0.206745,0.793255,4.169925,1.228897,1.992433,3.208937
normalized-BlackHole-4-4-e-3_ext.xml.mzn_AND_NODATA,1,0.053478,0.940308,0.117216,0.882784,4,0.33285,0.346747,2.173706
normalized-bqwh-18-141-14_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.169925,1.17912,4.683938,0.971585
normalized-4-fullins-5-8.xml.mzn_AND_NODATA,1,1,0,1,0,3,0,0,4.74906
normalized-bqwh-18-141-23_ext.xml.mzn_AND_NODATA,1,0.213381,0.731591,0.207353,0.792647,4.169925,1.189405,1.921711,3.433249
normalized-bqwh-18-141-19_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.169925,1.184493,4.777633,0.91783
normalized-bibd-9-72-24-3-6_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.298244,0.721928
normalized-bqwh-18-141-2_ext.xml.mzn_AND_NODATA,1,0.218256,0.725761,0.207658,0.792342,4.087463,1.18573,1.961212,3.396195
normalized-bibd-12-44-11-3-2_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.281773,0.619382
normalized-4-fullins-5-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928,0,0,4.74906
normalized-bibd-7-56-24-3-8_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.414579,0.811278
normalized-bqwh-18-141-22_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.169925,1.072768,4.712893,0.941675
normalized-BlackHole-4-4-e-6_ext.xml.mzn_AND_NODATA,1,0.053478,0.940308,0.117216,0.882784,4,0.33285,0.346747,2.173706
normalized-bqwh-18-141-17_ext.xml.mzn_AND_NODATA,1,0.23297,0.703906,0.215596,0.784404,4.169925,1.235207,2.12184,3.108958
normalized-bibd-7-49-21-3-7_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.430342,0.811278
normalized-bibd-14-26-13-7-6_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.334482,0.56651
normalized-bqwh-18-141-57_ext.xml.mzn_AND_NODATA,1,0.234131,0.703772,0.216923,0.783077,4.169925,1.230985,2.109217,3.10153
normalized-bqwh-18-141-52_ext.xml.mzn_AND_NODATA,1,0.221803,0.720755,0.210448,0.789552,4.169925,1.197779,2.014767,3.30401
normalized-bqwh-18-141-32_ext.xml.mzn_AND_NODATA,1,0.220241,0.723766,0.209821,0.790179,4.169925,1.239205,1.956048,3.369433
normalized-bibd-7-210-60-2-10_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.318251,0.811278
normalized-BlackHole-4-4-e-4_ext.xml.mzn_AND_NODATA,1,0.053478,0.940308,0.117216,0.882784,4,0.33285,0.346747,2.173706
normalized-bqwh-18-141-40_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.169925,0.988503,4.645477,0.980293
normalized-BlackHole-4-4-e-7_ext.xml.mzn_AND_NODATA,1,0.053478,0.940308,0.117216,0.882784,4,0.33285,0.346747,2.173706
normalized-bqwh-18-141-59_ext.xml.mzn_AND_NODATA,1,0.224714,0.719001,0.209821,0.790179,4.169925,1.182311,1.985698,3.208725
normalized-bqwh-18-141-40_ext.xml.mzn_AND_NODATA,1,0.219424,0.724221,0.204348,0.795652,4.169925,1.22331,1.969146,3.172334
normalized-bqwh-18-141-15_ext.xml.mzn_AND_NODATA,1,0.22684,0.714286,0.21203,0.78797,4.169925,1.160002,2.036482,3.172759
normalized-bqwh-18-141-39_ext.xml.mzn_AND_NODATA,1,0.2247,0.715695,0.21203,0.78797,4.169925,1.213794,2.057944,3.184268
normalized-bqwh-18-141-5_ext.xml.mzn_AND_NODATA,1,0.221535,0.721122,0.207965,0.792035,4.169925,1.208196,2.000207,3.243299
normalized-bqwh-18-141-46_ext.xml.mzn_AND_NODATA,1,0.219718,0.724748,0.20524,0.79476,4.169925,1.182121,1.953877,3.279425
normalized-bqwh-18-141-41_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.169925,1.202611,4.718125,0.941675
normalized-bibd-6-30-15-3-6_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.574162,0.863121
normalized-bqwh-18-141-10_ext.xml.mzn_AND_NODATA,1,0.224473,0.718565,0.20951,0.79049,4.169925,1.190644,2.031312,3.29857
normalized-bqwh-18-141-71_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.169925,1.1022,4.706984,0.971585
normalized-bqwh-18-141-29_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.169925,1.162375,4.768574,0.958987
normalized-bqwh-18-141-73_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.169925,1.265625,4.850861,0.980293
normalized-bqwh-18-141-19_ext.xml.mzn_AND_NODATA,1,0.219682,0.726011,0.207658,0.792342,4.169925,1.174463,1.959747,3.339745
normalized-bqwh-18-141-36_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.169925,1.061992,4.623781,0.980293
normalized-bqwh-18-141-7_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.169925,1.264791,4.8211,0.958987
