@RELATION 'FEATURE_VALUES-SAT11-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 5'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC

@DATA
./SAT04/industrial/hoonsang/vis-bmc/all.used-as.sat04-986.cnf,1,0.1864,0.6423,0.3142,0.2662,0.1524
SAT_RACE08/Q1/SAT_dat.k80_04.cnf,1,0.5462,0.8864,0.7874,0.5169,0.2419
SAT_RACE06/velev-npe-1.0-9dlx-b71.cnf,1,?,?,?,?,?
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-pdtswvsam6x8p3-tseitin.cnf,1,0.5885,0.7854,0.7162,0.5105,0.3165
./SAT11/application/leberre/2dimensionalstrippacking/E07N15.cnf,1,?,?,?,?,?
./SAT09/APPLICATIONS/bitverif/minandmaxor/minandmaxor128.cnf,1,0.3073,0.6048,0.5679,0.3356,0.0986
./SAT11/application/kullmann/AES/Benchmarks/64/aes_64_2_keyfind_1.cnf,1,0.0099,0.1518,0.0573,0.0484,0
./SAT02/industrial/goldberg/rand_net/rand_net60-30-1.shuffled.cnf,1,0.4862,0.7345,0.6312,0.4699,0.3234
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k45-pdtpmsgoodbakery-tseitin.cnf,1,0.385,0.6679,0.5459,0.3893,0.2245
./SAT11/application/kullmann/AES/Benchmarks/32/aes_32_4_keyfind_1.cnf,1,0.0252,0.2247,0.1023,0.0721,0.0027
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top21.cnf,1,0.5318,0.586,0.5719,0.3949,0.1536
SAT_RACE08/cnf/manol-pipe-c10nidw.cnf,1,0.6558,0.91,0.8231,0.6217,0.5549
./SAT09/APPLICATIONS/satComp09_BioInstances/rbcl_xits_08_UNSAT.cnf,1,0.5447,0.9394,0.592,0.5441,0.4761
./SAT05/industrial/maris05/DriverLog/driverlog1_ks99i.renamed-as.sat05-3951.cnf,1,?,?,?,?,?
./SAT05/industrial/grieu05/vmpc/vmpc_34.renamed-as.sat05-1926.cnf,1,0.6917,0.6917,0.6917,0.6918,0.6917
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-12-step15.cnf,1,0.9015,0.9749,0.9624,0.6803,0.3693
./SAT09/APPLICATIONS/crypto/md5gen/gus-md5-12.cnf,1,0.0144,0.3927,0.1034,0.0981,0.0015
./SAT02/industrial/goldberg/rand_net/rand_net60-40-10.shuffled.cnf,1,0.5113,0.747,0.6529,0.4864,0.333
./SAT11/application/rintanen/SATPlanning/transport-transport-three-cities-sequential-14nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.030-NOTKNOWN.cnf,1,0.9451,0.9961,0.982,0.8145,0.6155
./SAT05/industrial/grieu05/vmpc/vmpc_32.renamed-as.sat05-1919.cnf,1,0.6916,0.6916,0.6916,0.6917,0.6916
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom14.cnf,1,0.1579,0.5941,0.5371,0.2669,0.043
./SAT07/industrial/IBM_FV_2002_13_rule_1/SAT_dat.k100.cnf,1,0.1553,0.9056,0.7797,0.3276,0
./SAT09/APPLICATIONS/satComp09_BioInstances/rbcl_xits_18_SAT.cnf,1,0.5487,0.9101,0.8717,0.5137,0.1537
./SAT09/APPLICATIONS/satComp09_BioInstances/ndhf_xits_19_UNKNOWN.cnf,1,0.6105,0.9754,0.9304,0.5566,0.1773
SAT-Race-2010-CNF/hardware-verification/velev/1dlx_c_iq57_a.cnf,1,1,1,1,0.9389,0.9701
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom26.cnf,1,0.1568,0.6029,0.5573,0.2762,0.0403
SAT-Race-2010-CNF/cryptography/mizh/sha0_36_5.cnf,1,0.0044,0.3649,0.061,0.0753,0.0001
./SAT07/industrial/IBM_FV_2004_30/IBM_FV_2004_rule_batch_30_SAT_dat.k55.cnf,1,0.58,0.9108,0.8412,0.5299,0.2039
./SAT09/APPLICATIONS/diagnosis/UTI-20-10p0.cnf,1,0.7926,0.9504,0.8883,0.6475,0.3512
./SAT11/application/manthey/traffic/traffic_3b_unknown.cnf,1,0.2169,0.4457,0.3697,0.2283,0.0458
./SAT04/industrial/velev/pipe-sat-1-1/12pipe_bug4_q0.used-as.sat04-723.cnf,1,0.9995,1,1,0.804,0.7681
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom17.cnf,1,0.1572,0.5938,0.5503,0.268,0.0392
./SAT11/application/leberre/2dimensionalstrippacking/E04N18.cnf,1,0.831,0.9146,0.8787,0.8468,0.8238
./SAT09/APPLICATIONS/diagnosis/UCG-15-5p0.cnf,1,0.7127,0.8863,0.8426,0.553,0.2217
./SAT02/industrial/goldberg/rand_net/rand_net70-60-10.shuffled.cnf,1,0.5075,0.7484,0.6455,0.4842,0.3395
./SAT11/application/leberre/2dimensionalstrippacking/E02F17.cnf,1,0.8251,0.8979,0.8626,0.839,0.8201
./SAT04/industrial/hoonsang/vis-bmc/dekker.used-as.sat04-989.cnf,1,0.1937,0.6904,0.354,0.2838,0.1073
./SAT11/application/kullmann/AES/Benchmarks/64/aes_64_3_keyfind_1.cnf,1,0.0099,0.1518,0.0577,0.048,0
./SAT11/application/rintanen/SATPlanning/transport-transport-three-cities-sequential-14nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.020-NOTKNOWN.cnf,1,0.9468,0.9971,0.9833,0.8162,0.6155
./SAT11/application/manthey/traffic/traffic_kkb_unknown.cnf,1,0.1663,0.5533,0.4163,0.2471,0.043
./SAT07/industrial/palacios/medium/cube-11-h14-sat.cnf,1,0.4495,0.678,0.5997,0.3962,0.1652
./SAT07/industrial/crypto/mizh-sha0-36-2.cnf,1,0.0043,0.3649,0.0608,0.0751,0.0001
./SAT11/application/rintanen/SATPlanning/blocks-blocks-37-1.130-NOTKNOWN.cnf,1,0.9836,0.9945,0.9919,0.9612,0.9618
./SAT11/application/kullmann/AES/Benchmarks/64/aes_64_4_keyfind_1.cnf,1,0.0099,0.152,0.0577,0.0478,0
./SAT07/industrial/anbulagan/hard-sat/partial-10-13-s.cnf,1,0.7477,0.8816,0.8383,0.5754,0.237
./SAT09/APPLICATIONS/bitverif/countbitswegner/countbitswegner128.cnf,1,0.1335,0.8193,0.7261,0.3889,0.1248
./SAT09/APPLICATIONS/crypto/desgen/gss-14-s100.cnf,1,0.851,0.9251,0.9005,0.7561,0.756
SAT_RACE08/cnf/ibm-2004-01-k90.cnf,1,0.5714,0.8666,0.7816,0.512,0.2581
./SAT09/APPLICATIONS/satComp09_BioInstances/rbcl_xits_15_SAT.cnf,1,0.459,0.9253,0.8148,0.4769,0.1301
./SAT09/APPLICATIONS/diagnosis/UR-10-10p1.cnf,1,0.7146,0.8873,0.8434,0.5468,0.2193
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-rovers-18-step11.cnf,1,0.7361,0.9648,0.9586,0.6384,0.3094
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top29.cnf,1,0.5498,0.5899,0.5664,0.4049,0.156
./SAT02/industrial/aloul/Bart/bart17.shuffled.cnf,1,0.8159,0.8328,0.8285,0.794,0.7565
./SAT07/industrial/vliw_unsat_2.0/9dlx_vliw_at_b_iq7.cnf,1,0.9985,1,1,0.8767,0.95
./SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.160-NOTKNOWN.cnf,1,0.9834,0.9945,0.9918,0.961,0.9619
./SAT02/industrial/nam/fpga-routing/k2fix_gr_rcs_w9.shuffled.cnf,1,0.5575,0.7443,0.6746,0.5524,0.4458
./SAT09/APPLICATIONS/diagnosis/UCG-15-10p0.cnf,1,0.7734,0.9044,0.8723,0.5813,0.2554
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k45-pdtviseisenberg1-tseitin.cnf,1,0.456,0.683,0.5536,0.4247,0.2869
./SAT11/application/fuhs/AProVE11/AProVE11-13.cnf,1,0.1397,0.6289,0.5393,0.2747,0.0245
./SAT04/industrial/velev/vliw_unsat_2.0/9dlx_vliw_at_b_iq9.used-as.sat04-719.cnf,1,0.999,1,1,0.8965,0.9595
./SAT02/industrial/aloul/Homer/homer17.shuffled.cnf,1,0.8295,0.8378,0.8373,0.8279,0.82
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-nlzbe256-tseitin.cnf,1,0.2925,1,0.8983,0.4583,0.1528
./SAT04/industrial/vangelder/cnf-color/abb313GPIA-9-c.used-as.sat04-317.cnf,1,0.1973,0.9047,0.618,0.37,0.1964
SAT-Race-2010-CNF/software-verification/nec/hard-6-U-7061.cnf,1,0.7375,0.9919,0.9333,0.6418,0.3665
SAT-Race-2010-CNF/hardware-verification/velev/1dlx_c_iq60_a.cnf,1,1,1,1,0.9393,0.9702
./SAT11/application/fuhs/AProVE11/AProVE11-10.cnf,1,0.0484,0.5343,0.3532,0.1721,0.0134
./SAT09/APPLICATIONS/diagnosis/UR-20-10p1.cnf,1,0.7756,0.9647,0.8763,0.6313,0.3367
./SAT11/application/leberre/2dimensionalstrippacking/korf-15.cnf,1,0.8121,0.8762,0.8388,0.8167,0.8037
./SAT11/application/leberre/2dimensionalstrippacking/E02F20.cnf,1,0.9441,0.9894,0.9734,0.8931,0.8492
SAT_RACE06/velev-pipe-sat-1.0-b9.cnf,1,1,1,1,0.9269,0.9978
./SAT11/application/rintanen/SATPlanning/sokoban-sequential-p145-microban-sequential.080-SAT.cnf,1,0.9335,0.9828,0.9571,0.8895,0.8865
./SAT05/industrial/narain05/vpn/clauses-8.renamed-as.sat05-1964.cnf,1,0.9117,0.9786,0.9751,0.8709,0.8251
./SAT11/application/fuhs/AProVE11/AProVE11-15.cnf,1,0.115,0.4283,0.3699,0.1912,0.0432
./SAT07/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,0.6568,0.8601,0.8079,0.5407,0.2448
./SAT09/APPLICATIONS/crypto/desgen/gss-22-s100.cnf,1,0.8516,0.9253,0.9007,0.7519,0.748
./SAT11/application/kullmann/AES/Benchmarks/128/aes_128_2_keyfind_1.cnf,1,0.0021,0.0909,0.0363,0.0233,0
./SAT07/industrial/anbulagan/hard-unsat/total-10-17-u.cnf,1,0.6216,0.8521,0.7928,0.5095,0.1863
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom25.cnf,1,0.1568,0.6014,0.5569,0.2751,0.0402
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bjrb07amba2andenv-tseitin.cnf,1,0.4468,0.7988,0.6155,0.4442,0.2671
./SAT11/application/rintanen/SATPlanning/sokoban-sequential-p145-microban-sequential.040-NOTKNOWN.cnf,1,0.924,0.9722,0.9375,0.8941,0.9119
SAT_RACE08/cnf/ibm-2004-23-k100.cnf,1,0.6023,0.9077,0.8271,0.5668,0.3385
./SAT11/application/manthey/traffic/traffic_r_sat.cnf,1,0.6451,0.999,0.9413,0.6438,0.4752
./SAT09/APPLICATIONS/satComp09_BioInstances/rbcl_xits_09_UNKNOWN.cnf,1,0.5237,0.956,0.6164,0.5223,0.4209
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-rfunit_flat-64-tseitin.cnf,1,0.8251,0.9917,0.8251,0.7827,0.7842
./SAT02/industrial/biere/dinphil/dp04s04.shuffled.cnf,1,0.3608,0.6623,0.5703,0.371,0.1859
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top24.cnf,1,0.5463,0.5853,0.5721,0.3998,0.1547
./SAT11/application/rintanen/SATPlanning/grid-strips-grid-y-4.025-NOTKNOWN.cnf,1,0.9994,1,1,0.9895,0.9952
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top23.cnf,1,0.5424,0.5847,0.5723,0.3977,0.1553
./SAT09/APPLICATIONS/bioinfo/q_query_3_L150_coli.sat.cnf,1,0.6491,0.8839,0.7066,0.6421,0.6334
./SAT11/application/leberre/2dimensionalstrippacking/E05X15.cnf,1,0.8111,0.8746,0.8357,0.8222,0.8045
./SAT09/APPLICATIONS/bitverif/smulo/smulo064.cnf,1,0.2191,0.5181,0.3224,0.2143,0.0815
./SAT09/APPLICATIONS/diagnosis/UTI-20-10t0.cnf,1,0.3994,0.8445,0.738,0.4245,0.1047
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bc57sensorsp2-tseitin.cnf,1,0.2095,0.9616,0.4807,0.3518,0.1553
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom20.cnf,1,0.1568,0.5953,0.5604,0.2712,0.0396
./SAT11/application/leberre/2dimensionalstrippacking/E03N17.cnf,1,0.826,0.905,0.8583,0.8384,0.818
./SAT09/APPLICATIONS/bitverif/countbitssrl/countbitssrl064.cnf,1,0.1413,0.4357,0.2217,0.1812,0.093
./SAT11/application/rintanen/SATPlanning/transport-transport-city-sequential-35nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.040-NOTKNOWN.cnf,1,0.9466,0.9955,0.9849,0.8143,0.6157
./SAT09/APPLICATIONS/diagnosis/UCG-15-10p1.cnf,1,0.7472,0.901,0.863,0.5737,0.2511
./SAT09/APPLICATIONS/bioinfo/q_query_3_l46_lambda.cnf,1,0.6829,0.8211,0.7361,0.6108,0.4997
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k45-bc57sensorsp1-tseitin.cnf,1,0.2168,0.9631,0.5035,0.3549,0.1584
