@RELATION 'FEATURE_VALUES-SAT12-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 7'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC

@DATA
SAT_Competition2009/CRAFTED/Hard/contest02/hgen2-v500-s1216665065.sat05-467.reshuffled-07.cnf,1,0.3333,0,0,0.5772,0.4949,1,0.0099
SAT_Competition2011/SAT11/crafted/skvortsov/automata-synchronization/crn_11_100_s.cnf,1,0,0.0371,0.0001,0.9523,0.2847,0.1398,0.0047
SAT_Competition2009/CRAFTED/rbsat/random/forced/rbsat-v760c43649gyes1.cnf,1,0.6,0.9284,0.7346,0.0274,0.9925,0.9284,0.7709
SAT_Competition2007/crafted/Hard/contest05/counting-clq/unsat-set-a-clqcolor-16-10-11.sat05-1253.reshuffled-07.cnf,1,0,0.0507,0.7833,0.6629,0.4509,0.8734,0.8153
SAT_Competition2011/SAT05/crafted/jarvisalo05/mod2c-rand3bip-sat/mod2c-rand3bip-sat-230-3.shuffled-as.sat05-2505.cnf,1,0,0,0,0.7972,0.3739,0,0.0004
SAT_Competition2011/SAT11/crafted/mosoi/289/289-sat-6x9.cnf,1,1,0.0698,0.619,0,1,0.0698,0.619
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n180-s34713902-sat.cnf,1,0,0.8333,0.5831,1.067,0.438,0.8333,0.5831
SAT_Competition2011/SAT11/crafted/mosoi/289/289-sat-14x8.cnf,1,1,0.0319,0.5075,0,1,0.0319,0.5077
SAT_Competition2011/SAT05/crafted/sabharwal05/counting/php/unsat/harder/php-020-019.shuffled-as.sat05-1190.cnf,1,0,0.897,0.8749,1.0418,0.4639,0.897,0.88
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/forced/rbsat-v2640c305320gyes10.cnf,1,0.8667,0.9561,0.1783,0.0124,0.9974,0.9561,0.6798
SAT_Competition2009/CRAFTED/rbsat/crafted/forced/rbsat-v1820c171155gyes6.cnf,1,0.8889,0.9477,0.729,0.0159,0.9963,0.9477,0.7796
SAT_Competition2007/crafted/Difficult/contest05/QG/QG6-gensys-icl004.sat05-2716.reshuffled-07.cnf,1,0,0.0811,0,0.8604,0.299,0.0896,0.5529
SAT_Competition2007/crafted/Hard/contest05/QG/QG7a-gensys-icl001.sat05-3822.reshuffled-07.cnf,1,0,0.0774,0,0.8835,0.3101,0.0882,0.6315
SAT_Competition2011/SAT11/crafted/mosoi/289/289-unsat-21x39.cnf,1,1,0.0039,0.0026,0,1,0.0039,0.3476
SAT_Competition2007/crafted/spence/hard/s97-100.cnf,1,1,0,0.0001,0,1,1,0.0009
SAT_Competition2009/CRAFTED/Hard/contest04/connamacher/connm-ue-csp-sat-n1200-d-0.02-s383740539.sat05-534.reshuffled-07.cnf,1,0.1429,0,0.4614,0.5945,0.4781,0.8432,0.5454
SAT_Competition2009/CRAFTED/Difficult/contest-02-03-04/contest02-Mat26.sat05-457.reshuffled-07.cnf,1,0,0.087,0,0.7255,0.4544,0.5942,0.0069
SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-sat-210-3.sat05-2475.reshuffled-07.cnf,1,0,0,0,0.8508,0.3645,0,0.0002
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/forced/rbsat-v1820c171155gyes3.cnf,1,0.8333,0.9494,0.7356,0.0157,0.9964,0.9494,0.7825
SAT_Competition2009/CRAFTED/sgi/new-difficult-28-302-26-75.cnf,1,0.9048,0.9769,0.8634,0.0092,0.9988,0.9769,0.8817
SAT_Competition2009/CRAFTED/edgematching/compact/em_8_4_5_cmp.cnf,1,0,0.1413,0.0201,0.5383,0.4042,0.7665,0.2416
SAT_Competition2009/CRAFTED/rbsat/random/unforced/rbsat-v2640c305320g2.cnf,1,0.8,0.9559,0.1705,0.0124,0.9974,0.9559,0.6782
SAT_Competition2011/SAT11/crafted/skvortsov/battleship/battleship-12-12-unsat.cnf,1,1,0.8462,0.7086,0,1,0.8462,0.7086
SAT_Competition2009/CRAFTED/sgen/unsat/sgen1-unsat-127-100.cnf,1,1,0,0.0002,0,1,1,0.0014
SAT_Competition2011/SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-13_160.cnf,1,1,0,0.5173,0,1,0.8648,0.531
SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-120-3.sat05-2340.reshuffled-07.cnf,1,0,0,0,0.9265,0.3656,0,0
SAT_Competition2009/CRAFTED/Medium/contest05/pebbling/unsat-pbl-00090.sat05-1326.reshuffled-07.cnf,1,0,0.0009,0.015,0.7124,0.3176,0.0048,0.2114
SAT_Competition2009/CRAFTED/sgi/satsgi-n28himBHm30-p0-q333.cnf,1,1,0.9834,0.9293,0,1,0.9834,0.9294
SAT_Competition2009/CRAFTED/edgematching/explicit/em_9_3_5_exp.cnf,1,0,0.6731,0.0005,0.4033,0.7784,0.9135,0.2221
SAT_Competition2009/CRAFTED/rbsat/crafted/forced/rbsat-v945c61409gyes8.cnf,1,0.8462,0.9326,0.7669,0.0239,0.9937,0.9326,0.7871
SAT_Competition2007/crafted/spence/medium/s69-100.cnf,1,1,0,0,0,1,1,0.0007
SAT_Competition2007/crafted/Hard/contest05/QG/QG7-dead-dnd001.sat05-3419.reshuffled-07.cnf,1,0,0.4326,0,0.9149,0.4322,0.6375,0.599
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/forced/rbsat-v1375c111739gyes10.cnf,1,0.8,0.944,0.7832,0.0184,0.9956,0.944,0.8115
SAT_Competition2009/CRAFTED/rbsat/random/unforced/rbsat-v760c43649g8.cnf,1,0.6,0.9309,0.733,0.027,0.9928,0.9309,0.7755
SAT_Competition2009/CRAFTED/edgematching/explicit/em_8_4_5_exp.cnf,1,0,0.6285,0.0865,0.4419,0.7423,0.8988,0.2618
SAT_Competition2011/SAT11/crafted/mosoi/289/289-unsat-21x40.cnf,1,1,0.0038,0.0026,0,1,0.0038,0.3387
SAT_Competition2009/CRAFTED/Hard/contest04/others/CompositeRSA576.sat05-509.reshuffled-07.cnf,1,0,0.098,0,0.7211,0.3999,0.2013,0
SAT_Competition2011/SAT11/crafted/mosoi/289/289-unsat-5x41.cnf,1,1,0.0184,0.4462,0,1,0.0184,0.4463
SAT_Competition2009/CRAFTED/rbsat/random/unforced/rbsat-v760c43649g4.cnf,1,0.7143,0.9304,0.7448,0.027,0.9928,0.9304,0.7736
SAT_Competition2007/crafted/Medium/contest05/sabharwal/gt-ordering-unsat-gt-030.sat05-1307.reshuffled-07.cnf,1,0,0.0175,0.5267,0.5881,0.5002,0.9988,0.5267
SAT_Competition2011/SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-19_348.cnf,1,1,0.0035,0.601,0,1,0.9087,0.6164
SAT_Competition2009/CRAFTED/parity-games/instance_n6_i6_pp_ci_ce.cnf,1,0,0.1922,0,0.6558,0.5163,0.6033,0.0791
SAT_Competition2007/crafted/Hard/contest03/looksrandom/hgen7-n390-02-S178568232.sat05-479.reshuffled-07.cnf,1,0.3333,0,0,0.5772,0.5052,1,0
SAT_Competition2009/CRAFTED/edgematching/all/em_8_4_5_all.cnf,1,0,0.6948,0.0153,0.3974,0.7883,0.9169,0.4601
SAT_Competition2011/SAT03/handmade/anton/UNSAT/SGI_30_70_18_80_10-dir.shuffled-as.sat03-140.cnf,1,0,0.9642,0.8408,1.0233,0.4856,0.9642,0.8559
SAT_Competition2009/CRAFTED/sgi/satsgi-n25himBHm27-p0-q251.cnf,1,1,0.9815,0.9322,0,1,0.9815,0.9323
SAT_Competition2009/CRAFTED/sgi/satsgi-n22himBHm25-p0-q229.cnf,1,1,0.9805,0.9331,0,1,0.9805,0.9331
SAT_Competition2011/SAT09/CRAFTED/modcircuits/mod4block_3vars_7gates.cnf,1,0,0.0236,0,0.5631,0.4192,0.0236,0.0001
SAT_Competition2007/crafted/Hard/contest03/others/color-11-3.sat05-445.reshuffled-07.cnf,1,0,0.0132,0.0234,0.7739,0.362,0.0132,0.037
SAT_Competition2011/SAT11/crafted/manthey/sudoku-single-hard/sudoku_81x81_unknown.cnf,1,1,0.9658,0.028,0,1,0.968,0.7566
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n180-s33098896-unsat.cnf,1,0.3333,0,0,0.5774,0.5,1,0.0009
SAT_Competition2007/crafted/Medium/contest05/jarvisalo/mod2-rand3bip-sat-220-1.sat05-2173.reshuffled-07.cnf,1,0.3333,0,0,0.5774,0.5,1,0
SAT_Competition2009/CRAFTED/edgematching/all/em_12_2_4_all.cnf,1,0,0.8103,0.0001,0.2871,0.8786,0.9518,0.9589
SAT_Competition2009/CRAFTED/sgen/sat/sgen1-sat-230-100.cnf,1,1,0.8333,0.583,0,1,0.8333,0.5831
SAT_Competition2011/SAT11/crafted/mosoi/289/289-unsat-6x34.cnf,1,1,0.0179,0.443,0,1,0.0179,0.4431
SAT_Competition2009/CRAFTED/edgematching/compact/em_7_3_6_cmp.cnf,1,0,0.2051,0.0045,0.6183,0.4161,0.8122,0.1091
SAT_Competition2009/CRAFTED/Hard/contest05/QG/QG7a-gensys-icl004.sat05-3825.reshuffled-07.cnf,1,0,0.0848,0,0.8811,0.314,0.0952,0.6228
SAT_Competition2007/crafted/Hard/contest05/counting-php/harder-fphp-035-034.sat05-1235.reshuffled-07.cnf,1,0,0.9698,0.9295,1.0166,0.4886,0.9698,0.9297
SAT_Competition2011/SAT09/CRAFTED/ramseycube/Q3inK10.cnf,1,1,0,0,0,1,0,0
SAT_Competition2009/CRAFTED/ramseycube/Q3inK09.cnf,1,1,0,0,0,1,0,0
SAT_Competition2009/CRAFTED/Medium/contest05/others/QG7a-gensys-brn004.sat05-3669.reshuffled-07.cnf,1,0,0.0809,0,0.8766,0.3151,0.0916,0.617
SAT_Competition2007/crafted/Medium/contest05/jarvisalo/mod2-3cage-unsat-9-12.sat05-2587.reshuffled-07.cnf,1,0,0,0,0.9751,0.3621,0.069,0
SAT_Competition2011/SAT11/crafted/mosoi/289/289-sat-4x35.cnf,1,1,0.0286,0.4947,0,1,0.0286,0.4948
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n120-s55656844-unsat.cnf,1,0.3333,0,0,0.5772,0.4947,1,0.0014
SAT_Competition2011/SAT11/crafted/mosoi/289/289-unsat-7x39.cnf,1,1,0.013,0.4078,0,1,0.013,0.408
SAT_Competition2009/CRAFTED/parity-games/instance_n7_i8_pp.cnf,1,0,0.17,0,0.628,0.5316,0.6046,0.0701
SAT_Competition2007/crafted/Hard/contest05/phnf/phnf-size10-exclusive-philo.used-as.sat04-988.sat05-4195.reshuffled-07.cnf,1,0,0.8587,0,1.0218,0.467,0.859,0.4958
SAT_Competition2011/SAT05/crafted/sabharwal05/counting/php/unsat/harder/php-040-039.shuffled-as.sat05-1194.cnf,1,0,0.9495,0.9309,1.0234,0.4825,0.9495,0.9337
SAT_Competition2009/CRAFTED/sgen/unsat/sgen1-unsat-103-100.cnf,1,1,0,0.0004,0,1,1,0.0024
SAT_Competition2007/crafted/Hard/contest05/others/strips-gripper-12t22.sat05-1151.reshuffled-07.cnf,1,0,0.6776,0.0035,0.9849,0.4609,0.7149,0.6461
SAT_Competition2009/CRAFTED/sgen/sat/sgen1-sat-260-100.cnf,1,1,0.8333,0.5829,0,1,0.8333,0.5831
SAT_Competition2009/CRAFTED/edgematching/all/em_7_3_6_all.cnf,1,0,0.6971,0.2345,0.4178,0.7776,0.9281,0.4085
SAT_Competition2009/CRAFTED/Hard/contest05/phnf/phnf-size10-exclusive-equilarge_m3.used-as.sat04-900.sat05-4186.reshuffled-07.cnf,1,0,0.7744,0.0118,1.0314,0.4482,0.7746,0.0389
SAT_Competition2011/SAT02/handmade/pehoushek/plainoldcnf/5cnf_4300_4300_170.shuffled.cnf,1,0,0,0.0005,0.6696,0.3779,0.0003,0.0036
SAT_Competition2007/crafted/Difficult/contest05/others/pmg-12-UNSAT.sat05-3940.reshuffled-07.cnf,1,0,0.0016,0.0063,0.5791,0.5045,1,0.2579
SAT_Competition2009/CRAFTED/modcircuits/mod3block_4vars_11gates_b2.cnf,1,0,0.0107,0,0.5833,0.4035,0.0107,0.0007
SAT_Competition2007/crafted/Hard/contest05/QG/QG7-gensys-icl100.sat05-3226.reshuffled-07.cnf,1,0,0.2825,0,0.9243,0.3878,0.4074,0.6389
SAT_Competition2007/crafted/spence/hard/s109-100.cnf,1,1,0,0.0003,0,1,1,0.001
SAT_Competition2011/SAT11/crafted/skvortsov/automata-synchronization/crn_20_360_u.cnf,1,0,0.0168,0,0.9745,0.2664,0.0702,0.0002
SAT_Competition2011/SAT05/crafted/sorge05/QG7a/gensys-ukn006.shuffled-as.sat05-3846.cnf,1,0,0.0727,0,0.878,0.3077,0.0891,0.6176
SAT_Competition2011/SAT02/handmade/simon/satex-challenges/par32-3.shuffled.cnf,1,0,0.0805,0,0.8047,0.4183,0.3543,0
SAT_Competition2009/CRAFTED/modcircuits/mod3block_2vars_9gates_u2_autoenc.cnf,1,0,0.0201,0.0001,0.6051,0.4001,0.0205,0.0141
SAT_Competition2007/crafted/Medium/contest05/jarvisalo/mod2c-rand3bip-sat-190-3.sat05-2445.reshuffled-07.cnf,1,0,0,0,0.7998,0.3648,0,0.0008
SAT_Competition2011/SAT03/handmade/stanion/hwb/hwb-n32-02-S1478512323.shuffled-as.sat03-1638.cnf,1,0,0.0209,0,0.7546,0.4238,0.4071,0.0001
SAT_Competition2009/CRAFTED/rbsat/random/forced/rbsat-v945c61409gyes4.cnf,1,0.5,0.9349,0.7414,0.0238,0.9939,0.9349,0.7867
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n300-s12830984-sat.cnf,1,0,0.8333,0.5831,0.9873,0.4778,0.8333,0.5831
SAT_Competition2011/SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m37-q505.75-n35-p30-s59841049.cnf,1,0.9231,0.9742,0.832,0.0079,0.9988,0.9742,0.8639
SAT_Competition2011/SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-23_507.cnf,1,1,0.0098,0.6365,0,1,0.927,0.6677
SAT_Competition2011/SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-22_464.cnf,1,1,0.0027,0.6427,0,1,0.92,0.6542
SAT_Competition2007/crafted/spence/medium/s73-100.cnf,1,1,0,0,0,1,1,0.0004
SAT_Competition2009/CRAFTED/edgematching/compact/em_11_3_4_cmp.cnf,1,0,0.1089,0.1024,0.4888,0.403,0.7836,0.4309
SAT_Competition2009/CRAFTED/sgi/sgi-difficult7.cnf,1,0.9091,0.9792,0.8762,0.007,0.9993,0.9792,0.8988
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2100c215164g4.cnf,1,0.8571,0.9523,0.5791,0.0142,0.9969,0.9523,0.7212
SAT_Competition2009/CRAFTED/Hard/contest05/others/sgp_9-8-8.sat05-2674.reshuffled-07.cnf,1,0,0.834,0,0.9701,0.4896,0.9185,0.0387
SAT_Competition2011/SAT09/CRAFTED/edgematching/compact/em_7_3_6_cmp.cnf,1,0,0.2051,0.0045,0.6183,0.4161,0.8122,0.1091
SAT_Competition2011/SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m32-q369.75-n30-p15-s59317012.cnf,1,0.8667,0.962,0.7394,0.0126,0.9977,0.962,0.843
SAT_Competition2011/SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v2640c305320gyes3.cnf,1,0.8947,0.9545,0.1503,0.0126,0.9973,0.9545,0.6826
SAT_Competition2009/CRAFTED/sgen/unsat/sgen1-unsat-85-100.cnf,1,1,0,0,0,1,1,0.0007
SAT_Competition2007/crafted/Hard/contest05/counting-php/easier-fphp-035-029.sat05-1221.reshuffled-07.cnf,1,0,0.9618,0.9108,1.019,0.4862,0.9618,0.9109
SAT_Competition2011/SAT11/crafted/skvortsov/battleship/battleship-6-9-unsat.cnf,1,1,0.7895,0.7155,0,1,0.7895,0.7155
SAT_Competition2009/CRAFTED/edgematching/fbcolors/em_11_3_4_fbc.cnf,1,0,0.314,0.0475,0.5644,0.5404,0.8334,0.5385
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n120-s12930489-sat.cnf,1,0,0.8333,0.5831,0.9858,0.4764,0.8333,0.5831
SAT_Competition2009/CRAFTED/edgematching/fbcolors/em_12_2_4_fbc.cnf,1,0,0.318,0.0158,0.5356,0.5635,0.8269,0.8912
SAT_Competition2011/SAT11/crafted/mosoi/289/289-sat-7x6.cnf,1,1,0.0909,0.5992,0,1,0.0909,0.5993
SAT_Competition2007/crafted/Hard/contest04/connamacher/connm-ue-csp-sat-n1200-d0.00-s1875077647.sat05-530.reshuffled-07.cnf,1,0.1429,0,0.4516,0.5956,0.479,0.8454,0.5426
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n140-s18527668-sat.cnf,1,0,0.8333,0.5831,0.9534,0.494,0.8333,0.5831
SAT_Competition2009/CRAFTED/rbsat/crafted/unforced/rbsat-v2400c266431g5.cnf,1,0.8947,0.9536,0.5666,0.0131,0.9971,0.9536,0.7167
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/unforced/rbsat-v760c43649g5.cnf,1,0.7143,0.9299,0.7384,0.027,0.9927,0.9299,0.7734
SAT_Competition2007/crafted/Medium/contest05/sabharwal/unsat-logistics-rotate-09t5.sat05-1139.reshuffled-07.cnf,1,0,0.9642,0.5918,0.9998,0.4944,0.9809,0.7479
SAT_Competition2007/crafted/Medium/contest05/jarvisalo/mod2-rand3bip-sat-240-3.sat05-2205.reshuffled-07.cnf,1,0.3333,0,0,0.5774,0.5,1,0
SAT_Competition2011/SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q255-n25-p30-s39712998.cnf,1,0.8947,0.972,0.8144,0.011,0.9984,0.972,0.8649
SAT_Competition2011/SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m52-q1041.25-n50-p15-s99099953.cnf,1,0.9394,0.9829,0.3798,0.005,0.9994,0.9829,0.7958
SAT_Competition2011/SAT11/crafted/mosoi/289/289-unsat-21x14.cnf,1,1,0.0114,0.3928,0,1,0.0114,0.3935
SAT_Competition2009/CRAFTED/ramseycube/Q3inK10.cnf,1,1,0,0,0,1,0,0
SAT_Competition2007/crafted/Hard/contest03/looksrandom/hgen7-n390-01-S248216171.sat05-478.reshuffled-07.cnf,1,0.3333,0,0,0.5773,0.4959,1,0
SAT_Competition2007/crafted/Hard/contest04/others/Composite-048BitPrimes-0.sat05-503.reshuffled-07.cnf,1,0,0.0988,0.0004,0.7203,0.4001,0.21,0.162
SAT_Competition2009/CRAFTED/Hard/contest05/counting-clq/unsat-set-a-clqcolor-16-10-11.sat05-1253.reshuffled-07.cnf,1,0,0.0507,0.7833,0.6629,0.4509,0.8734,0.8153
SAT_Competition2011/SAT05/crafted/sorge05/QG7a/gensys-brn002.shuffled-as.sat05-3935.cnf,1,0,0.0801,0,0.8806,0.311,0.0909,0.6447
SAT_Competition2007/crafted/Difficult/contest05/sabharwal/gt-ordering-sat-gt-040.sat05-1297.reshuffled-07.cnf,1,0,0.013,0.4959,0.5851,0.4937,0.9993,0.5024
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g7.cnf,1,0.75,0.9349,0.76,0.0236,0.9939,0.9349,0.7881
SAT_Competition2009/CRAFTED/Hard/contest05/counting-clq/unsat-set-b-fclqcolor-10-07-09.sat05-1282.reshuffled-07.cnf,1,0,0.1741,0.7646,0.7348,0.4509,0.825,0.7658
SAT_Competition2011/SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-24_567.cnf,1,1,0.0088,0.6535,0,1,0.9293,0.6777
SAT_Competition2009/CRAFTED/rbsat/crafted/unforced/rbsat-v1375c111739g6.cnf,1,0.8571,0.9416,0.7879,0.0187,0.9954,0.9416,0.8114
