@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE NEG_HORN_CLAUSE NUMERIC
@ATTRIBUTE TERMORE_CLAUSE NUMERIC
@ATTRIBUTE OCCFP_OCCFN NUMERIC
@ATTRIBUTE LITFP_LITFN NUMERIC
@ATTRIBUTE OCCFP_OCCF NUMERIC
@ATTRIBUTE WOCCEP_WOCC NUMERIC
@ATTRIBUTE WOCCEP_WOCCE NUMERIC
@ATTRIBUTE LITFN_LIT NUMERIC
@ATTRIBUTE WOCCN_WOCC NUMERIC
@ATTRIBUTE OCCP_OCCN NUMERIC
@ATTRIBUTE LITEN_LITN NUMERIC
@ATTRIBUTE WOCCEP_WOCCP NUMERIC
@ATTRIBUTE LITEP_LIT NUMERIC
@ATTRIBUTE LITEN_LITE NUMERIC
@ATTRIBUTE OCCEN_OCCE NUMERIC
@ATTRIBUTE LITN_LIT NUMERIC

@DATA
aim-100-1_6-yes1-3-90-shuffled,1,0.506767,0.242105,0.963855,0.963855,0.490798,0.298424,0.304888,0.150272,0.642775,0.670363,0.748992,0.835395,0.256488,0.63613,0.63613,0.598672
aim-100-2_0-yes1-2-50-shuffled,1,0.52492,0.211029,0.859195,0.859195,0.462133,0.293681,0.319507,0.149292,0.642534,0.679395,0.74928,0.821564,0.276276,0.617577,0.617577,0.595453
aim-100-2_0-yes1-2-90-shuffled,1,0.50601,0.239183,0.961415,0.961415,0.490164,0.288118,0.305698,0.150097,0.642495,0.670968,0.749194,0.805914,0.257239,0.635431,0.635431,0.598456
aim-100-3_4-yes1-1-90-shuffled,1,0.504317,0.244604,0.984586,0.984586,0.496117,0.264192,0.302722,0.149654,0.642523,0.668912,0.750241,0.739047,0.25346,0.639459,0.639459,0.599193
aim-100-6_0-yes1-1-90-shuffled,1,0.498561,0.245376,0.984649,0.984649,0.496133,0.246211,0.302114,0.150173,0.642796,0.667948,0.749519,0.689271,0.252593,0.64016,0.64016,0.599539
aim-100-6_0-yes1-3-90-shuffled,1,0.501645,0.246299,0.989011,0.989011,0.497238,0.246033,0.301841,0.149868,0.642655,0.668132,0.75,0.688503,0.252306,0.640544,0.640544,0.599473
aim-100-6_0-yes1-4-90-shuffled,1,0.500412,0.245058,0.986813,0.986813,0.496681,0.246112,0.301976,0.150165,0.6427,0.668043,0.749518,0.688811,0.25231,0.640405,0.640405,0.599505
aim-200-1_6-yes1-2-90-shuffled,1,0.503351,0.238273,0.973843,0.973843,0.493374,0.29806,0.305269,0.14858,0.642083,0.670829,0.751748,0.832761,0.256801,0.636633,0.636633,0.598505
aim-200-1_6-yes1-4-90-shuffled,1,0.509308,0.236039,0.97379,0.97379,0.493361,0.298532,0.305864,0.14837,0.641736,0.6715,0.752,0.833274,0.257254,0.63621,0.63621,0.598265
aim-200-2_0-yes1-2-90-shuffled,1,0.504505,0.23964,0.967794,0.967794,0.491817,0.287235,0.304779,0.149675,0.642685,0.669618,0.750101,0.803871,0.256206,0.63683,0.63683,0.59894
aim-200-3_4-yes1-1-90-shuffled,1,0.505586,0.244324,0.982642,0.982642,0.495623,0.264326,0.302774,0.149747,0.642646,0.668675,0.75012,0.739676,0.253574,0.639351,0.639351,0.599278
aim-200-3_4-yes1-4-90-shuffled,1,0.50018,0.243253,0.982676,0.982676,0.495631,0.264035,0.302635,0.149863,0.642734,0.668191,0.75,0.739045,0.253281,0.639647,0.639647,0.599452
aim-50-1_6-yes1-1-00-shuffled,1,0.549145,0.173077,0.736527,0.736527,0.424138,0.310489,0.337248,0.145979,0.64147,0.692308,0.752959,0.866003,0.301573,0.596019,0.596019,0.590909
aim-50-1_6-yes1-1-90-shuffled,1,0.501502,0.243243,1.008197,1.008197,0.502041,0.296293,0.302885,0.147165,0.640967,0.671371,0.754032,0.825251,0.253317,0.640411,0.640411,0.598311
aim-50-1_6-yes1-2-00-shuffled,1,0.537473,0.171306,0.657143,0.657143,0.396552,0.314491,0.341737,0.153374,0.64482,0.692878,0.740356,0.885443,0.308501,0.586369,0.586369,0.59071
aim-50-1_6-yes1-2-50-shuffled,1,0.515075,0.201005,0.756579,0.756579,0.430712,0.308854,0.328032,0.155102,0.64513,0.683849,0.738832,0.87033,0.288776,0.603086,0.603086,0.593878
aim-50-1_6-yes1-3-00-shuffled,1,0.555794,0.169528,0.674419,0.674419,0.402778,0.314658,0.341573,0.151142,0.643463,0.693452,0.744048,0.88254,0.307557,0.588235,0.588235,0.59051
aim-50-1_6-yes1-4-50-shuffled,1,0.525773,0.203608,0.884892,0.884892,0.469466,0.303618,0.320845,0.145397,0.64006,0.683099,0.755282,0.843524,0.277197,0.618156,0.618156,0.594142
aim-50-1_6-yes1-4-90-shuffled,1,0.501511,0.238671,1.025,1.025,0.506173,0.296774,0.303226,0.145808,0.639629,0.672764,0.756098,0.823524,0.252734,0.641379,0.641379,0.597813
aim-50-2_0-yes1-1-90-shuffled,1,0.510843,0.240964,0.974194,0.974194,0.493464,0.286221,0.303789,0.150048,0.642692,0.668821,0.749596,0.801048,0.254598,0.638239,0.638239,0.599226
aim-50-2_0-yes1-2-50-shuffled,1,0.541841,0.209205,0.862857,0.862857,0.46319,0.293625,0.320243,0.148305,0.64187,0.680912,0.750712,0.819883,0.277119,0.617096,0.617096,0.594915
aim-50-2_0-yes1-3-90-shuffled,1,0.504808,0.242788,0.974194,0.974194,0.493464,0.287034,0.304487,0.149614,0.642265,0.670968,0.75,0.802365,0.255792,0.636986,0.636986,0.598456
aim-50-3_4-yes1-2-90-shuffled,1,0.505051,0.246753,0.97318,0.97318,0.493204,0.264495,0.302925,0.150954,0.643054,0.668919,0.748069,0.740994,0.253904,0.638386,0.638386,0.59919
aim-50-3_4-yes1-3-90-shuffled,1,0.50431,0.24569,0.961977,0.961977,0.49031,0.265072,0.303831,0.151498,0.643328,0.669231,0.747115,0.74318,0.255184,0.636885,0.636885,0.599078
aim-50-6_0-yes1-3-50-shuffled,1,0.513622,0.236378,0.961373,0.961373,0.490153,0.248316,0.305561,0.149984,0.642693,0.669533,0.749597,0.694966,0.256839,0.636115,0.636115,0.59897
aim-50-6_0-yes1-4-90-shuffled,1,0.500413,0.246903,0.991189,0.991189,0.497788,0.24556,0.301255,0.150182,0.642778,0.667402,0.749586,0.687417,0.251406,0.64134,0.64134,0.599735
biu.mv.xl_ao.bb-b001-p005-OPF05-c02.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-004-shuffled,1,0.520317,0.333284,1,1,0.5,0.409161,0.413145,0.038929,0.583302,0.750112,0.931869,0.981912,0.389679,0.57742,0.57742,0.571392
biu.mv.xl_ao.bb-b001-p010-MIF04-c05.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,0.508913,0.333315,1,1,0.5,0.399161,0.41018,0.053646,0.584612,0.750041,0.906117,0.960935,0.374939,0.579998,0.579998,0.571415
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,0.581874,0.304421,0,0,0,0.411849,0.411849,0,0.588151,0.700244,1,1,0.411849,0.588151,0.588151,0.588151
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-007-shuffled,1,0.515498,0.326662,1,1,0.5,0.406458,0.413126,0.021245,0.584931,0.74272,0.962976,0.979254,0.40494,0.577091,0.577091,0.573816
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.564706,0.309191,1,1,0.5,0.421936,0.416782,0.008112,0.582333,0.731461,0.985955,1.01022,0.414341,0.578826,0.578826,0.577547
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,0.5274,0.321902,1,1,0.5,0.410014,0.412981,0.02199,0.585139,0.74122,0.961711,0.988316,0.4037,0.577728,0.577728,0.57431
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.527745,0.321574,1,1,0.5,0.414163,0.412519,0.020346,0.585752,0.748054,0.964434,0.999795,0.40759,0.575121,0.575121,0.572065
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.50619,0.329473,1,1,0.5,0.405412,0.412955,0.021467,0.585036,0.746325,0.962512,0.976981,0.405902,0.575889,0.575889,0.572631
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.509098,0.328303,1,1,0.5,0.407409,0.411791,0.021205,0.586315,0.74823,0.962929,0.984829,0.406788,0.575196,0.575196,0.572007
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.502997,0.330601,1,1,0.5,0.40476,0.412392,0.023366,0.585429,0.749035,0.959132,0.976333,0.40489,0.575261,0.575261,0.571744
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.520087,0.323152,1,1,0.5,0.413397,0.411665,0.019456,0.586653,0.749726,0.965957,1.00012,0.409026,0.574414,0.574414,0.571518
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.551117,0.313812,1,1,0.5,0.417744,0.413842,0.007136,0.58547,0.733505,0.987629,1.007755,0.415998,0.577979,0.577979,0.576866
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-006-shuffled,1,0.510326,0.327858,1,1,0.5,0.406946,0.412289,0.019522,0.585938,0.745358,0.965926,0.982813,0.407529,0.575912,0.575912,0.572948
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.543881,0.316119,1,1,0.5,0.418829,0.413607,0.012984,0.585043,0.747278,0.977314,1.009332,0.414697,0.574247,0.574247,0.572319
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,0.508017,0.328987,1,1,0.5,0.407041,0.411582,0.021367,0.586496,0.749283,0.962622,0.984369,0.40697,0.574862,0.574862,0.571663
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.505901,0.330171,1,1,0.5,0.404849,0.412151,0.024043,0.585624,0.749142,0.957946,0.977007,0.404249,0.575331,0.575331,0.571709
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.537077,0.317612,1,1,0.5,0.421049,0.413205,0.016235,0.585096,0.759106,0.97144,1.014811,0.415294,0.570768,0.570768,0.568471
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.500587,0.331648,1,1,0.5,0.404158,0.412096,0.024474,0.585613,0.750953,0.957148,0.975313,0.404409,0.574778,0.574778,0.571117
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-003-shuffled,1,0.514998,0.333275,1,1,0.5,0.416762,0.411285,0.031544,0.585659,0.750131,0.944793,1.005844,0.39707,0.576193,0.576193,0.571386
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-004-shuffled,1,0.524501,0.320236,1,1,0.5,0.408155,0.411686,0.024968,0.586126,0.739896,0.956558,0.986183,0.400284,0.578676,0.578676,0.574747
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,0.505029,0.329063,1,1,0.5,0.404406,0.412488,0.022885,0.585349,0.745819,0.960047,0.975292,0.404318,0.576289,0.576289,0.572797
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.51707,0.321629,1,1,0.5,0.412291,0.41052,0.021731,0.587556,0.749346,0.961985,0.999629,0.406627,0.574897,0.574897,0.571642
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,0.505452,0.328103,1,1,0.5,0.405516,0.410926,0.026547,0.586671,0.749694,0.953551,0.981097,0.401925,0.575539,0.575539,0.571528
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.526159,0.320904,1,1,0.5,0.412357,0.411647,0.023552,0.586242,0.748263,0.958826,0.996613,0.404452,0.575555,0.575555,0.571996
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.51017,0.327708,1,1,0.5,0.405371,0.411357,0.027913,0.586116,0.749201,0.951175,0.979433,0.400398,0.575928,0.575928,0.57169
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.503655,0.330348,1,1,0.5,0.402091,0.411886,0.029821,0.585311,0.749572,0.947826,0.96962,0.39861,0.576108,0.576108,0.571568
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.501827,0.331071,1,1,0.5,0.401122,0.412139,0.030375,0.584965,0.749675,0.946854,0.966478,0.39809,0.576162,0.576162,0.571535
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.503088,0.330516,1,1,0.5,0.404089,0.412189,0.02456,0.585506,0.749009,0.957044,0.974896,0.403688,0.575459,0.575459,0.571752
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.53401,0.313494,1,1,0.5,0.422183,0.413052,0.019682,0.584687,0.761487,0.96533,1.016543,0.412616,0.570476,0.570476,0.567702
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.513884,0.324537,1,1,0.5,0.412236,0.410454,0.023928,0.587385,0.755027,0.958006,0.999081,0.406281,0.5733,0.5733,0.569792
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.499798,0.331656,1,1,0.5,0.402151,0.411987,0.028548,0.585308,0.750948,0.950013,0.969758,0.400332,0.575426,0.575426,0.571119
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,0.503302,0.333319,1,1,0.5,0.398862,0.409626,0.049559,0.585457,0.750032,0.91327,0.962172,0.379023,0.579276,0.579276,0.571418
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,0.599495,0.294955,0,0,0,0.405981,0.405981,0,0.594019,0.683448,1,1,0.405981,0.594019,0.594019,0.594019
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-002-shuffled,1,0.57623,0.302049,1,1,0.5,0.422199,0.416928,0.009503,0.58203,0.722922,0.983627,1.01012,0.410088,0.581967,0.581967,0.580409
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-009-shuffled,1,0.508388,0.328287,1,1,0.5,0.401154,0.412213,0.031395,0.584823,0.745666,0.945195,0.966222,0.395758,0.577728,0.577728,0.572847
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.54358,0.312658,1,1,0.5,0.413439,0.414267,0.023374,0.583739,0.732984,0.959493,0.993221,0.399587,0.580817,0.580817,0.577039
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.583605,0.302202,1,1,0.5,0.419914,0.416836,0.006944,0.582393,0.714286,0.988095,1.005524,0.409722,0.584507,0.584507,0.583333
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.51154,0.32693,1,1,0.5,0.405746,0.411477,0.027633,0.586046,0.74806,0.951696,0.980173,0.400305,0.576278,0.576278,0.572063
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.528422,0.318761,1,1,0.5,0.413394,0.412534,0.025628,0.58528,0.746182,0.955248,0.996802,0.401694,0.576604,0.576604,0.572678
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.542173,0.308946,1,1,0.5,0.42764,0.415881,0.022973,0.581699,0.76416,0.959473,1.022326,0.410185,0.570061,0.570061,0.566842
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.516708,0.322417,1,1,0.5,0.413817,0.411445,0.029148,0.586019,0.756245,0.948809,0.999603,0.401455,0.573692,0.573692,0.569396
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-007-shuffled,1,0.501541,0.333326,1,1,0.5,0.38808,0.408674,0.065037,0.584729,0.750016,0.886184,0.934522,0.36354,0.582103,0.582103,0.571423
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-003-shuffled,1,0.523387,0.313278,1,1,0.5,0.409469,0.409844,0.016609,0.588681,0.729675,0.971273,0.995503,0.405248,0.580828,0.580828,0.578143
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-006-shuffled,1,0.505741,0.325854,1,1,0.5,0.405191,0.411324,0.021712,0.586661,0.742455,0.962168,0.980288,0.404385,0.577258,0.577258,0.573903
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-008-shuffled,1,0.50273,0.328148,1,1,0.5,0.404261,0.411954,0.02277,0.585893,0.744772,0.960271,0.976224,0.404089,0.576631,0.576631,0.573141
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,0.505357,0.327513,1,1,0.5,0.402771,0.41199,0.025767,0.585549,0.74363,0.955073,0.971818,0.400717,0.577511,0.577511,0.573516
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,0.50721,0.324962,1,1,0.5,0.407292,0.4099,0.022269,0.58811,0.746566,0.961106,0.988837,0.405179,0.575934,0.575934,0.572552
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-007-shuffled,1,0.500827,0.329675,1,1,0.5,0.404055,0.411454,0.024564,0.586249,0.748495,0.957049,0.976565,0.403515,0.575636,0.575636,0.571921
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,0.522971,0.319996,1,1,0.5,0.407854,0.411933,0.02803,0.585655,0.740514,0.951213,0.984335,0.397426,0.57897,0.57897,0.574543
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.505087,0.328967,1,1,0.5,0.398319,0.41186,0.036985,0.584612,0.746897,0.935391,0.958909,0.390571,0.57823,0.57823,0.572444
