@RELATION 'FEATURE_VALUES-SAT12-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE HORNY_VAR_entropy NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE DIAMETER_entropy NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE SP_bias_max NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE cl_size_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE CG_min NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE CG_mean NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE CG_max NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE DIAMETER_coeff_variation NUMERIC

@DATA
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top21.cnf,1,0.1582,0.196,0.5318,0.1536,0.2397,2.1233,0.3317,0.8331,0.5719,0.8925,1.1555,0.1801,0.4236,0.3949,0.1751,1.2752,2.1745,0.586,0.1568,0.0911,1.9891,0.5833,0.0306,2413,2413,0.3944,0.0784,1687,4638,4617.2,4652,4626,0.6702,4703,1299.2857,0.7204,1098,4327.07,0.9924,909,0.0189,0.0807,0.2768,0.2764,0,4572,793,?,793,4516,0.0461,?,1.5509,0.0037,0.0638,1.8479,?,2.0877,0.0001,0.4071,162526,0.0045,1.7304,0.0927
SAT_Competition2011/SAT03/industrial/schuppan/l2s/dme-03-1-k247-unsat.shuffled-as.sat03-407.cnf,1,0.1331,0.172,0.1373,0.0189,0.5,2.0429,0.2083,0.7697,0.4033,0.7576,1.1342,0.1379,0.473,0.2217,0.5,1.3928,2.5669,0.5,0.1168,0.1096,2.7703,0.9604,0,60,60,0.4675,0.5,60,0,0,0,12797,0.71,12797,60,0.6902,60,12798.7,1,60,0,0.4008,0.0052,0,0,12733,60,?,60,0,0,?,0.8564,0.0013,0.4333,1.3113,?,0.298,0,0,773077,0.001,1.4221,0.09
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-06.cnf,1,0.1638,0.1943,0.1317,0.0109,0.3082,1.302,0.1729,0.6106,0.3408,0.7391,1.06,0.0643,0.6001,0.1929,0.0555,1.1565,1.9732,0.4009,0.0441,0.0478,1.6508,0.9129,0.0015,1361,1361,0.3572,0.0472,1361,7175,7175,7175,7227.5,0.5616,7279,1084.75,1.119,1249,7225.67,0.9996,1124,0,0.0399,0.0122,0.3197,0,7076,605,?,605,7175,0,?,2.1993,0.0033,0.0284,1.0802,?,1.2731,0,0.2668,263137,0.0033,1.8532,0.0855
SAT-Race-2010-CNF/mixed/anbulagan/dated-10-19-u.cnf,1,0.5503,0.1535,0.6119,0.1994,0.1983,3.1522,0.6838,0.9281,0.7836,0.8261,0.976,0.1578,0.7373,0.5065,0.0307,1.2983,2.9225,0.8484,0.2388,0.1814,2.6246,0.6036,0.0464,0,0,0.3448,0.0239,0,0,0,0,22785.5,1.0367,22776,0,0.3471,0,22785.5,0.9846,0,0,0.0138,0.0006,0,0,22776,0,0,0,0,0,0.0001,0.5961,0.0001,0.0116,0.5994,0.0002,0.3587,0,0,1169243,0.0001,0.5438,0.0194
SAT-Race-2010-CNF/software-verification/bitverif/minxorminand128.cnf,1,0.3719,0.0774,0.8199,0.6945,0.4592,1.9719,0.3044,0.4899,0.8322,0.9695,1.819,0.2553,0.4298,0.7111,0.1038,2.0001,2.743,0.862,0.147,0.1316,2.2962,0.33,0.2632,416,393,0.6506,0.1021,281,5091,5096.17,5152,5085,0.5022,5147,210.45,0.6428,243,5090.9,1,126,0.012,0.0669,0.0103,0.6025,0.0003,5032,40,?,32,5020,0.1843,?,1.4871,0.0029,0.0902,1.9974,?,0.2836,0,0.5563,459965,0.0039,2.0361,0.0748
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/minor/minor064.cnf,1,0.3838,0.1111,0.7019,0.3361,0.4725,2.8825,0.6998,0.5069,0.8535,0.8592,1.8901,0.238,0.4416,0.5993,0.2276,2.0589,3.3061,0.8823,0.221,0.1928,2.486,0.4603,0.171,1499,1318,0.644,0.103,1232,609,608.014,632,610,0.5276,631,1097.85,1.1432,1105,609.52,0.9927,1018,0.0602,0.0862,0.0281,0.3355,0.0007,587,832,?,805,590,0.2613,?,1.0689,0.0155,0.0791,1.5188,?,0.3741,0.0005,0.1648,42581,0.0196,1.5715,0.1217
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,0.585,0.1733,0.7644,0.2751,0.1345,2.8426,0.6779,0.8731,0.8447,0.8182,1.0373,0.1638,0.732,0.5835,0.0292,1.3791,2.569,0.8866,0.2625,0.2523,2.3141,0.5482,0.0713,0,0,0.3881,0.022,0,0,0,0,53520,0.9831,53520,0,0.3046,0,53520,0.9626,0,0,0.0156,0,0,0,53520,0,?,0,0,0,?,0.5132,0,0.0156,0.5454,?,0,0,0,1409628,0,0.5361,0.0168
SAT_Competition2007/industrial/industrial/babic/dspam/dspam_dump_vc1080.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_RACE2008/fuhs-aprove-15.cnf,1,0.2219,0.1831,0.2087,0.0674,0.2875,1.9442,0.4262,0.6128,0.3782,0.7143,1.2175,0.1129,0.6119,0.263,0.074,1.2995,2.357,0.6048,0.0735,0.0786,2.0457,0.8312,0.0373,1028,1008,0.3356,0.0442,931,1263,1224.81,1278,1264,0.6555,1292,781.7333,1.2168,768,1263.94,0.9697,716,0.183,0.0377,0.0184,0.4546,0,1227,568,0.0001,495,1246,0.6515,0.0011,1.2355,0.0074,0.025,0.7131,0.0233,0.2227,0.0002,0.1903,74257,0.0112,1.0258,0.0968
SAT_Competition2011/SAT11/application/leberre/2dimensionalstrippacking/E02F17.cnf,1,0.2109,0.083,0.8251,0.8201,0.1496,1.471,0.6967,0.3812,0.8626,0.9432,2.0685,0.207,0.9406,0.839,0.0471,0.9247,1.8012,0.8979,0.3877,0.2882,1.8687,0.0546,0.8061,2183,2183,0.7273,0.0077,1888,2269,1997,2304,2276.5,0.557,2294,1585.6667,0.9844,1572,2281.62,0.9787,1299,0.4046,0.0137,0.0156,0.1894,0.0758,2229,890,?,890,0,0.665,?,1.1089,0.006,0.0037,2.5291,?,0.1475,0.0001,0.2427,69700,0.0107,2.8796,0.1039
SAT_Competition2011/SAT07/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,0.6153,0.178,0.6568,0.2448,0.2053,3.0829,0.7248,0.892,0.8079,0.7647,1.0132,0.1565,0.7552,0.5407,0.0322,1.3751,2.733,0.8601,0.2499,0.1707,2.4536,0.5608,0.0609,348,348,0.371,0.0259,348,14964,14964,14964,14789,1.0416,14792,235.5,0.5534,348,11837.8,0.9829,123,0,0.0155,0.559,0.8137,0,0,123,0,123,14964,0,0.0001,0.4511,0.0002,0.0137,0.4451,0.0003,1.2221,0,0.4777,626501,0.0002,0.4571,0.0289
SAT_Competition2011/SAT07/industrial/anbulagan/medium-unsat/dated-5-11-u.cnf,1,0.6356,0.1843,0.6706,0.2641,0.2037,3.0944,0.7475,0.8874,0.8056,0.7333,1.006,0.1552,0.7631,0.5492,0.0323,1.3814,2.6926,0.8596,0.2522,0.2094,2.4032,0.5442,0.067,1368,1368,0.3767,0.0262,1368,5794,5794,0,11361.5,1.0463,11410,595.3333,0.691,356,11357,0.9902,62,1.4142,0.0158,0.0089,0.8228,0,11204,62,0,62,0,1.071,0.0001,0.4251,0.0002,0.0141,0.4013,0.0004,0.0417,0,0.9396,482639,0.0002,0.4279,0.037
SAT-Race-2010-CNF/hardware-verification/velev/2dlx_ca_bp_f_liveness.cnf,1,0.9069,0.0439,0.9971,0.9718,0.5,4.0238,0.6257,0.9471,0.9996,0.9852,0.5717,0.2372,0.9495,0.9439,0.1988,1.0688,4.077,1,0.5002,0.3333,4.0475,0.1547,0.8346,0,0,0.7212,0.0358,0,0,0,0,0,0.593,0,0,0,0,0,1,0,0,0.0485,0,0,0,0,0,?,0,0,0,?,1.8279,0.0155,0.0036,9.1027,?,0,0,0,4313014,0.0068,7.206,0
SAT_RACE2006/SAT-Race_TS_2/velev-pipe-sat-1.1-03.cnf,1,0.8293,0.0178,0.9995,0.7693,0.5,4.0371,0.31,0.9406,1,0.9849,0.7405,0.3273,0.9403,0.8043,0.3607,0.8957,5.2307,1,0.5141,0.1769,5.0654,0.4204,0.0599,0,0,0.8348,0.2071,0,0,0,0,0,0.3851,0,0,0,0,0,1,0,0,0.0967,0,0,0,0,0,?,0,0,0,?,2.3481,0.0033,0.0003,3.3798,?,0,0,0,4678718,0.0043,2.4637,0
SAT-Race-2010-CNF/software-verification/nec/hard-0-U-7061.cnf,1,0.4386,0.1611,0.4015,0.1635,0.4377,3.0198,0.4956,0.8536,0.8011,1,1.2399,0.1655,0.4758,0.4696,0.1094,1.4908,3.1072,0.9783,0.1496,0.1626,2.562,0.716,0.0664,0,0,0.5172,0.0661,0,12719,12719,12719,12804.5,0.7558,12836,0,0.6562,0,12794.8,1,0,0,0.0459,0.0061,0,0,12686,0,?,0,12719,0,?,1.9106,0.008,0.0293,2.5235,?,1.0559,0,0,841640,0.0097,1.6879,0.0557
SAT_RACE2008/ibm-2002-18r-k90.cnf,1,0.5212,0.1359,0.6558,0.3916,0.3401,3.5936,0.1049,0.6631,0.8338,0.7333,1.6117,0.1598,0.5984,0.5957,0.0871,1.9424,3.62,0.9225,0.22,0.0162,2.9508,0.4749,0.1291,1364,961,0.3553,0.0496,748,18104,18104,18104,18023,1.0315,18040,481.3571,1.5278,535,18046,1,20,0,0.0323,0.0067,0.2414,0,17926,19,?,19,18104,0,?,1.0416,0.0008,0.0155,1.2092,?,0.0207,0,0.8351,721623,0.0008,1.2791,0.0134
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,0.6153,0.178,0.6567,0.2443,0.2055,3.0829,0.5088,0.892,0.8081,0.7647,1.0132,0.1565,0.7552,0.5405,0.0321,1.3751,2.733,0.8601,0.2499,0.1616,2.4536,0.5613,0.0605,348,348,0.371,0.0259,348,14801,14801,14801,14766,1.0416,14897,235.5,0.5521,348,11880.8,0.9829,123,0,0.0155,0.5591,0.8137,0,0,123,0,123,14801,0,0.0001,0.4511,0.0002,0.0137,0.4451,0.0003,1.2185,0,0.4777,626501,0.0002,0.4571,0.0297
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/partial-5-15-u.cnf,1,0.6071,0.1789,0.744,0.2332,0.1485,2.8925,0.6693,0.8708,0.8376,0.7895,1.0274,0.1624,0.7414,0.5711,0.0308,1.3841,2.5651,0.8806,0.2652,0.2139,2.3047,0.56,0.0726,211,211,0.391,0.0257,211,0,0,0,37495,0.9946,37495,211,0.6881,211,37495,0.9451,211,0,0.0161,0,0,0,37495,211,0,211,0,0,0,0.4772,0.0001,0.0165,0.4866,0.0001,0,0,0,1002997,0.0001,0.4875,0.032
SAT_Competition2007/industrial/industrial/babic/xinetd/itox_vc1044.cnf,1,0.0812,0.2186,0.156,0.1488,1,1.6082,0.5478,0.8913,0.1919,1,0.7897,0.0874,0.3481,0.1883,0.0791,1.0625,1.7815,0.2474,0.0915,0.0529,1.4656,0.7331,0.1022,864,721,0.4111,0.0617,630,2795,2795,0,5639,0.6638,5667,433.3571,0.5666,563,5642,1,104,1.4142,0.0615,0.0091,0.3886,0,5584,22,?,21,0,1.1306,?,2.1576,0.0062,0.0505,3.0847,?,1.2569,0.0001,0.6343,356524,0.0248,2.1243,0.0296
SAT_RACE2006/SAT-Race_TS_1/velev-pipe-1.1-05.cnf,1,0.8293,0.0178,0.9995,0.7693,0.5,4.0371,0.2791,0.9406,1,0.9848,0.7405,0.3273,0.9403,0.8043,0.3607,0.8957,5.2304,1,0.5141,0.1679,5.0654,0.4204,0.06,0,0,0.8348,0.2071,0,0,0,0,0,0.3851,0,0,0,0,0,1,0,0,0.0967,0,0,0,0,0,?,0,0,0,?,2.3481,0.0033,0.0003,3.3798,?,0,0,0,4678760,0.0043,2.4637,0
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_3_keyfind_1.cnf,1,0.0181,0.2042,0.0252,0.0027,0.135,1.782,0.6582,0.4828,0.1022,0.25,0.8766,0.0691,0.4079,0.0726,0.1317,1.4091,2.6635,0.2242,0.0509,0.2701,2.0382,1.33,0.0002,4308,4308,0.4628,0.1112,4157,71,71.2358,78,71,0.6186,78,3874.8333,0.7798,4146,71.325,0.3961,3584,0.0762,0.0676,0.077,0.1095,0,64,3424,0.0041,3424,64,0.2205,0.0124,0.28,0.0068,0.0533,0.291,0.0231,0.367,0.0032,0.0874,2664,0.0154,0.3008,0.0752
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-eijkbs6669-tseitin.cnf,1,0.1174,0.2072,0.1209,0.0447,0.438,2.0203,0.0917,0.7211,0.2679,0.8261,1.001,0.0712,0.5045,0.1857,0.1155,1.2865,2.7282,0.4649,0.061,0.0509,2.2559,1.0514,0.009,249,236,0.4177,0.0628,198,11219,11219,11219,11154,0.7889,11154,143.45,1.1607,177,11116.3,1,94,0,0.0543,0.0103,0.2918,0,10988,46,0,13,11219,0,0.0001,1.0087,0.0005,0.0386,0.6056,0.0012,0.2933,0,0.4991,564953,0.0005,0.8703,0.0723
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_4_keyfind_1.cnf,1,0.0161,0.2023,0.0252,0.0027,0.135,1.7705,0.5707,0.4731,0.1023,0.25,0.8682,0.0683,0.4036,0.0721,0.1317,1.3961,2.6419,0.2247,0.0501,0.2395,1.9881,1.3317,0.0001,3775,3775,0.4648,0.1112,3760,94,93.9399,102,94,0.6051,102,3465.2857,1.0381,3459,93.7369,0.3961,3120,0.071,0.068,0.0658,0.0919,0,86,3109,0.003,3109,86,0.2139,0.0093,0.2773,0.005,0.0541,0.2829,0.0171,0.3535,0.0024,0.0739,3488,0.0114,0.2931,0.0906
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.170-NOTKNOWN.cnf,1,0.9607,0.0571,0.9835,0.962,0.5,1.6649,0.3538,0.9978,0.9919,0.9938,0.1789,0.326,0.9607,0.9612,0.0733,0.6491,1.7591,0.9945,0.4263,0.1729,1.686,0.1007,0.9481,0,0,0.7893,0.0575,0,0,0,0,0,0.5036,0,0,0,0,0,0.999,0,0,0.0354,0,0,0.0003,0,0,?,0,0,0,?,0.6947,0.0006,0.0142,1.9072,?,0,0,0,12437620,0.0004,2.1746,0
