@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_tightness_100 NUMERIC
@ATTRIBUTE normalised_standard_deviation_of_node_degree NUMERIC
@ATTRIBUTE clustering_coefficient NUMERIC
@ATTRIBUTE normalised_maximum_degree NUMERIC
@ATTRIBUTE stats_tightness_75 NUMERIC
@ATTRIBUTE normalised_width_of_ordering NUMERIC
@ATTRIBUTE stats_edge_density NUMERIC
@ATTRIBUTE normalised_mean_degree NUMERIC
@ATTRIBUTE normalised_median_degree NUMERIC
@ATTRIBUTE stats_tightness_mean NUMERIC
@ATTRIBUTE normalised_minimum_degree NUMERIC
@ATTRIBUTE stats_tightness_50 NUMERIC
@ATTRIBUTE stats_cts_per_var_mean NUMERIC
@ATTRIBUTE normalised_width_of_graph NUMERIC
@ATTRIBUTE stats_tightness_0 NUMERIC
@ATTRIBUTE stats_tightness_25 NUMERIC
@ATTRIBUTE stats_dom_0 NUMERIC
@ATTRIBUTE stats_literal_tightness_100 NUMERIC
@ATTRIBUTE normalised_SAC_literals NUMERIC
@ATTRIBUTE stats_table_proportion NUMERIC
@ATTRIBUTE stats_sums_proportion NUMERIC
@ATTRIBUTE stats_cts_per_var_mean_normalised NUMERIC
@ATTRIBUTE stats_arity_mean_normalised NUMERIC
@ATTRIBUTE stats_table_count NUMERIC
@ATTRIBUTE mean_degree NUMERIC
@ATTRIBUTE stats_literal_tightness_coeff_of_variation NUMERIC
@ATTRIBUTE stats_or_atleastk_count NUMERIC
@ATTRIBUTE stats_lex_proportion NUMERIC
@ATTRIBUTE median_degree NUMERIC
@ATTRIBUTE maximum_degree NUMERIC
@ATTRIBUTE stats_dom_75 NUMERIC
@ATTRIBUTE stats_dom_100 NUMERIC
@ATTRIBUTE width_of_graph NUMERIC
@ATTRIBUTE minimum_degree NUMERIC
@ATTRIBUTE width_of_ordering NUMERIC
@ATTRIBUTE stats_lex_count NUMERIC
@ATTRIBUTE stats_alldiff_count NUMERIC
@ATTRIBUTE standard_deviation_of_node_degree NUMERIC
@ATTRIBUTE stats_dom_not2_2_ratio NUMERIC
@ATTRIBUTE stats_binary_proportion NUMERIC
@ATTRIBUTE stats_multi_shared_vars NUMERIC
@ATTRIBUTE stats_dom_mean NUMERIC
@ATTRIBUTE stats_tightness_mean_normalised NUMERIC
@ATTRIBUTE stats_conscount NUMERIC
@ATTRIBUTE stats_dom_50 NUMERIC
@ATTRIBUTE stats_alldiff_proportion NUMERIC
@ATTRIBUTE stats_dom_25 NUMERIC
@ATTRIBUTE stats_arity_75 NUMERIC
@ATTRIBUTE stats_literal_tightness_75 NUMERIC
@ATTRIBUTE stats_arity_mean NUMERIC
@ATTRIBUTE stats_arity_50 NUMERIC
@ATTRIBUTE stats_arity_25 NUMERIC
@ATTRIBUTE stats_arity_0 NUMERIC
@ATTRIBUTE stats_arity_100 NUMERIC
@ATTRIBUTE stats_branchingvars NUMERIC
@ATTRIBUTE stats_varcount NUMERIC
@ATTRIBUTE stats_or_atleastk_proportion NUMERIC
@ATTRIBUTE stats_var_discrete NUMERIC
@ATTRIBUTE stats_literal_tightness_25 NUMERIC
@ATTRIBUTE stats_unary_count NUMERIC
@ATTRIBUTE stats_var_bool NUMERIC
@ATTRIBUTE SAC_literals NUMERIC
@ATTRIBUTE stats_sums_count NUMERIC
@ATTRIBUTE stats_literal_tightness_50 NUMERIC

@DATA
1-insertions-5-5.xml.watchless.minion.gz,1,184,0.032959,0,0.331683,184,0.331683,0.06044,0.060141,0.049505,184,0.024752,184,12.148515,0.039604,184,184,5,23,0,0,0,0.009901,0.009901,0,12.148515,0.148324,0,0,10,67,5,5,8,5,67,0,0,6.657663,0,1,0,5,0.149959,1227,5,0,5,2,23,2,2,2,2,2,202,202,0,202,17,0,0,0,0,21
1-insertions-5-6.xml.watchless.minion.gz,1,169,0.032959,0,0.331683,169,0.331683,0.06044,0.060141,0.049505,169,0.024752,169,12.148515,0.039604,169,169,6,20,0,0,0,0.009901,0.009901,0,12.148515,0.153623,0,0,10,67,6,6,8,5,67,0,0,6.657663,0,1,0,6,0.137734,1227,6,0,6,2,19,2,2,2,2,2,202,202,0,202,14,0,0,0,0,18
1-insertions-6-4.xml.watchless.minion.gz,1,263,0.024126,0,0.332784,263,0.332784,0.034455,0.034398,0.029654,263,0.009885,263,20.879736,0.023064,263,263,4,27,0,0,0,0.003295,0.003295,0,20.879736,0.116619,0,0,18,202,4,4,14,6,202,0,0,14.644509,0,1,0,4,0.041502,6337,4,0,4,2,27,2,2,2,2,2,607,607,0,607,26,0,0,0,0,27
1-insertions-6-5.xml.watchless.minion.gz,1,184,0.024126,0,0.332784,184,0.332784,0.034455,0.034398,0.029654,184,0.009885,184,20.879736,0.023064,184,184,5,23,0,0,0,0.003295,0.003295,0,20.879736,0.148324,0,0,18,202,5,5,14,6,202,0,0,14.644509,0,1,0,5,0.029036,6337,5,0,5,2,23,2,2,2,2,2,607,607,0,607,17,0,0,0,0,21
1-insertions-6-6.xml.watchless.minion.gz,1,169,0.024126,0,0.332784,169,0.332784,0.034455,0.034398,0.029654,169,0.009885,169,20.879736,0.023064,169,169,6,20,0,0,0,0.003295,0.003295,0,20.879736,0.153623,0,0,18,202,6,6,14,6,202,0,0,14.644509,0,1,0,6,0.026669,6337,6,0,6,2,19,2,2,2,2,2,607,607,0,607,14,0,0,0,0,18
1-insertions-6-7.xml.watchless.minion.gz,1,154,0.024126,0,0.332784,154,0.332784,0.034455,0.034398,0.029654,154,0.009885,154,20.879736,0.023064,154,154,7,19,0,0,0,0.003295,0.003295,0,20.879736,0.15748,0,0,18,202,7,7,14,6,202,0,0,14.644509,0,1,0,7,0.024302,6337,7,0,7,2,16,2,2,2,2,2,607,607,0,607,13,0,0,0,0,13
2-fullins-3-4.xml.watchless.minion.gz,1,263,0.058075,0.063836,0.288462,263,0.288462,0.151584,0.148669,0.134615,263,0.076923,263,7.730769,0.096154,263,263,4,27,0,0,0,0.038462,0.038462,0,7.730769,0.116619,0,0,7,15,4,4,5,4,15,0,0,3.019904,0,1,0,4,1.308458,201,4,0,4,2,27,2,2,2,2,2,52,52,0,52,26,0,0,0,0,27
2-fullins-3-5.xml.watchless.minion.gz,1,184,0.058075,0.063836,0.288462,184,0.288462,0.151584,0.148669,0.134615,184,0.076923,184,7.730769,0.096154,184,184,5,23,0,0,0,0.038462,0.038462,0,7.730769,0.148324,0,0,7,15,5,5,5,4,15,0,0,3.019904,0,1,0,5,0.915423,201,5,0,5,2,23,2,2,2,2,2,52,52,0,52,17,0,0,0,0,21
2-fullins-4-4.xml.watchless.minion.gz,1,263,0.038637,0.021882,0.259434,263,0.259434,0.072476,0.072134,0.061321,263,0.028302,263,15.292453,0.04717,263,263,4,27,0,0,0,0.009434,0.009434,0,15.292453,0.116619,0,0,13,55,4,4,10,6,55,0,0,8.191075,0,1,0,4,0.162246,1621,4,0,4,2,27,2,2,2,2,2,212,212,0,212,26,0,0,0,0,27
2-fullins-4-5.xml.watchless.minion.gz,1,184,0.038637,0.021882,0.259434,184,0.259434,0.072476,0.072134,0.061321,184,0.028302,184,15.292453,0.04717,184,184,5,23,0,0,0,0.009434,0.009434,0,15.292453,0.148324,0,0,13,55,5,5,10,6,55,0,0,8.191075,0,1,0,5,0.11351,1621,5,0,5,2,23,2,2,2,2,2,212,212,0,212,17,0,0,0,0,21
2-fullins-4-6.xml.watchless.minion.gz,1,169,0.038637,0.021882,0.259434,169,0.259434,0.072476,0.072134,0.061321,169,0.028302,169,15.292453,0.04717,169,169,6,20,0,0,0,0.009434,0.009434,0,15.292453,0.153623,0,0,13,55,6,6,10,6,55,0,0,8.191075,0,1,0,6,0.104257,1621,6,0,6,2,19,2,2,2,2,2,212,212,0,212,14,0,0,0,0,18
2-fullins-5-4.xml.watchless.minion.gz,1,263,0.023979,0.007851,0.252347,263,0.252347,0.033656,0.033616,0.029343,263,0.00939,263,28.640845,0.021127,263,263,4,27,0,0,0,0.002347,0.002347,0,28.640845,0.116619,0,0,25,215,4,4,18,8,215,0,0,20.42989,0,1,0,4,0.021556,12201,4,0,4,2,27,2,2,2,2,2,852,852,0,852,26,0,0,0,0,27
2-fullins-5-5.xml.watchless.minion.gz,1,184,0.023979,0.007851,0.252347,184,0.252347,0.033656,0.033616,0.029343,184,0.00939,184,28.640845,0.021127,184,184,5,23,0,0,0,0.002347,0.002347,0,28.640845,0.148324,0,0,25,215,5,5,18,8,215,0,0,20.42989,0,1,0,5,0.015081,12201,5,0,5,2,23,2,2,2,2,2,852,852,0,852,17,0,0,0,0,21
2-fullins-5-6.xml.watchless.minion.gz,1,169,0.023979,0.007851,0.252347,169,0.252347,0.033656,0.033616,0.029343,169,0.00939,169,28.640845,0.021127,169,169,6,20,0,0,0,0.002347,0.002347,0,28.640845,0.153623,0,0,25,215,6,6,18,8,215,0,0,20.42989,0,1,0,6,0.013851,12201,6,0,6,2,19,2,2,2,2,2,852,852,0,852,14,0,0,0,0,18
2-fullins-5-7.xml.watchless.minion.gz,1,154,0.023979,0.007851,0.252347,154,0.252347,0.033656,0.033616,0.029343,154,0.00939,154,28.640845,0.021127,154,154,7,19,0,0,0,0.002347,0.002347,0,28.640845,0.15748,0,0,25,215,7,7,18,8,215,0,0,20.42989,0,1,0,7,0.012622,12201,7,0,7,2,16,2,2,2,2,2,852,852,0,852,13,0,0,0,0,13
2-insertions-3-3.xml.watchless.minion.gz,1,324,0.025743,0,0.243243,324,0.243243,0.108108,0.105186,0.108108,324,0.081081,324,3.891892,0.081081,324,324,3,35,0,0,0,0.054054,0.054054,0,3.891892,0.037417,0,0,4,9,3,3,3,3,9,0,0,0.952487,0,1,0,3,4.5,72,3,0,3,2,35,2,2,2,2,2,37,37,0,37,32,0,0,0,0,33
2-insertions-3-4.xml.watchless.minion.gz,1,263,0.025743,0,0.243243,263,0.243243,0.108108,0.105186,0.108108,263,0.081081,263,3.891892,0.081081,263,263,4,27,0,0,0,0.054054,0.054054,0,3.891892,0.116619,0,0,4,9,4,4,3,3,9,0,0,0.952487,0,1,0,4,3.652778,72,4,0,4,2,27,2,2,2,2,2,37,37,0,37,26,0,0,0,0,27
2-insertions-4-3.xml.watchless.minion.gz,1,324,0.021708,0,0.248322,324,0.248322,0.049066,0.048737,0.053691,324,0.026846,324,7.261745,0.033557,324,324,3,35,0,0,0,0.013423,0.013423,0,7.261745,0.037417,0,0,8,37,3,3,5,4,37,0,0,3.234454,0,1,0,3,0.598891,541,3,0,3,2,35,2,2,2,2,2,149,149,0,149,32,0,0,0,0,33
2-insertions-4-4.xml.watchless.minion.gz,1,263,0.021708,0,0.248322,263,0.248322,0.049066,0.048737,0.053691,263,0.026846,263,7.261745,0.033557,263,263,4,27,0,0,0,0.013423,0.013423,0,7.261745,0.116619,0,0,8,37,4,4,5,4,37,0,0,3.234454,0,1,0,4,0.486137,541,4,0,4,2,27,2,2,2,2,2,149,149,0,149,26,0,0,0,0,27
2-insertions-4-5.xml.watchless.minion.gz,1,184,0.021708,0,0.248322,184,0.248322,0.049066,0.048737,0.053691,184,0.026846,184,7.261745,0.033557,184,184,5,23,0,0,0,0.013423,0.013423,0,7.261745,0.148324,0,0,8,37,5,5,5,4,37,0,0,3.234454,0,1,0,5,0.340111,541,5,0,5,2,23,2,2,2,2,2,149,149,0,149,17,0,0,0,0,21
2-insertions-5-3.xml.watchless.minion.gz,1,324,0.014236,0,0.249581,324,0.249581,0.022124,0.022087,0.020101,324,0.008375,324,13.18593,0.015075,324,324,3,35,0,0,0,0.00335,0.00335,0,13.18593,0.037417,0,0,12,149,3,3,9,5,149,0,0,8.498927,0,1,0,3,0.082317,3936,3,0,3,2,35,2,2,2,2,2,597,597,0,597,32,0,0,0,0,33
2-insertions-5-4.xml.watchless.minion.gz,1,263,0.014236,0,0.249581,263,0.249581,0.022124,0.022087,0.020101,263,0.008375,263,13.18593,0.015075,263,263,4,27,0,0,0,0.00335,0.00335,0,13.18593,0.116619,0,0,12,149,4,4,9,5,149,0,0,8.498927,0,1,0,4,0.066819,3936,4,0,4,2,27,2,2,2,2,2,597,597,0,597,26,0,0,0,0,27
2-insertions-5-5.xml.watchless.minion.gz,1,184,0.014236,0,0.249581,184,0.249581,0.022124,0.022087,0.020101,184,0.008375,184,13.18593,0.015075,184,184,5,23,0,0,0,0.00335,0.00335,0,13.18593,0.148324,0,0,12,149,5,5,9,5,149,0,0,8.498927,0,1,0,5,0.046748,3936,5,0,5,2,23,2,2,2,2,2,597,597,0,597,17,0,0,0,0,21
2-insertions-5-6.xml.watchless.minion.gz,1,169,0.014236,0,0.249581,169,0.249581,0.022124,0.022087,0.020101,169,0.008375,169,13.18593,0.015075,169,169,6,20,0,0,0,0.00335,0.00335,0,13.18593,0.153623,0,0,12,149,6,6,9,5,149,0,0,8.498927,0,1,0,6,0.042937,3936,6,0,6,2,19,2,2,2,2,2,597,597,0,597,14,0,0,0,0,18
3-fullins-3-5.xml.watchless.minion.gz,1,184,0.049847,0.051742,0.2375,184,0.2375,0.109494,0.108125,0.0875,184,0.05,184,8.65,0.075,184,184,5,23,0,0,0,0.025,0.025,0,8.65,0.148324,0,0,7,19,5,5,6,4,19,0,0,3.987794,0,1,0,5,0.531792,346,5,0,5,2,23,2,2,2,2,2,80,80,0,80,17,0,0,0,0,21
3-fullins-3-6.xml.watchless.minion.gz,1,169,0.049847,0.051742,0.2375,169,0.2375,0.109494,0.108125,0.0875,169,0.05,169,8.65,0.075,169,169,6,20,0,0,0,0.025,0.025,0,8.65,0.153623,0,0,7,19,6,6,6,4,19,0,0,3.987794,0,1,0,6,0.488439,346,6,0,6,2,19,2,2,2,2,2,80,80,0,80,14,0,0,0,0,18
3-fullins-4-5.xml.watchless.minion.gz,1,184,0.026781,0.01485,0.207407,184,0.207407,0.043075,0.042969,0.037037,184,0.014815,184,17.402469,0.02716,184,184,5,23,0,0,0,0.004938,0.004938,0,17.402469,0.148324,0,0,15,84,5,5,11,6,84,0,0,10.846334,0,1,0,5,0.052213,3524,5,0,5,2,23,2,2,2,2,2,405,405,0,405,17,0,0,0,0,21
3-fullins-4-6.xml.watchless.minion.gz,1,169,0.026781,0.01485,0.207407,169,0.207407,0.043075,0.042969,0.037037,169,0.014815,169,17.402469,0.02716,169,169,6,20,0,0,0,0.004938,0.004938,0,17.402469,0.153623,0,0,15,84,6,6,11,6,84,0,0,10.846334,0,1,0,6,0.047957,3524,6,0,6,2,19,2,2,2,2,2,405,405,0,405,14,0,0,0,0,18
3-fullins-4-7.xml.watchless.minion.gz,1,154,0.026781,0.01485,0.207407,154,0.207407,0.043075,0.042969,0.037037,154,0.014815,154,17.402469,0.02716,154,154,7,19,0,0,0,0.004938,0.004938,0,17.402469,0.15748,0,0,15,84,7,7,11,6,84,0,0,10.846334,0,1,0,7,0.0437,3524,7,0,7,2,16,2,2,2,2,2,405,405,0,405,13,0,0,0,0,13
3-fullins-5-5.xml.watchless.minion.gz,1,184,0.013841,0.004678,0.201478,184,0.201478,0.016388,0.01638,0.014286,184,0.003941,184,33.252217,0.010345,184,184,5,23,0,0,0,0.000985,0.000985,0,33.252217,0.148324,0,0,29,409,5,5,21,8,409,0,0,28.096271,0,1,0,5,0.005452,33751,5,0,5,2,23,2,2,2,2,2,2030,2030,0,2030,17,0,0,0,0,21
3-fullins-5-6.xml.watchless.minion.gz,1,169,0.013841,0.004678,0.201478,169,0.201478,0.016388,0.01638,0.014286,169,0.003941,169,33.252217,0.010345,169,169,6,20,0,0,0,0.000985,0.000985,0,33.252217,0.153623,0,0,29,409,6,6,21,8,409,0,0,28.096271,0,1,0,6,0.005007,33751,6,0,6,2,19,2,2,2,2,2,2030,2030,0,2030,14,0,0,0,0,18
3-fullins-5-7.xml.watchless.minion.gz,1,154,0.013841,0.004678,0.201478,154,0.201478,0.016388,0.01638,0.014286,154,0.003941,154,33.252217,0.010345,154,154,7,19,0,0,0,0.000985,0.000985,0,33.252217,0.15748,0,0,29,409,7,7,21,8,409,0,0,28.096271,0,1,0,7,0.004563,33751,7,0,7,2,16,2,2,2,2,2,2030,2030,0,2030,13,0,0,0,0,13
3-fullins-5-8.xml.watchless.minion.gz,1,136,0.013841,0.004678,0.201478,136,0.201478,0.016388,0.01638,0.014286,136,0.003941,136,33.252217,0.010345,136,136,8,20,0,0,0,0.000985,0.000985,0,33.252217,0.401995,0,0,29,409,8,8,21,8,409,0,0,28.096271,0,1,0,8,0.00403,33751,8,0,8,2,20,2,2,2,2,2,2030,2030,0,2030,9,0,0,0,0,13
3-insertions-3-3.xml.watchless.minion.gz,1,324,0.01844,0,0.196429,324,0.196429,0.071429,0.070153,0.071429,324,0.053571,324,3.928571,0.053571,324,324,3,35,0,0,0,0.035714,0.035714,0,3.928571,0.037417,0,0,4,11,3,3,3,3,11,0,0,1.032631,0,1,0,3,2.945455,110,3,0,3,2,35,2,2,2,2,2,56,56,0,56,32,0,0,0,0,33
3-insertions-3-4.xml.watchless.minion.gz,1,263,0.01844,0,0.196429,263,0.196429,0.071429,0.070153,0.071429,263,0.053571,263,3.928571,0.053571,263,263,4,27,0,0,0,0.035714,0.035714,0,3.928571,0.116619,0,0,4,11,4,4,3,3,11,0,0,1.032631,0,1,0,4,2.390909,110,4,0,4,2,27,2,2,2,2,2,56,56,0,56,26,0,0,0,0,27
3-insertions-4-3.xml.watchless.minion.gz,1,324,0.013027,0,0.199288,324,0.199288,0.026589,0.026494,0.02847,324,0.014235,324,7.44484,0.017794,324,324,3,35,0,0,0,0.007117,0.007117,0,7.44484,0.037417,0,0,8,56,3,3,5,4,56,0,0,3.660599,0,1,0,3,0.309751,1046,3,0,3,2,35,2,2,2,2,2,281,281,0,281,32,0,0,0,0,33
3-insertions-4-4.xml.watchless.minion.gz,1,263,0.013027,0,0.199288,263,0.199288,0.026589,0.026494,0.02847,263,0.014235,263,7.44484,0.017794,263,263,4,27,0,0,0,0.007117,0.007117,0,7.44484,0.116619,0,0,8,56,4,4,5,4,56,0,0,3.660599,0,1,0,4,0.251434,1046,4,0,4,2,27,2,2,2,2,2,281,281,0,281,26,0,0,0,0,27
3-insertions-4-5.xml.watchless.minion.gz,1,184,0.013027,0,0.199288,184,0.199288,0.026589,0.026494,0.02847,184,0.014235,184,7.44484,0.017794,184,184,5,23,0,0,0,0.007117,0.007117,0,7.44484,0.148324,0,0,8,56,5,5,5,4,56,0,0,3.660599,0,1,0,5,0.175908,1046,5,0,5,2,23,2,2,2,2,2,281,281,0,281,17,0,0,0,0,21
3-insertions-5-3.xml.watchless.minion.gz,1,324,0.007218,0,0.199858,324,0.199858,0.009816,0.009809,0.01138,324,0.003556,324,13.790896,0.006401,324,324,3,35,0,0,0,0.001422,0.001422,0,13.790896,0.037417,0,0,16,281,3,3,9,5,281,0,0,10.148279,0,1,0,3,0.033419,9695,3,0,3,2,35,2,2,2,2,2,1406,1406,0,1406,32,0,0,0,0,33
3-insertions-5-4.xml.watchless.minion.gz,1,263,0.007218,0,0.199858,263,0.199858,0.009816,0.009809,0.01138,263,0.003556,263,13.790896,0.006401,263,263,4,27,0,0,0,0.001422,0.001422,0,13.790896,0.116619,0,0,16,281,4,4,9,5,281,0,0,10.148279,0,1,0,4,0.027127,9695,4,0,4,2,27,2,2,2,2,2,1406,1406,0,1406,26,0,0,0,0,27
3-insertions-5-5.xml.watchless.minion.gz,1,184,0.007218,0,0.199858,184,0.199858,0.009816,0.009809,0.01138,184,0.003556,184,13.790896,0.006401,184,184,5,23,0,0,0,0.001422,0.001422,0,13.790896,0.148324,0,0,16,281,5,5,9,5,281,0,0,10.148279,0,1,0,5,0.018979,9695,5,0,5,2,23,2,2,2,2,2,1406,1406,0,1406,17,0,0,0,0,21
