@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE NEG_HORN_CLAUSE NUMERIC
@ATTRIBUTE TERMORE_CLAUSE NUMERIC
@ATTRIBUTE OCCFP_OCCFN NUMERIC
@ATTRIBUTE LITFP_LITFN NUMERIC
@ATTRIBUTE OCCFP_OCCF NUMERIC
@ATTRIBUTE WOCCEP_WOCC NUMERIC
@ATTRIBUTE WOCCEP_WOCCE NUMERIC
@ATTRIBUTE LITFN_LIT NUMERIC
@ATTRIBUTE WOCCN_WOCC NUMERIC
@ATTRIBUTE OCCP_OCCN NUMERIC
@ATTRIBUTE LITEN_LITN NUMERIC
@ATTRIBUTE WOCCEP_WOCCP NUMERIC
@ATTRIBUTE LITEP_LIT NUMERIC
@ATTRIBUTE LITEN_LITE NUMERIC
@ATTRIBUTE OCCEN_OCCE NUMERIC
@ATTRIBUTE LITN_LIT NUMERIC
@ATTRIBUTE OCCE_OCC NUMERIC
@ATTRIBUTE OCCEN_OCC NUMERIC
@ATTRIBUTE OCCEN_OCCN NUMERIC
@ATTRIBUTE EXIST_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE FORALL_POS_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE EXIST_SET NUMERIC
@ATTRIBUTE TOTAL_SET NUMERIC
@ATTRIBUTE FORALL_SET NUMERIC
@ATTRIBUTE FORALL_NEG_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE FORALL_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE FORALL_VARS NUMERIC
@ATTRIBUTE W_OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE LITERALS NUMERIC
@ATTRIBUTE TERNARY_MORE_CLAUSES NUMERIC
@ATTRIBUTE CLAUSES NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC

@DATA
Adder2-6-s-shuffled,1,0.726783,0.444877,1,1,0.5,0.414678,0.426414,0.088603,0.566513,0.79617,0.840854,0.956611,0.354657,0.56896,0.56896,0.55674,0.885224,0.503657,0.904654,2.011384,0.216597,3,6,3,0.216597,0.433194,195,6.54792,8160,1485,3338,856.666667
adder-4-sat-shuffled,1,0.030189,0.984906,1.120968,1.120968,0.528517,0.14083,0.108165,0.159486,0.809953,0.370044,0.781498,0.741029,0.091318,0.862002,0.862002,0.729904,1.064863,0.917914,1.257583,3.883019,1.049057,2,4,2,0.935849,1.984906,106,6.328571,3110,522,530,87
adder-6-sat-shuffled,1,0.019063,0.990469,1.12766,1.12766,0.53,0.123948,0.094829,0.146162,0.829222,0.331842,0.805335,0.725786,0.084339,0.877595,0.877595,0.75084,1.086332,0.95336,1.269725,4.399523,1.052423,2,4,2,0.93328,1.985703,237,6.516975,8039,1247,1259,205.5
adder-8-sat-shuffled,1,0.013937,0.993031,1.130964,1.130964,0.530729,0.112944,0.085781,0.136456,0.842999,0.30458,0.821982,0.719382,0.079142,0.888409,0.888409,0.766531,1.107439,0.983859,1.283522,4.839721,1.053136,2,4,2,0.931185,1.984321,420,6.601027,15668,2280,2296,374
adder-8-unsat-shuffled,1,0.001737,0.999566,1.239316,1.239316,0.553435,0.08235,0.071472,0.030826,0.902284,0.192241,0.963248,0.842752,0.12304,0.867836,0.867836,0.838756,1.134441,0.984509,1.173772,9.205818,0.377768,2,3,1,0.30482,0.682588,212,4.773266,22773,2302,2303,485
aim-100-1_6-yes1-3-50-shuffled,1,0.530691,0.205882,0.833333,0.833333,0.454545,0.304989,0.322537,0.149223,0.642786,0.681185,0.749129,0.8538,0.280829,0.613409,0.613409,0.594819,0.93163,0.57147,0.960747,1.792839,0.306905,2,3,1,0.368286,0.675192,100,3.162996,1930,161,782,177
aim-100-1_6-yes1-3-90-shuffled,1,0.506767,0.242105,0.963855,0.963855,0.490798,0.298424,0.304888,0.150272,0.642775,0.670363,0.748992,0.835395,0.256488,0.63613,0.63613,0.598672,0.960283,0.610865,1.020366,1.756391,0.360902,2,3,1,0.374436,0.735338,100,3.300532,1657,161,665,138
aim-100-2_0-yes1-2-50-shuffled,1,0.52492,0.211029,0.859195,0.859195,0.462133,0.293681,0.319507,0.149292,0.642534,0.679395,0.74928,0.821564,0.276276,0.617577,0.617577,0.595453,0.90487,0.558827,0.938492,1.78579,0.317073,2,3,1,0.369035,0.686108,100,3.504032,2331,199,943,198
aim-100-2_0-yes1-2-90-shuffled,1,0.50601,0.239183,0.961415,0.961415,0.490164,0.288118,0.305698,0.150097,0.642495,0.670968,0.749194,0.805914,0.257239,0.635431,0.635431,0.598456,0.924728,0.587601,0.981862,1.757212,0.359375,2,3,1,0.373798,0.733173,100,3.680095,2072,199,832,161
aim-100-3_4-yes1-1-90-shuffled,1,0.504317,0.244604,0.984586,0.984586,0.496117,0.264192,0.302722,0.149654,0.642523,0.668912,0.750241,0.739047,0.25346,0.639459,0.639459,0.599193,0.855825,0.547264,0.913336,1.753957,0.367626,2,3,1,0.373381,0.741007,100,4.644643,3468,340,1390,230
aim-100-6_0-yes1-1-90-shuffled,1,0.498561,0.245376,0.984649,0.984649,0.496133,0.246211,0.302114,0.150173,0.642796,0.667948,0.749519,0.689271,0.252593,0.64016,0.64016,0.599539,0.798915,0.511433,0.853044,1.752158,0.369092,2,3,1,0.374846,0.743938,100,5.526699,6073,597,2433,362
aim-100-6_0-yes1-3-90-shuffled,1,0.501645,0.246299,0.989011,0.989011,0.497238,0.246033,0.301841,0.149868,0.642655,0.668132,0.75,0.688503,0.252306,0.640544,0.640544,0.599473,0.799128,0.511877,0.853878,1.752467,0.370066,2,3,1,0.374178,0.744243,100,5.540146,6072,599,2432,361
aim-100-6_0-yes1-4-90-shuffled,1,0.500412,0.245058,0.986813,0.986813,0.496681,0.246112,0.301976,0.150165,0.6427,0.668043,0.749518,0.688811,0.25231,0.640405,0.640405,0.599505,0.798832,0.511575,0.85333,1.751236,0.369852,2,3,1,0.374794,0.744646,100,5.53163,6060,595,2428,361
aim-200-1_6-yes1-2-90-shuffled,1,0.503351,0.238273,0.973843,0.973843,0.493374,0.29806,0.305269,0.14858,0.642083,0.670829,0.751748,0.832761,0.256801,0.636633,0.636633,0.598505,0.958231,0.610041,1.019274,1.760238,0.360387,2,3,1,0.370067,0.730454,200,3.292651,3345,320,1343,281
aim-200-1_6-yes1-4-90-shuffled,1,0.509308,0.236039,0.97379,0.97379,0.493361,0.298532,0.305864,0.14837,0.641736,0.6715,0.752,0.833274,0.257254,0.63621,0.63621,0.598265,0.957911,0.609433,1.018667,1.760238,0.359643,2,3,1,0.369322,0.728965,200,3.28534,3343,317,1343,282
aim-200-2_0-yes1-2-90-shuffled,1,0.504505,0.23964,0.967794,0.967794,0.491817,0.287235,0.304779,0.149675,0.642685,0.669618,0.750101,0.803871,0.256206,0.63683,0.63683,0.59894,0.924562,0.588788,0.983051,1.757958,0.360961,2,3,1,0.372973,0.733934,200,3.683649,4149,399,1665,322
aim-200-3_4-yes1-1-90-shuffled,1,0.505586,0.244324,0.982642,0.982642,0.495623,0.264326,0.302774,0.149747,0.642646,0.668675,0.75012,0.739676,0.253574,0.639351,0.639351,0.599278,0.85612,0.547361,0.913368,1.754595,0.367207,2,3,1,0.373694,0.740901,200,4.639857,6925,678,2775,459.5
aim-200-3_4-yes1-4-90-shuffled,1,0.50018,0.243253,0.982676,0.982676,0.495631,0.264035,0.302635,0.149863,0.642734,0.668191,0.75,0.739045,0.253281,0.639647,0.639647,0.599452,0.855337,0.547114,0.91269,1.753508,0.367398,2,3,1,0.373875,0.741274,200,4.634581,6933,676,2779,461
aim-50-1_6-yes1-1-00-shuffled,1,0.549145,0.173077,0.736527,0.736527,0.424138,0.310489,0.337248,0.145979,0.64147,0.692308,0.752959,0.866003,0.301573,0.596019,0.596019,0.590909,0.91021,0.542502,0.918081,1.824786,0.262821,2,3,1,0.356838,0.619658,50,3.053957,1144,81,468,114
aim-50-1_6-yes1-1-90-shuffled,1,0.501502,0.243243,1.008197,1.008197,0.502041,0.296293,0.302885,0.147165,0.640967,0.671371,0.754032,0.825251,0.253317,0.640411,0.640411,0.598311,0.959704,0.614605,1.027232,1.753754,0.369369,2,3,1,0.366366,0.735736,50,3.319149,829,81,333,69
aim-50-1_6-yes1-2-00-shuffled,1,0.537473,0.171306,0.657143,0.657143,0.396552,0.314491,0.341737,0.153374,0.64482,0.692878,0.740356,0.885443,0.308501,0.586369,0.586369,0.59071,0.909398,0.533243,0.902715,1.82227,0.246253,2,3,1,0.374732,0.620985,50,3.021583,1141,80,467,114
aim-50-1_6-yes1-2-50-shuffled,1,0.515075,0.201005,0.756579,0.756579,0.430712,0.308854,0.328032,0.155102,0.64513,0.683849,0.738832,0.87033,0.288776,0.603086,0.603086,0.593878,0.927428,0.559318,0.941807,1.791457,0.288945,2,3,1,0.38191,0.670854,50,3.125,980,80,398,91
aim-50-1_6-yes1-3-00-shuffled,1,0.555794,0.169528,0.674419,0.674419,0.402778,0.314658,0.341573,0.151142,0.643463,0.693452,0.744048,0.88254,0.307557,0.588235,0.588235,0.59051,0.910724,0.53572,0.907216,1.824034,0.248927,2,3,1,0.369099,0.618026,50,3.021583,1138,79,466,114
aim-50-1_6-yes1-4-50-shuffled,1,0.525773,0.203608,0.884892,0.884892,0.469466,0.303618,0.320845,0.145397,0.64006,0.683099,0.755282,0.843524,0.277197,0.618156,0.618156,0.594142,0.932175,0.576229,0.96985,1.78866,0.31701,2,3,1,0.358247,0.675258,50,3.172566,956,79,388,88
aim-50-1_6-yes1-4-90-shuffled,1,0.501511,0.238671,1.025,1.025,0.506173,0.296774,0.303226,0.145808,0.639629,0.672764,0.756098,0.823524,0.252734,0.641379,0.641379,0.597813,0.960079,0.615775,1.030046,1.752266,0.371601,2,3,1,0.362538,0.734139,50,3.308511,823,79,331,69
aim-50-2_0-yes1-1-90-shuffled,1,0.510843,0.240964,0.974194,0.974194,0.493464,0.286221,0.303789,0.150048,0.642692,0.668821,0.749596,0.801048,0.254598,0.638239,0.638239,0.599226,0.923705,0.589545,0.983845,1.751807,0.363855,2,3,1,0.373494,0.737349,50,3.690476,1033,100,415,80
aim-50-2_0-yes1-2-50-shuffled,1,0.541841,0.209205,0.862857,0.862857,0.46319,0.293625,0.320243,0.148305,0.64187,0.680912,0.750712,0.819883,0.277119,0.617096,0.617096,0.594915,0.90287,0.557157,0.936532,1.786611,0.3159,2,3,1,0.366109,0.682008,50,3.496032,1180,100,478,101
aim-50-2_0-yes1-3-90-shuffled,1,0.504808,0.242788,0.974194,0.974194,0.493464,0.287034,0.304487,0.149614,0.642265,0.670968,0.75,0.802365,0.255792,0.636986,0.636986,0.598456,0.924831,0.589105,0.984375,1.754808,0.362981,2,3,1,0.372596,0.735577,50,3.7,1036,101,416,80
aim-50-3_4-yes1-2-90-shuffled,1,0.505051,0.246753,0.97318,0.97318,0.493204,0.264495,0.302925,0.150954,0.643054,0.668919,0.748069,0.740994,0.253904,0.638386,0.638386,0.59919,0.856118,0.546533,0.91212,1.751804,0.366522,2,3,1,0.376623,0.743146,50,4.658273,1729,171,693,114
aim-50-3_4-yes1-3-90-shuffled,1,0.50431,0.24569,0.961977,0.961977,0.49031,0.265072,0.303831,0.151498,0.643328,0.669231,0.747115,0.74318,0.255184,0.636885,0.636885,0.599078,0.85554,0.544881,0.909532,1.752874,0.363506,2,3,1,0.377874,0.741379,50,4.639286,1736,171,696,115
aim-50-6_0-yes1-3-50-shuffled,1,0.513622,0.236378,0.961373,0.961373,0.490153,0.248316,0.305561,0.149984,0.642693,0.669533,0.749597,0.694966,0.256839,0.636115,0.636115,0.59897,0.797017,0.506995,0.846444,1.757212,0.358974,2,3,1,0.373397,0.732372,50,5.331808,3107,295,1248,193.5
aim-50-6_0-yes1-4-90-shuffled,1,0.500413,0.246903,0.991189,0.991189,0.497788,0.24556,0.301255,0.150182,0.642778,0.667402,0.749586,0.687417,0.251406,0.64134,0.64134,0.599735,0.798859,0.51234,0.854277,1.749794,0.371594,2,3,1,0.374897,0.746491,50,5.558824,3023,299,1211,179
biu.mv.xl_ao.bb-b001-p005-OPF05-c02.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-004-shuffled,1,0.520317,0.333284,1,1,0.5,0.409161,0.413145,0.038929,0.583302,0.750112,0.931869,0.981912,0.389679,0.57742,0.57742,0.571392,0.952201,0.54982,0.962246,2.151479,0.090828,5,9,4,0.090828,0.181655,96,16.50707,15618,2231,6694,589
biu.mv.xl_ao.bb-b001-p010-MIF04-c05.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,0.508913,0.333315,1,1,0.5,0.399161,0.41018,0.053646,0.584612,0.750041,0.906117,0.960935,0.374939,0.579998,0.579998,0.571415,0.922197,0.534873,0.936049,2.08292,0.12517,6,11,5,0.12517,0.250341,235,22.460063,42799,6114,18343,1185.666667
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,0.581874,0.304421,0,0,0,0.411849,0.411849,0,0.588151,0.700244,1,1,0.411849,0.588151,0.588151,0.588151,1,0.588151,1,2.217683,0,1,1,0,0,0,0,1.369482,25082,3443,11310,7543
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-007-shuffled,1,0.515498,0.326662,1,1,0.5,0.406458,0.413126,0.021245,0.584931,0.74272,0.962976,0.979254,0.40494,0.577091,0.577091,0.573816,0.963607,0.556089,0.969107,2.213716,0.049117,92,183,91,0.049117,0.098235,91,348.669401,79360,11213,34326,155.347826
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.564706,0.309191,1,1,0.5,0.421936,0.416782,0.008112,0.582333,0.731461,0.985955,1.01022,0.414341,0.578826,0.578826,0.577547,1.006642,0.58267,1.008871,2.229412,0.018382,41,81,40,0.018382,0.036765,40,98.168086,6164,841,2720,41.97561
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,0.5274,0.321902,1,1,0.5,0.410014,0.412981,0.02199,0.585139,0.74122,0.961711,0.988316,0.4037,0.577728,0.577728,0.57431,0.970108,0.560459,0.975883,2.200349,0.050611,81,161,80,0.050611,0.101222,80,262.698856,26376,3689,11460,67.024691
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.527745,0.321574,1,1,0.5,0.414163,0.412519,0.020346,0.585752,0.748054,0.964434,0.999795,0.40759,0.575121,0.575121,0.572065,0.982551,0.565086,0.987802,2.215977,0.046998,100,199,99,0.046998,0.093997,99,308.780167,19316,2689,8362,40.86
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.50619,0.329473,1,1,0.5,0.405412,0.412955,0.021467,0.585036,0.746325,0.962512,0.976981,0.405902,0.575889,0.575889,0.572631,0.961788,0.553883,0.96726,2.221992,0.049839,145,289,144,0.049839,0.099677,144,603.871553,177018,25121,76246,201.317241
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.509098,0.328303,1,1,0.5,0.407409,0.411791,0.021205,0.586315,0.74823,0.962929,0.984829,0.406788,0.575196,0.575196,0.572007,0.968192,0.556901,0.97359,2.223643,0.049241,146,291,145,0.049241,0.098482,145,562.505853,75548,10681,32534,89.69863
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.502997,0.330601,1,1,0.5,0.40476,0.412392,0.023366,0.585429,0.749035,0.959132,0.976333,0.40489,0.575261,0.575261,0.571744,0.959496,0.55196,0.965398,2.218494,0.054378,233,465,232,0.054378,0.108756,232,999.371975,222890,31663,95774,152.424893
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.520087,0.323152,1,1,0.5,0.413397,0.411665,0.019456,0.586653,0.749726,0.965957,1.00012,0.409026,0.574414,0.574414,0.571518,0.983865,0.565146,0.98885,2.224891,0.04504,109,217,108,0.04504,0.090081,108,346.191854,22358,3121,9658,41.807339
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.551117,0.313812,1,1,0.5,0.417744,0.413842,0.007136,0.58547,0.733505,0.987629,1.007755,0.415998,0.577979,0.577979,0.576866,1.00303,0.57973,1.004965,2.244414,0.016249,33,65,32,0.016249,0.032498,32,78.825876,6726,927,2954,55.242424
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-006-shuffled,1,0.510326,0.327858,1,1,0.5,0.406946,0.412289,0.019522,0.585938,0.745358,0.965926,0.982813,0.407529,0.575912,0.575912,0.572948,0.96807,0.557523,0.973078,2.227045,0.045244,97,193,96,0.045244,0.090487,96,367.310266,72942,10319,31474,133.680412
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.543881,0.316119,1,1,0.5,0.418829,0.413607,0.012984,0.585043,0.747278,0.977314,1.009332,0.414697,0.574247,0.574247,0.572319,1.001986,0.575387,1.005362,2.239403,0.029851,59,117,58,0.029851,0.059701,58,145.326599,7702,1059,3350,34.254237
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,0.508017,0.328987,1,1,0.5,0.407041,0.411582,0.021367,0.586496,0.749283,0.962622,0.984369,0.40697,0.574862,0.574862,0.571663,0.967741,0.556317,0.973157,2.225375,0.049673,146,291,145,0.049673,0.099347,145,564.695931,76846,10875,33056,90.753425
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.505901,0.330171,1,1,0.5,0.404849,0.412151,0.024043,0.585624,0.749142,0.957946,0.977007,0.404249,0.575331,0.575331,0.571709,0.959344,0.55194,0.965422,2.214753,0.055938,190,379,189,0.055938,0.111877,189,788.477812,147862,20983,63552,127.452632
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.537077,0.317612,1,1,0.5,0.421049,0.413205,0.016235,0.585096,0.759106,0.97144,1.014811,0.415294,0.570768,0.570768,0.568471,1.005576,0.573951,1.009641,2.242094,0.037623,87,173,86,0.037623,0.075245,86,215.976243,8500,1165,3668,25.137931
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.500587,0.331648,1,1,0.5,0.404158,0.412096,0.024474,0.585613,0.750953,0.957148,0.975313,0.404409,0.574778,0.574778,0.571117,0.957699,0.550464,0.963837,2.217513,0.057064,345,689,344,0.057064,0.114128,344,1520.351458,317728,45193,136268,142.669565
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-003-shuffled,1,0.514998,0.333275,1,1,0.5,0.416762,0.411285,0.031544,0.585659,0.750131,0.944793,1.005844,0.39707,0.576193,0.576193,0.571386,0.983254,0.566544,0.991526,2.185909,0.073596,4,7,3,0.073596,0.147192,129,11.814395,13378,1911,5734,652
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-004-shuffled,1,0.524501,0.320236,1,1,0.5,0.408155,0.411686,0.024968,0.586126,0.739896,0.956558,0.986183,0.400284,0.578676,0.578676,0.574747,0.965835,0.558905,0.972437,2.182214,0.05735,89,177,88,0.05735,0.114701,88,278.531082,25312,3529,11020,59.561798
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,0.505029,0.329063,1,1,0.5,0.404406,0.412488,0.022885,0.585349,0.745819,0.960047,0.975292,0.404318,0.576289,0.576289,0.572797,0.95924,0.552799,0.965087,2.214083,0.053099,154,307,153,0.053099,0.106199,153,636.223811,176230,24993,75952,189.246753
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.51707,0.321629,1,1,0.5,0.412291,0.41052,0.021731,0.587556,0.749346,0.961985,0.999629,0.406627,0.574897,0.574897,0.571642,0.981778,0.564422,0.987369,2.211322,0.050238,118,235,117,0.050238,0.100475,117,361.990991,21398,2977,9256,37.576271
