@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE d_ratio_array_cons NUMERIC
@ATTRIBUTE d_ratio_int_vars NUMERIC
@ATTRIBUTE d_ratio_bool_vars NUMERIC
@ATTRIBUTE c_max_domdeg_cons NUMERIC
@ATTRIBUTE c_ent_domdeg_cons NUMERIC
@ATTRIBUTE c_ent_dom_cons NUMERIC
@ATTRIBUTE gr_ent_deg_vg NUMERIC
@ATTRIBUTE c_avg_domdeg_cons NUMERIC
@ATTRIBUTE gr_ent_deg_cg NUMERIC
@ATTRIBUTE dy_props NUMERIC
@ATTRIBUTE gr_ent_diam_vg NUMERIC
@ATTRIBUTE v_ent_domdeg_vars NUMERIC
@ATTRIBUTE gr_ent_clust_cg NUMERIC
@ATTRIBUTE gr_max_clust_cg NUMERIC
@ATTRIBUTE v_cv_deg_vars NUMERIC

@DATA
normalized-25s-smv.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,1.29745,2.977039,0.982142,-1,2151165,3.907571,2.518517,-1,-1,2.373003
normalized-44s-smv.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,1.455197,3.425601,0.971442,4.223542,6012243,3.514837,2.104389,0.63325,1,1.836038
normalized-aim-100-3-4-2.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.785075,2.039848,1,2.485011,7017013,4.831594,0,0.314683,0,0.056398
normalized-aim-100-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.991076,2.120722,1,2.64541,6375579,3.109397,0.257372,0.693265,0,0.28158
normalized-aim-100-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.989197,2.113667,1,2.677766,7761977,3.784292,0.300391,0.669016,0,0.291527
normalized-aim-100-2-0-1.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.921593,0.97968,1,1.631423,6422658,5.093431,0,0.557438,0,0.017655
normalized-aim-200-1-6-2.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.962529,1.65962,1,2.749786,3621241,6.048745,0.346981,0.869218,0,0.183692
normalized-aim-200-1-6-3.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.962529,1.754486,1,2.656297,1385719,5.961278,0.296923,0.876538,0,0.182509
normalized-4-fullins-3-6.xml.mzn_AND_NODATA,1,1,0,1,0,2.584963,0,0,2.572158,2.584963,3.640354,3065542,4.480348,1.099409,0.999445,0,0.522207
normalized-aim-200-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,0.556328,0.443672,0.333333,0.666667,1,0,0.990366,2.101026,1,2.576131,3421639,3.363379,0.218878,0.687864,0,0.283405
normalized-3-insertions-5-3.xml.mzn_AND_NODATA,1,1,0,1,0,1.584963,0,0,2.317467,1.584963,-1,4845118,5.608482,0.238234,-1,-1,0.735868
normalized-2-insertions-5-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928,0,0,2.650763,2.321928,3.546667,1828490,3.802394,0.982424,0.998867,0,0.644545
normalized-aim-200-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.990159,2.017101,1,2.65735,4255654,3.907037,0.264765,0.687315,0,0.28318
normalized-4-fullins-4-7.xml.mzn_AND_NODATA,1,1,0,1,0,2.807355,0,0,3.730763,2.807355,5.296715,612809,3.840313,0.972621,0.976223,0,0.700023
normalized-aim-100-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,0.501253,0.498747,0.333333,0.666667,1,0,0.999995,1.470759,1,1.478513,9182115,3.500223,0,0.999887,0,0.283145
normalized-aim-200-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.991076,1.956294,1,2.673259,2435667,3.9007,0.242292,0.684312,0,0.287704
normalized-aim-200-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.990623,2.077507,1,2.625435,2018970,3.142562,0.272065,0.684312,0,0.282724
normalized-aim-200-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,0.55788,0.44212,0.333333,0.666667,1,0,0.989838,2.075345,1,2.713905,2970264,4.168898,0.226794,0.685961,0,0.286798
normalized-aim-200-2-0-sat-2_ext.xml.mzn_AND_NODATA,1,0.500626,0.499374,0.333333,0.666667,1,0,0.99999,1.533759,1,1.489336,6453513,2.940062,0,0.999945,0,0.283048
normalized-aim-200-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.989197,2.09155,1,2.594054,3825969,3.268288,0.279274,0.669016,0,0.28409
normalized-aim-200-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,0.500626,0.499374,0.333333,0.666667,1,0,0.99999,1.50643,1,1.473556,6597490,3.578389,0,0.999945,0,0.283048
normalized-aim-200-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,0.500626,0.499374,0.333333,0.666667,1,0,0.999972,1.442657,1,1.43333,4188662,3.634239,0,0.999908,0,0.283097
normalized-4-insertions-3-3.xml.mzn_AND_NODATA,1,1,0,1,0,1.584963,0,0,0.739735,1.584963,1.040852,8351990,3.830085,0.097941,0.413817,0,0.275902
normalized-5-fullins-4-8.xml.mzn_AND_NODATA,1,1,0,1,0,3,0,0,3.541915,3,-1,555066,3.512272,0.943749,-1,-1,0.767947
normalized-aim-100-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,0.502513,0.497487,0.333333,0.666667,1,0,0.999836,1.57248,1,1.623311,7035739,3.126317,0,0.999107,0,0.28358
normalized-aim-100-1-6-2.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.9638,1.739078,1,2.582748,4802389,5.324877,0.307268,0.894941,0,0.174003
normalized-aim-100-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.991076,2.090999,1,2.588039,6101168,3.097818,0.226794,0.693265,0,0.284318
normalized-2-fullins-5-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928,0,0,5.055056,2.321928,-1,3419062,3.246226,0.185125,-1,-1,0.713313
normalized-aim-200-3-4-sat-3_ext.xml.mzn_AND_NODATA,1,0.370714,0.629286,0.333333,0.666667,1,0,0.952623,2.156002,1,2.288831,5964331,2.261925,0.918296,0.951218,0,0.411442
normalized-aim-50-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.568182,0.431818,0.333333,0.666667,1,0,0.9842,2.364002,1,2.7651,9170036,3.582909,0.272065,0.63213,0,0.302833
normalized-aim-100-3-4-3.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.773227,2.062447,1,2.502383,7891872,4.720999,0,0.367618,0,0.051841
normalized-aim-200-2-0-1.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.919953,0.949456,1,1.585819,-1,5.95698,0,0.519703,0,0.012492
normalized-43s-smv.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,1.264645,3.309212,0.987359,-1,1762333,4.080703,1.749091,-1,-1,2.247258
normalized-aim-200-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.990623,2.052007,1,2.635496,5917844,4.041541,0.264765,0.678251,0,0.286133
normalized-aim-100-1-6-3.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.961237,1.759055,1,2.690314,5860924,5.246506,0.307268,0.871684,0,0.183676
normalized-aim-100-1-6-1.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.9638,1.760689,1,2.687123,5280863,5.65613,0.327445,0.876538,0,0.188369
normalized-aim-200-1-6-sat-2_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.990623,2.024709,1,2.648181,-1,3.272931,0.257372,0.684312,0,0.284093
normalized-aim-200-6-0-sat-4_ext.xml.mzn_AND_NODATA,1,0.252845,0.747155,0.333333,0.666667,1,0,0.822598,2.381853,1,2.282858,9271430,2.102991,0.918296,0.815756,0,0.513342
normalized-3-fullins-5-7.xml.mzn_AND_NODATA,1,1,0,1,0,2.807355,0,0,4.858298,2.807355,-1,303406,3.257389,0.406676,-1,-1,0.844944
normalized-aim-200-2-0-2.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.919953,0.882662,1,1.526476,3435486,5.83247,0,0.538867,0,0.012492
normalized-3-fullins-4-6.xml.mzn_AND_NODATA,1,1,0,1,0,2.584963,0,0,3.790965,2.584963,5.381285,972931,3.532405,0.918296,0.953276,0,0.623264
normalized-aim-50-2-0-3.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.918296,0.881291,1,1.505823,8876302,4.358704,0,0.56651,0,0
normalized-aim-200-2-0-4.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.921593,0.922841,1,1.57099,4165923,5.790181,0,0.489779,0,0.017655
normalized-aim-100-2-0-sat-4_ext.xml.mzn_AND_NODATA,1,0.501253,0.498747,0.333333,0.666667,1,0,0.999995,1.580294,1,1.555603,7162421,2.808773,0,0.999887,0,0.283145
normalized-aim-200-3-4-sat-1_ext.xml.mzn_AND_NODATA,1,0.370714,0.629286,0.333333,0.666667,1,0,0.952623,2.2784,1,2.409164,6933082,2.404782,0.918296,0.951923,0,0.411986
normalized-aim-100-2-0-2.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.924819,0.837356,1,1.510346,7313012,5.338131,0,0.499916,0,0.024937
normalized-army8-9ls.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,2.097437,2.099008,1,3.501104,9008374,2.860616,0.37602,0.27867,0,0.226633
normalized-aim-100-2-0-unsat-4_ext.xml.mzn_AND_NODATA,1,0.5,0.5,0.333333,0.666667,1,0,1,1.508074,1,1.442333,4873377,3.253042,0,1,0,0.282843
normalized-aim-200-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,0.500626,0.499374,0.333333,0.666667,1,0,0.99999,1.449018,1,1.439747,4668533,3.530669,0,0.999945,0,0.283048
normalized-5-fullins-4-7.xml.mzn_AND_NODATA,1,1,0,1,0,2.807355,0,0,3.541915,2.807355,-1,369736,3.512272,0.944504,-1,-1,0.767947
normalized-army13-24bt.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,2.195563,2.784642,1,5.019057,9255107,2.683512,0.120286,0.80202,1,0.566774
normalized-aim-100-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0.560224,0.439776,0.333333,0.666667,1,0,0.988508,2.081276,1,2.623953,7666465,3.596126,0.226794,0.678481,0,0.280846
normalized-aim-200-3-4-3.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.777218,1.845122,1,2.340076,5164807,5.421176,0,0.323826,0,0.049487
normalized-anna-10.xml.mzn_AND_NODATA,1,1,0,1,0,3.321928,0,0,3.71276,3.321928,6.12487,3702927,0.9706,2.480592,0.196524,1,1.459621
normalized-aim-200-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,0.501882,0.498118,0.333333,0.666667,1,0,0.999972,1.617838,1,1.590765,5086160,2.971946,0,0.999672,0,0.28333
normalized-army12-21bt.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,2.21476,2.906369,1,4.920755,9466253,2.526081,0.13403,0.808745,1,0.528089
normalized-army10-14ls.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,2.096156,2.022179,1,3.563457,8180178,2.144256,0.289079,0.212201,0,0.2761
normalized-army12-21ls.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,2.07194,1.934548,1,3.728809,7408256,2.095844,0.230163,0.16784,0,0.330747
normalized-aim-200-6-0-4.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.608483,2.171066,1,2.145544,7923558,4.69373,0,0.08151,0,0.035548
normalized-aim-200-6-0-3.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.602966,2.043954,1,1.924114,9310706,4.466039,0,0.095128,0,0.028888
normalized-aim-200-3-4-sat-4_ext.xml.mzn_AND_NODATA,1,0.371402,0.628598,0.333333,0.666667,1,0,0.953142,2.255594,1,2.381581,7693868,2.198748,0.918296,0.951743,0,0.411827
normalized-army10-14bt.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,2.251027,3.052278,1,4.785444,9895152,2.603599,0.170331,0.825953,1,0.449635
normalized-2-fullins-4-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928,0,0,3.879839,2.321928,5.267863,3015692,2.767442,0.846562,0.936604,0,0.535629
normalized-aim-200-2-0-sat-4_ext.xml.mzn_AND_NODATA,1,0.500626,0.499374,0.333333,0.666667,1,0,0.999972,1.55866,1,1.52534,5078300,2.924479,0,0.999908,0,0.283097
normalized-aim-200-6-0-1.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.609209,2.061693,1,2.02335,9061863,4.73934,0,0.11739,0,0.030645
normalized-aim-50-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1,0,0.989197,2.258917,1,2.645329,8281803,3.206626,0.210842,0.687315,0,0.282028
normalized-aim-200-6-0-sat-2_ext.xml.mzn_AND_NODATA,1,0.251731,0.748269,0.333333,0.666667,1,0,0.820859,2.262288,1,2.065668,9534837,2.062481,0.918296,0.81401,0,0.513843
normalized-aim-100-3-4-1.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.777218,1.93309,1,2.420837,8466750,4.550669,0,0.384312,0,0.050828
normalized-aim-100-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,0.5,0.5,0.333333,0.666667,1,0,1,1.401,1,1.362028,7371448,3.319392,0,1,0,0.282843
normalized-aim-200-3-4-1.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.777674,2.040156,1,2.487933,4215823,5.457308,0,0.286639,0,0.055669
normalized-aim-200-2-0-unsat-4_ext.xml.mzn_AND_NODATA,1,0.5,0.5,0.333333,0.666667,1,0,0.999959,1.423433,1,1.410714,4660641,3.447662,0,0.999959,0,0.282998
normalized-aim-200-3-4-4.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.777218,1.953641,1,2.394974,5887434,5.315041,0,0.350468,0,0.052135
normalized-aim-50-1-6-2.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.961237,1.711337,1,2.593722,5354631,4.777502,0.327445,0.91571,0,0.176471
normalized-aim-50-1-6-1.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.961237,1.482287,1,2.517587,7964468,4.380526,0.141441,0.881291,0,0.166378
normalized-aim-50-1-6-4.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.970951,1.753891,1,2.518754,6816556,4.59811,0.327445,0.881291,0,0.176427
normalized-anna-9.xml.mzn_AND_NODATA,1,1,0,1,0,3.169925,0,0,3.71276,3.169925,6.12487,7169802,0.9706,2.495716,0.196524,1,1.459621
normalized-army9-12ls.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,2.100949,2.063054,1,3.613157,8572732,3.199684,0.328042,0.241835,0,0.249991
normalized-aim-200-6-0-2.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.607325,1.957861,1,1.803914,8966303,4.697244,0,0.080983,0,0.023028
normalized-bibd-6-50-25-3-10_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.500372,0.863121,1,0.522449,3342908,2.272929,0.863121,0.42461,0,0.658808
normalized-aim-200-1-6-4.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.966273,1.759882,1,2.676995,2851779,6.224599,0.375185,0.869218,0,0.184902
normalized-bibd-6-60-30-3-12_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.479337,0.863121,1,0.497814,3306510,2.378979,0.863121,0.411166,0,0.658808
normalized-ash608GPIA-4.xml.mzn_AND_NODATA,1,1,0,1,0,2,0,0,3.443623,2,4.25573,579565,6.583859,0.28963,0.263088,1,0.207163
normalized-army9-12bt.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,2.254488,3.04712,1,4.820221,9997491,2.635858,0.194769,0.83715,1,0.4109
normalized-22s-smv.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,1.283164,2.742252,0.989657,-1,1406546,3.867423,1.659099,-1,-1,2.286695
normalized-aim-200-2-0-3.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.919953,0.90705,1,1.552177,2927023,5.994153,0,0.543564,0,0.012492
normalized-aim-100-2-0-sat-2_ext.xml.mzn_AND_NODATA,1,0.5,0.5,0.333333,0.666667,1,0,0.999928,1.476533,1,1.459074,7916610,2.825083,0,0.999928,0,0.283048
normalized-bibd-7-42-18-3-6_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.450352,0.811278,1,0.474213,2639841,2.150878,0.811278,0.378959,0,0.742307
normalized-aim-100-3-4-4.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.777218,1.933858,1,2.416202,7882466,4.692446,0,0.37602,0,0.053411
normalized-5-fullins-4-6.xml.mzn_AND_NODATA,1,1,0,1,0,2.584963,0,0,3.541915,2.584963,-1,330617,3.512272,0.813825,-1,-1,0.767947
normalized-army13-24ls.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,2.055656,1.890293,1,3.784093,7225554,2.514838,0.207527,0.150935,0,0.357901
normalized-aim-200-1-6-1.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.962529,1.738817,1,2.704841,2291504,6.223879,0.365924,0.876538,0,0.181319
normalized-bibd-6-40-20-3-8_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.529767,0.863121,1,0.557188,3240096,2.386728,0.863121,0.444049,0,0.658808
normalized-aim-200-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,0.500626,0.499374,0.333333,0.666667,1,0,0.99999,1.54511,1,1.509254,5769473,2.893114,0,0.999945,0,0.283048
normalized-bibd-6-70-35-3-14_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.463471,0.863121,1,0.479356,3371650,2.386733,0.863121,0.401314,0,0.658808
normalized-aim-200-6-0-sat-3_ext.xml.mzn_AND_NODATA,1,0.252685,0.747315,0.333333,0.666667,1,0,0.820409,2.339208,1,2.201436,-1,1.977091,0.918296,0.815506,0,0.513639
normalized-aim-50-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,0.5,0.5,0.333333,0.666667,1,0,1,1.520409,1,1.451585,10214299,2.959296,0,1,0,0.282843
normalized-bibd-7-35-15-3-5_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.476702,0.811278,1,0.505168,2686459,2.34306,0.811278,0.398459,0,0.742307
normalized-bibd-9-36-12-3-3_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.381056,0.721928,1,0.404648,1953081,1.981078,0.721928,0.322757,0,0.888889
normalized-bibd-7-63-27-3-9_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.40181,0.811278,1,0.417875,2766531,2.305374,0.811278,0.344501,0,0.742307
normalized-bibd-8-42-21-4-9_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.398056,0.764205,1,0.419995,2588388,2.135125,0.764205,0.336121,0,0.818488
normalized-bibd-16-16-6-6-2_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.378336,0.522559,1,0.448248,2419654,1.438304,0.522559,0.378336,0,1.283725
normalized-bibd-6-100-50-3-20_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.432721,0.863121,1,0.443903,3392214,2.366011,0.863121,0.383025,0,0.658808
normalized-ash958GPIA-4.xml.mzn_AND_NODATA,1,1,0,1,0,2,0,0,3.501116,2,-1,526015,7.034622,0.268361,-1,-1,0.215094
normalized-army11-17bt.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,2.233478,2.919083,1,4.906726,9437363,2.638211,0.150451,0.816622,1,0.491384
normalized-bf-2670-001.xml.mzn_AND_NODATA,1,1,0,1,0,1,0,0.843055,3.110408,0.993736,3.818307,2602416,4.427165,1.900243,0.922415,1,0.698487
normalized-anna-8.xml.mzn_AND_NODATA,1,1,0,1,0,3,0,0,3.71276,3,6.12487,9616967,0.9706,2.456302,0.196524,1,1.459621
