@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 8'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE NEG_HORN_CLAUSE NUMERIC
@ATTRIBUTE TERMORE_CLAUSE NUMERIC
@ATTRIBUTE OCCFP_OCCFN NUMERIC
@ATTRIBUTE LITFP_LITFN NUMERIC
@ATTRIBUTE OCCFP_OCCF NUMERIC
@ATTRIBUTE WOCCEP_WOCC NUMERIC
@ATTRIBUTE WOCCEP_WOCCE NUMERIC
@ATTRIBUTE LITFN_LIT NUMERIC

@DATA
aim-50-1_6-yes1-2-50-shuffled,1,0.515075,0.201005,0.756579,0.756579,0.430712,0.308854,0.328032,0.155102
aim-50-1_6-yes1-3-00-shuffled,1,0.555794,0.169528,0.674419,0.674419,0.402778,0.314658,0.341573,0.151142
aim-50-1_6-yes1-4-50-shuffled,1,0.525773,0.203608,0.884892,0.884892,0.469466,0.303618,0.320845,0.145397
aim-50-1_6-yes1-4-90-shuffled,1,0.501511,0.238671,1.025,1.025,0.506173,0.296774,0.303226,0.145808
aim-50-2_0-yes1-1-90-shuffled,1,0.510843,0.240964,0.974194,0.974194,0.493464,0.286221,0.303789,0.150048
aim-50-2_0-yes1-2-50-shuffled,1,0.541841,0.209205,0.862857,0.862857,0.46319,0.293625,0.320243,0.148305
aim-50-2_0-yes1-3-90-shuffled,1,0.504808,0.242788,0.974194,0.974194,0.493464,0.287034,0.304487,0.149614
aim-50-3_4-yes1-2-90-shuffled,1,0.505051,0.246753,0.97318,0.97318,0.493204,0.264495,0.302925,0.150954
aim-50-3_4-yes1-3-90-shuffled,1,0.50431,0.24569,0.961977,0.961977,0.49031,0.265072,0.303831,0.151498
aim-50-6_0-yes1-3-50-shuffled,1,0.513622,0.236378,0.961373,0.961373,0.490153,0.248316,0.305561,0.149984
aim-50-6_0-yes1-4-90-shuffled,1,0.500413,0.246903,0.991189,0.991189,0.497788,0.24556,0.301255,0.150182
biu.mv.xl_ao.bb-b001-p005-OPF05-c02.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-004-shuffled,1,0.520317,0.333284,1,1,0.5,0.409161,0.413145,0.038929
biu.mv.xl_ao.bb-b001-p010-MIF04-c05.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,0.508913,0.333315,1,1,0.5,0.399161,0.41018,0.053646
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,0.581874,0.304421,0,0,0,0.411849,0.411849,0
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-007-shuffled,1,0.515498,0.326662,1,1,0.5,0.406458,0.413126,0.021245
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.564706,0.309191,1,1,0.5,0.421936,0.416782,0.008112
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,0.5274,0.321902,1,1,0.5,0.410014,0.412981,0.02199
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.527745,0.321574,1,1,0.5,0.414163,0.412519,0.020346
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.50619,0.329473,1,1,0.5,0.405412,0.412955,0.021467
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.509098,0.328303,1,1,0.5,0.407409,0.411791,0.021205
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.502997,0.330601,1,1,0.5,0.40476,0.412392,0.023366
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.520087,0.323152,1,1,0.5,0.413397,0.411665,0.019456
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.551117,0.313812,1,1,0.5,0.417744,0.413842,0.007136
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-006-shuffled,1,0.510326,0.327858,1,1,0.5,0.406946,0.412289,0.019522
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.543881,0.316119,1,1,0.5,0.418829,0.413607,0.012984
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,0.508017,0.328987,1,1,0.5,0.407041,0.411582,0.021367
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.505901,0.330171,1,1,0.5,0.404849,0.412151,0.024043
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.537077,0.317612,1,1,0.5,0.421049,0.413205,0.016235
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.500587,0.331648,1,1,0.5,0.404158,0.412096,0.024474
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-003-shuffled,1,0.514998,0.333275,1,1,0.5,0.416762,0.411285,0.031544
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-004-shuffled,1,0.524501,0.320236,1,1,0.5,0.408155,0.411686,0.024968
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,0.505029,0.329063,1,1,0.5,0.404406,0.412488,0.022885
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.51707,0.321629,1,1,0.5,0.412291,0.41052,0.021731
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,0.505452,0.328103,1,1,0.5,0.405516,0.410926,0.026547
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.526159,0.320904,1,1,0.5,0.412357,0.411647,0.023552
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.51017,0.327708,1,1,0.5,0.405371,0.411357,0.027913
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.503655,0.330348,1,1,0.5,0.402091,0.411886,0.029821
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.501827,0.331071,1,1,0.5,0.401122,0.412139,0.030375
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.503088,0.330516,1,1,0.5,0.404089,0.412189,0.02456
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.53401,0.313494,1,1,0.5,0.422183,0.413052,0.019682
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.513884,0.324537,1,1,0.5,0.412236,0.410454,0.023928
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.499798,0.331656,1,1,0.5,0.402151,0.411987,0.028548
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,0.503302,0.333319,1,1,0.5,0.398862,0.409626,0.049559
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,0.599495,0.294955,0,0,0,0.405981,0.405981,0
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-002-shuffled,1,0.57623,0.302049,1,1,0.5,0.422199,0.416928,0.009503
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-009-shuffled,1,0.508388,0.328287,1,1,0.5,0.401154,0.412213,0.031395
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.54358,0.312658,1,1,0.5,0.413439,0.414267,0.023374
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.583605,0.302202,1,1,0.5,0.419914,0.416836,0.006944
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.51154,0.32693,1,1,0.5,0.405746,0.411477,0.027633
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.528422,0.318761,1,1,0.5,0.413394,0.412534,0.025628
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.542173,0.308946,1,1,0.5,0.42764,0.415881,0.022973
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.516708,0.322417,1,1,0.5,0.413817,0.411445,0.029148
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-007-shuffled,1,0.501541,0.333326,1,1,0.5,0.38808,0.408674,0.065037
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-003-shuffled,1,0.523387,0.313278,1,1,0.5,0.409469,0.409844,0.016609
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-006-shuffled,1,0.505741,0.325854,1,1,0.5,0.405191,0.411324,0.021712
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-008-shuffled,1,0.50273,0.328148,1,1,0.5,0.404261,0.411954,0.02277
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,0.505357,0.327513,1,1,0.5,0.402771,0.41199,0.025767
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,0.50721,0.324962,1,1,0.5,0.407292,0.4099,0.022269
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-007-shuffled,1,0.500827,0.329675,1,1,0.5,0.404055,0.411454,0.024564
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,0.522971,0.319996,1,1,0.5,0.407854,0.411933,0.02803
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.505087,0.328967,1,1,0.5,0.398319,0.41186,0.036985
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,0.508233,0.325951,1,1,0.5,0.407799,0.410723,0.026144
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.501852,0.329985,1,1,0.5,0.402748,0.411572,0.029508
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.500977,0.330511,1,1,0.5,0.401984,0.411761,0.030016
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.500329,0.330896,1,1,0.5,0.401407,0.411915,0.030401
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.49983,0.33119,1,1,0.5,0.400955,0.412042,0.030703
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.547215,0.304681,1,1,0.5,0.422778,0.414039,0.018951
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.52257,0.319697,1,1,0.5,0.412673,0.411301,0.025734
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.504025,0.329499,1,1,0.5,0.401882,0.411577,0.032258
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.510661,0.323965,1,1,0.5,0.412397,0.410122,0.025136
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-006-shuffled,1,0.501297,0.330306,1,1,0.5,0.40379,0.411224,0.028941
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-008-shuffled,1,0.499912,0.333328,1,1,0.5,0.389829,0.409423,0.057154
BLOCKS3i.5.3-shuffled,1,0.44018,0.45332,1.474227,1.474227,0.595833,0.37055,0.372994,0.010584
BLOCKS3ii.5.2-shuffled,1,0.494644,0.388992,1.474227,1.474227,0.595833,0.328823,0.331892,0.013018
BLOCKS3iii.5-shuffled,1,0.413624,0.140599,1.474227,1.474227,0.595833,0.267361,0.27378,0.022506
BLOCKS4ii.7.2-shuffled,1,0.354157,0.292749,1.425911,1.425911,0.587784,0.249751,0.261811,0.030462
BLOCKS4iii.7-shuffled,1,0.251172,0.092011,1.425911,1.425911,0.587784,0.172923,0.185977,0.045648
blocks_enc_2_b3_ser--opt-9_-shuffled,1,0.466005,0.301922,1.363636,1.363636,0.576923,0.318801,0.328975,0.01921
blocks_enc_2_b4_ser--opt-26_-shuffled,1,0.309172,0.197129,1.38785,1.38785,0.581213,0.26273,0.28112,0.027989
c1_BMC_p1_k2048-shuffled,1,0.790047,0.248582,1,1,0.5,0.47729,0.486907,0.014598
c1_BMC_p2_k1024-shuffled,1,0.77792,0.261124,1,1,0.5,0.468339,0.487031,0.027982
c1_BMC_p2_k128-shuffled,1,0.641429,0.402277,1,1,0.5,0.381156,0.488555,0.141548
c1_BMC_p2_k8-shuffled,1,0.448856,0.634657,1,1,0.5,0.309174,0.491993,0.212825
c2_Debug_s5_f1_e1_v3-shuffled,1,0.101979,0.956197,1,1,0.5,0.121353,0.464925,0.377168
c3_BMC_p1_k256-shuffled,1,0.634249,0.367935,1,1,0.5,0.429176,0.516874,0.112926
c3_BMC_p2_k1024-shuffled,1,0.714365,0.279523,1,1,0.5,0.491135,0.518204,0.037715
c3_BMC_p2_k2048-shuffled,1,0.729838,0.262448,1,1,0.5,0.504362,0.518446,0.019976
c3_BMC_p2_k512-shuffled,1,0.68539,0.311498,1,1,0.5,0.467523,0.517738,0.067834
c3_Debug_s3_f2_e2_v2-shuffled,1,0.025715,0.912075,1,1,0.5,0.273501,0.27464,0.002469
C432.blif_0.10_0.20_0_0_out_exact-shuffled,1,0.638638,0.223767,1,1,0.5,0.45481,0.449678,0.00698
C432.blif_0.10_0.20_0_1_out_exact-shuffled,1,0.639139,0.223456,1,1,0.5,0.455197,0.450071,0.006972
C432.blif_0.10_1.00_0_0_out_exact-shuffled,1,0.640232,0.219858,1,1,0.5,0.448758,0.448358,0.000562
C432.blif_0.10_1.00_0_1_inp_exact-shuffled,1,0.641339,0.219575,1,1,0.5,0.452217,0.451794,0.000561
C499.blif_0.10_0.20_0_0_inp_exact,1,0.754791,0.327728,1,1,0.5,0.472658,0.470244,0.006603
C499.blif_0.10_0.20_0_0_out_exact,1,0.749687,0.34183,1,1,0.5,0.470101,0.467226,0.005612
C499.blif_0.10_0.20_0_1_out_exact,1,0.749687,0.34183,1,1,0.5,0.470297,0.467421,0.005612
C499.blif_0.10_1.00_0_0_inp_exact-shuffled,1,0.7471,0.33256,1,1,0.5,0.469396,0.469278,0.000651
C499.blif_0.10_1.00_0_0_out_exact-shuffled,1,0.746315,0.333592,1,1,0.5,0.466304,0.466225,0.000652
c4_BMC_p1_k1024-shuffled,1,0.712275,0.299671,1,1,0.5,0.492294,0.51295,0.029478
c4_BMC_p1_k2048-shuffled,1,0.724213,0.286811,1,1,0.5,0.502432,0.513082,0.015413
c4_BMC_p1_k512-shuffled,1,0.689598,0.324102,1,1,0.5,0.473733,0.512694,0.05421
c4_BMC_p2_k2048-shuffled,1,0.724213,0.286811,1,1,0.5,0.502432,0.513082,0.015413
c4_Debug_s3_f1_e1_v3-shuffled,1,0.001866,0.998997,1,1,0.5,0.053619,0.406938,0.440114
c4_Debug_s3_f1_e2_v3-shuffled,1,0.001868,0.998997,1,1,0.5,0.053621,0.40695,0.440114
c4_Debug_s3_f2_e1_v3-shuffled,1,0.106721,0.581431,1,1,0.5,0.206976,0.217186,0.029593
C5315.blif_0.10_0.20_0_0_inp_exact-shuffled,1,0.592788,0.211832,1,1,0.5,0.443255,0.441746,0.012365
C5315.blif_0.10_0.20_0_0_out_exact-shuffled,1,0.585606,0.216053,1,1,0.5,0.436663,0.436437,0.012003
C5315.blif_0.10_0.20_0_1_inp_exact-shuffled,1,0.592775,0.211803,1,1,0.5,0.443262,0.441753,0.012363
C5315.blif_0.10_0.20_0_1_out_exact-shuffled,1,0.585594,0.216022,1,1,0.5,0.436671,0.436446,0.012001
C5315.blif_0.10_1.00_0_0_inp_exact-shuffled,1,0.585095,0.214314,1,1,0.5,0.442596,0.442471,0.000057
C5315.blif_0.10_1.00_0_0_out_exact-shuffled,1,0.584986,0.21437,1,1,0.5,0.438109,0.437989,0.000057
C5315.blif_0.10_1.00_0_1_inp_exact-shuffled,1,0.585161,0.214314,1,1,0.5,0.442624,0.4425,0.000057
c5_BMC_p1_k32-shuffled,1,0.537325,0.566464,1,1,0.5,0.337778,0.486451,0.186518
C6288.blif_0.10_0.20_0_0_out_exact-shuffled,1,0.374071,0.336524,1,1,0.5,0.431859,0.427284,0.002644
C6288.blif_0.10_1.00_0_0_inp_exact-shuffled,1,0.375505,0.335352,1,1,0.5,0.432839,0.430494,0.001357
C6288.blif_0.10_1.00_0_1_inp_exact-shuffled,1,0.375595,0.335303,1,1,0.5,0.432878,0.430533,0.001357
C6288.blif_0.10_1.00_0_1_out_exact-shuffled,1,0.373353,0.33644,1,1,0.5,0.429887,0.427561,0.00137
c6_BMC_p1_k1024-shuffled,1,0.755096,0.283393,1,1,0.5,0.476055,0.485023,0.013699
