@RELATION 'FEATURE_VALUES-SAT11-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 4'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC

@DATA
./SAT11/application/rintanen/SATPlanning/sokoban-sequential-p145-microban-sequential.030-NOTKNOWN.cnf,1,0.9218,0.9676,0.9319,0.8882
./SAT03/industrial/goldberg/hard_eq_check/k2mul.miter.shuffled-as.sat03-355.cnf,1,0.6883,0.7804,0.734,0.614
./SAT11/application/fuhs/AProVE11/AProVE11-07.cnf,1,0.1503,0.4743,0.3975,0.218
SAT_RACE06/ibm-2002-21r-k95.cnf,1,0.6552,0.92,0.8266,0.6004
./SAT11/application/kullmann/AES/Benchmarks/128/aes_128_1_keyfind_1.cnf,1,0.0016,0.0908,0.036,0.0235
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-lfsr_004_127_112-tseitin.cnf,1,?,?,?,?
./SAT11/application/leberre/2dimensionalstrippacking/E15N15.cnf,1,?,?,?,?
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.045-NOTKNOWN.cnf,1,0.9466,0.9771,0.9604,0.7469
./SAT07/industrial/fuhs/hard/AProVE07-01.cnf,1,0.1741,0.6364,0.4805,0.271
./SAT03/industrial/li/li-test4/li-test4-100.shuffled-as.sat03-370.cnf,1,0.1201,0.4703,0.3485,0.1927
./SAT04/industrial/velev/vliw_unsat_2.0/9dlx_vliw_at_b_iq8.used-as.sat04-718.cnf,1,0.9978,1,1,0.8861
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.045-NOTKNOWN.cnf,1,0.9469,0.9772,0.9604,0.7466
./SAT03/industrial/schuppan/l2s/valves-gates-1-k617-unsat.shuffled-as.sat03-412.cnf,1,0.293,0.6586,0.5,0.3053
./SAT11/application/leberre/2dimensionalstrippacking/E05F18.cnf,1,0.8327,0.9054,0.8598,0.8469
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k45-pdtpmspalu-tseitin.cnf,1,0.3256,0.695,0.5408,0.3597
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top30.cnf,1,0.5528,0.5916,0.5657,0.4065
SAT-Race-2010-CNF/hardware-verification/velev/11pipe_11_ooo.cnf,1,1,1,1,0.909
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k45-pdtswvtms14x8p1-tseitin.cnf,1,0.3712,0.8049,0.6997,0.4043
./SAT11/application/fuhs/AProVE11/AProVE11-11.cnf,1,0.1793,0.4822,0.3896,0.2418
./SAT11/application/manthey/traffic/traffic_r_uc_sat.cnf,1,0.5335,0.8319,0.6818,0.5081
./SAT07/industrial/fuhs/medium/AProVE07-21.cnf,1,0.166,0.5773,0.3706,0.2437
./SAT07/industrial/IBM_FV_2002_13_rule_1/SAT_dat.k45.cnf,1,0.0483,0.9068,0.7891,0.3163
./SAT11/application/rintanen/SATPlanning/transport-transport-two-cities-sequential-15nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.040-SAT.cnf,1,0.9375,0.9952,0.9785,0.7981
./SAT11/application/rintanen/SATPlanning/sokoban-sequential-p145-microban-sequential.050-NOTKNOWN.cnf,1,0.9323,0.9823,0.9565,0.8876
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-lfsr_008_063_080-tseitin.cnf,1,0.8903,0.9809,0.968,0.7654
./SAT05/industrial/grieu05/vmpc/vmpc_36.renamed-as.sat05-1922.cnf,1,0.6919,0.6919,0.6919,0.692
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom12.cnf,1,0.1588,0.5947,0.5183,0.2651
./SAT07/industrial/anbulagan/medium-unsat/dated-5-11-u.cnf,1,0.6706,0.8596,0.8056,0.5492
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.025-NOTKNOWN.cnf,1,0.916,0.943,0.9364,0.6673
SAT-Race-2010-CNF/software-verification/nec/hard-18-U-10652.cnf,1,0.9971,1,1,0.8194
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pathways-17-step20.cnf,1,0.8311,0.9554,0.9521,0.629
./SAT09/APPLICATIONS/bitverif/maxxor/maxxor032.cnf,1,0.2604,0.5187,0.4857,0.2886
./SAT09/APPLICATIONS/bitverif/countbitsarray/countbitsarray04_32.cnf,1,0.1223,0.2174,0.1392,0.1151
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k45-bobsmhdlc2-tseitin.cnf,1,0.3101,0.6612,0.4969,0.3332
./SAT11/application/rintanen/SATPlanning/sokoban-sequential-p145-microban-sequential.070-NOTKNOWN.cnf,1,0.9333,0.9827,0.9569,0.889
./SAT09/APPLICATIONS/diagnosis/UTI-20-10p1.cnf,1,0.7791,0.9512,0.8842,0.6413
./SAT09/APPLICATIONS/c32sat/post-c32s-gcdm16-23.cnf,1,0.0632,0.7081,0.2249,0.1967
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bc57sensorsp3-tseitin.cnf,1,0.2085,0.9574,0.4694,0.3496
./SAT09/APPLICATIONS/crypto/desgen/gss-21-s100.cnf,1,0.8522,0.9253,0.9011,0.7523
./SAT02/industrial/goldberg/rand_net/rand_net60-25-10.shuffled.cnf,1,0.4975,0.7604,0.639,0.4793
./SAT02/industrial/dellacherie/comb/comb1.shuffled.cnf,1,0.2704,0.6082,0.4494,0.2971
./SAT09/APPLICATIONS/bitverif/countbitsrotate/countbitsrotate032.cnf,1,0.0917,0.3212,0.1392,0.1355
./SAT02/industrial/nam/fpga-routing/k2fix_gr_rcs_w8.shuffled.cnf,1,0.4921,0.6926,0.6023,0.4926
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom13.cnf,1,0.1584,0.5945,0.5279,0.2662
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom15.cnf,1,0.1577,0.5937,0.5418,0.267
./SAT05/industrial/maris05/Rovers/rovers1_ks99i.renamed-as.sat05-3971.cnf,1,0.8581,0.9629,0.9304,0.7976
./SAT04/industrial/vangelder/cnf-color/myciel6-tr.used-as.sat04-320.cnf,1,0.7047,0.7546,0.7378,0.6848
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-18-step16.cnf,1,0.9504,1,0.999,0.7306
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-12-step16.cnf,1,0.9018,0.9748,0.9623,0.6805
./SAT11/application/kullmann/AES/Benchmarks/32/aes_32_5_keyfind_1.cnf,1,0.0252,0.2247,0.1024,0.0719
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-18-step15.cnf,1,0.9512,1,0.9994,0.7285
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-pdtviseisenberg2-tseitin.cnf,1,0.4565,0.6831,0.5553,0.4251
./SAT11/application/leberre/2dimensionalstrippacking/E05F20.cnf,1,0.9504,0.9943,0.9756,0.8989
./SAT04/industrial/hoonsang/vis-bmc/all.used-as.sat04-986.cnf,1,0.1864,0.6423,0.3142,0.2662
SAT_RACE08/Q1/SAT_dat.k80_04.cnf,1,0.5462,0.8864,0.7874,0.5169
SAT_RACE06/velev-npe-1.0-9dlx-b71.cnf,1,?,?,?,?
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-pdtswvsam6x8p3-tseitin.cnf,1,0.5885,0.7854,0.7162,0.5105
./SAT11/application/leberre/2dimensionalstrippacking/E07N15.cnf,1,?,?,?,?
./SAT09/APPLICATIONS/bitverif/minandmaxor/minandmaxor128.cnf,1,0.3073,0.6048,0.5679,0.3356
./SAT11/application/kullmann/AES/Benchmarks/64/aes_64_2_keyfind_1.cnf,1,0.0099,0.1518,0.0573,0.0484
./SAT02/industrial/goldberg/rand_net/rand_net60-30-1.shuffled.cnf,1,0.4862,0.7345,0.6312,0.4699
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k45-pdtpmsgoodbakery-tseitin.cnf,1,0.385,0.6679,0.5459,0.3893
./SAT11/application/kullmann/AES/Benchmarks/32/aes_32_4_keyfind_1.cnf,1,0.0252,0.2247,0.1023,0.0721
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top21.cnf,1,0.5318,0.586,0.5719,0.3949
SAT_RACE08/cnf/manol-pipe-c10nidw.cnf,1,0.6558,0.91,0.8231,0.6217
./SAT09/APPLICATIONS/satComp09_BioInstances/rbcl_xits_08_UNSAT.cnf,1,0.5447,0.9394,0.592,0.5441
./SAT05/industrial/maris05/DriverLog/driverlog1_ks99i.renamed-as.sat05-3951.cnf,1,?,?,?,?
./SAT05/industrial/grieu05/vmpc/vmpc_34.renamed-as.sat05-1926.cnf,1,0.6917,0.6917,0.6917,0.6918
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-12-step15.cnf,1,0.9015,0.9749,0.9624,0.6803
./SAT09/APPLICATIONS/crypto/md5gen/gus-md5-12.cnf,1,0.0144,0.3927,0.1034,0.0981
./SAT02/industrial/goldberg/rand_net/rand_net60-40-10.shuffled.cnf,1,0.5113,0.747,0.6529,0.4864
./SAT11/application/rintanen/SATPlanning/transport-transport-three-cities-sequential-14nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.030-NOTKNOWN.cnf,1,0.9451,0.9961,0.982,0.8145
./SAT05/industrial/grieu05/vmpc/vmpc_32.renamed-as.sat05-1919.cnf,1,0.6916,0.6916,0.6916,0.6917
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom14.cnf,1,0.1579,0.5941,0.5371,0.2669
./SAT07/industrial/IBM_FV_2002_13_rule_1/SAT_dat.k100.cnf,1,0.1553,0.9056,0.7797,0.3276
./SAT09/APPLICATIONS/satComp09_BioInstances/rbcl_xits_18_SAT.cnf,1,0.5487,0.9101,0.8717,0.5137
./SAT09/APPLICATIONS/satComp09_BioInstances/ndhf_xits_19_UNKNOWN.cnf,1,0.6105,0.9754,0.9304,0.5566
SAT-Race-2010-CNF/hardware-verification/velev/1dlx_c_iq57_a.cnf,1,1,1,1,0.9389
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom26.cnf,1,0.1568,0.6029,0.5573,0.2762
SAT-Race-2010-CNF/cryptography/mizh/sha0_36_5.cnf,1,0.0044,0.3649,0.061,0.0753
./SAT07/industrial/IBM_FV_2004_30/IBM_FV_2004_rule_batch_30_SAT_dat.k55.cnf,1,0.58,0.9108,0.8412,0.5299
./SAT09/APPLICATIONS/diagnosis/UTI-20-10p0.cnf,1,0.7926,0.9504,0.8883,0.6475
./SAT11/application/manthey/traffic/traffic_3b_unknown.cnf,1,0.2169,0.4457,0.3697,0.2283
./SAT04/industrial/velev/pipe-sat-1-1/12pipe_bug4_q0.used-as.sat04-723.cnf,1,0.9995,1,1,0.804
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom17.cnf,1,0.1572,0.5938,0.5503,0.268
./SAT11/application/leberre/2dimensionalstrippacking/E04N18.cnf,1,0.831,0.9146,0.8787,0.8468
./SAT09/APPLICATIONS/diagnosis/UCG-15-5p0.cnf,1,0.7127,0.8863,0.8426,0.553
./SAT02/industrial/goldberg/rand_net/rand_net70-60-10.shuffled.cnf,1,0.5075,0.7484,0.6455,0.4842
./SAT11/application/leberre/2dimensionalstrippacking/E02F17.cnf,1,0.8251,0.8979,0.8626,0.839
./SAT04/industrial/hoonsang/vis-bmc/dekker.used-as.sat04-989.cnf,1,0.1937,0.6904,0.354,0.2838
./SAT11/application/kullmann/AES/Benchmarks/64/aes_64_3_keyfind_1.cnf,1,0.0099,0.1518,0.0577,0.048
./SAT11/application/rintanen/SATPlanning/transport-transport-three-cities-sequential-14nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.020-NOTKNOWN.cnf,1,0.9468,0.9971,0.9833,0.8162
./SAT11/application/manthey/traffic/traffic_kkb_unknown.cnf,1,0.1663,0.5533,0.4163,0.2471
./SAT07/industrial/palacios/medium/cube-11-h14-sat.cnf,1,0.4495,0.678,0.5997,0.3962
./SAT07/industrial/crypto/mizh-sha0-36-2.cnf,1,0.0043,0.3649,0.0608,0.0751
./SAT11/application/rintanen/SATPlanning/blocks-blocks-37-1.130-NOTKNOWN.cnf,1,0.9836,0.9945,0.9919,0.9612
./SAT11/application/kullmann/AES/Benchmarks/64/aes_64_4_keyfind_1.cnf,1,0.0099,0.152,0.0577,0.0478
./SAT07/industrial/anbulagan/hard-sat/partial-10-13-s.cnf,1,0.7477,0.8816,0.8383,0.5754
./SAT09/APPLICATIONS/bitverif/countbitswegner/countbitswegner128.cnf,1,0.1335,0.8193,0.7261,0.3889
./SAT09/APPLICATIONS/crypto/desgen/gss-14-s100.cnf,1,0.851,0.9251,0.9005,0.7561
SAT_RACE08/cnf/ibm-2004-01-k90.cnf,1,0.5714,0.8666,0.7816,0.512
./SAT09/APPLICATIONS/satComp09_BioInstances/rbcl_xits_15_SAT.cnf,1,0.459,0.9253,0.8148,0.4769
./SAT09/APPLICATIONS/diagnosis/UR-10-10p1.cnf,1,0.7146,0.8873,0.8434,0.5468
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-rovers-18-step11.cnf,1,0.7361,0.9648,0.9586,0.6384
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top29.cnf,1,0.5498,0.5899,0.5664,0.4049
./SAT02/industrial/aloul/Bart/bart17.shuffled.cnf,1,0.8159,0.8328,0.8285,0.794
./SAT07/industrial/vliw_unsat_2.0/9dlx_vliw_at_b_iq7.cnf,1,0.9985,1,1,0.8767
./SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.160-NOTKNOWN.cnf,1,0.9834,0.9945,0.9918,0.961
./SAT02/industrial/nam/fpga-routing/k2fix_gr_rcs_w9.shuffled.cnf,1,0.5575,0.7443,0.6746,0.5524
./SAT09/APPLICATIONS/diagnosis/UCG-15-10p0.cnf,1,0.7734,0.9044,0.8723,0.5813
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k45-pdtviseisenberg1-tseitin.cnf,1,0.456,0.683,0.5536,0.4247
./SAT11/application/fuhs/AProVE11/AProVE11-13.cnf,1,0.1397,0.6289,0.5393,0.2747
./SAT04/industrial/velev/vliw_unsat_2.0/9dlx_vliw_at_b_iq9.used-as.sat04-719.cnf,1,0.999,1,1,0.8965
./SAT02/industrial/aloul/Homer/homer17.shuffled.cnf,1,0.8295,0.8378,0.8373,0.8279
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-nlzbe256-tseitin.cnf,1,0.2925,1,0.8983,0.4583
./SAT04/industrial/vangelder/cnf-color/abb313GPIA-9-c.used-as.sat04-317.cnf,1,0.1973,0.9047,0.618,0.37
SAT-Race-2010-CNF/software-verification/nec/hard-6-U-7061.cnf,1,0.7375,0.9919,0.9333,0.6418
SAT-Race-2010-CNF/hardware-verification/velev/1dlx_c_iq60_a.cnf,1,1,1,1,0.9393
./SAT11/application/fuhs/AProVE11/AProVE11-10.cnf,1,0.0484,0.5343,0.3532,0.1721
./SAT09/APPLICATIONS/diagnosis/UR-20-10p1.cnf,1,0.7756,0.9647,0.8763,0.6313
./SAT11/application/leberre/2dimensionalstrippacking/korf-15.cnf,1,0.8121,0.8762,0.8388,0.8167
./SAT11/application/leberre/2dimensionalstrippacking/E02F20.cnf,1,0.9441,0.9894,0.9734,0.8931
SAT_RACE06/velev-pipe-sat-1.0-b9.cnf,1,1,1,1,0.9269
./SAT11/application/rintanen/SATPlanning/sokoban-sequential-p145-microban-sequential.080-SAT.cnf,1,0.9335,0.9828,0.9571,0.8895
./SAT05/industrial/narain05/vpn/clauses-8.renamed-as.sat05-1964.cnf,1,0.9117,0.9786,0.9751,0.8709
./SAT11/application/fuhs/AProVE11/AProVE11-15.cnf,1,0.115,0.4283,0.3699,0.1912
./SAT07/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,0.6568,0.8601,0.8079,0.5407
./SAT09/APPLICATIONS/crypto/desgen/gss-22-s100.cnf,1,0.8516,0.9253,0.9007,0.7519
./SAT11/application/kullmann/AES/Benchmarks/128/aes_128_2_keyfind_1.cnf,1,0.0021,0.0909,0.0363,0.0233
./SAT07/industrial/anbulagan/hard-unsat/total-10-17-u.cnf,1,0.6216,0.8521,0.7928,0.5095
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom25.cnf,1,0.1568,0.6014,0.5569,0.2751
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bjrb07amba2andenv-tseitin.cnf,1,0.4468,0.7988,0.6155,0.4442
./SAT11/application/rintanen/SATPlanning/sokoban-sequential-p145-microban-sequential.040-NOTKNOWN.cnf,1,0.924,0.9722,0.9375,0.8941
SAT_RACE08/cnf/ibm-2004-23-k100.cnf,1,0.6023,0.9077,0.8271,0.5668
./SAT11/application/manthey/traffic/traffic_r_sat.cnf,1,0.6451,0.999,0.9413,0.6438
./SAT09/APPLICATIONS/satComp09_BioInstances/rbcl_xits_09_UNKNOWN.cnf,1,0.5237,0.956,0.6164,0.5223
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-rfunit_flat-64-tseitin.cnf,1,0.8251,0.9917,0.8251,0.7827
./SAT02/industrial/biere/dinphil/dp04s04.shuffled.cnf,1,0.3608,0.6623,0.5703,0.371
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top24.cnf,1,0.5463,0.5853,0.5721,0.3998
./SAT11/application/rintanen/SATPlanning/grid-strips-grid-y-4.025-NOTKNOWN.cnf,1,0.9994,1,1,0.9895
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top23.cnf,1,0.5424,0.5847,0.5723,0.3977
./SAT09/APPLICATIONS/bioinfo/q_query_3_L150_coli.sat.cnf,1,0.6491,0.8839,0.7066,0.6421
./SAT11/application/leberre/2dimensionalstrippacking/E05X15.cnf,1,0.8111,0.8746,0.8357,0.8222
./SAT09/APPLICATIONS/bitverif/smulo/smulo064.cnf,1,0.2191,0.5181,0.3224,0.2143
./SAT09/APPLICATIONS/diagnosis/UTI-20-10t0.cnf,1,0.3994,0.8445,0.738,0.4245
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bc57sensorsp2-tseitin.cnf,1,0.2095,0.9616,0.4807,0.3518
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom20.cnf,1,0.1568,0.5953,0.5604,0.2712
./SAT11/application/leberre/2dimensionalstrippacking/E03N17.cnf,1,0.826,0.905,0.8583,0.8384
./SAT09/APPLICATIONS/bitverif/countbitssrl/countbitssrl064.cnf,1,0.1413,0.4357,0.2217,0.1812
./SAT11/application/rintanen/SATPlanning/transport-transport-city-sequential-35nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.040-NOTKNOWN.cnf,1,0.9466,0.9955,0.9849,0.8143
./SAT09/APPLICATIONS/diagnosis/UCG-15-10p1.cnf,1,0.7472,0.901,0.863,0.5737
./SAT09/APPLICATIONS/bioinfo/q_query_3_l46_lambda.cnf,1,0.6829,0.8211,0.7361,0.6108
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k45-bc57sensorsp1-tseitin.cnf,1,0.2168,0.9631,0.5035,0.3549
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k45-pdtvissoap1-tseitin.cnf,1,0.4133,0.7507,0.6321,0.4182
./SAT03/industrial/maris/CNF/gripper13u.shuffled-as.sat03-395.cnf,1,0.7917,0.962,0.9619,0.7755
./SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.170-NOTKNOWN.cnf,1,0.9835,0.9945,0.9919,0.9612
./SAT02/industrial/biere/dinphil/dp04u03.shuffled.cnf,1,0.4123,0.6628,0.5659,0.3808
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-TPP-30-step11.cnf,1,0.8149,0.8869,0.8383,0.6282
./SAT07/industrial/IBM_FV_2002_13_rule_1/SAT_dat.k20.cnf,1,0.0205,0.907,0.8179,0.3097
SAT_RACE08/cnf/ibm-2002-30r-k85.cnf,1,0.626,0.9363,0.8409,0.5441
./SAT09/APPLICATIONS/diagnosis/UCG-20-5p1.cnf,1,0.785,0.9322,0.8881,0.6252
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-countbits128-tseitin.cnf,1,0.134,0.7364,0.7265,0.3795
./SAT11/application/fuhs/AProVE11/AProVE11-02.cnf,1,0.0739,0.4356,0.3478,0.1633
./SAT07/industrial/jarvisalo/eq.atree.braun.11.unsat.cnf,1,0.1765,0.5712,0.3348,0.2421
./SAT09/APPLICATIONS/crypto/desgen/gss-27-s100.cnf,1,0.8512,0.9253,0.9011,0.7508
./SAT05/industrial/grieu05/vmpc/vmpc_29.renamed-as.sat05-1916.cnf,1,0.6916,0.6929,0.6916,0.6918
./SAT11/application/rintanen/SATPlanning/grid-strips-grid-y-3.035-NOTKNOWN.cnf,1,0.9973,1,0.9995,0.9808
./SAT09/APPLICATIONS/satComp09_BioInstances/rpoc_xits_09_UNSAT.cnf,1,0.5241,0.9573,0.607,0.5268
