@RELATION 'FEATURE_VALUES-SAT11-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE HORNY_VAR_entropy NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE SP_bias_max NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE SP_unconstraint_min NUMERIC
@ATTRIBUTE DIAMETER_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE saps_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE cl_size_coeff_variation NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE cluster_coeff_min NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC

@DATA
./SAT03/handmade/stanion/hwb/hwb-n30-02-S77299857.shuffled-as.sat03-1633.cnf,1,0.0047,0.3768,0,0,0.4406,1.6672,0.3424,0.7888,0.4676,4150,0.6154,4150,0.4094,0.0003,4183,0.0029,0.0007,4279,0.0251,4249.1429,2.0954,4330,0.2548,0.0162,0.0688,4330,0.1647,4304,0.934,0.3736,0.0288,0.0147,0.046,0.0238,1.6647,0.0137,0.1088,0.0786,0.0148,0,0.0147,0.3032,1.1714,0.0504,0.9793,0.1012,0.0481,1.2997,0.4312,26.3131,0.7017,25.3229,24.9333,24.9333,1.0607,0.0328,0.4607,27.6767,27.6767,0.244,0.0138,0.0071,26.8427,0.3397
./SAT11/crafted/spence/sgen/sgen3-n170-s56409011-unsat.cnf,1,0,1,0.3333,0,0.2209,0.2209,0.4888,0.5767,0.7878,3552,0.3333,3552,0.4888,0.0008,3934,0.0107,0.0026,4022,0.0281,3988.2222,1.5863,4478,0,0.0179,0.0678,4478,0.486,4077,0.9625,0.2153,0.3236,0.3145,0.3193,0.3217,0.543,0.2645,0.0678,0.0778,0.0666,0,0.0193,0.3257,0,0.0173,0.4058,0.3253,0.325,0.6854,0.5579,23.4383,0.0385,21.7369,21.4828,21.4828,0.0432,0.0929,0.1134,27.2694,27.2694,0.1538,0.017,0.0169,23.7839,0.4223
./SAT03/handmade/anton/UNSAT/SGI_30_50_30_20_5-log.shuffled-as.sat03-111.cnf,1,0,0,0,0.0002,1.5326,2.0433,0.0105,0.8027,0.5127,1203,0.1204,1156,0.2473,0.0004,1258,0.0979,0.0886,1350,0.1157,1452.1,2.9679,2205,0.0165,0.1876,0.2072,2205,0.0027,1599,0.6443,0.2135,0.4945,0.4924,0.4943,0.4939,1.3548,0.4913,0,0.0411,0.2024,0,0.0603,0.4961,0.0085,0.0667,0.6999,0.496,0.4951,1.1552,0.1789,17.8289,0,15.7149,15.6726,15.6245,0.0024,0.1332,0.2775,23.3741,23.3741,?,0.0027,0.0027,19.6128,0.2621
./SAT11/crafted/mosoi/289/289-unsat-6x40.cnf,1,0.0152,0.0152,1,0.425,0,0,0.7538,0,0.774,380,0.0051,325,1,0.425,438,0.4251,0.4251,480,0.4251,853.6875,0,3968,0.5846,0.4252,0.4252,2457,0.0152,536,0.8664,0.4254,0,0,0,0,0,0,0,0,1.1173,0.0051,0.0051,0,0.6323,0.0167,11.5795,0,0,11.6955,0.0108,28.8228,0,26.7907,25.8554,25.6211,0.0011,0.083,0,34.762,31.3586,?,0.0151,0.0151,31.0847,0
./SAT03/handmade/gomes/bqwh/bqwh.50.825.shuffled-as.sat03-1648.cnf,1,0.9443,0.947,0,0.1221,2.5469,2.5781,0.7188,1.0013,0.4517,56,0.8125,22,0.4905,0.7097,85,0.8099,0.7644,96,0.7946,100.6441,2.8815,215,0.4568,0.8437,0.8663,155,0.1138,117,0.7013,0.9203,0.015,0.0128,0.015,0.0138,0.9452,0.0095,0.0365,0.0561,0.3552,0.25,0.6848,0.0186,0.3209,0.0024,2.9634,0.0171,0.0162,2.4735,0.3587,25.2998,0.1927,21.5465,19.3545,17.4112,0.1079,0.2023,0.1632,44.3182,32.1681,0.0089,0.0004,0.0001,28.3841,0.3737
./SAT02/handmade/pehoushek/plainoldcnf/5cnf_3500_3500_30f1.shuffled.cnf,1,0,0.0262,0,0.007,1.4434,1.6996,0.231,0.7276,0.6533,0,0.0625,0,0.3737,0.0179,0,0.0704,0.0355,0,0.0696,0,2.3035,0,0.1105,0.0943,0.1298,0,0.0714,0,0.7689,0.1644,0.0047,0.0033,0.0049,0.004,1.4646,0.0027,0,0.0194,0,0,0.0235,0.0087,0.6882,0.1667,1.4998,0.0084,0.0053,1.8582,0.3712,0,0,0,0,0,0.3152,0,0.0238,0,0,0.2793,0.069,0.069,0,0.2273
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v1375c111739gyes10.cnf,1,0.9523,0.9523,0.8,0.6041,2.6827,5.3448,0.9523,0.0142,0.7814,68,0.3231,53,0.9969,0.7211,159,0.8495,0.791,168,0.8304,155.1333,4.8172,193,1.8079,0.8821,0.9039,191,0.0096,188,0.8974,0.9303,0,0,0,0,0.1919,0,0,0.0363,0.2694,0.0856,0.1682,0,0.2043,0.0281,51.7307,0,0,44.9564,5.1787,61.3041,0.1721,56.25,53.2021,51.9048,12.1838,0.129,0.1721,81.5094,72.4554,?,0.002,0.001,67.8447,0.1646
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m52-q1041.25-n50-p15-s99099953.cnf,1,0.9829,0.9829,0.9394,0.1076,3.3344,5.8426,0.9829,0.005,0.9186,25,0.6236,14,0.9994,0.9566,32,0.9924,0.9785,69,0.9761,94.75,5.6581,213,2.4667,0.998,0.9999,187,0.0048,184,0.9574,1,0.0106,0.0001,0.0214,0.0026,0.0868,0,0,0.0766,0.7786,0.1628,0.3575,0.5,0.1235,0.0426,99.2626,0.0535,0.0288,97.7881,3.5006,98.0399,0,94.0535,88.8889,87.8406,1.5082,0.0816,0.1693,115.56,108.2059,?,0.0048,0.0048,106.1429,0.2038
./SAT11/crafted/skvortsov/automata-synchronization/crn_40_1520_u.cnf,1,0.0073,0.0332,0,0,0.4008,0.5885,0.2613,0.9871,0.0566,0,0.9024,0,0.2574,0.0001,0,0.0002,0.0001,0,0.0192,0,0.2133,0,0.0583,0.0069,0.1214,0,0.2676,0,0.1106,0.9357,0.3325,0.3284,0.3151,0.3316,0.8321,0,0.0056,0.0584,0,0,0.0173,0.3575,0.163,0.0001,0.2318,0.3325,0.3325,0.2524,1.3271,0,1.1315,0,0,0,0.2287,0,2.0996,0,0,0.2278,0.0001,0.0001,0,2.0912
./SAT11/crafted/mosoi/289/289-unsat-7x39.cnf,1,0.013,0.013,1,0.4077,0,0,0.7532,0,0.7325,370,0.0044,337,1,0.408,401,0.408,0.408,496,0.4081,844.9375,0,3874,0.5836,0.4081,0.4082,2775,0.013,558,0.8098,0.4085,0,0,0,0,0,0,0,0,1.1442,0.0044,0.0044,0,0.6243,0.0147,10.8717,0,0,11.9471,4.5011,29.3595,0,27.0061,26.6054,26.1269,0.0018,0.0987,0,36.7606,32.9809,?,0.013,0.013,32.0355,0
./SAT11/crafted/mosoi/289/289-unsat-6x30.cnf,1,0.0203,0.0203,1,0.4568,0,0,0.7551,0,0.8507,284,0.0068,278,1,0.457,428,0.457,0.457,496,0.457,857.8824,0,3694,0.5871,0.457,0.4571,3649,0.0203,597,0.9633,0.4571,0.0002,0.0002,0.0002,0.0002,0,0.0002,0,0,1.204,0.0068,0.0068,0.0002,0.65,0.0222,5.9841,0.0002,0.0002,7.0723,1.2241,28.6955,0,26.493,25.5971,25.3638,0.0004,0.1111,0,38.1584,32.7169,?,0.0202,0.0202,30.0563,0
./SAT03/handmade/anton/UNSAT/SGI_30_60_20_50_3-dir.shuffled-as.sat03-114.cnf,1,0.9787,0.9787,0,0.8552,3.0492,4.206,0.7464,1.0111,0.9047,78,0.6349,78,0.4921,0.8796,453,0.9129,0.8978,1122,0.9087,1094.6667,4.3811,2696,1.8278,0.9216,0.9322,2696,0.012,1155,0.9711,0.9581,0,0,0,0,0.8149,0,0,0.0837,0.7473,0.2718,0.458,0.0003,0.1227,0.1,37.6613,0,0,38.6444,15.4138,83.1068,0,73.157,64.6269,64.6269,2.6608,0.1366,0.1659,99.181,99.181,?,0.0119,0.0119,90.232,0.3897
./SAT05/crafted/sabharwal05/planning/logistics/unsat/logistics-rotate-07t5.shuffled-as.sat05-1137.cnf,1,0.9511,0.9728,0,0.5791,2.4732,2.759,0.7281,1.0016,0.445,1380,0.9669,1380,0.4917,0.7011,4681,0.9512,0.9432,4769,0.9235,3912.75,3.7161,4821,0.5835,0.9889,0.9926,4821,0.0221,4821,0.8863,0.9971,0.0065,0,0.0112,0.0003,0.897,0,0.0843,0.2302,0.3739,0.0667,0.7649,0.272,0.267,0.0131,17.2005,0.0125,0.0119,20.538,0.1085,27.199,0.2918,27.4614,25.6108,25.6108,2.805,0.0342,0.2523,27.8652,27.8652,0.0024,0.0014,0.0002,27.8652,0.4208
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-14_186.cnf,1,0,0.8735,1,0.5364,2.8836,4.4077,0.1265,0,0.6767,4597,0.7358,4597,1,0.5519,4602,0.5767,0.56,4630,0.6217,4617.5,3.8153,4641,0.8326,0.6558,0.7793,4641,0.019,4641,0.809,0.9589,0,0,0,0,0,0,0.0245,0.1535,0.004,0.125,0.2271,0.0005,0.3797,0.0753,10.9847,0.0001,0,11.2954,0.2592,36.8043,0.0705,35.3844,34.7772,34.7772,2.0373,0.0497,0.2615,39.3333,39.3333,?,0.0163,0.0146,39.3333,0.3688
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m37-q446.25-n35-p15-s25120921.cnf,1,0.9714,0.9714,0.8824,0.8144,3.2305,5.1389,0.9714,0.0101,0.8669,54,0.5246,54,0.9984,0.857,66,0.8879,0.8722,436,0.8872,1028,4.9206,3920,1.989,0.9016,0.9172,3920,0.0084,664,0.9483,0.9432,0,0,0,0,0.1399,0,0,0.0631,1.4244,0.1588,0.3272,0,0.2079,0.0672,53.8444,0,0,53.1227,2.3059,70.1392,0,59.5803,56.4608,56.4608,13.3554,0.1843,0.1529,92.5301,92.5301,?,0.0083,0.0083,75.1852,0.1716
./SAT11/crafted/skvortsov/battleship/battleship-11-11-unsat.cnf,1,0.8333,0.8333,1,0.6918,0,0,0.8333,0,0.7902,4916,0.0476,4916,1,0.6919,4917,0.6919,0.6919,4931,0.692,4926.25,0,4941,0.9583,0.692,0.6921,4941,0.1667,4941,0.8269,0.6922,0.0467,0.0467,0.0467,0.0467,0,0.0466,0,0,0.0021,0.0476,0.0476,0.0469,0.4506,0.0909,2.0976,0.0468,0.0468,2.6539,0.0844,46.437,0,47.0053,41.8992,41.8992,0.0014,0.0578,0,48.5704,48.5704,0.018,0.1653,0.1653,48.5704,0
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m52-q1041.25-n50-p30-s30907550.cnf,1,0.9819,0.9819,0.9412,0.2354,3.3492,6.1822,0.9819,0.0049,0.8838,9,0.5465,6,0.9994,0.9515,25,0.9884,0.9705,58,0.9762,112.25,5.8565,252,2.5629,0.9979,0.9999,247,0.0051,234,0.9362,1,0.0159,0.0002,0.027,0.0028,0.0895,0,0,0.079,0.8904,0.122,0.3131,0.5,0.1198,0.0406,78.0606,0.0645,0.0409,88.9836,3.3021,111.9684,0,99.3162,95.5521,91.0931,1.2831,0.1321,0.2668,133.48,133.1667,?,0.0051,0.0051,132.6667,0.2906
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_406.cnf,1,0.0031,0.9169,1,0.6329,3.3339,5.0456,0.0831,0,0.7061,4621,0.8349,4621,1,0.6449,4621,0.6856,0.657,4722,0.7056,4671.5,4.6707,4722,1.105,0.7242,0.7743,4722,0.0091,4722,0.8066,0.9822,0,0,0,0,0,0,0.1503,0.1558,0.0108,0.1279,0.2552,0,0.3096,0.1034,25.1053,0,0,23.0011,6.8078,47.403,0.0022,45.0426,45.0426,45.0426,2.3313,0.0498,0.2483,49.7635,49.7635,?,0.0091,0.009,49.7635,0.3591
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_401.cnf,1,0.0124,0.9218,1,0.6213,3.5664,4.9825,0.0782,0,0.6597,4500,0.8326,4500,1,0.6474,4500,0.6884,0.6648,4674,0.7095,4616.3333,4.7203,4675,1.0967,0.7265,0.7802,4675,0.0093,4675,0.8034,0.9774,0,0,0,0,0,0,0.1641,0.1564,0.0178,0.1272,0.2851,0,0.3469,0.1045,23.8414,0,0,22.3937,5.9256,37.8653,0.002,36.5443,36.5443,36.5443,2.3077,0.0272,0.2393,39.059,39.059,?,0.0093,0.0092,39.059,0.3565
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g7.cnf,1,0.9299,0.9299,0.7143,0.7384,2.9323,4.9022,0.9299,0.027,0.7373,406,0.36,406,0.9927,0.7734,492,0.7982,0.7848,636,0.7983,1655.1667,4.4576,4030,1.3783,0.811,0.8244,4030,0.0169,3770,0.9048,0.8585,0,0,0,0,0.2608,0,0,0.0467,0.9611,0.0922,0.2071,0,0.2767,0.0486,28.2714,0,0,23.9299,13.0574,48.4489,0.2101,41.0017,40.1006,40.1006,4.4534,0.194,0.2241,65.1125,65.1125,?,0.005,0.0026,57.2583,0.2128
./SAT03/handmade/anton/UNSAT/SGI_30_70_19_80_8-log.shuffled-as.sat03-143.cnf,1,0,0,0,0.0348,1.6947,1.6892,0.0107,0.8114,0.5703,2232,0.136,2232,0.2437,0.0375,2406,0.0713,0.0647,2712,0.1178,2768.25,2.7985,3806,0.016,0.1784,0.2405,3806,0.0026,3303,0.6947,0.241,0.4937,0.4933,0.494,0.4935,1.3492,0.4932,0,0.0436,0.1842,0.0183,0.0642,0.4955,0.0081,0.1053,0.9785,0.495,0.4943,1.6871,0.2791,18.4401,0,18.0426,17.4623,17.4623,0.0013,0.04,0.1413,19.7884,19.7884,?,0.0025,0.0025,19.0106,0.3199
