@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 2'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_tightness_100 NUMERIC
@ATTRIBUTE normalised_standard_deviation_of_node_degree NUMERIC

@DATA
2-insertions-5-6.xml.watchless.minion.gz,1,169,0.014236
3-fullins-3-5.xml.watchless.minion.gz,1,184,0.049847
3-fullins-3-6.xml.watchless.minion.gz,1,169,0.049847
3-fullins-4-5.xml.watchless.minion.gz,1,184,0.026781
3-fullins-4-6.xml.watchless.minion.gz,1,169,0.026781
3-fullins-4-7.xml.watchless.minion.gz,1,154,0.026781
3-fullins-5-5.xml.watchless.minion.gz,1,184,0.013841
3-fullins-5-6.xml.watchless.minion.gz,1,169,0.013841
3-fullins-5-7.xml.watchless.minion.gz,1,154,0.013841
3-fullins-5-8.xml.watchless.minion.gz,1,136,0.013841
3-insertions-3-3.xml.watchless.minion.gz,1,324,0.01844
3-insertions-3-4.xml.watchless.minion.gz,1,263,0.01844
3-insertions-4-3.xml.watchless.minion.gz,1,324,0.013027
3-insertions-4-4.xml.watchless.minion.gz,1,263,0.013027
3-insertions-4-5.xml.watchless.minion.gz,1,184,0.013027
3-insertions-5-3.xml.watchless.minion.gz,1,324,0.007218
3-insertions-5-4.xml.watchless.minion.gz,1,263,0.007218
3-insertions-5-5.xml.watchless.minion.gz,1,184,0.007218
3-insertions-5-6.xml.watchless.minion.gz,1,169,0.007218
4-fullins-3-6.xml.watchless.minion.gz,1,169,0.043477
4-fullins-3-7.xml.watchless.minion.gz,1,154,0.043477
4-fullins-4-6.xml.watchless.minion.gz,1,169,0.019555
4-fullins-4-7.xml.watchless.minion.gz,1,154,0.019555
4-fullins-4-8.xml.watchless.minion.gz,1,136,0.019555
4-fullins-5-5.xml.watchless.minion.gz,1,184,0.008725
4-fullins-5-6.xml.watchless.minion.gz,1,169,0.008725
4-fullins-5-7.xml.watchless.minion.gz,1,154,0.008725
4-fullins-5-8.xml.watchless.minion.gz,1,136,0.008725
4-insertions-3-3.xml.watchless.minion.gz,1,324,0.013793
4-insertions-3-4.xml.watchless.minion.gz,1,263,0.013793
4-insertions-4-3.xml.watchless.minion.gz,1,324,0.008453
4-insertions-4-4.xml.watchless.minion.gz,1,263,0.008453
4-insertions-4-5.xml.watchless.minion.gz,1,184,0.008453
5-fullins-3-6.xml.watchless.minion.gz,1,169,0.038464
5-fullins-3-7.xml.watchless.minion.gz,1,154,0.038464
5-fullins-3-8.xml.watchless.minion.gz,1,136,0.038464
5-fullins-4-6.xml.watchless.minion.gz,1,169,0.014867
5-fullins-4-7.xml.watchless.minion.gz,1,154,0.014867
5-fullins-4-8.xml.watchless.minion.gz,1,136,0.014867
5-fullins-4-9.xml.watchless.minion.gz,1,96,0.014867
abb313GPIA-10.xml.watchless.minion.gz,1,104,0.012787
abb313GPIA-5.xml.watchless.minion.gz,1,184,0.012787
abb313GPIA-7.xml.watchless.minion.gz,1,154,0.012787
abb313GPIA-8.xml.watchless.minion.gz,1,136,0.012787
abb313GPIA-9.xml.watchless.minion.gz,1,96,0.012787
aim-100-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,273,0.016204
aim-100-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,260,0.013229
aim-100-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,257,0.015951
aim-100-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,273,0.01671
aim-100-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,273,0.019079
aim-100-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,273,0.019131
aim-100-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,273,0.017025
aim-100-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,266,0.018126
aim-100-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,257,0.011307
aim-100-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,260,0.011232
aim-100-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.01253
aim-100-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,259,0.012048
aim-100-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,257,0.012347
aim-100-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,273,0.012571
aim-100-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,266,0.01227
aim-100-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,264,0.01183
aim-100-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,260,0.015989
aim-100-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,273,0.017263
aim-100-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.019551
aim-100-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,266,0.014177
aim-100-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,273,0.023496
aim-100-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,273,0.023874
aim-100-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.020602
aim-100-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,273,0.023043
aim-200-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,257,0.008139
aim-200-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,259,0.008672
aim-200-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.007906
aim-200-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,257,0.008074
aim-200-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,273,0.008747
aim-200-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,273,0.010423
aim-200-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,266,0.008937
aim-200-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,273,0.009513
aim-200-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,259,0.005836
aim-200-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,273,0.005868
aim-200-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.00622
aim-200-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,273,0.005684
aim-200-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,266,0.006306
aim-200-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,273,0.006268
aim-200-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,273,0.005739
aim-200-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,266,0.005887
aim-200-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,273,0.008515
aim-200-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,273,0.008059
aim-200-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.008322
aim-200-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,273,0.009073
aim-200-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,273,0.012855
aim-200-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,273,0.012112
aim-200-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.011968
aim-200-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,273,0.013105
aim-50-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,257,0.0288
aim-50-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,273,0.022214
aim-50-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.025298
aim-50-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,257,0.026725
aim-50-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,259,0.035091
aim-50-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,266,0.032
aim-50-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,273,0.040398
aim-50-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,273,0.03465
aim-50-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,257,0.026242
aim-50-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,257,0.021166
aim-50-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.021909
aim-50-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,273,0.019333
aim-50-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,257,0.0232
aim-50-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,266,0.032496
aim-50-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,257,0.028408
aim-50-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,260,0.029241
aim-50-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,273,0.027701
aim-50-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,266,0.033072
aim-50-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,266,0.036538
aim-50-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,273,0.031241
aim-50-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,257,0.04859
aim-50-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,273,0.045782
aim-50-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.039992
aim-50-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,363,0.043774
ash331GPIA-3.xml.watchless.minion.gz,1,324,0.004302
ash331GPIA-4.xml.watchless.minion.gz,1,263,0.004302
ash608GPIA-3.xml.watchless.minion.gz,1,324,0.002198
ash608GPIA-4.xml.watchless.minion.gz,1,263,0.002198
ash958GPIA-3.xml.watchless.minion.gz,1,324,0.001466
ash958GPIA-4.xml.watchless.minion.gz,1,263,0.001466
bf-0432-007_ext.xml.minion.converted.minion.gz,1,501,0.002785
bf-1355-075_ext.xml.minion.converted.minion.gz,1,513,0.001586
bf-1355-638_ext.xml.minion.converted.minion.gz,1,253,0.002872
bf-2670-001_ext.xml.minion.converted.minion.gz,1,487,0.001986
BlackHole-4-13-e-0_ext.xml.minion.converted.minion.gz,1,936,0.20237
BlackHole-4-13-e-1_ext.xml.minion.converted.minion.gz,1,936,0.20237
BlackHole-4-13-e-2_ext.xml.minion.converted.minion.gz,1,936,0.20237
BlackHole-4-13-e-3_ext.xml.minion.converted.minion.gz,1,936,0.20237
BlackHole-4-13-m-0_ext.xml.minion.converted.minion.gz,1,936,0.20237
BlackHole-4-13-m-1_ext.xml.minion.converted.minion.gz,1,936,0.20237
BlackHole-4-13-m-2_ext.xml.minion.converted.minion.gz,1,936,0.20237
BlackHole-4-4-e-0_ext.xml.minion.converted.minion.gz,1,759,0.191663
BlackHole-4-4-e-0_ext.xml.minion.conv.minion,1,759,0.191663
BlackHole-4-4-e-1_ext.xml.minion.converted.minion.gz,1,759,0.191663
BlackHole-4-4-e-1_ext.xml.minion.conv.minion,1,759,0.191663
BlackHole-4-4-e-2_ext.xml.minion.converted.minion.gz,1,759,0.191663
BlackHole-4-4-e-2_ext.xml.minion.conv.minion,1,759,0.191663
BlackHole-4-4-e-3_ext.xml.minion.converted.minion.gz,1,759,0.191663
BlackHole-4-4-e-3_ext.xml.minion.conv.minion,1,759,0.191663
BlackHole-4-4-e-4_ext.xml.minion.converted.minion.gz,1,759,0.191663
BlackHole-4-4-e-4_ext.xml.minion.conv.minion,1,759,0.191663
BlackHole-4-4-e-5_ext.xml.minion.converted.minion.gz,1,759,0.191663
BlackHole-4-4-e-5_ext.xml.minion.conv.minion,1,759,0.191663
BlackHole-4-4-e-6_ext.xml.minion.converted.minion.gz,1,759,0.191663
BlackHole-4-4-e-6_ext.xml.minion.conv.minion,1,759,0.191663
BlackHole-4-4-e-7_ext.xml.minion.converted.minion.gz,1,759,0.191663
BlackHole-4-4-e-7_ext.xml.minion.conv.minion,1,759,0.191663
BlackHole-4-4-e-8_ext.xml.minion.converted.minion.gz,1,759,0.191663
BlackHole-4-4-e-8_ext.xml.minion.conv.minion,1,759,0.191663
BlackHole-4-4-e-9_ext.xml.minion.converted.minion.gz,1,759,0.191663
BlackHole-4-4-e-9_ext.xml.minion.conv.minion,1,759,0.191663
BlackHole-4-7-e-0_ext.xml.minion.converted.minion.gz,1,868,0.198221
BlackHole-4-7-e-1_ext.xml.minion.converted.minion.gz,1,868,0.198221
BlackHole-4-7-e-2_ext.xml.minion.converted.minion.gz,1,868,0.198221
BlackHole-4-7-e-3_ext.xml.minion.converted.minion.gz,1,868,0.198221
BlackHole-4-7-e-4_ext.xml.minion.converted.minion.gz,1,868,0.198221
BlackHole-4-7-e-5_ext.xml.minion.converted.minion.gz,1,868,0.198221
BlackHole-4-7-e-6_ext.xml.minion.converted.minion.gz,1,868,0.198221
BlackHole-4-7-e-7_ext.xml.minion.converted.minion.gz,1,868,0.198221
BlackHole-4-7-e-8_ext.xml.minion.converted.minion.gz,1,868,0.198221
BlackHole-4-7-e-9_ext.xml.minion.converted.minion.gz,1,868,0.198221
BlackHole-4-7-h-0_ext.xml.minion.converted.minion.gz,1,868,0.198221
BlackHole-4-7-h-1_ext.xml.minion.converted.minion.gz,1,868,0.198221
BlackHole-4-7-h-2_ext.xml.minion.converted.minion.gz,1,868,0.198221
BlackHole-4-7-h-3_ext.xml.minion.converted.minion.gz,1,868,0.198221
BlackHole-4-7-h-4_ext.xml.minion.converted.minion.gz,1,868,0.198221
BlackHole-4-7-h-5_ext.xml.minion.converted.minion.gz,1,868,0.198221
BlackHole-4-7-h-6_ext.xml.minion.converted.minion.gz,1,868,0.198221
BlackHole-4-7-h-7_ext.xml.minion.converted.minion.gz,1,868,0.198221
BlackHole-4-7-h-8_ext.xml.minion.converted.minion.gz,1,868,0.198221
BlackHole-4-7-h-9_ext.xml.minion.converted.minion.gz,1,868,0.198221
bqwh-15-106-0_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-10_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-11_ext.xml.minion.converted.minion.gz,1,335,0.012019
bqwh-15-106-11_glb.xml.minion.conv.minion,1,993,0.003617
bqwh-15-106-13_ext.xml.minion.converted.minion.gz,1,913,0.014989
bqwh-15-106-13_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-14_glb.xml.minion.conv.minion,1,991,0.004576
bqwh-15-106-15_ext.xml.minion.converted.minion.gz,1,335,0.01145
bqwh-15-106-15_glb.xml.minion.conv.minion,1,951,0.003617
bqwh-15-106-17_ext.xml.minion.converted.minion.gz,1,335,0.016119
bqwh-15-106-18_glb.xml.minion.conv.minion,1,980,0.003617
bqwh-15-106-19_ext.xml.minion.converted.minion.gz,1,913,0.014827
bqwh-15-106-19_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-1_ext.xml.minion.converted.minion.gz,1,335,0.015675
bqwh-15-106-1_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-20_glb.xml.minion.conv.minion,1,969,0.003377
bqwh-15-106-21_ext.xml.minion.converted.minion.gz,1,243,0.018709
bqwh-15-106-21_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-22_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-23_ext.xml.minion.converted.minion.gz,1,243,0.015899
bqwh-15-106-23_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-24_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-25_ext.xml.minion.converted.minion.gz,1,243,0.012977
bqwh-15-106-25_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-26_glb.xml.minion.conv.minion,1,963,0.003617
bqwh-15-106-27_ext.xml.minion.converted.minion.gz,1,883,0.014573
bqwh-15-106-28_glb.xml.minion.conv.minion,1,960,0.003617
bqwh-15-106-29_ext.xml.minion.converted.minion.gz,1,882,0.016536
bqwh-15-106-29_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-2_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-30_glb.xml.minion.conv.minion,1,977,0.003377
bqwh-15-106-31_ext.xml.minion.converted.minion.gz,1,793,0.0121
bqwh-15-106-31_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-32_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-33_ext.xml.minion.converted.minion.gz,1,904,0.015967
bqwh-15-106-33_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-34_glb.xml.minion.conv.minion,1,962,0.003617
bqwh-15-106-35_ext.xml.minion.converted.minion.gz,1,335,0.009893
bqwh-15-106-35_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-36_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-37_ext.xml.minion.converted.minion.gz,1,335,0.01737
bqwh-15-106-37_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-38_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-39_ext.xml.minion.converted.minion.gz,1,243,0.012104
bqwh-15-106-39_glb.xml.minion.conv.minion,1,982,0.003617
bqwh-15-106-3_ext.xml.minion.converted.minion.gz,1,335,0.012547
bqwh-15-106-3_glb.xml.minion.conv.minion,1,972,0.003377
bqwh-15-106-40_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-41_ext.xml.minion.converted.minion.gz,1,335,0.014877
bqwh-15-106-41_glb.xml.minion.conv.minion,1,975,0.003617
bqwh-15-106-42_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-43_ext.xml.minion.converted.minion.gz,1,870,0.015047
bqwh-15-106-43_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-44_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-45_ext.xml.minion.converted.minion.gz,1,335,0.013592
bqwh-15-106-45_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-46_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-47_ext.xml.minion.converted.minion.gz,1,335,0.01571
bqwh-15-106-47_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-48_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-49_ext.xml.minion.converted.minion.gz,1,962,0.014242
bqwh-15-106-49_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-4_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-50_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-51_ext.xml.minion.converted.minion.gz,1,243,0.014128
bqwh-15-106-51_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-53_ext.xml.minion.converted.minion.gz,1,243,0.012349
bqwh-15-106-53_glb.xml.minion.conv.minion,1,992,0.003617
bqwh-15-106-54_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-55_ext.xml.minion.converted.minion.gz,1,335,0.010997
bqwh-15-106-55_glb.xml.minion.conv.minion,1,982,0.003617
bqwh-15-106-56_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-57_ext.xml.minion.converted.minion.gz,1,811,0.015359
bqwh-15-106-57_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-58_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-59_ext.xml.minion.converted.minion.gz,1,243,0.011073
bqwh-15-106-59_glb.xml.minion.conv.minion,1,978,0.003617
bqwh-15-106-5_ext.xml.minion.converted.minion.gz,1,987,0.017128
bqwh-15-106-5_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-60_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-61_ext.xml.minion.converted.minion.gz,1,853,0.016623
bqwh-15-106-61_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-62_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-63_ext.xml.minion.converted.minion.gz,1,876,0.014586
bqwh-15-106-63_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-65_ext.xml.minion.converted.minion.gz,1,513,0.016746
bqwh-15-106-65_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-66_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-67_ext.xml.minion.converted.minion.gz,1,335,0.013709
bqwh-15-106-67_glb.xml.minion.conv.minion,1,979,0.003617
bqwh-15-106-68_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-69_ext.xml.minion.converted.minion.gz,1,223,0.010384
bqwh-15-106-69_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-6_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-70_glb.xml.minion.conv.minion,1,954,0.003617
bqwh-15-106-71_ext.xml.minion.converted.minion.gz,1,324,0.009534
bqwh-15-106-71_glb.xml.minion.conv.minion,1,981,0.003377
bqwh-15-106-72_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-73_ext.xml.minion.converted.minion.gz,1,335,0.013901
bqwh-15-106-73_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-74_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-75_ext.xml.minion.converted.minion.gz,1,335,0.010403
bqwh-15-106-75_glb.xml.minion.conv.minion,1,961,0.003617
bqwh-15-106-76_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-77_ext.xml.minion.converted.minion.gz,1,694,0.013474
bqwh-15-106-77_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-78_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-79_ext.xml.minion.converted.minion.gz,1,940,0.015185
bqwh-15-106-79_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-7_ext.xml.minion.converted.minion.gz,1,243,0.015167
bqwh-15-106-7_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-80_glb.xml.minion.conv.minion,1,959,0.003617
bqwh-15-106-81_ext.xml.minion.converted.minion.gz,1,767,0.011862
bqwh-15-106-81_glb.xml.minion.conv.minion,1,978,0.003617
bqwh-15-106-83_ext.xml.minion.converted.minion.gz,1,243,0.013495
bqwh-15-106-83_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-84_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-85_ext.xml.minion.converted.minion.gz,1,335,0.013092
bqwh-15-106-85_glb.xml.minion.conv.minion,1,965,0.003617
bqwh-15-106-86_glb.xml.minion.conv.minion,1,968,0.003617
bqwh-15-106-87_ext.xml.minion.converted.minion.gz,1,335,0.01504
bqwh-15-106-87_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-88_glb.xml.minion.conv.minion,1,949,0.003617
bqwh-15-106-89_ext.xml.minion.converted.minion.gz,1,335,0.012399
bqwh-15-106-89_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-8_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-90_glb.xml.minion.conv.minion,1,978,0.003617
bqwh-15-106-91_ext.xml.minion.converted.minion.gz,1,335,0.010214
bqwh-15-106-92_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-93_ext.xml.minion.converted.minion.gz,1,243,0.012187
bqwh-15-106-93_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-94_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-95_ext.xml.minion.converted.minion.gz,1,793,0.014062
bqwh-15-106-95_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-96_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-97_ext.xml.minion.converted.minion.gz,1,882,0.013016
bqwh-15-106-97_glb.xml.minion.conv.minion,1,?,?
bqwh-15-106-98_glb.xml.minion.conv.minion,1,975,0.003617
bqwh-15-106-99_ext.xml.minion.converted.minion.gz,1,249,0.008176
bqwh-15-106-99_glb.xml.minion.conv.minion,1,966,0.003377
bqwh-15-106-9_ext.xml.minion.converted.minion.gz,1,335,0.013197
bqwh-15-106-9_glb.xml.minion.conv.minion,1,972,0.003617
bqwh-18-141-11_ext.xml.minion.converted.minion.gz,1,876,0.013146
bqwh-18-141-13_ext.xml.minion.converted.minion.gz,1,970,0.014105
bqwh-18-141-15_ext.xml.minion.converted.minion.gz,1,335,0.010469
bqwh-18-141-17_ext.xml.minion.converted.minion.gz,1,868,0.013448
bqwh-18-141-19_ext.xml.minion.converted.minion.gz,1,335,0.011555
bqwh-18-141-1_ext.xml.minion.converted.minion.gz,1,335,0.011568
bqwh-18-141-21_ext.xml.minion.converted.minion.gz,1,335,0.010661
bqwh-18-141-23_ext.xml.minion.converted.minion.gz,1,988,0.009878
bqwh-18-141-25_ext.xml.minion.converted.minion.gz,1,335,0.010316
bqwh-18-141-27_ext.xml.minion.converted.minion.gz,1,868,0.015455
bqwh-18-141-29_ext.xml.minion.converted.minion.gz,1,335,0.012123
bqwh-18-141-31_ext.xml.minion.converted.minion.gz,1,243,0.009749
bqwh-18-141-33_ext.xml.minion.converted.minion.gz,1,870,0.014282
bqwh-18-141-35_ext.xml.minion.converted.minion.gz,1,240,0.01202
bqwh-18-141-37_ext.xml.minion.converted.minion.gz,1,335,0.012315
bqwh-18-141-39_ext.xml.minion.converted.minion.gz,1,335,0.01178
bqwh-18-141-3_ext.xml.minion.converted.minion.gz,1,335,0.011962
bqwh-18-141-41_ext.xml.minion.converted.minion.gz,1,243,0.012162
bqwh-18-141-43_ext.xml.minion.converted.minion.gz,1,243,0.010218
bqwh-18-141-45_ext.xml.minion.converted.minion.gz,1,243,0.012369
bqwh-18-141-47_ext.xml.minion.converted.minion.gz,1,335,0.010134
bqwh-18-141-49_ext.xml.minion.converted.minion.gz,1,335,0.01402
bqwh-18-141-51_ext.xml.minion.converted.minion.gz,1,243,0.010428
bqwh-18-141-53_ext.xml.minion.converted.minion.gz,1,243,0.010048
