@RELATION 'FEATURE_VALUES-SAT11-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE CG_min NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE CG_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE CG_max NUMERIC
@ATTRIBUTE SP_bias_max NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE cluster_coeff_min NUMERIC
@ATTRIBUTE HORNY_VAR_entropy NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE DIAMETER_entropy NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_CoeffVariance NUMERIC

@DATA
./SAT03/industrial/goldberg/hard_eq_check/x1mul.miter.shuffled-as.sat03-359.cnf,1,0.7119,0.7996,0.7421,0.6544,0.6037,0.2299,0.0709,0.156,0.6934,?,0.4607,?,1.7742,?,0.9506,0.2365,1.4698,1.0593,1.5077,0.1013,0.6667,0.3013,0.1664,?,1.9525,0.5796,0.4592,0.7453,1.1569,0.3783,0.0648,1.1023
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top25.cnf,1,0.5502,0.5848,0.5724,0.4021,0.1545,0.1489,0.1815,0.1962,0.8351,?,0.4242,?,2.0728,?,0.9903,0.5749,2.1123,1.1357,1.2526,0.1749,0.9245,0.2432,0.1594,?,1.9524,0.3106,0.3877,0.6648,0.7296,0.0295,0.0788,1.2993
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-27-step14.cnf,1,0.9778,1,0.9987,0.7626,0.5,0.9842,0.32,0.0402,0.9853,?,0.9842,?,3.079,?,1,0.4657,3.7149,0.1222,0.8005,0.4933,0.9922,0.5,0.5524,?,3.5036,0.6748,0.5179,0.9597,1.3863,0.0688,0.2679,0
./SAT09/APPLICATIONS/bitverif/maxxororand/maxxororand064.cnf,1,0.3132,0.548,0.4877,0.3249,0.1275,0.2964,0.1834,0.1826,0.7464,?,0.4981,?,2.3172,?,1,0.7169,2.4201,1.4909,1.6108,0.1154,0.8824,0.4209,0.149,?,2.0606,0.4983,0.4802,0.7369,0.5583,0.0212,0.0897,1.487
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pathways-13-step17.cnf,1,0.8123,0.9513,0.949,0.6114,0.2212,0.9005,0.2947,0.1563,0.9644,0,0.9064,0.0001,2.83,0.0062,1,0.6078,2.5587,0.4516,1.0639,0.3324,1,0.5,0.3882,0.0099,2.6347,0.7025,0.4925,0.9718,1.1317,0.02,0.0873,1.1015
./SAT09/APPLICATIONS/bioinfo/q_query_3_L70_coli.sat.cnf,1,0.6128,0.9211,0.828,0.626,0.5433,0.1224,0.1749,0.0952,0.7578,?,0.4776,?,2.666,?,1,0.3381,2.7203,1.2556,1.427,0.0956,1,1,0.3748,?,2.6194,0.0971,0.4848,0.6399,0.3955,0.3881,0.0847,1.7124
./SAT05/industrial/maris05/DriverLog/driverlog3_v01a.renamed-as.sat05-3963.cnf,1,0.8343,0.9531,0.8844,0.7698,0.7472,0.7698,0.2633,0.1235,0.8544,0.0026,0.7802,0.0256,3.4393,0.1313,0.9944,0.2653,3.1551,0.8424,1.0863,0.1193,0.9111,0.2823,0.4735,0.0317,2.6889,0.9787,0.7688,0.4806,0.9141,0.4131,0.0854,0.252
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-pdtpmsns2-tseitin.cnf,1,0.3393,0.7174,0.5776,0.3554,0.1252,0.2359,0.1192,0.1757,0.6345,0,0.4676,0.0005,2.896,0.0036,1,0.7191,3.1253,1.4907,1.7048,0.1088,0.8148,0.2859,0.1268,0.0217,2.6411,0.1791,0.456,0.7582,0.9341,0.0222,0.0778,0.2532
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-lfsr_008_079_112-tseitin.cnf,1,0.8491,0.9899,0.9554,0.7563,0.6875,0.5524,0.2535,0.063,0.8398,?,0.8552,?,3.169,?,0.9993,0.3812,3.1268,1.3418,1.3928,0.169,0.9328,0.4995,0.3397,?,3.0191,0.5997,0.6938,0.5235,0.2691,0.1111,0.1064,0.3311
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.035-NOTKNOWN.cnf,1,0.9254,0.9545,0.9448,0.701,0.2957,0.9764,0.1651,0.1527,0.9829,?,0.9739,?,2.3914,?,1,0.4678,2.413,0.1778,0.8075,0.2681,1,0.5282,0.1884,?,2.2688,0.7107,0.379,1.2726,0.5382,0.2027,0.2382,0.9312
SAT-Race-2010-CNF/hardware-verification/velev/2dlx_ca_bp_f_liveness.cnf,1,0.9971,1,0.9996,0.9439,0.9718,0.9069,0.2372,0.0439,0.9471,?,0.9495,?,4.0238,?,1,0.1547,4.077,0.5717,1.0688,0.1988,0.9852,0.5,0.5002,?,4.0475,0.4604,0.7212,0.593,0,0.8346,0.0358,0
./SAT04/industrial/velev/vliw_unsat_2.0/9dlx_vliw_at_b_iq6.used-as.sat04-347.cnf,1,0.9918,1,0.9996,0.8634,0.9247,0.9087,0.2634,0.0476,0.9369,?,0.9301,?,4.2629,?,1,0.3208,4.4716,0.5897,1.0028,0.3412,1,1,0.3443,?,4.165,0.4575,0.7691,0.5229,0,0.353,0.1086,0
./SAT11/application/kullmann/AES/Benchmarks/32/aes_32_2_keyfind_1.cnf,1,0.0253,0.2234,0.0984,0.0734,0.0028,0.0223,0.0707,0.2081,0.5028,0.0063,0.4064,0.0187,1.793,0.0356,0.3962,1.3266,2.6786,0.8921,1.4436,0.1309,0.25,0.135,0.0526,0.1882,2.1438,0.7547,0.4544,0.6663,0.7101,0.0002,0.107,0.3906
./SAT11/application/leberre/2dimensionalstrippacking/korf-18.cnf,1,0.8508,0.9071,0.8784,0.845,0.8183,0.0943,0.2169,0.0371,0.1793,?,0.942,?,1.2868,?,0.9924,0.0751,1.7372,2.1227,0.5612,0.026,0.9934,0.1517,0.3662,?,1.5671,0.6023,0.8736,0.3541,0.6778,0.7761,0.0113,0
./SAT09/APPLICATIONS/diagnosis/ACG-10-10p0.cnf,1,0.582,0.8834,0.8364,0.5143,0.1881,0.6431,0.1615,0.1944,0.8544,0,0.7535,0.0001,2.7473,0.0004,0.9964,0.6306,2.7001,1.0473,1.435,0.0406,0.75,0.0931,0.1909,0.0138,2.3979,0.7204,0.3912,1.0234,0.4903,0.0497,0.03,0.7987
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top26.cnf,1,0.5507,0.586,0.5722,0.4038,0.1546,0.1471,0.1821,0.1963,0.8357,?,0.4245,?,2.0847,?,0.9947,0.5727,2.1035,1.1315,1.2477,0.175,0.9266,0.2465,0.1604,?,1.9475,0.3135,0.3862,0.6638,0.7299,0.0273,0.0793,0.8443
./SAT05/industrial/grieu05/vmpc/vmpc_25.renamed-as.sat05-1913.cnf,1,0.6928,0.6977,0.6928,0.6929,0.6928,0.3917,0.002,0.0081,0.9993,?,0.9993,?,0.0335,?,0.7028,0.003,0.7452,0.6746,0.6766,0,0.5335,0,0.5235,?,0.7452,0.9401,0.5939,0.5485,0,0.6892,0,0.0905
./SAT07/industrial/palacios/hard/sortnet-8-ipc5-h19-sat.cnf,1,0.6386,0.9685,0.8785,0.5962,0.3379,0.401,0.249,0.0718,0.5813,?,0.6514,?,3.7986,?,1,0.5122,4.1473,1.9839,1.9957,0.3398,0.9487,0.5,0.249,?,3.1744,0.5315,0.3373,0.9215,0.6902,0.1413,0.2764,0
./SAT11/application/kullmann/AES/Benchmarks/32/aes_32_1_keyfind_1.cnf,1,0.0175,0.2222,0.0952,0.0751,0.0045,0.0364,0.0746,0.2212,0.5697,0.0167,0.4303,0.0366,1.7135,0.0561,0.3811,1.3184,2.5754,0.9282,1.4585,0.1169,0.25,0.1342,0.0572,0.25,2.0593,0.8321,0.4475,0.7224,0.6245,0.0003,0.0959,0.3931
./SAT07/industrial/anbulagan/hard-unsat/partial-5-11-u.cnf,1,0.7515,0.8792,0.8341,0.5847,0.2799,0.6423,0.1602,0.1882,0.8637,0,0.7554,0,2.8848,0.0002,0.9369,0.5241,2.5265,1.0079,1.3876,0.0325,0.7333,0.1349,0.2707,0.029,2.2272,0.814,0.3982,1.0067,0.6077,0.0873,0.028,0.7339
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.085-SAT.cnf,1,0.9176,0.9844,0.9833,0.8119,0.6473,0.9812,0.1645,0.1508,0.9859,?,0.9794,?,2.225,?,1,0.269,2.2526,0.1332,0.7721,0.3234,1,0.5342,0.188,?,2.0861,0.6768,0.3801,1.2721,0,0.5728,0.2604,0
./SAT07/industrial/anbulagan/hard-sat/partial-10-15-s.cnf,1,0.7406,0.8796,0.837,0.5666,0.2208,0.5987,0.1634,0.176,0.8754,0,0.7393,0,2.898,0.0001,0.9453,0.5684,2.5698,1.0292,1.3813,0.0309,0.8,0.1437,0.2637,0.0258,2.3488,0.7698,0.3878,0.9944,0.8033,0.0695,0.0255,0
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom24.cnf,1,0.1567,0.5997,0.5594,0.2743,0.04,0.1177,0.2461,0.1803,0.7204,?,0.3808,?,2.2144,?,0.9908,0.8925,2.3569,1.3344,1.517,0.2402,0.88,0.2404,0.2071,?,2.2686,0.2109,0.4219,0.6773,0.669,0.0004,0.1711,1.565
./SAT11/application/rintanen/SATPlanning/blocks-blocks-37-1.120-NOTKNOWN.cnf,1,0.9835,0.9945,0.9918,0.9609,0.9617,0.961,0.3259,0.0569,0.9978,?,0.961,?,1.7403,?,0.9998,0.1013,1.9108,0.1789,0.648,0.0736,0.9941,0.5,0.426,?,1.8349,0.3803,0.7901,0.5025,0,0.9479,0.0577,0
./SAT09/APPLICATIONS/crypto/desgen/gss-16-s100.cnf,1,0.853,0.9252,0.9011,0.7576,0.7562,0.6633,0.1522,0.2405,0.9396,0.0001,0.8961,0.0005,2.3661,0.0038,0.9697,0.3302,2.4667,0.9808,1.1292,0.0559,0.7778,0.1739,0.1827,0.0186,1.8747,0.6516,0.188,1.5565,0.8263,0.3044,0.0424,0.2323
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom23.cnf,1,0.1568,0.5983,0.5616,0.2733,0.0399,0.1192,0.2457,0.1803,0.7206,?,0.3807,?,2.2121,?,0.9924,0.8941,2.368,1.3368,1.5182,0.2402,0.8958,0.2404,0.206,?,2.2761,0.192,0.4231,0.6771,0.7542,0.0005,0.171,0.4881
SAT_RACE08/cnf/velev-vliw-uns-4.0-9-i1.cnf,1,0.9969,1,0.9999,0.8642,0.835,0.6001,0.2587,0.0429,0.953,?,0.9461,?,4.0488,?,1,0.2737,4.3628,0.9783,1.3269,0.3485,1,0.5,0.4607,?,4.2384,0.5705,0.5373,0.752,0.5623,0.4894,0.0912,0
./SAT11/application/rintanen/SATPlanning/sokoban-sequential-p145-microban-sequential.030-NOTKNOWN.cnf,1,0.9218,0.9676,0.9319,0.8882,0.9069,0.9575,0.2521,0.0737,0.9637,?,0.9575,?,2.0274,?,0.9946,0.1627,2.0673,0.2706,0.8708,0.0034,0.9091,0.1694,0.3234,?,2.0559,0.8282,0.6691,0.6895,1.0534,0.8516,0.0003,0.2065
./SAT03/industrial/goldberg/hard_eq_check/k2mul.miter.shuffled-as.sat03-355.cnf,1,0.6883,0.7804,0.734,0.614,0.556,0.2298,0.0773,0.1555,0.6937,?,0.4635,?,1.9964,?,0.9188,0.3062,1.864,1.0576,1.5073,0.0889,0.6667,0.3026,0.1598,?,2.2248,0.5363,0.4619,0.7466,1.1153,0.3379,0.0577,0.2003
./SAT11/application/fuhs/AProVE11/AProVE11-07.cnf,1,0.1503,0.4743,0.3975,0.218,0.0522,0.1576,0.0677,0.21,0.7046,?,0.5439,?,1.6587,?,0.9945,0.8578,2.4639,1.0297,1.2385,0.1007,0.7143,0.3049,0.0511,?,2.1163,0.0912,0.3663,0.6562,0.3768,0.0157,0.0621,0
SAT_RACE06/ibm-2002-21r-k95.cnf,1,0.6552,0.92,0.8266,0.6004,0.4153,0.5208,0.164,0.1352,0.6574,?,0.5996,?,3.69,?,0.9963,0.4638,3.6679,1.643,1.9733,0.0899,0.7297,0.3573,0.225,?,2.984,0.0996,0.3724,0.9999,1.416,0.1473,0.0475,1.2976
./SAT11/application/kullmann/AES/Benchmarks/128/aes_128_1_keyfind_1.cnf,1,0.0016,0.0908,0.036,0.0235,0.0001,0.04,0.018,0.0834,0.1468,0.0014,0.1437,0.0253,0.9864,0.0417,0.1865,1.6404,2.8373,1.6566,2.2048,0.1373,0.1,0.1505,0.0097,0.2714,2.4978,0.6387,0.3513,0.7444,0.6311,0,0.1221,0.3438
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-lfsr_004_127_112-tseitin.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
./SAT11/application/leberre/2dimensionalstrippacking/E15N15.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.045-NOTKNOWN.cnf,1,0.9466,0.9771,0.9604,0.7469,0.4072,0.9782,0.1615,0.1539,0.9841,?,0.9759,?,2.2997,?,1,0.3924,2.3297,0.1614,0.7964,0.3041,1,0.5294,0.1844,?,2.1565,0.6843,0.3836,1.2613,0.6638,0.3285,0.2674,0.6572
./SAT07/industrial/fuhs/hard/AProVE07-01.cnf,1,0.1741,0.6364,0.4805,0.271,0.0496,0.1962,0.1553,0.1714,0.5657,0.0004,0.509,0.0033,2.7463,0.0413,0.9401,0.9304,3.2592,1.4537,1.6477,0.1321,0.8333,0.2424,0.1197,0.0113,2.6461,0.5613,0.3772,0.6862,0.9577,0.0099,0.0739,0.2537
./SAT03/industrial/li/li-test4/li-test4-100.shuffled-as.sat03-370.cnf,1,0.1201,0.4703,0.3485,0.1927,0.0471,0.1001,0.2885,0.2369,0.6173,0,0.4518,0.0002,1.6395,0.0039,0.815,0.9153,2.2091,1.0452,1.4145,0.3042,0.9,0.3924,0.1611,0.0069,2.1218,0.0419,0.4502,0.7466,1.059,0.0113,0.2503,0.1962
./SAT04/industrial/velev/vliw_unsat_2.0/9dlx_vliw_at_b_iq8.used-as.sat04-718.cnf,1,0.9978,1,1,0.8861,0.9488,0.9186,0.2614,0.0434,0.9417,?,0.9362,?,4.2501,?,1,0.2881,4.51,0.5463,0.96,0.3162,1,1,0.346,?,4.1987,0.4664,0.777,0.5136,0,0.4896,0.0747,0
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.045-NOTKNOWN.cnf,1,0.9469,0.9772,0.9604,0.7466,0.4062,0.9787,0.1648,0.1518,0.9843,?,0.9764,?,2.3196,?,1,0.3938,2.3471,0.1583,0.7919,0.3037,1,0.5294,0.1882,?,2.1938,0.7058,0.3795,1.2724,0.6927,0.3277,0.2674,0.6591
./SAT03/industrial/schuppan/l2s/valves-gates-1-k617-unsat.shuffled-as.sat03-412.cnf,1,0.293,0.6586,0.5,0.3053,0.04,0.1786,0.1635,0.1815,0.8307,?,0.5003,?,2.5145,?,1,0.8389,2.9345,1.1103,1.3778,0.5,0.8958,0.5,0.1636,?,2.8025,0.2577,0.4763,0.7175,0,0,0.5,0
./SAT11/application/leberre/2dimensionalstrippacking/E05F18.cnf,1,0.8327,0.9054,0.8598,0.8469,0.8241,0.1383,0.2197,0.0535,0.2716,?,0.9405,?,1.3748,?,0.985,0.0569,1.7075,2.2658,0.7304,0.0304,0.988,0.1505,0.3764,?,1.6707,0.6236,0.8147,0.4389,0.667,0.8162,0.0066,0.2096
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k45-pdtpmspalu-tseitin.cnf,1,0.3256,0.695,0.5408,0.3597,0.1778,0.1742,0.1051,0.1644,0.5903,?,0.3923,?,2.6693,?,1,0.6377,3.0943,1.4469,1.7044,0.0972,0.8824,0.2541,0.1069,?,2.5389,0.2,0.4595,0.7084,0.5458,0.0755,0.0832,1.529
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top30.cnf,1,0.5528,0.5916,0.5657,0.4065,0.1564,0.1414,0.1846,0.1969,0.8375,?,0.4259,?,2.0429,?,0.9868,0.5629,2.0559,1.1171,1.2298,0.1749,0.9032,0.2478,0.1645,?,1.9207,0.2489,0.381,0.6614,0.7237,0.0266,0.0825,1.4312
SAT-Race-2010-CNF/hardware-verification/velev/11pipe_11_ooo.cnf,1,1,1,1,0.909,0.9855,0.8928,0.2832,0.0187,0.9716,?,0.9713,?,4.2103,?,1,0.2237,5.1632,0.515,0.8541,0.2939,0.9869,0.5,0.5489,?,5.0522,0.3529,0.8073,0.4526,0,0.5015,0.0123,0
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k45-pdtswvtms14x8p1-tseitin.cnf,1,0.3712,0.8049,0.6997,0.4043,0.1364,0.1765,0.1379,0.1404,0.5855,?,0.4848,?,2.536,?,0.9927,0.705,2.8215,1.5535,1.7781,0.1137,0.8857,0.3234,0.1131,?,2.4782,0.7711,0.5636,0.5997,1.1817,0.0497,0.0777,0.2848
./SAT11/application/fuhs/AProVE11/AProVE11-11.cnf,1,0.1793,0.4822,0.3896,0.2418,0.0869,0.1823,0.0893,0.216,0.7765,0,0.5384,0.0002,2.1353,0.0047,0.9649,0.7759,2.4922,1.0411,1.2663,0.1162,0.8788,0.3182,0.0764,0.0034,2.267,0.1562,0.3507,0.7506,0.8326,0.0433,0.0635,1.094
./SAT11/application/manthey/traffic/traffic_r_uc_sat.cnf,1,0.5335,0.8319,0.6818,0.5081,0.3233,0.1396,0.0605,0.1019,0.3436,?,0.2316,?,2.7564,?,1,0.4912,4.0874,0.8757,0.6002,0.3457,0.5,0.5,0.0726,?,1.8461,0.1306,0.0881,2.124,0,0.1399,0.3295,0
./SAT07/industrial/fuhs/medium/AProVE07-21.cnf,1,0.166,0.5773,0.3706,0.2437,0.0618,0.2034,0.0957,0.1833,0.576,0.0009,0.6087,0.0048,1.7903,0.0509,0.9537,0.8804,2.1533,1.234,1.2931,0.08,0.7143,0.2681,0.0654,0.014,1.8436,0.9519,0.339,0.6166,1.0246,0.0263,0.0469,0.2609
./SAT07/industrial/IBM_FV_2002_13_rule_1/SAT_dat.k45.cnf,1,0.0483,0.9068,0.7891,0.3163,0,0.3348,0.1557,0.1373,0.4883,?,0.5925,?,1.6669,?,0.9948,1.2052,2.9341,1.3682,1.5884,0.1397,0.72,0.2916,0.1025,?,2.603,0.4339,0.4138,0.7733,1.2616,0,0.1384,3.0097
./SAT11/application/rintanen/SATPlanning/transport-transport-two-cities-sequential-15nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.040-SAT.cnf,1,0.9375,0.9952,0.9785,0.7981,0.5767,0.9874,0.2355,0.1456,0.9877,?,0.9874,?,1.4369,?,1,0.3367,1.4542,0.0895,0.753,0.4329,1,0.799,0.3607,?,1.436,0.532,0.4031,1.2125,0,0.4145,0.3283,0
./SAT11/application/rintanen/SATPlanning/sokoban-sequential-p145-microban-sequential.050-NOTKNOWN.cnf,1,0.9323,0.9823,0.9565,0.8876,0.884,0.9585,0.2539,0.0721,0.9644,?,0.9585,?,1.8324,?,0.999,0.1723,1.8456,0.2616,0.8611,0.0015,0.9091,0.1855,0.3246,?,1.8171,0.6835,0.6725,0.6844,0.6905,0.7935,0,0.3811
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-lfsr_008_063_080-tseitin.cnf,1,0.8903,0.9809,0.968,0.7654,0.7903,0.5851,0.2233,0.0617,0.8282,?,0.8478,?,2.7646,?,0.9952,0.4007,2.9347,1.2976,1.3543,0.3315,0.908,0.4956,0.3145,?,2.761,0.69,0.7163,0.5093,0.4536,0.0817,0.1075,0.3543
