@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_tightness_100 NUMERIC
@ATTRIBUTE normalised_standard_deviation_of_node_degree NUMERIC
@ATTRIBUTE clustering_coefficient NUMERIC
@ATTRIBUTE normalised_maximum_degree NUMERIC
@ATTRIBUTE stats_tightness_75 NUMERIC
@ATTRIBUTE normalised_width_of_ordering NUMERIC
@ATTRIBUTE stats_edge_density NUMERIC
@ATTRIBUTE normalised_mean_degree NUMERIC
@ATTRIBUTE normalised_median_degree NUMERIC
@ATTRIBUTE stats_tightness_mean NUMERIC
@ATTRIBUTE normalised_minimum_degree NUMERIC
@ATTRIBUTE stats_tightness_50 NUMERIC
@ATTRIBUTE stats_cts_per_var_mean NUMERIC
@ATTRIBUTE normalised_width_of_graph NUMERIC
@ATTRIBUTE stats_tightness_0 NUMERIC
@ATTRIBUTE stats_tightness_25 NUMERIC
@ATTRIBUTE stats_dom_0 NUMERIC
@ATTRIBUTE stats_literal_tightness_100 NUMERIC
@ATTRIBUTE normalised_SAC_literals NUMERIC
@ATTRIBUTE stats_table_proportion NUMERIC
@ATTRIBUTE stats_sums_proportion NUMERIC
@ATTRIBUTE stats_cts_per_var_mean_normalised NUMERIC
@ATTRIBUTE stats_arity_mean_normalised NUMERIC
@ATTRIBUTE stats_table_count NUMERIC
@ATTRIBUTE mean_degree NUMERIC
@ATTRIBUTE stats_literal_tightness_coeff_of_variation NUMERIC
@ATTRIBUTE stats_or_atleastk_count NUMERIC
@ATTRIBUTE stats_lex_proportion NUMERIC
@ATTRIBUTE median_degree NUMERIC
@ATTRIBUTE maximum_degree NUMERIC
@ATTRIBUTE stats_dom_75 NUMERIC
@ATTRIBUTE stats_dom_100 NUMERIC

@DATA
1-insertions-5-5.xml.watchless.minion.gz,1,184,0.032959,0,0.331683,184,0.331683,0.06044,0.060141,0.049505,184,0.024752,184,12.148515,0.039604,184,184,5,23,0,0,0,0.009901,0.009901,0,12.148515,0.148324,0,0,10,67,5,5
1-insertions-5-6.xml.watchless.minion.gz,1,169,0.032959,0,0.331683,169,0.331683,0.06044,0.060141,0.049505,169,0.024752,169,12.148515,0.039604,169,169,6,20,0,0,0,0.009901,0.009901,0,12.148515,0.153623,0,0,10,67,6,6
1-insertions-6-4.xml.watchless.minion.gz,1,263,0.024126,0,0.332784,263,0.332784,0.034455,0.034398,0.029654,263,0.009885,263,20.879736,0.023064,263,263,4,27,0,0,0,0.003295,0.003295,0,20.879736,0.116619,0,0,18,202,4,4
1-insertions-6-5.xml.watchless.minion.gz,1,184,0.024126,0,0.332784,184,0.332784,0.034455,0.034398,0.029654,184,0.009885,184,20.879736,0.023064,184,184,5,23,0,0,0,0.003295,0.003295,0,20.879736,0.148324,0,0,18,202,5,5
1-insertions-6-6.xml.watchless.minion.gz,1,169,0.024126,0,0.332784,169,0.332784,0.034455,0.034398,0.029654,169,0.009885,169,20.879736,0.023064,169,169,6,20,0,0,0,0.003295,0.003295,0,20.879736,0.153623,0,0,18,202,6,6
1-insertions-6-7.xml.watchless.minion.gz,1,154,0.024126,0,0.332784,154,0.332784,0.034455,0.034398,0.029654,154,0.009885,154,20.879736,0.023064,154,154,7,19,0,0,0,0.003295,0.003295,0,20.879736,0.15748,0,0,18,202,7,7
2-fullins-3-4.xml.watchless.minion.gz,1,263,0.058075,0.063836,0.288462,263,0.288462,0.151584,0.148669,0.134615,263,0.076923,263,7.730769,0.096154,263,263,4,27,0,0,0,0.038462,0.038462,0,7.730769,0.116619,0,0,7,15,4,4
2-fullins-3-5.xml.watchless.minion.gz,1,184,0.058075,0.063836,0.288462,184,0.288462,0.151584,0.148669,0.134615,184,0.076923,184,7.730769,0.096154,184,184,5,23,0,0,0,0.038462,0.038462,0,7.730769,0.148324,0,0,7,15,5,5
2-fullins-4-4.xml.watchless.minion.gz,1,263,0.038637,0.021882,0.259434,263,0.259434,0.072476,0.072134,0.061321,263,0.028302,263,15.292453,0.04717,263,263,4,27,0,0,0,0.009434,0.009434,0,15.292453,0.116619,0,0,13,55,4,4
2-fullins-4-5.xml.watchless.minion.gz,1,184,0.038637,0.021882,0.259434,184,0.259434,0.072476,0.072134,0.061321,184,0.028302,184,15.292453,0.04717,184,184,5,23,0,0,0,0.009434,0.009434,0,15.292453,0.148324,0,0,13,55,5,5
2-fullins-4-6.xml.watchless.minion.gz,1,169,0.038637,0.021882,0.259434,169,0.259434,0.072476,0.072134,0.061321,169,0.028302,169,15.292453,0.04717,169,169,6,20,0,0,0,0.009434,0.009434,0,15.292453,0.153623,0,0,13,55,6,6
2-fullins-5-4.xml.watchless.minion.gz,1,263,0.023979,0.007851,0.252347,263,0.252347,0.033656,0.033616,0.029343,263,0.00939,263,28.640845,0.021127,263,263,4,27,0,0,0,0.002347,0.002347,0,28.640845,0.116619,0,0,25,215,4,4
2-fullins-5-5.xml.watchless.minion.gz,1,184,0.023979,0.007851,0.252347,184,0.252347,0.033656,0.033616,0.029343,184,0.00939,184,28.640845,0.021127,184,184,5,23,0,0,0,0.002347,0.002347,0,28.640845,0.148324,0,0,25,215,5,5
2-fullins-5-6.xml.watchless.minion.gz,1,169,0.023979,0.007851,0.252347,169,0.252347,0.033656,0.033616,0.029343,169,0.00939,169,28.640845,0.021127,169,169,6,20,0,0,0,0.002347,0.002347,0,28.640845,0.153623,0,0,25,215,6,6
2-fullins-5-7.xml.watchless.minion.gz,1,154,0.023979,0.007851,0.252347,154,0.252347,0.033656,0.033616,0.029343,154,0.00939,154,28.640845,0.021127,154,154,7,19,0,0,0,0.002347,0.002347,0,28.640845,0.15748,0,0,25,215,7,7
2-insertions-3-3.xml.watchless.minion.gz,1,324,0.025743,0,0.243243,324,0.243243,0.108108,0.105186,0.108108,324,0.081081,324,3.891892,0.081081,324,324,3,35,0,0,0,0.054054,0.054054,0,3.891892,0.037417,0,0,4,9,3,3
2-insertions-3-4.xml.watchless.minion.gz,1,263,0.025743,0,0.243243,263,0.243243,0.108108,0.105186,0.108108,263,0.081081,263,3.891892,0.081081,263,263,4,27,0,0,0,0.054054,0.054054,0,3.891892,0.116619,0,0,4,9,4,4
2-insertions-4-3.xml.watchless.minion.gz,1,324,0.021708,0,0.248322,324,0.248322,0.049066,0.048737,0.053691,324,0.026846,324,7.261745,0.033557,324,324,3,35,0,0,0,0.013423,0.013423,0,7.261745,0.037417,0,0,8,37,3,3
2-insertions-4-4.xml.watchless.minion.gz,1,263,0.021708,0,0.248322,263,0.248322,0.049066,0.048737,0.053691,263,0.026846,263,7.261745,0.033557,263,263,4,27,0,0,0,0.013423,0.013423,0,7.261745,0.116619,0,0,8,37,4,4
2-insertions-4-5.xml.watchless.minion.gz,1,184,0.021708,0,0.248322,184,0.248322,0.049066,0.048737,0.053691,184,0.026846,184,7.261745,0.033557,184,184,5,23,0,0,0,0.013423,0.013423,0,7.261745,0.148324,0,0,8,37,5,5
2-insertions-5-3.xml.watchless.minion.gz,1,324,0.014236,0,0.249581,324,0.249581,0.022124,0.022087,0.020101,324,0.008375,324,13.18593,0.015075,324,324,3,35,0,0,0,0.00335,0.00335,0,13.18593,0.037417,0,0,12,149,3,3
2-insertions-5-4.xml.watchless.minion.gz,1,263,0.014236,0,0.249581,263,0.249581,0.022124,0.022087,0.020101,263,0.008375,263,13.18593,0.015075,263,263,4,27,0,0,0,0.00335,0.00335,0,13.18593,0.116619,0,0,12,149,4,4
2-insertions-5-5.xml.watchless.minion.gz,1,184,0.014236,0,0.249581,184,0.249581,0.022124,0.022087,0.020101,184,0.008375,184,13.18593,0.015075,184,184,5,23,0,0,0,0.00335,0.00335,0,13.18593,0.148324,0,0,12,149,5,5
2-insertions-5-6.xml.watchless.minion.gz,1,169,0.014236,0,0.249581,169,0.249581,0.022124,0.022087,0.020101,169,0.008375,169,13.18593,0.015075,169,169,6,20,0,0,0,0.00335,0.00335,0,13.18593,0.153623,0,0,12,149,6,6
3-fullins-3-5.xml.watchless.minion.gz,1,184,0.049847,0.051742,0.2375,184,0.2375,0.109494,0.108125,0.0875,184,0.05,184,8.65,0.075,184,184,5,23,0,0,0,0.025,0.025,0,8.65,0.148324,0,0,7,19,5,5
3-fullins-3-6.xml.watchless.minion.gz,1,169,0.049847,0.051742,0.2375,169,0.2375,0.109494,0.108125,0.0875,169,0.05,169,8.65,0.075,169,169,6,20,0,0,0,0.025,0.025,0,8.65,0.153623,0,0,7,19,6,6
3-fullins-4-5.xml.watchless.minion.gz,1,184,0.026781,0.01485,0.207407,184,0.207407,0.043075,0.042969,0.037037,184,0.014815,184,17.402469,0.02716,184,184,5,23,0,0,0,0.004938,0.004938,0,17.402469,0.148324,0,0,15,84,5,5
3-fullins-4-6.xml.watchless.minion.gz,1,169,0.026781,0.01485,0.207407,169,0.207407,0.043075,0.042969,0.037037,169,0.014815,169,17.402469,0.02716,169,169,6,20,0,0,0,0.004938,0.004938,0,17.402469,0.153623,0,0,15,84,6,6
3-fullins-4-7.xml.watchless.minion.gz,1,154,0.026781,0.01485,0.207407,154,0.207407,0.043075,0.042969,0.037037,154,0.014815,154,17.402469,0.02716,154,154,7,19,0,0,0,0.004938,0.004938,0,17.402469,0.15748,0,0,15,84,7,7
3-fullins-5-5.xml.watchless.minion.gz,1,184,0.013841,0.004678,0.201478,184,0.201478,0.016388,0.01638,0.014286,184,0.003941,184,33.252217,0.010345,184,184,5,23,0,0,0,0.000985,0.000985,0,33.252217,0.148324,0,0,29,409,5,5
3-fullins-5-6.xml.watchless.minion.gz,1,169,0.013841,0.004678,0.201478,169,0.201478,0.016388,0.01638,0.014286,169,0.003941,169,33.252217,0.010345,169,169,6,20,0,0,0,0.000985,0.000985,0,33.252217,0.153623,0,0,29,409,6,6
3-fullins-5-7.xml.watchless.minion.gz,1,154,0.013841,0.004678,0.201478,154,0.201478,0.016388,0.01638,0.014286,154,0.003941,154,33.252217,0.010345,154,154,7,19,0,0,0,0.000985,0.000985,0,33.252217,0.15748,0,0,29,409,7,7
3-fullins-5-8.xml.watchless.minion.gz,1,136,0.013841,0.004678,0.201478,136,0.201478,0.016388,0.01638,0.014286,136,0.003941,136,33.252217,0.010345,136,136,8,20,0,0,0,0.000985,0.000985,0,33.252217,0.401995,0,0,29,409,8,8
3-insertions-3-3.xml.watchless.minion.gz,1,324,0.01844,0,0.196429,324,0.196429,0.071429,0.070153,0.071429,324,0.053571,324,3.928571,0.053571,324,324,3,35,0,0,0,0.035714,0.035714,0,3.928571,0.037417,0,0,4,11,3,3
3-insertions-3-4.xml.watchless.minion.gz,1,263,0.01844,0,0.196429,263,0.196429,0.071429,0.070153,0.071429,263,0.053571,263,3.928571,0.053571,263,263,4,27,0,0,0,0.035714,0.035714,0,3.928571,0.116619,0,0,4,11,4,4
3-insertions-4-3.xml.watchless.minion.gz,1,324,0.013027,0,0.199288,324,0.199288,0.026589,0.026494,0.02847,324,0.014235,324,7.44484,0.017794,324,324,3,35,0,0,0,0.007117,0.007117,0,7.44484,0.037417,0,0,8,56,3,3
3-insertions-4-4.xml.watchless.minion.gz,1,263,0.013027,0,0.199288,263,0.199288,0.026589,0.026494,0.02847,263,0.014235,263,7.44484,0.017794,263,263,4,27,0,0,0,0.007117,0.007117,0,7.44484,0.116619,0,0,8,56,4,4
3-insertions-4-5.xml.watchless.minion.gz,1,184,0.013027,0,0.199288,184,0.199288,0.026589,0.026494,0.02847,184,0.014235,184,7.44484,0.017794,184,184,5,23,0,0,0,0.007117,0.007117,0,7.44484,0.148324,0,0,8,56,5,5
3-insertions-5-3.xml.watchless.minion.gz,1,324,0.007218,0,0.199858,324,0.199858,0.009816,0.009809,0.01138,324,0.003556,324,13.790896,0.006401,324,324,3,35,0,0,0,0.001422,0.001422,0,13.790896,0.037417,0,0,16,281,3,3
3-insertions-5-4.xml.watchless.minion.gz,1,263,0.007218,0,0.199858,263,0.199858,0.009816,0.009809,0.01138,263,0.003556,263,13.790896,0.006401,263,263,4,27,0,0,0,0.001422,0.001422,0,13.790896,0.116619,0,0,16,281,4,4
3-insertions-5-5.xml.watchless.minion.gz,1,184,0.007218,0,0.199858,184,0.199858,0.009816,0.009809,0.01138,184,0.003556,184,13.790896,0.006401,184,184,5,23,0,0,0,0.001422,0.001422,0,13.790896,0.148324,0,0,16,281,5,5
3-insertions-5-6.xml.watchless.minion.gz,1,169,0.007218,0,0.199858,169,0.199858,0.009816,0.009809,0.01138,169,0.003556,169,13.790896,0.006401,169,169,6,20,0,0,0,0.001422,0.001422,0,13.790896,0.153623,0,0,16,281,6,6
4-fullins-3-6.xml.watchless.minion.gz,1,169,0.043477,0.044685,0.201754,169,0.201754,0.083993,0.083256,0.061404,169,0.035088,169,9.491228,0.061404,169,169,6,20,0,0,0,0.017544,0.017544,0,9.491228,0.153623,0,0,7,23,6,6
4-fullins-3-7.xml.watchless.minion.gz,1,154,0.043477,0.044685,0.201754,154,0.201754,0.083993,0.083256,0.061404,154,0.035088,154,9.491228,0.061404,154,154,7,19,0,0,0,0.017544,0.017544,0,9.491228,0.15748,0,0,7,23,7,7
4-fullins-4-6.xml.watchless.minion.gz,1,169,0.019555,0.011068,0.172464,169,0.172464,0.027976,0.027935,0.021739,169,0.008696,169,19.275362,0.018841,169,169,6,20,0,0,0,0.002899,0.002899,0,19.275362,0.153623,0,0,15,119,6,6
4-fullins-4-7.xml.watchless.minion.gz,1,154,0.019555,0.011068,0.172464,154,0.172464,0.027976,0.027935,0.021739,154,0.008696,154,19.275362,0.018841,154,154,7,19,0,0,0,0.002899,0.002899,0,19.275362,0.15748,0,0,15,119,7,7
4-fullins-4-8.xml.watchless.minion.gz,1,136,0.019555,0.011068,0.172464,136,0.172464,0.027976,0.027935,0.021739,136,0.008696,136,19.275362,0.018841,136,136,8,20,0,0,0,0.002899,0.002899,0,19.275362,0.401995,0,0,15,119,8,8
4-fullins-5-5.xml.watchless.minion.gz,1,184,0.008725,0.003157,0.167631,184,0.167631,0.008997,0.008995,0.007477,184,0.00193,184,37.291365,0.00603,184,184,5,23,0,0,0,0.000482,0.000482,0,37.291365,0.148324,0,0,31,695,5,5
4-fullins-5-6.xml.watchless.minion.gz,1,169,0.008725,0.003157,0.167631,169,0.167631,0.008997,0.008995,0.007477,169,0.00193,169,37.291365,0.00603,169,169,6,20,0,0,0,0.000482,0.000482,0,37.291365,0.153623,0,0,31,695,6,6
4-fullins-5-7.xml.watchless.minion.gz,1,154,0.008725,0.003157,0.167631,154,0.167631,0.008997,0.008995,0.007477,154,0.00193,154,37.291365,0.00603,154,154,7,19,0,0,0,0.000482,0.000482,0,37.291365,0.15748,0,0,31,695,7,7
4-fullins-5-8.xml.watchless.minion.gz,1,136,0.008725,0.003157,0.167631,136,0.167631,0.008997,0.008995,0.007477,136,0.00193,136,37.291365,0.00603,136,136,8,20,0,0,0,0.000482,0.000482,0,37.291365,0.401995,0,0,31,695,8,8
4-insertions-3-3.xml.watchless.minion.gz,1,324,0.013793,0,0.164557,324,0.164557,0.050633,0.049992,0.050633,324,0.037975,324,3.949367,0.037975,324,324,3,35,0,0,0,0.025316,0.025316,0,3.949367,0.037417,0,0,4,13,3,3
4-insertions-3-4.xml.watchless.minion.gz,1,263,0.013793,0,0.164557,263,0.164557,0.050633,0.049992,0.050633,263,0.037975,263,3.949367,0.037975,263,263,4,27,0,0,0,0.025316,0.025316,0,3.949367,0.116619,0,0,4,13,4,4
4-insertions-4-3.xml.watchless.minion.gz,1,324,0.008453,0,0.166316,324,0.166316,0.015945,0.015911,0.016842,324,0.008421,324,7.557895,0.010526,324,324,3,35,0,0,0,0.004211,0.004211,0,7.557895,0.037417,0,0,8,79,3,3
4-insertions-4-4.xml.watchless.minion.gz,1,263,0.008453,0,0.166316,263,0.166316,0.015945,0.015911,0.016842,263,0.008421,263,7.557895,0.010526,263,263,4,27,0,0,0,0.004211,0.004211,0,7.557895,0.116619,0,0,8,79,4,4
4-insertions-4-5.xml.watchless.minion.gz,1,184,0.008453,0,0.166316,184,0.166316,0.015945,0.015911,0.016842,184,0.008421,184,7.557895,0.010526,184,184,5,23,0,0,0,0.004211,0.004211,0,7.557895,0.148324,0,0,8,79,5,5
5-fullins-3-6.xml.watchless.minion.gz,1,169,0.038464,0.039801,0.175325,169,0.175325,0.067227,0.06679,0.045455,169,0.025974,169,10.285714,0.051948,169,169,6,20,0,0,0,0.012987,0.012987,0,10.285714,0.153623,0,0,7,27,6,6
5-fullins-3-7.xml.watchless.minion.gz,1,154,0.038464,0.039801,0.175325,154,0.175325,0.067227,0.06679,0.045455,154,0.025974,154,10.285714,0.051948,154,154,7,19,0,0,0,0.012987,0.012987,0,10.285714,0.15748,0,0,7,27,7,7
5-fullins-3-8.xml.watchless.minion.gz,1,136,0.038464,0.039801,0.175325,136,0.175325,0.067227,0.06679,0.045455,136,0.025974,136,10.285714,0.051948,136,136,8,20,0,0,0,0.012987,0.012987,0,10.285714,0.401995,0,0,7,27,8,8
5-fullins-4-6.xml.watchless.minion.gz,1,169,0.014867,0.008712,0.147465,169,0.147465,0.019377,0.019359,0.013825,169,0.00553,169,21.004608,0.013825,169,169,6,20,0,0,0,0.001843,0.001843,0,21.004608,0.153623,0,0,15,160,6,6
5-fullins-4-7.xml.watchless.minion.gz,1,154,0.014867,0.008712,0.147465,154,0.147465,0.019377,0.019359,0.013825,154,0.00553,154,21.004608,0.013825,154,154,7,19,0,0,0,0.001843,0.001843,0,21.004608,0.15748,0,0,15,160,7,7
5-fullins-4-8.xml.watchless.minion.gz,1,136,0.014867,0.008712,0.147465,136,0.147465,0.019377,0.019359,0.013825,136,0.00553,136,21.004608,0.013825,136,136,8,20,0,0,0,0.001843,0.001843,0,21.004608,0.401995,0,0,15,160,8,8
5-fullins-4-9.xml.watchless.minion.gz,1,96,0.014867,0.008712,0.147465,96,0.147465,0.019377,0.019359,0.013825,96,0.00553,96,21.004608,0.013825,96,96,9,15,0,0,0,0.001843,0.001843,0,21.004608,0.237908,0,0,15,160,9,9
abb313GPIA-10.xml.watchless.minion.gz,1,104,0.012787,0.440231,0.096981,104,0.076429,0.044047,0.044019,0.041105,104,0,104,83.994862,0.043674,104,104,10,13,0,0,0,0.001285,0.001285,0,68.53693,0.2,0,0,64,151,10,10
abb313GPIA-5.xml.watchless.minion.gz,1,184,0.012787,0.440231,0.096981,184,0.076429,0.044047,0.044019,0.041105,184,0,184,83.994862,0.043674,184,184,5,23,0,0,0,0.001285,0.001285,0,68.53693,0.148324,0,0,64,151,5,5
abb313GPIA-7.xml.watchless.minion.gz,1,154,0.012787,0.440231,0.096981,154,0.076429,0.044047,0.044019,0.041105,154,0,154,83.994862,0.043674,154,154,7,19,0,0,0,0.001285,0.001285,0,68.53693,0.15748,0,0,64,151,7,7
abb313GPIA-8.xml.watchless.minion.gz,1,136,0.012787,0.440231,0.096981,136,0.076429,0.044047,0.044019,0.041105,136,0,136,83.994862,0.043674,136,136,8,20,0,0,0,0.001285,0.001285,0,68.53693,0.401995,0,0,64,151,8,8
abb313GPIA-9.xml.watchless.minion.gz,1,96,0.012787,0.440231,0.096981,96,0.076429,0.044047,0.044019,0.041105,96,0,96,83.994862,0.043674,96,96,9,15,0,0,0,0.001285,0.001285,0,68.53693,0.237908,0,0,64,151,9,9
aim-100-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,273,0.016204,0.300758,0.14,136,0.11,0.071919,0.0712,0.07,131.24026,0.05,121,4.61,0.05,114,121,2,21.25,1,1,0,0.029935,0.029935,154,7.12,0.223015,0,0,7,14,2,2
aim-100-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,260,0.013229,0.291397,0.11,128,0.09,0.071717,0.071,0.07,127.647436,0.04,121,4.67,0.05,114,114,2,22,1,1,0,0.029936,0.029936,156,7.1,0.226717,0,0,7,11,2,2
aim-100-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,257,0.015951,0.292261,0.12,128,0.09,0.074141,0.0734,0.07,126.884615,0.05,121,4.68,0.05,114,114,2,23,1,1,0,0.03,0.03,156,7.34,0.220589,0,0,7,12,2,2
aim-100-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,273,0.01671,0.283001,0.13,128,0.11,0.073333,0.0726,0.07,125.949045,0.04,121,4.71,0.05,114,114,2,20.25,0,1,0,0.03,0.03,157,7.26,0.192016,0,0,7,13,2,2
aim-100-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,273,0.019079,0.256906,0.13,136,0.13,0.082828,0.082,0.08,127.726115,0.04,121,4.71,0.06,114,114,2,20.25,0,1,0,0.03,0.03,157,8.2,0.219612,0,0,8,13,2,2
aim-100-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,273,0.019131,0.244708,0.15,136,0.13,0.078788,0.078,0.08,136.14,0.04,121,4.48,0.05,114,121,2,26,0,1,0,0.029867,0.029867,150,7.8,0.269996,0,0,8,15,2,2
aim-100-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,273,0.017025,0.262989,0.12,136,0.1,0.080404,0.0796,0.08,130.105263,0.04,121,4.55,0.05,114,121,2,23,0,1,0,0.029934,0.029934,152,7.96,0.256622,0,0,8,12,2,2
aim-100-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,266,0.018126,0.233664,0.14,136,0.12,0.08202,0.0812,0.08,130.146497,0.05,121,4.69,0.06,114,121,2,22,0,1,0,0.029873,0.029873,157,8.12,0.223952,0,0,8,14,2,2
aim-100-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,257,0.011307,0.256198,0.11,128,0.11,0.090505,0.0896,0.09,127.85567,0.06,121,5.81,0.07,114,121,2,18.4,0,1,0,0.029948,0.029948,194,8.96,0.127183,0,0,9,11,2,2
aim-100-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,260,0.011232,0.266276,0.12,136,0.12,0.093737,0.0928,0.09,129.040609,0.07,121,5.89,0.07,114,121,2,20.2,0,1,0,0.029898,0.029898,197,9.28,0.134034,0,0,9,12,2,2
aim-100-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.01253,0.240865,0.12,136,0.1,0.089899,0.089,0.09,132.303665,0.06,121,5.72,0.06,114,121,2,19.8,1,1,0,0.029948,0.029948,191,8.9,0.150434,0,0,9,12,2,2
aim-100-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,259,0.012048,0.266799,0.12,136,0.12,0.093131,0.0922,0.09,127.6,0.06,121,5.85,0.07,114,121,2,20.25,0,1,0,0.03,0.03,195,9.22,0.145307,0,0,9,12,2,2
aim-100-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,257,0.012347,0.203524,0.12,136,0.12,0.104444,0.1034,0.105,128.943878,0.07,121,5.88,0.07,114,121,2,18.4,0,1,0,0.03,0.03,196,10.34,0.144368,0,0,10.5,12,2,2
