@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_tightness_100 NUMERIC
@ATTRIBUTE normalised_standard_deviation_of_node_degree NUMERIC
@ATTRIBUTE clustering_coefficient NUMERIC
@ATTRIBUTE normalised_maximum_degree NUMERIC
@ATTRIBUTE stats_tightness_75 NUMERIC
@ATTRIBUTE normalised_width_of_ordering NUMERIC
@ATTRIBUTE stats_edge_density NUMERIC
@ATTRIBUTE normalised_mean_degree NUMERIC
@ATTRIBUTE normalised_median_degree NUMERIC
@ATTRIBUTE stats_tightness_mean NUMERIC
@ATTRIBUTE normalised_minimum_degree NUMERIC
@ATTRIBUTE stats_tightness_50 NUMERIC
@ATTRIBUTE stats_cts_per_var_mean NUMERIC
@ATTRIBUTE normalised_width_of_graph NUMERIC
@ATTRIBUTE stats_tightness_0 NUMERIC
@ATTRIBUTE stats_tightness_25 NUMERIC

@DATA
3-fullins-4-6.xml.watchless.minion.gz,1,169,0.026781,0.01485,0.207407,169,0.207407,0.043075,0.042969,0.037037,169,0.014815,169,17.402469,0.02716,169,169
3-fullins-4-7.xml.watchless.minion.gz,1,154,0.026781,0.01485,0.207407,154,0.207407,0.043075,0.042969,0.037037,154,0.014815,154,17.402469,0.02716,154,154
3-fullins-5-5.xml.watchless.minion.gz,1,184,0.013841,0.004678,0.201478,184,0.201478,0.016388,0.01638,0.014286,184,0.003941,184,33.252217,0.010345,184,184
3-fullins-5-6.xml.watchless.minion.gz,1,169,0.013841,0.004678,0.201478,169,0.201478,0.016388,0.01638,0.014286,169,0.003941,169,33.252217,0.010345,169,169
3-fullins-5-7.xml.watchless.minion.gz,1,154,0.013841,0.004678,0.201478,154,0.201478,0.016388,0.01638,0.014286,154,0.003941,154,33.252217,0.010345,154,154
3-fullins-5-8.xml.watchless.minion.gz,1,136,0.013841,0.004678,0.201478,136,0.201478,0.016388,0.01638,0.014286,136,0.003941,136,33.252217,0.010345,136,136
3-insertions-3-3.xml.watchless.minion.gz,1,324,0.01844,0,0.196429,324,0.196429,0.071429,0.070153,0.071429,324,0.053571,324,3.928571,0.053571,324,324
3-insertions-3-4.xml.watchless.minion.gz,1,263,0.01844,0,0.196429,263,0.196429,0.071429,0.070153,0.071429,263,0.053571,263,3.928571,0.053571,263,263
3-insertions-4-3.xml.watchless.minion.gz,1,324,0.013027,0,0.199288,324,0.199288,0.026589,0.026494,0.02847,324,0.014235,324,7.44484,0.017794,324,324
3-insertions-4-4.xml.watchless.minion.gz,1,263,0.013027,0,0.199288,263,0.199288,0.026589,0.026494,0.02847,263,0.014235,263,7.44484,0.017794,263,263
3-insertions-4-5.xml.watchless.minion.gz,1,184,0.013027,0,0.199288,184,0.199288,0.026589,0.026494,0.02847,184,0.014235,184,7.44484,0.017794,184,184
3-insertions-5-3.xml.watchless.minion.gz,1,324,0.007218,0,0.199858,324,0.199858,0.009816,0.009809,0.01138,324,0.003556,324,13.790896,0.006401,324,324
3-insertions-5-4.xml.watchless.minion.gz,1,263,0.007218,0,0.199858,263,0.199858,0.009816,0.009809,0.01138,263,0.003556,263,13.790896,0.006401,263,263
3-insertions-5-5.xml.watchless.minion.gz,1,184,0.007218,0,0.199858,184,0.199858,0.009816,0.009809,0.01138,184,0.003556,184,13.790896,0.006401,184,184
3-insertions-5-6.xml.watchless.minion.gz,1,169,0.007218,0,0.199858,169,0.199858,0.009816,0.009809,0.01138,169,0.003556,169,13.790896,0.006401,169,169
4-fullins-3-6.xml.watchless.minion.gz,1,169,0.043477,0.044685,0.201754,169,0.201754,0.083993,0.083256,0.061404,169,0.035088,169,9.491228,0.061404,169,169
4-fullins-3-7.xml.watchless.minion.gz,1,154,0.043477,0.044685,0.201754,154,0.201754,0.083993,0.083256,0.061404,154,0.035088,154,9.491228,0.061404,154,154
4-fullins-4-6.xml.watchless.minion.gz,1,169,0.019555,0.011068,0.172464,169,0.172464,0.027976,0.027935,0.021739,169,0.008696,169,19.275362,0.018841,169,169
4-fullins-4-7.xml.watchless.minion.gz,1,154,0.019555,0.011068,0.172464,154,0.172464,0.027976,0.027935,0.021739,154,0.008696,154,19.275362,0.018841,154,154
4-fullins-4-8.xml.watchless.minion.gz,1,136,0.019555,0.011068,0.172464,136,0.172464,0.027976,0.027935,0.021739,136,0.008696,136,19.275362,0.018841,136,136
4-fullins-5-5.xml.watchless.minion.gz,1,184,0.008725,0.003157,0.167631,184,0.167631,0.008997,0.008995,0.007477,184,0.00193,184,37.291365,0.00603,184,184
4-fullins-5-6.xml.watchless.minion.gz,1,169,0.008725,0.003157,0.167631,169,0.167631,0.008997,0.008995,0.007477,169,0.00193,169,37.291365,0.00603,169,169
4-fullins-5-7.xml.watchless.minion.gz,1,154,0.008725,0.003157,0.167631,154,0.167631,0.008997,0.008995,0.007477,154,0.00193,154,37.291365,0.00603,154,154
4-fullins-5-8.xml.watchless.minion.gz,1,136,0.008725,0.003157,0.167631,136,0.167631,0.008997,0.008995,0.007477,136,0.00193,136,37.291365,0.00603,136,136
4-insertions-3-3.xml.watchless.minion.gz,1,324,0.013793,0,0.164557,324,0.164557,0.050633,0.049992,0.050633,324,0.037975,324,3.949367,0.037975,324,324
4-insertions-3-4.xml.watchless.minion.gz,1,263,0.013793,0,0.164557,263,0.164557,0.050633,0.049992,0.050633,263,0.037975,263,3.949367,0.037975,263,263
4-insertions-4-3.xml.watchless.minion.gz,1,324,0.008453,0,0.166316,324,0.166316,0.015945,0.015911,0.016842,324,0.008421,324,7.557895,0.010526,324,324
4-insertions-4-4.xml.watchless.minion.gz,1,263,0.008453,0,0.166316,263,0.166316,0.015945,0.015911,0.016842,263,0.008421,263,7.557895,0.010526,263,263
4-insertions-4-5.xml.watchless.minion.gz,1,184,0.008453,0,0.166316,184,0.166316,0.015945,0.015911,0.016842,184,0.008421,184,7.557895,0.010526,184,184
5-fullins-3-6.xml.watchless.minion.gz,1,169,0.038464,0.039801,0.175325,169,0.175325,0.067227,0.06679,0.045455,169,0.025974,169,10.285714,0.051948,169,169
5-fullins-3-7.xml.watchless.minion.gz,1,154,0.038464,0.039801,0.175325,154,0.175325,0.067227,0.06679,0.045455,154,0.025974,154,10.285714,0.051948,154,154
5-fullins-3-8.xml.watchless.minion.gz,1,136,0.038464,0.039801,0.175325,136,0.175325,0.067227,0.06679,0.045455,136,0.025974,136,10.285714,0.051948,136,136
5-fullins-4-6.xml.watchless.minion.gz,1,169,0.014867,0.008712,0.147465,169,0.147465,0.019377,0.019359,0.013825,169,0.00553,169,21.004608,0.013825,169,169
5-fullins-4-7.xml.watchless.minion.gz,1,154,0.014867,0.008712,0.147465,154,0.147465,0.019377,0.019359,0.013825,154,0.00553,154,21.004608,0.013825,154,154
5-fullins-4-8.xml.watchless.minion.gz,1,136,0.014867,0.008712,0.147465,136,0.147465,0.019377,0.019359,0.013825,136,0.00553,136,21.004608,0.013825,136,136
5-fullins-4-9.xml.watchless.minion.gz,1,96,0.014867,0.008712,0.147465,96,0.147465,0.019377,0.019359,0.013825,96,0.00553,96,21.004608,0.013825,96,96
abb313GPIA-10.xml.watchless.minion.gz,1,104,0.012787,0.440231,0.096981,104,0.076429,0.044047,0.044019,0.041105,104,0,104,83.994862,0.043674,104,104
abb313GPIA-5.xml.watchless.minion.gz,1,184,0.012787,0.440231,0.096981,184,0.076429,0.044047,0.044019,0.041105,184,0,184,83.994862,0.043674,184,184
abb313GPIA-7.xml.watchless.minion.gz,1,154,0.012787,0.440231,0.096981,154,0.076429,0.044047,0.044019,0.041105,154,0,154,83.994862,0.043674,154,154
abb313GPIA-8.xml.watchless.minion.gz,1,136,0.012787,0.440231,0.096981,136,0.076429,0.044047,0.044019,0.041105,136,0,136,83.994862,0.043674,136,136
abb313GPIA-9.xml.watchless.minion.gz,1,96,0.012787,0.440231,0.096981,96,0.076429,0.044047,0.044019,0.041105,96,0,96,83.994862,0.043674,96,96
aim-100-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,273,0.016204,0.300758,0.14,136,0.11,0.071919,0.0712,0.07,131.24026,0.05,121,4.61,0.05,114,121
aim-100-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,260,0.013229,0.291397,0.11,128,0.09,0.071717,0.071,0.07,127.647436,0.04,121,4.67,0.05,114,114
aim-100-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,257,0.015951,0.292261,0.12,128,0.09,0.074141,0.0734,0.07,126.884615,0.05,121,4.68,0.05,114,114
aim-100-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,273,0.01671,0.283001,0.13,128,0.11,0.073333,0.0726,0.07,125.949045,0.04,121,4.71,0.05,114,114
aim-100-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,273,0.019079,0.256906,0.13,136,0.13,0.082828,0.082,0.08,127.726115,0.04,121,4.71,0.06,114,114
aim-100-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,273,0.019131,0.244708,0.15,136,0.13,0.078788,0.078,0.08,136.14,0.04,121,4.48,0.05,114,121
aim-100-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,273,0.017025,0.262989,0.12,136,0.1,0.080404,0.0796,0.08,130.105263,0.04,121,4.55,0.05,114,121
aim-100-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,266,0.018126,0.233664,0.14,136,0.12,0.08202,0.0812,0.08,130.146497,0.05,121,4.69,0.06,114,121
aim-100-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,257,0.011307,0.256198,0.11,128,0.11,0.090505,0.0896,0.09,127.85567,0.06,121,5.81,0.07,114,121
aim-100-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,260,0.011232,0.266276,0.12,136,0.12,0.093737,0.0928,0.09,129.040609,0.07,121,5.89,0.07,114,121
aim-100-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.01253,0.240865,0.12,136,0.1,0.089899,0.089,0.09,132.303665,0.06,121,5.72,0.06,114,121
aim-100-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,259,0.012048,0.266799,0.12,136,0.12,0.093131,0.0922,0.09,127.6,0.06,121,5.85,0.07,114,121
aim-100-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,257,0.012347,0.203524,0.12,136,0.12,0.104444,0.1034,0.105,128.943878,0.07,121,5.88,0.07,114,121
aim-100-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,273,0.012571,0.210251,0.12,136,0.11,0.102424,0.1014,0.1,128.71875,0.07,121,5.76,0.07,114,114
aim-100-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,266,0.01227,0.213915,0.12,136,0.12,0.099798,0.0988,0.1,128.911917,0.07,121,5.77,0.08,114,114
aim-100-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,264,0.01183,0.208253,0.12,136,0.11,0.100808,0.0998,0.1,130.308901,0.06,121,5.73,0.07,114,114
aim-100-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,260,0.015989,0.223638,0.19,136,0.17,0.150909,0.1494,0.15,132.43125,0.11,121,9.59,0.11,114,121
aim-100-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,273,0.017263,0.22448,0.19,136,0.18,0.151515,0.15,0.15,136.14557,0.11,121,9.45,0.12,114,121
aim-100-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.019551,0.229624,0.19,136,0.18,0.149091,0.1476,0.15,135.653846,0.08,121,9.36,0.11,114,114
aim-100-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,266,0.014177,0.224893,0.19,136,0.17,0.150505,0.149,0.15,133.725552,0.1,121,9.5,0.12,114,114
aim-100-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,273,0.023496,0.276498,0.29,136,0.26,0.243838,0.2414,0.24,135.445438,0.18,121,16.74,0.2,114,121
aim-100-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,273,0.023874,0.275169,0.28,136,0.25,0.242222,0.2398,0.24,134.50805,0.17,121,16.76,0.19,114,121
aim-100-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.020602,0.270754,0.3,136,0.28,0.249091,0.2466,0.25,133.966132,0.2,121,16.81,0.2,114,121
aim-100-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,273,0.023043,0.271467,0.3,136,0.26,0.243434,0.241,0.24,132.085965,0.19,121,17.06,0.2,114,121
aim-200-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,257,0.008139,0.265766,0.065,128,0.055,0.037186,0.037,0.035,126.387302,0.02,121,4.72,0.025,114,121
aim-200-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,259,0.008672,0.274864,0.07,136,0.065,0.037136,0.03695,0.035,126.990506,0.02,121,4.735,0.025,114,114
aim-200-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.007906,0.264593,0.065,136,0.055,0.036985,0.0368,0.035,128.553055,0.02,121,4.66,0.025,114,121
aim-200-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,257,0.008074,0.270617,0.075,136,0.06,0.037136,0.03695,0.035,127.578616,0.02,121,4.75,0.025,114,121
aim-200-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,273,0.008747,0.203094,0.075,136,0.055,0.04201,0.0418,0.04,129.62987,0.02,121,4.615,0.03,114,114
aim-200-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,273,0.010423,0.207924,0.09,136,0.085,0.042111,0.0419,0.04,131.463576,0.02,121,4.525,0.03,114,121
aim-200-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,266,0.008937,0.224664,0.07,136,0.06,0.040553,0.04035,0.04,130.414239,0.02,121,4.625,0.025,114,121
aim-200-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,273,0.009513,0.213373,0.095,128,0.06,0.042663,0.04245,0.04,125.993671,0.025,121,4.74,0.03,114,114
aim-200-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,259,0.005836,0.221781,0.06,136,0.055,0.046533,0.0463,0.045,128.178756,0.03,121,5.785,0.035,114,121
aim-200-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,273,0.005868,0.222263,0.06,128,0.055,0.046482,0.04625,0.045,129.712042,0.03,121,5.725,0.035,114,121
aim-200-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.00622,0.223516,0.06,136,0.055,0.046482,0.04625,0.045,128.891473,0.03,121,5.8,0.03,114,121
aim-200-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,273,0.005684,0.220676,0.06,136,0.06,0.046533,0.0463,0.045,128.282776,0.03,121,5.825,0.035,114,121
aim-200-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,266,0.006306,0.175146,0.06,136,0.06,0.05206,0.0518,0.055,128.323907,0.03,121,5.83,0.035,114,121
aim-200-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,273,0.006268,0.168009,0.06,136,0.06,0.051658,0.0514,0.05,130.506527,0.03,121,5.74,0.04,114,114
aim-200-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,273,0.005739,0.170337,0.06,136,0.06,0.051859,0.0516,0.05,130.451031,0.035,121,5.81,0.04,114,121
aim-200-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,266,0.005887,0.170823,0.06,136,0.06,0.052462,0.0522,0.055,128.561224,0.03,121,5.865,0.04,114,121
aim-200-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,273,0.008515,0.164085,0.105,136,0.095,0.077889,0.0775,0.075,131.900929,0.055,121,9.68,0.06,114,121
aim-200-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,273,0.008059,0.163052,0.1,136,0.09,0.076985,0.0766,0.075,133.382075,0.055,121,9.54,0.06,114,121
aim-200-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.008322,0.166277,0.1,136,0.085,0.077387,0.077,0.075,132.792512,0.055,121,9.605,0.06,114,121
aim-200-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,273,0.009073,0.16644,0.105,136,0.095,0.077236,0.07685,0.075,131.953344,0.055,121,9.635,0.06,114,121
aim-200-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,273,0.012855,0.172551,0.175,136,0.165,0.152261,0.1515,0.1525,128.321181,0.105,121,17.24,0.12,114,114
aim-200-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,273,0.012112,0.175753,0.175,136,0.16,0.153467,0.1527,0.155,128.079555,0.12,121,17.5,0.12,114,121
aim-200-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.011968,0.172687,0.175,136,0.165,0.153166,0.1524,0.155,128.948785,0.105,121,17.255,0.125,114,114
aim-200-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,273,0.013105,0.176531,0.18,136,0.16,0.152261,0.1515,0.155,128.551038,0.105,121,17.305,0.12,114,121
aim-50-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,257,0.0288,0.337595,0.22,136,0.2,0.14449,0.1416,0.14,128.766234,0.1,121,4.62,0.1,114,114
aim-50-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,273,0.022214,0.33219,0.18,136,0.14,0.14449,0.1416,0.14,130.631579,0.1,121,4.56,0.1,114,121
aim-50-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.025298,0.312619,0.2,136,0.18,0.142857,0.14,0.14,133.833333,0.1,128,4.64,0.1,114,121
aim-50-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,257,0.026725,0.325632,0.22,145,0.16,0.140408,0.1376,0.14,133.701299,0.1,121,4.58,0.1,114,121
aim-50-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,259,0.035091,0.329455,0.22,136,0.16,0.142041,0.1392,0.14,138.681159,0.08,121,4.12,0.1,114,114
aim-50-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,266,0.032,0.328612,0.22,136,0.2,0.155102,0.152,0.16,130.441558,0.08,121,4.62,0.1,114,121
aim-50-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,273,0.040398,0.307429,0.26,136,0.22,0.142857,0.14,0.14,144.714286,0.08,121,4.18,0.1,114,121
aim-50-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,273,0.03465,0.305962,0.24,136,0.22,0.157551,0.1544,0.14,132.526316,0.08,121,4.56,0.1,114,121
aim-50-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,257,0.026242,0.299101,0.22,128,0.22,0.177959,0.1744,0.18,130.744681,0.12,121,5.64,0.12,114,121
aim-50-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,257,0.021166,0.303186,0.22,136,0.18,0.17551,0.172,0.18,130.854167,0.12,121,5.74,0.14,114,114
aim-50-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.021909,0.308798,0.22,128,0.18,0.179592,0.176,0.18,129.104167,0.12,121,5.76,0.14,114,121
aim-50-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,273,0.019333,0.292651,0.2,136,0.18,0.166531,0.1632,0.16,134.297872,0.12,121,5.62,0.12,114,121
aim-50-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,257,0.0232,0.266245,0.24,128,0.22,0.201633,0.1976,0.2,127.639175,0.16,121,5.82,0.16,114,114
aim-50-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,266,0.032496,0.291019,0.24,136,0.22,0.195918,0.192,0.2,132.202128,0.12,121,5.64,0.14,114,114
aim-50-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,257,0.028408,0.254244,0.24,136,0.22,0.190204,0.1864,0.18,134.902174,0.12,121,5.52,0.14,114,121
aim-50-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,260,0.029241,0.284263,0.24,136,0.2,0.190204,0.1864,0.2,131.578947,0.1,121,5.66,0.14,114,121
aim-50-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,273,0.027701,0.344264,0.34,136,0.3,0.286531,0.2808,0.28,136.141026,0.24,121,9.36,0.24,114,121
aim-50-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,266,0.033072,0.343478,0.34,136,0.34,0.28898,0.2832,0.28,133.881988,0.2,128,9.66,0.22,114,121
