@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 4'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_tightness_100 NUMERIC
@ATTRIBUTE normalised_standard_deviation_of_node_degree NUMERIC
@ATTRIBUTE clustering_coefficient NUMERIC
@ATTRIBUTE normalised_maximum_degree NUMERIC

@DATA
3-fullins-3-5.xml.watchless.minion.gz,1,184,0.049847,0.051742,0.2375
3-fullins-3-6.xml.watchless.minion.gz,1,169,0.049847,0.051742,0.2375
3-fullins-4-5.xml.watchless.minion.gz,1,184,0.026781,0.01485,0.207407
3-fullins-4-6.xml.watchless.minion.gz,1,169,0.026781,0.01485,0.207407
3-fullins-4-7.xml.watchless.minion.gz,1,154,0.026781,0.01485,0.207407
3-fullins-5-5.xml.watchless.minion.gz,1,184,0.013841,0.004678,0.201478
3-fullins-5-6.xml.watchless.minion.gz,1,169,0.013841,0.004678,0.201478
3-fullins-5-7.xml.watchless.minion.gz,1,154,0.013841,0.004678,0.201478
3-fullins-5-8.xml.watchless.minion.gz,1,136,0.013841,0.004678,0.201478
3-insertions-3-3.xml.watchless.minion.gz,1,324,0.01844,0,0.196429
3-insertions-3-4.xml.watchless.minion.gz,1,263,0.01844,0,0.196429
3-insertions-4-3.xml.watchless.minion.gz,1,324,0.013027,0,0.199288
3-insertions-4-4.xml.watchless.minion.gz,1,263,0.013027,0,0.199288
3-insertions-4-5.xml.watchless.minion.gz,1,184,0.013027,0,0.199288
3-insertions-5-3.xml.watchless.minion.gz,1,324,0.007218,0,0.199858
3-insertions-5-4.xml.watchless.minion.gz,1,263,0.007218,0,0.199858
3-insertions-5-5.xml.watchless.minion.gz,1,184,0.007218,0,0.199858
3-insertions-5-6.xml.watchless.minion.gz,1,169,0.007218,0,0.199858
4-fullins-3-6.xml.watchless.minion.gz,1,169,0.043477,0.044685,0.201754
4-fullins-3-7.xml.watchless.minion.gz,1,154,0.043477,0.044685,0.201754
4-fullins-4-6.xml.watchless.minion.gz,1,169,0.019555,0.011068,0.172464
4-fullins-4-7.xml.watchless.minion.gz,1,154,0.019555,0.011068,0.172464
4-fullins-4-8.xml.watchless.minion.gz,1,136,0.019555,0.011068,0.172464
4-fullins-5-5.xml.watchless.minion.gz,1,184,0.008725,0.003157,0.167631
4-fullins-5-6.xml.watchless.minion.gz,1,169,0.008725,0.003157,0.167631
4-fullins-5-7.xml.watchless.minion.gz,1,154,0.008725,0.003157,0.167631
4-fullins-5-8.xml.watchless.minion.gz,1,136,0.008725,0.003157,0.167631
4-insertions-3-3.xml.watchless.minion.gz,1,324,0.013793,0,0.164557
4-insertions-3-4.xml.watchless.minion.gz,1,263,0.013793,0,0.164557
4-insertions-4-3.xml.watchless.minion.gz,1,324,0.008453,0,0.166316
4-insertions-4-4.xml.watchless.minion.gz,1,263,0.008453,0,0.166316
4-insertions-4-5.xml.watchless.minion.gz,1,184,0.008453,0,0.166316
5-fullins-3-6.xml.watchless.minion.gz,1,169,0.038464,0.039801,0.175325
5-fullins-3-7.xml.watchless.minion.gz,1,154,0.038464,0.039801,0.175325
5-fullins-3-8.xml.watchless.minion.gz,1,136,0.038464,0.039801,0.175325
5-fullins-4-6.xml.watchless.minion.gz,1,169,0.014867,0.008712,0.147465
5-fullins-4-7.xml.watchless.minion.gz,1,154,0.014867,0.008712,0.147465
5-fullins-4-8.xml.watchless.minion.gz,1,136,0.014867,0.008712,0.147465
5-fullins-4-9.xml.watchless.minion.gz,1,96,0.014867,0.008712,0.147465
abb313GPIA-10.xml.watchless.minion.gz,1,104,0.012787,0.440231,0.096981
abb313GPIA-5.xml.watchless.minion.gz,1,184,0.012787,0.440231,0.096981
abb313GPIA-7.xml.watchless.minion.gz,1,154,0.012787,0.440231,0.096981
abb313GPIA-8.xml.watchless.minion.gz,1,136,0.012787,0.440231,0.096981
abb313GPIA-9.xml.watchless.minion.gz,1,96,0.012787,0.440231,0.096981
aim-100-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,273,0.016204,0.300758,0.14
aim-100-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,260,0.013229,0.291397,0.11
aim-100-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,257,0.015951,0.292261,0.12
aim-100-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,273,0.01671,0.283001,0.13
aim-100-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,273,0.019079,0.256906,0.13
aim-100-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,273,0.019131,0.244708,0.15
aim-100-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,273,0.017025,0.262989,0.12
aim-100-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,266,0.018126,0.233664,0.14
aim-100-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,257,0.011307,0.256198,0.11
aim-100-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,260,0.011232,0.266276,0.12
aim-100-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.01253,0.240865,0.12
aim-100-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,259,0.012048,0.266799,0.12
aim-100-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,257,0.012347,0.203524,0.12
aim-100-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,273,0.012571,0.210251,0.12
aim-100-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,266,0.01227,0.213915,0.12
aim-100-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,264,0.01183,0.208253,0.12
aim-100-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,260,0.015989,0.223638,0.19
aim-100-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,273,0.017263,0.22448,0.19
aim-100-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.019551,0.229624,0.19
aim-100-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,266,0.014177,0.224893,0.19
aim-100-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,273,0.023496,0.276498,0.29
aim-100-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,273,0.023874,0.275169,0.28
aim-100-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.020602,0.270754,0.3
aim-100-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,273,0.023043,0.271467,0.3
aim-200-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,257,0.008139,0.265766,0.065
aim-200-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,259,0.008672,0.274864,0.07
aim-200-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.007906,0.264593,0.065
aim-200-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,257,0.008074,0.270617,0.075
aim-200-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,273,0.008747,0.203094,0.075
aim-200-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,273,0.010423,0.207924,0.09
aim-200-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,266,0.008937,0.224664,0.07
aim-200-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,273,0.009513,0.213373,0.095
aim-200-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,259,0.005836,0.221781,0.06
aim-200-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,273,0.005868,0.222263,0.06
aim-200-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.00622,0.223516,0.06
aim-200-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,273,0.005684,0.220676,0.06
aim-200-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,266,0.006306,0.175146,0.06
aim-200-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,273,0.006268,0.168009,0.06
aim-200-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,273,0.005739,0.170337,0.06
aim-200-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,266,0.005887,0.170823,0.06
aim-200-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,273,0.008515,0.164085,0.105
aim-200-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,273,0.008059,0.163052,0.1
aim-200-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.008322,0.166277,0.1
aim-200-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,273,0.009073,0.16644,0.105
aim-200-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,273,0.012855,0.172551,0.175
aim-200-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,273,0.012112,0.175753,0.175
aim-200-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.011968,0.172687,0.175
aim-200-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,273,0.013105,0.176531,0.18
aim-50-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,257,0.0288,0.337595,0.22
aim-50-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,273,0.022214,0.33219,0.18
aim-50-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.025298,0.312619,0.2
aim-50-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,257,0.026725,0.325632,0.22
aim-50-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,259,0.035091,0.329455,0.22
aim-50-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,266,0.032,0.328612,0.22
aim-50-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,273,0.040398,0.307429,0.26
aim-50-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,273,0.03465,0.305962,0.24
aim-50-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,257,0.026242,0.299101,0.22
aim-50-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,257,0.021166,0.303186,0.22
aim-50-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.021909,0.308798,0.22
aim-50-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,273,0.019333,0.292651,0.2
aim-50-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,257,0.0232,0.266245,0.24
aim-50-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,266,0.032496,0.291019,0.24
aim-50-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,257,0.028408,0.254244,0.24
aim-50-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,260,0.029241,0.284263,0.24
aim-50-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,273,0.027701,0.344264,0.34
aim-50-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,266,0.033072,0.343478,0.34
aim-50-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,266,0.036538,0.316866,0.38
aim-50-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,273,0.031241,0.335023,0.34
aim-50-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,257,0.04859,0.466783,0.54
aim-50-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,273,0.045782,0.451878,0.54
aim-50-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.039992,0.430054,0.5
aim-50-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,363,0.043774,0.453989,0.54
ash331GPIA-3.xml.watchless.minion.gz,1,324,0.004302,0.040998,0.034743
ash331GPIA-4.xml.watchless.minion.gz,1,263,0.004302,0.040998,0.034743
ash608GPIA-3.xml.watchless.minion.gz,1,324,0.002198,0.036705,0.016447
ash608GPIA-4.xml.watchless.minion.gz,1,263,0.002198,0.036705,0.016447
ash958GPIA-3.xml.watchless.minion.gz,1,324,0.001466,0.037053,0.012526
ash958GPIA-4.xml.watchless.minion.gz,1,263,0.001466,0.037053,0.012526
bf-0432-007_ext.xml.minion.converted.minion.gz,1,501,0.002785,0.290862,0.027835
bf-1355-075_ext.xml.minion.converted.minion.gz,1,513,0.001586,0.566259,0.006601
bf-1355-638_ext.xml.minion.converted.minion.gz,1,253,0.002872,0.232331,0.011278
bf-2670-001_ext.xml.minion.converted.minion.gz,1,487,0.001986,0.202673,0.023312
BlackHole-4-13-e-0_ext.xml.minion.converted.minion.gz,1,936,0.20237,0.434877,0.5
BlackHole-4-13-e-1_ext.xml.minion.converted.minion.gz,1,936,0.20237,0.434877,0.5
BlackHole-4-13-e-2_ext.xml.minion.converted.minion.gz,1,936,0.20237,0.434877,0.5
BlackHole-4-13-e-3_ext.xml.minion.converted.minion.gz,1,936,0.20237,0.434877,0.5
BlackHole-4-13-m-0_ext.xml.minion.converted.minion.gz,1,936,0.20237,0.434877,0.5
BlackHole-4-13-m-1_ext.xml.minion.converted.minion.gz,1,936,0.20237,0.434877,0.5
BlackHole-4-13-m-2_ext.xml.minion.converted.minion.gz,1,936,0.20237,0.434877,0.5
BlackHole-4-4-e-0_ext.xml.minion.converted.minion.gz,1,759,0.191663,0.428978,0.5
BlackHole-4-4-e-0_ext.xml.minion.conv.minion,1,759,0.191663,0.428978,0.5
BlackHole-4-4-e-1_ext.xml.minion.converted.minion.gz,1,759,0.191663,0.428978,0.5
BlackHole-4-4-e-1_ext.xml.minion.conv.minion,1,759,0.191663,0.428978,0.5
BlackHole-4-4-e-2_ext.xml.minion.converted.minion.gz,1,759,0.191663,0.428978,0.5
BlackHole-4-4-e-2_ext.xml.minion.conv.minion,1,759,0.191663,0.428978,0.5
BlackHole-4-4-e-3_ext.xml.minion.converted.minion.gz,1,759,0.191663,0.428978,0.5
BlackHole-4-4-e-3_ext.xml.minion.conv.minion,1,759,0.191663,0.428978,0.5
BlackHole-4-4-e-4_ext.xml.minion.converted.minion.gz,1,759,0.191663,0.428978,0.5
BlackHole-4-4-e-4_ext.xml.minion.conv.minion,1,759,0.191663,0.428978,0.5
BlackHole-4-4-e-5_ext.xml.minion.converted.minion.gz,1,759,0.191663,0.428978,0.5
BlackHole-4-4-e-5_ext.xml.minion.conv.minion,1,759,0.191663,0.428978,0.5
BlackHole-4-4-e-6_ext.xml.minion.converted.minion.gz,1,759,0.191663,0.428978,0.5
BlackHole-4-4-e-6_ext.xml.minion.conv.minion,1,759,0.191663,0.428978,0.5
BlackHole-4-4-e-7_ext.xml.minion.converted.minion.gz,1,759,0.191663,0.428978,0.5
BlackHole-4-4-e-7_ext.xml.minion.conv.minion,1,759,0.191663,0.428978,0.5
BlackHole-4-4-e-8_ext.xml.minion.converted.minion.gz,1,759,0.191663,0.428978,0.5
BlackHole-4-4-e-8_ext.xml.minion.conv.minion,1,759,0.191663,0.428978,0.5
BlackHole-4-4-e-9_ext.xml.minion.converted.minion.gz,1,759,0.191663,0.428978,0.5
BlackHole-4-4-e-9_ext.xml.minion.conv.minion,1,759,0.191663,0.428978,0.5
BlackHole-4-7-e-0_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5
BlackHole-4-7-e-1_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5
BlackHole-4-7-e-2_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5
BlackHole-4-7-e-3_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5
BlackHole-4-7-e-4_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5
BlackHole-4-7-e-5_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5
BlackHole-4-7-e-6_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5
BlackHole-4-7-e-7_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5
BlackHole-4-7-e-8_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5
BlackHole-4-7-e-9_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5
BlackHole-4-7-h-0_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5
BlackHole-4-7-h-1_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5
BlackHole-4-7-h-2_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5
BlackHole-4-7-h-3_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5
BlackHole-4-7-h-4_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5
BlackHole-4-7-h-5_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5
BlackHole-4-7-h-6_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5
BlackHole-4-7-h-7_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5
BlackHole-4-7-h-8_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5
BlackHole-4-7-h-9_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5
bqwh-15-106-0_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-10_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-11_ext.xml.minion.converted.minion.gz,1,335,0.012019,0.431746,0.132075
bqwh-15-106-11_glb.xml.minion.conv.minion,1,993,0.003617,0.455535,0.132075
bqwh-15-106-13_ext.xml.minion.converted.minion.gz,1,913,0.014989,0.415549,0.122642
bqwh-15-106-13_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-14_glb.xml.minion.conv.minion,1,991,0.004576,0.456206,0.122642
bqwh-15-106-15_ext.xml.minion.converted.minion.gz,1,335,0.01145,0.418575,0.122642
bqwh-15-106-15_glb.xml.minion.conv.minion,1,951,0.003617,0.455535,0.132075
bqwh-15-106-17_ext.xml.minion.converted.minion.gz,1,335,0.016119,0.427939,0.132075
bqwh-15-106-18_glb.xml.minion.conv.minion,1,980,0.003617,0.455535,0.132075
bqwh-15-106-19_ext.xml.minion.converted.minion.gz,1,913,0.014827,0.416137,0.122642
bqwh-15-106-19_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-1_ext.xml.minion.converted.minion.gz,1,335,0.015675,0.416096,0.132075
bqwh-15-106-1_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-20_glb.xml.minion.conv.minion,1,969,0.003377,0.455601,0.122642
bqwh-15-106-21_ext.xml.minion.converted.minion.gz,1,243,0.018709,0.410245,0.122642
bqwh-15-106-21_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-22_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-23_ext.xml.minion.converted.minion.gz,1,243,0.015899,0.4176,0.122642
bqwh-15-106-23_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-24_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-25_ext.xml.minion.converted.minion.gz,1,243,0.012977,0.423463,0.132075
bqwh-15-106-25_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-26_glb.xml.minion.conv.minion,1,963,0.003617,0.455535,0.132075
bqwh-15-106-27_ext.xml.minion.converted.minion.gz,1,883,0.014573,0.412876,0.122642
bqwh-15-106-28_glb.xml.minion.conv.minion,1,960,0.003617,0.455535,0.132075
bqwh-15-106-29_ext.xml.minion.converted.minion.gz,1,882,0.016536,0.42709,0.132075
bqwh-15-106-29_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-2_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-30_glb.xml.minion.conv.minion,1,977,0.003377,0.455601,0.122642
bqwh-15-106-31_ext.xml.minion.converted.minion.gz,1,793,0.0121,0.430103,0.132075
bqwh-15-106-31_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-32_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-33_ext.xml.minion.converted.minion.gz,1,904,0.015967,0.421113,0.122642
bqwh-15-106-33_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-34_glb.xml.minion.conv.minion,1,962,0.003617,0.455535,0.132075
bqwh-15-106-35_ext.xml.minion.converted.minion.gz,1,335,0.009893,0.444315,0.122642
bqwh-15-106-35_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-36_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-37_ext.xml.minion.converted.minion.gz,1,335,0.01737,0.405607,0.122642
bqwh-15-106-37_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-38_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-39_ext.xml.minion.converted.minion.gz,1,243,0.012104,0.436741,0.122642
bqwh-15-106-39_glb.xml.minion.conv.minion,1,982,0.003617,0.455535,0.132075
bqwh-15-106-3_ext.xml.minion.converted.minion.gz,1,335,0.012547,0.428388,0.122642
bqwh-15-106-3_glb.xml.minion.conv.minion,1,972,0.003377,0.455601,0.122642
bqwh-15-106-40_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-41_ext.xml.minion.converted.minion.gz,1,335,0.014877,0.409754,0.132075
bqwh-15-106-41_glb.xml.minion.conv.minion,1,975,0.003617,0.455535,0.132075
bqwh-15-106-42_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-43_ext.xml.minion.converted.minion.gz,1,870,0.015047,0.419717,0.122642
bqwh-15-106-43_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-44_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-45_ext.xml.minion.converted.minion.gz,1,335,0.013592,0.445996,0.122642
bqwh-15-106-45_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-46_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-47_ext.xml.minion.converted.minion.gz,1,335,0.01571,0.42258,0.132075
bqwh-15-106-47_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-48_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-49_ext.xml.minion.converted.minion.gz,1,962,0.014242,0.425322,0.122642
bqwh-15-106-49_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-4_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-50_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-51_ext.xml.minion.converted.minion.gz,1,243,0.014128,0.435756,0.122642
bqwh-15-106-51_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-53_ext.xml.minion.converted.minion.gz,1,243,0.012349,0.428081,0.122642
bqwh-15-106-53_glb.xml.minion.conv.minion,1,992,0.003617,0.455535,0.132075
bqwh-15-106-54_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-55_ext.xml.minion.converted.minion.gz,1,335,0.010997,0.430498,0.122642
bqwh-15-106-55_glb.xml.minion.conv.minion,1,982,0.003617,0.455535,0.132075
bqwh-15-106-56_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-57_ext.xml.minion.converted.minion.gz,1,811,0.015359,0.42915,0.132075
bqwh-15-106-57_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-58_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-59_ext.xml.minion.converted.minion.gz,1,243,0.011073,0.430434,0.132075
bqwh-15-106-59_glb.xml.minion.conv.minion,1,978,0.003617,0.455535,0.132075
bqwh-15-106-5_ext.xml.minion.converted.minion.gz,1,987,0.017128,0.431513,0.132075
bqwh-15-106-5_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-60_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-61_ext.xml.minion.converted.minion.gz,1,853,0.016623,0.429157,0.122642
bqwh-15-106-61_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-62_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-63_ext.xml.minion.converted.minion.gz,1,876,0.014586,0.421897,0.122642
bqwh-15-106-63_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-65_ext.xml.minion.converted.minion.gz,1,513,0.016746,0.43177,0.132075
bqwh-15-106-65_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-66_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-67_ext.xml.minion.converted.minion.gz,1,335,0.013709,0.414869,0.132075
bqwh-15-106-67_glb.xml.minion.conv.minion,1,979,0.003617,0.455535,0.132075
bqwh-15-106-68_glb.xml.minion.conv.minion,1,?,?,?,?
bqwh-15-106-69_ext.xml.minion.converted.minion.gz,1,223,0.010384,0.432962,0.122642
bqwh-15-106-69_glb.xml.minion.conv.minion,1,?,?,?,?
