@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 2'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE d_ratio_array_cons NUMERIC

@DATA
normalized-aim-100-2-0-sat-2_ext.xml.mzn_AND_NODATA,1,0.5,0.5
normalized-bibd-7-42-18-3-6_glb.xml.mzn_AND_NODATA,1,1,0
normalized-aim-100-3-4-4.xml.mzn_AND_NODATA,1,1,0
normalized-5-fullins-4-6.xml.mzn_AND_NODATA,1,1,0
normalized-army13-24ls.xml.mzn_AND_NODATA,1,1,0
normalized-aim-200-1-6-1.xml.mzn_AND_NODATA,1,1,0
normalized-bibd-6-40-20-3-8_glb.xml.mzn_AND_NODATA,1,1,0
normalized-aim-200-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,0.500626,0.499374
normalized-bibd-6-70-35-3-14_glb.xml.mzn_AND_NODATA,1,1,0
normalized-aim-200-6-0-sat-3_ext.xml.mzn_AND_NODATA,1,0.252685,0.747315
normalized-aim-50-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,0.5,0.5
normalized-bibd-7-35-15-3-5_glb.xml.mzn_AND_NODATA,1,1,0
normalized-bibd-9-36-12-3-3_glb.xml.mzn_AND_NODATA,1,1,0
normalized-bibd-7-63-27-3-9_glb.xml.mzn_AND_NODATA,1,1,0
normalized-bibd-8-42-21-4-9_glb.xml.mzn_AND_NODATA,1,1,0
normalized-bibd-16-16-6-6-2_glb.xml.mzn_AND_NODATA,1,1,0
normalized-bibd-6-100-50-3-20_glb.xml.mzn_AND_NODATA,1,1,0
normalized-ash958GPIA-4.xml.mzn_AND_NODATA,1,1,0
normalized-army11-17bt.xml.mzn_AND_NODATA,1,1,0
normalized-bf-2670-001.xml.mzn_AND_NODATA,1,1,0
normalized-anna-8.xml.mzn_AND_NODATA,1,1,0
normalized-bibd-13-26-6-3-1_glb.xml.mzn_AND_NODATA,1,1,0
normalized-bibd-7-77-33-3-11_glb.xml.mzn_AND_NODATA,1,1,0
normalized-bibd-7-28-12-3-4_glb.xml.mzn_AND_NODATA,1,1,0
normalized-aim-200-3-4-2.xml.mzn_AND_NODATA,1,1,0
normalized-bibd-8-28-14-4-6_glb.xml.mzn_AND_NODATA,1,1,0
normalized-bibd-9-48-16-3-4_glb.xml.mzn_AND_NODATA,1,1,0
normalized-bibd-6-80-40-3-16_glb.xml.mzn_AND_NODATA,1,1,0
normalized-abb313GPIA-8.xml.mzn_AND_NODATA,1,1,0
normalized-bibd-11-22-10-5-4_glb.xml.mzn_AND_NODATA,1,1,0
normalized-3-fullins-5-5.xml.mzn_AND_NODATA,1,1,0
normalized-bibd-10-90-27-3-6_glb.xml.mzn_AND_NODATA,1,1,0
normalized-bibd-10-30-9-3-2_glb.xml.mzn_AND_NODATA,1,1,0
normalized-bibd-8-56-21-3-6_glb.xml.mzn_AND_NODATA,1,1,0
normalized-abb313GPIA-9.xml.mzn_AND_NODATA,1,1,0
normalized-bibd-6-90-45-3-18_glb.xml.mzn_AND_NODATA,1,1,0
normalized-bibd-16-24-9-6-3_glb.xml.mzn_AND_NODATA,1,1,0
normalized-bibd-7-98-42-3-14_glb.xml.mzn_AND_NODATA,1,1,0
normalized-aim-100-1-6-sat-2_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444
normalized-bqwh-15-106-14_glb.xml.mzn_AND_NODATA,1,0,0
normalized-bf-0432-007.xml.mzn_AND_NODATA,1,1,0
normalized-bibd-15-21-7-5-2_glb.xml.mzn_AND_NODATA,1,1,0
normalized-bibd-7-70-30-3-10_glb.xml.mzn_AND_NODATA,1,1,0
normalized-bqwh-15-106-83_ext.xml.mzn_AND_NODATA,1,0.227752,0.713115
normalized-bibd-12-22-11-6-5_glb.xml.mzn_AND_NODATA,1,1,0
normalized-bibd-15-45-24-8-12_glb.xml.mzn_AND_NODATA,1,1,0
normalized-bf-1355-075.xml.mzn_AND_NODATA,1,1,0
normalized-bqwh-18-141-15_glb.xml.mzn_AND_NODATA,1,0,0
normalized-BlackHole-4-4-e-2_ext.xml.mzn_AND_NODATA,1,0.053478,0.940308
normalized-bibd-8-70-35-4-15_glb.xml.mzn_AND_NODATA,1,1,0
normalized-aim-50-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444
normalized-BlackHole-4-4-e-9_ext.xml.mzn_AND_NODATA,1,0.053478,0.940308
normalized-bibd-10-60-18-3-4_glb.xml.mzn_AND_NODATA,1,1,0
normalized-bqwh-18-141-23_glb.xml.mzn_AND_NODATA,1,0,0
normalized-bqwh-18-141-21_ext.xml.mzn_AND_NODATA,1,0.22486,0.716444
normalized-bqwh-18-141-14_ext.xml.mzn_AND_NODATA,1,0.224034,0.716738
normalized-bqwh-18-141-22_ext.xml.mzn_AND_NODATA,1,0.212575,0.734656
normalized-bibd-9-108-36-3-9_glb.xml.mzn_AND_NODATA,1,1,0
normalized-aim-200-3-4-sat-2_ext.xml.mzn_AND_NODATA,1,0.370714,0.629286
normalized-bqwh-18-141-27_ext.xml.mzn_AND_NODATA,1,0.229819,0.709307
normalized-bqwh-18-141-29_ext.xml.mzn_AND_NODATA,1,0.220008,0.724278
normalized-BlackHole-4-4-e-3_ext.xml.mzn_AND_NODATA,1,0.053478,0.940308
normalized-bqwh-18-141-14_glb.xml.mzn_AND_NODATA,1,0,0
normalized-4-fullins-5-8.xml.mzn_AND_NODATA,1,1,0
normalized-bqwh-18-141-23_ext.xml.mzn_AND_NODATA,1,0.213381,0.731591
normalized-bqwh-18-141-19_glb.xml.mzn_AND_NODATA,1,0,0
normalized-bibd-9-72-24-3-6_glb.xml.mzn_AND_NODATA,1,1,0
normalized-bqwh-18-141-2_ext.xml.mzn_AND_NODATA,1,0.218256,0.725761
normalized-bibd-12-44-11-3-2_glb.xml.mzn_AND_NODATA,1,1,0
normalized-4-fullins-5-5.xml.mzn_AND_NODATA,1,1,0
normalized-bibd-7-56-24-3-8_glb.xml.mzn_AND_NODATA,1,1,0
normalized-bqwh-18-141-22_glb.xml.mzn_AND_NODATA,1,0,0
normalized-BlackHole-4-4-e-6_ext.xml.mzn_AND_NODATA,1,0.053478,0.940308
normalized-bqwh-18-141-17_ext.xml.mzn_AND_NODATA,1,0.23297,0.703906
normalized-bibd-7-49-21-3-7_glb.xml.mzn_AND_NODATA,1,1,0
normalized-bibd-14-26-13-7-6_glb.xml.mzn_AND_NODATA,1,1,0
normalized-bqwh-18-141-57_ext.xml.mzn_AND_NODATA,1,0.234131,0.703772
normalized-bqwh-18-141-52_ext.xml.mzn_AND_NODATA,1,0.221803,0.720755
normalized-bqwh-18-141-32_ext.xml.mzn_AND_NODATA,1,0.220241,0.723766
normalized-bibd-7-210-60-2-10_glb.xml.mzn_AND_NODATA,1,1,0
normalized-BlackHole-4-4-e-4_ext.xml.mzn_AND_NODATA,1,0.053478,0.940308
normalized-bqwh-18-141-40_glb.xml.mzn_AND_NODATA,1,0,0
normalized-BlackHole-4-4-e-7_ext.xml.mzn_AND_NODATA,1,0.053478,0.940308
normalized-bqwh-18-141-59_ext.xml.mzn_AND_NODATA,1,0.224714,0.719001
normalized-bqwh-18-141-40_ext.xml.mzn_AND_NODATA,1,0.219424,0.724221
normalized-bqwh-18-141-15_ext.xml.mzn_AND_NODATA,1,0.22684,0.714286
normalized-bqwh-18-141-39_ext.xml.mzn_AND_NODATA,1,0.2247,0.715695
normalized-bqwh-18-141-5_ext.xml.mzn_AND_NODATA,1,0.221535,0.721122
normalized-bqwh-18-141-46_ext.xml.mzn_AND_NODATA,1,0.219718,0.724748
normalized-bqwh-18-141-41_glb.xml.mzn_AND_NODATA,1,0,0
normalized-bibd-6-30-15-3-6_glb.xml.mzn_AND_NODATA,1,1,0
normalized-bqwh-18-141-10_ext.xml.mzn_AND_NODATA,1,0.224473,0.718565
normalized-bqwh-18-141-71_glb.xml.mzn_AND_NODATA,1,0,0
normalized-bqwh-18-141-29_glb.xml.mzn_AND_NODATA,1,0,0
normalized-bqwh-18-141-73_glb.xml.mzn_AND_NODATA,1,0,0
normalized-bqwh-18-141-19_ext.xml.mzn_AND_NODATA,1,0.219682,0.726011
normalized-bqwh-18-141-36_glb.xml.mzn_AND_NODATA,1,0,0
normalized-bqwh-18-141-7_glb.xml.mzn_AND_NODATA,1,0,0
normalized-bqwh-18-141-6_ext.xml.mzn_AND_NODATA,1,0.22582,0.714162
normalized-bqwh-18-141-79_ext.xml.mzn_AND_NODATA,1,0.235704,0.701069
normalized-bqwh-18-141-72_ext.xml.mzn_AND_NODATA,1,0.231371,0.706072
normalized-bqwh-18-141-49_glb.xml.mzn_AND_NODATA,1,0,0
normalized-bqwh-18-141-7_ext.xml.mzn_AND_NODATA,1,0.225586,0.715565
normalized-bibd-8-56-28-4-12_glb.xml.mzn_AND_NODATA,1,1,0
normalized-BlackHole-4-4-e-5_ext.xml.mzn_AND_NODATA,1,0.053478,0.940308
normalized-bqwh-18-141-3_ext.xml.mzn_AND_NODATA,1,0.225834,0.714713
normalized-bqwh-18-141-64_glb.xml.mzn_AND_NODATA,1,0,0
normalized-bibd-11-55-15-3-3_glb.xml.mzn_AND_NODATA,1,1,0
normalized-bqwh-18-141-87_glb.xml.mzn_AND_NODATA,1,0,0
normalized-bqwh-18-141-66_ext.xml.mzn_AND_NODATA,1,0.22079,0.723493
normalized-BlackHole-4-4-e-8_ext.xml.mzn_AND_NODATA,1,0.053478,0.940308
normalized-bqwh-18-141-74_ext.xml.mzn_AND_NODATA,1,0.201331,0.7493
normalized-bqwh-18-141-58_glb.xml.mzn_AND_NODATA,1,0,0
normalized-bqwh-18-141-82_glb.xml.mzn_AND_NODATA,1,0,0
normalized-bqwh-18-141-61_ext.xml.mzn_AND_NODATA,1,0.22036,0.722404
normalized-bqwh-18-141-3_glb.xml.mzn_AND_NODATA,1,0,0
normalized-bqwh-18-141-55_ext.xml.mzn_AND_NODATA,1,0.229391,0.707885
normalized-bqwh-15-106-14_ext.xml.mzn_AND_NODATA,1,0.205078,0.745117
normalized-bqwh-18-141-41_ext.xml.mzn_AND_NODATA,1,0.230666,0.708091
normalized-bqwh-18-141-9_glb.xml.mzn_AND_NODATA,1,0,0
normalized-bqwh-18-141-77_ext.xml.mzn_AND_NODATA,1,0.215294,0.729412
normalized-bqwh-18-141-90_ext.xml.mzn_AND_NODATA,1,0.234317,0.701568
normalized-bibd-22-22-7-7-2_glb.xml.mzn_AND_NODATA,1,1,0
normalized-bqwh-18-141-42_ext.xml.mzn_AND_NODATA,1,0.227095,0.713417
normalized-C1-1-20.xml.mzn_AND_NODATA,1,0.758621,0.172414
normalized-C1-2-20.xml.mzn_AND_NODATA,1,0.76087,0.173913
normalized-bqwh-18-141-20_glb.xml.mzn_AND_NODATA,1,0,0
normalized-bqwh-18-141-83_ext.xml.mzn_AND_NODATA,1,0.232664,0.70438
normalized-bqwh-18-141-90_glb.xml.mzn_AND_NODATA,1,0,0
normalized-bqwh-18-141-47_ext.xml.mzn_AND_NODATA,1,0.222269,0.719328
normalized-bqwh-18-141-71_ext.xml.mzn_AND_NODATA,1,0.224343,0.717557
normalized-4-fullins-5-6.xml.mzn_AND_NODATA,1,1,0
normalized-block.xml.mzn_AND_NODATA,1,0.515344,0.237834
normalized-bibd-8-98-49-4-21_glb.xml.mzn_AND_NODATA,1,1,0
normalized-bqwh-18-141-98_ext.xml.mzn_AND_NODATA,1,0.229048,0.709961
normalized-bqwh-18-141-69_ext.xml.mzn_AND_NODATA,1,0.238163,0.69697
normalized-bqwh-18-141-97_glb.xml.mzn_AND_NODATA,1,0,0
normalized-bqwh-18-141-20_ext.xml.mzn_AND_NODATA,1,0.209251,0.738987
normalized-bqwh-18-141-62_ext.xml.mzn_AND_NODATA,1,0.218893,0.724927
normalized-bqwh-18-141-49_ext.xml.mzn_AND_NODATA,1,0.21816,0.727201
normalized-bqwh-18-141-25_ext.xml.mzn_AND_NODATA,1,0.228384,0.712227
normalized-bqwh-18-141-89_ext.xml.mzn_AND_NODATA,1,0.21355,0.730586
normalized-bqwh-18-141-64_ext.xml.mzn_AND_NODATA,1,0.21991,0.723378
normalized-bibd-7-91-39-3-13_glb.xml.mzn_AND_NODATA,1,1,0
normalized-bqwh-18-141-88_glb.xml.mzn_AND_NODATA,1,0,0
normalized-bqwh-18-141-82_ext.xml.mzn_AND_NODATA,1,0.230096,0.708661
normalized-bqwh-18-141-84_glb.xml.mzn_AND_NODATA,1,0,0
normalized-bqwh-18-141-59_glb.xml.mzn_AND_NODATA,1,0,0
normalized-bqwh-18-141-94_glb.xml.mzn_AND_NODATA,1,0,0
normalized-bqwh-18-141-46_glb.xml.mzn_AND_NODATA,1,0,0
normalized-bqwh-18-141-94_ext.xml.mzn_AND_NODATA,1,0.212156,0.735856
normalized-abb313GPIA-7.xml.mzn_AND_NODATA,1,1,0
normalized-bqwh-18-141-43_ext.xml.mzn_AND_NODATA,1,0.213221,0.734047
normalized-C2-2-15.xml.mzn_AND_NODATA,1,0.772727,0.181818
normalized-bqwh-18-141-39_glb.xml.mzn_AND_NODATA,1,0,0
normalized-C3-1-30.xml.mzn_AND_NODATA,1,0.77551,0.183673
normalized-bibd-9-84-28-3-7_glb.xml.mzn_AND_NODATA,1,1,0
normalized-C1-2-21.xml.mzn_AND_NODATA,1,0.76087,0.173913
normalized-bqwh-18-141-47_glb.xml.mzn_AND_NODATA,1,0,0
normalized-bqwh-18-141-32_glb.xml.mzn_AND_NODATA,1,0,0
normalized-BlackHole-4-4-e-0_ext.xml.mzn_AND_NODATA,1,0.053478,0.940308
normalized-chnl10-11-pb-cnf-cr.xml.mzn_AND_NODATA,1,1,0
normalized-chnl10-15-pb-cnf-cr.xml.mzn_AND_NODATA,1,1,0
normalized-bibd-12-88-22-3-4_glb.xml.mzn_AND_NODATA,1,1,0
normalized-bqwh-18-141-60_ext.xml.mzn_AND_NODATA,1,0.221719,0.722748
normalized-bqwh-18-141-88_ext.xml.mzn_AND_NODATA,1,0.216886,0.72928
normalized-C2-2-16.xml.mzn_AND_NODATA,1,0.772727,0.181818
normalized-bqwh-18-141-61_glb.xml.mzn_AND_NODATA,1,0,0
normalized-chnl-15-16.xml.mzn_AND_NODATA,1,1,0
normalized-chnl15-25-pb-cnf-cr.xml.mzn_AND_NODATA,1,1,0
normalized-bibd-9-96-32-3-8_glb.xml.mzn_AND_NODATA,1,1,0
normalized-C2-1-15.xml.mzn_AND_NODATA,1,0.772727,0.181818
normalized-C2-1-16.xml.mzn_AND_NODATA,1,0.772727,0.181818
normalized-blast-floppy1-8.xml.mzn_AND_NODATA,1,1,0
normalized-C4-2-60.xml.mzn_AND_NODATA,1,0.785714,0.190476
normalized-bqwh-18-141-43_glb.xml.mzn_AND_NODATA,1,0,0
normalized-abb313GPIA-5.xml.mzn_AND_NODATA,1,1,0
normalized-chnl15-16-pb-cnf-cr.xml.mzn_AND_NODATA,1,1,0
normalized-C4-1-60.xml.mzn_AND_NODATA,1,0.785714,0.190476
normalized-C3-3-30.xml.mzn_AND_NODATA,1,0.77551,0.183673
normalized-cc-7-7-2.xml.mzn_AND_NODATA,1,0.727273,0.272727
normalized-bqwh-18-141-97_ext.xml.mzn_AND_NODATA,1,0.229699,0.708389
normalized-chnl10-20-pb-cnf-cr.xml.mzn_AND_NODATA,1,1,0
normalized-bqwh-18-141-73_ext.xml.mzn_AND_NODATA,1,0.218599,0.725845
normalized-chnl-20-25.xml.mzn_AND_NODATA,1,1,0
normalized-C4-1-61.xml.mzn_AND_NODATA,1,0.785714,0.190476
normalized-C4-3-61.xml.mzn_AND_NODATA,1,0.785714,0.190476
normalized-cc-7-7-3.xml.mzn_AND_NODATA,1,0.727273,0.272727
normalized-C3-3-31.xml.mzn_AND_NODATA,1,0.77551,0.183673
normalized-chnl-15-25.xml.mzn_AND_NODATA,1,1,0
normalized-C2-3-15.xml.mzn_AND_NODATA,1,0.772727,0.181818
normalized-chnl-10-20.xml.mzn_AND_NODATA,1,1,0
normalized-cc-8-8-3.xml.mzn_AND_NODATA,1,0.72,0.28
normalized-cc-10-10-3.xml.mzn_AND_NODATA,1,0.709677,0.290323
normalized-bqwh-18-141-85_ext.xml.mzn_AND_NODATA,1,0.236007,0.698694
normalized-bibd-11-110-30-3-6_glb.xml.mzn_AND_NODATA,1,1,0
normalized-C3-2-30.xml.mzn_AND_NODATA,1,0.776316,0.184211
normalized-chnl-30-40.xml.mzn_AND_NODATA,1,1,0
normalized-bibd-7-84-36-3-12_glb.xml.mzn_AND_NODATA,1,1,0
normalized-chnl-20-30.xml.mzn_AND_NODATA,1,1,0
normalized-C4-2-61.xml.mzn_AND_NODATA,1,0.785714,0.190476
normalized-chnl-10-11.xml.mzn_AND_NODATA,1,1,0
normalized-chnl35-36-pb-cnf-cr.xml.mzn_AND_NODATA,1,1,0
normalized-bqwh-18-141-87_ext.xml.mzn_AND_NODATA,1,0.21409,0.731507
normalized-chnl20-21-pb-cnf-cr.xml.mzn_AND_NODATA,1,1,0
normalized-chnl-20-21.xml.mzn_AND_NODATA,1,1,0
normalized-cc-9-9-2.xml.mzn_AND_NODATA,1,0.714286,0.285714
normalized-bqwh-18-141-84_ext.xml.mzn_AND_NODATA,1,0.224714,0.716039
normalized-cc-9-9-3.xml.mzn_AND_NODATA,1,0.714286,0.285714
normalized-chnl-30-31.xml.mzn_AND_NODATA,1,1,0
normalized-chnl-35-40.xml.mzn_AND_NODATA,1,1,0
normalized-chnl35-40-pb-cnf-cr.xml.mzn_AND_NODATA,1,1,0
normalized-C3-2-31.xml.mzn_AND_NODATA,1,0.776316,0.184211
normalized-chnl30-40-pb-cnf-cr.xml.mzn_AND_NODATA,1,1,0
normalized-chnl35-45-pb-cnf-cr.xml.mzn_AND_NODATA,1,1,0
normalized-bibd-21-28-8-6-2_glb.xml.mzn_AND_NODATA,1,1,0
