@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 7'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_tightness_100 NUMERIC
@ATTRIBUTE normalised_standard_deviation_of_node_degree NUMERIC
@ATTRIBUTE clustering_coefficient NUMERIC
@ATTRIBUTE normalised_maximum_degree NUMERIC
@ATTRIBUTE stats_tightness_75 NUMERIC
@ATTRIBUTE normalised_width_of_ordering NUMERIC
@ATTRIBUTE stats_edge_density NUMERIC

@DATA
aim-200-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,257,0.008139,0.265766,0.065,128,0.055,0.037186
aim-200-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,259,0.008672,0.274864,0.07,136,0.065,0.037136
aim-200-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.007906,0.264593,0.065,136,0.055,0.036985
aim-200-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,257,0.008074,0.270617,0.075,136,0.06,0.037136
aim-200-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,273,0.008747,0.203094,0.075,136,0.055,0.04201
aim-200-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,273,0.010423,0.207924,0.09,136,0.085,0.042111
aim-200-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,266,0.008937,0.224664,0.07,136,0.06,0.040553
aim-200-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,273,0.009513,0.213373,0.095,128,0.06,0.042663
aim-200-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,259,0.005836,0.221781,0.06,136,0.055,0.046533
aim-200-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,273,0.005868,0.222263,0.06,128,0.055,0.046482
aim-200-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.00622,0.223516,0.06,136,0.055,0.046482
aim-200-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,273,0.005684,0.220676,0.06,136,0.06,0.046533
aim-200-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,266,0.006306,0.175146,0.06,136,0.06,0.05206
aim-200-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,273,0.006268,0.168009,0.06,136,0.06,0.051658
aim-200-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,273,0.005739,0.170337,0.06,136,0.06,0.051859
aim-200-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,266,0.005887,0.170823,0.06,136,0.06,0.052462
aim-200-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,273,0.008515,0.164085,0.105,136,0.095,0.077889
aim-200-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,273,0.008059,0.163052,0.1,136,0.09,0.076985
aim-200-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.008322,0.166277,0.1,136,0.085,0.077387
aim-200-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,273,0.009073,0.16644,0.105,136,0.095,0.077236
aim-200-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,273,0.012855,0.172551,0.175,136,0.165,0.152261
aim-200-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,273,0.012112,0.175753,0.175,136,0.16,0.153467
aim-200-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.011968,0.172687,0.175,136,0.165,0.153166
aim-200-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,273,0.013105,0.176531,0.18,136,0.16,0.152261
aim-50-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,257,0.0288,0.337595,0.22,136,0.2,0.14449
aim-50-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,273,0.022214,0.33219,0.18,136,0.14,0.14449
aim-50-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.025298,0.312619,0.2,136,0.18,0.142857
aim-50-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,257,0.026725,0.325632,0.22,145,0.16,0.140408
aim-50-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,259,0.035091,0.329455,0.22,136,0.16,0.142041
aim-50-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,266,0.032,0.328612,0.22,136,0.2,0.155102
aim-50-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,273,0.040398,0.307429,0.26,136,0.22,0.142857
aim-50-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,273,0.03465,0.305962,0.24,136,0.22,0.157551
aim-50-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,257,0.026242,0.299101,0.22,128,0.22,0.177959
aim-50-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,257,0.021166,0.303186,0.22,136,0.18,0.17551
aim-50-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.021909,0.308798,0.22,128,0.18,0.179592
aim-50-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,273,0.019333,0.292651,0.2,136,0.18,0.166531
aim-50-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,257,0.0232,0.266245,0.24,128,0.22,0.201633
aim-50-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,266,0.032496,0.291019,0.24,136,0.22,0.195918
aim-50-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,257,0.028408,0.254244,0.24,136,0.22,0.190204
aim-50-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,260,0.029241,0.284263,0.24,136,0.2,0.190204
aim-50-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,273,0.027701,0.344264,0.34,136,0.3,0.286531
aim-50-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,266,0.033072,0.343478,0.34,136,0.34,0.28898
aim-50-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,266,0.036538,0.316866,0.38,128,0.32,0.292245
aim-50-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,273,0.031241,0.335023,0.34,136,0.3,0.277551
aim-50-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,257,0.04859,0.466783,0.54,136,0.46,0.453878
aim-50-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,273,0.045782,0.451878,0.54,136,0.48,0.440816
aim-50-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,273,0.039992,0.430054,0.5,136,0.44,0.427755
aim-50-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,363,0.043774,0.453989,0.54,136,0.46,0.441633
ash331GPIA-3.xml.watchless.minion.gz,1,324,0.004302,0.040998,0.034743,324,0.022659,0.01911
ash331GPIA-4.xml.watchless.minion.gz,1,263,0.004302,0.040998,0.034743,263,0.022659,0.01911
ash608GPIA-3.xml.watchless.minion.gz,1,324,0.002198,0.036705,0.016447,324,0.009868,0.010618
ash608GPIA-4.xml.watchless.minion.gz,1,263,0.002198,0.036705,0.016447,263,0.009868,0.010618
ash958GPIA-3.xml.watchless.minion.gz,1,324,0.001466,0.037053,0.012526,324,0.007829,0.006817
ash958GPIA-4.xml.watchless.minion.gz,1,263,0.001466,0.037053,0.012526,263,0.007829,0.006817
bf-0432-007_ext.xml.minion.converted.minion.gz,1,501,0.002785,0.290862,0.027835,260,0.01134,0.006013
bf-1355-075_ext.xml.minion.converted.minion.gz,1,513,0.001586,0.566259,0.006601,250,0.006051,0.002226
bf-1355-638_ext.xml.minion.converted.minion.gz,1,253,0.002872,0.232331,0.011278,253,0.009398,0.004439
bf-2670-001_ext.xml.minion.converted.minion.gz,1,487,0.001986,0.202673,0.023312,487,0.006431,0.00222
BlackHole-4-13-e-0_ext.xml.minion.converted.minion.gz,1,936,0.20237,0.434877,0.5,45,0.490385,0.195838
BlackHole-4-13-e-1_ext.xml.minion.converted.minion.gz,1,936,0.20237,0.434877,0.5,45,0.490385,0.195838
BlackHole-4-13-e-2_ext.xml.minion.converted.minion.gz,1,936,0.20237,0.434877,0.5,45,0.490385,0.195838
BlackHole-4-13-e-3_ext.xml.minion.converted.minion.gz,1,936,0.20237,0.434877,0.5,45,0.490385,0.195838
BlackHole-4-13-m-0_ext.xml.minion.converted.minion.gz,1,936,0.20237,0.434877,0.5,45,0.490385,0.195838
BlackHole-4-13-m-1_ext.xml.minion.converted.minion.gz,1,936,0.20237,0.434877,0.5,45,0.490385,0.195838
BlackHole-4-13-m-2_ext.xml.minion.converted.minion.gz,1,936,0.20237,0.434877,0.5,45,0.490385,0.195838
BlackHole-4-4-e-0_ext.xml.minion.converted.minion.gz,1,759,0.191663,0.428978,0.5,119,0.46875,0.213294
BlackHole-4-4-e-0_ext.xml.minion.conv.minion,1,759,0.191663,0.428978,0.5,119,0.46875,0.213294
BlackHole-4-4-e-1_ext.xml.minion.converted.minion.gz,1,759,0.191663,0.428978,0.5,119,0.46875,0.213294
BlackHole-4-4-e-1_ext.xml.minion.conv.minion,1,759,0.191663,0.428978,0.5,119,0.46875,0.213294
BlackHole-4-4-e-2_ext.xml.minion.converted.minion.gz,1,759,0.191663,0.428978,0.5,119,0.46875,0.213294
BlackHole-4-4-e-2_ext.xml.minion.conv.minion,1,759,0.191663,0.428978,0.5,119,0.46875,0.213294
BlackHole-4-4-e-3_ext.xml.minion.converted.minion.gz,1,759,0.191663,0.428978,0.5,119,0.46875,0.213294
BlackHole-4-4-e-3_ext.xml.minion.conv.minion,1,759,0.191663,0.428978,0.5,119,0.46875,0.213294
BlackHole-4-4-e-4_ext.xml.minion.converted.minion.gz,1,759,0.191663,0.428978,0.5,119,0.46875,0.213294
BlackHole-4-4-e-4_ext.xml.minion.conv.minion,1,759,0.191663,0.428978,0.5,119,0.46875,0.213294
BlackHole-4-4-e-5_ext.xml.minion.converted.minion.gz,1,759,0.191663,0.428978,0.5,119,0.46875,0.213294
BlackHole-4-4-e-5_ext.xml.minion.conv.minion,1,759,0.191663,0.428978,0.5,119,0.46875,0.213294
BlackHole-4-4-e-6_ext.xml.minion.converted.minion.gz,1,759,0.191663,0.428978,0.5,119,0.46875,0.213294
BlackHole-4-4-e-6_ext.xml.minion.conv.minion,1,759,0.191663,0.428978,0.5,119,0.46875,0.213294
BlackHole-4-4-e-7_ext.xml.minion.converted.minion.gz,1,759,0.191663,0.428978,0.5,119,0.46875,0.213294
BlackHole-4-4-e-7_ext.xml.minion.conv.minion,1,759,0.191663,0.428978,0.5,119,0.46875,0.213294
BlackHole-4-4-e-8_ext.xml.minion.converted.minion.gz,1,759,0.191663,0.428978,0.5,119,0.46875,0.213294
BlackHole-4-4-e-8_ext.xml.minion.conv.minion,1,759,0.191663,0.428978,0.5,119,0.46875,0.213294
BlackHole-4-4-e-9_ext.xml.minion.converted.minion.gz,1,759,0.191663,0.428978,0.5,119,0.46875,0.213294
BlackHole-4-4-e-9_ext.xml.minion.conv.minion,1,759,0.191663,0.428978,0.5,119,0.46875,0.213294
BlackHole-4-7-e-0_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5,53,0.482143,0.202703
BlackHole-4-7-e-1_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5,53,0.482143,0.202703
BlackHole-4-7-e-2_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5,53,0.482143,0.202703
BlackHole-4-7-e-3_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5,53,0.482143,0.202703
BlackHole-4-7-e-4_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5,53,0.482143,0.202703
BlackHole-4-7-e-5_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5,53,0.482143,0.202703
BlackHole-4-7-e-6_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5,53,0.482143,0.202703
BlackHole-4-7-e-7_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5,53,0.482143,0.202703
BlackHole-4-7-e-8_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5,53,0.482143,0.202703
BlackHole-4-7-e-9_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5,53,0.482143,0.202703
BlackHole-4-7-h-0_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5,53,0.482143,0.202703
BlackHole-4-7-h-1_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5,53,0.482143,0.202703
BlackHole-4-7-h-2_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5,53,0.482143,0.202703
BlackHole-4-7-h-3_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5,53,0.482143,0.202703
BlackHole-4-7-h-4_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5,53,0.482143,0.202703
BlackHole-4-7-h-5_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5,53,0.482143,0.202703
BlackHole-4-7-h-6_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5,53,0.482143,0.202703
BlackHole-4-7-h-7_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5,53,0.482143,0.202703
BlackHole-4-7-h-8_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5,53,0.482143,0.202703
BlackHole-4-7-h-9_ext.xml.minion.converted.minion.gz,1,868,0.198221,0.432617,0.5,53,0.482143,0.202703
bqwh-15-106-0_glb.xml.minion.conv.minion,1,?,?,?,?,?,?,?
bqwh-15-106-10_glb.xml.minion.conv.minion,1,?,?,?,?,?,?,?
bqwh-15-106-11_ext.xml.minion.converted.minion.gz,1,335,0.012019,0.431746,0.132075,105,0.113208,0.108895
bqwh-15-106-11_glb.xml.minion.conv.minion,1,993,0.003617,0.455535,0.132075,145,0.113208,0.115723
bqwh-15-106-13_ext.xml.minion.converted.minion.gz,1,913,0.014989,0.415549,0.122642,96,0.113208,0.103324
bqwh-15-106-13_glb.xml.minion.conv.minion,1,?,?,?,?,?,?,?
bqwh-15-106-14_glb.xml.minion.conv.minion,1,991,0.004576,0.456206,0.122642,135,0.122642,0.115903
bqwh-15-106-15_ext.xml.minion.converted.minion.gz,1,335,0.01145,0.418575,0.122642,88,0.113208,0.10602
bqwh-15-106-15_glb.xml.minion.conv.minion,1,951,0.003617,0.455535,0.132075,104,0.113208,0.115723
bqwh-15-106-17_ext.xml.minion.converted.minion.gz,1,335,0.016119,0.427939,0.132075,83,0.122642,0.106739
bqwh-15-106-18_glb.xml.minion.conv.minion,1,980,0.003617,0.455535,0.132075,116,0.113208,0.115723
bqwh-15-106-19_ext.xml.minion.converted.minion.gz,1,913,0.014827,0.416137,0.122642,87,0.103774,0.104403
bqwh-15-106-19_glb.xml.minion.conv.minion,1,?,?,?,?,?,?,?
bqwh-15-106-1_ext.xml.minion.converted.minion.gz,1,335,0.015675,0.416096,0.132075,89,0.113208,0.103684
bqwh-15-106-1_glb.xml.minion.conv.minion,1,?,?,?,?,?,?,?
bqwh-15-106-20_glb.xml.minion.conv.minion,1,969,0.003377,0.455601,0.122642,109,0.113208,0.115723
bqwh-15-106-21_ext.xml.minion.converted.minion.gz,1,243,0.018709,0.410245,0.122642,98,0.103774,0.101168
bqwh-15-106-21_glb.xml.minion.conv.minion,1,?,?,?,?,?,?,?
bqwh-15-106-22_glb.xml.minion.conv.minion,1,?,?,?,?,?,?,?
bqwh-15-106-23_ext.xml.minion.converted.minion.gz,1,243,0.015899,0.4176,0.122642,96,0.113208,0.103863
bqwh-15-106-23_glb.xml.minion.conv.minion,1,?,?,?,?,?,?,?
bqwh-15-106-24_glb.xml.minion.conv.minion,1,?,?,?,?,?,?,?
bqwh-15-106-25_ext.xml.minion.converted.minion.gz,1,243,0.012977,0.423463,0.132075,88,0.132075,0.106918
bqwh-15-106-25_glb.xml.minion.conv.minion,1,?,?,?,?,?,?,?
bqwh-15-106-26_glb.xml.minion.conv.minion,1,963,0.003617,0.455535,0.132075,106,0.122642,0.115723
