@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 5'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE d_ratio_array_cons NUMERIC
@ATTRIBUTE d_ratio_int_vars NUMERIC
@ATTRIBUTE d_ratio_bool_vars NUMERIC
@ATTRIBUTE c_max_domdeg_cons NUMERIC

@DATA
normalized-aim-200-6-0-sat-2_ext.xml.mzn_AND_NODATA,1,0.251731,0.748269,0.333333,0.666667,1
normalized-aim-100-3-4-1.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-100-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,0.5,0.5,0.333333,0.666667,1
normalized-aim-200-3-4-1.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-200-2-0-unsat-4_ext.xml.mzn_AND_NODATA,1,0.5,0.5,0.333333,0.666667,1
normalized-aim-200-3-4-4.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-50-1-6-2.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-50-1-6-1.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-50-1-6-4.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-anna-9.xml.mzn_AND_NODATA,1,1,0,1,0,3.169925
normalized-army9-12ls.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-200-6-0-2.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-bibd-6-50-25-3-10_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-200-1-6-4.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-bibd-6-60-30-3-12_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-ash608GPIA-4.xml.mzn_AND_NODATA,1,1,0,1,0,2
normalized-army9-12bt.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-22s-smv.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-200-2-0-3.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-100-2-0-sat-2_ext.xml.mzn_AND_NODATA,1,0.5,0.5,0.333333,0.666667,1
normalized-bibd-7-42-18-3-6_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-100-3-4-4.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-5-fullins-4-6.xml.mzn_AND_NODATA,1,1,0,1,0,2.584963
normalized-army13-24ls.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-200-1-6-1.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-bibd-6-40-20-3-8_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-200-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,0.500626,0.499374,0.333333,0.666667,1
normalized-bibd-6-70-35-3-14_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-200-6-0-sat-3_ext.xml.mzn_AND_NODATA,1,0.252685,0.747315,0.333333,0.666667,1
normalized-aim-50-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,0.5,0.5,0.333333,0.666667,1
normalized-bibd-7-35-15-3-5_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-bibd-9-36-12-3-3_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-bibd-7-63-27-3-9_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-bibd-8-42-21-4-9_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-bibd-16-16-6-6-2_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-bibd-6-100-50-3-20_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-ash958GPIA-4.xml.mzn_AND_NODATA,1,1,0,1,0,2
normalized-army11-17bt.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-bf-2670-001.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-anna-8.xml.mzn_AND_NODATA,1,1,0,1,0,3
normalized-bibd-13-26-6-3-1_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-bibd-7-77-33-3-11_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-bibd-7-28-12-3-4_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-200-3-4-2.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-bibd-8-28-14-4-6_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-bibd-9-48-16-3-4_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-bibd-6-80-40-3-16_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-abb313GPIA-8.xml.mzn_AND_NODATA,1,1,0,1,0,3
normalized-bibd-11-22-10-5-4_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-3-fullins-5-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928
normalized-bibd-10-90-27-3-6_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-bibd-10-30-9-3-2_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-bibd-8-56-21-3-6_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-abb313GPIA-9.xml.mzn_AND_NODATA,1,1,0,1,0,3.169925
normalized-bibd-6-90-45-3-18_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-bibd-16-24-9-6-3_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-bibd-7-98-42-3-14_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-100-1-6-sat-2_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1
normalized-bqwh-15-106-14_glb.xml.mzn_AND_NODATA,1,0,0,1,0,3.906891
normalized-bf-0432-007.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-bibd-15-21-7-5-2_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-bibd-7-70-30-3-10_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-bqwh-15-106-83_ext.xml.mzn_AND_NODATA,1,0.227752,0.713115,0.214141,0.785859,3.807355
normalized-bibd-12-22-11-6-5_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-bibd-15-45-24-8-12_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-bf-1355-075.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-bqwh-18-141-15_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.169925
normalized-BlackHole-4-4-e-2_ext.xml.mzn_AND_NODATA,1,0.053478,0.940308,0.117216,0.882784,4
normalized-bibd-8-70-35-4-15_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-50-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.444444,0.333333,0.666667,1
normalized-BlackHole-4-4-e-9_ext.xml.mzn_AND_NODATA,1,0.053478,0.940308,0.117216,0.882784,4
normalized-bibd-10-60-18-3-4_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-bqwh-18-141-23_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.169925
normalized-bqwh-18-141-21_ext.xml.mzn_AND_NODATA,1,0.22486,0.716444,0.212991,0.787009,4.169925
normalized-bqwh-18-141-14_ext.xml.mzn_AND_NODATA,1,0.224034,0.716738,0.21267,0.78733,4.169925
normalized-bqwh-18-141-22_ext.xml.mzn_AND_NODATA,1,0.212575,0.734656,0.198872,0.801128,4.169925
normalized-bibd-9-108-36-3-9_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-aim-200-3-4-sat-2_ext.xml.mzn_AND_NODATA,1,0.370714,0.629286,0.333333,0.666667,1
normalized-bqwh-18-141-27_ext.xml.mzn_AND_NODATA,1,0.229819,0.709307,0.212991,0.787009,4.169925
normalized-bqwh-18-141-29_ext.xml.mzn_AND_NODATA,1,0.220008,0.724278,0.206745,0.793255,4.169925
normalized-BlackHole-4-4-e-3_ext.xml.mzn_AND_NODATA,1,0.053478,0.940308,0.117216,0.882784,4
normalized-bqwh-18-141-14_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.169925
normalized-4-fullins-5-8.xml.mzn_AND_NODATA,1,1,0,1,0,3
normalized-bqwh-18-141-23_ext.xml.mzn_AND_NODATA,1,0.213381,0.731591,0.207353,0.792647,4.169925
normalized-bqwh-18-141-19_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.169925
normalized-bibd-9-72-24-3-6_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-bqwh-18-141-2_ext.xml.mzn_AND_NODATA,1,0.218256,0.725761,0.207658,0.792342,4.087463
normalized-bibd-12-44-11-3-2_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-4-fullins-5-5.xml.mzn_AND_NODATA,1,1,0,1,0,2.321928
normalized-bibd-7-56-24-3-8_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-bqwh-18-141-22_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.169925
normalized-BlackHole-4-4-e-6_ext.xml.mzn_AND_NODATA,1,0.053478,0.940308,0.117216,0.882784,4
normalized-bqwh-18-141-17_ext.xml.mzn_AND_NODATA,1,0.23297,0.703906,0.215596,0.784404,4.169925
normalized-bibd-7-49-21-3-7_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-bibd-14-26-13-7-6_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-bqwh-18-141-57_ext.xml.mzn_AND_NODATA,1,0.234131,0.703772,0.216923,0.783077,4.169925
normalized-bqwh-18-141-52_ext.xml.mzn_AND_NODATA,1,0.221803,0.720755,0.210448,0.789552,4.169925
normalized-bqwh-18-141-32_ext.xml.mzn_AND_NODATA,1,0.220241,0.723766,0.209821,0.790179,4.169925
normalized-bibd-7-210-60-2-10_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-BlackHole-4-4-e-4_ext.xml.mzn_AND_NODATA,1,0.053478,0.940308,0.117216,0.882784,4
normalized-bqwh-18-141-40_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.169925
normalized-BlackHole-4-4-e-7_ext.xml.mzn_AND_NODATA,1,0.053478,0.940308,0.117216,0.882784,4
normalized-bqwh-18-141-59_ext.xml.mzn_AND_NODATA,1,0.224714,0.719001,0.209821,0.790179,4.169925
normalized-bqwh-18-141-40_ext.xml.mzn_AND_NODATA,1,0.219424,0.724221,0.204348,0.795652,4.169925
normalized-bqwh-18-141-15_ext.xml.mzn_AND_NODATA,1,0.22684,0.714286,0.21203,0.78797,4.169925
normalized-bqwh-18-141-39_ext.xml.mzn_AND_NODATA,1,0.2247,0.715695,0.21203,0.78797,4.169925
normalized-bqwh-18-141-5_ext.xml.mzn_AND_NODATA,1,0.221535,0.721122,0.207965,0.792035,4.169925
normalized-bqwh-18-141-46_ext.xml.mzn_AND_NODATA,1,0.219718,0.724748,0.20524,0.79476,4.169925
normalized-bqwh-18-141-41_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.169925
normalized-bibd-6-30-15-3-6_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-bqwh-18-141-10_ext.xml.mzn_AND_NODATA,1,0.224473,0.718565,0.20951,0.79049,4.169925
normalized-bqwh-18-141-71_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.169925
normalized-bqwh-18-141-29_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.169925
normalized-bqwh-18-141-73_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.169925
normalized-bqwh-18-141-19_ext.xml.mzn_AND_NODATA,1,0.219682,0.726011,0.207658,0.792342,4.169925
normalized-bqwh-18-141-36_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.169925
normalized-bqwh-18-141-7_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.169925
normalized-bqwh-18-141-6_ext.xml.mzn_AND_NODATA,1,0.22582,0.714162,0.212349,0.787651,4.169925
normalized-bqwh-18-141-79_ext.xml.mzn_AND_NODATA,1,0.235704,0.701069,0.217593,0.782407,4.169925
normalized-bqwh-18-141-72_ext.xml.mzn_AND_NODATA,1,0.231371,0.706072,0.218944,0.781056,4.169925
normalized-bqwh-18-141-49_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.169925
normalized-bqwh-18-141-7_ext.xml.mzn_AND_NODATA,1,0.225586,0.715565,0.210448,0.789552,4.169925
normalized-bibd-8-56-28-4-12_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-BlackHole-4-4-e-5_ext.xml.mzn_AND_NODATA,1,0.053478,0.940308,0.117216,0.882784,4
normalized-bqwh-18-141-3_ext.xml.mzn_AND_NODATA,1,0.225834,0.714713,0.210762,0.789238,4.169925
normalized-bqwh-18-141-64_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.169925
normalized-bibd-11-55-15-3-3_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-bqwh-18-141-87_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.169925
normalized-bqwh-18-141-66_ext.xml.mzn_AND_NODATA,1,0.22079,0.723493,0.209821,0.790179,4.169925
normalized-BlackHole-4-4-e-8_ext.xml.mzn_AND_NODATA,1,0.053478,0.940308,0.117216,0.882784,4
normalized-bqwh-18-141-74_ext.xml.mzn_AND_NODATA,1,0.201331,0.7493,0.196927,0.803073,4.087463
normalized-bqwh-18-141-58_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.169925
normalized-bqwh-18-141-82_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.169925
normalized-bqwh-18-141-61_ext.xml.mzn_AND_NODATA,1,0.22036,0.722404,0.207353,0.792647,4.169925
normalized-bqwh-18-141-3_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.169925
normalized-bqwh-18-141-55_ext.xml.mzn_AND_NODATA,1,0.229391,0.707885,0.215926,0.784074,4.169925
normalized-bqwh-15-106-14_ext.xml.mzn_AND_NODATA,1,0.205078,0.745117,0.201521,0.798479,3.906891
normalized-bqwh-18-141-41_ext.xml.mzn_AND_NODATA,1,0.230666,0.708091,0.214612,0.785388,4.169925
normalized-bqwh-18-141-9_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.169925
normalized-bqwh-18-141-77_ext.xml.mzn_AND_NODATA,1,0.215294,0.729412,0.204348,0.795652,4.169925
normalized-bqwh-18-141-90_ext.xml.mzn_AND_NODATA,1,0.234317,0.701568,0.217257,0.782743,4.169925
normalized-bibd-22-22-7-7-2_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-bqwh-18-141-42_ext.xml.mzn_AND_NODATA,1,0.227095,0.713417,0.212349,0.787651,4.087463
normalized-C1-1-20.xml.mzn_AND_NODATA,1,0.758621,0.172414,0.138047,0.861953,2.356927
normalized-C1-2-20.xml.mzn_AND_NODATA,1,0.76087,0.173913,0.130827,0.869173,2.356927
normalized-bqwh-18-141-20_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.087463
normalized-bqwh-18-141-83_ext.xml.mzn_AND_NODATA,1,0.232664,0.70438,0.21659,0.78341,4.169925
normalized-bqwh-18-141-90_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.169925
normalized-bqwh-18-141-47_ext.xml.mzn_AND_NODATA,1,0.222269,0.719328,0.210448,0.789552,4.169925
normalized-bqwh-18-141-71_ext.xml.mzn_AND_NODATA,1,0.224343,0.717557,0.210448,0.789552,4.169925
normalized-4-fullins-5-6.xml.mzn_AND_NODATA,1,1,0,1,0,2.584963
normalized-block.xml.mzn_AND_NODATA,1,0.515344,0.237834,0.17933,0.82067,3
normalized-bibd-8-98-49-4-21_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-bqwh-18-141-98_ext.xml.mzn_AND_NODATA,1,0.229048,0.709961,0.21267,0.78733,4.169925
normalized-bqwh-18-141-69_ext.xml.mzn_AND_NODATA,1,0.238163,0.69697,0.218944,0.781056,4.169925
normalized-bqwh-18-141-97_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.169925
normalized-bqwh-18-141-20_ext.xml.mzn_AND_NODATA,1,0.209251,0.738987,0.198312,0.801688,4.087463
normalized-bqwh-18-141-62_ext.xml.mzn_AND_NODATA,1,0.218893,0.724927,0.211394,0.788606,4.087463
normalized-bqwh-18-141-49_ext.xml.mzn_AND_NODATA,1,0.21816,0.727201,0.202586,0.797414,4.169925
normalized-bqwh-18-141-25_ext.xml.mzn_AND_NODATA,1,0.228384,0.712227,0.212349,0.787651,4.169925
normalized-bqwh-18-141-89_ext.xml.mzn_AND_NODATA,1,0.21355,0.730586,0.207353,0.792647,4.169925
normalized-bqwh-18-141-64_ext.xml.mzn_AND_NODATA,1,0.21991,0.723378,0.207353,0.792647,4.169925
normalized-bibd-7-91-39-3-13_glb.xml.mzn_AND_NODATA,1,1,0,1,0,1
normalized-bqwh-18-141-88_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.169925
normalized-bqwh-18-141-82_ext.xml.mzn_AND_NODATA,1,0.230096,0.708661,0.211394,0.788606,4.169925
normalized-bqwh-18-141-84_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.169925
normalized-bqwh-18-141-59_glb.xml.mzn_AND_NODATA,1,0,0,1,0,4.169925
