@RELATION 'FEATURE_VALUES-SAT11-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC

@DATA
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m52-q1041.25-n50-p30-s30907550.cnf,1,0.9819,0.9819,0.9412,0.2354,3.3492,6.1822,0.9819,0.0049,0.8838,9,0.5465,6,0.9994,0.9515,25,0.9884
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_406.cnf,1,0.0031,0.9169,1,0.6329,3.3339,5.0456,0.0831,0,0.7061,4621,0.8349,4621,1,0.6449,4621,0.6856
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_401.cnf,1,0.0124,0.9218,1,0.6213,3.5664,4.9825,0.0782,0,0.6597,4500,0.8326,4500,1,0.6474,4500,0.6884
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g7.cnf,1,0.9299,0.9299,0.7143,0.7384,2.9323,4.9022,0.9299,0.027,0.7373,406,0.36,406,0.9927,0.7734,492,0.7982
./SAT03/handmade/anton/UNSAT/SGI_30_70_19_80_8-log.shuffled-as.sat03-143.cnf,1,0,0,0,0.0348,1.6947,1.6892,0.0107,0.8114,0.5703,2232,0.136,2232,0.2437,0.0375,2406,0.0713
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-20_390.cnf,1,0.0032,0.9127,1,0.6107,3.3218,4.9956,0.0873,0,0.6841,4669,0.814,4669,1,0.6301,4669,0.6708
./SAT05/crafted/jarvisalo05/mod2c-rand3bip-sat/mod2c-rand3bip-sat-250-2.shuffled-as.sat05-2534.cnf,1,0,0,0,0,0.9674,1.4343,0.2504,0.8453,0.2067,727,0.2,727,0.3599,0.0002,1708,0.0134
./SAT11/crafted/skvortsov/battleship/battleship-16-16-unsat.cnf,1,0.8824,0.8824,1,0.7575,0,0,0.8824,0,0.8331,4872,0.0323,4872,1,0.7576,4872,0.7579
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-23_506.cnf,1,0.0024,0.9231,1,0.6532,3.3188,5.2676,0.0769,0,0.7105,1496,0.8382,1496,1,0.6664,1496,0.7016
./SAT11/crafted/spence/sgen/sgen3-n160-s40283905-sat.cnf,1,0.8333,0.8333,0,0.5831,0,0,0.6484,0.8849,0.6879,4527,0.3333,4527,0.5302,0.5831,4593,0.5832
./SAT11/crafted/skvortsov/automata-synchronization/crn_11_100_s.cnf,1,0.0371,0.1398,0,0.0001,1.0023,1.3674,0.2945,0.9523,0.2282,723,0.6667,438,0.2847,0.0047,858,0.0374
./SAT11/crafted/skvortsov/automata-synchronization/rnd_150_42_s.cnf,1,0.2481,0.5538,0,0.0001,2.2265,2.0783,0.5668,0.6874,0.0758,1382,0.9667,1173,0.5454,0.0339,1477,0.1899
./SAT05/crafted/sabharwal05/ordering/gt-ordering/sat/gt-030.shuffled-as.sat05-1295.cnf,1,0.0175,0.9988,0,0.5186,0.0252,0.023,0.5096,0.5877,0.7089,2452,0.3412,1380,0.4986,0.5267,2527,0.5268
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v2640c305320gyes2.cnf,1,0.9494,0.9494,0.8333,0.7356,2.7378,5.2316,0.9494,0.0157,0.7862,85,0.3043,26,0.9964,0.7825,190,0.8351
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-23_505.cnf,1,0.0099,0.927,1,0.647,3.5293,5.2217,0.073,0,0.6685,4262,0.8722,4262,1,0.668,4262,0.702
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-17_279.cnf,1,0,0.8938,1,0.5916,2.8893,4.5749,0.1062,0,0.6938,1292,0.7821,1292,1,0.6021,1615,0.6206
./SAT11/crafted/mosoi/289/289-sat-6x20.cnf,1,0.0306,0.0306,1,0.5026,0,0,0.7577,0,0.9528,3840,0.0104,3840,1,0.5027,3840,0.5028
./SAT05/crafted/sorge05/QG7a/gensys-ukn004.shuffled-as.sat05-3844.cnf,1,0.0794,0.0985,0,0,2.8275,3.3564,0.14,0.8845,0.2363,1318,1,747,0.3079,0.6063,1615,0.7762
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-20_388.cnf,1,0,0.9085,1,0.6326,2.9878,5.1607,0.0915,0,0.7082,276,0.8122,271,1,0.6427,304,0.6564
./SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v2640c305320gyes10.cnf,1,0.9546,0.9546,0.8824,0.1356,2.571,5.4652,0.9546,0.0126,0.8414,37,0.2985,31,0.9973,0.6876,57,0.8962
./SAT05/crafted/sabharwal05/pebbling/grid-pebbling/unsat/grid-pbl-0250.shuffled-as.sat05-1349.shuffled-as.sat05-1349.cnf,1,0.0018,0.0031,0,0,0.3978,0.3976,0.3109,0.8866,0.2989,141,0.5,102,0.375,0,193,0
./SAT11/crafted/skvortsov/battleship/battleship-9-17-sat.cnf,1,0.8831,0.8831,1,0.8006,0,0,0.8831,0,0.9026,0,0.0588,0,1,0.8006,0,0.8006
./SAT04/handmade/connamacher/connm-d-0.02/connm-ue-csp-sat-n1200-d-0.02-s405595518.used-as.sat04-950.cnf,1,0,0.8448,0.3333,0.4265,2.6708,3.3715,0.8448,0.4686,0.2713,2187,0.5,2187,0.6621,0.5395,2799,0.6289
./SAT11/crafted/skvortsov/battleship/battleship-7-12-unsat.cnf,1,0.8372,0.8372,1,0.7569,0,0,0.8372,0,0.8838,4836,0.0769,4836,1,0.7569,4841,0.7569
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m32-q326.25-n30-p15-s44266159.cnf,1,0.9682,0.9682,0.8571,0.7717,3.2079,4.75,0.9682,0.0127,0.8665,125,0.5058,125,0.998,0.8374,716,0.8796
./SAT03/handmade/anton/UNSAT/SGI_30_70_26_40_6-dir.shuffled-as.sat03-163.cnf,1,0.9756,0.9756,0,0.8382,3.1332,4.5707,0.7118,1.0161,0.8664,347,0.5629,111,0.4897,0.8685,400,0.8994
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q225-n25-p15-s58217873.cnf,1,0.9669,0.9669,0.8667,0.7183,3.3946,4.4421,0.9669,0.0159,0.8681,793,0.5959,793,0.9973,0.8245,873,0.8744
./SAT04/handmade/connamacher/connm-d0.04/connm-ue-csp-sat-n800-d0.04-s1788334438.used-as.sat04-976.cnf,1,0,0.8432,0.3333,0.4494,2.7486,3.4902,0.8432,0.4676,0.3025,4501,0.5,4501,0.6627,0.5258,4501,0.6142
./SAT11/crafted/skvortsov/battleship/battleship-5-8-unsat.cnf,1,0.7619,0.7619,1,0.6799,0,0,0.7619,0,0.8885,0,0.1111,0,1,0.6799,0,0.6799
./SAT05/crafted/sorge05/QG7/iso-ukn004.shuffled-as.sat05-3385.cnf,1,0.5255,0.7192,0,0.0007,3.1098,2.9994,0.5443,0.9202,0.2832,0,1,0,0.4536,0.425,0,0.8126
./SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v2400c266431gyes3.cnf,1,0.9536,0.9536,0.8947,0.1467,2.651,5.3855,0.9536,0.0131,0.8653,28,0.2686,28,0.9971,0.6709,58,0.8967
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2100c215164g4.cnf,1,0.9822,0.9822,1,0.9302,0,0,0.9822,0,1,0,0.3421,0,1,0.9303,0,0.9305
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-12_135.cnf,1,0,0.8549,1,0.4959,2.7087,3.8051,0.1451,0,0.6727,4645,0.6962,4645,1,0.5092,4655,0.5383
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-15_218.cnf,1,0,0.881,1,0.5548,2.9328,4.4783,0.119,0,0.682,4506,0.7561,4506,1,0.5694,4506,0.5926
./SAT03/handmade/stanion/hwb/hwb-n28-02-S818962541.shuffled-as.sat03-1628.cnf,1,0.0101,0.3899,0,0.0003,0.3503,1.6908,0.3456,0.7882,0.4858,4121,0.7436,4121,0.4245,0.0007,4137,0.0054
./SAT05/crafted/sorge05/QG7a/gensys-icl005.shuffled-as.sat05-3826.cnf,1,0.0801,0.1014,0,0,2.6471,3.2128,0.1458,0.8781,0.2363,1671,1,1605,0.3124,0.6251,1836,0.7777
./SAT11/crafted/spence/sgen/sgen3-n140-s20078956-unsat.cnf,1,0,1,0.3333,0.0001,0.256,0.256,0.5034,0.5767,0.8046,3652,0.3333,3652,0.4886,0.0007,3820,0.0113
./SAT03/handmade/anton/UNSAT/SGI_30_70_20_70_1-dir.shuffled-as.sat03-146.cnf,1,0.9694,0.9694,0,0.8328,3.0694,4.1117,0.7058,1.0222,0.9219,103,0.4982,103,0.4862,0.8568,103,0.8938
./SAT11/crafted/skvortsov/battleship/battleship-14-27-sat.cnf,1,0.9261,0.9261,1,0.8577,0,0,0.9261,0,0.9182,4836,0.037,4836,1,0.8577,4836,0.8577
./SAT03/handmade/anton/UNSAT/SGI_30_70_22_70_7-dir.shuffled-as.sat03-154.cnf,1,0.9718,0.9718,0,0.8256,2.9916,4.2935,0.7131,1.0131,0.9163,215,0.59,215,0.4902,0.8584,447,0.8941
./SAT02/handmade/chu-min-li/urquhart/urquhart3_25bis.shuffled.cnf,1,0,0.1818,0,0,0,0.6931,0.3636,0.8418,0.9922,2841,0,2706,0.3939,0,2891,0
./SAT03/handmade/bevan/cnf/marg3x3add8.shuffled-as.sat03-1449.cnf,1,0,0,0,0,0,1.0511,0.2545,0.6736,0.9909,2536,0,2536,0.3839,0,2623,0
./SAT05/crafted/sorge05/QG7a/gensys-ukn003.shuffled-as.sat05-3843.cnf,1,0.07,0.0891,0,0,2.8294,3.4583,0.1264,0.8703,0.2322,1695,1,925,0.309,0.6068,1858,0.7731
./SAT11/crafted/skvortsov/battleship/battleship-13-13-unsat.cnf,1,0.8571,0.8571,1,0.7232,0,0,0.8571,0,0.8087,4897,0.04,4897,1,0.7233,4897,0.7234
./SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-6_2072.cnf,1,0,0.5344,0.2,0.0003,3.9749,6.0071,0.1004,0.3454,0.3934,422,0.9825,404,0.775,0.1484,480,0.6016
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m32-q326.25-n30-p30-s48700942.cnf,1,0.9713,0.9713,0.875,0.821,3.2793,5.1203,0.9713,0.01,0.8475,110,0.5447,110,0.9984,0.8626,133,0.8919
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-22_464.cnf,1,0.0027,0.92,1,0.6427,3.3542,5.0918,0.08,0,0.6915,4061,0.8275,4061,1,0.6542,4061,0.6928
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m42-q585-n40-p30-s19690873.cnf,1,0.979,0.979,0.9167,0.7573,3.1954,5.7931,0.979,0.0066,0.8265,22,0.5797,22,0.9991,0.8507,27,0.91
./SAT03/handmade/anton/UNSAT/SGI_30_70_20_60_10-dir.shuffled-as.sat03-144.cnf,1,0.9697,0.9697,0,0.8478,2.8961,4.2017,0.7195,1.0163,0.9096,151,0.422,151,0.4885,0.8699,698,0.8899
./SAT11/crafted/skvortsov/automata-synchronization/crn_11_99_u.cnf,1,0.0323,0.147,0,0.0002,1.0783,1.4364,0.2961,0.9479,0.2088,692,0.6667,582,0.2855,0.0047,915,0.0374
./SAT04/handmade/anton/l4k4/lksat-n900-m6174-k4-l4-s819398222.used-as.sat04-929.cnf,1,0.0017,0.0112,0,0.0001,3.137,3.125,0.3081,0.8892,0.117,155,0.5714,155,0.3696,0.042,402,0.2198
./SAT04/handmade/anton/l5k3/lksat-n900-m3357-k3-l5-s950595579.used-as.sat04-938.cnf,1,0.0049,0.8865,0,0.001,3.4019,3.0176,0.4563,0.6136,0.1234,2653,1,2653,0.4802,0.0861,3654,0.379
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q255-n25-p15-s2076598.cnf,1,0.9871,0.9871,0.8462,0.7885,3.108,4.4672,0.9871,0.0048,0.9234,502,0.8506,268,0.9998,0.8666,626,0.9057
./SAT02/handmade/simon/satex-challenges/c6288.shuffled.cnf,1,0.2396,0.8762,0,0,1.2453,1.2303,0.5419,0.7424,0.1566,530,0.5556,477,0.4775,0.0074,683,0.0975
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-18_312.cnf,1,0,0.8993,1,0.6057,2.9611,4.9432,0.1007,0,0.7052,471,0.7919,471,1,0.6173,619,0.633
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v1375c111739g4.cnf,1,0.9349,0.9349,0.75,0.76,2.8313,4.9117,0.9349,0.0236,0.7565,319,0.4058,230,0.9939,0.7881,322,0.8094
./SAT05/crafted/roussel05/visbmc-PHNF/phnf-size10-exclusive-philo.used-as.sat04-988.shuffled-as.sat05-4195.cnf,1,0.8588,0.8591,0,0,4.2441,5.5809,0.6449,1.0213,0.0273,0,0.967,0,0.467,0.4955,0,0.931
./SAT04/handmade/kexu/frb-0.8/frb45-21-1.used-as.sat04-883.cnf,1,0.9348,0.9348,0.8182,0.7632,2.8156,4.9521,0.9348,0.0236,0.7478,288,0.323,287,0.9939,0.7876,299,0.8082
./SAT11/crafted/skvortsov/battleship/battleship-11-21-sat.cnf,1,0.9052,0.9052,1,0.8287,0,0,0.9052,0,0.9074,4821,0.0476,4821,1,0.8287,4821,0.8288
./SAT05/crafted/sorge05/QG7a/gensys-brn002.shuffled-as.sat05-3935.cnf,1,0.0801,0.0909,0,0,2.7621,3.192,0.1178,0.8806,0.2475,1169,1,785,0.311,0.6447,1376,0.7496
./SAT04/handmade/kexu/frb-0.8/frb59-26-2.used-as.sat04-892.cnf,1,0.9463,0.9463,0.7778,0.7816,2.8117,5.2853,0.9463,0.0174,0.726,222,0.3722,89,0.9959,0.8122,228,0.8367
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v2100c215164gyes2.cnf,1,0.9552,0.9552,0.75,0.5503,2.697,5.5209,0.9552,0.013,0.8016,50,0.3028,41,0.9972,0.7334,138,0.86
./SAT11/crafted/spence/sgen/sgen3-n260-s62321009-sat.cnf,1,0.8333,0.8333,0,0.5831,0,0,0.6298,0.8947,0.6511,4351,0.3333,4351,0.5237,0.5831,4430,0.5832
./SAT11/crafted/mosoi/289/289-sat-6x19.cnf,1,0.0323,0.0323,1,0.5088,0,0,0.7581,0,0.9662,3322,0.011,3322,1,0.509,3322,0.509
./SAT11/crafted/skvortsov/automata-synchronization/rnd_100_28_u.cnf,1,0.272,0.5824,0,0.001,2.1674,2.0374,0.6326,0.6266,0.1085,2045,1,2045,0.5839,0.0409,2546,0.2272
./SAT02/handmade/pehoushek/plainoldcnf/5cnf_4300_4300_170.shuffled.cnf,1,0,0.0003,0,0.0005,1.0364,1.2942,0.1925,0.6696,0.5555,3901,0.0488,3901,0.3779,0.0036,3993,0.0191
./SAT11/crafted/skvortsov/battleship/battleship-16-31-sat.cnf,1,0.9356,0.9356,1,0.8716,0,0,0.9356,0,0.9239,4872,0.0323,4872,1,0.8716,4872,0.8716
./SAT11/crafted/mosoi/289/289-unsat-9x32.cnf,1,0.012,0.012,1,0.3978,0,0,0.753,0,0.7197,456,0.004,452,1,0.3984,486,0.3987
./SAT11/crafted/skvortsov/battleship/battleship-15-29-sat.cnf,1,0.9312,0.9312,1,0.865,0,0,0.9312,0,0.9209,4834,0.0345,4834,1,0.865,4834,0.865
./SAT11/crafted/spence/sgen/sgen3-n140-s18527668-sat.cnf,1,0.8333,0.8333,0,0.5831,0,0,0.6756,0.9534,0.6989,4581,0.3333,4581,0.494,0.5831,4586,0.5832
./SAT11/crafted/spence/sgen/sgen3-n220-s24359701-sat.cnf,1,0.8333,0.8333,0,0.5831,0,0,0.6117,0.9821,0.6645,4435,0.3333,4435,0.478,0.5831,4442,0.5832
./SAT11/crafted/mosoi/289/289-sat-6x9.cnf,1,0.0698,0.0698,1,0.619,0,0,0.7674,0,0.9992,4272,0.0244,4272,1,0.619,4272,0.619
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m62-q1327.5-n60-p15-s1351253.cnf,1,0.9798,0.9798,0.9286,0.0111,3.4131,6.3406,0.9798,0.005,0.879,3,0.4527,3,0.9993,0.9684,8,0.9965
./SAT11/crafted/mosoi/289/289-unsat-17x27.cnf,1,0.0072,0.0072,1,0.0044,0,0,0.7518,0,0.6172,411,0.0024,354,1,0.318,459,0.3569
./SAT05/crafted/sorge05/QG6/dead-dnd002.shuffled-as.sat05-2713.cnf,1,0.1019,0.1759,0,0,2.6907,3.0496,0.1419,0.9222,0.4355,641,1,256,0.294,0.5112,1323,0.7482
./SAT11/crafted/skvortsov/battleship/battleship-10-18-sat.cnf,1,0.8901,0.8901,1,0.8154,0,0,0.8901,0,0.8977,4792,0.0526,4792,1,0.8154,4824,0.8154
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v1150c84314gyes1.cnf,1,0.9349,0.9349,0.8,0.7637,2.9075,4.8,0.9349,0.0236,0.7691,288,0.3475,179,0.9939,0.7887,433,0.8088
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-23_508.cnf,1,0.0025,0.923,1,0.6559,3.343,5.2336,0.077,0,0.7047,1592,0.84,1592,1,0.6664,2214,0.7006
./SAT05/crafted/sabharwal05/counting/php/unsat/easier/php-010-008.shuffled-as.sat05-1171.cnf,1,0.7667,0.7667,0,0.7474,0,0,0.5667,1.1471,0.8549,4697,0,4697,0.4016,0.7475,4818,0.7787
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-24_567.cnf,1,0.0088,0.9293,1,0.6535,3.5107,5.3432,0.0707,0,0.6764,3945,0.8497,3945,1,0.6777,3945,0.7083
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v760c43649g5.cnf,1,0.9519,0.9519,0.8333,0.59,2.7203,5.4935,0.9519,0.0143,0.7614,79,0.3068,70,0.9968,0.7188,143,0.8511
./SAT11/crafted/mosoi/289/289-sat-4x35.cnf,1,0.0286,0.0286,1,0.4947,0,0,0.7571,0,0.9854,0,0.0097,0,1,0.4948,0,0.4948
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m42-q585-n40-p15-s54275047.cnf,1,0.9757,0.9757,0.9091,0.3773,3.2939,5.5258,0.9757,0.0074,0.8734,8,0.6061,5,0.9989,0.6901,15,0.9182
./SAT05/crafted/sabharwal05/counting/php/unsat/easier/php-045-035.shuffled-as.sat05-1181.cnf,1,0.9438,0.9438,0,0.9352,0,0,0.6999,1.0205,0.9385,4873,0,4873,0.4836,0.9375,4873,0.9394
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g3.cnf,1,0.9523,0.9523,0.8571,0.5791,2.7466,5.5834,0.9523,0.0142,0.7575,66,0.3161,62,0.9969,0.7212,153,0.8529
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-22_445.cnf,1,0.0112,0.9247,1,0.6377,3.5633,5.0081,0.0753,0,0.668,4480,0.8347,4480,1,0.6592,4480,0.6973
./SAT11/crafted/spence/sgen/sgen3-n300-s12830984-sat.cnf,1,0.8333,0.8333,0,0.5831,0,0,0.6361,0.9873,0.6433,3919,0.3333,3919,0.4778,0.5831,4038,0.5832
