@RELATION 'FEATURE_VALUES-SAT12-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 3'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC

@DATA
SAT_RACE2008/ibm-2002-18r-k90.cnf,1,3.5936,1.2092,0.1598
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,3.0829,0.4451,0.1565
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/partial-5-15-u.cnf,1,2.8925,0.4866,0.1624
SAT_Competition2007/industrial/industrial/babic/xinetd/itox_vc1044.cnf,1,1.6082,3.0847,0.0874
SAT_RACE2006/SAT-Race_TS_1/velev-pipe-1.1-05.cnf,1,4.0371,3.3798,0.3273
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_3_keyfind_1.cnf,1,1.782,0.291,0.0691
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-eijkbs6669-tseitin.cnf,1,2.0203,0.6056,0.0712
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_4_keyfind_1.cnf,1,1.7705,0.2829,0.0683
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.170-NOTKNOWN.cnf,1,1.6649,1.9072,0.326
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-sat/partial-10-15-s.cnf,1,2.898,0.5067,0.1634
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_r_uc_sat.cnf,1,2.7564,0.8793,0.0605
SAT_Competition2007/industrial/industrial/anbulagan/hard-sat/partial-5-17-s.cnf,1,2.821,0.5444,0.1635
SAT-Race-2010-CNF/mixed/anbulagan/dated-5-11-u.cnf,1,3.0944,0.4013,0.1552
SAT-Race-2010-CNF/software-verification/nec/hard-2-U-9007.cnf,1,3.2658,3.4805,0.1921
SAT_RACE2006/SAT-Race_TS_1/velev-vliw-sat-2.0-04.cnf,1,4.0219,3.6567,0.2414
SAT-Race-2010-CNF/cryptography/mizh/md5_48_3.cnf,1,0.9718,0.6085,0.0385
SAT_RACE2008/post-c32s-gcdm16-22.cnf,1,1.6455,1.2728,0.1052
SAT_RACE2008/post-c32s-ss-8.cnf,1,1.76,1.065,0.124
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_kkb_unknown.cnf,1,1.8364,1.515,0.0506
SAT-Race-2010-CNF/mixed/bioinf/q_query_3_l48_lambda.cnf,1,3.1041,1.4973,0.1635
SAT_Competition2007/industrial/industrial/manolios/manol-pipe-g10bidw.cnf,1,2.7152,1.548,0.1496
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-c7bidw_i.cnf,1,2.9052,1.5143,0.1516
SAT_Competition2009/APPLICATION/SAT07/industrial/grieu/vmpc_24.cnf,1,0.3614,0.0058,0.0021
SAT_RACE2006/SAT-Race_TS_1/simon-mixed-s02bis-01.cnf,1,2.4435,1.552,0.1231
SAT_Competition2011/SAT-Race-2010-CNF/software-verification/nec/hard-25-U-7061.cnf,1,?,?,?
SAT_Competition2011/SAT09/APPLICATIONS/satComp09_BioInstances/rbcl_xits_08_UNSAT.cnf,1,2.6677,1.086,0.2792
SAT_RACE2006/SAT-Race-Benchmarks/ibm-2004-1_31_2-k25.cnf,1,3.3454,0.9423,0.1366
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_f_unknown.cnf,1,1.6787,1.4593,0.0395
SAT_Competition2009/APPLICATION/SAT_RACE06/manol-pipe-c6nidw_i.cnf,1,2.9405,1.3359,0.1548
SAT_Competition2007/industrial/industrial/anbulagan/medium-sat/total-5-17-s.cnf,1,3.0643,0.5586,0.1595
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-f10ni.cnf,1,2.8303,1.7985,0.1523
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bc57sensorsp2-tseitin.cnf,1,2.8716,1.9496,0.136
SAT_RACE2008/velev-vliw-uns-4.0-9-i1.cnf,1,4.0488,7.5865,0.2587
SAT_Competition2011/SAT07/industrial/anbulagan/hard-unsat/partial-5-11-u.cnf,1,2.8848,0.4219,0.1602
SAT_RACE2008/post-cbmc-aes-d-r2.cnf,1,2.6334,2.0992,0.1396
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/satComp09_BioInstances/ndhf_xits_11_UNSAT.cnf,1,2.6131,1.1579,0.2849
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_5_keyfind_1.cnf,1,1.7617,0.2778,0.0678
SAT_Competition2007/industrial/industrial/palacios/uts/uts-l06-ipc5-h29-unknown.cnf,1,4.2573,1.8552,0.312
SAT-Race-2010-CNF/mixed/jarvisalo/eq.atree.braun.12.unsat.cnf,1,2.0475,0.2991,0.0901
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/partial-10-17-u.cnf,1,2.8612,0.5262,0.1632
SAT_Competition2007/industrial/industrial/anbulagan/medium-unsat/dated-5-11-u.cnf,1,3.0944,0.4013,0.1552
SAT_Competition2011/SAT02/industrial/nam/fpga-routing/k2fix_gr_rcs_w8.shuffled.cnf,1,0.0896,0.8492,0.0352
SAT_RACE2006/SAT-Race-Benchmarks/simon-s03-fifo8-400.cnf,1,2.8031,0.3834,0.163
SAT_Competition2011/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-lfsr_008_079_112-tseitin.cnf,1,3.169,4.4161,0.2535
SAT_Competition2009/APPLICATION/SAT_RACE06/velev-pipe-o-uns-1.1-6.cnf,1,4.037,2.1893,0.2954
SAT_Competition2011/SAT07/industrial/IBM_FV_2002_13_rule_1/SAT_dat.k80.cnf,1,1.7922,2.1859,0.1608
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom15.cnf,1,2.3483,1.7564,0.2415
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_b_unsat.cnf,1,1.7163,1.308,0.0361
SAT_RACE2008/babic-dspam-vc973.cnf,1,?,?,?
SAT_RACE2006/SAT-Race-Benchmarks/ibm-2002-26r-k45.cnf,1,3.4492,2.889,0.2391
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/satComp09_BioInstances/rbcl_xits_12_UNKNOWN.cnf,1,2.2046,1.0769,0.3064
SAT_RACE2008/ibm-2004-29-k25.cnf,1,3.3525,0.8601,0.1604
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-03.cnf,1,3.4323,2.3322,0.2476
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/dated-5-17-u.cnf,1,3.1127,0.5379,0.1573
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top22.cnf,1,2.1335,1.8918,0.1809
SAT-Race-2010-CNF/software-verification/nec/hard-11-U-7061.cnf,1,?,?,?
SAT_Competition2009/APPLICATION/SAT07/industrial/palacios/hard/safe-50-h49-unsat.cnf,1,4.1327,2.1775,0.3201
SAT_Competition2011/SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-18-step15.cnf,1,3.2353,2.1803,0.3145
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-15.cnf,1,1.1936,1.5687,0.0665
SAT_RACE2006/SAT-Race_TS_2/manol-pipe-c7_i.cnf,1,3.3927,1.1242,0.1738
SAT_RACE2006/SAT-Race_TS_2/manol-pipe-f6nid.cnf,1,2.8613,1.3211,0.1564
SAT_Competition2007/industrial/industrial/fuhs/medium/AProVE07-15.cnf,1,1.9442,0.7131,0.1129
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bioinfo/q_query_3_L100_coli.sat.cnf,1,2.4475,2.3738,0.1599
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.025-NOTKNOWN.cnf,1,2.4951,1.2604,0.1617
SAT_Competition2007/industrial/industrial/babic/xinetd/itox_vc1033.cnf,1,1.6293,3.4168,0.0829
SAT_RACE2008/mizh-md5-48-2.cnf,1,0.9713,0.6084,0.0385
SAT_RACE2006/SAT-Race_TS_2/miza-sr06-md5-47-03.cnf,1,0.9811,0.604,0.0385
SAT-Race-2010-CNF/software-verification/babic/dspam_dump_vc972.cnf,1,0.9825,1.7456,0.0289
SAT_RACE2008/manol-pipe-f7nidw.cnf,1,2.8031,1.5803,0.1536
SAT_Competition2007/industrial/industrial/babic/hsatv17/hsat_vc12070.cnf,1,?,?,?
SAT_Competition2007/industrial/industrial/babic/xinetd/itox_vc909.cnf,1,1.6402,5.4321,0.0879
SAT_RACE2006/SAT-Race_TS_1/narai-vpn-10s.cnf,1,2.0392,21.041,0.1631
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bjrb07amba2andenv-tseitin.cnf,1,3.1934,2.2849,0.1293
SAT_Competition2011/SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-12-step15.cnf,1,3.111,1.2586,0.3087
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/icbrt/icbrt1_32.cnf,1,2.2022,1.4899,0.0961
SAT-Race-2010-CNF/mixed/diagnosis/UCG-20-10p1.cnf,1,2.9439,0.7411,0.1483
SAT_Competition2011/SAT07/industrial/babic/hsatv17/hsat_vc12062.cnf,1,?,?,?
SAT_RACE2008/velev-vliw-uns-2.0-iq1.cnf,1,3.9885,3.2113,0.2492
SAT_RACE2006/SAT-Race_TS_1/velev-pipe-1.1-03.cnf,1,4.0378,3.3795,0.3272
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/satComp09_BioInstances/rpoc_xits_12_UNKNOWN.cnf,1,2.275,1.1242,0.3078
SAT_Competition2009/APPLICATION/SAT_RACE06/manol-pipe-f10ni.cnf,1,2.8303,1.7985,0.1523
SAT_Competition2011/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-ext_con_032_008_0256-tseitin.cnf,1,?,?,?
SAT_Competition2009/APPLICATION/SAT07/industrial/palacios/uts/uts-l05-ipc5-h27-unknown.cnf,1,4.2382,1.8731,0.2985
SAT-Race-2010-CNF/cryptography/mizh/sha0_36_5.cnf,1,0.8221,0.5124,0.0382
SAT_Competition2011/SAT_RACE06/ibm-2002-21r-k95.cnf,1,3.69,1.1688,0.164
SAT_Competition2011/SAT09/APPLICATIONS/bitverif/countbitsrotate/countbitsrotate032.cnf,1,1.47,0.9161,0.0676
SAT_Competition2007/industrial/industrial/babic/hsatv17/hsat_vc11803.cnf,1,?,?,?
SAT_Competition2011/SAT-Race-2010-CNF/software-verification/nec/hard-18-U-10652.cnf,1,3.2103,3.6815,0.2239
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/partial-5-17-u.cnf,1,2.8392,0.5254,0.163
SAT_RACE2006/SAT-Race-Benchmarks/velev-pipe-uns-1.1-7.cnf,1,3.997,2.6266,0.3097
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/128/aes_128_3_keyfind_1.cnf,1,0.9854,0.9066,0.018
SAT_Competition2007/industrial/industrial/palacios/medium/cube-11-h14-sat.cnf,1,3.001,10.3165,0.1209
SAT_RACE2006/SAT-Race_TS_2/manol-pipe-c10nid_s.cnf,1,2.6279,1.9578,0.1488
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/partial-10-19-u.cnf,1,2.8471,0.5647,0.1639
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/crypto/desgen/gss-28-s100.cnf,1,2.3336,0.7964,0.1507
SAT_RACE2006/SAT-Race-Benchmarks/simon-s02b-k2f-gr-rcs-w8.cnf,1,0.0896,0.8492,0.0352
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/diagnosis/UR-15-5p0.cnf,1,2.8687,0.7119,0.1466
SAT_RACE2006/SAT-Race_TS_1/velev-pipe-uns-1.0-08.cnf,1,4.249,4.946,0.2785
SAT_Competition2007/industrial/industrial/anbulagan/medium-sat/total-5-19-s.cnf,1,3.0893,0.6031,0.1592
SAT_Competition2011/SAT11/application/leberre/2dimensionalstrippacking/E02F20.cnf,1,1.2131,3.6425,0.2278
SAT_RACE2008/schup-l2s-bc56s-1-k391.cnf,1,2.5283,1.1941,0.1818
SAT_Competition2011/SAT09/APPLICATIONS/crypto/desgen/gss-22-s100.cnf,1,2.3826,0.7969,0.1543
SAT_Competition2007/industrial/industrial/crypto/mizh-md5-47-4.cnf,1,0.9795,0.6042,0.0385
SAT_RACE2008/babic-dspam-vc1080.cnf,1,?,?,?
SAT_Competition2007/industrial/industrial/babic/dspam/dspam_dump_vc972.cnf,1,0.9825,1.7456,0.0289
SAT_RACE2006/SAT-Race_TS_1/velev-fvp-sat-3.0-07.cnf,1,3.9796,1.1802,0.2971
SAT_RACE2006/SAT-Race_TS_2/manol-pipe-c6ni_s.cnf,1,2.9328,1.3464,0.1569
SAT_Competition2007/industrial/industrial/anbulagan/hard-sat/partial-10-13-s.cnf,1,2.8563,0.4687,0.1616
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/partial-5-15-u.cnf,1,2.8925,0.4866,0.1624
SAT_Competition2009/APPLICATION/SAT07/industrial/jarvisalo/eq.atree.braun.9.unsat.cnf,1,1.9997,0.2677,0.0886
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/c32sat/post-c32s-gcdm16-22.cnf,1,1.6455,1.2728,0.1052
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/transport-transport-city-sequential-35nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.050-SAT.cnf,1,1.2856,4.5219,0.2287
SAT_Competition2009/APPLICATION/SAT07/industrial/palacios/uts/uts-l06-ipc5-h31-unknown.cnf,1,4.2559,1.8967,0.3112
SAT_Competition2007/industrial/industrial/palacios/medium/cube-9-h11-sat.cnf,1,3.0732,7.2867,0.1266
SAT_Competition2011/SAT09/APPLICATIONS/bitverif/maxxor/maxxor064.cnf,1,2.3703,1.6733,0.1798
SAT_RACE2006/SAT-Race_TS_1/goldb-heqc-desmul.cnf,1,2.0042,5.0083,0.0907
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/countbitsrotate/countbitsrotate128.cnf,1,1.3426,1.8172,0.0613
SAT_RACE2006/SAT-Race_TS_2/velev-pipe-sat-1.0-01.cnf,1,4.2511,6.9937,0.276
SAT_Competition2009/APPLICATION/SAT07/industrial/palacios/medium/emptyroom-4-h21-unsat.cnf,1,2.7559,3.5766,0.1239
SAT_Competition2007/industrial/industrial/fuhs/hard/AProVE07-03.cnf,1,1.9873,0.7872,0.0986
SAT_RACE2006/SAT-Race_TS_1/manol-pipe-f6b.cnf,1,3.2062,1.2087,0.1549
SAT_RACE2006/SAT-Race_TS_1/simon-mixed-s02bis-05.cnf,1,2.4849,1.5385,0.1209
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/transport-transport-three-cities-sequential-14nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.020-NOTKNOWN.cnf,1,1.3576,4.7326,0.2279
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/maxxororand/maxxororand128.cnf,1,2.1508,2.6054,0.181
SAT_Competition2009/APPLICATION/SAT07/industrial/jarvisalo/eq.atree.braun.10.unsat.cnf,1,2.0227,0.2801,0.0884
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.025-NOTKNOWN.cnf,1,2.5225,1.2516,0.1659
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/maxor/maxor128.cnf,1,2.2843,2.378,0.1814
SAT-Race-2010-CNF/software-verification/post/zfcp.cnf,1,?,?,?
SAT_Competition2007/industrial/industrial/palacios/uts/uts-l06-ipc5-h32-unknown.cnf,1,4.2532,1.922,0.3096
SAT_Competition2011/SAT04/industrial/velev/pipe-sat-1-1/12pipe_bug4_q0.used-as.sat04-723.cnf,1,4.0386,3.3769,0.3273
SAT_Competition2007/industrial/industrial/palacios/hard/safe-50-h49-unsat.cnf,1,4.1327,2.1775,0.3201
SAT_RACE2006/SAT-Race_TS_2/schup-l2s-s04s2-09.cnf,1,3.0137,0.6374,0.1421
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/countbitssrl/countbitssrl128.cnf,1,1.6358,2.4539,0.0513
SAT_Competition2011/SAT07/industrial/vliw_sat_4.0/9vliw_m_9stages_iq3_C1_bug6.cnf,1,4.1237,13.3817,0.2698
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/sokoban-sequential-p145-microban-sequential.080-SAT.cnf,1,1.7343,0.9367,0.2546
SAT_RACE2008/anbul-part-10-13-s.cnf,1,2.8563,0.4687,0.1616
SAT_Competition2007/industrial/industrial/manolios/manol-pipe-f7idw.cnf,1,2.7419,1.5285,0.1566
SAT_RACE2006/SAT-Race-Benchmarks/velev-pipe-uns-1.0-9.cnf,1,4.2416,5.6053,0.2855
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/blocks-blocks-37-1.150-SAT.cnf,1,1.6665,1.9243,0.3269
SAT_RACE2006/SAT-Race-Benchmarks/schup-l2s-guid-1-k56.cnf,1,2.7501,0.9431,0.1368
SAT_Competition2007/industrial/industrial/babic/hsatv17/hsat_vc11813.cnf,1,?,?,?
SAT-Race-2010-CNF/hardware-verification/velev/12pipe_q0_k.cnf,1,3.8899,3.6777,0.3429
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom22.cnf,1,2.2303,2.1507,0.2453
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/dated-10-17-u.cnf,1,3.1308,0.5536,0.1585
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bioinfo/q_query_3_L150_coli.sat.cnf,1,2.1455,2.8549,0.1402
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/c32sat/post-c32s-ss-8.cnf,1,1.76,1.065,0.124
SAT_Competition2011/SAT_RACE08/cnf/manol-pipe-c6bidw_i.cnf,1,2.9427,1.3375,0.1541
SAT_Competition2007/industrial/industrial/fuhs/hard/AProVE07-08.cnf,1,2.2492,1.0469,0.1146
SAT_RACE2006/SAT-Race-Benchmarks/ibm-2004-2_14-k45.cnf,1,2.9239,0.9652,0.1546
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/countbitsarray/countbitsarray08_32.cnf,1,1.6874,0.1652,0.0647
SAT_Competition2009/APPLICATION/SAT07/industrial/babic/hsatv17/hsat_vc11803.cnf,1,?,?,?
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/partial-10-15-u.cnf,1,2.9107,0.4872,0.1626
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k45-pdtviseisenberg1-tseitin.cnf,1,2.8663,1.4458,0.1406
SAT_RACE2008/ibm-2002-22r-k60.cnf,1,3.4105,1.3254,0.1574
SAT_Competition2011/SAT_RACE06/velev-pipe-o-uns-1.1-6.cnf,1,4.037,2.1893,0.2954
SAT_Competition2011/SAT11/application/leberre/2dimensionalstrippacking/E02F22.cnf,1,1.1107,4.0332,0.2282
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/countbitsarray/countbitsarray02_32.cnf,1,1.7069,0.1969,0.084
SAT_RACE2008/cmu-bmc-longmult15.cnf,1,2.2025,1.179,0.0801
SAT_Competition2007/industrial/industrial/fuhs/medium/AProVE07-04.cnf,1,2.6901,5.8534,0.1615
SAT_RACE2008/schup-l2s-motst-2-k315.cnf,1,2.5402,1.2442,0.1795
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/crypto/md5gen/gus-md5-15.cnf,1,1.0516,0.5839,0.0433
SAT_RACE2006/SAT-Race_TS_2/manol-pipe-cha05-113.cnf,1,3.0866,1.3972,0.157
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/total-5-17-u.cnf,1,3.0708,0.5351,0.1596
SAT_Competition2007/industrial/industrial/jarvisalo/eq.atree.braun.10.unsat.cnf,1,2.0227,0.2801,0.0884
SAT_Competition2009/APPLICATION/SAT07/industrial/grieu/vmpc_34.cnf,1,0.2903,0.0034,0.0013
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/satComp09_BioInstances/ndhf_xits_13_UNSAT.cnf,1,2.5287,1.1334,0.2938
SAT_Competition2009/APPLICATION/SAT_RACE06/velev-pipe-sat-1.0-b7.cnf,1,4.251,6.9937,0.276
SAT_Competition2009/APPLICATION/SAT07/industrial/vliw_unsat_2.0/9dlx_vliw_at_b_iq3.cnf,1,4.1162,4.4743,0.2643
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-01.cnf,1,3.4414,1.246,0.2131
SAT_Competition2009/APPLICATION/SAT_RACE06/manol-pipe-c10nidw_s.cnf,1,2.621,1.9589,0.1479
SAT_RACE2006/SAT-Race_TS_2/miza-sr06-sha0-35-03.cnf,1,0.846,0.5098,0.0385
SAT_Competition2011/SAT09/APPLICATIONS/crypto/desgen/gss-16-s100.cnf,1,2.3661,0.8045,0.1522
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.045-NOTKNOWN.cnf,1,2.3196,1.3736,0.1648
SAT_Competition2007/industrial/industrial/manolios/manol-pipe-c7nidw.cnf,1,2.8706,1.593,0.1537
SAT-Race-2010-CNF/hardware-verification/ibm/2004_rb10Sd.k85.cnf,1,3.3577,1.3351,0.1487
SAT_Competition2007/industrial/industrial/grieu/vmpc_24.cnf,1,0.3614,0.0058,0.0021
SAT-Race-2010-CNF/mixed/palacios/sortnet-8-ipc5-h19-sat.cnf,1,3.7986,4.1274,0.249
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/partial-5-13-u.cnf,1,2.8797,0.4517,0.161
SAT-Race-2010-CNF/hardware-verification/manolios/c8n_i.cnf,1,3.1199,1.3257,0.159
SAT-Race-2010-CNF/hardware-verification/velev/1dlx_c_iq60_a.cnf,1,2.9827,5.21,0.2785
SAT_Competition2011/SAT11/application/fuhs/AProVE11/AProVE11-16.cnf,1,1.9771,1.0031,0.086
SAT_Competition2011/SAT09/APPLICATIONS/crypto/md5gen/gus-md5-12.cnf,1,1.0549,0.5841,0.0429
SAT_Competition2011/SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-TPP-21-step11.cnf,1,2.5393,0.8485,0.3145
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/diagnosis/UR-10-5p0.cnf,1,2.8573,0.7045,0.1492
SAT_Competition2011/SAT02/industrial/nam/fpga-routing/k2fix_gr_rcs_w9.shuffled.cnf,1,0.1093,0.8492,0.0364
SAT_Competition2007/industrial/industrial/anbulagan/diag-sat/total-5-15-s.cnf,1,3.058,0.5124,0.1595
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/transport-transport-three-cities-sequential-14nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.030-NOTKNOWN.cnf,1,1.2974,4.8319,0.2287
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/satComp09_BioInstances/rpoc_xits_13_UNKNOWN.cnf,1,2.4184,1.1036,0.3128
SAT_RACE2008/een-tip-sat-vis-eisen.cnf,1,3.028,0.6773,0.136
SAT_RACE2006/SAT-Race_TS_1/hoons-vbmc-s04-07.cnf,1,1.7183,1.552,0.278
SAT_RACE2006/SAT-Race_TS_2/manol-pipe-c6idw_s.cnf,1,2.9195,1.2746,0.1551
SAT_Competition2007/industrial/industrial/manolios/manol-pipe-c7bidw_i.cnf,1,2.9052,1.5143,0.1516
SAT_Competition2009/APPLICATION/SAT_RACE08/cnf/manol-pipe-c10nidw.cnf,1,2.6359,2.046,0.1472
