@RELATION 'FEATURE_VALUES-SAT12-RAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC

@DATA
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/220/unif-k7-r85-v220-c18700-S1961115887-052.cnf,1,19.5931,0.0318,0.0318,0.0318,20.0629,0.0318,36,42,36,30,36,0.0117,36.0753,30,42,0.0281
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/500/unif-k3-r4.25-v500-c2125-S1494961823-060.cnf,1,17.4766,0.0062,0.0062,0.0102,14.3831,0.0061,107,117,108,98,107.542,0.0123,107.667,98,117,0.0024
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v600-c2556-S248192082-054.UNKNOWN.cnf,1,22.0558,0.0052,0.0052,0.0086,17.357,0.0052,128,139,128,118,127.932,0.0104,128.049,117,138,0.0008
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/520/unif-k3-r4.25-v520-c2210-S227954525-082.cnf,1,18.3676,0.0059,0.0059,0.0078,14.8412,0.0059,113,123,113,104,113.096,0.0117,113.286,103,124,0.0023
SAT_Competition2009/RANDOM/LARGE/5SAT/UNKNOWN/900/unif-k5-r20-v900-c18000-S1119648091-064.cnf,1,50.1095,0.0056,0.0056,0.0056,40.7395,0.0056,172,187,172,159,172.177,0.0179,172.208,158,185,0.0038
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1617626827-069.SATISFIABLE.cnf,1,15.3263,0.0069,0.0069,0.0113,12.4421,0.0068,98,107,98,89,97.9555,0.0136,97.9801,89,107,0.0026
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v600-c2556-S869604189-077.UNKNOWN.cnf,1,23.1834,0.0051,0.0051,0.0068,18.656,0.0051,131,142,130,120,130.654,0.01,130.431,120,141,0.0012
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v70-c6230-S1018943457-089.SATISFIABLE.cnf,1,8.7181,0.1,0.1,0.1,8.4534,0.1,12,15,12,9,12.1367,0.0111,12.0972,9,15,0.0894
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/12000/unif-k3-r4.2-v12000-c50400-S1510966387-018.cnf,1,437.2,0.0003,0.0003,0.0005,228,0.0003,2547,2577,2554.5,0,2546.45,0.0005,2299.5,2504,2599,0
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/180/unif-k7-r85-v180-c15300-S1802626390-033.cnf,1,16.5683,0.0389,0.0389,0.0389,16.5455,0.0389,29,35,29,25,29.6766,0.0117,29.7098,24,35,0.0349
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/65/unif-k7-r89-v65-c5785-S1645769281-097.cnf,1,8.5152,0.1077,0.1077,0.1077,8.0183,0.1077,11,14,11,8,11.2707,0.0111,11.2868,8,14,0.0984
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/4000/unif-k3-r4.2-v4000-c16800-S139794312-098.cnf,1,110.587,0.0008,0.0008,0.0015,73.313,0.0008,851,876,853,819,849.574,0.0016,851.661,816,877,0.0002
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/180/unif-k7-r85-v180-c15300-S1295462378-089.cnf,1,16.4436,0.0389,0.0389,0.0389,16.9709,0.0389,30,35,30,25,29.7648,0.0117,29.971,25,36,0.0352
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/75/unif-k7-r89-v75-c6675-S819692891-023.cnf,1,9.3947,0.0933,0.0933,0.0933,8.972,0.0933,13,16,13,10,12.9642,0.0111,12.9799,10,16,0.0863
SAT_Competition2007/random/2+p/p0.9/v990/unif2p-p0.9-v990-c3583-S516218553-20-SAT.cnf,1,26.034,0.0032,0.0032,0.0064,20.2177,0.0021,205,218,205,192,204.688,0.0062,204.819,191,218,0.0006
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/400/unif-k3-r4.25-v400-c1700-S419666888-007.cnf,1,13.6748,0.008,0.008,0.0131,11.193,0.0078,85,94,85,76,84.9997,0.0158,84.8677,77,93,0.003
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v600-c2556-S252359291-002.SATISFIABLE.cnf,1,20.6966,0.0051,0.0051,0.0085,16.557,0.0051,131,141,130,120,130.4,0.0102,130.384,119,141,0.002
SAT_Competition2011/SAT11/random/large/unif-k3-r4.2-v30000-c126000-S285324961-078-UNKNOWN.cnf,1,946.5,0.0001,0.0001,0.0002,2758.71,0.0001,6362,6370,6397.5,6334,5436.86,0.0002,6397.5,0,6334,0
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v125-c2662-S34055288-072.SATISFIABLE.cnf,1,9.7014,0.04,0.04,0.04,8.6685,0.04,25,30,25,20,25.0874,0.0452,25.0527,20,30,0.0323
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v700-c2982-S812011128-009.SATISFIABLE.cnf,1,22.5126,0.0044,0.0044,0.0073,17.6738,0.0044,152,164,152,141,152.195,0.0087,152.384,140,164,0.0017
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v600-c2556-S506401817-075.UNKNOWN.cnf,1,25.5682,0.0051,0.0051,0.0085,20.5025,0.0051,129,140,129,119,129.468,0.0101,129.25,119,140,0.0012
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/440/unif-k3-r4.25-v440-c1870-S1112524719-021.cnf,1,15.3033,0.0071,0.0071,0.0141,12.6312,0.007,94,104,94,85,94.2871,0.0141,94.3491,85,104,0.0027
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/12000/unif-k3-r4.2-v12000-c50400-S650356257-052.cnf,1,432.5,0.0003,0.0003,0.0004,234.739,0.0003,2531,2584,2552.5,2470,2539.22,0.0005,2364.21,2504,2579,0
SAT_Competition2011/SAT11/random/large/unif-k5-r20-v1000-c20000-S541740666-063-UNKNOWN.cnf,1,53.7224,0.005,0.005,0.005,44.5358,0.005,191,207,191,177,191.279,0.0165,191.7,178,207,0.0033
SAT_Competition2007/random/LargeSize/5SAT/v600/unif-k5-r20-v600-c12000-S1556473581-06.cnf,1,34.0797,0.0083,0.0083,0.0083,28.0362,0.0083,115,127,115,105,115.132,0.0243,115.258,104,126,0.0058
SAT_Competition2011/SAT11/random/large/unif-k7-r85-v250-c21250-S317257086-003-UNKNOWN.cnf,1,21.7953,0.028,0.028,0.028,22.0776,0.028,42,49,41,35,41.6614,0.0117,41.2177,35,48,0.0246
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v550-c2343-S943066845-088.UNKNOWN.cnf,1,24.0121,0.0056,0.0056,0.0074,19.2121,0.0056,118,129,118,108,118.42,0.011,118.127,108,128,0.0021
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/460/unif-k3-r4.25-v460-c1955-S321371087-018.cnf,1,13.1467,0.0068,0.0068,0.0089,11.0115,0.0067,100,109,100,91,99.778,0.0134,99.8806,90,110,0.0021
SAT_Competition2011/SAT11/random/large/unif-k7-r85-v250-c21250-S655589261-059-UNKNOWN.cnf,1,21.7645,0.028,0.028,0.028,22.3873,0.028,41,48,41,35,41.4119,0.0117,41.0161,35,48,0.0249
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/540/unif-k3-r4.25-v540-c2295-S1137823545-077.cnf,1,19.1984,0.0057,0.0057,0.0095,15.3372,0.0057,117,127,116,106,116.618,0.0113,116.392,107,127,0.0022
SAT_Competition2007/random/2+p/p0.9/v1170/unif2p-p0.9-v1170-c4235-S622482268-08-UNKNOWN.cnf,1,34.7205,0.0027,0.0027,0.0045,26.6429,0.0018,238,253,239,224,237.967,0.0053,238.521,223,253,0.0005
SAT_Competition2011/SAT11/random/large/unif-k3-r4.2-v15000-c63000-S38529837-091-UNKNOWN.cnf,1,1004.33,0.0002,0.0002,0.0004,264,0.0002,3187,3255,3189,0,3198.19,0.0004,2841.11,3126,3244,0
SAT_Competition2007/random/2+p/p0.8/v1665/unif2p-p0.8-v1665-c5178-S1363528912-04-SAT.cnf,1,33.5139,0.002,0.002,0.0055,26.9339,0.0014,311,328,311,295,311.154,0.004,311.145,296,328,0.0002
SAT_Competition2009/RANDOM/MEDIUM/3SAT/UNKNOWN/560/unif-k3-r4.25-v560-c2380-S688769362-007.cnf,1,19.7035,0.0056,0.0056,0.0092,16.1215,0.0055,119,130,120,109,119.422,0.0112,119.573,109,130,0.0021
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/380/unif-k3-r4.25-v380-c1615-S1036996799-006.cnf,1,12.3751,0.0082,0.0082,0.0136,10.0821,0.0081,82,91,82,74,82.6059,0.0162,82.5433,74,91,0.0037
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/380/unif-k3-r4.25-v380-c1615-S1804335510-002.cnf,1,12.837,0.0081,0.0081,0.0134,10.7822,0.008,83,92,83,75,83.2452,0.0158,83.0862,75,92,0.0019
SAT_Competition2009/RANDOM/LARGE/5SAT/UNKNOWN/1100/unif-k5-r20-v1100-c22000-S1388268034-092.cnf,1,61.2559,0.0045,0.0045,0.0045,49.3402,0.0045,210,225,210,195,210.352,0.0152,210.691,196,226,0.0031
SAT_Competition2007/random/LargeSize/7SAT/v160/unif-k7-r85-v160-c13600-S187076430-06.cnf,1,14.9294,0.0437,0.0437,0.0437,15.0191,0.0437,26,32,26,21,26.5309,0.0117,26.4366,21,32,0.0393
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/65/unif-k7-r89-v65-c5785-S1223878722-065.cnf,1,8.4612,0.1077,0.1077,0.1077,7.9626,0.1077,11,14,11,8,11.3157,0.0111,11.271,8,14,0.0978
SAT_Competition2007/random/OnTreshold/5SAT/v130/unif-k5-r21.3-v130-c2769-S116991008-16.SAT.shuffled.cnf,1,10.7459,0.0385,0.0385,0.0385,9.8506,0.0385,26,31,26,21,25.9668,0.045,25.8344,21,31,0.0267
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/380/unif-k3-r4.25-v380-c1615-S326477539-068.cnf,1,12.6361,0.0081,0.0081,0.0107,10.5131,0.008,83,92,83,74,82.7771,0.0158,82.7028,74,91,0.0031
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/8000/unif-k3-r4.2-v8000-c33600-S195213520-027.cnf,1,277,0.0004,0.0004,0.0006,121.789,0.0004,1712,1738,1710,1659,1711.66,0.0008,1652.1,1688,1747,0.0001
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S1771223975-021.cnf,1,9.1162,0.0455,0.0455,0.0455,8.1174,0.0455,22,27,22,18,22.1211,0.0455,22.1134,18,27,0.0324
SAT_Competition2011/SAT11/random/large/unif-k3-r4.2-v10000-c42000-S677627694-051-UNKNOWN.cnf,1,253.6,0.0003,0.0003,0.0005,167.269,0.0003,2122.5,2163,2123.5,2074,2126.19,0.0006,2123.6,2084,2152,0
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/6000/unif-k3-r4.2-v6000-c25200-S762724712-048.cnf,1,158.736,0.0005,0.0005,0.0009,99.4483,0.0005,1275.5,1305,1265,1238,1275.76,0.0011,1269,1242,1296,0.0001
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v650-c2769-S466707249-079.SATISFIABLE.cnf,1,22.002,0.0048,0.0048,0.0079,17.4839,0.0047,140,152,140,129,140.279,0.0095,140.311,129,152,0.0015
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/4000/unif-k3-r4.2-v4000-c16800-S1933199449-033.cnf,1,109.254,0.0008,0.0008,0.0015,67.3684,0.0008,848.5,876,849,823,850.421,0.0016,842.864,828,877,0.0002
SAT_Competition2011/SAT11/random/large/unif-k7-r85-v400-c34000-S927774663-037-UNKNOWN.cnf,1,33.0777,0.0175,0.0175,0.0175,33.3432,0.0175,65,75,66,57,65.4719,0.0117,66.1529,57,74,0.0155
SAT_Competition2007/random/OnTreshold/7SAT/v70/unif-k7-r89-v70-c6230-S1504426817-07.UNSAT.shuffled.cnf,1,8.8318,0.1,0.1,0.1,8.501,0.1,12,15,12,9,12.1,0.0111,12.1131,9,15,0.0926
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v600-c2556-S1885965779-049.UNKNOWN.cnf,1,23.9601,0.0052,0.0052,0.0085,18.9474,0.0051,129,140,129,118,129.004,0.0102,128.866,119,140,0.002
SAT_Competition2007/random/OnTreshold/3SAT/v650/unif-k3-r4.261-v650-c2769-S2127524023-19.UNSAT.shuffled.cnf,1,25.3073,0.0048,0.0048,0.0079,19.8507,0.0047,139,151,140,128,139.454,0.0094,139.615,128,151,0.0015
SAT_Competition2007/random/OnTreshold/5SAT/v80/unif-k5-r21.3-v80-c1704-S1210495375-04.SAT.shuffled.cnf,1,7.6478,0.0625,0.0625,0.0625,6.7779,0.0625,16,20,16,12,16.2299,0.0462,16.1955,13,20,0.0452
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/140/unif-k7-r85-v140-c11900-S74035269-088.cnf,1,13.3066,0.05,0.05,0.05,13.2656,0.05,23,28,23,19,23.4002,0.0117,23.3571,19,28,0.0437
SAT_Competition2007/random/2+p/p0.8/v1295/unif2p-p0.8-v1295-c4027-S1209647106-12-SAT.cnf,1,23.5312,0.0027,0.0027,0.0063,20.4183,0.0018,238,253,238,223,238.78,0.0054,238.027,225,253,0.0003
SAT_Competition2007/random/LargeSize/5SAT/v600/unif-k5-r20-v600-c12000-S883927618-10.cnf,1,33.3269,0.0083,0.0083,0.0083,28.3045,0.0083,115,126,115,104,115.445,0.0243,114.603,105,125,0.0059
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/180/unif-k7-r85-v180-c15300-S956556686-037.cnf,1,16.6381,0.0389,0.0389,0.0389,16.9196,0.0389,30,36,30,24,29.9879,0.0117,29.8014,24,35,0.0348
SAT_Competition2007/random/OnTreshold/5SAT/v130/unif-k5-r21.3-v130-c2769-S1405262666-07.UNSAT.shuffled.cnf,1,10.7706,0.0385,0.0385,0.0385,9.7574,0.0385,26,31,26,21,25.8615,0.0449,25.8754,21,31,0.0307
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/360/unif-k3-r4.25-v360-c1530-S1448866403-060.cnf,1,14.1006,0.0086,0.0086,0.0142,11.6677,0.0085,78,86,78,70,77.9345,0.0167,78.019,70,86,0.0033
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/520/unif-k3-r4.25-v520-c2210-S1161147107-031.cnf,1,15.6644,0.006,0.006,0.0098,12.7778,0.0059,114,123,113,103,113.564,0.0117,113.203,104,123,0.0023
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v80-c7120-S1818856267-075.UNKNOWN.cnf,1,9.5942,0.0875,0.0875,0.0875,9.3559,0.0875,14,17,14,10,13.822,0.0111,13.7571,10,17,0.082
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v150-c3195-S873866006-055.UNKNOWN.cnf,1,12.302,0.0333,0.0333,0.0333,11.2339,0.0333,30,35,30,24,29.8031,0.0439,29.8055,25,35,0.025
SAT_Competition2007/random/OnTreshold/5SAT/v120/unif-k5-r21.3-v120-c2556-S1191693850-19.SAT.shuffled.cnf,1,9.9023,0.0417,0.0417,0.0417,8.9762,0.0417,24,29,24,19,24.0247,0.0452,23.9824,19,29,0.034
SAT_Competition2007/random/OnTreshold/3SAT/v500/unif-k3-r4.26-v500-c2130-S1965764400-19.SAT.shuffled.cnf,1,15.8344,0.0063,0.0063,0.0103,12.7071,0.0062,107,117,107,97,107.186,0.0125,107.001,98,117,0.0024
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v70-c6230-S1846644927-079.SATISFIABLE.cnf,1,8.8539,0.1,0.1,0.1,8.5122,0.1,12,15,12,9,12.0523,0.0111,12.0692,9,15,0.0912
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/180/unif-k7-r85-v180-c15300-S1049921489-034.cnf,1,15.902,0.0389,0.0389,0.0389,16.4579,0.0389,30,36,30,25,29.8896,0.0117,30.2082,24,36,0.0354
SAT_Competition2011/SAT11/random/large/unif-k7-r85-v300-c25500-S942666749-061-UNKNOWN.cnf,1,26.2527,0.0233,0.0233,0.0233,26.5953,0.0233,50,57,49,42,49.6233,0.0117,49.1749,42,56,0.02
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/500/unif-k3-r4.25-v500-c2125-S602463346-055.cnf,1,16.2457,0.0062,0.0062,0.0082,13.1613,0.0062,108,118,108,98,108.096,0.0124,107.975,98,118,0.0024
SAT_Competition2007/random/LargeSize/5SAT/v800/unif-k5-r20-v800-c16000-S411047518-16.cnf,1,44.9287,0.0063,0.0063,0.0063,36.0322,0.0063,153,168,154,140,154.041,0.0196,153.463,142,168,0.0044
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/160/unif-k7-r85-v160-c13600-S1178729443-051.cnf,1,14.8985,0.0437,0.0437,0.0437,15.2701,0.0437,26,31,27,21,26.4019,0.0117,26.6331,21,32,0.0397
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v150-c3195-S1632870961-099.SATISFIABLE.cnf,1,11.9307,0.0333,0.0333,0.0333,10.8596,0.0333,30,35,30,25,29.6547,0.0439,29.9195,25,35,0.0235
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v700-c2982-S171669125-021.SATISFIABLE.cnf,1,20.3647,0.0044,0.0044,0.0073,16.3695,0.0044,151,163,152,140,151.355,0.0089,151.513,140,163,0.002
SAT_Competition2011/SAT11/random/large/unif-k5-r20-v1000-c20000-S945664020-055-UNKNOWN.cnf,1,54.0394,0.005,0.005,0.005,43.5751,0.005,191,204,191,177,190.729,0.0165,191.403,175,206,0.0037
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/4000/unif-k3-r4.2-v4000-c16800-S1835046931-014.cnf,1,109.189,0.0008,0.0008,0.0013,71.2547,0.0008,851,887,854,824,854.67,0.0016,853.099,829,880,0.0001
SAT_Competition2007/random/LargeSize/7SAT/v160/unif-k7-r85-v160-c13600-S679764311-04.cnf,1,14.9354,0.0437,0.0437,0.0437,15.3153,0.0437,26,32,26,22,26.4924,0.0117,26.6073,21,32,0.0393
SAT_Competition2011/SAT11/random/large/unif-k7-r85-v150-c12750-S93401285-051-UNKNOWN.cnf,1,14.1663,0.0467,0.0467,0.0467,14.3452,0.0467,25,30,25,20,24.6778,0.0117,24.8596,20,30,0.0424
SAT_Competition2009/RANDOM/MEDIUM/3SAT/UNKNOWN/560/unif-k3-r4.25-v560-c2380-S1750991629-037.cnf,1,22.2431,0.0055,0.0055,0.0091,17.4679,0.0054,121,132,121,111,121.436,0.0108,120.918,112,132,0.0021
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v600-c2556-S727005963-093.SATISFIABLE.cnf,1,19.6305,0.0051,0.0051,0.0068,16.0063,0.0051,130,141,131,120,130.748,0.0101,130.708,120,141,0.002
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/6000/unif-k3-r4.2-v6000-c25200-S2100934911-025.cnf,1,194.953,0.0005,0.0005,0.0009,103.673,0.0005,1275,1310,1283,1257,1275.62,0.001,1256.84,1244,1320,0.0001
SAT_Competition2011/SAT11/random/large/unif-k5-r20-v750-c15000-S3662714-068-UNKNOWN.cnf,1,43.9566,0.0067,0.0067,0.0067,37.4472,0.0067,144,157,143,130,143.586,0.0207,143.045,131,156,0.0043
SAT_Competition2007/random/LargeSize/3SAT/v13000/unif-k3-r4.2-v13000-c54600-S1986560013-06.cnf,1,862,0.0002,0.0002,0.0005,216.706,0.0002,2754,2801,2758,2713,2761.35,0.0005,2510,2714,2792,0
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v650-c2769-S29470018-050.UNKNOWN.cnf,1,24.435,0.0048,0.0048,0.0079,19.2663,0.0048,139,150,139,127,138.419,0.0096,138.564,127,150,0.0018
SAT_Competition2009/RANDOM/LARGE/5SAT/UNKNOWN/800/unif-k5-r20-v800-c16000-S1185462553-011.cnf,1,44.6276,0.0063,0.0063,0.0063,36.8425,0.0063,153,166,153,141,152.539,0.0197,153.566,140,167,0.0042
SAT_Competition2007/random/2+p/p0.9/v810/unif2p-p0.9-v810-c2932-S1274825698-06-SAT.cnf,1,22.9875,0.0039,0.0039,0.0065,18.3907,0.0026,167,178,167,154,166.107,0.0077,166.33,154,178,0.0003
SAT_Competition2011/SAT11/random/large/unif-k7-r85-v400-c34000-S1897807474-073-UNKNOWN.cnf,1,33.3343,0.0175,0.0175,0.0175,32.8111,0.0175,65.5,75,67,57,65.5852,0.0117,66.2384,56,75,0.0156
