@RELATION 'FEATURE_VALUES-SAT12-RAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE cl_size_coeff_variation NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE saps_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE HORNY_VAR_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC

@DATA
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/18000/unif-k3-r4.2-v18000-c75600-S2080625895-070.cnf,1,1371.43,0.0002,0.0002,0.0003,308.067,0.0002,3804,3840,3863,0,3808.6,0.0004,3309.43,3760,3874,0,0.2391,18000,17527,8,8.2292,0.441,0.0799,5,0.3044,6,12,4,0.048,10,0.0005,0.0001,0.0288,75031,0.0089,0.001,0.0955,0.2336,0.0934,75600,154.5,0.0003,0.1258,92.6154,21,1.0179,0.2932,0.1772,5.2043,2.7118,0.2303,66.5833,68.1287,77.8333,0.3854,0.2632,6,0.1724,1.7805,2.3317,0.5883,3.3695,0.2478,46.1818
SAT_Competition2007/random/OnTreshold/7SAT/v75/unif-k7-r89-v75-c6675-S1762817022-10.UNSAT.shuffled.cnf,1,9.5164,0.0933,0.0933,0.0933,8.9854,0.0933,13,16,13,10,12.8971,0.0111,12.8651,10,16,0.0851,0.6746,75,75,4376,4432.6,0.1987,0.0001,4325,0.7539,4360,4559,4325,0,4543,0.105,0.0057,0,6675,0.1978,0.0111,1.8009,0.0112,0.0001,6675,27.5001,0.0085,0.0001,27.5001,4559,2.0542,0,0.0001,2,3.9269,0.0308,26.958,26.9495,26.9979,0.0222,0.0122,2,0.0245,0.2533,2.9507,0.6753,2.0191,0.413,26.4833
SAT_Competition2009/RANDOM/MEDIUM/5SAT/UNKNOWN/110/unif-k5-r21.3-v110-c2343-S257485978-084.cnf,1,9.8923,0.0455,0.0455,0.0455,8.9041,0.0455,22,27,22,17,21.9807,0.0456,21.9356,18,27,0.0359,0.5592,110,110,4249,4253.875,0.1622,0.0015,4158,0.7097,4202,4378,4158,0.001,4374,0.0563,0.0088,0.0007,2343,0.1619,0.0465,1.1428,0.0469,0.0017,2343,25.37,0.0132,0.0021,25.37,4378,1.5687,0.0164,0.0031,2.8257,3.4665,0.0772,25.1176,24.9022,25.1631,0.0181,0.0146,3,0.0575,0.2759,2.6638,0.649,2.859,0.4252,24.3279
SAT_Competition2007/random/OnTreshold/3SAT/v650/unif-k3-r4.261-v650-c2769-S1172355929-14.SAT.shuffled.cnf,1,20.4265,0.0048,0.0048,0.0079,16.5324,0.0047,140,152,140,129,140.333,0.0095,140.408,130,152,0.0018,0.31,650,633,3736,3772.7143,0.0634,0.082,3595,0.5247,3618,4067,3595,0.0486,3919,0.0095,0.0024,0.0285,2744,0.0619,0.0197,0.2998,0.2307,0.0945,2769,38.434,0.0062,0.1212,38.434,4067,0.8944,0.289,0.1878,4.0047,2.7156,0.2388,33.687,34.658,38.332,0.041,0.0717,5,0.1816,0.2731,2.3354,0.5865,3.3261,0.3696,31.4054
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/100/unif-k5-r21.3-v100-c2130-S1920888253-090.cnf,1,8.7154,0.05,0.05,0.05,7.8161,0.05,20,25,20,16,20.0942,0.046,20.1016,16,24,0.0376,0.5668,100,100,4286,4300.75,0.1681,0.0016,4231,0.7094,4264,4446,4231,0.001,4349,0.0629,0.0101,0.0006,2130,0.1683,0.0465,1.2102,0.0469,0.0019,2130,24.2114,0.0164,0.0025,24.2114,4446,1.617,0.0113,0.0034,2.6364,3.5667,0.0861,23.5079,23.2729,23.6589,0.0149,0.0228,3,0.064,0.3019,2.8622,0.6525,2.9781,0.4285,22.5951
SAT_Competition2007/random/2+p/p0.7/v3500/unif2p-p0.7-v3500-c9345-S1909130260-19-SAT.cnf,1,45.5847,0.0012,0.0012,0.0035,37.1889,0.0008,539,557,537,515,538.215,0.0024,536.403,517,561,0.0001,0.2236,3500,2574,2126,1845,0.0649,0.1673,1096,0.5327,1281,2918,955,0.1031,2169,0.0045,0.0005,0.058,8079,0.0293,0.0092,0.1169,0.3186,0.1819,9344,44.001,0.002,0.242,44.001,2918,0.5798,0.4475,0.3079,5.5196,2.6371,0.2919,40.6912,39.2389,41.842,0.3182,0.0978,6,0.2171,0.8083,2.138,0.7541,3.0603,0.373,34.7244
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v125-c2662-S236776564-037.SATISFIABLE.cnf,1,10.7963,0.04,0.04,0.04,9.6553,0.04,25,30,25,20,24.8788,0.0451,24.9176,20,30,0.0319,0.5531,125,125,4173,4201.375,0.1513,0.0014,4148,0.7022,4165,4304,4148,0.0009,4304,0.0511,0.0074,0.0006,2662,0.1521,0.0466,1.0912,0.047,0.0017,2662,29.0253,0.0113,0.0022,29.0253,4304,1.5481,0.0178,0.0032,2.9839,3.508,0.0738,28.073,27.8081,28.9496,0.0143,0.0311,3,0.057,0.2721,2.8442,0.6486,2.7843,0.4307,26.7188
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v70-c6230-S1516725086-012.UNKNOWN.cnf,1,8.9636,0.1,0.1,0.1,8.6014,0.1,12,15,12,9,12.0504,0.0111,12.0581,9,15,0.0928,0.6792,70,70,4430,4443.8333,0.2096,0.0001,4338,0.761,4386,4583,4338,0,4521,0.1085,0.0065,0,6230,0.2112,0.0111,1.8262,0.0112,0.0001,6230,25.9134,0.0087,0.0001,25.9134,4583,2.0366,0,0.0001,2,3.7582,0.0221,25.6413,25.6207,25.862,0.0187,0.0083,2,0.0167,0.2517,3.0092,0.6792,1.729,0.4117,25.3447
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/220/unif-k7-r85-v220-c18700-S1961115887-052.cnf,1,19.5931,0.0318,0.0318,0.0318,20.0629,0.0318,36,42,36,30,36,0.0117,36.0753,30,42,0.0281,0.6297,220,220,355,457.0714,0.1407,0.0001,259,0.7456,299,550,247,0.0001,421,0.0355,0.002,0.0001,18700,0.1352,0.0117,1.225,0.0118,0.0001,18700,60.3274,0.0029,0.0001,50.9048,2254,1.5636,0,0.0001,2,4.2764,0.0299,48.4732,48.776,49.6291,0.8539,0.062,2,0.0233,0.1989,3.1101,0.6771,2.0229,0.4407,46.1333
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/500/unif-k3-r4.25-v500-c2125-S1494961823-060.cnf,1,17.4766,0.0062,0.0062,0.0102,14.3831,0.0061,107,117,108,98,107.542,0.0123,107.667,98,117,0.0024,0.3184,500,488,3811,3844.8571,0.0707,0.0764,3771,0.5791,3799,3969,3771,0.0446,3911,0.0142,0.003,0.0261,2114,0.0704,0.0274,0.3382,0.2308,0.091,2125,31.9698,0.0066,0.1234,31.9698,3969,0.9304,0.2937,0.173,4,2.7313,0.2324,27.8221,28.3464,30.8476,0.0171,0.0752,4,0.1775,0.2746,2.2703,0.5863,3.3971,0.3799,26.0673
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v600-c2556-S248192082-054.UNKNOWN.cnf,1,22.0558,0.0052,0.0052,0.0086,17.357,0.0052,128,139,128,118,127.932,0.0104,128.049,117,138,0.0008,0.3103,600,582,3791,3788.875,0.0668,0.0753,3647,0.5324,3753,3921,3647,0.044,3869,0.0106,0.0026,0.0246,2538,0.0655,0.0217,0.3031,0.2293,0.0864,2556,38.2884,0.0071,0.1167,38.2884,3921,0.905,0.2921,0.159,4.0155,2.7206,0.2228,32.0491,32.6051,34.4952,0.0207,0.0766,5,0.1766,0.2451,2.3592,0.5878,3.3563,0.3688,29.6108
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/520/unif-k3-r4.25-v520-c2210-S227954525-082.cnf,1,18.3676,0.0059,0.0059,0.0078,14.8412,0.0059,113,123,113,104,113.096,0.0117,113.286,103,124,0.0023,0.3195,520,512,3839,3883.625,0.0704,0.0741,3797,0.5657,3822,4148,3797,0.0431,3965,0.0109,0.0029,0.0273,2202,0.0692,0.0213,0.3267,0.2325,0.0899,2210,33.8667,0.0073,0.1202,33.8667,4148,0.925,0.2741,0.1735,4,2.6716,0.2231,28.6012,29.3443,31.4653,0.0288,0.071,4,0.1712,0.3004,2.3031,0.5868,3.2966,0.3621,26.8841
SAT_Competition2009/RANDOM/LARGE/5SAT/UNKNOWN/900/unif-k5-r20-v900-c18000-S1119648091-064.cnf,1,50.1095,0.0056,0.0056,0.0056,40.7395,0.0056,172,187,172,159,172.177,0.0179,172.208,158,185,0.0038,0.4784,900,900,49,51.3645,0.0758,0.0023,36,0.6069,44,65,31,0.0016,56,0.0075,0.001,0.0011,18000,0.0657,0.0228,0.3585,0.05,0.0027,18000,69.4286,0.002,0.0034,62.2881,104,1.0624,0.0799,0.0049,3,3.6613,0.0802,53.4894,54.4229,58.2034,0.256,0.096,3,0.0602,0.1867,2.845,0.6508,3.0119,0.3977,48.6863
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1617626827-069.SATISFIABLE.cnf,1,15.3263,0.0069,0.0069,0.0113,12.4421,0.0068,98,107,98,89,97.9555,0.0136,97.9801,89,107,0.0026,0.3284,450,441,3904,3902.375,0.0758,0.0794,3808,0.5753,3854,4060,3808,0.0451,3987,0.0157,0.0032,0.03,1908,0.0736,0.0309,0.3555,0.2311,0.0897,1917,28.8118,0.0079,0.1202,28.8118,4060,0.9408,0.2776,0.1698,4,2.6604,0.2301,26.3316,26.5055,27.5872,0.0201,0.0435,4,0.1694,0.3002,2.2778,0.5892,3.3313,0.3782,24.6385
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v600-c2556-S869604189-077.UNKNOWN.cnf,1,23.1834,0.0051,0.0051,0.0068,18.656,0.0051,131,142,130,120,130.654,0.01,130.431,120,141,0.0012,0.3072,600,591,3744,3772.625,0.0665,0.072,3664,0.541,3711,3989,3664,0.0425,3842,0.0098,0.0025,0.028,2549,0.0685,0.0188,0.3087,0.2319,0.0859,2556,38.0201,0.0067,0.1142,38.0201,3989,0.9123,0.267,0.1626,4.0051,2.6474,0.2235,31.4923,32.2866,35.5898,0.0258,0.086,5,0.1766,0.2568,2.3496,0.5818,3.3194,0.4658,29.3076
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v70-c6230-S1018943457-089.SATISFIABLE.cnf,1,8.7181,0.1,0.1,0.1,8.4534,0.1,12,15,12,9,12.1367,0.0111,12.0972,9,15,0.0894,0.6794,70,70,4447,4457.8333,0.2057,0.0001,4395,0.756,4400,4607,4395,0,4496,0.1104,0.0069,0,6230,0.2043,0.0111,1.829,0.0112,0.0001,6230,26.2427,0.0095,0.0001,26.2427,4607,2.0192,0,0.0001,2,3.8449,0.0337,25.9741,25.8818,26.2046,0.0169,0.0115,2,0.0257,0.2767,3.0286,0.6918,2.1293,0.4213,25.4551
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/12000/unif-k3-r4.2-v12000-c50400-S1510966387-018.cnf,1,437.2,0.0003,0.0003,0.0005,228,0.0003,2547,2577,2554.5,0,2546.45,0.0005,2299.5,2504,2599,0,0.2346,12000,11696,13,13.8674,0.3519,0.0781,8,0.3125,10,20,6,0.0469,16,0.0008,0.0001,0.0277,50088,0.0136,0.0016,0.1443,0.2335,0.0918,50400,85.875,0.0004,0.1224,68.6364,39,0.6772,0.2928,0.1776,5.0194,2.7155,0.2259,53.3846,54.4317,60.0357,0.3578,0.1951,6,0.1703,0.9215,2.3358,0.5872,3.3565,2.6653,42.1875
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/180/unif-k7-r85-v180-c15300-S1802626390-033.cnf,1,16.5683,0.0389,0.0389,0.0389,16.5455,0.0389,29,35,29,25,29.6766,0.0117,29.7098,24,35,0.0349,0.6357,180,180,4162,4134,0.1443,0.0001,3968,0.7355,4033,4373,3968,0.0001,4373,0.0429,0.0026,0.0001,15300,0.1413,0.0117,1.3247,0.0118,0.0001,15300,54.9692,0.0036,0.0001,54.9692,4373,1.6327,0,0.0002,2,4.2485,0.033,54.8552,53.6173,54.9692,0.0374,0.0247,2,0.0244,0.2041,3.098,0.6756,2.1181,0.4125,51.9432
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/65/unif-k7-r89-v65-c5785-S1645769281-097.cnf,1,8.5152,0.1077,0.1077,0.1077,8.0183,0.1077,11,14,11,8,11.2707,0.0111,11.2868,8,14,0.0984,0.6863,65,65,4509,4477.5,0.2107,0.0001,4397,0.7661,4406,4588,4397,0,4516,0.12,0.0067,0,5785,0.2108,0.0111,1.8678,0.0112,0.0001,5785,24.6635,0.0086,0.0001,24.6635,4588,2.1171,0,0.0001,2,3.8384,0.0269,24.2122,24.193,24.2336,0.015,0.0098,2,0.0205,0.2684,2.8813,0.6793,1.9119,0.4179,23.9219
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/4000/unif-k3-r4.2-v4000-c16800-S139794312-098.cnf,1,110.587,0.0008,0.0008,0.0015,73.313,0.0008,851,876,853,819,849.574,0.0016,851.661,816,877,0.0002,0.2563,4000,3902,55,59.5468,0.0246,0.0803,42,0.373,49,77,37,0.0469,66,0.002,0.0004,0.0279,16683,0.0264,0.0041,0.1132,0.2339,0.093,16800,50.5474,0.0013,0.1256,43.561,150,0.6525,0.288,0.1766,4.9991,2.6982,0.2288,38.88,39.2148,42.1509,0.3008,0.0933,5,0.1697,0.1369,2.3191,0.588,3.3423,0.8739,34.7193
