@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_table_count NUMERIC
@ATTRIBUTE stats_edge_density NUMERIC
@ATTRIBUTE stats_varcount NUMERIC
@ATTRIBUTE stats_branchingvars NUMERIC
@ATTRIBUTE stats_var_discrete NUMERIC
@ATTRIBUTE stats_arity_mean_normalised NUMERIC
@ATTRIBUTE stats_cts_per_var_mean_normalised NUMERIC
@ATTRIBUTE stats_conscount NUMERIC
@ATTRIBUTE normalised_width_of_graph NUMERIC
@ATTRIBUTE stats_cts_per_var_mean NUMERIC
@ATTRIBUTE normalised_mean_degree NUMERIC
@ATTRIBUTE clustering_coefficient NUMERIC
@ATTRIBUTE normalised_median_degree NUMERIC
@ATTRIBUTE normalised_width_of_ordering NUMERIC
@ATTRIBUTE stats_tightness_0 NUMERIC
@ATTRIBUTE stats_Local_Variance NUMERIC
@ATTRIBUTE stats_tightness_mean NUMERIC
@ATTRIBUTE stats_tightness_75 NUMERIC
@ATTRIBUTE stats_tightness_100 NUMERIC
@ATTRIBUTE stats_dom_0 NUMERIC
@ATTRIBUTE normalised_maximum_degree NUMERIC
@ATTRIBUTE mean_degree NUMERIC
@ATTRIBUTE normalised_standard_deviation_of_node_degree NUMERIC
@ATTRIBUTE stats_dom_50 NUMERIC
@ATTRIBUTE stats_tightness_25 NUMERIC
@ATTRIBUTE stats_tightness_50 NUMERIC
@ATTRIBUTE stats_dom_25 NUMERIC
@ATTRIBUTE stats_tightness_mean_normalised NUMERIC
@ATTRIBUTE stats_literal_tightness_25 NUMERIC
@ATTRIBUTE normalised_minimum_degree NUMERIC
@ATTRIBUTE stats_literal_tightness_50 NUMERIC
@ATTRIBUTE stats_dom_75 NUMERIC
@ATTRIBUTE stats_literal_tightness_0 NUMERIC
@ATTRIBUTE standard_deviation_of_node_degree NUMERIC
@ATTRIBUTE SAC_literals NUMERIC
@ATTRIBUTE stats_literal_tightness_75 NUMERIC
@ATTRIBUTE median_degree NUMERIC
@ATTRIBUTE stats_literal_tightness_100 NUMERIC
@ATTRIBUTE stats_dom_100 NUMERIC
@ATTRIBUTE width_of_ordering NUMERIC
@ATTRIBUTE stats_literal_tightness_coeff_of_variation NUMERIC
@ATTRIBUTE stats_literal_tightness_mean NUMERIC
@ATTRIBUTE maximum_degree NUMERIC
@ATTRIBUTE stats_dom_mean NUMERIC
@ATTRIBUTE normalised_SAC_literals NUMERIC
@ATTRIBUTE minimum_degree NUMERIC
@ATTRIBUTE width_of_graph NUMERIC
@ATTRIBUTE stats_sums_proportion NUMERIC
@ATTRIBUTE stats_unary_proportion NUMERIC
@ATTRIBUTE stats_lex_proportion NUMERIC
@ATTRIBUTE stats_lex_count NUMERIC
@ATTRIBUTE stats_table_proportion NUMERIC
@ATTRIBUTE stats_or_atleastk_count NUMERIC
@ATTRIBUTE stats_arity_75 NUMERIC
@ATTRIBUTE stats_arity_25 NUMERIC
@ATTRIBUTE stats_or_atleastk_proportion NUMERIC
@ATTRIBUTE stats_arity_100 NUMERIC
@ATTRIBUTE stats_arity_0 NUMERIC
@ATTRIBUTE stats_arity_50 NUMERIC
@ATTRIBUTE stats_sums_count NUMERIC
@ATTRIBUTE stats_alldiff_count NUMERIC
@ATTRIBUTE stats_dom_not2_2_ratio NUMERIC
@ATTRIBUTE stats_unary_count NUMERIC
@ATTRIBUTE stats_multi_shared_vars NUMERIC

@DATA
1-insertions-5-5.xml.watchless.minion.gz,1,0,0.06044,202,202,202,0.009901,0.009901,1227,0.039604,12.148515,0.060141,0,0.049505,0.331683,184,0.243809,184,184,184,5,0.331683,12.148515,0.032959,5,184,184,5,0.149959,17,0.024752,21,5,16,6.657663,0,23,10,23,5,67,0.148324,20,67,5,0,5,8,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
1-insertions-5-6.xml.watchless.minion.gz,1,0,0.06044,202,202,202,0.009901,0.009901,1227,0.039604,12.148515,0.060141,0,0.049505,0.331683,169,0.243809,169,169,169,6,0.331683,12.148515,0.032959,6,169,169,6,0.137734,14,0.024752,18,6,13,6.657663,0,19,10,20,6,67,0.153623,16.666667,67,6,0,5,8,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
1-insertions-6-4.xml.watchless.minion.gz,1,0,0.034455,607,607,607,0.003295,0.003295,6337,0.023064,20.879736,0.034398,0,0.029654,0.332784,263,0.159787,263,263,263,4,0.332784,20.879736,0.024126,4,263,263,4,0.041502,26,0.009885,27,4,20,14.644509,0,27,18,27,4,202,0.116619,25,202,4,0,6,14,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
1-insertions-6-5.xml.watchless.minion.gz,1,0,0.034455,607,607,607,0.003295,0.003295,6337,0.023064,20.879736,0.034398,0,0.029654,0.332784,184,0.159787,184,184,184,5,0.332784,20.879736,0.024126,5,184,184,5,0.029036,17,0.009885,21,5,16,14.644509,0,23,18,23,5,202,0.148324,20,202,5,0,6,14,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
1-insertions-6-6.xml.watchless.minion.gz,1,0,0.034455,607,607,607,0.003295,0.003295,6337,0.023064,20.879736,0.034398,0,0.029654,0.332784,169,0.159787,169,169,169,6,0.332784,20.879736,0.024126,6,169,169,6,0.026669,14,0.009885,18,6,13,14.644509,0,19,18,20,6,202,0.153623,16.666667,202,6,0,6,14,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
1-insertions-6-7.xml.watchless.minion.gz,1,0,0.034455,607,607,607,0.003295,0.003295,6337,0.023064,20.879736,0.034398,0,0.029654,0.332784,154,0.159787,154,154,154,7,0.332784,20.879736,0.024126,7,154,154,7,0.024302,13,0.009885,13,7,12,14.644509,0,16,18,19,7,202,0.15748,14.285714,202,7,0,6,14,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
2-fullins-3-4.xml.watchless.minion.gz,1,0,0.151584,52,52,52,0.038462,0.038462,201,0.096154,7.730769,0.148669,0.063836,0.134615,0.288462,263,0.331856,263,263,263,4,0.288462,7.730769,0.058075,4,263,263,4,1.308458,26,0.076923,27,4,20,3.019904,0,27,7,27,4,15,0.116619,25,15,4,0,4,5,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
2-fullins-3-5.xml.watchless.minion.gz,1,0,0.151584,52,52,52,0.038462,0.038462,201,0.096154,7.730769,0.148669,0.063836,0.134615,0.288462,184,0.331856,184,184,184,5,0.288462,7.730769,0.058075,5,184,184,5,0.915423,17,0.076923,21,5,16,3.019904,0,23,7,23,5,15,0.148324,20,15,5,0,4,5,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
2-fullins-4-4.xml.watchless.minion.gz,1,0,0.072476,212,212,212,0.009434,0.009434,1621,0.04717,15.292453,0.072134,0.021882,0.061321,0.259434,263,0.205428,263,263,263,4,0.259434,15.292453,0.038637,4,263,263,4,0.162246,26,0.028302,27,4,20,8.191075,0,27,13,27,4,55,0.116619,25,55,4,0,6,10,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
2-fullins-4-5.xml.watchless.minion.gz,1,0,0.072476,212,212,212,0.009434,0.009434,1621,0.04717,15.292453,0.072134,0.021882,0.061321,0.259434,184,0.205428,184,184,184,5,0.259434,15.292453,0.038637,5,184,184,5,0.11351,17,0.028302,21,5,16,8.191075,0,23,13,23,5,55,0.148324,20,55,5,0,6,10,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
2-fullins-4-6.xml.watchless.minion.gz,1,0,0.072476,212,212,212,0.009434,0.009434,1621,0.04717,15.292453,0.072134,0.021882,0.061321,0.259434,169,0.205428,169,169,169,6,0.259434,15.292453,0.038637,6,169,169,6,0.104257,14,0.028302,18,6,13,8.191075,0,19,13,20,6,55,0.153623,16.666667,55,6,0,6,10,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
2-fullins-5-4.xml.watchless.minion.gz,1,0,0.033656,852,852,852,0.002347,0.002347,12201,0.021127,28.640845,0.033616,0.007851,0.029343,0.252347,263,0.122158,263,263,263,4,0.252347,28.640845,0.023979,4,263,263,4,0.021556,26,0.00939,27,4,20,20.42989,0,27,25,27,4,215,0.116619,25,215,4,0,8,18,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
2-fullins-5-5.xml.watchless.minion.gz,1,0,0.033656,852,852,852,0.002347,0.002347,12201,0.021127,28.640845,0.033616,0.007851,0.029343,0.252347,184,0.122158,184,184,184,5,0.252347,28.640845,0.023979,5,184,184,5,0.015081,17,0.00939,21,5,16,20.42989,0,23,25,23,5,215,0.148324,20,215,5,0,8,18,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
2-fullins-5-6.xml.watchless.minion.gz,1,0,0.033656,852,852,852,0.002347,0.002347,12201,0.021127,28.640845,0.033616,0.007851,0.029343,0.252347,169,0.122158,169,169,169,6,0.252347,28.640845,0.023979,6,169,169,6,0.013851,14,0.00939,18,6,13,20.42989,0,19,25,20,6,215,0.153623,16.666667,215,6,0,8,18,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
2-fullins-5-7.xml.watchless.minion.gz,1,0,0.033656,852,852,852,0.002347,0.002347,12201,0.021127,28.640845,0.033616,0.007851,0.029343,0.252347,154,0.122158,154,154,154,7,0.252347,28.640845,0.023979,7,154,154,7,0.012622,13,0.00939,13,7,12,20.42989,0,16,25,19,7,215,0.15748,14.285714,215,7,0,8,18,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
2-insertions-3-3.xml.watchless.minion.gz,1,0,0.108108,37,37,37,0.054054,0.054054,72,0.081081,3.891892,0.105186,0,0.108108,0.243243,324,0.458347,324,324,324,3,0.243243,3.891892,0.025743,3,324,324,3,4.5,32,0.081081,33,3,32,0.952487,0,35,4,35,3,9,0.037417,33.333333,9,3,0,3,3,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
2-insertions-3-4.xml.watchless.minion.gz,1,0,0.108108,37,37,37,0.054054,0.054054,72,0.081081,3.891892,0.105186,0,0.108108,0.243243,263,0.458347,263,263,263,4,0.243243,3.891892,0.025743,4,263,263,4,3.652778,26,0.081081,27,4,20,0.952487,0,27,4,27,4,9,0.116619,25,9,4,0,3,3,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
2-insertions-4-3.xml.watchless.minion.gz,1,0,0.049066,149,149,149,0.013423,0.013423,541,0.033557,7.261745,0.048737,0,0.053691,0.248322,324,0.340533,324,324,324,3,0.248322,7.261745,0.021708,3,324,324,3,0.598891,32,0.026846,33,3,32,3.234454,0,35,8,35,3,37,0.037417,33.333333,37,3,0,4,5,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
2-insertions-4-4.xml.watchless.minion.gz,1,0,0.049066,149,149,149,0.013423,0.013423,541,0.033557,7.261745,0.048737,0,0.053691,0.248322,263,0.340533,263,263,263,4,0.248322,7.261745,0.021708,4,263,263,4,0.486137,26,0.026846,27,4,20,3.234454,0,27,8,27,4,37,0.116619,25,37,4,0,4,5,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
2-insertions-4-5.xml.watchless.minion.gz,1,0,0.049066,149,149,149,0.013423,0.013423,541,0.033557,7.261745,0.048737,0,0.053691,0.248322,184,0.340533,184,184,184,5,0.248322,7.261745,0.021708,5,184,184,5,0.340111,17,0.026846,21,5,16,3.234454,0,23,8,23,5,37,0.148324,20,37,5,0,4,5,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
2-insertions-5-3.xml.watchless.minion.gz,1,0,0.022124,597,597,597,0.00335,0.00335,3936,0.015075,13.18593,0.022087,0,0.020101,0.249581,324,0.229052,324,324,324,3,0.249581,13.18593,0.014236,3,324,324,3,0.082317,32,0.008375,33,3,32,8.498927,0,35,12,35,3,149,0.037417,33.333333,149,3,0,5,9,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
2-insertions-5-4.xml.watchless.minion.gz,1,0,0.022124,597,597,597,0.00335,0.00335,3936,0.015075,13.18593,0.022087,0,0.020101,0.249581,263,0.229052,263,263,263,4,0.249581,13.18593,0.014236,4,263,263,4,0.066819,26,0.008375,27,4,20,8.498927,0,27,12,27,4,149,0.116619,25,149,4,0,5,9,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
2-insertions-5-5.xml.watchless.minion.gz,1,0,0.022124,597,597,597,0.00335,0.00335,3936,0.015075,13.18593,0.022087,0,0.020101,0.249581,184,0.229052,184,184,184,5,0.249581,13.18593,0.014236,5,184,184,5,0.046748,17,0.008375,21,5,16,8.498927,0,23,12,23,5,149,0.148324,20,149,5,0,5,9,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
2-insertions-5-6.xml.watchless.minion.gz,1,0,0.022124,597,597,597,0.00335,0.00335,3936,0.015075,13.18593,0.022087,0,0.020101,0.249581,169,0.229052,169,169,169,6,0.249581,13.18593,0.014236,6,169,169,6,0.042937,14,0.008375,18,6,13,8.498927,0,19,12,20,6,149,0.153623,16.666667,149,6,0,5,9,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
3-fullins-3-5.xml.watchless.minion.gz,1,0,0.109494,80,80,80,0.025,0.025,346,0.075,8.65,0.108125,0.051742,0.0875,0.2375,184,0.3083,184,184,184,5,0.2375,8.65,0.049847,5,184,184,5,0.531792,17,0.05,21,5,16,3.987794,0,23,7,23,5,19,0.148324,20,19,5,0,4,6,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
3-fullins-3-6.xml.watchless.minion.gz,1,0,0.109494,80,80,80,0.025,0.025,346,0.075,8.65,0.108125,0.051742,0.0875,0.2375,169,0.3083,169,169,169,6,0.2375,8.65,0.049847,6,169,169,6,0.488439,14,0.05,18,6,13,3.987794,0,19,7,20,6,19,0.153623,16.666667,19,6,0,4,6,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
3-fullins-4-5.xml.watchless.minion.gz,1,0,0.043075,405,405,405,0.004938,0.004938,3524,0.02716,17.402469,0.042969,0.01485,0.037037,0.207407,184,0.185323,184,184,184,5,0.207407,17.402469,0.026781,5,184,184,5,0.052213,17,0.014815,21,5,16,10.846334,0,23,15,23,5,84,0.148324,20,84,5,0,6,11,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
3-fullins-4-6.xml.watchless.minion.gz,1,0,0.043075,405,405,405,0.004938,0.004938,3524,0.02716,17.402469,0.042969,0.01485,0.037037,0.207407,169,0.185323,169,169,169,6,0.207407,17.402469,0.026781,6,169,169,6,0.047957,14,0.014815,18,6,13,10.846334,0,19,15,20,6,84,0.153623,16.666667,84,6,0,6,11,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
3-fullins-4-7.xml.watchless.minion.gz,1,0,0.043075,405,405,405,0.004938,0.004938,3524,0.02716,17.402469,0.042969,0.01485,0.037037,0.207407,154,0.185323,154,154,154,7,0.207407,17.402469,0.026781,7,154,154,7,0.0437,13,0.014815,13,7,12,10.846334,0,16,15,19,7,84,0.15748,14.285714,84,7,0,6,11,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
3-fullins-5-5.xml.watchless.minion.gz,1,0,0.016388,2030,2030,2030,0.000985,0.000985,33751,0.010345,33.252217,0.01638,0.004678,0.014286,0.201478,184,0.10708,184,184,184,5,0.201478,33.252217,0.013841,5,184,184,5,0.005452,17,0.003941,21,5,16,28.096271,0,23,29,23,5,409,0.148324,20,409,5,0,8,21,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
3-fullins-5-6.xml.watchless.minion.gz,1,0,0.016388,2030,2030,2030,0.000985,0.000985,33751,0.010345,33.252217,0.01638,0.004678,0.014286,0.201478,169,0.10708,169,169,169,6,0.201478,33.252217,0.013841,6,169,169,6,0.005007,14,0.003941,18,6,13,28.096271,0,19,29,20,6,409,0.153623,16.666667,409,6,0,8,21,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
3-fullins-5-7.xml.watchless.minion.gz,1,0,0.016388,2030,2030,2030,0.000985,0.000985,33751,0.010345,33.252217,0.01638,0.004678,0.014286,0.201478,154,0.10708,154,154,154,7,0.201478,33.252217,0.013841,7,154,154,7,0.004563,13,0.003941,13,7,12,28.096271,0,16,29,19,7,409,0.15748,14.285714,409,7,0,8,21,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
3-fullins-5-8.xml.watchless.minion.gz,1,0,0.016388,2030,2030,2030,0.000985,0.000985,33751,0.010345,33.252217,0.01638,0.004678,0.014286,0.201478,136,0.10708,136,136,136,8,0.201478,33.252217,0.013841,8,136,136,8,0.00403,9,0.003941,13,8,6,28.096271,0,20,29,20,8,409,0.401995,12.5,409,8,0,8,21,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
3-insertions-3-3.xml.watchless.minion.gz,1,0,0.071429,56,56,56,0.035714,0.035714,110,0.053571,3.928571,0.070153,0,0.071429,0.196429,324,0.453656,324,324,324,3,0.196429,3.928571,0.01844,3,324,324,3,2.945455,32,0.053571,33,3,32,1.032631,0,35,4,35,3,11,0.037417,33.333333,11,3,0,3,3,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
3-insertions-3-4.xml.watchless.minion.gz,1,0,0.071429,56,56,56,0.035714,0.035714,110,0.053571,3.928571,0.070153,0,0.071429,0.196429,263,0.453656,263,263,263,4,0.196429,3.928571,0.01844,4,263,263,4,2.390909,26,0.053571,27,4,20,1.032631,0,27,4,27,4,11,0.116619,25,11,4,0,3,3,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
3-insertions-4-3.xml.watchless.minion.gz,1,0,0.026589,281,281,281,0.007117,0.007117,1046,0.017794,7.44484,0.026494,0,0.02847,0.199288,324,0.334833,324,324,324,3,0.199288,7.44484,0.013027,3,324,324,3,0.309751,32,0.014235,33,3,32,3.660599,0,35,8,35,3,56,0.037417,33.333333,56,3,0,4,5,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
3-insertions-4-4.xml.watchless.minion.gz,1,0,0.026589,281,281,281,0.007117,0.007117,1046,0.017794,7.44484,0.026494,0,0.02847,0.199288,263,0.334833,263,263,263,4,0.199288,7.44484,0.013027,4,263,263,4,0.251434,26,0.014235,27,4,20,3.660599,0,27,8,27,4,56,0.116619,25,56,4,0,4,5,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
3-insertions-4-5.xml.watchless.minion.gz,1,0,0.026589,281,281,281,0.007117,0.007117,1046,0.017794,7.44484,0.026494,0,0.02847,0.199288,184,0.334833,184,184,184,5,0.199288,7.44484,0.013027,5,184,184,5,0.175908,17,0.014235,21,5,16,3.660599,0,23,8,23,5,56,0.148324,20,56,5,0,4,5,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
3-insertions-5-3.xml.watchless.minion.gz,1,0,0.009816,1406,1406,1406,0.001422,0.001422,9695,0.006401,13.790896,0.009809,0,0.01138,0.199858,324,0.221368,324,324,324,3,0.199858,13.790896,0.007218,3,324,324,3,0.033419,32,0.003556,33,3,32,10.148279,0,35,16,35,3,281,0.037417,33.333333,281,3,0,5,9,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
3-insertions-5-4.xml.watchless.minion.gz,1,0,0.009816,1406,1406,1406,0.001422,0.001422,9695,0.006401,13.790896,0.009809,0,0.01138,0.199858,263,0.221368,263,263,263,4,0.199858,13.790896,0.007218,4,263,263,4,0.027127,26,0.003556,27,4,20,10.148279,0,27,16,27,4,281,0.116619,25,281,4,0,5,9,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
