@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE d_ratio_int_vars NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE d_ratio_bool_vars NUMERIC
@ATTRIBUTE v_avg_domdeg_vars NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE v_avg_dom_vars NUMERIC
@ATTRIBUTE c_avg_dom_cons NUMERIC
@ATTRIBUTE c_avg_domdeg_cons NUMERIC
@ATTRIBUTE v_sum_dom_vars NUMERIC
@ATTRIBUTE d_ratio_array_cons NUMERIC
@ATTRIBUTE v_cv_dom_vars NUMERIC
@ATTRIBUTE gr_avg_deg_vg NUMERIC
@ATTRIBUTE c_ent_dom_cons NUMERIC
@ATTRIBUTE c_max_dom_cons NUMERIC

@DATA
normalized-aim-200-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.737056,2.93,2,2.441667,1,1200,0.444444,0,4.43,0.990159,3
normalized-4-fullins-4-7.xml.mzn_AND_NODATA,1,1,1,9.637681,0.103759,0,0.474668,19.275362,7,5.61471,2.807355,4830,0,0,19.275362,0,5.61471
normalized-aim-100-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,0.501253,0.333333,1.33,0.75188,0.666667,0.668333,3.323333,2,2.498747,1,600,0.498747,0,5.186667,0.999995,3
normalized-aim-200-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.736865,2.933333,2,2.444444,1,1200,0.444444,0,4.48,0.991076,3
normalized-aim-200-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.736722,2.931667,2,2.443056,1,1200,0.444444,0,4.426667,0.990623,3
normalized-aim-200-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,0.55788,0.333333,1.195,0.83682,0.666667,0.740921,2.916667,2,2.440725,1,1200,0.44212,0,4.43,0.989838,3
normalized-aim-200-2-0-sat-2_ext.xml.mzn_AND_NODATA,1,0.500626,0.333333,1.331667,0.750939,0.666667,0.667778,3.326667,2,2.498123,1,1200,0.499374,0,5.146667,0.99999,3
normalized-aim-200-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.737833,2.926667,2,2.438889,1,1200,0.444444,0,4.393333,0.989197,3
normalized-aim-200-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,0.500626,0.333333,1.331667,0.750939,0.666667,0.667778,3.326667,2,2.498123,1,1200,0.499374,0,5.166667,0.99999,3
normalized-aim-200-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,0.500626,0.333333,1.331667,0.750939,0.666667,0.668056,3.325,2,2.496871,1,1200,0.499374,0,5.196667,0.999972,3
normalized-4-insertions-3-3.xml.mzn_AND_NODATA,1,1,1,1.974684,0.50641,0,0.784567,3.949367,3,3.169925,1.584963,237,0,0,3.949367,0,3.169925
normalized-5-fullins-4-8.xml.mzn_AND_NODATA,1,1,1,10.502304,0.095217,0,0.516058,21.004608,8,6,3,8680,0,0,21.004608,0,6
normalized-aim-100-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,0.502513,0.333333,1.326667,0.753769,0.666667,0.671111,3.306667,2,2.492462,1,600,0.497487,0,5.14,0.999836,3
normalized-aim-100-1-6-2.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0,0.6045,3.395,2,2.611538,1,400,0,0,5.59,0.9638,3
normalized-aim-100-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.736444,2.933333,2,2.444444,1,600,0.444444,0,4.406667,0.991076,3
normalized-2-fullins-5-5.xml.mzn_AND_NODATA,1,1,1,14.320423,0.06983,0,0.227436,28.640845,5,4.643856,2.321928,4260,0,0,28.640845,0,4.643856
normalized-aim-200-3-4-sat-3_ext.xml.mzn_AND_NODATA,1,0.370714,0.333333,1.798333,0.55607,0.666667,0.552905,4.725,2,2.627433,1,1200,0.629286,0,7.61,0.952623,3
normalized-aim-50-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.568182,0.333333,1.173333,0.852273,0.666667,0.761111,2.846667,2,2.426136,1,300,0.431818,0,4.146667,0.9842,3
normalized-aim-100-3-4-3.xml.mzn_AND_NODATA,1,1,1,2.2,0.454545,0,0.328631,6.1,2,2.772727,1,400,0,0,10.24,0.773227,3
normalized-aim-200-2-0-1.xml.mzn_AND_NODATA,1,1,1,1.5,0.666667,0,0.500417,3.9975,2,2.665,1,800,0,0,6.69,0.919953,3
normalized-43s-smv.xml.mzn_AND_NODATA,1,1,1,1.966621,0.508486,0,0.386944,6.894938,1.858003,3.463829,0.987359,6791,0,0.187862,11.444596,1.264645,15
normalized-aim-200-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.737111,2.931667,2,2.443056,1,1200,0.444444,0,4.44,0.990623,3
normalized-aim-100-1-6-3.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0,0.604667,3.4,2,2.615385,1,400,0,0,5.61,0.961237,3
normalized-aim-100-1-6-1.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0,0.605929,3.395,2,2.611538,1,400,0,0,5.58,0.9638,3
normalized-aim-200-1-6-sat-2_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.736833,2.931667,2,2.443056,1,1200,0.444444,0,4.443333,0.990623,3
normalized-aim-200-6-0-sat-4_ext.xml.mzn_AND_NODATA,1,0.252845,0.333333,2.636667,0.379267,0.666667,0.468954,7.231667,2,2.742731,1,1200,0.747155,0,12.48,0.822598,3
normalized-3-fullins-5-7.xml.mzn_AND_NODATA,1,1,1,16.626108,0.060146,0,0.282717,33.252217,7,5.61471,2.807355,14210,0,0,33.252217,0,5.61471
normalized-aim-200-2-0-2.xml.mzn_AND_NODATA,1,1,1,1.5,0.666667,0,0.500417,3.9975,2,2.665,1,800,0,0,6.73,0.919953,3
normalized-3-fullins-4-6.xml.mzn_AND_NODATA,1,1,1,8.701235,0.114926,0,0.434514,17.402469,6,5.169925,2.584963,2430,0,0,17.402469,0,5.169925
normalized-aim-50-2-0-3.xml.mzn_AND_NODATA,1,1,1,1.5,0.666667,0,0.5,4,2,2.666667,1,200,0,0,6.7,0.918296,3
normalized-aim-200-2-0-4.xml.mzn_AND_NODATA,1,1,1,1.5,0.666667,0,0.500833,3.995,2,2.663333,1,800,0,0,6.715,0.921593,3
normalized-aim-100-2-0-sat-4_ext.xml.mzn_AND_NODATA,1,0.501253,0.333333,1.33,0.75188,0.666667,0.668333,3.323333,2,2.498747,1,600,0.498747,0,5.126667,0.999995,3
normalized-aim-200-3-4-sat-1_ext.xml.mzn_AND_NODATA,1,0.370714,0.333333,1.798333,0.55607,0.666667,0.552976,4.725,2,2.627433,1,1200,0.629286,0,7.573333,0.952623,3
normalized-aim-100-2-0-2.xml.mzn_AND_NODATA,1,1,1,1.5,0.666667,0,0.501667,3.99,2,2.66,1,400,0,0,6.75,0.924819,3
normalized-army8-9ls.xml.mzn_AND_NODATA,1,1,1,1.509091,0.662651,0,0.295613,7.236364,2,4.795181,1,440,0,0,49.290909,2.097437,64
normalized-aim-100-2-0-unsat-4_ext.xml.mzn_AND_NODATA,1,0.5,0.333333,1.333333,0.75,0.666667,0.666667,3.333333,2,2.5,1,600,0.5,0,5.16,1,3
normalized-aim-200-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,0.500626,0.333333,1.331667,0.750939,0.666667,0.667778,3.326667,2,2.498123,1,1200,0.499374,0,5.193333,0.99999,3
normalized-5-fullins-4-7.xml.mzn_AND_NODATA,1,1,1,10.502304,0.095217,0,0.451551,21.004608,7,5.61471,2.807355,7595,0,0,21.004608,0,5.61471
normalized-army13-24bt.xml.mzn_AND_NODATA,1,1,1,2.214286,0.451613,0,0.201246,12.265306,2,5.539171,1,980,0,0,137.967347,2.195563,169
normalized-aim-100-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0.560224,0.333333,1.19,0.840336,0.666667,0.744111,2.9,2,2.436975,1,600,0.439776,0,4.393333,0.988508,3
normalized-aim-200-3-4-3.xml.mzn_AND_NODATA,1,1,1,2.2,0.454545,0,0.328857,6.095,2,2.770455,1,800,0,0,10.425,0.777218,3
normalized-anna-10.xml.mzn_AND_NODATA,1,1,1,3.572464,0.279919,0,3.763869,7.144928,10,6.643856,3.321928,1380,0,0,7.144928,0,6.643856
normalized-aim-200-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,0.501882,0.333333,1.328333,0.752823,0.666667,0.669444,3.316667,2,2.496863,1,1200,0.498118,0,5.106667,0.999972,3
normalized-army12-21bt.xml.mzn_AND_NODATA,1,1,1,2.200935,0.454352,0,0.201373,12.058411,2,5.478769,1,856,0,0,118.088785,2.21476,144
normalized-army10-14ls.xml.mzn_AND_NODATA,1,1,1,1.506329,0.663866,0,0.280994,7.696203,2,5.109244,1,632,0,0,76.316456,2.096156,100
normalized-army12-21ls.xml.mzn_AND_NODATA,1,1,1,1.504673,0.664596,0,0.272422,8.056075,2,5.354037,1,856,0,0,110.682243,2.07194,144
normalized-aim-200-6-0-4.xml.mzn_AND_NODATA,1,1,1,3.4625,0.288809,0,0.202917,9.87,2,2.850542,1,800,0,0,17.75,0.608483,3
normalized-aim-200-6-0-3.xml.mzn_AND_NODATA,1,1,1,3.48,0.287356,0,0.201653,9.9275,2,2.85273,1,800,0,0,17.855,0.602966,3
normalized-aim-200-3-4-sat-4_ext.xml.mzn_AND_NODATA,1,0.371402,0.333333,1.795,0.557103,0.666667,0.553623,4.715,2,2.626741,1,1200,0.628598,0,7.59,0.953142,3
normalized-army10-14bt.xml.mzn_AND_NODATA,1,1,1,2.170886,0.460641,0,0.203979,11.518987,2,5.306122,1,632,0,0,83.221519,2.251027,100
normalized-2-fullins-4-5.xml.mzn_AND_NODATA,1,1,1,7.646226,0.130783,0,0.396645,15.292453,5,4.643856,2.321928,1060,0,0,15.292453,0,4.643856
normalized-aim-200-2-0-sat-4_ext.xml.mzn_AND_NODATA,1,0.500626,0.333333,1.331667,0.750939,0.666667,0.668056,3.325,2,2.496871,1,1200,0.499374,0,5.136667,0.999972,3
normalized-aim-200-6-0-1.xml.mzn_AND_NODATA,1,1,1,3.4725,0.287977,0,0.202278,9.8975,2,2.850252,1,800,0,0,17.885,0.609209,3
normalized-aim-50-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.737333,2.926667,2,2.438889,1,300,0.444444,0,4.306667,0.989197,3
normalized-aim-200-6-0-sat-2_ext.xml.mzn_AND_NODATA,1,0.251731,0.333333,2.648333,0.377596,0.666667,0.468185,7.266667,2,2.743864,1,1200,0.748269,0,12.613333,0.820859,3
normalized-aim-100-3-4-1.xml.mzn_AND_NODATA,1,1,1,2.2,0.454545,0,0.328905,6.095,2,2.770455,1,400,0,0,10.31,0.777218,3
normalized-aim-100-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,0.5,0.333333,1.333333,0.75,0.666667,0.666667,3.333333,2,2.5,1,600,0.5,0,5.206667,1,3
normalized-aim-200-3-4-1.xml.mzn_AND_NODATA,1,1,1,2.1975,0.455063,0,0.329464,6.0875,2,2.770193,1,800,0,0,10.36,0.777674,3
normalized-aim-200-2-0-unsat-4_ext.xml.mzn_AND_NODATA,1,0.5,0.333333,1.333333,0.75,0.666667,0.6675,3.328333,2,2.49625,1,1200,0.5,0,5.2,0.999959,3
normalized-aim-200-3-4-4.xml.mzn_AND_NODATA,1,1,1,2.2,0.454545,0,0.328935,6.095,2,2.770455,1,800,0,0,10.415,0.777218,3
normalized-aim-50-1-6-2.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0,0.604,3.4,2,2.615385,1,200,0,0,5.6,0.961237,3
normalized-aim-50-1-6-1.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0,0.602333,3.4,2,2.615385,1,200,0,0,5.68,0.961237,3
normalized-aim-50-1-6-4.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0,0.607333,3.38,2,2.6,1,200,0,0,5.48,0.970951,3
normalized-anna-9.xml.mzn_AND_NODATA,1,1,1,3.572464,0.279919,0,3.387482,7.144928,9,6.33985,3.169925,1242,0,0,7.144928,0,6.33985
normalized-army9-12ls.xml.mzn_AND_NODATA,1,1,1,1.507519,0.663342,0,0.287301,7.481203,2,4.962594,1,532,0,0,61.902256,2.100949,81
normalized-aim-200-6-0-2.xml.mzn_AND_NODATA,1,1,1,3.49,0.286533,0,0.201125,9.95,2,2.851003,1,800,0,0,17.975,0.607325,3
normalized-bibd-6-50-25-3-10_glb.xml.mzn_AND_NODATA,1,1,1,0.781905,1.278928,0,0.795918,3.428571,2,4.384896,1,2100,0,0,53.285714,0.500372,50
normalized-aim-200-1-6-4.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0,0.60675,3.39,2,2.607692,1,800,0,0,5.59,0.966273,3
normalized-bibd-6-60-30-3-12_glb.xml.mzn_AND_NODATA,1,1,1,0.778571,1.284404,0,0.795918,3.428571,2,4.40367,1,2520,0,0,63.285714,0.479337,60
normalized-ash608GPIA-4.xml.mzn_AND_NODATA,1,1,1,6.450658,0.155023,0,0.328255,12.901316,4,4,2,4864,0,0,12.901316,0,4
normalized-army9-12bt.xml.mzn_AND_NODATA,1,1,1,2.154135,0.464223,0,0.20725,11.157895,2,5.179756,1,532,0,0,68.105263,2.254488,81
normalized-22s-smv.xml.mzn_AND_NODATA,1,1,1,2.203509,0.453822,0,0.397666,7.934002,1.879031,3.56741,0.989657,11246,0,0.173542,12.895572,1.283164,15
normalized-aim-200-2-0-3.xml.mzn_AND_NODATA,1,1,1,1.5,0.666667,0,0.500417,3.9975,2,2.665,1,800,0,0,6.73,0.919953,3
normalized-aim-100-2-0-sat-2_ext.xml.mzn_AND_NODATA,1,0.5,0.333333,1.333333,0.75,0.666667,0.667778,3.326667,2,2.495,1,600,0.5,0,5.166667,0.999928,3
normalized-bibd-7-42-18-3-6_glb.xml.mzn_AND_NODATA,1,1,1,0.809524,1.235294,0,0.8125,3.5,2,4.323529,1,2352,0,0,45.5,0.450352,42
normalized-aim-100-3-4-4.xml.mzn_AND_NODATA,1,1,1,2.2,0.454545,0,0.328964,6.095,2,2.770455,1,400,0,0,10.4,0.777218,3
normalized-5-fullins-4-6.xml.mzn_AND_NODATA,1,1,1,10.502304,0.095217,0,0.387044,21.004608,6,5.169925,2.584963,6510,0,0,21.004608,0,5.169925
normalized-army13-24ls.xml.mzn_AND_NODATA,1,1,1,1.504082,0.664858,0,0.269517,8.208163,2,5.457259,1,980,0,0,130.681633,2.055656,169
normalized-aim-200-1-6-1.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0,0.605083,3.3975,2,2.613462,1,800,0,0,5.64,0.962529,3
normalized-bibd-6-40-20-3-8_glb.xml.mzn_AND_NODATA,1,1,1,0.786905,1.270802,0,0.795918,3.428571,2,4.357035,1,1680,0,0,43.285714,0.529767,40
normalized-aim-200-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,0.500626,0.333333,1.331667,0.750939,0.666667,0.667778,3.326667,2,2.498123,1,1200,0.499374,0,5.146667,0.99999,3
normalized-bibd-6-70-35-3-14_glb.xml.mzn_AND_NODATA,1,1,1,0.77619,1.288344,0,0.795918,3.428571,2,4.417178,1,2940,0,0,73.285714,0.463471,70
normalized-aim-200-6-0-sat-3_ext.xml.mzn_AND_NODATA,1,0.252685,0.333333,2.638333,0.379027,0.666667,0.468796,7.24,2,2.744157,1,1200,0.747315,0,12.513333,0.820409,3
normalized-aim-50-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,0.5,0.333333,1.333333,0.75,0.666667,0.666667,3.333333,2,2.5,1,300,0.5,0,5.146667,1,3
normalized-bibd-7-35-15-3-5_glb.xml.mzn_AND_NODATA,1,1,1,0.814286,1.22807,0,0.8125,3.5,2,4.298246,1,1960,0,0,38.5,0.476702,35
normalized-bibd-9-36-12-3-3_glb.xml.mzn_AND_NODATA,1,1,1,0.85,1.176471,0,0.84,3.6,2,4.235294,1,3240,0,0,39.8,0.381056,36
normalized-bibd-7-63-27-3-9_glb.xml.mzn_AND_NODATA,1,1,1,0.801587,1.247525,0,0.8125,3.5,2,4.366337,1,3528,0,0,66.5,0.40181,63
normalized-bibd-8-42-21-4-9_glb.xml.mzn_AND_NODATA,1,1,1,0.829365,1.205742,0,0.82716,3.555556,2,4.287081,1,3024,0,0,45.666667,0.398056,42
normalized-bibd-16-16-6-6-2_glb.xml.mzn_AND_NODATA,1,1,1,0.952206,1.050193,0,0.896194,3.764706,2,3.953668,1,4352,0,0,20.294118,0.378336,16
normalized-bibd-6-100-50-3-20_glb.xml.mzn_AND_NODATA,1,1,1,0.771905,1.295497,0,0.795918,3.428571,2,4.441703,1,4200,0,0,103.285714,0.432721,100
normalized-ash958GPIA-4.xml.mzn_AND_NODATA,1,1,1,6.52714,0.153206,0,0.323664,13.05428,4,4,2,7664,0,0,13.05428,0,4
normalized-army11-17bt.xml.mzn_AND_NODATA,1,1,1,2.186486,0.457355,0,0.202985,11.775676,2,5.385661,1,740,0,0,99.372973,2.233478,121
normalized-bf-2670-001.xml.mzn_AND_NODATA,1,1,1,1.48995,0.671164,0,0.583881,3.349964,1.879397,2.226451,0.993736,5236,0,0.173282,4.313711,0.843055,5
normalized-anna-8.xml.mzn_AND_NODATA,1,1,1,3.572464,0.279919,0,3.011095,7.144928,8,6,3,1104,0,0,7.144928,0,6
normalized-bibd-13-26-6-3-1_glb.xml.mzn_AND_NODATA,1,1,1,0.906593,1.10303,0,0.877551,3.714286,2,4.09697,1,4732,0,0,30.142857,0.347084,26
normalized-bibd-7-77-33-3-11_glb.xml.mzn_AND_NODATA,1,1,1,0.798701,1.252033,0,0.8125,3.5,2,4.382114,1,4312,0,0,80.5,0.38232,77
normalized-bibd-7-28-12-3-4_glb.xml.mzn_AND_NODATA,1,1,1,0.821429,1.217391,0,0.8125,3.5,2,4.26087,1,1568,0,0,31.5,0.513185,28
