@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE FORALL_POS_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC
@ATTRIBUTE OCCP_OCCN NUMERIC
@ATTRIBUTE LITN_LIT NUMERIC
@ATTRIBUTE OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE POS_HORN NUMERIC
@ATTRIBUTE NEG_HORN_CLAUSE NUMERIC
@ATTRIBUTE TOTAL_VARS NUMERIC
@ATTRIBUTE EXIST_VARS NUMERIC
@ATTRIBUTE EXIST_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE WOCCEP_WOCC NUMERIC
@ATTRIBUTE WOCCN_WOCC NUMERIC
@ATTRIBUTE NEG_HORN NUMERIC
@ATTRIBUTE FORALL_VARS NUMERIC
@ATTRIBUTE LITEN_LITN NUMERIC
@ATTRIBUTE BINARY_CLAUSES NUMERIC

@DATA
aim-200-1_6-yes1-2-90-shuffled,1,0.360387,281,0.670829,0.598505,1.762467,1193,0.503351,762,562,1.760238,0.29806,0.642083,676,200,0.751748,1023
aim-200-1_6-yes1-4-90-shuffled,1,0.359643,282,0.6715,0.598265,1.757853,1188,0.509308,764,564,1.760238,0.298532,0.641736,684,200,0.752,1026
aim-200-2_0-yes1-2-90-shuffled,1,0.360961,322,0.669618,0.59894,1.971564,1469,0.504505,844,644,1.757958,0.287235,0.642685,840,200,0.750101,1266
aim-200-3_4-yes1-1-90-shuffled,1,0.367207,459.5,0.668675,0.599278,2.479893,2431,0.505586,1119,919,1.754595,0.264326,0.642646,1403,200,0.75012,2097
aim-200-3_4-yes1-4-90-shuffled,1,0.367398,461,0.668191,0.599452,2.475045,2453,0.50018,1122,922,1.753508,0.264035,0.642734,1390,200,0.75,2103
aim-50-1_6-yes1-1-00-shuffled,1,0.262821,114,0.692308,0.590909,1.683453,431,0.549145,278,228,1.824786,0.310489,0.64147,257,50,0.752959,387
aim-50-1_6-yes1-1-90-shuffled,1,0.369369,69,0.671371,0.598311,1.771277,296,0.501502,188,138,1.753754,0.296293,0.640967,167,50,0.754032,252
aim-50-1_6-yes1-2-00-shuffled,1,0.246253,114,0.692878,0.59071,1.679856,428,0.537473,278,228,1.82227,0.314491,0.64482,251,50,0.740356,387
aim-50-1_6-yes1-2-50-shuffled,1,0.288945,91,0.683849,0.593878,1.715517,359,0.515075,232,182,1.791457,0.308854,0.64513,205,50,0.738832,318
aim-50-1_6-yes1-3-00-shuffled,1,0.248927,114,0.693452,0.59051,1.676259,421,0.555794,278,228,1.824034,0.314658,0.643463,259,50,0.744048,387
aim-50-1_6-yes1-4-50-shuffled,1,0.31701,88,0.683099,0.594142,1.716814,352,0.525773,226,176,1.78866,0.303618,0.64006,204,50,0.755282,309
aim-50-1_6-yes1-4-90-shuffled,1,0.371601,69,0.672764,0.597813,1.760638,295,0.501511,188,138,1.752266,0.296774,0.639629,166,50,0.756098,252
aim-50-2_0-yes1-1-90-shuffled,1,0.363855,80,0.668821,0.599226,1.971429,363,0.510843,210,160,1.751807,0.286221,0.642692,212,50,0.749596,315
aim-50-2_0-yes1-2-50-shuffled,1,0.3159,101,0.680912,0.594915,1.896825,422,0.541841,252,202,1.786611,0.293625,0.64187,259,50,0.750712,378
aim-50-2_0-yes1-3-90-shuffled,1,0.362981,80,0.670968,0.598456,1.980952,366,0.504808,210,160,1.754808,0.287034,0.642265,210,50,0.75,315
aim-50-3_4-yes1-2-90-shuffled,1,0.366522,114,0.668919,0.59919,2.492806,604,0.505051,278,228,1.751804,0.264495,0.643054,350,50,0.748069,522
aim-50-3_4-yes1-3-90-shuffled,1,0.363506,115,0.669231,0.599078,2.485714,607,0.50431,280,230,1.752874,0.265072,0.643328,351,50,0.747115,525
aim-50-6_0-yes1-3-50-shuffled,1,0.358974,193.5,0.669533,0.59897,2.851259,1093,0.513622,437,387,1.757212,0.248316,0.642693,641,50,0.749597,953
aim-50-6_0-yes1-4-90-shuffled,1,0.371594,179,0.667402,0.599735,2.965686,1062,0.500413,408,358,1.749794,0.24556,0.642778,606,50,0.749586,912
biu.mv.xl_ao.bb-b001-p005-OPF05-c02.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-004-shuffled,1,0.090828,589,0.750112,0.571392,2.20125,4998,0.520317,3041,2945,2.151479,0.409161,0.583302,3483,96,0.931869,4462
biu.mv.xl_ao.bb-b001-p010-MIF04-c05.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,0.12517,1185.666667,0.750041,0.571415,2.495986,13732,0.508913,7349,7114,2.08292,0.399161,0.584612,9335,235,0.906117,12228
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,0,7543,0.700244,0.588151,1.369482,8796,0.581874,7543,7543,2.217683,0.411849,0.588151,6581,0,1,6886
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-007-shuffled,1,0.049117,155.347826,0.74272,0.573816,2.351526,25906,0.515498,14383,14292,2.213716,0.406458,0.584931,17695,91,0.962976,22608
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.018382,41.97561,0.731461,0.577547,1.478705,2082,0.564706,1761,1721,2.229412,0.421936,0.582333,1536,40,0.985955,1762
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,0.050611,67.024691,0.74122,0.57431,2.038119,8668,0.5274,5509,5429,2.200349,0.410014,0.585139,6044,80,0.961711,7538
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.046998,40.86,0.748054,0.572065,1.975149,6298,0.527745,4185,4086,2.215977,0.414163,0.585752,4413,99,0.964434,5576
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.049839,201.317241,0.746325,0.572631,2.578899,57332,0.50619,29335,29191,2.221992,0.405412,0.585036,38595,144,0.962512,50530
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.049241,89.69863,0.74823,0.572007,2.441961,24442,0.509098,13241,13096,2.223643,0.407409,0.586315,16563,145,0.962929,21652
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.054378,152.424893,0.749035,0.571744,2.670266,71893,0.502997,35747,35515,2.218494,0.40476,0.585429,48174,232,0.959132,63790
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.04504,41.807339,0.749726,0.571518,2.053591,7254,0.520087,4665,4557,2.224891,0.413397,0.586653,5023,108,0.965957,6458
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.016249,55.242424,0.733505,0.576866,1.534232,2247,0.551117,1855,1823,2.244414,0.417744,0.58547,1628,32,0.987629,1918
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-006-shuffled,1,0.045244,133.680412,0.745358,0.572948,2.384598,23669,0.510326,13063,12967,2.227045,0.406946,0.585938,16062,96,0.965926,20830
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.029851,34.254237,0.747278,0.572319,1.584416,2522,0.543881,2079,2021,2.239403,0.418829,0.585043,1822,58,0.977314,2234
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,0.049673,90.753425,0.749283,0.571663,2.457335,24801,0.508017,13395,13250,2.225375,0.407041,0.586496,16793,145,0.962622,22040
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.055938,127.452632,0.749142,0.571709,2.594878,47733,0.505901,24405,24216,2.214753,0.404849,0.585624,32151,189,0.957946,42344
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.037623,25.137931,0.759106,0.568471,1.613726,2741,0.537077,2273,2187,2.242094,0.421049,0.585096,1970,86,0.97144,2502
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.057064,142.669565,0.750953,0.571117,2.749279,102159,0.500587,49565,49221,2.217513,0.404158,0.585613,68214,344,0.957148,91074
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-003-shuffled,1,0.073596,652,0.750131,0.571386,2.094995,4307,0.514998,2737,2608,2.185909,0.416762,0.585659,2953,129,0.944793,3822
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-004-shuffled,1,0.05735,59.561798,0.739896,0.574747,1.997402,8324,0.524501,5389,5301,2.182214,0.408155,0.586126,5780,88,0.956558,7234
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,0.053099,189.246753,0.745819,0.572797,2.569751,57089,0.505029,29297,29144,2.214083,0.404406,0.585349,38358,153,0.960047,50292
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.050238,37.576271,0.749346,0.571642,2.014063,6939,0.51707,4551,4434,2.211322,0.412291,0.587556,4786,117,0.961985,6188
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,0.061688,70.040816,0.749694,0.571528,2.465704,25851,0.505452,13923,13728,2.200348,0.405516,0.586671,17428,195,0.953551,23016
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.054383,37.767857,0.748263,0.571996,1.984335,6553,0.526159,4341,4230,2.200321,0.412357,0.586242,4586,111,0.958826,5816
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.064824,69.247312,0.749201,0.57169,2.440566,24069,0.51017,13065,12880,2.192725,0.405371,0.586116,16354,185,0.951175,21380
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.06941,120.185185,0.749572,0.571568,2.676058,72483,0.503655,35991,35695,2.188702,0.402091,0.585311,48646,296,0.947826,64406
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.070741,154.892183,0.749675,0.571535,2.748267,119519,0.501827,57835,57465,2.187449,0.401122,0.584965,79934,370,0.946854,106210
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.057153,147.007782,0.749009,0.571752,2.681284,76800,0.503088,38037,37781,2.212761,0.404089,0.585506,51486,256,0.957044,68162
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.045529,20.06422,0.761487,0.567702,1.588671,2714,0.53401,2295,2187,2.222161,0.422183,0.584687,1947,108,0.96533,2502
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.055619,34.067485,0.755027,0.569792,2.155031,9204,0.513884,5715,5553,2.213219,0.412236,0.587385,6329,162,0.958006,8318
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.066565,141.184805,0.750948,0.571119,2.792484,144924,0.499798,69243,68757,2.198521,0.402151,0.585308,96641,486,0.950013,129230
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,0.115635,1513.166667,0.750032,0.571418,2.542839,17857,0.503302,9349,9079,2.102006,0.398862,0.585457,11965,270,0.91327,15848
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,0,7183,0.683448,0.594019,1.220938,7796,0.599495,7183,7183,2.179818,0.405981,0.594019,5941,0,1,5846
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-002-shuffled,1,0.021311,38.302326,0.722922,0.580409,1.359384,1880,0.57623,1689,1647,2.2,0.422199,0.58203,1406,42,0.983627,1558
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-009-shuffled,1,0.072795,138.389474,0.745666,0.572847,2.536948,51067,0.508388,26483,26294,2.173129,0.401154,0.584823,34486,189,0.945195,44916
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.053165,45.268657,0.732984,0.577039,1.716683,4211,0.54358,3099,3033,2.168174,0.413439,0.583739,3006,66,0.959493,3590
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.015498,57.413793,0.714286,0.583333,1.346722,1901,0.583605,1693,1665,2.200653,0.419914,0.582393,1431,28,0.988095,1538
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.064094,68.761364,0.74806,0.572063,2.40303,22353,0.51154,12277,12102,2.191306,0.405746,0.586046,15204,175,0.951696,19784
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.059011,35.678899,0.746182,0.572678,1.931449,5917,0.528422,3997,3889,2.184553,0.413394,0.58528,4146,108,0.955248,5218
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.053035,16.878261,0.76416,0.566842,1.523114,2337,0.542173,2055,1941,2.202556,0.42764,0.581699,1697,114,0.959473,2162
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.067691,28.069767,0.756245,0.569396,2.095219,7839,0.516708,4999,4828,2.186939,0.413817,0.586019,5412,171,0.948809,7096
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-007-shuffled,1,0.151751,2118.5,0.750016,0.571423,2.675102,34830,0.501541,17347,16948,2.029803,0.38808,0.584729,23274,399,0.886184,30936
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-003-shuffled,1,0.037722,62.346939,0.729675,0.578143,1.637125,4028,0.523387,3103,3055,2.195775,0.409469,0.588681,2775,48,0.971273,3418
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-006-shuffled,1,0.050159,123.907216,0.742455,0.573903,2.306727,21383,0.505741,12115,12019,2.209863,0.405191,0.586661,14358,96,0.962168,18694
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-008-shuffled,1,0.052765,167.403101,0.744772,0.573141,2.485384,41053,0.50273,21723,21595,2.211755,0.404261,0.585893,27440,128,0.960271,36078
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,0.059641,172.669291,0.74363,0.573516,2.448062,41223,0.505357,22055,21929,2.195378,0.402771,0.585549,27640,126,0.955073,36078
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,0.051531,61.677686,0.746566,0.572552,2.207306,12724,0.50721,7583,7463,2.210968,0.407292,0.58811,8583,120,0.961106,11238
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-007-shuffled,1,0.05711,121.985782,0.748495,0.571921,2.596324,50824,0.500827,25949,25739,2.210683,0.404055,0.586249,33903,210,0.957049,45054
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,0.064395,55.043011,0.740514,0.574543,1.992324,8020,0.522971,5211,5119,2.168518,0.407854,0.585655,5555,92,0.951213,6982
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.085862,133.822511,0.746897,0.572444,2.581318,60868,0.505087,31143,30913,2.149821,0.398319,0.584612,40907,230,0.935391,53746
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,0.060657,51.866242,0.749803,0.571493,2.298831,14386,0.508233,8299,8143,2.198749,0.407799,0.586975,9753,156,0.954252,12822
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.068674,101.072993,0.749903,0.57146,2.637466,55453,0.501852,27967,27694,2.189973,0.402748,0.585687,37116,273,0.948364,49356
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.069886,117.888179,0.749918,0.571455,2.688829,75190,0.500977,37211,36899,2.188496,0.401984,0.585422,50237,312,0.947474,66910
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.070803,134.795455,0.749928,0.571452,2.72763,97951,0.500329,47799,47448,2.187354,0.401407,0.585208,65358,351,0.9468,87152
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.071521,151.767263,0.749936,0.571449,2.757931,123736,0.49983,59731,59341,2.186445,0.400955,0.585033,82479,390,0.946272,110082
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.04318,22.413333,0.746906,0.572441,1.375499,1869,0.547215,1755,1681,2.19209,0.422778,0.584075,1356,74,0.966894,1658
