@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 8'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE FORALL_POS_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC
@ATTRIBUTE OCCP_OCCN NUMERIC
@ATTRIBUTE LITN_LIT NUMERIC
@ATTRIBUTE OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE POS_HORN NUMERIC
@ATTRIBUTE NEG_HORN_CLAUSE NUMERIC
@ATTRIBUTE TOTAL_VARS NUMERIC

@DATA
aim-200-2_0-yes1-2-90-shuffled,1,0.360961,322,0.669618,0.59894,1.971564,1469,0.504505,844
aim-200-3_4-yes1-1-90-shuffled,1,0.367207,459.5,0.668675,0.599278,2.479893,2431,0.505586,1119
aim-200-3_4-yes1-4-90-shuffled,1,0.367398,461,0.668191,0.599452,2.475045,2453,0.50018,1122
aim-50-1_6-yes1-1-00-shuffled,1,0.262821,114,0.692308,0.590909,1.683453,431,0.549145,278
aim-50-1_6-yes1-1-90-shuffled,1,0.369369,69,0.671371,0.598311,1.771277,296,0.501502,188
aim-50-1_6-yes1-2-00-shuffled,1,0.246253,114,0.692878,0.59071,1.679856,428,0.537473,278
aim-50-1_6-yes1-2-50-shuffled,1,0.288945,91,0.683849,0.593878,1.715517,359,0.515075,232
aim-50-1_6-yes1-3-00-shuffled,1,0.248927,114,0.693452,0.59051,1.676259,421,0.555794,278
aim-50-1_6-yes1-4-50-shuffled,1,0.31701,88,0.683099,0.594142,1.716814,352,0.525773,226
aim-50-1_6-yes1-4-90-shuffled,1,0.371601,69,0.672764,0.597813,1.760638,295,0.501511,188
aim-50-2_0-yes1-1-90-shuffled,1,0.363855,80,0.668821,0.599226,1.971429,363,0.510843,210
aim-50-2_0-yes1-2-50-shuffled,1,0.3159,101,0.680912,0.594915,1.896825,422,0.541841,252
aim-50-2_0-yes1-3-90-shuffled,1,0.362981,80,0.670968,0.598456,1.980952,366,0.504808,210
aim-50-3_4-yes1-2-90-shuffled,1,0.366522,114,0.668919,0.59919,2.492806,604,0.505051,278
aim-50-3_4-yes1-3-90-shuffled,1,0.363506,115,0.669231,0.599078,2.485714,607,0.50431,280
aim-50-6_0-yes1-3-50-shuffled,1,0.358974,193.5,0.669533,0.59897,2.851259,1093,0.513622,437
aim-50-6_0-yes1-4-90-shuffled,1,0.371594,179,0.667402,0.599735,2.965686,1062,0.500413,408
biu.mv.xl_ao.bb-b001-p005-OPF05-c02.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-004-shuffled,1,0.090828,589,0.750112,0.571392,2.20125,4998,0.520317,3041
biu.mv.xl_ao.bb-b001-p010-MIF04-c05.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,0.12517,1185.666667,0.750041,0.571415,2.495986,13732,0.508913,7349
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,0,7543,0.700244,0.588151,1.369482,8796,0.581874,7543
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-007-shuffled,1,0.049117,155.347826,0.74272,0.573816,2.351526,25906,0.515498,14383
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.018382,41.97561,0.731461,0.577547,1.478705,2082,0.564706,1761
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,0.050611,67.024691,0.74122,0.57431,2.038119,8668,0.5274,5509
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.046998,40.86,0.748054,0.572065,1.975149,6298,0.527745,4185
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.049839,201.317241,0.746325,0.572631,2.578899,57332,0.50619,29335
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.049241,89.69863,0.74823,0.572007,2.441961,24442,0.509098,13241
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.054378,152.424893,0.749035,0.571744,2.670266,71893,0.502997,35747
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.04504,41.807339,0.749726,0.571518,2.053591,7254,0.520087,4665
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.016249,55.242424,0.733505,0.576866,1.534232,2247,0.551117,1855
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-006-shuffled,1,0.045244,133.680412,0.745358,0.572948,2.384598,23669,0.510326,13063
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.029851,34.254237,0.747278,0.572319,1.584416,2522,0.543881,2079
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,0.049673,90.753425,0.749283,0.571663,2.457335,24801,0.508017,13395
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.055938,127.452632,0.749142,0.571709,2.594878,47733,0.505901,24405
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.037623,25.137931,0.759106,0.568471,1.613726,2741,0.537077,2273
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.057064,142.669565,0.750953,0.571117,2.749279,102159,0.500587,49565
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-003-shuffled,1,0.073596,652,0.750131,0.571386,2.094995,4307,0.514998,2737
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-004-shuffled,1,0.05735,59.561798,0.739896,0.574747,1.997402,8324,0.524501,5389
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,0.053099,189.246753,0.745819,0.572797,2.569751,57089,0.505029,29297
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.050238,37.576271,0.749346,0.571642,2.014063,6939,0.51707,4551
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,0.061688,70.040816,0.749694,0.571528,2.465704,25851,0.505452,13923
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.054383,37.767857,0.748263,0.571996,1.984335,6553,0.526159,4341
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.064824,69.247312,0.749201,0.57169,2.440566,24069,0.51017,13065
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.06941,120.185185,0.749572,0.571568,2.676058,72483,0.503655,35991
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.070741,154.892183,0.749675,0.571535,2.748267,119519,0.501827,57835
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.057153,147.007782,0.749009,0.571752,2.681284,76800,0.503088,38037
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.045529,20.06422,0.761487,0.567702,1.588671,2714,0.53401,2295
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.055619,34.067485,0.755027,0.569792,2.155031,9204,0.513884,5715
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.066565,141.184805,0.750948,0.571119,2.792484,144924,0.499798,69243
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,0.115635,1513.166667,0.750032,0.571418,2.542839,17857,0.503302,9349
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,0,7183,0.683448,0.594019,1.220938,7796,0.599495,7183
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-002-shuffled,1,0.021311,38.302326,0.722922,0.580409,1.359384,1880,0.57623,1689
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-009-shuffled,1,0.072795,138.389474,0.745666,0.572847,2.536948,51067,0.508388,26483
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.053165,45.268657,0.732984,0.577039,1.716683,4211,0.54358,3099
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.015498,57.413793,0.714286,0.583333,1.346722,1901,0.583605,1693
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.064094,68.761364,0.74806,0.572063,2.40303,22353,0.51154,12277
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.059011,35.678899,0.746182,0.572678,1.931449,5917,0.528422,3997
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.053035,16.878261,0.76416,0.566842,1.523114,2337,0.542173,2055
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.067691,28.069767,0.756245,0.569396,2.095219,7839,0.516708,4999
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-007-shuffled,1,0.151751,2118.5,0.750016,0.571423,2.675102,34830,0.501541,17347
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-003-shuffled,1,0.037722,62.346939,0.729675,0.578143,1.637125,4028,0.523387,3103
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-006-shuffled,1,0.050159,123.907216,0.742455,0.573903,2.306727,21383,0.505741,12115
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-008-shuffled,1,0.052765,167.403101,0.744772,0.573141,2.485384,41053,0.50273,21723
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,0.059641,172.669291,0.74363,0.573516,2.448062,41223,0.505357,22055
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,0.051531,61.677686,0.746566,0.572552,2.207306,12724,0.50721,7583
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-007-shuffled,1,0.05711,121.985782,0.748495,0.571921,2.596324,50824,0.500827,25949
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,0.064395,55.043011,0.740514,0.574543,1.992324,8020,0.522971,5211
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.085862,133.822511,0.746897,0.572444,2.581318,60868,0.505087,31143
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,0.060657,51.866242,0.749803,0.571493,2.298831,14386,0.508233,8299
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.068674,101.072993,0.749903,0.57146,2.637466,55453,0.501852,27967
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.069886,117.888179,0.749918,0.571455,2.688829,75190,0.500977,37211
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.070803,134.795455,0.749928,0.571452,2.72763,97951,0.500329,47799
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.071521,151.767263,0.749936,0.571449,2.757931,123736,0.49983,59731
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.04318,22.413333,0.746906,0.572441,1.375499,1869,0.547215,1755
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.059374,34.571429,0.748494,0.571921,1.933718,5862,0.52257,3983
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.075033,94.138462,0.749563,0.571571,2.602547,48482,0.504025,24735
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.058414,32.3875,0.755357,0.569685,2.12507,8481,0.510661,5341
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-006-shuffled,1,0.067441,82.009404,0.751715,0.570869,2.649269,52551,0.501297,26479
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-008-shuffled,1,0.133358,2735.666667,0.750011,0.571425,2.736275,51396,0.499912,25045
BLOCKS3i.5.3-shuffled,1,0.049447,141,0.647492,0.606983,12.594406,1989,0.44018,286
BLOCKS3ii.5.2-shuffled,1,0.052826,139,0.569954,0.636961,9.592199,2044,0.494644,282
BLOCKS3iii.5-shuffled,1,0.077929,126,0.421973,0.703248,4.996094,1679,0.413624,256
BLOCKS4ii.7.2-shuffled,1,0.117033,454,0.442981,0.69301,13.602186,12262,0.354157,915
BLOCKS4iii.7-shuffled,1,0.155799,424,0.307068,0.765071,7.433918,10635,0.251172,855
blocks_enc_2_b3_ser--opt-9_-shuffled,1,0.074396,222,0.432458,0.698101,9.261161,4472,0.466005,448
blocks_enc_2_b4_ser--opt-26_-shuffled,1,0.103973,1518,0.309212,0.763818,11.868551,54618,0.309172,3043
c1_BMC_p1_k2048-shuffled,1,0.033579,1101387,0.950659,0.512647,2.816883,4602842,0.790047,2202778
c1_BMC_p2_k1024-shuffled,1,0.066083,556139,0.95266,0.512122,2.913312,2302874,0.77792,1112282
c1_BMC_p2_k128-shuffled,1,0.431892,79047,0.969804,0.507665,4.088913,290402,0.641429,158098
c1_BMC_p2_k8-shuffled,1,0.783066,14328,0.984751,0.503841,5.669493,41747,0.448856,28659
c2_Debug_s5_f1_e1_v3-shuffled,1,2.874489,21446,0.971799,0.507151,16.391092,38731,0.101979,64348
c3_BMC_p1_k256-shuffled,1,0.323326,24963.5,1.050977,0.487572,4.03651,73224,0.634249,49931
c3_BMC_p2_k1024-shuffled,1,0.091591,92043.5,1.068689,0.483398,3.30486,290808,0.714365,184091
c3_BMC_p2_k2048-shuffled,1,0.046834,181483.5,1.072911,0.482413,3.170664,580920,0.729838,362971
c3_BMC_p2_k512-shuffled,1,0.175399,47323.5,1.06156,0.48507,3.562171,145752,0.68539,94651
c3_Debug_s3_f2_e2_v2-shuffled,1,0.007205,289060.5,0.476536,0.677261,5.093693,3118513,0.025715,578132
C432.blif_0.10_0.20_0_0_out_exact-shuffled,1,0.015983,278,0.829539,0.546586,2.630282,1057,0.638638,568
C432.blif_0.10_0.20_0_1_out_exact-shuffled,1,0.015961,278.5,0.830744,0.546226,2.630931,1058,0.639139,569
C432.blif_0.10_1.00_0_0_out_exact-shuffled,1,0.001289,296,0.823258,0.548469,2.709949,1146,0.640232,593
C432.blif_0.10_1.00_0_1_inp_exact-shuffled,1,0.001288,296.5,0.824373,0.548134,2.710438,1147,0.641339,594
C499.blif_0.10_0.20_0_0_inp_exact,1,0.015643,89.4,0.889582,0.529218,3.147903,1780,0.754791,906
C499.blif_0.10_0.20_0_0_out_exact,1,0.013372,413,0.888705,0.529463,3.201671,1644,0.749687,838
C499.blif_0.10_0.20_0_1_out_exact,1,0.013372,413,0.889331,0.529288,3.202864,1644,0.749687,838
C499.blif_0.10_1.00_0_0_inp_exact-shuffled,1,0.001547,446,0.884462,0.530655,3.231803,1786,0.7471,893
C499.blif_0.10_1.00_0_0_out_exact-shuffled,1,0.001552,444,0.884178,0.530735,3.237345,1778,0.746315,889
c4_BMC_p1_k1024-shuffled,1,0.071273,8390,1.049428,0.487941,2.914502,24622,0.712275,16784
c4_BMC_p1_k2048-shuffled,1,0.036263,16614,1.051749,0.487389,2.818157,49198,0.724213,33232
c4_BMC_p1_k512-shuffled,1,0.137783,4278,1.04536,0.488912,3.101519,12334,0.689598,8560
c4_BMC_p2_k2048-shuffled,1,0.036263,16614,1.051749,0.487389,2.818157,49198,0.724213,33232
c4_Debug_s3_f1_e1_v3-shuffled,1,5.989524,25156.5,0.967399,0.508285,76.384183,1388,0.001866,50325
c4_Debug_s3_f1_e2_v3-shuffled,1,5.989524,25156.5,0.967404,0.508284,76.384362,1387,0.001868,50325
c4_Debug_s3_f2_e1_v3-shuffled,1,0.078323,27181.5,0.379015,0.725155,8.395476,623110,0.106721,54375
C5315.blif_0.10_0.20_0_0_inp_exact-shuffled,1,0.028519,337.5,0.796455,0.556652,2.71348,11468,0.592788,5497
C5315.blif_0.10_0.20_0_0_out_exact-shuffled,1,0.027762,2614.5,0.793211,0.557659,2.734222,11137,0.585606,5324
C5315.blif_0.10_0.20_0_1_inp_exact-shuffled,1,0.028515,337.5625,0.796476,0.556645,2.71335,11469,0.592775,5498
C5315.blif_0.10_0.20_0_1_out_exact-shuffled,1,0.027758,2615,0.793233,0.557652,2.734085,11138,0.585594,5325
C5315.blif_0.10_1.00_0_0_inp_exact-shuffled,1,0.000131,2802.5,0.793665,0.557518,2.774924,11925,0.585095,5607
C5315.blif_0.10_1.00_0_0_out_exact-shuffled,1,0.000131,2801.5,0.793622,0.557531,2.775201,11921,0.584986,5605
C5315.blif_0.10_1.00_0_1_inp_exact-shuffled,1,0.000131,2802.5,0.793756,0.557489,2.775103,11924,0.585161,5607
c5_BMC_p1_k32-shuffled,1,0.664117,16467.5,0.969852,0.507652,5.344273,53822,0.537325,32939
C6288.blif_0.10_0.20_0_0_out_exact-shuffled,1,0.006184,2285,0.756192,0.569414,2.950388,9458,0.374071,4636
C6288.blif_0.10_1.00_0_0_inp_exact-shuffled,1,0.003172,2337,0.756691,0.569252,2.966653,9667,0.375505,4708
C6288.blif_0.10_1.00_0_1_inp_exact-shuffled,1,0.003171,2337.5,0.756812,0.569213,2.96666,9668,0.375595,4709
C6288.blif_0.10_1.00_0_1_out_exact-shuffled,1,0.003203,2310.5,0.756247,0.569396,2.971214,9554,0.373353,4655
c6_BMC_p1_k1024-shuffled,1,0.031982,67844,0.943641,0.514498,3.008792,290614,0.755096,135692
c6_BMC_p1_k256-shuffled,1,0.122244,17468,0.949615,0.512922,3.288294,72790,0.722999,34940
