@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_table_count NUMERIC
@ATTRIBUTE stats_edge_density NUMERIC
@ATTRIBUTE stats_varcount NUMERIC
@ATTRIBUTE stats_branchingvars NUMERIC
@ATTRIBUTE stats_var_discrete NUMERIC
@ATTRIBUTE stats_arity_mean_normalised NUMERIC
@ATTRIBUTE stats_cts_per_var_mean_normalised NUMERIC
@ATTRIBUTE stats_conscount NUMERIC
@ATTRIBUTE normalised_width_of_graph NUMERIC
@ATTRIBUTE stats_cts_per_var_mean NUMERIC
@ATTRIBUTE normalised_mean_degree NUMERIC
@ATTRIBUTE clustering_coefficient NUMERIC
@ATTRIBUTE normalised_median_degree NUMERIC
@ATTRIBUTE normalised_width_of_ordering NUMERIC
@ATTRIBUTE stats_tightness_0 NUMERIC
@ATTRIBUTE stats_Local_Variance NUMERIC

@DATA
2-fullins-4-5.xml.watchless.minion.gz,1,0,0.072476,212,212,212,0.009434,0.009434,1621,0.04717,15.292453,0.072134,0.021882,0.061321,0.259434,184,0.205428
2-fullins-4-6.xml.watchless.minion.gz,1,0,0.072476,212,212,212,0.009434,0.009434,1621,0.04717,15.292453,0.072134,0.021882,0.061321,0.259434,169,0.205428
2-fullins-5-4.xml.watchless.minion.gz,1,0,0.033656,852,852,852,0.002347,0.002347,12201,0.021127,28.640845,0.033616,0.007851,0.029343,0.252347,263,0.122158
2-fullins-5-5.xml.watchless.minion.gz,1,0,0.033656,852,852,852,0.002347,0.002347,12201,0.021127,28.640845,0.033616,0.007851,0.029343,0.252347,184,0.122158
2-fullins-5-6.xml.watchless.minion.gz,1,0,0.033656,852,852,852,0.002347,0.002347,12201,0.021127,28.640845,0.033616,0.007851,0.029343,0.252347,169,0.122158
2-fullins-5-7.xml.watchless.minion.gz,1,0,0.033656,852,852,852,0.002347,0.002347,12201,0.021127,28.640845,0.033616,0.007851,0.029343,0.252347,154,0.122158
2-insertions-3-3.xml.watchless.minion.gz,1,0,0.108108,37,37,37,0.054054,0.054054,72,0.081081,3.891892,0.105186,0,0.108108,0.243243,324,0.458347
2-insertions-3-4.xml.watchless.minion.gz,1,0,0.108108,37,37,37,0.054054,0.054054,72,0.081081,3.891892,0.105186,0,0.108108,0.243243,263,0.458347
2-insertions-4-3.xml.watchless.minion.gz,1,0,0.049066,149,149,149,0.013423,0.013423,541,0.033557,7.261745,0.048737,0,0.053691,0.248322,324,0.340533
2-insertions-4-4.xml.watchless.minion.gz,1,0,0.049066,149,149,149,0.013423,0.013423,541,0.033557,7.261745,0.048737,0,0.053691,0.248322,263,0.340533
2-insertions-4-5.xml.watchless.minion.gz,1,0,0.049066,149,149,149,0.013423,0.013423,541,0.033557,7.261745,0.048737,0,0.053691,0.248322,184,0.340533
2-insertions-5-3.xml.watchless.minion.gz,1,0,0.022124,597,597,597,0.00335,0.00335,3936,0.015075,13.18593,0.022087,0,0.020101,0.249581,324,0.229052
2-insertions-5-4.xml.watchless.minion.gz,1,0,0.022124,597,597,597,0.00335,0.00335,3936,0.015075,13.18593,0.022087,0,0.020101,0.249581,263,0.229052
2-insertions-5-5.xml.watchless.minion.gz,1,0,0.022124,597,597,597,0.00335,0.00335,3936,0.015075,13.18593,0.022087,0,0.020101,0.249581,184,0.229052
2-insertions-5-6.xml.watchless.minion.gz,1,0,0.022124,597,597,597,0.00335,0.00335,3936,0.015075,13.18593,0.022087,0,0.020101,0.249581,169,0.229052
3-fullins-3-5.xml.watchless.minion.gz,1,0,0.109494,80,80,80,0.025,0.025,346,0.075,8.65,0.108125,0.051742,0.0875,0.2375,184,0.3083
3-fullins-3-6.xml.watchless.minion.gz,1,0,0.109494,80,80,80,0.025,0.025,346,0.075,8.65,0.108125,0.051742,0.0875,0.2375,169,0.3083
3-fullins-4-5.xml.watchless.minion.gz,1,0,0.043075,405,405,405,0.004938,0.004938,3524,0.02716,17.402469,0.042969,0.01485,0.037037,0.207407,184,0.185323
3-fullins-4-6.xml.watchless.minion.gz,1,0,0.043075,405,405,405,0.004938,0.004938,3524,0.02716,17.402469,0.042969,0.01485,0.037037,0.207407,169,0.185323
3-fullins-4-7.xml.watchless.minion.gz,1,0,0.043075,405,405,405,0.004938,0.004938,3524,0.02716,17.402469,0.042969,0.01485,0.037037,0.207407,154,0.185323
3-fullins-5-5.xml.watchless.minion.gz,1,0,0.016388,2030,2030,2030,0.000985,0.000985,33751,0.010345,33.252217,0.01638,0.004678,0.014286,0.201478,184,0.10708
3-fullins-5-6.xml.watchless.minion.gz,1,0,0.016388,2030,2030,2030,0.000985,0.000985,33751,0.010345,33.252217,0.01638,0.004678,0.014286,0.201478,169,0.10708
3-fullins-5-7.xml.watchless.minion.gz,1,0,0.016388,2030,2030,2030,0.000985,0.000985,33751,0.010345,33.252217,0.01638,0.004678,0.014286,0.201478,154,0.10708
3-fullins-5-8.xml.watchless.minion.gz,1,0,0.016388,2030,2030,2030,0.000985,0.000985,33751,0.010345,33.252217,0.01638,0.004678,0.014286,0.201478,136,0.10708
3-insertions-3-3.xml.watchless.minion.gz,1,0,0.071429,56,56,56,0.035714,0.035714,110,0.053571,3.928571,0.070153,0,0.071429,0.196429,324,0.453656
3-insertions-3-4.xml.watchless.minion.gz,1,0,0.071429,56,56,56,0.035714,0.035714,110,0.053571,3.928571,0.070153,0,0.071429,0.196429,263,0.453656
3-insertions-4-3.xml.watchless.minion.gz,1,0,0.026589,281,281,281,0.007117,0.007117,1046,0.017794,7.44484,0.026494,0,0.02847,0.199288,324,0.334833
3-insertions-4-4.xml.watchless.minion.gz,1,0,0.026589,281,281,281,0.007117,0.007117,1046,0.017794,7.44484,0.026494,0,0.02847,0.199288,263,0.334833
3-insertions-4-5.xml.watchless.minion.gz,1,0,0.026589,281,281,281,0.007117,0.007117,1046,0.017794,7.44484,0.026494,0,0.02847,0.199288,184,0.334833
3-insertions-5-3.xml.watchless.minion.gz,1,0,0.009816,1406,1406,1406,0.001422,0.001422,9695,0.006401,13.790896,0.009809,0,0.01138,0.199858,324,0.221368
3-insertions-5-4.xml.watchless.minion.gz,1,0,0.009816,1406,1406,1406,0.001422,0.001422,9695,0.006401,13.790896,0.009809,0,0.01138,0.199858,263,0.221368
3-insertions-5-5.xml.watchless.minion.gz,1,0,0.009816,1406,1406,1406,0.001422,0.001422,9695,0.006401,13.790896,0.009809,0,0.01138,0.199858,184,0.221368
3-insertions-5-6.xml.watchless.minion.gz,1,0,0.009816,1406,1406,1406,0.001422,0.001422,9695,0.006401,13.790896,0.009809,0,0.01138,0.199858,169,0.221368
4-fullins-3-6.xml.watchless.minion.gz,1,0,0.083993,114,114,114,0.017544,0.017544,541,0.061404,9.491228,0.083256,0.044685,0.061404,0.201754,169,0.289676
4-fullins-3-7.xml.watchless.minion.gz,1,0,0.083993,114,114,114,0.017544,0.017544,541,0.061404,9.491228,0.083256,0.044685,0.061404,0.201754,154,0.289676
4-fullins-4-6.xml.watchless.minion.gz,1,0,0.027976,690,690,690,0.002899,0.002899,6650,0.018841,19.275362,0.027935,0.011068,0.021739,0.172464,169,0.170563
4-fullins-4-7.xml.watchless.minion.gz,1,0,0.027976,690,690,690,0.002899,0.002899,6650,0.018841,19.275362,0.027935,0.011068,0.021739,0.172464,154,0.170563
4-fullins-4-8.xml.watchless.minion.gz,1,0,0.027976,690,690,690,0.002899,0.002899,6650,0.018841,19.275362,0.027935,0.011068,0.021739,0.172464,136,0.170563
4-fullins-5-5.xml.watchless.minion.gz,1,0,0.008997,4146,4146,4146,0.000482,0.000482,77305,0.00603,37.291365,0.008995,0.003157,0.007477,0.167631,184,0.27407
4-fullins-5-6.xml.watchless.minion.gz,1,0,0.008997,4146,4146,4146,0.000482,0.000482,77305,0.00603,37.291365,0.008995,0.003157,0.007477,0.167631,169,0.27407
4-fullins-5-7.xml.watchless.minion.gz,1,0,0.008997,4146,4146,4146,0.000482,0.000482,77305,0.00603,37.291365,0.008995,0.003157,0.007477,0.167631,154,0.27407
4-fullins-5-8.xml.watchless.minion.gz,1,0,0.008997,4146,4146,4146,0.000482,0.000482,77305,0.00603,37.291365,0.008995,0.003157,0.007477,0.167631,136,0.27407
4-insertions-3-3.xml.watchless.minion.gz,1,0,0.050633,79,79,79,0.025316,0.025316,156,0.037975,3.949367,0.049992,0,0.050633,0.164557,324,0.450984
4-insertions-3-4.xml.watchless.minion.gz,1,0,0.050633,79,79,79,0.025316,0.025316,156,0.037975,3.949367,0.049992,0,0.050633,0.164557,263,0.450984
4-insertions-4-3.xml.watchless.minion.gz,1,0,0.015945,475,475,475,0.004211,0.004211,1795,0.010526,7.557895,0.015911,0,0.016842,0.166316,324,0.331519
4-insertions-4-4.xml.watchless.minion.gz,1,0,0.015945,475,475,475,0.004211,0.004211,1795,0.010526,7.557895,0.015911,0,0.016842,0.166316,263,0.331519
4-insertions-4-5.xml.watchless.minion.gz,1,0,0.015945,475,475,475,0.004211,0.004211,1795,0.010526,7.557895,0.015911,0,0.016842,0.166316,184,0.331519
5-fullins-3-6.xml.watchless.minion.gz,1,0,0.067227,154,154,154,0.012987,0.012987,792,0.051948,10.285714,0.06679,0.039801,0.045455,0.175325,169,0.274114
5-fullins-3-7.xml.watchless.minion.gz,1,0,0.067227,154,154,154,0.012987,0.012987,792,0.051948,10.285714,0.06679,0.039801,0.045455,0.175325,154,0.274114
5-fullins-3-8.xml.watchless.minion.gz,1,0,0.067227,154,154,154,0.012987,0.012987,792,0.051948,10.285714,0.06679,0.039801,0.045455,0.175325,136,0.274114
5-fullins-4-6.xml.watchless.minion.gz,1,0,0.019377,1085,1085,1085,0.001843,0.001843,11395,0.013825,21.004608,0.019359,0.008712,0.013825,0.147465,169,0.158896
5-fullins-4-7.xml.watchless.minion.gz,1,0,0.019377,1085,1085,1085,0.001843,0.001843,11395,0.013825,21.004608,0.019359,0.008712,0.013825,0.147465,154,0.158896
5-fullins-4-8.xml.watchless.minion.gz,1,0,0.019377,1085,1085,1085,0.001843,0.001843,11395,0.013825,21.004608,0.019359,0.008712,0.013825,0.147465,136,0.158896
5-fullins-4-9.xml.watchless.minion.gz,1,0,0.019377,1085,1085,1085,0.001843,0.001843,11395,0.013825,21.004608,0.019359,0.008712,0.013825,0.147465,96,0.158896
abb313GPIA-10.xml.watchless.minion.gz,1,0,0.044047,1557,1557,1557,0.001285,0.001285,65390,0.043674,83.994862,0.044019,0.440231,0.041105,0.076429,104,1.089224
abb313GPIA-5.xml.watchless.minion.gz,1,0,0.044047,1557,1557,1557,0.001285,0.001285,65390,0.043674,83.994862,0.044019,0.440231,0.041105,0.076429,184,1.089224
abb313GPIA-7.xml.watchless.minion.gz,1,0,0.044047,1557,1557,1557,0.001285,0.001285,65390,0.043674,83.994862,0.044019,0.440231,0.041105,0.076429,154,1.089224
abb313GPIA-8.xml.watchless.minion.gz,1,0,0.044047,1557,1557,1557,0.001285,0.001285,65390,0.043674,83.994862,0.044019,0.440231,0.041105,0.076429,136,1.089224
abb313GPIA-9.xml.watchless.minion.gz,1,0,0.044047,1557,1557,1557,0.001285,0.001285,65390,0.043674,83.994862,0.044019,0.440231,0.041105,0.076429,96,1.089224
aim-100-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,154,0.071919,100,100,100,0.029935,0.029935,154,0.05,4.61,0.0712,0.300758,0.07,0.11,114,0.796046
aim-100-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,156,0.071717,100,100,100,0.029936,0.029936,156,0.05,4.67,0.071,0.291397,0.07,0.09,114,0.795805
aim-100-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,156,0.074141,100,100,100,0.03,0.03,156,0.05,4.68,0.0734,0.292261,0.07,0.09,114,0.795776
aim-100-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,157,0.073333,100,100,100,0.03,0.03,157,0.05,4.71,0.0726,0.283001,0.07,0.11,114,0.795656
aim-100-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,157,0.082828,100,100,100,0.03,0.03,157,0.06,4.71,0.082,0.256906,0.08,0.13,114,0.795656
aim-100-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,150,0.078788,100,100,100,0.029867,0.029867,150,0.05,4.48,0.078,0.244708,0.08,0.13,114,0.796552
aim-100-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,152,0.080404,100,100,100,0.029934,0.029934,152,0.05,4.55,0.0796,0.262989,0.08,0.1,114,0.796287
aim-100-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,157,0.08202,100,100,100,0.029873,0.029873,157,0.06,4.69,0.0812,0.233664,0.08,0.12,114,0.79571
aim-100-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,194,0.090505,100,100,100,0.029948,0.029948,194,0.07,5.81,0.0896,0.256198,0.09,0.11,114,0.791291
aim-100-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,197,0.093737,100,100,100,0.029898,0.029898,197,0.07,5.89,0.0928,0.266276,0.09,0.12,114,0.790977
aim-100-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,191,0.089899,100,100,100,0.029948,0.029948,191,0.06,5.72,0.089,0.240865,0.09,0.1,114,0.791635
aim-100-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,195,0.093131,100,100,100,0.03,0.03,195,0.07,5.85,0.0922,0.266799,0.09,0.12,114,0.79115
aim-100-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,196,0.104444,100,100,100,0.03,0.03,196,0.07,5.88,0.1034,0.203524,0.105,0.12,114,0.791037
aim-100-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,192,0.102424,100,100,100,0.03,0.03,192,0.07,5.76,0.1014,0.210251,0.1,0.11,114,0.791492
aim-100-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,193,0.099798,100,100,100,0.029896,0.029896,193,0.08,5.77,0.0988,0.213915,0.1,0.12,114,0.791431
aim-100-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,191,0.100808,100,100,100,0.03,0.03,191,0.07,5.73,0.0998,0.208253,0.1,0.11,114,0.791607
aim-100-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,320,0.150909,100,100,100,0.029969,0.029969,320,0.11,9.59,0.1494,0.223638,0.15,0.17,114,0.780003
aim-100-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,316,0.151515,100,100,100,0.029905,0.029905,316,0.12,9.45,0.15,0.22448,0.15,0.18,114,0.780308
aim-100-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,312,0.149091,100,100,100,0.03,0.03,312,0.11,9.36,0.1476,0.229624,0.15,0.18,114,0.780538
aim-100-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,317,0.150505,100,100,100,0.029968,0.029968,317,0.12,9.5,0.149,0.224893,0.15,0.17,114,0.780208
aim-100-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,559,0.243838,100,100,100,0.029946,0.029946,559,0.2,16.74,0.2414,0.276498,0.24,0.26,114,0.769331
aim-100-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,559,0.242222,100,100,100,0.029982,0.029982,559,0.19,16.76,0.2398,0.275169,0.24,0.25,114,0.769318
aim-100-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,561,0.249091,100,100,100,0.029964,0.029964,561,0.2,16.81,0.2466,0.270754,0.25,0.28,114,0.769267
aim-100-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,570,0.243434,100,100,100,0.02993,0.02993,570,0.2,17.06,0.241,0.271467,0.24,0.26,114,0.769022
aim-200-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,315,0.037186,200,200,200,0.014984,0.014984,315,0.025,4.72,0.037,0.265766,0.035,0.055,114,0.795331
aim-200-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,316,0.037136,200,200,200,0.014984,0.014984,316,0.025,4.735,0.03695,0.274864,0.035,0.065,114,0.795271
aim-200-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,311,0.036985,200,200,200,0.014984,0.014984,311,0.025,4.66,0.0368,0.264593,0.035,0.055,114,0.79557
aim-200-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,318,0.037136,200,200,200,0.014937,0.014937,318,0.025,4.75,0.03695,0.270617,0.035,0.06,114,0.795191
aim-200-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,308,0.04201,200,200,200,0.014984,0.014984,308,0.03,4.615,0.0418,0.203094,0.04,0.055,114,0.795749
aim-200-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,302,0.042111,200,200,200,0.014983,0.014983,302,0.03,4.525,0.0419,0.207924,0.04,0.085,114,0.796105
aim-200-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,309,0.040553,200,200,200,0.014968,0.014968,309,0.025,4.625,0.04035,0.224664,0.04,0.06,114,0.795703
aim-200-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,316,0.042663,200,200,200,0.015,0.015,316,0.03,4.74,0.04245,0.213373,0.04,0.06,114,0.795257
aim-200-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,386,0.046533,200,200,200,0.014987,0.014987,386,0.035,5.785,0.0463,0.221781,0.045,0.055,114,0.791154
aim-200-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,382,0.046482,200,200,200,0.014987,0.014987,382,0.035,5.725,0.04625,0.222263,0.045,0.055,114,0.791381
aim-200-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,387,0.046482,200,200,200,0.014987,0.014987,387,0.03,5.8,0.04625,0.223516,0.045,0.055,114,0.791097
aim-200-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,389,0.046533,200,200,200,0.014974,0.014974,389,0.035,5.825,0.0463,0.220676,0.045,0.06,114,0.790997
aim-200-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,389,0.05206,200,200,200,0.014987,0.014987,389,0.035,5.83,0.0518,0.175146,0.055,0.06,114,0.790984
aim-200-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,383,0.051658,200,200,200,0.014987,0.014987,383,0.04,5.74,0.0514,0.168009,0.05,0.06,114,0.791324
aim-200-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,388,0.051859,200,200,200,0.014974,0.014974,388,0.04,5.81,0.0516,0.170337,0.05,0.06,114,0.791054
aim-200-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,392,0.052462,200,200,200,0.014962,0.014962,392,0.04,5.865,0.0522,0.170823,0.055,0.06,114,0.790842
aim-200-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,646,0.077889,200,200,200,0.014985,0.014985,646,0.06,9.68,0.0775,0.164085,0.075,0.095,114,0.779643
aim-200-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,636,0.076985,200,200,200,0.015,0.015,636,0.06,9.54,0.0766,0.163052,0.075,0.09,114,0.779963
aim-200-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,641,0.077387,200,200,200,0.014984,0.014984,641,0.06,9.605,0.077,0.166277,0.075,0.085,114,0.77981
aim-200-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,643,0.077236,200,200,200,0.014984,0.014984,643,0.06,9.635,0.07685,0.16644,0.075,0.095,114,0.779743
aim-200-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,1152,0.152261,200,200,200,0.014965,0.014965,1152,0.12,17.24,0.1515,0.172551,0.1525,0.165,114,0.768757
aim-200-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,1169,0.153467,200,200,200,0.01497,0.01497,1169,0.12,17.5,0.1527,0.175753,0.155,0.16,114,0.768523
aim-200-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,1152,0.153166,200,200,200,0.014978,0.014978,1152,0.125,17.255,0.1524,0.172687,0.155,0.165,114,0.768748
aim-200-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,1156,0.152261,200,200,200,0.01497,0.01497,1156,0.12,17.305,0.1515,0.176531,0.155,0.16,114,0.768699
aim-50-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,77,0.14449,50,50,50,0.06,0.06,77,0.1,4.62,0.1416,0.337595,0.14,0.2,114,0.79658
aim-50-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,76,0.14449,50,50,50,0.06,0.06,76,0.1,4.56,0.1416,0.33219,0.14,0.14,114,0.796826
aim-50-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,78,0.142857,50,50,50,0.059487,0.059487,78,0.1,4.64,0.14,0.312619,0.14,0.18,114,0.796433
aim-50-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,77,0.140408,50,50,50,0.059481,0.059481,77,0.1,4.58,0.1376,0.325632,0.14,0.16,114,0.796679
aim-50-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,69,0.142041,50,50,50,0.05971,0.05971,69,0.1,4.12,0.1392,0.329455,0.14,0.16,114,0.798562
aim-50-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,77,0.155102,50,50,50,0.06,0.06,77,0.1,4.62,0.152,0.328612,0.16,0.2,114,0.79658
aim-50-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,70,0.142857,50,50,50,0.059714,0.059714,70,0.1,4.18,0.14,0.307429,0.14,0.22,114,0.798329
aim-50-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,76,0.157551,50,50,50,0.06,0.06,76,0.1,4.56,0.1544,0.305962,0.14,0.22,114,0.796826
aim-50-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,94,0.177959,50,50,50,0.06,0.06,94,0.12,5.64,0.1744,0.299101,0.18,0.22,114,0.792436
aim-50-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,96,0.17551,50,50,50,0.059792,0.059792,96,0.14,5.74,0.172,0.303186,0.18,0.18,114,0.792021
aim-50-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,96,0.179592,50,50,50,0.06,0.06,96,0.14,5.76,0.176,0.308798,0.18,0.18,114,0.791967
aim-50-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,94,0.166531,50,50,50,0.059787,0.059787,94,0.12,5.62,0.1632,0.292651,0.16,0.18,114,0.79249
aim-50-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,97,0.201633,50,50,50,0.06,0.06,97,0.16,5.82,0.1976,0.266245,0.2,0.22,114,0.791735
aim-50-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,94,0.195918,50,50,50,0.06,0.06,94,0.14,5.64,0.192,0.291019,0.2,0.22,114,0.792436
aim-50-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,92,0.190204,50,50,50,0.06,0.06,92,0.14,5.52,0.1864,0.254244,0.18,0.22,114,0.79291
aim-50-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,95,0.190204,50,50,50,0.059579,0.059579,95,0.14,5.66,0.1864,0.284263,0.2,0.2,114,0.792302
aim-50-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,156,0.286531,50,50,50,0.06,0.06,156,0.24,9.36,0.2808,0.344264,0.28,0.3,114,0.780861
aim-50-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,161,0.28898,50,50,50,0.06,0.06,161,0.22,9.66,0.2832,0.343478,0.28,0.34,114,0.780167
