@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE d_ratio_int_vars NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE d_ratio_bool_vars NUMERIC
@ATTRIBUTE v_avg_domdeg_vars NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE v_avg_dom_vars NUMERIC
@ATTRIBUTE c_avg_dom_cons NUMERIC
@ATTRIBUTE c_avg_domdeg_cons NUMERIC
@ATTRIBUTE v_sum_dom_vars NUMERIC
@ATTRIBUTE d_ratio_array_cons NUMERIC
@ATTRIBUTE v_cv_dom_vars NUMERIC
@ATTRIBUTE gr_avg_deg_vg NUMERIC
@ATTRIBUTE c_ent_dom_cons NUMERIC
@ATTRIBUTE c_max_dom_cons NUMERIC
@ATTRIBUTE c_ent_domdeg_cons NUMERIC
@ATTRIBUTE v_ent_deg_vars NUMERIC
@ATTRIBUTE v_ent_dom_vars NUMERIC
@ATTRIBUTE d_bool_vars NUMERIC
@ATTRIBUTE c_cv_domdeg_cons NUMERIC
@ATTRIBUTE d_int_cons NUMERIC
@ATTRIBUTE c_max_domdeg_cons NUMERIC
@ATTRIBUTE v_sum_domdeg_vars NUMERIC
@ATTRIBUTE v_ent_domdeg_vars NUMERIC
@ATTRIBUTE c_cv_dom_cons NUMERIC
@ATTRIBUTE d_array_cons NUMERIC
@ATTRIBUTE v_intro_vars NUMERIC
@ATTRIBUTE v_def_vars NUMERIC
@ATTRIBUTE gr_ent_deg_vg NUMERIC
@ATTRIBUTE c_avg_deg_cons NUMERIC
@ATTRIBUTE c_logprod_deg_cons NUMERIC

@DATA
normalized-1-insertions-6-4.xml.mzn_AND_NODATA,1,1,1,10.439868,0.095787,0,0.248408,20.879736,4,4,2,2428,0,0,20.879736,0,4,0,3.833265,0,0,0,6337,2,150.783695,0.318088,0,0,0,0,3.833265,2,6337
normalized-2-fullins-5-4.xml.mzn_AND_NODATA,1,1,1,14.320423,0.06983,0,0.181949,28.640845,4,4,2,3408,0,0,28.640845,0,4,0,5.055056,0,0,0,12201,2,155.020452,0.04307,0,0,0,0,5.055056,2,12201
normalized-3-fullins-4-5.xml.mzn_AND_NODATA,1,1,1,8.701235,0.114926,0,0.362095,17.402469,5,4.643856,2.321928,2025,0,0,17.402469,0,4.643856,0,3.790965,0,0,0,3524,2.321928,146.648435,0.741247,0,0,0,0,3.790965,2,3524
normalized-1-insertions-6-6.xml.mzn_AND_NODATA,1,1,1,10.439868,0.095787,0,0.372612,20.879736,6,5.169925,2.584963,3642,0,0,20.879736,0,5.169925,0,3.833265,0,0,-1,6337,2.584963,226.175542,0.801339,-1,0,0,0,3.833265,2,6337
normalized-4-insertions-4-4.xml.mzn_AND_NODATA,1,1,1,3.778947,0.264624,0,0.572503,7.557895,4,4,2,1900,0,0,7.557895,0,4,0,1.408585,0,0,0,1795,2,271.938911,0.110769,0,0,0,0,1.408585,2,1795
normalized-5-fullins-3-6.xml.mzn_AND_NODATA,1,1,1,5.142857,0.194444,0,0.756897,10.285714,6,5.169925,2.584963,924,0,0,10.285714,0,5.169925,0,2.448476,0,0,0,792,2.584963,116.562068,1.061591,0,0,0,0,2.448476,2,792
normalized-5-fullins-3-7.xml.mzn_AND_NODATA,1,1,1,5.142857,0.194444,0,0.883046,10.285714,7,5.61471,2.807355,1078,0,0,10.285714,0,5.61471,0,2.448476,0,0,0,792,2.807355,135.98908,1.061591,0,0,0,0,2.448476,2,792
normalized-1-insertions-5-5.xml.mzn_AND_NODATA,1,1,1,6.074257,0.164629,0,0.491187,12.148515,5,4.643856,2.321928,1010,0,0,12.148515,0,4.643856,0,2.997733,0,0,-1,1227,2.321928,99.219688,0.998231,-1,0,0,0,2.997733,2,1227
normalized-46s-smv.xml.mzn_AND_NODATA,1,1,1,1.723945,0.580065,0,0.378053,6.377792,1.801489,3.649874,0.985662,2904,0,0.221416,10.408189,1.350737,13,0,3.379324,0.71894,0,0.067324,2779,1,609.421674,2.301525,0.982006,0,0,0,3.302871,3.699532,4212.421278
normalized-3-insertions-4-3.xml.mzn_AND_NODATA,1,1,1,3.72242,0.268642,0,0.439498,7.44484,3,3.169925,1.584963,843,0,0,7.44484,0,3.169925,0,1.588719,0,0,0,1046,1.584963,123.499026,0.936117,0,0,0,0,1.588719,2,1046
normalized-2-fullins-3-4.xml.mzn_AND_NODATA,1,1,1,3.865385,0.258706,0,0.590743,7.730769,4,4,2,208,0,0,7.730769,0,4,0,2.609496,0,0,0,201,2,30.718615,0.890492,0,0,0,0,2.609496,2,201
normalized-aim-100-1-6-4.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0,0.604333,3.4,2,2.615385,1,400,0,0,5.62,0.961237,3,0,1.157745,0,0,0,260,1,120.866667,0.346981,0.186016,0,0,0,1.803639,2.615385,353.594
normalized-aim-100-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.736667,2.933333,2,2.444444,1,600,0.444444,0,4.46,0.991076,3,0,1.693646,0,200,0,200,1,221,0.286397,0.203279,160,200,200,1.995767,2.444444,453.594
normalized-4-fullins-4-6.xml.mzn_AND_NODATA,1,1,1,9.637681,0.103759,0,0.406858,19.275362,6,5.169925,2.584963,4140,0,0,19.275362,0,5.169925,0,3.730763,0,0,-1,6650,2.584963,280.732127,0.864757,-1,0,0,0,3.730763,2,6650
normalized-2-fullins-5-6.xml.mzn_AND_NODATA,1,1,1,14.320423,0.06983,0,0.272923,28.640845,6,5.169925,2.584963,5112,0,0,28.640845,0,5.169925,0,5.055056,0,0,0,12201,2.584963,232.530678,0.376177,0,0,0,0,5.055056,2,12201
normalized-3-insertions-5-4.xml.mzn_AND_NODATA,1,1,1,6.895448,0.145023,0,0.335645,13.790896,4,4,2,5624,0,0,13.790896,0,4,0,2.317467,0,0,0,9695,2,471.916903,0.474383,0,0,0,0,2.317467,2,9695
normalized-3-insertions-5-5.xml.mzn_AND_NODATA,1,1,1,6.895448,0.145023,0,0.419556,13.790896,5,4.643856,2.321928,7030,0,0,13.790896,0,4.643856,0,2.317467,0,0,0.000001,9695,2.321928,589.896129,0.935897,0.000001,0,0,0,2.317467,2,9695
normalized-aim-100-2-0-4.xml.mzn_AND_NODATA,1,1,1,1.5,0.666667,0,0.5,4,2,2.666667,1,400,0,0,6.71,0.918296,3,0,0,0,0,0,300,1,100,0,0.176777,0,0,0,0.932533,2.666667,416.9925
normalized-aim-100-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.737286,2.93,2,2.441667,1,600,0.444444,0,4.386667,0.990159,3,0,1.690855,0,200,0,200,1,221.185714,0.242292,0.20338,160,200,200,2.092088,2.441667,453.009038
normalized-aim-100-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,0.5,0.333333,1.333333,0.75,0.666667,0.667222,3.33,2,2.4975,1,600,0.5,0,5.133333,0.999982,3,0,0.948572,0,200,0,200,1,200.166667,0,0.200198,200,200,200,1.521737,2.4975,516.407538
normalized-aim-100-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,0.502513,0.333333,1.326667,0.753769,0.666667,0.670556,3.31,2,2.494975,1,600,0.497487,0,5.106667,0.999927,3,0,1.064214,0,200,0,200,1,201.166667,0,0.200393,198,200,200,1.638127,2.494975,513.237613
normalized-4-insertions-4-3.xml.mzn_AND_NODATA,1,1,1,3.778947,0.264624,0,0.429377,7.557895,3,3.169925,1.584963,1425,0,0,7.557895,0,3.169925,0,1.408585,0,0,-1,1795,1.584963,203.954183,0.882574,-1,0,0,0,1.408585,2,1795
normalized-aim-100-2-0-3.xml.mzn_AND_NODATA,1,1,1,1.5,0.666667,0,0.500833,3.995,2,2.663333,1,400,0,0,6.7,0.921593,3,0,0.045415,0,0,0,300,1,100.166667,0,0.177435,0,0,0,0.905162,2.663333,416.407538
normalized-aim-100-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.737444,2.926667,2,2.438889,1,600,0.444444,0,4.453333,0.989197,3,0,1.690855,0,200,0,200,1,221.233333,0.242292,0.203474,160,200,200,1.994514,2.438889,452.424075
normalized-25s-smv.xml.mzn_AND_NODATA,1,1,1,1.868099,0.535303,0,0.396665,7.048107,1.787658,3.716095,0.982142,9067,0,0.228772,12.044558,1.29745,15,0,3.022216,0.745936,0,0.075937,9475,1,2011.882543,2.518517,1.086168,0,0,0,2.977039,3.772876,14274.744639
normalized-44s-smv.xml.mzn_AND_NODATA,1,1,1,1.278788,0.781991,0,0.405183,5.705051,1.761616,4.35861,0.971442,872,0,0.241877,11.357576,1.455197,13,0,3.364944,0.792342,0,0.093598,633,1,200.565823,2.104389,0.980102,0,0,0,3.425601,4.461295,1073.868955
normalized-aim-100-3-4-2.xml.mzn_AND_NODATA,1,1,1,2.2,0.454545,0,0.329631,6.085,2,2.765909,1,400,0,0,10.2,0.785075,3,0,0.591386,0,0,0,440,1,65.92619,0,0.153089,0,0,0,2.039848,2.765909,637.132363
normalized-aim-100-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.736222,2.933333,2,2.444444,1,600,0.444444,0,4.413333,0.991076,3,0,1.690126,0,200,0,200,1,220.866667,0.257372,0.203279,160,200,200,2.120722,2.444444,453.594
normalized-aim-100-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.739222,2.926667,2,2.438889,1,600,0.444444,0,4.373333,0.989197,3,0,1.709178,0,200,0,200,1,221.766667,0.300391,0.203474,160,200,200,2.113667,2.438889,452.424075
normalized-aim-100-2-0-1.xml.mzn_AND_NODATA,1,1,1,1.5,0.666667,0,0.500833,3.995,2,2.663333,1,400,0,0,6.7,0.921593,3,0,0.045415,0,0,0,300,1,100.166667,0,0.177435,0,0,0,0.97968,2.663333,416.407538
normalized-aim-200-1-6-2.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0,0.60525,3.3975,2,2.613462,1,800,0,0,5.665,0.962529,3,0,1.173211,0,0,0,520,1,242.1,0.346981,0.186326,0,0,0,1.65962,2.613462,706.603038
normalized-aim-200-1-6-3.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0,0.604917,3.3975,2,2.613462,1,800,0,0,5.595,0.962529,3,0,1.166676,0,0,0,520,1,241.966667,0.296923,0.186326,0,0,0,1.754486,2.613462,706.603038
normalized-4-fullins-3-6.xml.mzn_AND_NODATA,1,1,1,4.745614,0.210721,0,0.786161,9.491228,6,5.169925,2.584963,684,0,0,9.491228,0,5.169925,0,2.572158,0,0,0,541,2.584963,89.62236,1.099409,0,0,0,0,2.572158,2,541
normalized-aim-200-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,0.556328,0.333333,1.198333,0.834492,0.666667,0.737722,2.926667,2,2.442281,1,1200,0.443672,0,4.39,0.990366,3,0,1.692595,0,400,0,400,1,442.633333,0.218878,0.203358,319,400,400,2.101026,2.442281,905.018075
normalized-3-insertions-5-3.xml.mzn_AND_NODATA,1,1,1,6.895448,0.145023,0,0.251734,13.790896,3,3.169925,1.584963,4218,0,0,13.790896,0,3.169925,0,2.317467,0,0,-1,9695,1.584963,353.937678,0.238234,-1,0,0,0,2.317467,2,9695
normalized-2-insertions-5-5.xml.mzn_AND_NODATA,1,1,1,6.592965,0.151677,0,0.446332,13.18593,5,4.643856,2.321928,2985,0,0,13.18593,0,4.643856,0,2.650763,0,0,0,3936,2.321928,266.460072,0.982424,0,0,0,0,2.650763,2,3936
normalized-aim-200-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.737056,2.93,2,2.441667,1,1200,0.444444,0,4.43,0.990159,3,0,1.694765,0,400,0,400,1,442.233333,0.264765,0.20338,320,400,400,2.017101,2.441667,906.018075
normalized-4-fullins-4-7.xml.mzn_AND_NODATA,1,1,1,9.637681,0.103759,0,0.474668,19.275362,7,5.61471,2.807355,4830,0,0,19.275362,0,5.61471,0,3.730763,0,0,0,6650,2.807355,327.520814,0.972621,0,0,0,0,3.730763,2,6650
normalized-aim-100-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,0.501253,0.333333,1.33,0.75188,0.666667,0.668333,3.323333,2,2.498747,1,600,0.498747,0,5.186667,0.999995,3,0,0.993203,0,200,0,200,1,200.5,0,0.2001,199,200,200,1.470759,2.498747,515.407538
normalized-aim-200-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.736865,2.933333,2,2.444444,1,1200,0.444444,0,4.48,0.991076,3,0,1.707944,0,400,0,400,1,442.119048,0.242292,0.203279,320,400,400,1.956294,2.444444,907.188
normalized-aim-200-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.736722,2.931667,2,2.443056,1,1200,0.444444,0,4.426667,0.990623,3,0,1.689969,0,400,0,400,1,442.033333,0.272065,0.20333,320,400,400,2.077507,2.443056,906.603038
normalized-aim-200-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,0.55788,0.333333,1.195,0.83682,0.666667,0.740921,2.916667,2,2.440725,1,1200,0.44212,0,4.43,0.989838,3,0,1.696523,0,400,0,400,1,444.552381,0.226794,0.203413,317,400,400,2.075345,2.440725,901.84815
normalized-aim-200-2-0-sat-2_ext.xml.mzn_AND_NODATA,1,0.500626,0.333333,1.331667,0.750939,0.666667,0.667778,3.326667,2,2.498123,1,1200,0.499374,0,5.146667,0.99999,3,0,0.972158,0,400,0,400,1,400.666667,0,0.200149,399,400,400,1.533759,2.498123,1031.815075
normalized-aim-200-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.737833,2.926667,2,2.438889,1,1200,0.444444,0,4.393333,0.989197,3,0,1.691436,0,400,0,400,1,442.7,0.279274,0.203474,320,400,400,2.09155,2.438889,904.84815
normalized-aim-200-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,0.500626,0.333333,1.331667,0.750939,0.666667,0.667778,3.326667,2,2.498123,1,1200,0.499374,0,5.166667,0.99999,3,0,0.972158,0,400,0,400,1,400.666667,0,0.200149,399,400,400,1.50643,2.498123,1031.815075
normalized-aim-200-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,0.500626,0.333333,1.331667,0.750939,0.666667,0.668056,3.325,2,2.496871,1,1200,0.499374,0,5.196667,0.999972,3,0,0.982926,0,400,0,400,1,400.833333,0,0.200247,399,400,400,1.442657,2.496871,1031.230113
normalized-4-insertions-3-3.xml.mzn_AND_NODATA,1,1,1,1.974684,0.50641,0,0.784567,3.949367,3,3.169925,1.584963,237,0,0,3.949367,0,3.169925,0,0.739735,0,0,-1,156,1.584963,61.980769,0.097941,-1,0,0,0,0.739735,2,156
normalized-5-fullins-4-8.xml.mzn_AND_NODATA,1,1,1,10.502304,0.095217,0,0.516058,21.004608,8,6,3,8680,0,0,21.004608,0,6,0,3.541915,0,0,0,11395,3,559.923169,0.943749,0,0,0,0,3.541915,2,11395
normalized-aim-100-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,0.502513,0.333333,1.326667,0.753769,0.666667,0.671111,3.306667,2,2.492462,1,600,0.497487,0,5.14,0.999836,3,0,1.079824,0,200,0,200,1,201.333333,0,0.200582,198,200,200,1.57248,2.492462,512.65265
normalized-aim-100-1-6-2.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0,0.6045,3.395,2,2.611538,1,400,0,0,5.59,0.9638,3,0,1.141914,0,0,0,260,1,120.9,0.307268,0.186633,0,0,0,1.739078,2.611538,353.009038
normalized-aim-100-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.736444,2.933333,2,2.444444,1,600,0.444444,0,4.406667,0.991076,3,0,1.700554,0,200,0,200,1,220.933333,0.226794,0.203279,160,200,200,2.090999,2.444444,453.594
normalized-2-fullins-5-5.xml.mzn_AND_NODATA,1,1,1,14.320423,0.06983,0,0.227436,28.640845,5,4.643856,2.321928,4260,0,0,28.640845,0,4.643856,0,5.055056,0,0,0.000001,12201,2.321928,193.775565,0.185125,0.000001,0,0,0,5.055056,2,12201
normalized-aim-200-3-4-sat-3_ext.xml.mzn_AND_NODATA,1,0.370714,0.333333,1.798333,0.55607,0.666667,0.552905,4.725,2,2.627433,1,1200,0.629286,0,7.61,0.952623,3,0,1.278513,0,400,0,400,1,331.742857,0.918296,0.184015,679,400,400,2.156002,2.627433,1475.019613
normalized-aim-50-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.568182,0.333333,1.173333,0.852273,0.666667,0.761111,2.846667,2,2.426136,1,300,0.431818,0,4.146667,0.9842,3,0,1.675398,0,100,0,100,1,114.166667,0.272065,0.203828,76,100,100,2.364002,2.426136,219.872188
normalized-aim-100-3-4-3.xml.mzn_AND_NODATA,1,1,1,2.2,0.454545,0,0.328631,6.1,2,2.772727,1,400,0,0,10.24,0.773227,3,0,0.481202,0,0,0,440,1,65.72619,0,0.15114,0,0,0,2.062447,2.772727,638.88725
normalized-aim-200-2-0-1.xml.mzn_AND_NODATA,1,1,1,1.5,0.666667,0,0.500417,3.9975,2,2.665,1,800,0,0,6.69,0.919953,3,0,0.025212,0,0,0,600,1,200.166667,0,0.177107,0,0,0,0.949456,2.665,833.400038
normalized-43s-smv.xml.mzn_AND_NODATA,1,1,1,1.966621,0.508486,0,0.386944,6.894938,1.858003,3.463829,0.987359,6791,0,0.187862,11.444596,1.264645,15,0,3.323245,0.589446,0,0.063734,7188,1,1414.280432,1.749091,1.066552,0,0,0,3.309212,3.505982,10391.602876
normalized-aim-200-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.737111,2.931667,2,2.443056,1,1200,0.444444,0,4.44,0.990623,3,0,1.704794,0,400,0,400,1,442.266667,0.264765,0.20333,320,400,400,2.052007,2.443056,906.603038
normalized-aim-100-1-6-3.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0,0.604667,3.4,2,2.615385,1,400,0,0,5.61,0.961237,3,0,1.173387,0,0,0,260,1,120.933333,0.307268,0.186016,0,0,0,1.759055,2.615385,353.594
normalized-aim-100-1-6-1.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0,0.605929,3.395,2,2.611538,1,400,0,0,5.58,0.9638,3,0,1.158838,0,0,0,260,1,121.185714,0.327445,0.186633,0,0,0,1.760689,2.611538,353.009038
normalized-aim-200-1-6-sat-2_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.736833,2.931667,2,2.443056,1,1200,0.444444,0,4.443333,0.990623,3,0,1.700436,0,400,0,400,1,442.1,0.257372,0.20333,320,400,400,2.024709,2.443056,906.603038
normalized-aim-200-6-0-sat-4_ext.xml.mzn_AND_NODATA,1,0.252845,0.333333,2.636667,0.379267,0.666667,0.468954,7.231667,2,2.742731,1,1200,0.747155,0,12.48,0.822598,3,0,1.344808,0,400,0,400,1,281.372222,0.918296,0.159377,1182,400,400,2.381853,2.742731,2269.330938
normalized-3-fullins-5-7.xml.mzn_AND_NODATA,1,1,1,16.626108,0.060146,0,0.282717,33.252217,7,5.61471,2.807355,14210,0,0,33.252217,0,5.61471,0,4.858298,0,0,0.000001,33751,2.807355,573.914788,0.406676,0.000001,0,0,0,4.858298,2,33751
normalized-aim-200-2-0-2.xml.mzn_AND_NODATA,1,1,1,1.5,0.666667,0,0.500417,3.9975,2,2.665,1,800,0,0,6.73,0.919953,3,0,0.025212,0,0,0,600,1,200.166667,0,0.177107,0,0,0,0.882662,2.665,833.400038
normalized-3-fullins-4-6.xml.mzn_AND_NODATA,1,1,1,8.701235,0.114926,0,0.434514,17.402469,6,5.169925,2.584963,2430,0,0,17.402469,0,5.169925,0,3.790965,0,0,-1,3524,2.584963,175.978122,0.918296,-1,0,0,0,3.790965,2,3524
normalized-aim-50-2-0-3.xml.mzn_AND_NODATA,1,1,1,1.5,0.666667,0,0.5,4,2,2.666667,1,200,0,0,6.7,0.918296,3,0,0,0,0,0,150,1,50,0,0.176777,0,0,0,0.881291,2.666667,208.49625
normalized-aim-200-2-0-4.xml.mzn_AND_NODATA,1,1,1,1.5,0.666667,0,0.500833,3.995,2,2.663333,1,800,0,0,6.715,0.921593,3,0,0.045415,0,0,0,600,1,200.333333,0,0.177435,0,0,0,0.922841,2.663333,832.815075
normalized-aim-100-2-0-sat-4_ext.xml.mzn_AND_NODATA,1,0.501253,0.333333,1.33,0.75188,0.666667,0.668333,3.323333,2,2.498747,1,600,0.498747,0,5.126667,0.999995,3,0,0.993203,0,200,0,200,1,200.5,0,0.2001,199,200,200,1.580294,2.498747,515.407538
normalized-aim-200-3-4-sat-1_ext.xml.mzn_AND_NODATA,1,0.370714,0.333333,1.798333,0.55607,0.666667,0.552976,4.725,2,2.627433,1,1200,0.629286,0,7.573333,0.952623,3,0,1.302519,0,400,0,400,1,331.785714,0.918296,0.184015,679,400,400,2.2784,2.627433,1475.019613
normalized-aim-100-2-0-2.xml.mzn_AND_NODATA,1,1,1,1.5,0.666667,0,0.501667,3.99,2,2.66,1,400,0,0,6.75,0.924819,3,0,0.080793,0,0,0,300,1,100.333333,0,0.178086,0,0,0,0.837356,2.66,415.822575
normalized-army8-9ls.xml.mzn_AND_NODATA,1,1,1,1.509091,0.662651,0,0.295613,7.236364,2,4.795181,1,440,0,0,49.290909,2.097437,64,0,1.899486,0,0,0,332,1,65.034921,0.37602,1.069877,0,0,0,2.099008,4.795181,655.71776
normalized-aim-100-2-0-unsat-4_ext.xml.mzn_AND_NODATA,1,0.5,0.333333,1.333333,0.75,0.666667,0.666667,3.333333,2,2.5,1,600,0.5,0,5.16,1,3,0,0.918296,0,200,0,200,1,200,0,0.2,200,200,200,1.508074,2.5,516.9925
normalized-aim-200-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,0.500626,0.333333,1.331667,0.750939,0.666667,0.667778,3.326667,2,2.498123,1,1200,0.499374,0,5.193333,0.99999,3,0,0.972158,0,400,0,400,1,400.666667,0,0.200149,399,400,400,1.449018,2.498123,1031.815075
normalized-5-fullins-4-7.xml.mzn_AND_NODATA,1,1,1,10.502304,0.095217,0,0.451551,21.004608,7,5.61471,2.807355,7595,0,0,21.004608,0,5.61471,0,3.541915,0,0,0,11395,2.807355,489.932773,0.944504,0,0,0,0,3.541915,2,11395
