@RELATION 'FEATURE_VALUES-SAT11-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE saps_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC

@DATA
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v1375c111739gyes10.cnf,1,0.9523,0.9523,0.791,1.8079,0.7814,0.082,0.8974,0.9523,0.7211,0.0026,2.6827,184.575,44.9564,1242.18,0.0345,5.1787,0.0281,0.8304,61.3041,56.25,72.4554,0.6041,67.8447,51.7307,212446,58.9625,215164,0.8495,81.5094,53.2021,51.9048,0.2694
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m52-q1041.25-n50-p15-s99099953.cnf,1,0.9829,0.9829,0.9785,2.4667,0.9186,0.0701,0.9574,0.9829,0.9566,0.0017,3.3344,5744.47,97.7881,1273.77,0.0209,3.5006,0.0426,0.9761,98.0399,94.0535,108.2059,0.1076,106.1429,99.2626,496124,97.0272,498568,0.9924,115.56,88.8889,87.8406,0.7786
./SAT11/crafted/skvortsov/automata-synchronization/crn_40_1520_u.cnf,1,0.0073,0.2613,0.0001,0.0583,0.0566,3.1172,0.1106,0.0332,0.0001,0.0013,0.4008,822,0.2524,373.5,1.0256,1.3271,0.0001,0.0192,0,0,0,0,0,0.2318,117774,0,123900,0.0002,0,0,0,0
./SAT11/crafted/mosoi/289/289-unsat-7x39.cnf,1,0.013,0.7532,0.408,0.5836,0.7325,0.0003,0.8098,0.013,0.408,0.0073,0,45.6368,11.9471,47.1391,0.3333,4.5011,0.0147,0.4081,29.3595,27.0061,32.9809,0.4077,32.0355,10.8717,63063,28.708,64155,0.408,36.7606,26.6054,26.1269,1.1442
./SAT11/crafted/mosoi/289/289-unsat-6x30.cnf,1,0.0203,0.7551,0.457,0.5871,0.8507,0.0001,0.9633,0.0203,0.457,0.011,0,1.5435,7.0723,0.6013,0.3333,1.2241,0.0222,0.457,28.6955,26.493,32.7169,0.4568,30.0563,5.9841,26640,27.5762,27360,0.457,38.1584,25.5971,25.3638,1.204
./SAT03/handmade/anton/UNSAT/SGI_30_60_20_50_3-dir.shuffled-as.sat03-114.cnf,1,0.9787,0.7464,0.8978,1.8278,0.9047,0.0217,0.9711,0.9787,0.8796,0.0071,3.0492,11.9654,38.6444,45.4502,0.0345,15.4138,0.1,0.9087,83.1068,73.157,99.181,0.8552,90.232,37.6613,48470,87.8974,49070,0.9129,99.181,64.6269,64.6269,0.7473
./SAT05/crafted/sabharwal05/planning/logistics/unsat/logistics-rotate-07t5.shuffled-as.sat05-1137.cnf,1,0.9511,0.7281,0.9432,0.5835,0.445,0.1168,0.8863,0.9728,0.7011,0.0019,2.4732,141.434,20.538,18.45,0.5513,0.1085,0.0131,0.9235,27.199,27.4614,27.8652,0.5791,27.8652,17.2005,79229,27.8585,88373,0.9512,27.8652,25.6108,25.6108,0.3739
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-14_186.cnf,1,0,0.1265,0.56,0.8326,0.6767,0.1629,0.809,0.8735,0.5519,0.0321,2.8836,14.2115,11.2954,10.7719,0,0.2592,0.0753,0.6217,36.8043,35.3844,39.3333,0.5364,39.3333,10.9847,9795,37.7223,9795,0.5767,39.3333,34.7772,34.7772,0.004
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m37-q446.25-n35-p15-s25120921.cnf,1,0.9714,0.9714,0.8722,1.989,0.8669,0.0254,0.9483,0.9714,0.857,0.0036,3.2305,346.25,53.1227,35.494,0.0327,2.3059,0.0672,0.8872,70.1392,59.5803,92.5301,0.8144,75.1852,53.8444,128166,66.9394,129272,0.8879,92.5301,56.4608,56.4608,1.4244
./SAT11/crafted/skvortsov/battleship/battleship-11-11-unsat.cnf,1,0.8333,0.8333,0.6919,0.9583,0.7902,0.0001,0.8269,0.8333,0.6919,0.0289,0,10.5361,2.6539,11.0207,0,0.0844,0.0909,0.692,46.437,47.0053,48.5704,0.6918,48.5704,2.0976,726,48.2732,726,0.6919,48.5704,41.8992,41.8992,0.0021
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m52-q1041.25-n50-p30-s30907550.cnf,1,0.9819,0.9819,0.9705,2.5629,0.8838,0.0496,0.9362,0.9819,0.9515,0.0019,3.3492,25.5625,88.9836,160.4,0.0199,3.3021,0.0406,0.9762,111.9684,99.3162,133.1667,0.2354,132.6667,78.0606,487748,112.4,490309,0.9884,133.48,95.5521,91.0931,0.8904
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_406.cnf,1,0.0031,0.0831,0.657,1.105,0.7061,0.1013,0.8066,0.9169,0.6449,0.0295,3.3339,15.7566,23.0011,13.692,0,6.8078,0.1034,0.7056,47.403,45.0426,49.7635,0.6329,49.7635,25.1053,22241,49.7635,22241,0.6856,49.7635,45.0426,45.0426,0.0108
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_401.cnf,1,0.0124,0.0782,0.6648,1.0967,0.6597,0.1024,0.8034,0.9218,0.6474,0.0291,3.5664,15.4287,22.3937,13.9374,0,5.9256,0.1045,0.7095,37.8653,36.5443,39.059,0.6213,39.059,23.8414,21509,37.9927,21509,0.6884,39.059,36.5443,36.5443,0.0178
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g7.cnf,1,0.9299,0.9299,0.7848,1.3783,0.7373,0.0248,0.9048,0.9299,0.7734,0.0076,2.9323,24.5809,23.9299,42.4065,0.0556,13.0574,0.0486,0.7983,48.4489,41.0017,65.1125,0.7384,57.2583,28.2714,42641,44.7709,43649,0.7982,65.1125,40.1006,40.1006,0.9611
./SAT03/handmade/anton/UNSAT/SGI_30_70_19_80_8-log.shuffled-as.sat03-143.cnf,1,0,0.0107,0.0647,0.016,0.5703,0.6574,0.6947,0,0.0375,0.1204,1.6947,6.1613,1.6871,7.1515,0,0.2791,0.1053,0.1178,18.4401,18.0426,19.7884,0.0348,19.0106,0.9785,36888,18.5081,36888,0.0713,19.7884,17.4623,17.4623,0.1842
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-20_390.cnf,1,0.0032,0.0873,0.6422,1.0699,0.6841,0.1077,0.803,0.9127,0.6301,0.0305,3.3218,20.8631,21.9479,13.3078,0,0.252,0.1026,0.6932,39.8879,36.6908,42.5313,0.6107,42.5313,24.563,20607,40.4414,20607,0.6708,42.5313,36.6908,36.6908,0.0035
./SAT05/crafted/jarvisalo05/mod2c-rand3bip-sat/mod2c-rand3bip-sat-250-2.shuffled-as.sat05-2534.cnf,1,0,0.2504,0.0025,0.1608,0.2067,1.4426,0.4878,0,0.0002,0.0277,0.9674,27.7525,1.572,27.6506,0,0.1453,0.0169,0.0391,28.9103,26.0462,42.1051,0,33.6687,0.9852,2596,32.4906,2596,0.0134,42.1051,11.8748,11.8748,0.4441
./SAT11/crafted/skvortsov/battleship/battleship-16-16-unsat.cnf,1,0.8824,0.8824,0.7577,1.2368,0.8331,0.0002,0.8745,0.8824,0.7576,0.0142,0,16.5052,3.5387,15.9889,0,0.1419,0.0625,0.7578,80.3554,78.9748,81.2825,0.7575,81.2825,2.9757,2176,80.8087,2176,0.7579,81.2825,78.9748,78.9748,0.0037
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-23_506.cnf,1,0.0024,0.0769,0.6777,1.1742,0.7105,0.0904,0.8383,0.9231,0.6664,0.0239,3.3188,27.2359,27.3461,18.2982,0,6.3842,0.0909,0.7191,58.792,52.4617,65.3275,0.6532,65.3275,31.1432,34386,58.5868,34386,0.7016,65.3275,52.4617,52.4617,0.3938
./SAT11/crafted/spence/sgen/sgen3-n160-s40283905-sat.cnf,1,0.8333,0.6484,0.5832,0.4472,0.6879,0.0001,0.8353,0.8333,0.5831,0.0156,0,3.377,1.1568,5.8605,0,0.2577,0.0313,0.5832,30.3632,29.3702,33.1963,0.5831,30.3993,0.6404,384,30.1183,384,0.5832,33.1963,29.0705,29.0705,0.0066
./SAT11/crafted/skvortsov/automata-synchronization/crn_11_100_s.cnf,1,0.0371,0.2945,0.0153,0.1226,0.2282,1.3536,0.6422,0.1398,0.0047,0.0201,1.0023,8.4172,0.33,7.7162,1.1104,0.4112,0.0065,0.1128,15.0866,10.3493,17.0097,0.0001,13.3077,0.1286,1939,11.9361,2355,0.0374,70.0881,9.5839,8.6826,0.5465
./SAT11/crafted/skvortsov/automata-synchronization/rnd_150_42_s.cnf,1,0.2481,0.5668,0.0814,0.3607,0.0758,0.9029,0.2912,0.5538,0.0339,0.2288,2.2265,23.3935,1.4237,18.9421,1.6948,0.8017,0.0034,0.2458,17.3156,15.0051,20.4465,0.0001,19.393,0.2982,14631,17.2678,23817,0.1899,27.5365,11.9613,11.132,0.3276
./SAT05/crafted/sabharwal05/ordering/gt-ordering/sat/gt-030.shuffled-as.sat05-1295.cnf,1,0.0175,0.5096,0.5267,0.3031,0.7089,0.0015,0.9146,0.9988,0.5267,0.0035,0.0252,1.261,11.0015,5.8135,0,21.1475,0.0333,0.5268,39.7944,33.3194,56.8522,0.5186,41.8503,9.087,24824,40.4414,24824,0.5268,56.8522,32.1439,30.8127,0.2007
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v2640c305320gyes2.cnf,1,0.9494,0.9494,0.8085,1.7337,0.7862,0.0409,0.8976,0.9494,0.7825,0.0029,2.7378,525.9,40.4446,552.595,0.037,6.2059,0.0302,0.8314,58.2835,54.3318,64.8169,0.7356,59.8145,48.0292,168781,56.4847,171155,0.8351,93.5385,51,50.0085,0.3682
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-23_505.cnf,1,0.0099,0.073,0.6803,1.1668,0.6685,0.0916,0.7873,0.927,0.668,0.0235,3.5293,22.1837,27.3145,14.9568,0,0.2364,0.0909,0.7216,44.5029,43.3438,45.6619,0.647,45.6619,30.593,34014,45.6619,34014,0.702,45.6619,43.3438,43.3438,0.0489
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-17_279.cnf,1,0,0.1062,0.6083,0.9613,0.6938,0.1295,0.81,0.8938,0.6021,0.0217,2.8893,22.3273,15.8477,15.6557,0,0.2327,0.0609,0.6592,51.8289,48.9495,58.0339,0.5916,52.9108,16.5202,21616,52.8652,21616,0.6206,58.0339,47.9128,47.9128,0.4908
./SAT11/crafted/mosoi/289/289-sat-6x20.cnf,1,0.0306,0.7577,0.5027,0.592,0.9528,0.0001,0.9962,0.0306,0.5027,0.0163,0,0.0069,6.8911,0.2882,0.3333,45.8912,0.0333,0.5028,29.2469,29.2469,29.2469,0.5026,29.2469,6.7749,11760,29.2469,12240,0.5028,29.2469,29.2469,29.2469,0
./SAT05/crafted/sorge05/QG7a/gensys-ukn004.shuffled-as.sat05-3844.cnf,1,0.0794,0.14,0.6662,0.386,0.2363,0.2052,0.5014,0.0985,0.6063,0.0208,2.8275,51.2065,0.7141,39.9948,0.0321,0.1991,0.0049,0.735,16.0678,15.6307,17.4026,0,16.976,0.0912,16118,16.3387,17983,0.7762,18.4147,14.8156,12.0295,0.1801
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-20_388.cnf,1,0,0.0915,0.6469,1.0759,0.7082,0.1062,0.8318,0.9085,0.6427,0.0159,2.9878,33.6683,21.2435,22.3005,0,0.1884,0.0515,0.6903,52.1581,49.3248,56.8655,0.6326,53.6056,23.8546,41212,51.7031,41212,0.6564,63.6138,48.7235,47.9868,0.2483
./SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v2640c305320gyes10.cnf,1,0.9546,0.9546,0.8496,1.9116,0.8414,0.1838,0.9271,0.9546,0.6876,0.0021,2.571,2695.93,51.0022,956.105,0.0313,4.2196,0.0246,0.8489,84.4247,74.9182,104.8772,0.1356,88.0722,55.1258,302680,81.5904,305320,0.8962,109.3784,70.4737,67.9664,0.5245
./SAT05/crafted/sabharwal05/pebbling/grid-pebbling/unsat/grid-pbl-0250.shuffled-as.sat05-1349.shuffled-as.sat05-1349.cnf,1,0.0018,0.3109,0,0.0275,0.2989,2.7129,0.6806,0.0031,0,0.0045,0.3978,7.9255,0.5364,7.8171,53.8514,0.2916,0.0044,0.0519,9.4616,6.8758,14.5433,0,10.9715,0.1313,2229,8.201,124752,0,25.5895,6.2137,5.1273,1.0715
./SAT11/crafted/skvortsov/battleship/battleship-9-17-sat.cnf,1,0.8831,0.8831,0.8006,1.284,0.9026,0,0.9273,0.8831,0.8006,0.0245,0,0.8798,2.2866,1.8504,0,0.4184,0.1111,0.8006,0,0,0,0.8006,0,1.7426,693,0,693,0.8006,0,0,0,0
./SAT04/handmade/connamacher/connm-d-0.02/connm-ue-csp-sat-n1200-d-0.02-s405595518.used-as.sat04-950.cnf,1,0,0.8448,0.5808,0.2498,0.2713,0.1107,0.7147,0.8448,0.5395,0.0099,2.6708,61.9426,3.1008,47.7751,0.3333,0.1512,0.0083,0.6283,45.6649,45.1105,47.561,0.4265,47.5355,2.9724,13008,46.4552,13289,0.6289,47.561,41.6621,41.6621,0.1162
./SAT11/crafted/skvortsov/battleship/battleship-7-12-unsat.cnf,1,0.8372,0.8372,0.7569,1.0176,0.8838,0,0.9116,0.8372,0.7569,0.0432,0,1.0747,1.9216,1.8401,0,0.3367,0.1429,0.757,35.7445,35.2235,37.273,0.7569,36.3196,1.4979,301,35.9611,301,0.7569,37.273,33.9456,33.9456,0.0032
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m32-q326.25-n30-p15-s44266159.cnf,1,0.9682,0.9682,0.8619,1.7983,0.8665,0.03,0.957,0.9682,0.8374,0.0048,3.2079,99.2536,37.763,92.1546,0.0394,11.1013,0.0787,0.8751,58.1833,52.0458,74.1814,0.7717,71.232,39.9038,66487,54.0684,67279,0.8796,74.1814,49.2151,49.2151,0.4195
./SAT03/handmade/anton/UNSAT/SGI_30_70_26_40_6-dir.shuffled-as.sat03-163.cnf,1,0.9756,0.7118,0.8879,1.9114,0.8664,0.0212,0.9522,0.9756,0.8685,0.0058,3.1332,11.5737,39.5103,8.6485,0.0345,0.1977,0.0769,0.8977,64.1928,59.4153,72.0557,0.8382,67.8378,40.138,66030,62.8876,66810,0.8994,82.4975,57.779,57.499,0.7694
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q225-n25-p15-s58217873.cnf,1,0.9669,0.9669,0.854,1.5366,0.8681,0.0382,0.9466,0.9669,0.8245,0.0065,3.3946,14.0778,30.9983,13.4185,0.0476,0.0896,0.0971,0.8682,59.571,54.9899,73.9372,0.7183,60.5019,28.6553,35036,60.2725,35586,0.8744,73.9372,52.37,52.37,0.7524
./SAT04/handmade/connamacher/connm-d0.04/connm-ue-csp-sat-n800-d0.04-s1788334438.used-as.sat04-976.cnf,1,0,0.8432,0.5674,0.2489,0.3025,0.1189,0.6844,0.8432,0.5258,0.0153,2.7486,51.8103,3.4495,42.3919,0.3333,0.6504,0.0122,0.6203,30.1261,28.5177,32.5755,0.4494,32.5755,3.3594,9504,29.285,9695,0.6142,32.5755,28.5177,28.5177,0.0093
./SAT11/crafted/skvortsov/battleship/battleship-5-8-unsat.cnf,1,0.7619,0.7619,0.6799,0.7454,0.8885,0,0.9249,0.7619,0.6799,0.0857,0,1.0035,1.5092,1.326,0,0.3624,0.2,0.6799,0,0,0,0.6799,0,1.3375,105,0,105,0.6799,0,0,0,0
./SAT05/crafted/sorge05/QG7/iso-ukn004.shuffled-as.sat05-3385.cnf,1,0.5255,0.5443,0.6636,0.7449,0.2832,0.3044,0.8422,0.7192,0.425,0.0382,3.1098,15.6248,2.6775,11.2841,1.0575,0.2501,0.0443,0.7766,0,0,0,0.0007,0,1.0838,2721,0,12666,0.8126,0,0,0,0
./SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v2400c266431gyes3.cnf,1,0.9536,0.9536,0.8497,1.8783,0.8653,0.191,0.9403,0.9536,0.6709,0.002,2.651,318.667,50.2069,2068.63,0.0323,4.2994,0.0258,0.8473,79.3154,70.3905,91.0714,0.1467,81.4519,56.4269,264031,78.7411,266431,0.8967,113.6071,67.626,67.2117,0.3819
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2100c215164g4.cnf,1,0.9822,0.9822,0.9304,2.3509,1,0.0001,1,0.9822,0.9303,0.0042,0,0.0195,13.5107,0.0009,0.037,33.1361,0.0769,0.9305,0,0,0,0.9302,0,13.5515,18226,0,18954,0.9305,0,0,0,0
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-12_135.cnf,1,0,0.1451,0.5185,0.7362,0.6727,0.1935,0.8003,0.8549,0.5092,0.0432,2.7087,9.3027,8.702,8.1399,0,0.2778,0.0889,0.5916,27.6296,27.384,28.8626,0.4959,27.8709,8.015,5251,27.4099,5251,0.5383,28.8626,26.6204,26.6204,0.007
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-15_218.cnf,1,0,0.119,0.5764,0.8775,0.682,0.1503,0.8151,0.881,0.5694,0.0275,2.9328,17.521,12.7827,13.5208,0,0.2346,0.0688,0.6338,43.4275,39.446,46.8134,0.5548,46.8134,13.0056,13362,44.0231,13362,0.5926,46.8134,39.446,39.446,0.009
