@RELATION 'FEATURE_VALUES-SAT12-ALL-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE nclauses NUMERIC

@DATA
SAT_Competition2007/random/OnTreshold/5SAT/v130/unif-k5-r21.3-v130-c2769-S116991008-16.SAT.shuffled.cnf,1,0.001,0.0469,0.0019,0.8395,0.0957,0.0023,0.641,0.1723,0,0,0.0121,0,0.6418,4353,4187,4221.6,4437,0.0037,4171,0.0206,0.0748,0.1611,0,2769,0.2359,0.7725,0.8585,3.5037,3,130,0.2,2769
SAT_Competition2007/random/LargeSize/3SAT/v4000/unif-k3-r4.2-v4000-c16800-S1178874381-13.cnf,1,0.0461,0.2333,0.0919,0.7277,0.2902,0.1235,0.567,0.3949,0,0.0275,0.6623,0.1744,0.5878,66,56,60.067,77,0.1768,51,0.2929,0.2133,0.385,0.0673,16800,0.3962,0.6517,0.8336,2.7168,5,4000,0,16684
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-f10ni.cnf,1,0.0164,0.1236,0.0721,1.8652,1.7985,0.1191,0.4497,0.6164,0.1298,5.5414,0.435,1.7163,0.7279,395,289,266.25,395,0.1481,263,1.6184,0.5122,0.6814,0.4106,1100000,2.1584,0.8171,0.8952,2.9222,10,369000,0,456000
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/dated-5-17-u.cnf,1,0.0018,0.1666,0.0151,1.3599,0.5379,0.0258,0.5844,0.5271,0.5776,2.0774,0.2025,1.0226,1.0243,75,75,75,75,0.032,75,0.5205,0.2205,0.6352,0.4291,856000,0.5231,0.8788,1.0206,2.8292,16,183000,0,358000
SAT_Competition2011/SAT11/random/large/unif-k5-r20-v1250-c25000-S935783783-069-UNKNOWN.cnf,1,0.0015,0.05,0.0028,0.829,0.0991,0.0035,0.6712,0.1715,0,0,0.0202,0,0.6514,36,31,31.832,42,0.005,27,0.0864,0.0804,0.1532,0,25000,0.2278,0.6575,0.8375,3.6843,3,1250,0.2,25000
SAT_Competition2011/SAT09/CRAFTED/sgi/satsgi-n26himBHm28-p0-q293.cnf,1,0.031,0.0385,0.0312,0,0,0.0314,0.0001,0.9305,0.9822,0.037,0.0319,0.0895,0,0,0,0,0,0.0316,0,0,0.9304,0.9305,2.3509,18954,0,0.0094,0.9996,0,2,728,1,18226
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v350-c1491-S648064606-012.UNKNOWN.cnf,1,0.0418,0.232,0.084,0.6795,0.2831,0.1085,0.5749,0.378,0,0.0174,0.2657,0.1406,0.5772,4036,3975,3970.6,4090,0.1641,3908,0.2766,0.2096,0.3795,0.0578,1491,0.3916,0.6645,0.8459,2.6435,4,350,0,1483
SAT_Competition2011/SAT05/crafted/sorge05/QG6/dead-dnd002.shuffled-as.sat05-2713.cnf,1,0.4971,0.2118,0.4212,2.9316,4.3842,0.4999,0.232,0.685,0.1019,0.0807,1,2.6115,0.9222,2653,1711,1802.8,2822,0.5,1323,1.4947,0.6105,0.7482,0.4536,7095,2.5423,0.4237,0.9613,3.0496,4,1339,0,5851
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v70-c6230-S1846644927-079.SATISFIABLE.cnf,1,0,0.0112,0.0001,0.9933,0.0352,0.0001,0.7396,0.0625,0,0,0.0002,0,0.6819,4480,4445,4449.7,4577,0.0001,4410,0,0.029,0.0511,0,6230,0.1715,0.3653,0.8723,3.8251,2,70,0.1429,6230
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v150-c3195-S1632870961-099.SATISFIABLE.cnf,1,0.001,0.0469,0.002,0.8085,0.1023,0.0024,0.6955,0.1752,0,0,0.0102,0,0.6393,4243,4113,4156.3,4315,0.004,4106,0.0264,0.0808,0.144,0,3195,0.2348,0.7783,0.8562,3.6006,3,150,0.2,3195
SAT_Competition2011/SAT05/crafted/sabharwal05/counting/php/unsat/harder/php-020-019.shuffled-as.sat05-1190.cnf,1,0.1562,0.0997,0.161,1.1095,0,0.1608,0.0045,0.8845,0.897,0.0556,0.1712,0.3424,1.0418,4858,4838,4784,4858,0.1658,4725,0.2279,0.8846,0.8847,1.4088,3630,0.3612,0.0269,0.997,0,3,380,0,3610
SAT_Competition2007/crafted/Hard/contest05/QG/QG7a-gensys-icl001.sat05-3822.reshuffled-07.cnf,1,0.4735,0.1672,0.4471,2.5461,1.2435,0.4991,0.1909,0.7352,0.0774,0.0361,0.9999,2.0397,0.8835,1844,1761,1682,1930,0.4997,1702,1.3838,0.6663,0.7496,0.38,16065,2.2425,0.31,0.9103,3.1474,6,2441,0,14090
SAT_Competition2009/CRAFTED/Difficult/contest-02-03-04/contest02-Mat26.sat05-457.reshuffled-07.cnf,1,0.012,0.163,0.032,1.4994,0.9001,0.0455,0.7198,0.2021,0.087,1.0667,0.0651,1.0891,0.7255,3822,3740,3736,3868,0.0647,3706,0.8863,0.0296,0.1944,0.2145,2464,0.8177,0.7102,0.837,1.6886,8,744,0,2208
SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-sat-210-3.sat05-2475.reshuffled-07.cnf,1,0.0894,0.1369,0.111,1.7119,0.3387,0.1201,1.4477,0.0384,0,0,0.2242,0.9131,0.8508,3424,3043,2867.6,3766,0.151,2643,0.1199,0.0018,0.0171,0.1543,2176,0.2092,0.2475,0.963,1.4988,7,298,0,2176
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/countbitssrl/countbitssrl032.cnf,1,0.0098,0.1973,0.0267,1.4348,1.1831,0.0457,0.6947,0.1836,0.3246,1.744,0.2894,1.2565,0.9449,1994,1693,1668.8,1994,0.0519,1586,1.0531,0.093,0.1417,0.4376,55724,1.2688,0.9785,0.8951,1.8331,29,18607,0,34365
SAT_Competition2007/random/LargeSize/5SAT/v900/unif-k5-r20-v900-c18000-S422570514-15.cnf,1,0.0015,0.05,0.0029,0.8332,0.1006,0.0037,0.6919,0.1754,0,0,0.0123,0,0.651,57,48,50.735,64,0.0052,42,0.0817,0.0764,0.1507,0,18000,0.2166,0.6604,0.8421,3.6923,3,900,0.2,18000
SAT_Competition2009/RANDOM/MEDIUM/3SAT/UNKNOWN/420/unif-k3-r4.25-v420-c1785-S1136141672-041.cnf,1,0.0462,0.2337,0.0904,0.6938,0.2941,0.1263,0.594,0.381,0,0.0219,0.3191,0.1114,0.58,4025,3959,3938,4042,0.1698,3883,0.2874,0.2107,0.3713,0.0579,1785,0.3663,0.6528,0.8472,2.7029,4,420,0,1759
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bjrb07amba2andenv-tseitin.cnf,1,0.0402,0.1666,0.0751,1.8983,2.2849,0.1098,0.5309,0.4442,0.2421,3.218,0.4333,1.689,0.7574,495,448,437.6,536,0.1372,403,1.6796,0.2671,0.4468,0.4194,210000,2.1075,0.6085,0.9544,2.996,28,70167,0,99876
SAT_RACE2006/SAT-Race-Benchmarks/goldb-heqc-dalumul.cnf,1,0.0277,0.1565,0.0438,1.2701,4.4289,0.0543,0.2964,0.598,0.2303,0.0067,0.3031,1.0597,0.7327,424,374,375.95,486,0.0819,316,2.8301,0.5013,0.6453,0.3548,59991,4.1397,0.633,0.9057,2.1434,12,9426,0,59810
SAT_Competition2009/CRAFTED/sgi/satsgi-n28himBHm30-p0-q333.cnf,1,0.0215,0.0358,0.0216,0,0,0.0218,0.0001,0.9295,0.9833,0.0345,0.0221,0.0847,0,0,0,0,0,0.0219,0,0,0.9294,0.9295,2.4435,23548,0,0.0081,0.9987,0,2,840,1,22708
SAT_Competition2009/CRAFTED/edgematching/explicit/em_9_3_5_exp.cnf,1,0.0031,0.0356,0.0169,0.9764,0.5915,0.0256,0.325,0.8451,0.6731,0.001,0.0826,0.8881,0.4033,552,468,472.88,590,0.0406,410,0.2745,0.9412,0.9683,0.6771,108000,0.3694,0.9193,0.9964,2.8181,7,3857,0,108000
SAT_Competition2011/SAT07/industrial/babic/hsatv17/hsat_vc12062.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_Competition2009/CRAFTED/edgematching/explicit/em_8_4_5_exp.cnf,1,0.004,0.0468,0.0198,1.0674,0.5971,0.0289,0.3358,0.8185,0.6285,0.0017,0.0797,0.9584,0.4419,724,680,648.86,772,0.0426,583,0.2907,0.9322,0.949,0.627,51668,0.384,0.8989,0.9944,2.8371,7,2420,0,51668
SAT_Competition2007/crafted/Medium/contest05/sabharwal/gt-ordering-unsat-gt-030.sat05-1307.reshuffled-07.cnf,1,0,0.035,0,0.6262,0,0,0,0.5268,0.0175,0.0345,0,0.0975,0.5881,2811,2673,2635,2866,0,2527,0,0.5268,0.5268,0.303,24825,0.1827,0.0004,0.998,0,3,900,0,24825
SAT_Competition2007/random/LargeSize/5SAT/v800/unif-k5-r20-v800-c16000-S2109328271-14.cnf,1,0.0015,0.05,0.0027,0.8371,0.0961,0.0033,0.6886,0.1623,0,0,0.0134,0,0.6489,63,56,58.464,70,0.0048,50,0.0751,0.0711,0.1448,0,16000,0.2261,0.6447,0.839,3.6415,3,800,0.2,16000
SAT_Competition2007/random/LargeSize/7SAT/v140/unif-k7-r85-v140-c11900-S1426208256-08.cnf,1,0.0001,0.0118,0.0001,1.0031,0.0352,0.0001,0.652,0.0683,0,0,0.0002,0,0.6841,4371,4326,4246,4371,0.0001,4145,0,0.0317,0.0657,0,11900,0.1691,0.3277,0.8682,4.0529,2,140,0.1429,11900
SAT_Competition2009/CRAFTED/edgematching/all/em_8_4_5_all.cnf,1,0.0001,0.0384,0.0144,0.9573,0.6398,0.0249,0.2756,0.8496,0.6948,0.0017,0.0827,0.8605,0.3974,540,416,456.96,633,0.0425,348,0.3167,0.9343,0.9747,0.599,62900,0.4768,1.3461,0.9904,2.8557,7,2420,0,62900
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v175-c3727-S1126657927-015.SATISFIABLE.cnf,1,0.001,0.047,0.0018,0.8412,0.0977,0.0022,0.7072,0.1602,0,0,0.0061,0,0.6584,4254,4078,4108.5,4267,0.0034,4038,0.0325,0.0645,0.1372,0,3727,0.2433,0.631,0.8549,3.5974,3,175,0.2,3727
SAT_Competition2009/CRAFTED/parity-games/instance_n5_i5_pp.cnf,1,0.0097,0.108,0.079,1.6268,1.1086,0.0769,0.6348,0.5078,0.1968,0.4568,0.3695,1.2933,0.6768,1918,1863,1765.3,1918,0.2547,1515,0.965,0.1598,0.5925,0.3012,26264,1.2945,1.2942,0.9309,3.4509,7,3655,0,23231
SAT_Competition2007/crafted/Medium/contest05/jarvisalo/mod2-rand3bip-sat-220-1.sat05-2173.reshuffled-07.cnf,1,0.042,0.25,0.042,0.5623,0,0.042,0,0,0,0,0.042,0,0.5774,4469,4468,4434.8,4534,0.042,4360,0.0273,0,0,0,880,0.2996,0.0001,0.8742,0,7,220,0.3333,880
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/transport-transport-three-cities-sequential-14nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.020-NOTKNOWN.cnf,1,0.0249,0.1424,0.155,0.7405,4.7326,0.3138,0.3019,0.8162,0.9903,1.0682,0.6587,0.0741,1.2016,0,0,0,0,0.4075,0,0.7991,0.6155,0.9468,5.8326,4120000,5.6617,1.0443,1.7153,1.3857,23,757000,0,2570000
SAT_Competition2011/SAT11/random/large/unif-k5-r20-v1000-c20000-S72635791-098-UNKNOWN.cnf,1,0.0015,0.05,0.0027,0.8303,0.0988,0.0034,0.6891,0.1615,0,0,0.013,0,0.6504,46,42,44.383,58,0.0047,38,0.0835,0.0732,0.1458,0,20000,0.2274,0.6289,0.8427,3.6754,3,1000,0.2,20000
SAT_Competition2009/CRAFTED/Hard/contest05/QG/QG7a-gensys-icl004.sat05-3825.reshuffled-07.cnf,1,0.4719,0.1631,0.4382,2.5306,1.2324,0.499,0.1873,0.7356,0.0848,0.0407,0.9999,2.039,0.8811,2169,2052,1999.7,2225,0.4997,1972,1.3286,0.6662,0.7526,0.3857,15960,2.4745,0.3296,0.912,3.0672,6,2401,0,14145
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1406921020-013.UNKNOWN.cnf,1,0.0406,0.2327,0.0839,0.6283,0.2773,0.1129,0.6048,0.3836,0,0.0112,0.3813,0.0593,0.579,4029,3921,3940.4,4064,0.1595,3879,0.2746,0.1802,0.3772,0.0454,1917,0.3849,0.6896,0.8435,2.669,5,450,0,1912
SAT_Competition2009/CRAFTED/Medium/contest05/others/QG7a-gensys-brn004.sat05-3669.reshuffled-07.cnf,1,0.4733,0.1663,0.4444,2.5489,1.1824,0.499,0.1899,0.7348,0.0809,0.041,0.9999,2.0383,0.8766,1988,1820,1817.4,2148,0.4997,1715,1.3887,0.6662,0.7497,0.3826,16016,2.3,0.3142,0.9128,3.1852,6,2435,0,14063
SAT_Competition2011/SAT05/crafted/sabharwal05/planning/logistics/unsat/logistics-rotate-07t5.shuffled-as.sat05-1137.cnf,1,0.0003,0.0221,0.0112,0.897,0.2523,0.0119,0.1168,0.9235,0.951,0.5513,0.272,0.2671,1.0016,4769,4681,3610,4769,0.0125,1380,0.2918,0.9432,0.9512,0.5835,88373,0.4208,2.805,0.9999,2.759,5,2721,0,79229
SAT_Competition2011/SAT05/crafted/sabharwal05/counting/php/unsat/harder/php-040-039.shuffled-as.sat05-1194.cnf,1,0.1041,0.05,0.1058,0.9599,0,0.1075,0.0015,0.9351,0.9495,0.0263,0.1115,0.204,1.0234,4886,4886,4886,4886,0.1077,4886,0.262,0.9339,0.9351,2.1263,30460,0.3466,0.0182,1.0009,0,3,1560,0,30420
SAT_Competition2007/random/OnTreshold/7SAT/v70/unif-k7-r89-v70-c6230-S1084572666-19.SAT.shuffled.cnf,1,0,0.0112,0.0001,0.9952,0.0352,0.0001,0.6741,0.0661,0,0,0.0001,0,0.678,4533,4437,4455,4541,0.0001,4385,0,0.0317,0.0572,0,6230,0.1599,0.3569,0.8743,3.8251,2,70,0.1429,6230
SAT-Race-2010-CNF/hardware-verification/velev/12pipe_q0_k.cnf,1,0,0.0193,0.0979,0.6842,3.6777,0.2199,0.4528,0.8019,0.9229,0.7335,0.5,0.4957,0.3239,0,0,0,0,0.36,0,2.4033,0.8215,0.9995,2.9494,4220000,2.8305,1.6199,1.0386,5.0901,4,137000,0,4090000
