@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 7'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_table_count NUMERIC
@ATTRIBUTE stats_edge_density NUMERIC
@ATTRIBUTE stats_varcount NUMERIC
@ATTRIBUTE stats_branchingvars NUMERIC
@ATTRIBUTE stats_var_discrete NUMERIC
@ATTRIBUTE stats_arity_mean_normalised NUMERIC
@ATTRIBUTE stats_cts_per_var_mean_normalised NUMERIC

@DATA
2-insertions-3-3.xml.watchless.minion.gz,1,0,0.108108,37,37,37,0.054054,0.054054
2-insertions-3-4.xml.watchless.minion.gz,1,0,0.108108,37,37,37,0.054054,0.054054
2-insertions-4-3.xml.watchless.minion.gz,1,0,0.049066,149,149,149,0.013423,0.013423
2-insertions-4-4.xml.watchless.minion.gz,1,0,0.049066,149,149,149,0.013423,0.013423
2-insertions-4-5.xml.watchless.minion.gz,1,0,0.049066,149,149,149,0.013423,0.013423
2-insertions-5-3.xml.watchless.minion.gz,1,0,0.022124,597,597,597,0.00335,0.00335
2-insertions-5-4.xml.watchless.minion.gz,1,0,0.022124,597,597,597,0.00335,0.00335
2-insertions-5-5.xml.watchless.minion.gz,1,0,0.022124,597,597,597,0.00335,0.00335
2-insertions-5-6.xml.watchless.minion.gz,1,0,0.022124,597,597,597,0.00335,0.00335
3-fullins-3-5.xml.watchless.minion.gz,1,0,0.109494,80,80,80,0.025,0.025
3-fullins-3-6.xml.watchless.minion.gz,1,0,0.109494,80,80,80,0.025,0.025
3-fullins-4-5.xml.watchless.minion.gz,1,0,0.043075,405,405,405,0.004938,0.004938
3-fullins-4-6.xml.watchless.minion.gz,1,0,0.043075,405,405,405,0.004938,0.004938
3-fullins-4-7.xml.watchless.minion.gz,1,0,0.043075,405,405,405,0.004938,0.004938
3-fullins-5-5.xml.watchless.minion.gz,1,0,0.016388,2030,2030,2030,0.000985,0.000985
3-fullins-5-6.xml.watchless.minion.gz,1,0,0.016388,2030,2030,2030,0.000985,0.000985
3-fullins-5-7.xml.watchless.minion.gz,1,0,0.016388,2030,2030,2030,0.000985,0.000985
3-fullins-5-8.xml.watchless.minion.gz,1,0,0.016388,2030,2030,2030,0.000985,0.000985
3-insertions-3-3.xml.watchless.minion.gz,1,0,0.071429,56,56,56,0.035714,0.035714
3-insertions-3-4.xml.watchless.minion.gz,1,0,0.071429,56,56,56,0.035714,0.035714
3-insertions-4-3.xml.watchless.minion.gz,1,0,0.026589,281,281,281,0.007117,0.007117
3-insertions-4-4.xml.watchless.minion.gz,1,0,0.026589,281,281,281,0.007117,0.007117
3-insertions-4-5.xml.watchless.minion.gz,1,0,0.026589,281,281,281,0.007117,0.007117
3-insertions-5-3.xml.watchless.minion.gz,1,0,0.009816,1406,1406,1406,0.001422,0.001422
3-insertions-5-4.xml.watchless.minion.gz,1,0,0.009816,1406,1406,1406,0.001422,0.001422
3-insertions-5-5.xml.watchless.minion.gz,1,0,0.009816,1406,1406,1406,0.001422,0.001422
3-insertions-5-6.xml.watchless.minion.gz,1,0,0.009816,1406,1406,1406,0.001422,0.001422
4-fullins-3-6.xml.watchless.minion.gz,1,0,0.083993,114,114,114,0.017544,0.017544
4-fullins-3-7.xml.watchless.minion.gz,1,0,0.083993,114,114,114,0.017544,0.017544
4-fullins-4-6.xml.watchless.minion.gz,1,0,0.027976,690,690,690,0.002899,0.002899
4-fullins-4-7.xml.watchless.minion.gz,1,0,0.027976,690,690,690,0.002899,0.002899
4-fullins-4-8.xml.watchless.minion.gz,1,0,0.027976,690,690,690,0.002899,0.002899
4-fullins-5-5.xml.watchless.minion.gz,1,0,0.008997,4146,4146,4146,0.000482,0.000482
4-fullins-5-6.xml.watchless.minion.gz,1,0,0.008997,4146,4146,4146,0.000482,0.000482
4-fullins-5-7.xml.watchless.minion.gz,1,0,0.008997,4146,4146,4146,0.000482,0.000482
4-fullins-5-8.xml.watchless.minion.gz,1,0,0.008997,4146,4146,4146,0.000482,0.000482
4-insertions-3-3.xml.watchless.minion.gz,1,0,0.050633,79,79,79,0.025316,0.025316
4-insertions-3-4.xml.watchless.minion.gz,1,0,0.050633,79,79,79,0.025316,0.025316
4-insertions-4-3.xml.watchless.minion.gz,1,0,0.015945,475,475,475,0.004211,0.004211
4-insertions-4-4.xml.watchless.minion.gz,1,0,0.015945,475,475,475,0.004211,0.004211
4-insertions-4-5.xml.watchless.minion.gz,1,0,0.015945,475,475,475,0.004211,0.004211
5-fullins-3-6.xml.watchless.minion.gz,1,0,0.067227,154,154,154,0.012987,0.012987
5-fullins-3-7.xml.watchless.minion.gz,1,0,0.067227,154,154,154,0.012987,0.012987
5-fullins-3-8.xml.watchless.minion.gz,1,0,0.067227,154,154,154,0.012987,0.012987
5-fullins-4-6.xml.watchless.minion.gz,1,0,0.019377,1085,1085,1085,0.001843,0.001843
5-fullins-4-7.xml.watchless.minion.gz,1,0,0.019377,1085,1085,1085,0.001843,0.001843
5-fullins-4-8.xml.watchless.minion.gz,1,0,0.019377,1085,1085,1085,0.001843,0.001843
5-fullins-4-9.xml.watchless.minion.gz,1,0,0.019377,1085,1085,1085,0.001843,0.001843
abb313GPIA-10.xml.watchless.minion.gz,1,0,0.044047,1557,1557,1557,0.001285,0.001285
abb313GPIA-5.xml.watchless.minion.gz,1,0,0.044047,1557,1557,1557,0.001285,0.001285
abb313GPIA-7.xml.watchless.minion.gz,1,0,0.044047,1557,1557,1557,0.001285,0.001285
abb313GPIA-8.xml.watchless.minion.gz,1,0,0.044047,1557,1557,1557,0.001285,0.001285
abb313GPIA-9.xml.watchless.minion.gz,1,0,0.044047,1557,1557,1557,0.001285,0.001285
aim-100-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,154,0.071919,100,100,100,0.029935,0.029935
aim-100-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,156,0.071717,100,100,100,0.029936,0.029936
aim-100-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,156,0.074141,100,100,100,0.03,0.03
aim-100-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,157,0.073333,100,100,100,0.03,0.03
aim-100-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,157,0.082828,100,100,100,0.03,0.03
aim-100-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,150,0.078788,100,100,100,0.029867,0.029867
aim-100-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,152,0.080404,100,100,100,0.029934,0.029934
aim-100-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,157,0.08202,100,100,100,0.029873,0.029873
aim-100-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,194,0.090505,100,100,100,0.029948,0.029948
aim-100-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,197,0.093737,100,100,100,0.029898,0.029898
aim-100-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,191,0.089899,100,100,100,0.029948,0.029948
aim-100-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,195,0.093131,100,100,100,0.03,0.03
aim-100-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,196,0.104444,100,100,100,0.03,0.03
aim-100-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,192,0.102424,100,100,100,0.03,0.03
aim-100-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,193,0.099798,100,100,100,0.029896,0.029896
aim-100-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,191,0.100808,100,100,100,0.03,0.03
aim-100-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,320,0.150909,100,100,100,0.029969,0.029969
aim-100-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,316,0.151515,100,100,100,0.029905,0.029905
aim-100-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,312,0.149091,100,100,100,0.03,0.03
aim-100-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,317,0.150505,100,100,100,0.029968,0.029968
aim-100-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,559,0.243838,100,100,100,0.029946,0.029946
aim-100-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,559,0.242222,100,100,100,0.029982,0.029982
aim-100-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,561,0.249091,100,100,100,0.029964,0.029964
aim-100-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,570,0.243434,100,100,100,0.02993,0.02993
aim-200-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,315,0.037186,200,200,200,0.014984,0.014984
aim-200-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,316,0.037136,200,200,200,0.014984,0.014984
aim-200-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,311,0.036985,200,200,200,0.014984,0.014984
aim-200-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,318,0.037136,200,200,200,0.014937,0.014937
aim-200-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,308,0.04201,200,200,200,0.014984,0.014984
aim-200-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,302,0.042111,200,200,200,0.014983,0.014983
aim-200-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,309,0.040553,200,200,200,0.014968,0.014968
aim-200-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,316,0.042663,200,200,200,0.015,0.015
aim-200-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,386,0.046533,200,200,200,0.014987,0.014987
aim-200-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,382,0.046482,200,200,200,0.014987,0.014987
aim-200-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,387,0.046482,200,200,200,0.014987,0.014987
aim-200-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,389,0.046533,200,200,200,0.014974,0.014974
aim-200-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,389,0.05206,200,200,200,0.014987,0.014987
aim-200-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,383,0.051658,200,200,200,0.014987,0.014987
aim-200-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,388,0.051859,200,200,200,0.014974,0.014974
aim-200-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,392,0.052462,200,200,200,0.014962,0.014962
aim-200-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,646,0.077889,200,200,200,0.014985,0.014985
aim-200-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,636,0.076985,200,200,200,0.015,0.015
aim-200-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,641,0.077387,200,200,200,0.014984,0.014984
aim-200-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,643,0.077236,200,200,200,0.014984,0.014984
aim-200-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,1152,0.152261,200,200,200,0.014965,0.014965
aim-200-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,1169,0.153467,200,200,200,0.01497,0.01497
aim-200-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,1152,0.153166,200,200,200,0.014978,0.014978
aim-200-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,1156,0.152261,200,200,200,0.01497,0.01497
aim-50-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,77,0.14449,50,50,50,0.06,0.06
aim-50-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,76,0.14449,50,50,50,0.06,0.06
aim-50-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,78,0.142857,50,50,50,0.059487,0.059487
aim-50-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,77,0.140408,50,50,50,0.059481,0.059481
aim-50-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,69,0.142041,50,50,50,0.05971,0.05971
aim-50-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,77,0.155102,50,50,50,0.06,0.06
aim-50-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,70,0.142857,50,50,50,0.059714,0.059714
aim-50-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,76,0.157551,50,50,50,0.06,0.06
aim-50-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,94,0.177959,50,50,50,0.06,0.06
aim-50-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,96,0.17551,50,50,50,0.059792,0.059792
aim-50-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,96,0.179592,50,50,50,0.06,0.06
aim-50-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,94,0.166531,50,50,50,0.059787,0.059787
aim-50-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,97,0.201633,50,50,50,0.06,0.06
aim-50-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,94,0.195918,50,50,50,0.06,0.06
aim-50-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,92,0.190204,50,50,50,0.06,0.06
aim-50-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,95,0.190204,50,50,50,0.059579,0.059579
aim-50-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,156,0.286531,50,50,50,0.06,0.06
aim-50-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,161,0.28898,50,50,50,0.06,0.06
aim-50-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,161,0.292245,50,50,50,0.06,0.06
aim-50-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,159,0.277551,50,50,50,0.059748,0.059748
aim-50-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,290,0.453878,50,50,50,0.059931,0.059931
aim-50-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,284,0.440816,50,50,50,0.059789,0.059789
aim-50-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,268,0.427755,50,50,50,0.059851,0.059851
aim-50-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,273,0.441633,50,50,50,0.059927,0.059927
ash331GPIA-3.xml.watchless.minion.gz,1,0,0.01911,662,662,662,0.003021,0.003021
ash331GPIA-4.xml.watchless.minion.gz,1,0,0.01911,662,662,662,0.003021,0.003021
ash608GPIA-3.xml.watchless.minion.gz,1,0,0.010618,1216,1216,1216,0.001645,0.001645
ash608GPIA-4.xml.watchless.minion.gz,1,0,0.010618,1216,1216,1216,0.001645,0.001645
ash958GPIA-3.xml.watchless.minion.gz,1,0,0.006817,1916,1916,1916,0.001044,0.001044
ash958GPIA-4.xml.watchless.minion.gz,1,0,0.006817,1916,1916,1916,0.001044,0.001044
bf-0432-007_ext.xml.minion.converted.minion.gz,1,1942,0.006013,970,970,970,0.002461,0.002461
bf-1355-075_ext.xml.minion.converted.minion.gz,1,2047,0.002226,1818,1818,1818,0.001477,0.001477
bf-1355-638_ext.xml.minion.converted.minion.gz,1,339,0.004439,532,532,532,0.004436,0.004436
bf-2670-001_ext.xml.minion.converted.minion.gz,1,1354,0.00222,1244,1244,1244,0.001826,0.001826
BlackHole-4-13-e-0_ext.xml.minion.converted.minion.gz,1,4216,0.195838,208,208,208,0.009614,0.009614
BlackHole-4-13-e-1_ext.xml.minion.converted.minion.gz,1,4216,0.195838,208,208,208,0.009614,0.009614
BlackHole-4-13-e-2_ext.xml.minion.converted.minion.gz,1,4216,0.195838,208,208,208,0.009614,0.009614
BlackHole-4-13-e-3_ext.xml.minion.converted.minion.gz,1,4216,0.195838,208,208,208,0.009614,0.009614
BlackHole-4-13-m-0_ext.xml.minion.converted.minion.gz,1,4216,0.195838,208,208,208,0.009614,0.009614
BlackHole-4-13-m-1_ext.xml.minion.converted.minion.gz,1,4216,0.195838,208,208,208,0.009614,0.009614
BlackHole-4-13-m-2_ext.xml.minion.converted.minion.gz,1,4216,0.195838,208,208,208,0.009614,0.009614
BlackHole-4-4-e-0_ext.xml.minion.converted.minion.gz,1,430,0.213294,64,64,64,0.031214,0.031214
BlackHole-4-4-e-0_ext.xml.minion.conv.minion,1,430,0.213294,64,64,64,0.031214,0.031214
BlackHole-4-4-e-1_ext.xml.minion.converted.minion.gz,1,430,0.213294,64,64,64,0.031214,0.031214
BlackHole-4-4-e-1_ext.xml.minion.conv.minion,1,430,0.213294,64,64,64,0.031214,0.031214
BlackHole-4-4-e-2_ext.xml.minion.converted.minion.gz,1,430,0.213294,64,64,64,0.031214,0.031214
BlackHole-4-4-e-2_ext.xml.minion.conv.minion,1,430,0.213294,64,64,64,0.031214,0.031214
BlackHole-4-4-e-3_ext.xml.minion.converted.minion.gz,1,430,0.213294,64,64,64,0.031214,0.031214
BlackHole-4-4-e-3_ext.xml.minion.conv.minion,1,430,0.213294,64,64,64,0.031214,0.031214
BlackHole-4-4-e-4_ext.xml.minion.converted.minion.gz,1,430,0.213294,64,64,64,0.031214,0.031214
BlackHole-4-4-e-4_ext.xml.minion.conv.minion,1,430,0.213294,64,64,64,0.031214,0.031214
BlackHole-4-4-e-5_ext.xml.minion.converted.minion.gz,1,430,0.213294,64,64,64,0.031214,0.031214
BlackHole-4-4-e-5_ext.xml.minion.conv.minion,1,430,0.213294,64,64,64,0.031214,0.031214
BlackHole-4-4-e-6_ext.xml.minion.converted.minion.gz,1,430,0.213294,64,64,64,0.031214,0.031214
BlackHole-4-4-e-6_ext.xml.minion.conv.minion,1,430,0.213294,64,64,64,0.031214,0.031214
BlackHole-4-4-e-7_ext.xml.minion.converted.minion.gz,1,430,0.213294,64,64,64,0.031214,0.031214
BlackHole-4-4-e-7_ext.xml.minion.conv.minion,1,430,0.213294,64,64,64,0.031214,0.031214
BlackHole-4-4-e-8_ext.xml.minion.converted.minion.gz,1,430,0.213294,64,64,64,0.031214,0.031214
BlackHole-4-4-e-8_ext.xml.minion.conv.minion,1,430,0.213294,64,64,64,0.031214,0.031214
BlackHole-4-4-e-9_ext.xml.minion.converted.minion.gz,1,430,0.213294,64,64,64,0.031214,0.031214
BlackHole-4-4-e-9_ext.xml.minion.conv.minion,1,430,0.213294,64,64,64,0.031214,0.031214
BlackHole-4-7-e-0_ext.xml.minion.converted.minion.gz,1,1260,0.202703,112,112,112,0.01785,0.01785
BlackHole-4-7-e-1_ext.xml.minion.converted.minion.gz,1,1260,0.202703,112,112,112,0.01785,0.01785
BlackHole-4-7-e-2_ext.xml.minion.converted.minion.gz,1,1260,0.202703,112,112,112,0.01785,0.01785
BlackHole-4-7-e-3_ext.xml.minion.converted.minion.gz,1,1260,0.202703,112,112,112,0.01785,0.01785
BlackHole-4-7-e-4_ext.xml.minion.converted.minion.gz,1,1260,0.202703,112,112,112,0.01785,0.01785
BlackHole-4-7-e-5_ext.xml.minion.converted.minion.gz,1,1260,0.202703,112,112,112,0.01785,0.01785
BlackHole-4-7-e-6_ext.xml.minion.converted.minion.gz,1,1260,0.202703,112,112,112,0.01785,0.01785
BlackHole-4-7-e-7_ext.xml.minion.converted.minion.gz,1,1260,0.202703,112,112,112,0.01785,0.01785
BlackHole-4-7-e-8_ext.xml.minion.converted.minion.gz,1,1260,0.202703,112,112,112,0.01785,0.01785
BlackHole-4-7-e-9_ext.xml.minion.converted.minion.gz,1,1260,0.202703,112,112,112,0.01785,0.01785
BlackHole-4-7-h-0_ext.xml.minion.converted.minion.gz,1,1260,0.202703,112,112,112,0.01785,0.01785
BlackHole-4-7-h-1_ext.xml.minion.converted.minion.gz,1,1260,0.202703,112,112,112,0.01785,0.01785
BlackHole-4-7-h-2_ext.xml.minion.converted.minion.gz,1,1260,0.202703,112,112,112,0.01785,0.01785
BlackHole-4-7-h-3_ext.xml.minion.converted.minion.gz,1,1260,0.202703,112,112,112,0.01785,0.01785
BlackHole-4-7-h-4_ext.xml.minion.converted.minion.gz,1,1260,0.202703,112,112,112,0.01785,0.01785
BlackHole-4-7-h-5_ext.xml.minion.converted.minion.gz,1,1260,0.202703,112,112,112,0.01785,0.01785
BlackHole-4-7-h-6_ext.xml.minion.converted.minion.gz,1,1260,0.202703,112,112,112,0.01785,0.01785
BlackHole-4-7-h-7_ext.xml.minion.converted.minion.gz,1,1260,0.202703,112,112,112,0.01785,0.01785
BlackHole-4-7-h-8_ext.xml.minion.converted.minion.gz,1,1260,0.202703,112,112,112,0.01785,0.01785
BlackHole-4-7-h-9_ext.xml.minion.converted.minion.gz,1,1260,0.202703,112,112,112,0.01785,0.01785
bqwh-15-106-0_glb.xml.minion.conv.minion,1,?,?,?,?,?,?,?
bqwh-15-106-10_glb.xml.minion.conv.minion,1,?,?,?,?,?,?,?
bqwh-15-106-11_ext.xml.minion.converted.minion.gz,1,606,0.108895,106,106,106,0.014718,0.014718
bqwh-15-106-11_glb.xml.minion.conv.minion,1,0,0.115723,106,106,106,0.012827,0.012827
bqwh-15-106-13_ext.xml.minion.converted.minion.gz,1,575,0.103324,106,106,106,0.014196,0.014196
bqwh-15-106-13_glb.xml.minion.conv.minion,1,?,?,?,?,?,?,?
bqwh-15-106-14_glb.xml.minion.conv.minion,1,0,0.115903,106,106,106,0.012567,0.012567
bqwh-15-106-15_ext.xml.minion.converted.minion.gz,1,590,0.10602,106,106,106,0.013858,0.013858
bqwh-15-106-15_glb.xml.minion.conv.minion,1,0,0.115723,106,106,106,0.011894,0.011894
bqwh-15-106-17_ext.xml.minion.converted.minion.gz,1,594,0.106739,106,106,106,0.01385,0.01385
bqwh-15-106-18_glb.xml.minion.conv.minion,1,0,0.115723,106,106,106,0.01231,0.01231
bqwh-15-106-19_ext.xml.minion.converted.minion.gz,1,581,0.104403,106,106,106,0.013709,0.013709
bqwh-15-106-19_glb.xml.minion.conv.minion,1,?,?,?,?,?,?,?
bqwh-15-106-1_ext.xml.minion.converted.minion.gz,1,577,0.103684,106,106,106,0.013703,0.013703
bqwh-15-106-1_glb.xml.minion.conv.minion,1,?,?,?,?,?,?,?
bqwh-15-106-20_glb.xml.minion.conv.minion,1,0,0.115723,106,106,106,0.011978,0.011978
bqwh-15-106-21_ext.xml.minion.converted.minion.gz,1,563,0.101168,106,106,106,0.013981,0.013981
bqwh-15-106-21_glb.xml.minion.conv.minion,1,?,?,?,?,?,?,?
bqwh-15-106-22_glb.xml.minion.conv.minion,1,?,?,?,?,?,?,?
bqwh-15-106-23_ext.xml.minion.converted.minion.gz,1,578,0.103863,106,106,106,0.013997,0.013997
bqwh-15-106-23_glb.xml.minion.conv.minion,1,?,?,?,?,?,?,?
bqwh-15-106-24_glb.xml.minion.conv.minion,1,?,?,?,?,?,?,?
bqwh-15-106-25_ext.xml.minion.converted.minion.gz,1,595,0.106918,106,106,106,0.013975,0.013975
bqwh-15-106-25_glb.xml.minion.conv.minion,1,?,?,?,?,?,?,?
bqwh-15-106-26_glb.xml.minion.conv.minion,1,0,0.115723,106,106,106,0.011849,0.011849
bqwh-15-106-27_ext.xml.minion.converted.minion.gz,1,574,0.103145,106,106,106,0.013836,0.013836
bqwh-15-106-28_glb.xml.minion.conv.minion,1,0,0.115723,106,106,106,0.011915,0.011915
bqwh-15-106-29_ext.xml.minion.converted.minion.gz,1,586,0.105301,106,106,106,0.014155,0.014155
bqwh-15-106-29_glb.xml.minion.conv.minion,1,?,?,?,?,?,?,?
bqwh-15-106-2_glb.xml.minion.conv.minion,1,?,?,?,?,?,?,?
bqwh-15-106-30_glb.xml.minion.conv.minion,1,0,0.115723,106,106,106,0.01163,0.01163
bqwh-15-106-31_ext.xml.minion.converted.minion.gz,1,602,0.108176,106,106,106,0.014108,0.014108
bqwh-15-106-31_glb.xml.minion.conv.minion,1,?,?,?,?,?,?,?
bqwh-15-106-32_glb.xml.minion.conv.minion,1,?,?,?,?,?,?,?
bqwh-15-106-33_ext.xml.minion.converted.minion.gz,1,580,0.104223,106,106,106,0.014083,0.014083
bqwh-15-106-33_glb.xml.minion.conv.minion,1,?,?,?,?,?,?,?
bqwh-15-106-34_glb.xml.minion.conv.minion,1,0,0.115723,106,106,106,0.011912,0.011912
bqwh-15-106-35_ext.xml.minion.converted.minion.gz,1,624,0.112129,106,106,106,0.013571,0.013571
bqwh-15-106-35_glb.xml.minion.conv.minion,1,?,?,?,?,?,?,?
bqwh-15-106-36_glb.xml.minion.conv.minion,1,?,?,?,?,?,?,?
bqwh-15-106-37_ext.xml.minion.converted.minion.gz,1,562,0.100988,106,106,106,0.013901,0.013901
bqwh-15-106-37_glb.xml.minion.conv.minion,1,?,?,?,?,?,?,?
bqwh-15-106-38_glb.xml.minion.conv.minion,1,?,?,?,?,?,?,?
bqwh-15-106-39_ext.xml.minion.converted.minion.gz,1,609,0.109434,106,106,106,0.013757,0.013757
bqwh-15-106-39_glb.xml.minion.conv.minion,1,0,0.115723,106,106,106,0.011723,0.011723
bqwh-15-106-3_ext.xml.minion.converted.minion.gz,1,598,0.107457,106,106,106,0.013998,0.013998
