@RELATION 'FEATURE_VALUES-SAT12-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC

@DATA
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2100c215164g9.cnf,1,0.0842,0.0124,0.9519,0,0.8333,0,0.7188,56.8601,0.0025,0,0,0.2047,43.5979,0.7968,0.8802,53.0447
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n220-s24359701-sat.cnf,1,0.0001,0,0.6117,0.2295,0,0.2295,0.5831,32.4793,0.0114,0.2295,0.2295,0.4506,1.0772,0.5832,0.5832,0.5588
SAT_Competition2009/CRAFTED/edgematching/all/em_14_7_3_all.cnf,1,0.1476,0,0.9332,0.2259,0,0.0085,0.9636,0,0.0004,0.0119,0.0038,0.4533,38.4923,0.9849,0.9935,21.2439
SAT_Competition2011/SAT11/crafted/mosoi/289/289-sat-6x20.cnf,1,0.0001,0.0408,0.7577,0.0046,1,0.0046,0.5027,29.2469,0.0163,0.0046,0.0046,0.682,6.8948,0.5027,0.5028,6.7881
SAT_Competition2007/crafted/Hard/contest05/counting-clq/unsat-set-a-clqcolor-30-19-20.sat05-1256.reshuffled-07.cnf,1,0.0429,0.0003,0.4985,0.1905,0,0.0655,0.8653,50.8289,0.0064,0.0982,0.0218,0.4109,38.0219,0.8877,0.9277,21.8594
SAT_Competition2007/crafted/Medium/contest05/jarvisalo/mod2-rand3bip-sat-210-1.sat05-2158.reshuffled-07.cnf,1,0,0,0.5024,0.042,0.3333,0.042,0,26.1346,0.0143,0.042,0.042,0,1.2135,0,0,0.4996
SAT_Competition2009/CRAFTED/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-120-3.sat05-2340.reshuffled-07.cnf,1,0,0,0.2922,0.3833,0,0.3831,0,21.3289,0.025,0.3832,0.3831,0,1.0493,0,0,0.4919
SAT_Competition2011/SAT09/CRAFTED/rbsat/crafted/unforced/rbsat-v760c43649g2.cnf,1,0.0218,0.0177,0.9256,0,0.8333,0,0.7684,45.3485,0.0064,0,0,0.2874,24.1578,0.7789,0.802,28.4218
SAT_Competition2007/crafted/Hard/contest02/ezfact64_5.sat05-452.reshuffled-07.cnf,1,1.3487,0.1157,0.3628,0.1012,0,0.0665,0,28.2247,0.0074,0.0697,0.0548,0.6154,0.4409,0.0061,0.1343,0.2381
SAT_Competition2009/CRAFTED/Medium/contest05/pebbling/unsat-pbl-00080.sat05-1325.reshuffled-07.cnf,1,0.4894,0.1312,0.0446,0.4996,0,0.4293,0.1544,10.1159,0.2934,0.4675,0.361,1.54,8.0375,0.2856,0.7167,6.5323
SAT_Competition2009/CRAFTED/edgematching/explicit/em_7_3_6_exp.cnf,1,0.3375,0,0.8469,0.0809,0,0.0269,0.2758,15.0009,0.005,0.0413,0.0033,0.9833,4.8371,0.7421,0.9624,3.3667
SAT_Competition2011/SAT07/crafted/spence/hard/s113-100.cnf,1,1.6635,0,0.5,0.3245,1,0.3217,0.0011,16.0966,0.0508,0.3225,0.314,0,0.822,0.0033,0.0685,0.4951
SAT_Competition2009/CRAFTED/Medium/contest05/jarvisalo/mod2-3cage-unsat-9-14.sat05-2589.reshuffled-07.cnf,1,0,0,0.3233,0.3797,0,0.3662,0,19.0963,0.069,0.373,0.3222,0.3326,1.452,0,0,1.2021
SAT_Competition2007/crafted/Medium/contest05/others/QG7-gensys-icl001.sat05-2926.reshuffled-07.cnf,1,0.1143,0.4619,0.4329,0.9774,0,0.0345,0.7446,32.3552,0.0278,0.0398,0.0262,1.091,6.2979,0.8135,0.9234,4.528
SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-3cage-unsat-10-3.sat05-2568.reshuffled-07.cnf,1,0,0,0.2946,0.3832,0,0.3831,0,22.0862,0.0286,0.3832,0.3831,0,1.1033,0,0,0.5264
SAT_Competition2009/CRAFTED/Hard/contest04/others/ramsey.sat05-511.reshuffled-07.cnf,1,0,0,0.1047,0.0005,0,0.0005,0,30.6719,0.0392,0.0005,0.0005,0,1.8778,0,0,1.4088
SAT_Competition2011/SAT02/handmade/zhang-lintao/xor-chain/x1_80.shuffled.cnf,1,0,0.0032,0.3339,0.3804,0,0.3644,0,26.6047,0.0253,0.3717,0.3186,0.3798,1.0809,0,0,0.742
SAT_Competition2007/crafted/Medium/contest05/sabharwal/counting-easier-php-012-010.sat05-1172.reshuffled-07.cnf,1,0.0152,0.0182,0.6424,0.2198,0,0.1925,0.8041,29.0587,0.0333,0.2006,0.185,0.5281,2.9631,0.806,0.8242,3.0021
SAT_Competition2011/SAT11/crafted/mosoi/289/289-unsat-17x30.cnf,1,0.1556,0.0086,0.7516,0,1,0,0.3048,28.7399,0.0039,0,0,0.5976,19.4733,0.3164,0.376,17.3879
SAT_Competition2007/crafted/Medium/contest05/sabharwal/sat-strips-gripper-10t19.sat05-1143.reshuffled-07.cnf,1,0.2081,0.1902,0.616,0.2756,0,0.0006,0.621,17.2676,0.0031,0.0126,0.0001,0.8195,6.7556,0.9064,0.9942,3.7622
SAT_Competition2007/crafted/Hard/contest03/looksrandom/hidden-k3-s0-r5-n700-01-S2069048075.sat05-488.reshuffled-07.cnf,1,0.5903,0.002,0.4961,0.2992,0,0.0342,0.0856,28.6595,0.0094,0.0612,0.0189,0.0833,0.9808,0.2001,0.559,0.3077
SAT_Competition2009/CRAFTED/edgematching/explicit/em_11_3_4_exp.cnf,1,0.26,0,0.9005,0.0601,0,0.01,0.9376,20.6051,0.0009,0.0242,0.006,0.7105,12.9135,0.9648,0.9862,12.7535
SAT_Competition2007/crafted/Medium/contest05/pebbling/sat-pbl-00400.sat05-1322.reshuffled-07.cnf,1,0.4802,0.0172,0.0522,0.4994,0,0.4376,0.1395,8.5822,0.1098,0.4715,0.3746,1.9367,5.9822,0.3635,0.7497,3.4374
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/forced/rbsat-v2100c215164gyes7.cnf,1,0.0869,0.0126,0.9523,0,0.8,0,0.7182,54.2945,0.0026,0,0,0.2045,41.9114,0.7894,0.8815,51.7643
SAT_Competition2007/crafted/Medium/contest05/others/QG-gensys-brn008.sat05-2685.reshuffled-07.cnf,1,0.2349,0.2415,0.1118,1,0,0.4996,0.5377,11.6017,0.6456,0.4999,0.4947,2.5446,0.8645,0.6647,0.7998,0.2503
SAT_Competition2009/CRAFTED/Medium/contest05/others/QG8-gensys-ukn005.sat05-3584.reshuffled-07.cnf,1,0.2088,0.1316,0.1554,0.5,0,0.4948,0.6667,31.5315,0.0451,0.5,0,0.7151,5.6508,0.8,0.9951,2.3838
SAT_Competition2011/SAT04/handmade/hirsch03/hgen8-n320-01-S1432474240.shuffled-as.sat03-890.used-as.sat04-841.cnf,1,0.1806,0.1711,0.5831,0.4643,0,0.2757,0.4484,32.1482,0.0217,0.3303,0.2654,1.0012,0.9831,0.5314,0.627,0.7151
SAT_Competition2011/SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v760c43649gyes5.cnf,1,0.0197,0.0177,0.9252,0,0.8182,0,0.7698,46.4618,0.0063,0,0,0.2884,24.6901,0.7788,0.8021,28.3213
SAT_Competition2009/CRAFTED/Hard/contest02/hgen2-v500-s1216665065.sat05-467.reshuffled-07.cnf,1,0.9563,0,0.5023,0.0975,0.3333,0.0784,0.0099,35.5037,0.0069,0.0846,0.0692,0,0.7624,0.0228,0.1543,0.2673
SAT_Competition2011/SAT11/crafted/skvortsov/automata-synchronization/crn_11_100_s.cnf,1,1.3536,0.2145,0.2945,0.3907,0,0.3853,0.0047,9.5839,0.0201,0.3887,0.3418,0.4854,0.3306,0.0153,0.1855,0.1298
SAT_Competition2009/CRAFTED/rbsat/random/forced/rbsat-v760c43649gyes1.cnf,1,0.0247,0.0228,0.9284,0,0.6,0,0.7709,46.3279,0.0068,0,0,0.2807,24.1377,0.7818,0.808,28.3751
SAT_Competition2007/crafted/Hard/contest05/counting-clq/unsat-set-a-clqcolor-16-10-11.sat05-1253.reshuffled-07.cnf,1,0.0312,0.0018,0.4642,0.1935,0,0.0828,0.8153,35.2666,0.0209,0.1601,0.0193,0.6664,12.8518,0.8208,0.8369,9.9297
SAT_Competition2011/SAT05/crafted/jarvisalo05/mod2c-rand3bip-sat/mod2c-rand3bip-sat-230-3.shuffled-as.sat05-2505.cnf,1,1.5117,0,0.2633,0.1901,0,0.1042,0.0004,8.3323,0.0257,0.119,0.0923,0.8437,1.5698,0.0032,0.0347,1.0238
SAT_Competition2011/SAT11/crafted/mosoi/289/289-sat-6x9.cnf,1,0,0.093,0.7674,0.343,1,0.3429,0.619,35.2217,0.0353,0.3429,0.3429,0.7761,3.8687,0.619,0.6191,3.8533
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n180-s34713902-sat.cnf,1,0.0001,0,0.6713,0.2295,0,0.2295,0.5831,29.6164,0.0139,0.2295,0.2295,0.4506,1.1291,0.5832,0.5832,0.6064
SAT_Competition2011/SAT11/crafted/mosoi/289/289-sat-14x8.cnf,1,0.0001,0.0426,0.758,0.006,1,0.006,0.5077,30.7394,0.0175,0.006,0.006,0.6857,6.6725,0.5077,0.5077,6.5175
SAT_Competition2011/SAT05/crafted/sabharwal05/counting/php/unsat/harder/php-020-019.shuffled-as.sat05-1190.cnf,1,0.0045,0.0055,0.6632,0.1712,0,0.1608,0.88,59.106,0.0105,0.1608,0.1562,0.3424,4.5895,0.8846,0.8888,4.7415
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/forced/rbsat-v2640c305320gyes10.cnf,1,0.1795,0.0108,0.9561,0.0023,0.8667,0,0.6798,59.6358,0.0021,0,0,0.1905,54.2698,0.8486,0.9364,58.0656
SAT_Competition2009/CRAFTED/rbsat/crafted/forced/rbsat-v1820c171155gyes6.cnf,1,0.0422,0.0107,0.9477,0,0.8889,0,0.7796,63.6571,0.0027,0,0,0.2157,38.6442,0.805,0.8548,47.678
SAT_Competition2007/crafted/Difficult/contest05/QG/QG6-gensys-icl004.sat05-2716.reshuffled-07.cnf,1,0.2301,0.2099,0.1132,1,0,0.4995,0.5529,13.2415,0.6068,0.4999,0.4923,2.5543,0.7673,0.6651,0.7998,0.1836
SAT_Competition2007/crafted/Hard/contest05/QG/QG7a-gensys-icl001.sat05-3822.reshuffled-07.cnf,1,0.1909,0.1402,0.1143,0.9999,0,0.496,0.6315,14.3094,0.0204,0.4991,0.4735,2.0397,0.6705,0.6663,0.8261,0.0829
SAT_Competition2011/SAT11/crafted/mosoi/289/289-unsat-21x39.cnf,1,0.3374,0.0052,0.751,0.5,1,0.2689,0.3476,28.9153,0.0024,0.3496,0.1988,0.5858,32.2208,0.5804,0.8119,35.9162
SAT_Competition2007/crafted/spence/hard/s97-100.cnf,1,1.4321,0,0.5,0.3232,1,0.3199,0.0009,15.4512,0.0441,0.3214,0.3132,0,0.9032,0.0036,0.0616,0.5381
SAT_Competition2009/CRAFTED/Hard/contest04/connamacher/connm-ue-csp-sat-n1200-d-0.02-s383740539.sat05-534.reshuffled-07.cnf,1,0.1,0.0219,0.4453,0.0176,0.1429,0.0012,0.5454,26.1271,0.0092,0.0089,0.0006,0.4845,3.0742,0.5813,0.67,2.9331
SAT_Competition2009/CRAFTED/Difficult/contest-02-03-04/contest02-Mat26.sat05-457.reshuffled-07.cnf,1,0.7198,0.1159,0.4416,0.0651,0,0.0454,0.0069,19.2391,0.0435,0.0455,0.012,1.0891,1.139,0.0296,0.3509,0.5543
SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-sat-210-3.sat05-2475.reshuffled-07.cnf,1,1.4477,0,0.2495,0.2242,0,0.1044,0.0002,17.3457,0.0331,0.1201,0.0894,0.9131,1.5751,0.0018,0.0479,1.042
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/forced/rbsat-v1820c171155gyes3.cnf,1,0.0409,0.0141,0.9494,0,0.8333,0,0.7825,51,0.0029,0,0,0.2129,38.2766,0.8085,0.8559,46.8152
SAT_Competition2009/CRAFTED/sgi/new-difficult-28-302-26-75.cnf,1,0.018,0.0153,0.9769,0.0004,0.9048,0,0.8817,49.5974,0.0054,0,0,0.1332,30.3323,0.8939,0.9129,27.5277
SAT_Competition2009/CRAFTED/edgematching/compact/em_8_4_5_cmp.cnf,1,0.3639,0,0.644,0.3407,0,0.0215,0.2416,15.0823,0.0078,0.1709,0.0122,1.0969,1.5101,0.6211,0.9638,0.7324
SAT_Competition2009/CRAFTED/rbsat/random/unforced/rbsat-v2640c305320g2.cnf,1,0.1789,0.0108,0.9559,0.0047,0.8,0,0.6782,60.949,0.0022,0,0,0.1908,47.7567,0.8514,0.9362,60.3965
SAT_Competition2011/SAT11/crafted/skvortsov/battleship/battleship-12-12-unsat.cnf,1,0.0001,0,0.8462,0.0416,1,0.0415,0.7086,46.2762,0.0246,0.0415,0.0414,0.4293,2.7285,0.7087,0.7088,2.0951
SAT_Competition2009/CRAFTED/sgen/unsat/sgen1-unsat-127-100.cnf,1,1.5741,0,0.5,0.3252,1,0.3225,0.0014,17.4313,0.0336,0.3237,0.3157,0,0.7952,0.004,0.0526,0.4653
SAT_Competition2011/SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-13_160.cnf,1,0.1774,0,0.1352,0.0009,1,0,0.531,30.8131,0.0368,0.0001,0,0.3961,9.8656,0.5437,0.6339,9.5175
SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-120-3.sat05-2340.reshuffled-07.cnf,1,0,0,0.2922,0.3833,0,0.3831,0,21.3289,0.025,0.3832,0.3831,0,1.0537,0,0,0.4868
SAT_Competition2009/CRAFTED/Medium/contest05/pebbling/unsat-pbl-00090.sat05-1326.reshuffled-07.cnf,1,0.4412,0.0903,0.0744,0.4979,0,0.4335,0.2114,10.3527,0.2644,0.4741,0.372,1.8677,5.3458,0.3487,0.7594,4.7626
SAT_Competition2009/CRAFTED/sgi/satsgi-n28himBHm30-p0-q333.cnf,1,0.0001,0.037,0.9834,0.0221,1,0.0216,0.9294,0,0.0036,0.0218,0.0215,0.0847,14.5318,0.9294,0.9296,14.5478
SAT_Competition2009/CRAFTED/edgematching/explicit/em_9_3_5_exp.cnf,1,0.325,0,0.8706,0.0826,0,0.0142,0.2221,19.8297,0.0021,0.0256,0.0031,0.8881,8.4804,0.9412,0.9797,6.6669
SAT_Competition2009/CRAFTED/rbsat/crafted/forced/rbsat-v945c61409gyes8.cnf,1,0.0167,0.0156,0.9326,0,0.8462,0,0.7871,46.9743,0.0049,0,0,0.2638,27.4461,0.7961,0.8153,32.2185
SAT_Competition2007/crafted/spence/medium/s69-100.cnf,1,1.2847,0,0.5,0.3195,1,0.3132,0.0007,11.5139,0.0608,0.3177,0.3095,0,1.0508,0.0036,0.0697,0.6512
SAT_Competition2007/crafted/Hard/contest05/QG/QG7-dead-dnd001.sat05-3419.reshuffled-07.cnf,1,0.2017,0.623,0.4253,0.9994,0,0.4841,0.599,31.5492,0.0366,0.4983,0.0078,1.8528,3.8525,0.7197,0.8436,1.0871
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/forced/rbsat-v1375c111739gyes10.cnf,1,0.0187,0.0161,0.944,0,0.8,0,0.8115,43.9733,0.0041,0,0,0.2317,33.5871,0.8217,0.8429,39.9654
SAT_Competition2009/CRAFTED/rbsat/random/unforced/rbsat-v760c43649g8.cnf,1,0.0242,0.0241,0.9309,0,0.6,0,0.7755,42.7593,0.0068,0,0,0.2772,24.3055,0.787,0.814,28.445
SAT_Competition2009/CRAFTED/edgematching/explicit/em_8_4_5_exp.cnf,1,0.3358,0,0.8459,0.0797,0,0.0168,0.2618,16.682,0.0034,0.0289,0.004,0.9584,6.4903,0.9322,0.9734,4.7722
SAT_Competition2011/SAT11/crafted/mosoi/289/289-unsat-21x40.cnf,1,0.3413,0.0051,0.751,0.5,1,0.2671,0.3387,29.4734,0.0024,0.3482,0.1964,0.5853,34.0197,0.5804,0.8139,35.1854
SAT_Competition2009/CRAFTED/Hard/contest04/others/CompositeRSA576.sat05-509.reshuffled-07.cnf,1,1.7068,0.0124,0.2793,0.5,0,0.5,0,0,0.0035,0.5,0.3798,0.6615,20.3712,0,0.1429,2.5354
SAT_Competition2011/SAT11/crafted/mosoi/289/289-unsat-5x41.cnf,1,0.0003,0.0245,0.7546,0.0001,1,0.0001,0.4463,23.8678,0.0096,0.0001,0.0001,0.6438,7.9812,0.4464,0.4465,8.4352
SAT_Competition2009/CRAFTED/rbsat/random/unforced/rbsat-v760c43649g4.cnf,1,0.0257,0.024,0.9304,0.0001,0.7143,0,0.7736,61.9951,0.006,0,0,0.2764,24.2979,0.7846,0.8121,27.9837
SAT_Competition2007/crafted/Medium/contest05/sabharwal/gt-ordering-unsat-gt-030.sat05-1307.reshuffled-07.cnf,1,0,0,0.4998,0,0,0,0.5267,37.5582,0.0035,0,0,0.0975,11.0297,0.5267,0.5268,8.9367
SAT_Competition2011/SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-19_348.cnf,1,0.1147,0,0.0913,0,1,0,0.6164,34.2231,0.0339,0,0,0.3319,20.085,0.6319,0.7086,21.3419
SAT_Competition2009/CRAFTED/parity-games/instance_n6_i6_pp_ci_ce.cnf,1,0.586,0.101,0.7836,0.3602,0,0.0352,0.0791,16.687,0.0139,0.0693,0.008,1.3288,1.7855,0.1756,0.8266,0.7385
SAT_Competition2007/crafted/Hard/contest03/looksrandom/hgen7-n390-02-S178568232.sat05-479.reshuffled-07.cnf,1,0,0,0.5,0.0404,0.3333,0.0369,0,29.6801,0.0093,0.0384,0.0223,0,0.9799,0,0,0.4002
SAT_Competition2009/CRAFTED/edgematching/all/em_8_4_5_all.cnf,1,0.2756,0,0.8734,0.0826,0,0.0003,0.4601,26.7436,0.0031,0.0249,0.0001,0.8605,8.4074,0.9343,0.9771,6.5873
SAT_Competition2011/SAT03/handmade/anton/UNSAT/SGI_30_70_18_80_10-dir.shuffled-as.sat03-140.cnf,1,0.0216,0.0135,0.7307,0.0001,0,0,0.8559,57.4828,0.0083,0,0,0.1663,35.3847,0.8635,0.8958,32.8646
SAT_Competition2009/CRAFTED/sgi/satsgi-n25himBHm27-p0-q251.cnf,1,0.0001,0.0416,0.9815,0.0413,1,0.0406,0.9323,0,0.0045,0.0408,0.0404,0.0921,13.0061,0.9323,0.9325,13.0351
SAT_Competition2009/CRAFTED/sgi/satsgi-n22himBHm25-p0-q229.cnf,1,0,0.0464,0.9805,0.0624,1,0.0623,0.9331,0,0.0055,0.0623,0.0623,0.0961,11.8019,0.9332,0.9332,11.8153
SAT_Competition2011/SAT09/CRAFTED/modcircuits/mod4block_3vars_7gates.cnf,1,1.2961,1.2242,0.4588,1,0,0.1594,0.0001,15.9327,0.0807,0.4602,0.0028,1.3963,14.3579,0.0003,0.7681,15.2731
SAT_Competition2007/crafted/Hard/contest03/others/color-11-3.sat05-445.reshuffled-07.cnf,1,0.3394,0.0395,0.2022,0.0001,0,0,0.037,27.8536,0.0219,0,0,1.3966,3.1751,0.0453,0.075,2.4194
SAT_Competition2011/SAT11/crafted/manthey/sudoku-single-hard/sudoku_81x81_unknown.cnf,1,0.0916,0,0.9647,0.0042,1,0.0031,0.7566,7.9048,0.0003,0.0034,0.0027,0.2315,8.6845,0.8182,0.8931,1.7485
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n180-s33098896-unsat.cnf,1,1.8056,0,0.5376,0.3262,0.3333,0.3238,0.0009,22.4748,0.0242,0.3253,0.3217,0,0.6672,0.0027,0.0171,0.3966
SAT_Competition2007/crafted/Medium/contest05/jarvisalo/mod2-rand3bip-sat-220-1.sat05-2173.reshuffled-07.cnf,1,0,0,0.5068,0.042,0.3333,0.042,0,26.7559,0.0136,0.042,0.042,0,1.2251,0,0,0.4804
SAT_Competition2009/CRAFTED/edgematching/all/em_12_2_4_all.cnf,1,0.232,0.0001,0.92,0.0663,0,0.0003,0.9589,41.1852,0.0007,0.0013,0.0002,0.6289,18.3392,0.9886,0.99,18.4875
SAT_Competition2009/CRAFTED/sgen/sat/sgen1-sat-230-100.cnf,1,0.0001,0,0.8333,0.2296,1,0.2295,0.5831,34.609,0.0109,0.2295,0.2295,0.4506,1.0681,0.5831,0.5832,0.5493
SAT_Competition2011/SAT11/crafted/mosoi/289/289-unsat-6x34.cnf,1,0.0002,0.0238,0.7545,0.0001,1,0.0001,0.4431,23.9542,0.0097,0.0001,0.0001,0.6419,8.8152,0.4431,0.4432,8.6483
SAT_Competition2009/CRAFTED/edgematching/compact/em_7_3_6_cmp.cnf,1,0.4244,0,0.698,0.3397,0,0.0218,0.1091,15.0561,0.0099,0.1492,0.0119,1.1172,1.5696,0.6406,0.95,0.8977
SAT_Competition2009/CRAFTED/Hard/contest05/QG/QG7a-gensys-icl004.sat05-3825.reshuffled-07.cnf,1,0.1873,0.1283,0.1602,0.9999,0,0.4958,0.6228,15.0051,0.0204,0.499,0.4719,2.039,0.7627,0.6662,0.826,0.0894
SAT_Competition2007/crafted/Hard/contest05/counting-php/harder-fphp-035-034.sat05-1235.reshuffled-07.cnf,1,0.0002,0.0307,0.7479,0.01,0,0.0099,0.9297,78.655,0.0026,0.0099,0.0098,0.1382,17.0014,0.9298,0.9301,17.0441
SAT_Competition2011/SAT09/CRAFTED/ramseycube/Q3inK10.cnf,1,0,0,0.5,0.4988,1,0.4988,0,0,0.2667,0.4988,0.4988,0,7.1352,0,0,6.8378
SAT_Competition2009/CRAFTED/ramseycube/Q3inK09.cnf,1,0,0,0.5,0.4997,1,0.4997,0,0,0.3333,0.4997,0.4997,0,2.2279,0,0,2.0935
SAT_Competition2009/CRAFTED/Medium/contest05/others/QG7a-gensys-brn004.sat05-3669.reshuffled-07.cnf,1,0.1899,0.1389,0.157,0.9999,0,0.496,0.617,14.2297,0.0129,0.499,0.4733,2.0383,0.6975,0.6662,0.8263,0.0885
SAT_Competition2007/crafted/Medium/contest05/jarvisalo/mod2-3cage-unsat-9-12.sat05-2587.reshuffled-07.cnf,1,0,0,0.3017,0.3813,0,0.3741,0,16.7215,0.069,0.3791,0.3677,0.251,1.4676,0,0,1.2356
SAT_Competition2011/SAT11/crafted/mosoi/289/289-sat-4x35.cnf,1,0.0001,0.0381,0.7571,0.003,1,0.003,0.4948,0,0.014,0.003,0.003,0.676,7.6112,0.4948,0.4948,7.6055
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n120-s55656844-unsat.cnf,1,1.5509,0,0.5238,0.3248,0.3333,0.3223,0.0014,19.1468,0.0357,0.3231,0.3157,0,0.7955,0.0045,0.0581,0.4831
SAT_Competition2011/SAT11/crafted/mosoi/289/289-unsat-7x39.cnf,1,0.0001,0.0173,0.7532,0,1,0,0.408,23.8227,0.0073,0,0,0.6243,12.2036,0.408,0.4081,10.5251
