@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE FORALL_POS_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC
@ATTRIBUTE OCCP_OCCN NUMERIC
@ATTRIBUTE LITN_LIT NUMERIC
@ATTRIBUTE OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE POS_HORN NUMERIC
@ATTRIBUTE NEG_HORN_CLAUSE NUMERIC
@ATTRIBUTE TOTAL_VARS NUMERIC
@ATTRIBUTE EXIST_VARS NUMERIC
@ATTRIBUTE EXIST_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE WOCCEP_WOCC NUMERIC
@ATTRIBUTE WOCCN_WOCC NUMERIC
@ATTRIBUTE NEG_HORN NUMERIC
@ATTRIBUTE FORALL_VARS NUMERIC
@ATTRIBUTE LITEN_LITN NUMERIC
@ATTRIBUTE BINARY_CLAUSES NUMERIC
@ATTRIBUTE LITERALS NUMERIC
@ATTRIBUTE W_OCCS_FORALL_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE FORALL_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE WOCCEP_WOCCP NUMERIC
@ATTRIBUTE W_OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE OCCS_FORALL_NO_PER_VAR NUMERIC
@ATTRIBUTE LITEP_LIT NUMERIC
@ATTRIBUTE WOCCEP_WOCCE NUMERIC
@ATTRIBUTE TERNARY_MORE_CLAUSES NUMERIC
@ATTRIBUTE OCCE_OCC NUMERIC
@ATTRIBUTE OCCS_FORALL_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE OCCEN_OCCE NUMERIC
@ATTRIBUTE LITEN_LITE NUMERIC
@ATTRIBUTE OCCEN_OCC NUMERIC
@ATTRIBUTE LITFN_LIT NUMERIC
@ATTRIBUTE TERMORE_CLAUSE NUMERIC

@DATA
Adder2-6-s-shuffled,1,0.216597,856.666667,0.79617,0.55674,1.308137,2705,0.726783,2765,2570,2.011384,0.414678,0.566513,2426,195,0.840854,1852,8160,10.292308,0.433194,0.956611,6.54792,7.415385,0.354657,0.426414,1485,0.885224,3.707692,0.56896,0.56896,0.503657,0.088603,0.444877
adder-4-sat-shuffled,1,1.049057,87,0.370044,0.729904,3,244,0.030189,280,174,3.883019,0.14083,0.809953,16,106,0.781498,8,3110,9.018868,1.984906,0.741029,6.328571,9.924528,0.091318,0.108165,522,1.064863,5.245283,0.862002,0.862002,0.917914,0.159486,0.984906
adder-6-sat-shuffled,1,1.052423,205.5,0.331842,0.75084,3.091049,570,0.019063,648,411,4.399523,0.123948,0.829222,24,237,0.805335,12,8039,9.616034,1.985703,0.725786,6.516975,10.548523,0.084339,0.094829,1247,1.086332,5.590717,0.877595,0.877595,0.95336,0.146162,0.990469
adder-8-sat-shuffled,1,1.053136,374,0.30458,0.766531,3.131849,1032,0.013937,1168,748,4.839721,0.112944,0.842999,32,420,0.821982,16,15668,9.9,1.984321,0.719382,6.601027,10.847619,0.079142,0.085781,2280,1.107439,5.757143,0.888409,0.888409,0.983859,0.136456,0.993031
adder-8-unsat-shuffled,1,0.377768,485,0.192241,0.838756,3.106599,1032,0.001737,1182,970,9.205818,0.08235,0.902284,4,212,0.963248,1,22773,8.207547,0.682588,0.842752,4.773266,7.415094,0.12304,0.071472,2302,1.134441,4.103774,0.867836,0.867836,0.984509,0.030826,0.999566
aim-100-1_6-yes1-3-50-shuffled,1,0.306905,177,0.681185,0.594819,1.722467,700,0.530691,454,354,1.792839,0.304989,0.642786,415,100,0.749129,621,1930,4.8,0.675192,0.8538,3.162996,5.28,0.280829,0.322537,161,0.93163,2.4,0.613409,0.613409,0.57147,0.149223,0.205882
aim-100-1_6-yes1-3-90-shuffled,1,0.360902,138,0.670363,0.598672,1.768617,583,0.506767,376,276,1.756391,0.298424,0.642775,337,100,0.748992,504,1657,4.8,0.735338,0.835395,3.300532,4.89,0.256488,0.304888,161,0.960283,2.4,0.63613,0.63613,0.610865,0.150272,0.242105
aim-100-2_0-yes1-2-50-shuffled,1,0.317073,198,0.679395,0.595453,1.90121,843,0.52492,496,396,1.78579,0.293681,0.642534,495,100,0.74928,744,2331,5.98,0.686108,0.821564,3.504032,6.47,0.276276,0.319507,199,0.90487,2.99,0.617577,0.617577,0.558827,0.149292,0.211029
aim-100-2_0-yes1-2-90-shuffled,1,0.359375,161,0.670968,0.598456,1.971564,732,0.50601,422,322,1.757212,0.288118,0.642495,421,100,0.749194,633,2072,5.98,0.733173,0.805914,3.680095,6.1,0.257239,0.305698,199,0.924728,2.99,0.635431,0.635431,0.587601,0.150097,0.239183
aim-100-3_4-yes1-1-90-shuffled,1,0.367626,230,0.668912,0.599193,2.482143,1219,0.504317,560,460,1.753957,0.264192,0.642523,701,100,0.750241,1050,3468,10.22,0.741007,0.739047,4.644643,10.3,0.25346,0.302722,340,0.855825,5.11,0.639459,0.639459,0.547264,0.149654,0.244604
aim-100-6_0-yes1-1-90-shuffled,1,0.369092,362,0.667948,0.599539,2.951456,2142,0.498561,824,724,1.752158,0.246211,0.642796,1213,100,0.749519,1836,6073,17.96,0.743938,0.689271,5.526699,18.1,0.252593,0.302114,597,0.798915,8.98,0.64016,0.64016,0.511433,0.150173,0.245376
aim-100-6_0-yes1-3-90-shuffled,1,0.370066,361,0.668132,0.599473,2.958637,2134,0.501645,822,722,1.752467,0.246033,0.642655,1220,100,0.75,1833,6072,18,0.744243,0.688503,5.540146,18.1,0.252306,0.301841,599,0.799128,9,0.640544,0.640544,0.511877,0.149868,0.246299
aim-100-6_0-yes1-4-90-shuffled,1,0.369852,361,0.668043,0.599505,2.952555,2135,0.500412,822,722,1.751236,0.246112,0.6427,1215,100,0.749518,1833,6060,17.96,0.744646,0.688811,5.53163,18.08,0.25231,0.301976,595,0.798832,8.98,0.640405,0.640405,0.511575,0.150165,0.245058
aim-200-1_6-yes1-2-90-shuffled,1,0.360387,281,0.670829,0.598505,1.762467,1193,0.503351,762,562,1.760238,0.29806,0.642083,676,200,0.751748,1023,3345,4.84,0.730454,0.832761,3.292651,4.905,0.256801,0.305269,320,0.958231,2.42,0.636633,0.636633,0.610041,0.14858,0.238273
aim-200-1_6-yes1-4-90-shuffled,1,0.359643,282,0.6715,0.598265,1.757853,1188,0.509308,764,564,1.760238,0.298532,0.641736,684,200,0.752,1026,3343,4.83,0.728965,0.833274,3.28534,4.895,0.257254,0.305864,317,0.957911,2.415,0.63621,0.63621,0.609433,0.14837,0.236039
aim-200-2_0-yes1-2-90-shuffled,1,0.360961,322,0.669618,0.59894,1.971564,1469,0.504505,844,644,1.757958,0.287235,0.642685,840,200,0.750101,1266,4149,6.01,0.733934,0.803871,3.683649,6.11,0.256206,0.304779,399,0.924562,3.005,0.63683,0.63683,0.588788,0.149675,0.23964
aim-200-3_4-yes1-1-90-shuffled,1,0.367207,459.5,0.668675,0.599278,2.479893,2431,0.505586,1119,919,1.754595,0.264326,0.642646,1403,200,0.75012,2097,6925,10.19,0.740901,0.739676,4.639857,10.28,0.253574,0.302774,678,0.85612,5.095,0.639351,0.639351,0.547361,0.149747,0.244324
aim-200-3_4-yes1-4-90-shuffled,1,0.367398,461,0.668191,0.599452,2.475045,2453,0.50018,1122,922,1.753508,0.264035,0.642734,1390,200,0.75,2103,6933,10.21,0.741274,0.739045,4.634581,10.3,0.253281,0.302635,676,0.855337,5.105,0.639647,0.639647,0.547114,0.149863,0.243253
aim-50-1_6-yes1-1-00-shuffled,1,0.262821,114,0.692308,0.590909,1.683453,431,0.549145,278,228,1.824786,0.310489,0.64147,257,50,0.752959,387,1144,4.92,0.619658,0.866003,3.053957,5.8,0.301573,0.337248,81,0.91021,2.46,0.596019,0.596019,0.542502,0.145979,0.173077
aim-50-1_6-yes1-1-90-shuffled,1,0.369369,69,0.671371,0.598311,1.771277,296,0.501502,188,138,1.753754,0.296293,0.640967,167,50,0.754032,252,829,4.92,0.735736,0.825251,3.319149,4.9,0.253317,0.302885,81,0.959704,2.46,0.640411,0.640411,0.614605,0.147165,0.243243
aim-50-1_6-yes1-2-00-shuffled,1,0.246253,114,0.692878,0.59071,1.679856,428,0.537473,278,228,1.82227,0.314491,0.64482,251,50,0.740356,387,1141,4.6,0.620985,0.885443,3.021583,5.8,0.308501,0.341737,80,0.909398,2.3,0.586369,0.586369,0.533243,0.153374,0.171306
aim-50-1_6-yes1-2-50-shuffled,1,0.288945,91,0.683849,0.593878,1.715517,359,0.515075,232,182,1.791457,0.308854,0.64513,205,50,0.738832,318,980,4.6,0.670854,0.87033,3.125,5.34,0.288776,0.328032,80,0.927428,2.3,0.603086,0.603086,0.559318,0.155102,0.201005
aim-50-1_6-yes1-3-00-shuffled,1,0.248927,114,0.693452,0.59051,1.676259,421,0.555794,278,228,1.824034,0.314658,0.643463,259,50,0.744048,387,1138,4.64,0.618026,0.88254,3.021583,5.76,0.307557,0.341573,79,0.910724,2.32,0.588235,0.588235,0.53572,0.151142,0.169528
aim-50-1_6-yes1-4-50-shuffled,1,0.31701,88,0.683099,0.594142,1.716814,352,0.525773,226,176,1.78866,0.303618,0.64006,204,50,0.755282,309,956,4.92,0.675258,0.843524,3.172566,5.24,0.277197,0.320845,79,0.932175,2.46,0.618156,0.618156,0.576229,0.145397,0.203608
aim-50-1_6-yes1-4-90-shuffled,1,0.371601,69,0.672764,0.597813,1.760638,295,0.501511,188,138,1.752266,0.296774,0.639629,166,50,0.756098,252,823,4.92,0.734139,0.823524,3.308511,4.86,0.252734,0.303226,79,0.960079,2.46,0.641379,0.641379,0.615775,0.145808,0.238671
aim-50-2_0-yes1-1-90-shuffled,1,0.363855,80,0.668821,0.599226,1.971429,363,0.510843,210,160,1.751807,0.286221,0.642692,212,50,0.749596,315,1033,6.04,0.737349,0.801048,3.690476,6.12,0.254598,0.303789,100,0.923705,3.02,0.638239,0.638239,0.589545,0.150048,0.240964
aim-50-2_0-yes1-2-50-shuffled,1,0.3159,101,0.680912,0.594915,1.896825,422,0.541841,252,202,1.786611,0.293625,0.64187,259,50,0.750712,378,1180,6.04,0.682008,0.819883,3.496032,6.52,0.277119,0.320243,100,0.90287,3.02,0.617096,0.617096,0.557157,0.148305,0.209205
aim-50-2_0-yes1-3-90-shuffled,1,0.362981,80,0.670968,0.598456,1.980952,366,0.504808,210,160,1.754808,0.287034,0.642265,210,50,0.75,315,1036,6.04,0.735577,0.802365,3.7,6.12,0.255792,0.304487,101,0.924831,3.02,0.636986,0.636986,0.589105,0.149614,0.242788
aim-50-3_4-yes1-2-90-shuffled,1,0.366522,114,0.668919,0.59919,2.492806,604,0.505051,278,228,1.751804,0.264495,0.643054,350,50,0.748069,522,1729,10.16,0.743146,0.740994,4.658273,10.3,0.253904,0.302925,171,0.856118,5.08,0.638386,0.638386,0.546533,0.150954,0.246753
aim-50-3_4-yes1-3-90-shuffled,1,0.363506,115,0.669231,0.599078,2.485714,607,0.50431,280,230,1.752874,0.265072,0.643328,351,50,0.747115,525,1736,10.12,0.741379,0.74318,4.639286,10.32,0.255184,0.303831,171,0.85554,5.06,0.636885,0.636885,0.544881,0.151498,0.24569
aim-50-6_0-yes1-3-50-shuffled,1,0.358974,193.5,0.669533,0.59897,2.851259,1093,0.513622,437,387,1.757212,0.248316,0.642693,641,50,0.749597,953,3107,17.92,0.732372,0.694966,5.331808,18.28,0.256839,0.305561,295,0.797017,8.96,0.636115,0.636115,0.506995,0.149984,0.236378
aim-50-6_0-yes1-4-90-shuffled,1,0.371594,179,0.667402,0.599735,2.965686,1062,0.500413,408,358,1.749794,0.24556,0.642778,606,50,0.749586,912,3023,18,0.746491,0.687417,5.558824,18.08,0.251406,0.301255,299,0.798859,9,0.64134,0.64134,0.51234,0.150182,0.246903
biu.mv.xl_ao.bb-b001-p005-OPF05-c02.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-004-shuffled,1,0.090828,589,0.750112,0.571392,2.20125,4998,0.520317,3041,2945,2.151479,0.409161,0.583302,3483,96,0.931869,4462,15618,25.666667,0.181655,0.981912,16.50707,12.666667,0.389679,0.413145,2231,0.952201,6.333333,0.57742,0.57742,0.54982,0.038929,0.333284
biu.mv.xl_ao.bb-b001-p010-MIF04-c05.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,0.12517,1185.666667,0.750041,0.571415,2.495986,13732,0.508913,7349,7114,2.08292,0.399161,0.584612,9335,235,0.906117,12228,42799,49.021277,0.250341,0.960935,22.460063,19.540426,0.374939,0.41018,6114,0.922197,9.770213,0.579998,0.579998,0.534873,0.053646,0.333315
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,0,7543,0.700244,0.588151,1.369482,8796,0.581874,7543,7543,2.217683,0.411849,0.588151,6581,0,1,6886,25082,0,0,1,1.369482,0,0.411849,0.411849,3443,1,0,0.588151,0.588151,0.588151,0,0.304421
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-007-shuffled,1,0.049117,155.347826,0.74272,0.573816,2.351526,25906,0.515498,14383,14292,2.213716,0.406458,0.584931,17695,91,0.962976,22608,79360,1484.747253,0.098235,0.979254,348.669401,37.054945,0.40494,0.413126,11213,0.963607,18.527473,0.577091,0.577091,0.556089,0.021245,0.326662
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.018382,41.97561,0.731461,0.577547,1.478705,2082,0.564706,1761,1721,2.229412,0.421936,0.582333,1536,40,0.985955,1762,6164,55,0.036765,1.01022,98.168086,2.5,0.414341,0.416782,841,1.006642,1.25,0.578826,0.578826,0.58267,0.008112,0.309191
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,0.050611,67.024691,0.74122,0.57431,2.038119,8668,0.5274,5509,5429,2.200349,0.410014,0.585139,6044,80,0.961711,7538,26376,471,0.101222,0.988316,262.698856,14.5,0.4037,0.412981,3689,0.970108,7.25,0.577728,0.577728,0.560459,0.02199,0.321902
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.046998,40.86,0.748054,0.572065,1.975149,6298,0.527745,4185,4086,2.215977,0.414163,0.585752,4413,99,0.964434,5576,19316,311.393939,0.093997,0.999795,308.780167,7.939394,0.40759,0.412519,2689,0.982551,3.969697,0.575121,0.575121,0.565086,0.020346,0.321574
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.049839,201.317241,0.746325,0.572631,2.578899,57332,0.50619,29335,29191,2.221992,0.405412,0.585036,38595,144,0.962512,50530,177018,3421.666667,0.099677,0.976981,603.871553,52.777778,0.405902,0.412955,25121,0.961788,26.388889,0.575889,0.575889,0.553883,0.021467,0.329473
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.049241,89.69863,0.74823,0.572007,2.441961,24442,0.509098,13241,13096,2.223643,0.407409,0.586315,16563,145,0.962929,21652,75548,1333.268966,0.098482,0.984829,562.505853,22.096552,0.406788,0.411791,10681,0.968192,11.048276,0.575196,0.575196,0.556901,0.021205,0.328303
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.054378,152.424893,0.749035,0.571744,2.670266,71893,0.502997,35747,35515,2.218494,0.40476,0.585429,48174,232,0.959132,63790,222890,4620.068966,0.108756,0.976333,999.371975,44.896552,0.40489,0.412392,31663,0.959496,22.448276,0.575261,0.575261,0.55196,0.023366,0.330601
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.04504,41.807339,0.749726,0.571518,2.053591,7254,0.520087,4665,4557,2.224891,0.413397,0.586653,5023,108,0.965957,6458,22358,344.444444,0.090081,1.00012,346.191854,8.055556,0.409026,0.411665,3121,0.983865,4.027778,0.574414,0.574414,0.565146,0.019456,0.323152
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.016249,55.242424,0.733505,0.576866,1.534232,2247,0.551117,1855,1823,2.244414,0.417744,0.58547,1628,32,0.987629,1918,6726,44,0.032498,1.007755,78.825876,3,0.415998,0.413842,927,1.00303,1.5,0.577979,0.577979,0.57973,0.007136,0.313812
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-006-shuffled,1,0.045244,133.680412,0.745358,0.572948,2.384598,23669,0.510326,13063,12967,2.227045,0.406946,0.585938,16062,96,0.965926,20830,72942,1220,0.090487,0.982813,367.310266,29.666667,0.407529,0.412289,10319,0.96807,14.833333,0.575912,0.575912,0.557523,0.019522,0.327858
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.029851,34.254237,0.747278,0.572319,1.584416,2522,0.543881,2079,2021,2.239403,0.418829,0.585043,1822,58,0.977314,2234,7702,98.068966,0.059701,1.009332,145.326599,3.448276,0.414697,0.413607,1059,1.001986,1.724138,0.574247,0.574247,0.575387,0.012984,0.316119
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,0.049673,90.753425,0.749283,0.571663,2.457335,24801,0.508017,13395,13250,2.225375,0.407041,0.586496,16793,145,0.962622,22040,76846,1371.268966,0.099347,0.984369,564.695931,22.648276,0.40697,0.411582,10875,0.967741,11.324138,0.574862,0.574862,0.556317,0.021367,0.328987
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.055938,127.452632,0.749142,0.571709,2.594878,47733,0.505901,24405,24216,2.214753,0.404849,0.585624,32151,189,0.957946,42344,147862,3111.322751,0.111877,0.977007,788.477812,37.619048,0.404249,0.412151,20983,0.959344,18.809524,0.575331,0.575331,0.55194,0.024043,0.330171
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.037623,25.137931,0.759106,0.568471,1.613726,2741,0.537077,2273,2187,2.242094,0.421049,0.585096,1970,86,0.97144,2502,8500,134.627907,0.075245,1.014811,215.976243,3.209302,0.415294,0.413205,1165,1.005576,1.604651,0.570768,0.570768,0.573951,0.016235,0.317612
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.057064,142.669565,0.750953,0.571117,2.749279,102159,0.500587,49565,49221,2.217513,0.404158,0.585613,68214,344,0.957148,91074,317728,6890.627907,0.114128,0.975313,1520.351458,45.209302,0.404409,0.412096,45193,0.957699,22.604651,0.574778,0.574778,0.550464,0.024474,0.331648
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-003-shuffled,1,0.073596,652,0.750131,0.571386,2.094995,4307,0.514998,2737,2608,2.185909,0.416762,0.585659,2953,129,0.944793,3822,13378,10.418605,0.147192,1.005844,11.814395,6.542636,0.39707,0.411285,1911,0.983254,3.271318,0.576193,0.576193,0.566544,0.031544,0.333275
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-004-shuffled,1,0.05735,59.561798,0.739896,0.574747,1.997402,8324,0.524501,5389,5301,2.182214,0.408155,0.586126,5780,88,0.956558,7234,25312,510.363636,0.114701,0.986183,278.531082,14.363636,0.400284,0.411686,3529,0.965835,7.181818,0.578676,0.578676,0.558905,0.024968,0.320236
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,0.053099,189.246753,0.745819,0.572797,2.569751,57089,0.505029,29297,29144,2.214083,0.404406,0.585349,38358,153,0.960047,50292,176230,3630.601307,0.106199,0.975292,636.223811,52.718954,0.404318,0.412488,24993,0.95924,26.359477,0.576289,0.576289,0.552799,0.022885,0.329063
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.050238,37.576271,0.749346,0.571642,2.014063,6939,0.51707,4551,4434,2.211322,0.412291,0.587556,4786,117,0.961985,6188,21398,367.076923,0.100475,0.999629,361.990991,7.948718,0.406627,0.41052,2977,0.981778,3.974359,0.574897,0.574897,0.564422,0.021731,0.321629
