@RELATION 'FEATURE_VALUES-SAT11-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE saps_BestSolution_CoeffVariance NUMERIC

@DATA
./SAT03/handmade/stanion/hwb/hwb-n30-02-S77299857.shuffled-as.sat03-1633.cnf,1,0.0047,0.3424,0.0007,0.2548,0.4676,2.5823,0.934,0.3768,0.0003,0.0806,0.4406,4.458,1.2997,5.0736,0.3957,0.4312
./SAT11/crafted/spence/sgen/sgen3-n170-s56409011-unsat.cnf,1,0,0.4888,0.0026,0,0.7878,1.7821,0.9625,1,0.0008,0.0253,0.2209,1.1161,0.6854,2.7912,0,0.5579
./SAT03/handmade/anton/UNSAT/SGI_30_50_30_20_5-log.shuffled-as.sat03-111.cnf,1,0,0.0105,0.0886,0.0165,0.5127,0.6385,0.6443,0,0.0004,0.1131,1.5326,9.7488,1.1552,10.4022,0,0.1789
./SAT11/crafted/mosoi/289/289-unsat-6x40.cnf,1,0.0152,0.7538,0.4251,0.5846,0.774,0.0002,0.8664,0.0152,0.425,0.0082,0,20.6012,11.6955,20.037,0.3333,0.0108
./SAT03/handmade/gomes/bqwh/bqwh.50.825.shuffled-as.sat03-1648.cnf,1,0.9443,0.7188,0.7644,0.4568,0.4517,0.0932,0.7013,0.947,0.7097,0.0007,2.5469,196.581,2.4735,138.3,0,0.3587
./SAT02/handmade/pehoushek/plainoldcnf/5cnf_3500_3500_30f1.shuffled.cnf,1,0,0.231,0.0355,0.1105,0.6533,0.5914,0.7689,0.0262,0.0179,0.1643,1.4434,2.9395,1.8582,3.62,0,0.3712
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v1375c111739gyes10.cnf,1,0.9523,0.9523,0.791,1.8079,0.7814,0.082,0.8974,0.9523,0.7211,0.0026,2.6827,184.575,44.9564,1242.18,0.0345,5.1787
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m52-q1041.25-n50-p15-s99099953.cnf,1,0.9829,0.9829,0.9785,2.4667,0.9186,0.0701,0.9574,0.9829,0.9566,0.0017,3.3344,5744.47,97.7881,1273.77,0.0209,3.5006
./SAT11/crafted/skvortsov/automata-synchronization/crn_40_1520_u.cnf,1,0.0073,0.2613,0.0001,0.0583,0.0566,3.1172,0.1106,0.0332,0.0001,0.0013,0.4008,822,0.2524,373.5,1.0256,1.3271
./SAT11/crafted/mosoi/289/289-unsat-7x39.cnf,1,0.013,0.7532,0.408,0.5836,0.7325,0.0003,0.8098,0.013,0.408,0.0073,0,45.6368,11.9471,47.1391,0.3333,4.5011
./SAT11/crafted/mosoi/289/289-unsat-6x30.cnf,1,0.0203,0.7551,0.457,0.5871,0.8507,0.0001,0.9633,0.0203,0.457,0.011,0,1.5435,7.0723,0.6013,0.3333,1.2241
./SAT03/handmade/anton/UNSAT/SGI_30_60_20_50_3-dir.shuffled-as.sat03-114.cnf,1,0.9787,0.7464,0.8978,1.8278,0.9047,0.0217,0.9711,0.9787,0.8796,0.0071,3.0492,11.9654,38.6444,45.4502,0.0345,15.4138
./SAT05/crafted/sabharwal05/planning/logistics/unsat/logistics-rotate-07t5.shuffled-as.sat05-1137.cnf,1,0.9511,0.7281,0.9432,0.5835,0.445,0.1168,0.8863,0.9728,0.7011,0.0019,2.4732,141.434,20.538,18.45,0.5513,0.1085
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-14_186.cnf,1,0,0.1265,0.56,0.8326,0.6767,0.1629,0.809,0.8735,0.5519,0.0321,2.8836,14.2115,11.2954,10.7719,0,0.2592
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m37-q446.25-n35-p15-s25120921.cnf,1,0.9714,0.9714,0.8722,1.989,0.8669,0.0254,0.9483,0.9714,0.857,0.0036,3.2305,346.25,53.1227,35.494,0.0327,2.3059
./SAT11/crafted/skvortsov/battleship/battleship-11-11-unsat.cnf,1,0.8333,0.8333,0.6919,0.9583,0.7902,0.0001,0.8269,0.8333,0.6919,0.0289,0,10.5361,2.6539,11.0207,0,0.0844
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m52-q1041.25-n50-p30-s30907550.cnf,1,0.9819,0.9819,0.9705,2.5629,0.8838,0.0496,0.9362,0.9819,0.9515,0.0019,3.3492,25.5625,88.9836,160.4,0.0199,3.3021
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_406.cnf,1,0.0031,0.0831,0.657,1.105,0.7061,0.1013,0.8066,0.9169,0.6449,0.0295,3.3339,15.7566,23.0011,13.692,0,6.8078
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_401.cnf,1,0.0124,0.0782,0.6648,1.0967,0.6597,0.1024,0.8034,0.9218,0.6474,0.0291,3.5664,15.4287,22.3937,13.9374,0,5.9256
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g7.cnf,1,0.9299,0.9299,0.7848,1.3783,0.7373,0.0248,0.9048,0.9299,0.7734,0.0076,2.9323,24.5809,23.9299,42.4065,0.0556,13.0574
./SAT03/handmade/anton/UNSAT/SGI_30_70_19_80_8-log.shuffled-as.sat03-143.cnf,1,0,0.0107,0.0647,0.016,0.5703,0.6574,0.6947,0,0.0375,0.1204,1.6947,6.1613,1.6871,7.1515,0,0.2791
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-20_390.cnf,1,0.0032,0.0873,0.6422,1.0699,0.6841,0.1077,0.803,0.9127,0.6301,0.0305,3.3218,20.8631,21.9479,13.3078,0,0.252
./SAT05/crafted/jarvisalo05/mod2c-rand3bip-sat/mod2c-rand3bip-sat-250-2.shuffled-as.sat05-2534.cnf,1,0,0.2504,0.0025,0.1608,0.2067,1.4426,0.4878,0,0.0002,0.0277,0.9674,27.7525,1.572,27.6506,0,0.1453
./SAT11/crafted/skvortsov/battleship/battleship-16-16-unsat.cnf,1,0.8824,0.8824,0.7577,1.2368,0.8331,0.0002,0.8745,0.8824,0.7576,0.0142,0,16.5052,3.5387,15.9889,0,0.1419
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-23_506.cnf,1,0.0024,0.0769,0.6777,1.1742,0.7105,0.0904,0.8383,0.9231,0.6664,0.0239,3.3188,27.2359,27.3461,18.2982,0,6.3842
./SAT11/crafted/spence/sgen/sgen3-n160-s40283905-sat.cnf,1,0.8333,0.6484,0.5832,0.4472,0.6879,0.0001,0.8353,0.8333,0.5831,0.0156,0,3.377,1.1568,5.8605,0,0.2577
./SAT11/crafted/skvortsov/automata-synchronization/crn_11_100_s.cnf,1,0.0371,0.2945,0.0153,0.1226,0.2282,1.3536,0.6422,0.1398,0.0047,0.0201,1.0023,8.4172,0.33,7.7162,1.1104,0.4112
./SAT11/crafted/skvortsov/automata-synchronization/rnd_150_42_s.cnf,1,0.2481,0.5668,0.0814,0.3607,0.0758,0.9029,0.2912,0.5538,0.0339,0.2288,2.2265,23.3935,1.4237,18.9421,1.6948,0.8017
./SAT05/crafted/sabharwal05/ordering/gt-ordering/sat/gt-030.shuffled-as.sat05-1295.cnf,1,0.0175,0.5096,0.5267,0.3031,0.7089,0.0015,0.9146,0.9988,0.5267,0.0035,0.0252,1.261,11.0015,5.8135,0,21.1475
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v2640c305320gyes2.cnf,1,0.9494,0.9494,0.8085,1.7337,0.7862,0.0409,0.8976,0.9494,0.7825,0.0029,2.7378,525.9,40.4446,552.595,0.037,6.2059
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-23_505.cnf,1,0.0099,0.073,0.6803,1.1668,0.6685,0.0916,0.7873,0.927,0.668,0.0235,3.5293,22.1837,27.3145,14.9568,0,0.2364
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-17_279.cnf,1,0,0.1062,0.6083,0.9613,0.6938,0.1295,0.81,0.8938,0.6021,0.0217,2.8893,22.3273,15.8477,15.6557,0,0.2327
./SAT11/crafted/mosoi/289/289-sat-6x20.cnf,1,0.0306,0.7577,0.5027,0.592,0.9528,0.0001,0.9962,0.0306,0.5027,0.0163,0,0.0069,6.8911,0.2882,0.3333,45.8912
./SAT05/crafted/sorge05/QG7a/gensys-ukn004.shuffled-as.sat05-3844.cnf,1,0.0794,0.14,0.6662,0.386,0.2363,0.2052,0.5014,0.0985,0.6063,0.0208,2.8275,51.2065,0.7141,39.9948,0.0321,0.1991
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-20_388.cnf,1,0,0.0915,0.6469,1.0759,0.7082,0.1062,0.8318,0.9085,0.6427,0.0159,2.9878,33.6683,21.2435,22.3005,0,0.1884
./SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v2640c305320gyes10.cnf,1,0.9546,0.9546,0.8496,1.9116,0.8414,0.1838,0.9271,0.9546,0.6876,0.0021,2.571,2695.93,51.0022,956.105,0.0313,4.2196
./SAT05/crafted/sabharwal05/pebbling/grid-pebbling/unsat/grid-pbl-0250.shuffled-as.sat05-1349.shuffled-as.sat05-1349.cnf,1,0.0018,0.3109,0,0.0275,0.2989,2.7129,0.6806,0.0031,0,0.0045,0.3978,7.9255,0.5364,7.8171,53.8514,0.2916
./SAT11/crafted/skvortsov/battleship/battleship-9-17-sat.cnf,1,0.8831,0.8831,0.8006,1.284,0.9026,0,0.9273,0.8831,0.8006,0.0245,0,0.8798,2.2866,1.8504,0,0.4184
./SAT04/handmade/connamacher/connm-d-0.02/connm-ue-csp-sat-n1200-d-0.02-s405595518.used-as.sat04-950.cnf,1,0,0.8448,0.5808,0.2498,0.2713,0.1107,0.7147,0.8448,0.5395,0.0099,2.6708,61.9426,3.1008,47.7751,0.3333,0.1512
./SAT11/crafted/skvortsov/battleship/battleship-7-12-unsat.cnf,1,0.8372,0.8372,0.7569,1.0176,0.8838,0,0.9116,0.8372,0.7569,0.0432,0,1.0747,1.9216,1.8401,0,0.3367
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m32-q326.25-n30-p15-s44266159.cnf,1,0.9682,0.9682,0.8619,1.7983,0.8665,0.03,0.957,0.9682,0.8374,0.0048,3.2079,99.2536,37.763,92.1546,0.0394,11.1013
./SAT03/handmade/anton/UNSAT/SGI_30_70_26_40_6-dir.shuffled-as.sat03-163.cnf,1,0.9756,0.7118,0.8879,1.9114,0.8664,0.0212,0.9522,0.9756,0.8685,0.0058,3.1332,11.5737,39.5103,8.6485,0.0345,0.1977
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q225-n25-p15-s58217873.cnf,1,0.9669,0.9669,0.854,1.5366,0.8681,0.0382,0.9466,0.9669,0.8245,0.0065,3.3946,14.0778,30.9983,13.4185,0.0476,0.0896
./SAT04/handmade/connamacher/connm-d0.04/connm-ue-csp-sat-n800-d0.04-s1788334438.used-as.sat04-976.cnf,1,0,0.8432,0.5674,0.2489,0.3025,0.1189,0.6844,0.8432,0.5258,0.0153,2.7486,51.8103,3.4495,42.3919,0.3333,0.6504
./SAT11/crafted/skvortsov/battleship/battleship-5-8-unsat.cnf,1,0.7619,0.7619,0.6799,0.7454,0.8885,0,0.9249,0.7619,0.6799,0.0857,0,1.0035,1.5092,1.326,0,0.3624
./SAT05/crafted/sorge05/QG7/iso-ukn004.shuffled-as.sat05-3385.cnf,1,0.5255,0.5443,0.6636,0.7449,0.2832,0.3044,0.8422,0.7192,0.425,0.0382,3.1098,15.6248,2.6775,11.2841,1.0575,0.2501
./SAT09/CRAFTED/rbsat/crafted/forced/rbsat-v2400c266431gyes3.cnf,1,0.9536,0.9536,0.8497,1.8783,0.8653,0.191,0.9403,0.9536,0.6709,0.002,2.651,318.667,50.2069,2068.63,0.0323,4.2994
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2100c215164g4.cnf,1,0.9822,0.9822,0.9304,2.3509,1,0.0001,1,0.9822,0.9303,0.0042,0,0.0195,13.5107,0.0009,0.037,33.1361
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-12_135.cnf,1,0,0.1451,0.5185,0.7362,0.6727,0.1935,0.8003,0.8549,0.5092,0.0432,2.7087,9.3027,8.702,8.1399,0,0.2778
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-15_218.cnf,1,0,0.119,0.5764,0.8775,0.682,0.1503,0.8151,0.881,0.5694,0.0275,2.9328,17.521,12.7827,13.5208,0,0.2346
./SAT03/handmade/stanion/hwb/hwb-n28-02-S818962541.shuffled-as.sat03-1628.cnf,1,0.0101,0.3456,0.0015,0.2894,0.4858,2.3987,0.9373,0.3899,0.0007,0.0835,0.3503,4.1596,1.2794,4.7117,0.4046,0.4479
./SAT05/crafted/sorge05/QG7a/gensys-icl005.shuffled-as.sat05-3826.cnf,1,0.0801,0.1458,0.6664,0.3885,0.2363,0.2037,0.5283,0.1014,0.6251,0.0203,2.6471,51.67,0.7022,40.2964,0.0325,0.1934
./SAT11/crafted/spence/sgen/sgen3-n140-s20078956-unsat.cnf,1,0,0.5034,0.003,0,0.8046,1.6665,0.9605,1,0.0007,0.0308,0.256,1.1037,0.746,2.6965,0,0.5425
./SAT03/handmade/anton/UNSAT/SGI_30_70_20_70_1-dir.shuffled-as.sat03-146.cnf,1,0.9694,0.7058,0.8742,1.7616,0.9219,0.0229,0.9674,0.9694,0.8568,0.0073,3.0694,8.8963,36.7272,42.8065,0.0345,15.5556
./SAT11/crafted/skvortsov/battleship/battleship-14-27-sat.cnf,1,0.9261,0.9261,0.8577,1.6999,0.9182,0,0.9355,0.9261,0.8577,0.0102,0,1.4099,3.109,2.3693,0,0.4158
./SAT03/handmade/anton/UNSAT/SGI_30_70_22_70_7-dir.shuffled-as.sat03-154.cnf,1,0.9718,0.7131,0.8749,1.8073,0.9163,0.0244,0.9665,0.9718,0.8584,0.007,2.9916,7.5683,41.3467,7.7368,0.0345,2.0854
./SAT02/handmade/chu-min-li/urquhart/urquhart3_25bis.shuffled.cnf,1,0,0.3636,0,0.101,0.9922,0,0.9986,0.1818,0,0.0606,0,1.0228,1.3984,2.2246,0.375,0.6409
./SAT03/handmade/bevan/cnf/marg3x3add8.shuffled-as.sat03-1449.cnf,1,0,0.2545,0,0.0958,0.9909,0,0.9976,0,0,0.1429,0,1,1.6543,1.1544,0,0.4637
./SAT05/crafted/sorge05/QG7a/gensys-ukn003.shuffled-as.sat05-3843.cnf,1,0.07,0.1264,0.6665,0.3783,0.2322,0.2049,0.5297,0.0891,0.6068,0.0203,2.8294,53.4433,0.6316,42.0563,0.0352,0.2135
./SAT11/crafted/skvortsov/battleship/battleship-13-13-unsat.cnf,1,0.8571,0.8571,0.7233,1.0778,0.8087,0.0001,0.849,0.8571,0.7233,0.0211,0,13.3747,3.0163,13.9373,0,0.0917
./SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-6_2072.cnf,1,0,0.1004,0.3464,0.518,0.3934,0.4999,0.4943,0.5344,0.1484,0.0115,3.9749,87.2564,6.9805,51.4167,0.5737,0.3334
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m32-q326.25-n30-p30-s48700942.cnf,1,0.9713,0.9713,0.8762,1.9806,0.8475,0.0215,0.9517,0.9713,0.8626,0.0045,3.2793,16.9612,43.9567,198.04,0.0329,10.4124
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-22_464.cnf,1,0.0027,0.08,0.6667,1.1402,0.6915,0.0956,0.8052,0.92,0.6542,0.026,3.3542,20.4194,25.4655,14.3355,0,1.7188
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m42-q585-n40-p30-s19690873.cnf,1,0.979,0.979,0.8845,2.2519,0.8265,0.0405,0.9153,0.979,0.8507,0.0026,3.1954,616.4,70.3192,1299.6,0.025,5.8027
./SAT03/handmade/anton/UNSAT/SGI_30_70_20_60_10-dir.shuffled-as.sat03-144.cnf,1,0.9697,0.7195,0.8797,1.8913,0.9096,0.0153,0.9583,0.9697,0.8699,0.0071,2.8961,6.7374,36.4543,46.7563,0.0345,13.616
./SAT11/crafted/skvortsov/automata-synchronization/crn_11_99_u.cnf,1,0.0323,0.2961,0.0153,0.1205,0.2088,1.3477,0.5971,0.147,0.0047,0.0203,1.0783,8.6223,0.3286,7.8195,1.1029,0.4874
./SAT04/handmade/anton/l4k4/lksat-n900-m6174-k4-l4-s819398222.used-as.sat04-929.cnf,1,0.0017,0.3081,0.1122,0.0323,0.117,0.6484,0.2724,0.0112,0.042,0.0157,3.137,31.42,0.6928,30.0438,0.0905,0.3913
./SAT04/handmade/anton/l5k3/lksat-n900-m3357-k3-l5-s950595579.used-as.sat04-938.cnf,1,0.0049,0.4563,0.2029,0.1261,0.1234,0.5943,0.4112,0.8865,0.0861,0.0107,3.4019,19.4106,0.7915,20.2231,0.2078,0.3062
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q255-n25-p15-s2076598.cnf,1,0.9871,0.9871,0.8899,1.6828,0.9234,0.03,0.9647,0.9871,0.8666,0.0071,3.108,23.9741,26.3538,18.4692,0.0481,13.4794
./SAT02/handmade/simon/satex-challenges/c6288.shuffled.cnf,1,0.2396,0.5419,0.0083,0.571,0.1566,1.2881,0.4333,0.8762,0.0074,0.0159,1.2453,108.052,0.6973,97.9036,1.5319,0.3683
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-18_312.cnf,1,0,0.1007,0.6225,1.0008,0.7052,0.1208,0.8053,0.8993,0.6173,0.0196,2.9611,29.7086,17.2726,19.6965,0,2.9179
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v1375c111739g4.cnf,1,0.9349,0.9349,0.7983,1.4666,0.7565,0.0205,0.9073,0.9349,0.7881,0.0059,2.8313,56.4521,26.832,14.8376,0.05,0.2192
./SAT05/crafted/roussel05/visbmc-PHNF/phnf-size10-exclusive-philo.used-as.sat04-988.shuffled-as.sat05-4195.cnf,1,0.8588,0.6449,0.791,0.8257,0.0273,0.2687,0.0871,0.8591,0.4955,0.0013,4.2441,4568.5,25.6627,5121,0.1326,0
./SAT04/handmade/kexu/frb-0.8/frb45-21-1.used-as.sat04-883.cnf,1,0.9348,0.9348,0.7971,1.4682,0.7478,0.0193,0.9059,0.9348,0.7876,0.0052,2.8156,28.7069,27.6208,87.0537,0.05,11.6992
./SAT11/crafted/skvortsov/battleship/battleship-11-21-sat.cnf,1,0.9052,0.9052,0.8288,1.4642,0.9074,0,0.9245,0.9052,0.8287,0.0165,0,1.5199,2.6288,2.4794,0,1.2217
./SAT05/crafted/sorge05/QG7a/gensys-brn002.shuffled-as.sat05-3935.cnf,1,0.0801,0.1178,0.6662,0.3821,0.2475,0.1904,0.572,0.0909,0.6447,0.0131,2.7621,47.0583,0.6482,36.7216,0.0398,0.199
./SAT04/handmade/kexu/frb-0.8/frb59-26-2.used-as.sat04-892.cnf,1,0.9463,0.9463,0.824,1.6619,0.726,0.0212,0.9286,0.9463,0.8122,0.0035,2.8117,43.092,36.5561,30.5,0.04,2.1412
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v2100c215164gyes2.cnf,1,0.9552,0.9552,0.7988,1.8716,0.8016,0.0812,0.9243,0.9552,0.7334,0.0021,2.697,55,49.8732,703.75,0.0323,4.2899
./SAT11/crafted/spence/sgen/sgen3-n260-s62321009-sat.cnf,1,0.8333,0.6298,0.5832,0.4472,0.6511,0.0001,0.8229,0.8333,0.5831,0.0096,0,4.9794,1.0406,8.7583,0,0.2081
./SAT11/crafted/mosoi/289/289-sat-6x19.cnf,1,0.0323,0.7581,0.509,0.5928,0.9662,0.0001,0.9973,0.0323,0.509,0.0172,0,0.0007,6.6574,0.0004,0.3333,48.3735
./SAT11/crafted/skvortsov/automata-synchronization/rnd_100_28_u.cnf,1,0.272,0.6326,0.0979,1.0135,0.1085,0.8553,0.5299,0.5824,0.0409,0.2187,2.1674,18.511,1.5156,16.2543,1.4943,0.3569
./SAT02/handmade/pehoushek/plainoldcnf/5cnf_4300_4300_170.shuffled.cnf,1,0,0.1925,0.0077,0.0467,0.5555,0.8514,0.7388,0.0003,0.0036,0.0294,1.0364,9.0018,1.3049,10.306,0,0.2783
./SAT11/crafted/skvortsov/battleship/battleship-16-31-sat.cnf,1,0.9356,0.9356,0.8716,1.8405,0.9239,0,0.9393,0.9356,0.8716,0.0078,0,3.0186,3.4461,3.6968,0,5.1193
./SAT11/crafted/mosoi/289/289-unsat-9x32.cnf,1,0.012,0.753,0.3985,0.5831,0.7197,0.001,0.813,0.012,0.3984,0.0069,0,48.0057,12.7416,48.1882,0.3333,0.0128
./SAT11/crafted/skvortsov/battleship/battleship-15-29-sat.cnf,1,0.9312,0.9312,0.865,1.7716,0.9209,0,0.9367,0.9312,0.865,0.0089,0,1.955,3.2788,2.8741,0,2.8354
./SAT11/crafted/spence/sgen/sgen3-n140-s18527668-sat.cnf,1,0.8333,0.6756,0.5831,0.4472,0.6989,0.0001,0.8357,0.8333,0.5831,0.0179,0,3.0262,1.1919,5.2772,0,0.2679
./SAT11/crafted/spence/sgen/sgen3-n220-s24359701-sat.cnf,1,0.8333,0.6117,0.5832,0.4472,0.6645,0.0001,0.8368,0.8333,0.5831,0.0114,0,4.3764,1.0796,7.6201,0,0.221
./SAT11/crafted/mosoi/289/289-sat-6x9.cnf,1,0.0698,0.7674,0.619,0.6106,0.9992,0,0.9999,0.0698,0.619,0.0353,0,0,3.8406,0,0.3333,0
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m62-q1327.5-n60-p15-s1351253.cnf,1,0.9798,0.9798,0.9857,2.6652,0.879,0.0687,0.9283,0.9798,0.9684,0.0012,3.4131,88.3333,109.81,46903.8,0.0179,2.4459
./SAT11/crafted/mosoi/289/289-unsat-17x27.cnf,1,0.0072,0.7518,0.3304,0.5808,0.6172,0.1569,0.6698,0.0072,0.318,0.0043,0,228.306,17.0365,227.9,0.3333,0.0138
./SAT05/crafted/sorge05/QG6/dead-dnd002.shuffled-as.sat05-2713.cnf,1,0.1019,0.1419,0.6105,0.4536,0.4355,0.232,0.8731,0.1759,0.5112,0.7095,2.6907,14.9506,1.0203,7.6118,0.0807,0.3084
./SAT11/crafted/skvortsov/battleship/battleship-10-18-sat.cnf,1,0.8901,0.8901,0.8154,1.3315,0.8977,0,0.9216,0.8901,0.8154,0.0209,0,0.9264,2.4348,1.9359,0,0.411
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v1150c84314gyes1.cnf,1,0.9349,0.9349,0.7982,1.4631,0.7691,0.0195,0.9403,0.9349,0.7887,0.0057,2.9075,27.0723,26.8379,14.6154,0.05,0.2714
