@RELATION 'FEATURE_VALUES-SAT12-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE SP_bias_max NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE CG_min NUMERIC
@ATTRIBUTE cluster_coeff_min NUMERIC
@ATTRIBUTE cluster_coeff_entropy NUMERIC
@ATTRIBUTE CG_max NUMERIC
@ATTRIBUTE cluster_coeff_mean NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE CG_coeff_variation NUMERIC
@ATTRIBUTE CG_entropy NUMERIC
@ATTRIBUTE cluster_coeff_max NUMERIC
@ATTRIBUTE CG_mean NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE cluster_coeff_coeff_variation NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE HORNY_VAR_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_min NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE UNARY NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE DIAMETER_coeff_variation NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_CoeffVariance NUMERIC

@DATA
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top21.cnf,1,2.1233,1.8479,0.1801,1.7399,2.1745,0.1568,1.5509,95209,0.1751,0.196,0.0016,0.0045,0.2397,0.0001,0.0001,1.7304,0,0.0002,0.0002,0.8925,1108.87,0.5318,0.9924,0.0807,0.0037,0.8331,1.1555,18664,0.0001,0,0.0023,0.5719,?,?,?,?,?,5.5,?,?,?,?,0.0002,?,0.3317,0.4236,1.9891,0,0.6702,0.3944,0.707,162526,1,1.2752,0.5407,4,0,0.0001,0,0.1582,0.0927,793,6,0.0189
SAT_Competition2011/SAT03/industrial/schuppan/l2s/dme-03-1-k247-unsat.shuffled-as.sat03-407.cnf,1,2.0429,1.3113,0.1379,3.7759,2.5669,0.1168,0.8564,318163,0.5,0.172,0.0004,0.001,0.5,0,0,1.4221,0,0.0001,0.0001,0.7576,2472.33,0.1373,1,0.4008,0.0013,0.7697,1.1342,54723,0,0,0.0045,0.4033,?,?,?,?,?,5.5385,?,?,?,?,0.0002,?,0.2083,0.473,2.7703,0,0.71,0.4675,1.4298,773077,1,1.3928,1.9172,5,0,0,0,0.1331,0.09,60,6,0
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-06.cnf,1,1.302,1.0802,0.0643,1.0597,1.9732,0.0441,2.1993,193019,0.0555,0.1943,0.0031,0.0033,0.3082,0,0,1.8532,0,0.0001,0.0001,0.7391,3032.83,0.1317,0.9996,0.0399,0.0033,0.6106,1.06,37512,0.0001,0,0.0006,0.3408,?,?,?,?,?,9.0104,?,?,?,?,0,?,0.1729,0.6001,1.6508,0,0.5616,0.3572,0.3633,263137,1,1.1565,0.27,7,0,0,0,0.1638,0.0855,605,10,0
SAT-Race-2010-CNF/mixed/anbulagan/dated-10-19-u.cnf,1,3.1522,0.5994,0.1578,2.5898,2.9225,0.2388,0.5961,447274,0.0307,0.1535,0.0001,0.0001,0.1983,0,0,0.5438,0,0,0,0.8261,2576,0.6119,0.9846,0.0138,0.0001,0.9281,0.976,68668,0,0,0.0002,0.7836,0,0.0254,3.1404,0.0002,0.1348,15.0286,0.681,3.7023,0.6111,0.0001,0,0.7517,0.6838,0.7373,2.6246,0,1.0367,0.3448,1.6142,1169243,1,1.2983,0.3753,14,0,0,0,0.5503,0.0194,0,16,0
SAT-Race-2010-CNF/software-verification/bitverif/minxorminand128.cnf,1,1.9719,1.9974,0.2553,10.0823,2.743,0.147,1.4871,179278,0.1038,0.0774,0.0014,0.0039,0.4592,0.0001,0,2.0361,0.0003,0.0003,0.0003,0.9695,396.048,0.8199,1,0.0669,0.0029,0.4899,1.819,13881,0.0001,0,0.0185,0.8322,?,?,?,?,?,6.3427,?,?,?,?,0.0003,?,0.3044,0.4298,2.2962,0,0.5022,0.6506,1.5657,459965,1,2.0001,1.1665,6,0,0,0,0.3719,0.0748,32,7,0.012
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/minor/minor064.cnf,1,2.8825,1.5188,0.238,6.4492,3.3061,0.221,1.0689,17622,0.2276,0.1111,0.0039,0.0196,0.4725,0.0005,0.0004,1.5715,0.0007,0.0024,0.0024,0.8592,25.499,0.7019,0.9927,0.0862,0.0155,0.5069,1.8901,1957,0.001,0,0.0342,0.8535,?,?,?,?,?,6.6396,?,?,?,?,0.0026,?,0.6998,0.4416,2.486,0,0.5276,0.644,1.4164,42581,1,2.0589,1.1341,5,0,0.0005,0,0.3838,0.1217,805,8,0.0602
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,2.8426,0.5454,0.1638,0.9868,2.569,0.2625,0.5132,868292,0.0292,0.1733,0,0,0.1345,0,0,0.5361,0,0,0,0.8182,18164,0.7644,0.9626,0.0156,0,0.8731,1.0373,150440,0,0,0.0001,0.8447,?,?,?,?,?,17.0909,?,?,?,?,0,?,0.6779,0.732,2.3141,0,0.9831,0.3881,0.6234,1409628,1,1.3791,0.4804,17,0,0,0,0.585,0.0168,0,18,0
SAT_Competition2007/industrial/industrial/babic/dspam/dspam_dump_vc1080.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_RACE2008/fuhs-aprove-15.cnf,1,1.9442,0.7131,0.1129,2.3864,2.357,0.0735,1.2355,34035,0.074,0.1831,0.0079,0.0112,0.2875,0.0003,0.0001,1.0258,0,0.0005,0.0005,0.7143,447.851,0.2087,0.9697,0.0377,0.0074,0.6128,1.2175,6232,0.0003,0,0.0059,0.3782,0.0001,0.0044,3.6444,0.0233,0.2817,8.5016,1.343,3.834,0.5632,0.0011,0.0003,0.4965,0.4262,0.6119,2.0457,0,0.6555,0.3356,1.1818,74257,1,1.2995,0.3027,6,0,0.0002,0,0.2219,0.0968,495,10,0.183
SAT_Competition2011/SAT11/application/leberre/2dimensionalstrippacking/E02F17.cnf,1,1.471,2.5291,0.207,0.2585,1.8012,0.3877,1.1089,63826,0.0471,0.083,0.0104,0.0107,0.1496,0.0008,0.0003,2.8796,0.0758,0.0009,0.0009,0.9432,167.75,0.8251,0.9787,0.0137,0.006,0.3812,2.0685,5295,0.0004,0,0.0064,0.8626,?,?,?,?,?,6.5345,?,?,?,?,0.0005,?,0.6967,0.9406,1.8687,0,0.557,0.7273,0.092,69700,1,0.9247,0.5974,5,0.25,0.0001,0,0.2109,0.1039,890,8,0.4046
SAT_Competition2011/SAT07/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,3.0829,0.4451,0.1565,2.1373,2.733,0.2499,0.4511,248601,0.0322,0.178,0.0001,0.0002,0.2053,0,0,0.4571,0,0.0001,0.0001,0.7647,2788.8,0.6568,0.9829,0.0155,0.0002,0.892,1.0132,44244,0,0,0.0003,0.8079,0,0.0264,3.2718,0.0003,0.1555,13.9359,0.5633,3.4839,0.6111,0.0001,0.0001,0.6131,0.7248,0.7552,2.4536,0,1.0416,0.371,1.5201,626501,1,1.3751,0.4464,13,0,0,0,0.6153,0.0289,123,15,0
SAT_Competition2011/SAT07/industrial/anbulagan/medium-unsat/dated-5-11-u.cnf,1,3.0944,0.4013,0.1552,2.1871,2.6926,0.2522,0.4251,185161,0.0323,0.1843,0.0002,0.0002,0.2037,0,0,0.4279,0,0.0001,0.0001,0.7333,665.833,0.6706,0.9902,0.0158,0.0002,0.8874,1.006,34133,0.0001,0,0.0004,0.8056,0,0.027,3.2498,0.0004,0.1626,13.4673,0.5276,3.3948,0.6111,0.0001,0.0001,0.5766,0.7475,0.7631,2.4032,0,1.0463,0.3767,1.6066,482639,1,1.3814,0.4555,13,0,0,0,0.6356,0.037,62,14,1.4142
SAT-Race-2010-CNF/hardware-verification/velev/2dlx_ca_bp_f_liveness.cnf,1,4.0238,9.1027,0.2372,0.0753,4.077,0.5002,1.8279,4281700,0.1988,0.0439,0.0033,0.0068,0.5,0,0,7.206,0,0,0,0.9852,116496,0.9971,1,0.0485,0.0155,0.9471,0.5717,188087,0,0,0.0035,0.9996,?,?,?,?,?,5,?,?,?,?,0.0001,?,0.6257,0.9495,4.0475,0,0.593,0.7212,0.0073,4313014,1,1.0688,2.6384,5,0,0,0,0.9069,0,0,5,0
SAT_RACE2006/SAT-Race_TS_2/velev-pipe-sat-1.1-03.cnf,1,4.0371,3.3798,0.3273,0.7117,5.2307,0.5141,2.3481,4556456,0.3607,0.0178,0.0011,0.0043,0.5,0,0,2.4637,0,0,0,0.9849,61053,0.9995,1,0.0967,0.0033,0.9406,0.7405,81160,0,0,0.0043,1,?,?,?,?,?,4,?,?,?,?,0.0001,?,0.31,0.9403,5.0654,0,0.3851,0.8348,0.0268,4678718,1,0.8957,2.8168,4,0,0,0,0.8293,0,0,4,0
SAT-Race-2010-CNF/software-verification/nec/hard-0-U-7061.cnf,1,3.0198,2.5235,0.1655,5.2587,3.1072,0.1496,1.9106,277657,0.1094,0.1611,0.0045,0.0097,0.4377,0,0,1.6879,0,0.0001,0.0001,1,2460.5,0.4015,1,0.0459,0.008,0.8536,1.2399,44729,0,0,0.004,0.8011,?,?,?,?,?,8.6351,?,?,?,?,0.0002,?,0.4956,0.4758,2.562,0,0.7558,0.5172,2.0312,841640,1,1.4908,1.3917,8,0,0,0,0.4386,0.0557,0,9,0
SAT_RACE2008/ibm-2002-18r-k90.cnf,1,3.5936,1.2092,0.1598,2.2488,3.62,0.22,1.0416,396985,0.0871,0.1359,0.0004,0.0008,0.3401,0,0,1.2791,0,0.0001,0.0001,0.7333,2466.5,0.6558,1,0.0323,0.0008,0.6631,1.6117,53933,0,0,0.0005,0.8338,?,?,?,?,?,90.4667,?,?,?,?,0.0001,?,0.1049,0.5984,2.9508,0,1.0315,0.3553,0.8178,721623,1,1.9424,0.6685,88,0,0,0,0.5212,0.0134,19,93,0
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,3.0829,0.4451,0.1565,2.1373,2.733,0.2499,0.4511,248601,0.0321,0.178,0.0001,0.0002,0.2055,0,0,0.4571,0,0.0001,0.0001,0.7647,2918.2,0.6567,0.9829,0.0155,0.0002,0.892,1.0132,44244,0,0,0.0003,0.8081,0,0.0264,3.2718,0.0003,0.1555,13.8462,0.5633,3.4839,0.6111,0.0001,0.0001,0.6131,0.5088,0.7552,2.4536,0,1.0416,0.371,1.5201,626501,1,1.3751,0.4464,13,0,0,0,0.6153,0.0297,123,15,0
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/partial-5-15-u.cnf,1,2.8925,0.4866,0.1624,1.0622,2.5651,0.2652,0.4772,590731,0.0308,0.1789,0,0.0001,0.1485,0,0,0.4875,0,0,0,0.7895,4009,0.744,0.9451,0.0161,0.0001,0.8708,1.0274,105677,0,0,0.0001,0.8376,0,0.0246,3.1583,0.0001,0.1532,15.55,0.5994,3.4579,0.6071,0,0,0.6263,0.6693,0.7414,2.3047,0,0.9946,0.391,0.6979,1002997,1,1.3841,0.4876,15,0,0,0,0.6071,0.032,211,16,0
SAT_Competition2007/industrial/industrial/babic/xinetd/itox_vc1044.cnf,1,1.6082,3.0847,0.0874,3.0716,1.7815,0.0915,2.1576,136385,0.0791,0.2186,0.0038,0.0248,1,0,0,2.1243,0,0.0001,0.0001,1,1666.67,0.156,1,0.0615,0.0062,0.8913,0.7897,29820,0.0001,0,0.0024,0.1919,?,?,?,?,?,14.1635,?,?,?,?,0.0001,?,0.5478,0.3481,1.4656,0,0.6638,0.4111,1.6141,356524,1,1.0625,0.8299,13,0,0.0001,0,0.0812,0.0296,21,15,1.4142
SAT_RACE2006/SAT-Race_TS_1/velev-pipe-1.1-05.cnf,1,4.0371,3.3798,0.3273,0.7117,5.2304,0.5141,2.3481,4556496,0.3607,0.0178,0.0011,0.0043,0.5,0,0,2.4637,0,0,0,0.9848,54249,0.9995,1,0.0967,0.0033,0.9406,0.7405,81160,0,0,0.0043,1,?,?,?,?,?,4,?,?,?,?,0.0001,?,0.2791,0.9403,5.0654,0,0.3851,0.8348,0.0268,4678760,1,0.8957,2.8168,4,0,0,0,0.8293,0,0,4,0
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_3_keyfind_1.cnf,1,1.782,0.291,0.0691,0.5733,2.6635,0.0509,0.28,2204,0.1317,0.2042,0.0059,0.0154,0.135,0.0032,0.0023,0.3008,0,0.0078,0.0078,0.25,29.6313,0.0252,0.3961,0.0676,0.0068,0.4828,0.8766,450,0.0044,0.0009,0.0111,0.1022,0.0041,0.1679,3.0479,0.0231,0.3195,6.9777,0.2085,3.0849,0.5205,0.0124,0.0041,0.1705,0.6582,0.4079,2.0382,0,0.6186,0.4628,0.2087,2664,1,1.4091,0.1654,6,0,0.0032,0,0.0181,0.0752,3424,8,0.0762
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-eijkbs6669-tseitin.cnf,1,2.0203,0.6056,0.0712,2.3211,2.7282,0.061,1.0087,279680,0.1155,0.2072,0.0003,0.0005,0.438,0,0,0.8703,0,0.0001,0.0001,0.8261,3287.33,0.1209,1,0.0543,0.0005,0.7211,1.001,57963,0,0,0.0009,0.2679,0,0.0227,3.7353,0.0012,0.2613,15.2951,0.6632,3.698,0.7868,0.0001,0,0.5289,0.0917,0.5045,2.2559,0,0.7889,0.4177,1.02,564953,1,1.2865,0.2314,11,0,0,0,0.1174,0.0723,13,17,0
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_4_keyfind_1.cnf,1,1.7705,0.2829,0.0683,0.515,2.6419,0.0501,0.2773,2976,0.1317,0.2023,0.0044,0.0114,0.135,0.0024,0.0017,0.2931,0,0.0059,0.0059,0.25,38.9153,0.0252,0.3961,0.068,0.005,0.4731,0.8682,602,0.0033,0.0007,0.0083,0.1023,0.003,0.1679,3.0201,0.0171,0.317,7.5624,0.2021,3.0454,0.5205,0.0093,0.003,0.1725,0.5707,0.4036,1.9881,0,0.6051,0.4648,0.172,3488,1,1.3961,0.1635,6,0,0.0024,0,0.0161,0.0906,3109,9,0.071
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.170-NOTKNOWN.cnf,1,1.6649,1.9072,0.326,0.2666,1.7591,0.4263,0.6947,9579475,0.0733,0.0571,0.0004,0.0004,0.5,0,0,2.1746,0.0003,0,0,0.9938,1196960,0.9835,0.999,0.0354,0.0006,0.9978,0.1789,547237,0,0,0.0024,0.9919,?,?,?,?,?,140,?,?,?,?,0.0001,?,0.3538,0.9607,1.686,0,0.5036,0.7893,0.2984,12437620,1,0.6491,3.3352,140,0,0,0,0.9607,0,0,140,0
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-sat/partial-10-15-s.cnf,1,2.898,0.5067,0.1634,1.092,2.5698,0.2637,0.4918,708950,0.0301,0.176,0,0.0001,0.1588,0,0,0.5009,0,0,0,0.8,12347,0.7566,0.9626,0.0158,0.0001,0.8754,1.0292,124771,0,0,0.0001,0.8425,0,0.0258,3.1368,0.0001,0.1507,16,0.6203,3.5066,0.6071,0,0,0.6427,0.6851,0.7393,2.3488,0,0.9944,0.3878,0.7083,1211106,1,1.3813,0.4802,16,0,0,0,0.5987,0,0,16,0
