@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 6'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE d_ratio_int_vars NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE d_ratio_bool_vars NUMERIC
@ATTRIBUTE v_avg_domdeg_vars NUMERIC

@DATA
normalized-aim-100-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,0.5,0.333333,1.333333,0.75,0.666667,0.667222
normalized-aim-100-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,0.502513,0.333333,1.326667,0.753769,0.666667,0.670556
normalized-4-insertions-4-3.xml.mzn_AND_NODATA,1,1,1,3.778947,0.264624,0,0.429377
normalized-aim-100-2-0-3.xml.mzn_AND_NODATA,1,1,1,1.5,0.666667,0,0.500833
normalized-aim-100-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.737444
normalized-25s-smv.xml.mzn_AND_NODATA,1,1,1,1.868099,0.535303,0,0.396665
normalized-44s-smv.xml.mzn_AND_NODATA,1,1,1,1.278788,0.781991,0,0.405183
normalized-aim-100-3-4-2.xml.mzn_AND_NODATA,1,1,1,2.2,0.454545,0,0.329631
normalized-aim-100-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.736222
normalized-aim-100-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.739222
normalized-aim-100-2-0-1.xml.mzn_AND_NODATA,1,1,1,1.5,0.666667,0,0.500833
normalized-aim-200-1-6-2.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0,0.60525
normalized-aim-200-1-6-3.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0,0.604917
normalized-4-fullins-3-6.xml.mzn_AND_NODATA,1,1,1,4.745614,0.210721,0,0.786161
normalized-aim-200-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,0.556328,0.333333,1.198333,0.834492,0.666667,0.737722
normalized-3-insertions-5-3.xml.mzn_AND_NODATA,1,1,1,6.895448,0.145023,0,0.251734
normalized-2-insertions-5-5.xml.mzn_AND_NODATA,1,1,1,6.592965,0.151677,0,0.446332
normalized-aim-200-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.737056
normalized-4-fullins-4-7.xml.mzn_AND_NODATA,1,1,1,9.637681,0.103759,0,0.474668
normalized-aim-100-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,0.501253,0.333333,1.33,0.75188,0.666667,0.668333
normalized-aim-200-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.736865
normalized-aim-200-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.736722
normalized-aim-200-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,0.55788,0.333333,1.195,0.83682,0.666667,0.740921
normalized-aim-200-2-0-sat-2_ext.xml.mzn_AND_NODATA,1,0.500626,0.333333,1.331667,0.750939,0.666667,0.667778
normalized-aim-200-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.737833
normalized-aim-200-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,0.500626,0.333333,1.331667,0.750939,0.666667,0.667778
normalized-aim-200-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,0.500626,0.333333,1.331667,0.750939,0.666667,0.668056
normalized-4-insertions-3-3.xml.mzn_AND_NODATA,1,1,1,1.974684,0.50641,0,0.784567
normalized-5-fullins-4-8.xml.mzn_AND_NODATA,1,1,1,10.502304,0.095217,0,0.516058
normalized-aim-100-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,0.502513,0.333333,1.326667,0.753769,0.666667,0.671111
normalized-aim-100-1-6-2.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0,0.6045
normalized-aim-100-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.736444
normalized-2-fullins-5-5.xml.mzn_AND_NODATA,1,1,1,14.320423,0.06983,0,0.227436
normalized-aim-200-3-4-sat-3_ext.xml.mzn_AND_NODATA,1,0.370714,0.333333,1.798333,0.55607,0.666667,0.552905
normalized-aim-50-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.568182,0.333333,1.173333,0.852273,0.666667,0.761111
normalized-aim-100-3-4-3.xml.mzn_AND_NODATA,1,1,1,2.2,0.454545,0,0.328631
normalized-aim-200-2-0-1.xml.mzn_AND_NODATA,1,1,1,1.5,0.666667,0,0.500417
normalized-43s-smv.xml.mzn_AND_NODATA,1,1,1,1.966621,0.508486,0,0.386944
normalized-aim-200-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.737111
normalized-aim-100-1-6-3.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0,0.604667
normalized-aim-100-1-6-1.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0,0.605929
normalized-aim-200-1-6-sat-2_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.736833
normalized-aim-200-6-0-sat-4_ext.xml.mzn_AND_NODATA,1,0.252845,0.333333,2.636667,0.379267,0.666667,0.468954
normalized-3-fullins-5-7.xml.mzn_AND_NODATA,1,1,1,16.626108,0.060146,0,0.282717
normalized-aim-200-2-0-2.xml.mzn_AND_NODATA,1,1,1,1.5,0.666667,0,0.500417
normalized-3-fullins-4-6.xml.mzn_AND_NODATA,1,1,1,8.701235,0.114926,0,0.434514
normalized-aim-50-2-0-3.xml.mzn_AND_NODATA,1,1,1,1.5,0.666667,0,0.5
normalized-aim-200-2-0-4.xml.mzn_AND_NODATA,1,1,1,1.5,0.666667,0,0.500833
normalized-aim-100-2-0-sat-4_ext.xml.mzn_AND_NODATA,1,0.501253,0.333333,1.33,0.75188,0.666667,0.668333
normalized-aim-200-3-4-sat-1_ext.xml.mzn_AND_NODATA,1,0.370714,0.333333,1.798333,0.55607,0.666667,0.552976
normalized-aim-100-2-0-2.xml.mzn_AND_NODATA,1,1,1,1.5,0.666667,0,0.501667
normalized-army8-9ls.xml.mzn_AND_NODATA,1,1,1,1.509091,0.662651,0,0.295613
normalized-aim-100-2-0-unsat-4_ext.xml.mzn_AND_NODATA,1,0.5,0.333333,1.333333,0.75,0.666667,0.666667
normalized-aim-200-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,0.500626,0.333333,1.331667,0.750939,0.666667,0.667778
normalized-5-fullins-4-7.xml.mzn_AND_NODATA,1,1,1,10.502304,0.095217,0,0.451551
normalized-army13-24bt.xml.mzn_AND_NODATA,1,1,1,2.214286,0.451613,0,0.201246
normalized-aim-100-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0.560224,0.333333,1.19,0.840336,0.666667,0.744111
normalized-aim-200-3-4-3.xml.mzn_AND_NODATA,1,1,1,2.2,0.454545,0,0.328857
normalized-anna-10.xml.mzn_AND_NODATA,1,1,1,3.572464,0.279919,0,3.763869
normalized-aim-200-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,0.501882,0.333333,1.328333,0.752823,0.666667,0.669444
normalized-army12-21bt.xml.mzn_AND_NODATA,1,1,1,2.200935,0.454352,0,0.201373
normalized-army10-14ls.xml.mzn_AND_NODATA,1,1,1,1.506329,0.663866,0,0.280994
normalized-army12-21ls.xml.mzn_AND_NODATA,1,1,1,1.504673,0.664596,0,0.272422
normalized-aim-200-6-0-4.xml.mzn_AND_NODATA,1,1,1,3.4625,0.288809,0,0.202917
normalized-aim-200-6-0-3.xml.mzn_AND_NODATA,1,1,1,3.48,0.287356,0,0.201653
normalized-aim-200-3-4-sat-4_ext.xml.mzn_AND_NODATA,1,0.371402,0.333333,1.795,0.557103,0.666667,0.553623
normalized-army10-14bt.xml.mzn_AND_NODATA,1,1,1,2.170886,0.460641,0,0.203979
normalized-2-fullins-4-5.xml.mzn_AND_NODATA,1,1,1,7.646226,0.130783,0,0.396645
normalized-aim-200-2-0-sat-4_ext.xml.mzn_AND_NODATA,1,0.500626,0.333333,1.331667,0.750939,0.666667,0.668056
normalized-aim-200-6-0-1.xml.mzn_AND_NODATA,1,1,1,3.4725,0.287977,0,0.202278
normalized-aim-50-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.737333
normalized-aim-200-6-0-sat-2_ext.xml.mzn_AND_NODATA,1,0.251731,0.333333,2.648333,0.377596,0.666667,0.468185
normalized-aim-100-3-4-1.xml.mzn_AND_NODATA,1,1,1,2.2,0.454545,0,0.328905
normalized-aim-100-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,0.5,0.333333,1.333333,0.75,0.666667,0.666667
normalized-aim-200-3-4-1.xml.mzn_AND_NODATA,1,1,1,2.1975,0.455063,0,0.329464
normalized-aim-200-2-0-unsat-4_ext.xml.mzn_AND_NODATA,1,0.5,0.333333,1.333333,0.75,0.666667,0.6675
normalized-aim-200-3-4-4.xml.mzn_AND_NODATA,1,1,1,2.2,0.454545,0,0.328935
normalized-aim-50-1-6-2.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0,0.604
normalized-aim-50-1-6-1.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0,0.602333
normalized-aim-50-1-6-4.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0,0.607333
normalized-anna-9.xml.mzn_AND_NODATA,1,1,1,3.572464,0.279919,0,3.387482
normalized-army9-12ls.xml.mzn_AND_NODATA,1,1,1,1.507519,0.663342,0,0.287301
normalized-aim-200-6-0-2.xml.mzn_AND_NODATA,1,1,1,3.49,0.286533,0,0.201125
normalized-bibd-6-50-25-3-10_glb.xml.mzn_AND_NODATA,1,1,1,0.781905,1.278928,0,0.795918
normalized-aim-200-1-6-4.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0,0.60675
normalized-bibd-6-60-30-3-12_glb.xml.mzn_AND_NODATA,1,1,1,0.778571,1.284404,0,0.795918
normalized-ash608GPIA-4.xml.mzn_AND_NODATA,1,1,1,6.450658,0.155023,0,0.328255
normalized-army9-12bt.xml.mzn_AND_NODATA,1,1,1,2.154135,0.464223,0,0.20725
normalized-22s-smv.xml.mzn_AND_NODATA,1,1,1,2.203509,0.453822,0,0.397666
normalized-aim-200-2-0-3.xml.mzn_AND_NODATA,1,1,1,1.5,0.666667,0,0.500417
normalized-aim-100-2-0-sat-2_ext.xml.mzn_AND_NODATA,1,0.5,0.333333,1.333333,0.75,0.666667,0.667778
normalized-bibd-7-42-18-3-6_glb.xml.mzn_AND_NODATA,1,1,1,0.809524,1.235294,0,0.8125
normalized-aim-100-3-4-4.xml.mzn_AND_NODATA,1,1,1,2.2,0.454545,0,0.328964
normalized-5-fullins-4-6.xml.mzn_AND_NODATA,1,1,1,10.502304,0.095217,0,0.387044
normalized-army13-24ls.xml.mzn_AND_NODATA,1,1,1,1.504082,0.664858,0,0.269517
normalized-aim-200-1-6-1.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0,0.605083
normalized-bibd-6-40-20-3-8_glb.xml.mzn_AND_NODATA,1,1,1,0.786905,1.270802,0,0.795918
normalized-aim-200-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,0.500626,0.333333,1.331667,0.750939,0.666667,0.667778
normalized-bibd-6-70-35-3-14_glb.xml.mzn_AND_NODATA,1,1,1,0.77619,1.288344,0,0.795918
normalized-aim-200-6-0-sat-3_ext.xml.mzn_AND_NODATA,1,0.252685,0.333333,2.638333,0.379027,0.666667,0.468796
normalized-aim-50-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,0.5,0.333333,1.333333,0.75,0.666667,0.666667
normalized-bibd-7-35-15-3-5_glb.xml.mzn_AND_NODATA,1,1,1,0.814286,1.22807,0,0.8125
normalized-bibd-9-36-12-3-3_glb.xml.mzn_AND_NODATA,1,1,1,0.85,1.176471,0,0.84
normalized-bibd-7-63-27-3-9_glb.xml.mzn_AND_NODATA,1,1,1,0.801587,1.247525,0,0.8125
normalized-bibd-8-42-21-4-9_glb.xml.mzn_AND_NODATA,1,1,1,0.829365,1.205742,0,0.82716
normalized-bibd-16-16-6-6-2_glb.xml.mzn_AND_NODATA,1,1,1,0.952206,1.050193,0,0.896194
normalized-bibd-6-100-50-3-20_glb.xml.mzn_AND_NODATA,1,1,1,0.771905,1.295497,0,0.795918
normalized-ash958GPIA-4.xml.mzn_AND_NODATA,1,1,1,6.52714,0.153206,0,0.323664
normalized-army11-17bt.xml.mzn_AND_NODATA,1,1,1,2.186486,0.457355,0,0.202985
normalized-bf-2670-001.xml.mzn_AND_NODATA,1,1,1,1.48995,0.671164,0,0.583881
normalized-anna-8.xml.mzn_AND_NODATA,1,1,1,3.572464,0.279919,0,3.011095
normalized-bibd-13-26-6-3-1_glb.xml.mzn_AND_NODATA,1,1,1,0.906593,1.10303,0,0.877551
normalized-bibd-7-77-33-3-11_glb.xml.mzn_AND_NODATA,1,1,1,0.798701,1.252033,0,0.8125
normalized-bibd-7-28-12-3-4_glb.xml.mzn_AND_NODATA,1,1,1,0.821429,1.217391,0,0.8125
normalized-aim-200-3-4-2.xml.mzn_AND_NODATA,1,1,1,2.2,0.454545,0,0.328601
normalized-bibd-8-28-14-4-6_glb.xml.mzn_AND_NODATA,1,1,1,0.84127,1.188679,0,0.82716
normalized-bibd-9-48-16-3-4_glb.xml.mzn_AND_NODATA,1,1,1,0.843056,1.186161,0,0.84
normalized-bibd-6-80-40-3-16_glb.xml.mzn_AND_NODATA,1,1,1,0.774405,1.291314,0,0.795918
normalized-abb313GPIA-8.xml.mzn_AND_NODATA,1,1,1,34.268465,0.029181,0,0.12892
normalized-bibd-11-22-10-5-4_glb.xml.mzn_AND_NODATA,1,1,1,0.893939,1.118644,0,0.861111
normalized-3-fullins-5-5.xml.mzn_AND_NODATA,1,1,1,16.626108,0.060146,0,0.20194
normalized-bibd-10-90-27-3-6_glb.xml.mzn_AND_NODATA,1,1,1,0.847475,1.179976,0,0.85124
normalized-bibd-10-30-9-3-2_glb.xml.mzn_AND_NODATA,1,1,1,0.869697,1.149826,0,0.85124
normalized-bibd-8-56-21-3-6_glb.xml.mzn_AND_NODATA,1,1,1,0.823413,1.214458,0,0.82716
normalized-abb313GPIA-9.xml.mzn_AND_NODATA,1,1,1,34.268465,0.029181,0,0.145035
normalized-bibd-6-90-45-3-18_glb.xml.mzn_AND_NODATA,1,1,1,0.773016,1.293634,0,0.795918
normalized-bibd-16-24-9-6-3_glb.xml.mzn_AND_NODATA,1,1,1,0.931373,1.073684,0,0.896194
normalized-bibd-7-98-42-3-14_glb.xml.mzn_AND_NODATA,1,1,1,0.795918,1.25641,0,0.8125
normalized-aim-100-1-6-sat-2_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.736333
normalized-bqwh-15-106-14_glb.xml.mzn_AND_NODATA,1,0,1,1.245283,0.80303,0,2.97327
normalized-bf-0432-007.xml.mzn_AND_NODATA,1,1,1,1.940385,0.515362,0,0.487891
normalized-bibd-15-21-7-5-2_glb.xml.mzn_AND_NODATA,1,1,1,0.930952,1.074169,0,0.890625
normalized-bibd-7-70-30-3-10_glb.xml.mzn_AND_NODATA,1,1,1,0.8,1.25,0,0.8125
normalized-bqwh-15-106-83_ext.xml.mzn_AND_NODATA,1,0.227752,0.214141,3.450505,0.289813,0.785859,0.69024
normalized-bibd-12-22-11-6-5_glb.xml.mzn_AND_NODATA,1,1,1,0.904429,1.10567,0,0.869822
normalized-bibd-15-45-24-8-12_glb.xml.mzn_AND_NODATA,1,1,1,0.905556,1.104294,0,0.890625
normalized-bf-1355-075.xml.mzn_AND_NODATA,1,1,1,1.597936,0.625807,0,0.48366
normalized-bqwh-18-141-15_glb.xml.mzn_AND_NODATA,1,0,1,1.219858,0.819767,0,3.520095
normalized-BlackHole-4-4-e-2_ext.xml.mzn_AND_NODATA,1,0.053478,0.117216,16.507326,0.060579,0.882784,0.284872
normalized-bibd-8-70-35-4-15_glb.xml.mzn_AND_NODATA,1,1,1,0.819841,1.219748,0,0.82716
normalized-aim-50-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667,0.737111
normalized-BlackHole-4-4-e-9_ext.xml.mzn_AND_NODATA,1,0.053478,0.117216,16.507326,0.060579,0.882784,0.284872
normalized-bibd-10-60-18-3-4_glb.xml.mzn_AND_NODATA,1,1,1,0.85303,1.172291,0,0.85124
normalized-bqwh-18-141-23_glb.xml.mzn_AND_NODATA,1,0,1,1.234043,0.810345,0,4.086288
normalized-bqwh-18-141-21_ext.xml.mzn_AND_NODATA,1,0.22486,0.212991,3.5,0.285714,0.787009,0.748323
normalized-bqwh-18-141-14_ext.xml.mzn_AND_NODATA,1,0.224034,0.21267,3.514329,0.284549,0.78733,0.788505
normalized-bqwh-18-141-22_ext.xml.mzn_AND_NODATA,1,0.212575,0.198872,3.768688,0.265344,0.801128,0.719138
normalized-bibd-9-108-36-3-9_glb.xml.mzn_AND_NODATA,1,1,1,0.831481,1.202673,0,0.84
normalized-aim-200-3-4-sat-2_ext.xml.mzn_AND_NODATA,1,0.370714,0.333333,1.798333,0.55607,0.666667,0.552734
normalized-bqwh-18-141-27_ext.xml.mzn_AND_NODATA,1,0.229819,0.212991,3.424471,0.292016,0.787009,0.798832
normalized-bqwh-18-141-29_ext.xml.mzn_AND_NODATA,1,0.220008,0.206745,3.605572,0.277349,0.793255,0.753197
normalized-BlackHole-4-4-e-3_ext.xml.mzn_AND_NODATA,1,0.053478,0.117216,16.507326,0.060579,0.882784,0.284872
normalized-bqwh-18-141-14_glb.xml.mzn_AND_NODATA,1,0,1,1.234043,0.810345,0,4.008274
normalized-4-fullins-5-8.xml.mzn_AND_NODATA,1,1,1,18.645683,0.053632,0,0.296535
normalized-bqwh-18-141-23_ext.xml.mzn_AND_NODATA,1,0.213381,0.207353,3.714706,0.2692,0.792647,0.764266
normalized-bqwh-18-141-19_glb.xml.mzn_AND_NODATA,1,0,1,1.198582,0.83432,0,3.834515
normalized-bibd-9-72-24-3-6_glb.xml.mzn_AND_NODATA,1,1,1,0.836111,1.196013,0,0.84
normalized-bqwh-18-141-2_ext.xml.mzn_AND_NODATA,1,0.218256,0.207658,3.630339,0.275456,0.792342,0.734357
normalized-bibd-12-44-11-3-2_glb.xml.mzn_AND_NODATA,1,1,1,0.881702,1.134171,0,0.869822
normalized-4-fullins-5-5.xml.mzn_AND_NODATA,1,1,1,18.645683,0.053632,0,0.185335
normalized-bibd-7-56-24-3-8_glb.xml.mzn_AND_NODATA,1,1,1,0.803571,1.244444,0,0.8125
normalized-bqwh-18-141-22_glb.xml.mzn_AND_NODATA,1,0,1,1.248227,0.801136,0,4.186761
normalized-BlackHole-4-4-e-6_ext.xml.mzn_AND_NODATA,1,0.053478,0.117216,16.507326,0.060579,0.882784,0.284872
normalized-bqwh-18-141-17_ext.xml.mzn_AND_NODATA,1,0.23297,0.215596,3.366972,0.297003,0.784404,0.759909
normalized-bibd-7-49-21-3-7_glb.xml.mzn_AND_NODATA,1,1,1,0.806122,1.240506,0,0.8125
normalized-bibd-14-26-13-7-6_glb.xml.mzn_AND_NODATA,1,1,1,0.914652,1.093312,0,0.884444
normalized-bqwh-18-141-57_ext.xml.mzn_AND_NODATA,1,0.234131,0.216923,3.344615,0.298988,0.783077,0.770533
normalized-bqwh-18-141-52_ext.xml.mzn_AND_NODATA,1,0.221803,0.210448,3.559701,0.280922,0.789552,0.745955
normalized-bqwh-18-141-32_ext.xml.mzn_AND_NODATA,1,0.220241,0.209821,3.587798,0.278723,0.790179,0.813152
normalized-bibd-7-210-60-2-10_glb.xml.mzn_AND_NODATA,1,1,1,0.790476,1.26506,0,0.8125
normalized-BlackHole-4-4-e-4_ext.xml.mzn_AND_NODATA,1,0.053478,0.117216,16.507326,0.060579,0.882784,0.284872
normalized-bqwh-18-141-40_glb.xml.mzn_AND_NODATA,1,0,1,1.255319,0.79661,0,4.264775
normalized-BlackHole-4-4-e-7_ext.xml.mzn_AND_NODATA,1,0.053478,0.117216,16.507326,0.060579,0.882784,0.284872
normalized-bqwh-18-141-59_ext.xml.mzn_AND_NODATA,1,0.224714,0.209821,3.516369,0.284384,0.790179,0.74614
normalized-bqwh-18-141-40_ext.xml.mzn_AND_NODATA,1,0.219424,0.204348,3.626087,0.275779,0.795652,0.767283
normalized-bqwh-18-141-15_ext.xml.mzn_AND_NODATA,1,0.22684,0.21203,3.473684,0.287879,0.78797,0.712716
normalized-bqwh-18-141-39_ext.xml.mzn_AND_NODATA,1,0.2247,0.21203,3.506767,0.285163,0.78797,0.746555
normalized-bqwh-18-141-5_ext.xml.mzn_AND_NODATA,1,0.221535,0.207965,3.575221,0.279703,0.792035,0.757972
normalized-bqwh-18-141-46_ext.xml.mzn_AND_NODATA,1,0.219718,0.20524,3.617176,0.276459,0.79476,0.741173
normalized-bqwh-18-141-41_glb.xml.mzn_AND_NODATA,1,0,1,1.22695,0.815029,0,3.600473
normalized-bibd-6-30-15-3-6_glb.xml.mzn_AND_NODATA,1,1,1,0.795238,1.257485,0,0.795918
normalized-bqwh-18-141-10_ext.xml.mzn_AND_NODATA,1,0.224473,0.20951,3.521545,0.283966,0.79049,0.728589
normalized-bqwh-18-141-71_glb.xml.mzn_AND_NODATA,1,0,1,1.219858,0.819767,0,3.905437
normalized-bqwh-18-141-29_glb.xml.mzn_AND_NODATA,1,0,1,1.22695,0.815029,0,4.100473
normalized-bqwh-18-141-73_glb.xml.mzn_AND_NODATA,1,0,1,1.234043,0.810345,0,3.625296
normalized-bqwh-18-141-19_ext.xml.mzn_AND_NODATA,1,0.219682,0.207658,3.606775,0.277256,0.792342,0.730601
normalized-bqwh-18-141-36_glb.xml.mzn_AND_NODATA,1,0,1,1.219858,0.819767,0,4.275414
normalized-bqwh-18-141-7_glb.xml.mzn_AND_NODATA,1,0,1,1.234043,0.810345,0,3.950355
normalized-bqwh-18-141-6_ext.xml.mzn_AND_NODATA,1,0.22582,0.212349,3.487952,0.286701,0.787651,0.769077
normalized-bqwh-18-141-79_ext.xml.mzn_AND_NODATA,1,0.235704,0.217593,3.319444,0.301255,0.782407,0.791397
normalized-bqwh-18-141-72_ext.xml.mzn_AND_NODATA,1,0.231371,0.218944,3.375776,0.296228,0.781056,0.799417
normalized-bqwh-18-141-49_glb.xml.mzn_AND_NODATA,1,0,1,1.241135,0.805714,0,3.820331
normalized-bqwh-18-141-7_ext.xml.mzn_AND_NODATA,1,0.225586,0.210448,3.5,0.285714,0.789552,0.763045
normalized-bibd-8-56-28-4-12_glb.xml.mzn_AND_NODATA,1,1,1,0.823413,1.214458,0,0.82716
normalized-BlackHole-4-4-e-5_ext.xml.mzn_AND_NODATA,1,0.053478,0.117216,16.507326,0.060579,0.882784,0.284872
normalized-bqwh-18-141-3_ext.xml.mzn_AND_NODATA,1,0.225834,0.210762,3.494768,0.286142,0.789238,0.71185
normalized-bqwh-18-141-64_glb.xml.mzn_AND_NODATA,1,0,1,1.241135,0.805714,0,3.914894
normalized-bibd-11-55-15-3-3_glb.xml.mzn_AND_NODATA,1,1,1,0.866667,1.153846,0,0.861111
normalized-bqwh-18-141-87_glb.xml.mzn_AND_NODATA,1,0,1,1.241135,0.805714,0,4.20922
normalized-bqwh-18-141-66_ext.xml.mzn_AND_NODATA,1,0.22079,0.209821,3.578869,0.279418,0.790179,0.728813
normalized-BlackHole-4-4-e-8_ext.xml.mzn_AND_NODATA,1,0.053478,0.117216,16.507326,0.060579,0.882784,0.284872
