@RELATION 'FEATURE_VALUES-SAT12-RAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC

@DATA
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/500/unif-k3-r4.25-v500-c2125-S1494961823-060.cnf,1,17.4766,0.0062,0.0062,0.0102,14.3831,0.0061,107,117,108,98,107.542,0.0123,107.667,98,117,0.0024,0.3184,500,488,3811,3844.8571,0.0707,0.0764,3771,0.5791,3799,3969,3771,0.0446,3911,0.0142,0.003
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v600-c2556-S248192082-054.UNKNOWN.cnf,1,22.0558,0.0052,0.0052,0.0086,17.357,0.0052,128,139,128,118,127.932,0.0104,128.049,117,138,0.0008,0.3103,600,582,3791,3788.875,0.0668,0.0753,3647,0.5324,3753,3921,3647,0.044,3869,0.0106,0.0026
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/520/unif-k3-r4.25-v520-c2210-S227954525-082.cnf,1,18.3676,0.0059,0.0059,0.0078,14.8412,0.0059,113,123,113,104,113.096,0.0117,113.286,103,124,0.0023,0.3195,520,512,3839,3883.625,0.0704,0.0741,3797,0.5657,3822,4148,3797,0.0431,3965,0.0109,0.0029
SAT_Competition2009/RANDOM/LARGE/5SAT/UNKNOWN/900/unif-k5-r20-v900-c18000-S1119648091-064.cnf,1,50.1095,0.0056,0.0056,0.0056,40.7395,0.0056,172,187,172,159,172.177,0.0179,172.208,158,185,0.0038,0.4784,900,900,49,51.3645,0.0758,0.0023,36,0.6069,44,65,31,0.0016,56,0.0075,0.001
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1617626827-069.SATISFIABLE.cnf,1,15.3263,0.0069,0.0069,0.0113,12.4421,0.0068,98,107,98,89,97.9555,0.0136,97.9801,89,107,0.0026,0.3284,450,441,3904,3902.375,0.0758,0.0794,3808,0.5753,3854,4060,3808,0.0451,3987,0.0157,0.0032
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v600-c2556-S869604189-077.UNKNOWN.cnf,1,23.1834,0.0051,0.0051,0.0068,18.656,0.0051,131,142,130,120,130.654,0.01,130.431,120,141,0.0012,0.3072,600,591,3744,3772.625,0.0665,0.072,3664,0.541,3711,3989,3664,0.0425,3842,0.0098,0.0025
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v70-c6230-S1018943457-089.SATISFIABLE.cnf,1,8.7181,0.1,0.1,0.1,8.4534,0.1,12,15,12,9,12.1367,0.0111,12.0972,9,15,0.0894,0.6794,70,70,4447,4457.8333,0.2057,0.0001,4395,0.756,4400,4607,4395,0,4496,0.1104,0.0069
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/12000/unif-k3-r4.2-v12000-c50400-S1510966387-018.cnf,1,437.2,0.0003,0.0003,0.0005,228,0.0003,2547,2577,2554.5,0,2546.45,0.0005,2299.5,2504,2599,0,0.2346,12000,11696,13,13.8674,0.3519,0.0781,8,0.3125,10,20,6,0.0469,16,0.0008,0.0001
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/180/unif-k7-r85-v180-c15300-S1802626390-033.cnf,1,16.5683,0.0389,0.0389,0.0389,16.5455,0.0389,29,35,29,25,29.6766,0.0117,29.7098,24,35,0.0349,0.6357,180,180,4162,4134,0.1443,0.0001,3968,0.7355,4033,4373,3968,0.0001,4373,0.0429,0.0026
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/65/unif-k7-r89-v65-c5785-S1645769281-097.cnf,1,8.5152,0.1077,0.1077,0.1077,8.0183,0.1077,11,14,11,8,11.2707,0.0111,11.2868,8,14,0.0984,0.6863,65,65,4509,4477.5,0.2107,0.0001,4397,0.7661,4406,4588,4397,0,4516,0.12,0.0067
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/4000/unif-k3-r4.2-v4000-c16800-S139794312-098.cnf,1,110.587,0.0008,0.0008,0.0015,73.313,0.0008,851,876,853,819,849.574,0.0016,851.661,816,877,0.0002,0.2563,4000,3902,55,59.5468,0.0246,0.0803,42,0.373,49,77,37,0.0469,66,0.002,0.0004
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/180/unif-k7-r85-v180-c15300-S1295462378-089.cnf,1,16.4436,0.0389,0.0389,0.0389,16.9709,0.0389,30,35,30,25,29.7648,0.0117,29.971,25,36,0.0352,0.6311,180,180,4186,4143.75,0.1517,0.0001,3972,0.7295,3998,4419,3972,0.0001,4419,0.0435,0.0024
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/75/unif-k7-r89-v75-c6675-S819692891-023.cnf,1,9.3947,0.0933,0.0933,0.0933,8.972,0.0933,13,16,13,10,12.9642,0.0111,12.9799,10,16,0.0863,0.6731,75,75,4398,4430.8,0.1972,0.0001,4346,0.7559,4359,4533,4346,0,4518,0.1061,0.0053
SAT_Competition2007/random/2+p/p0.9/v990/unif2p-p0.9-v990-c3583-S516218553-20-SAT.cnf,1,26.034,0.0032,0.0032,0.0064,20.2177,0.0021,205,218,205,192,204.688,0.0062,204.819,191,218,0.0006,0.2859,990,935,3363,3141.7143,0.057,0.1094,1805,0.5107,3006,3741,1805,0.0668,3643,0.0094,0.0016
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/400/unif-k3-r4.25-v400-c1700-S419666888-007.cnf,1,13.6748,0.008,0.008,0.0131,11.193,0.0078,85,94,85,76,84.9997,0.0158,84.8677,77,93,0.003,0.3402,400,383,3943,3940,0.0793,0.0805,3854,0.5858,3901,4008,3854,0.0479,3980,0.0149,0.0039
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v600-c2556-S252359291-002.SATISFIABLE.cnf,1,20.6966,0.0051,0.0051,0.0085,16.557,0.0051,131,141,130,120,130.4,0.0102,130.384,119,141,0.002,0.3114,600,589,3767,3773.5,0.0678,0.0746,3641,0.5378,3754,3886,3641,0.0462,3849,0.0106,0.0025
SAT_Competition2011/SAT11/random/large/unif-k3-r4.2-v30000-c126000-S285324961-078-UNKNOWN.cnf,1,946.5,0.0001,0.0001,0.0002,2758.71,0.0001,6362,6370,6397.5,6334,5436.86,0.0002,6397.5,0,6334,0,0.2275,30000,29275,4,4.7482,0.014,0.0801,2,0.2858,3,8,1,0.0479,6,0.0003,0.0001
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v125-c2662-S34055288-072.SATISFIABLE.cnf,1,9.7014,0.04,0.04,0.04,8.6685,0.04,25,30,25,20,25.0874,0.0452,25.0527,20,30,0.0323,0.5541,125,125,4198,4234.1429,0.1528,0.0017,4099,0.6906,4185,4367,4099,0.0011,4365,0.0492,0.0078
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v700-c2982-S812011128-009.SATISFIABLE.cnf,1,22.5126,0.0044,0.0044,0.0073,17.6738,0.0044,152,164,152,141,152.195,0.0087,152.384,140,164,0.0017,0.3056,700,688,3659,3636,0.0632,0.0756,3558,0.5615,3599,3684,3558,0.0425,3680,0.0091,0.0021
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v600-c2556-S506401817-075.UNKNOWN.cnf,1,25.5682,0.0051,0.0051,0.0085,20.5025,0.0051,129,140,129,119,129.468,0.0101,129.25,119,140,0.0012,0.3015,600,589,3840,3828.1429,0.0637,0.0667,3718,0.5076,3751,3985,3718,0.038,3889,0.0118,0.0025
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/440/unif-k3-r4.25-v440-c1870-S1112524719-021.cnf,1,15.3033,0.0071,0.0071,0.0141,12.6312,0.007,94,104,94,85,94.2871,0.0141,94.3491,85,104,0.0027,0.3211,440,427,3947,3940.625,0.0777,0.0819,3873,0.5723,3908,4026,3873,0.0443,3990,0.0188,0.0036
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/12000/unif-k3-r4.2-v12000-c50400-S650356257-052.cnf,1,432.5,0.0003,0.0003,0.0004,234.739,0.0003,2531,2584,2552.5,2470,2539.22,0.0005,2364.21,2504,2579,0,0.2401,12000,11682,13,14.1395,0.2882,0.0789,9,0.3107,11,20,6,0.0469,17,0.0008,0.0001
SAT_Competition2011/SAT11/random/large/unif-k5-r20-v1000-c20000-S541740666-063-UNKNOWN.cnf,1,53.7224,0.005,0.005,0.005,44.5358,0.005,191,207,191,177,191.279,0.0165,191.7,178,207,0.0033,0.474,1000,1000,41,42.4123,0.061,0.0023,32,0.5845,35,57,27,0.0015,45,0.0069,0.0009
SAT_Competition2007/random/LargeSize/5SAT/v600/unif-k5-r20-v600-c12000-S1556473581-06.cnf,1,34.0797,0.0083,0.0083,0.0083,28.0362,0.0083,115,127,115,105,115.132,0.0243,115.258,104,126,0.0058,0.4945,600,600,88,93.2973,0.074,0.0023,73,0.6248,81,112,59,0.0015,100,0.0109,0.0016
SAT_Competition2011/SAT11/random/large/unif-k7-r85-v250-c21250-S317257086-003-UNKNOWN.cnf,1,21.7953,0.028,0.028,0.028,22.0776,0.028,42,49,41,35,41.6614,0.0117,41.2177,35,48,0.0246,0.6192,250,250,198,228.8947,0.1279,0.0001,164,0.7054,179,251,135,0.0001,231,0.0313,0.0017
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v550-c2343-S943066845-088.UNKNOWN.cnf,1,24.0121,0.0056,0.0056,0.0074,19.2121,0.0056,118,129,118,108,118.42,0.011,118.127,108,128,0.0021,0.3076,550,539,3843,3869.1429,0.0703,0.0704,3779,0.5231,3793,4039,3779,0.0401,3951,0.0125,0.0027
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/460/unif-k3-r4.25-v460-c1955-S321371087-018.cnf,1,13.1467,0.0068,0.0068,0.0089,11.0115,0.0067,100,109,100,91,99.778,0.0134,99.8806,90,110,0.0021,0.3299,460,448,3864,3886.75,0.075,0.0827,3784,0.5718,3801,4138,3784,0.0498,3952,0.0159,0.0033
SAT_Competition2011/SAT11/random/large/unif-k7-r85-v250-c21250-S655589261-059-UNKNOWN.cnf,1,21.7645,0.028,0.028,0.028,22.3873,0.028,41,48,41,35,41.4119,0.0117,41.0161,35,48,0.0249,0.621,250,250,215,243.6563,0.1248,0.0001,173,0.7211,192,271,138,0.0001,249,0.0307,0.0018
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/540/unif-k3-r4.25-v540-c2295-S1137823545-077.cnf,1,19.1984,0.0057,0.0057,0.0095,15.3372,0.0057,117,127,116,106,116.618,0.0113,116.392,107,127,0.0022,0.3143,540,529,3891,3871.5,0.0702,0.079,3757,0.5556,3795,3998,3757,0.0485,3964,0.0153,0.0029
SAT_Competition2007/random/2+p/p0.9/v1170/unif2p-p0.9-v1170-c4235-S622482268-08-UNKNOWN.cnf,1,34.7205,0.0027,0.0027,0.0045,26.6429,0.0018,238,253,239,224,237.967,0.0053,238.521,223,253,0.0005,0.2662,1170,1099,963,1229.6,0.0478,0.1072,810,0.4882,892,2792,758,0.0598,1355,0.007,0.0014
SAT_Competition2011/SAT11/random/large/unif-k3-r4.2-v15000-c63000-S38529837-091-UNKNOWN.cnf,1,1004.33,0.0002,0.0002,0.0004,264,0.0002,3187,3255,3189,0,3198.19,0.0004,2841.11,3126,3244,0,0.2271,15000,14668,10,10.2255,0.3754,0.0802,7,0.2763,8,15,5,0.0474,12,0.0005,0.0001
SAT_Competition2007/random/2+p/p0.8/v1665/unif2p-p0.8-v1665-c5178-S1363528912-04-SAT.cnf,1,33.5139,0.002,0.002,0.0055,26.9339,0.0014,311,328,311,295,311.154,0.004,311.145,296,328,0.0002,0.2483,1665,1452,1689,1720.8462,0.0427,0.1386,1331,0.4799,1391,2188,1188,0.0824,1994,0.0055,0.001
SAT_Competition2009/RANDOM/MEDIUM/3SAT/UNKNOWN/560/unif-k3-r4.25-v560-c2380-S688769362-007.cnf,1,19.7035,0.0056,0.0056,0.0092,16.1215,0.0055,119,130,120,109,119.422,0.0112,119.573,109,130,0.0021,0.3121,560,542,3843,3840.625,0.07,0.0734,3686,0.5584,3800,3948,3686,0.0442,3944,0.0127,0.0027
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/380/unif-k3-r4.25-v380-c1615-S1036996799-006.cnf,1,12.3751,0.0082,0.0082,0.0136,10.0821,0.0081,82,91,82,74,82.6059,0.0162,82.5433,74,91,0.0037,0.3415,380,369,3960,3943.625,0.0818,0.0778,3865,0.6262,3886,4057,3865,0.0471,4027,0.0156,0.0041
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/380/unif-k3-r4.25-v380-c1615-S1804335510-002.cnf,1,12.837,0.0081,0.0081,0.0134,10.7822,0.008,83,92,83,75,83.2452,0.0158,83.0862,75,92,0.0019,0.3339,380,373,3937,3954.125,0.0822,0.0827,3789,0.5691,3878,4180,3789,0.0446,4115,0.0181,0.0039
SAT_Competition2009/RANDOM/LARGE/5SAT/UNKNOWN/1100/unif-k5-r20-v1100-c22000-S1388268034-092.cnf,1,61.2559,0.0045,0.0045,0.0045,49.3402,0.0045,210,225,210,195,210.352,0.0152,210.691,196,226,0.0031,0.4724,1100,1100,36,38.1846,0.0569,0.0023,28,0.5725,32,50,23,0.0015,42,0.006,0.0008
SAT_Competition2007/random/LargeSize/7SAT/v160/unif-k7-r85-v160-c13600-S187076430-06.cnf,1,14.9294,0.0437,0.0437,0.0437,15.0191,0.0437,26,32,26,21,26.5309,0.0117,26.4366,21,32,0.0393,0.6389,160,160,4251,4187.75,0.1523,0.0001,4032,0.7369,4080,4388,4032,0.0001,4388,0.049,0.0027
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/65/unif-k7-r89-v65-c5785-S1223878722-065.cnf,1,8.4612,0.1077,0.1077,0.1077,7.9626,0.1077,11,14,11,8,11.3157,0.0111,11.271,8,14,0.0978,0.6866,65,65,4442,4470.6667,0.2149,0.0001,4417,0.7638,4432,4590,4417,0,4506,0.1184,0.0068
SAT_Competition2007/random/OnTreshold/5SAT/v130/unif-k5-r21.3-v130-c2769-S116991008-16.SAT.shuffled.cnf,1,10.7459,0.0385,0.0385,0.0385,9.8506,0.0385,26,31,26,21,25.9668,0.045,25.8344,21,31,0.0267,0.5494,130,130,4187,4221.625,0.1508,0.0015,4116,0.6946,4171,4437,4116,0.001,4353,0.0466,0.0077
SAT_Competition2009/RANDOM/MEDIUM/3SAT/SATISFIABLE/380/unif-k3-r4.25-v380-c1615-S326477539-068.cnf,1,12.6361,0.0081,0.0081,0.0107,10.5131,0.008,83,92,83,74,82.7771,0.0158,82.7028,74,91,0.0031,0.3391,380,374,0,0,0.0812,0.0806,0,0.6139,0,0,0,0.0477,0,0.0206,0.0038
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/8000/unif-k3-r4.2-v8000-c33600-S195213520-027.cnf,1,277,0.0004,0.0004,0.0006,121.789,0.0004,1712,1738,1710,1659,1711.66,0.0008,1652.1,1688,1747,0.0001,0.2447,8000,7809,23,24.9076,0.1865,0.0806,16,0.3198,19,34,12,0.0477,30,0.001,0.0002
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S1771223975-021.cnf,1,9.1162,0.0455,0.0455,0.0455,8.1174,0.0455,22,27,22,18,22.1211,0.0455,22.1134,18,27,0.0324,0.5609,110,110,4227,4262.75,0.1612,0.0015,4139,0.7256,4214,4421,4139,0.001,4391,0.0576,0.009
SAT_Competition2011/SAT11/random/large/unif-k3-r4.2-v10000-c42000-S677627694-051-UNKNOWN.cnf,1,253.6,0.0003,0.0003,0.0005,167.269,0.0003,2122.5,2163,2123.5,2074,2126.19,0.0006,2123.6,2084,2152,0,0.2398,10000,9738,17,17.6359,0.0124,0.0805,11,0.3213,14,26,8,0.0482,21,0.0008,0.0002
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/6000/unif-k3-r4.2-v6000-c25200-S762724712-048.cnf,1,158.736,0.0005,0.0005,0.0009,99.4483,0.0005,1275.5,1305,1265,1238,1275.76,0.0011,1269,1242,1296,0.0001,0.247,6000,5839,32,33.7514,0.0187,0.0805,24,0.3436,27,45,18,0.0478,40,0.0013,0.0003
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v650-c2769-S466707249-079.SATISFIABLE.cnf,1,22.002,0.0048,0.0048,0.0079,17.4839,0.0047,140,152,140,129,140.279,0.0095,140.311,129,152,0.0015,0.3086,650,635,3760,3774.375,0.0629,0.0777,3666,0.5384,3735,3947,3666,0.0465,3835,0.0109,0.0023
