@RELATION 'FEATURE_VALUES-SAT11-RANDOM-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE cl_size_coeff_variation NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE saps_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE gsat_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC

@DATA
SAT11/random/medium/unif-k7-r89-v80-c7120-S1801179747-047.SATISFIABLE.cnf,1,7120,0.0875,7120,10,28.3909,9.5465,28.3985,28.4405,28.8393,28.8393,4412.8,9.6988,0.0111,27.7896,28.5321,80,0.0111,4370,4315,4315,4372,0.007,0.0055,4525,80,13.6385,14,4525,17,0.0875,0.0875,0.0875,10,13.6877,17,14,0.0938,27.7896,0.3003,4482,0.1965,0.0111,0.012,0.202,0.6726,0.0112,0.0802,0.7541,0.2495,2,0.0177,1.7572,0.254,0.0944,0.0001,0,0.0001,0.0001,0,0.0035,0.0919,0.0001,0.4162,2.0586
SAT11/random/medium/unif-k7-r89-v70-c6230-S635440951-015.UNKNOWN.cnf,1,6230,0.1,6230,9,25.3567,8.4824,25.6407,25.5158,26.5947,26.5947,4435.8,8.6501,0.0111,24.9568,25.7795,70,0.0111,4380,4353,4353,4403,0.009,0.0063,4552,70,12.0849,12,4552,15,0.1,0.1,0.1,9,12.0651,15,12,0.1077,24.9568,0.3187,4491,0.2086,0.0111,0.0213,0.2082,0.6772,0.0112,0.0926,0.7619,0.2651,2,0.0167,1.856,0.2746,0.1012,0.0001,0,0.0001,0.0001,0,0.0035,0.1036,0.0001,0.4084,2.1405
SAT11/random/medium/unif-k3-r4.26-v600-c2556-S379672572-039.SATISFIABLE.cnf,1,2545,0.0051,2556,120,30.0397,16.0006,32.868,31.3884,39.9817,39.9817,3759,19.9066,0.0232,29.6514,35.6801,600,0.0035,3669,3611,3611,3724,0.0063,0.0025,3995,589,130.73,131,3995,142,0.0051,0.0051,0.0068,120,130.768,141,131,0.0118,29.6514,0.2091,3882,0.07,0.0101,0.1051,0.0632,0.3106,0.2314,0.002,0.5448,0.2743,4.0068,0.0332,0.3094,0.2679,0.0325,0.3386,0.0268,0.09,0.1737,0.0449,0.0004,0.035,0.0777,0.395,3.3169
SAT11/random/large/unif-k3-r4.2-v20000-c84000-S357264423-067-UNKNOWN.cnf,1,83418,0.0002,84000,0,58.9474,397.875,71.4595,68.3636,94.6,120,9.101,1190,0.0011,50.7,84.3333,20000,0,6,4,2,8,0.0003,0.0001,15,19502,4281.38,4267.5,23,4341,0.0002,0.0002,0.0003,4215,3382,4227,4222,0.0005,32.5385,0.79,11,0.0114,0.0003,0.233,0.559,0.2374,0.2338,0,0.2805,1.1241,5.2613,0.4807,0.1166,0.1307,0.3193,0.6433,0.0273,0.0918,0.1758,0.0464,0,0.007,0.0786,0.4046,3.3593
SAT11/random/large/unif-k7-r85-v150-c12750-S1737989193-079-UNKNOWN.cnf,1,12750,0.0467,12750,20,46.3281,14.1247,46.4415,46.9429,47.2796,47.2796,4188.5,14.056,0.0117,45.2154,47.2796,150,0.0117,4105,4057,4057,4221,0.0042,0.003,4371,150,24.8028,25,4371,30,0.0467,0.0467,0.0467,20,25.0552,30,25,0.0521,45.2154,0.257,4371,0.1543,0.0117,0.0169,0.1511,0.6391,0.0118,0.0418,0.7367,0.2196,2,0.0289,1.4105,0.2271,0.0677,0.0002,0.0001,0.0001,0.0002,0.0001,0.0016,0.0701,0.0001,0.4145,2.1109
SAT11/random/medium/unif-k5-r21.3-v100-c2130-S1189700536-035.SATISFIABLE.cnf,1,2130,0.05,2130,16,22.8507,7.8455,23.4234,23.6806,24.3948,24.3948,4302.5714,8.8106,0.0465,22.7653,23.708,100,0.0441,4261,4259,4259,4278,0.0164,0.0089,4435,100,20.0829,20,4435,24,0.05,0.05,0.05,16,20.117,25,20,0.0615,22.7653,0.2579,4325,0.1671,0.0459,0.0242,0.1688,0.5661,0.0469,0.039,0.7254,0.3046,2.7374,0.0134,1.1841,0.3113,0.0808,0.0061,0.0006,0.0018,0.0034,0.001,0.0052,0.0821,0.0015,0.4267,2.9245
SAT11/random/large/unif-k3-r4.2-v35000-c147000-S625465881-078-UNKNOWN.cnf,1,146021,0.0001,147000,0,66,826.5,90.3884,82.3333,139,200,4.4891,2313.5,0.0005,56.8571,105.8571,35000,0,3,2,1,4,0.0002,0,8,34143,7454.75,7447.5,14,7465,0.0001,0.0001,0.0002,7421,3784,0,3784,0.0002,40.3333,0.8189,6,0.005,0.0002,0.3691,1.4142,0.224,0.2338,0,0.2486,0.8121,5.8837,0.5627,0.1826,0.0599,0.2742,0.6867,0.028,0.0924,0.1753,0.0471,0,0.0037,0.0793,0.1115,3.3616
SAT11/random/medium/unif-k5-r21.3-v100-c2130-S1980330668-030.SATISFIABLE.cnf,1,2130,0.05,2130,16,22.8297,7.2239,23.6895,23.4317,25.7534,25.7534,4302.2857,8.0772,0.0465,22.8274,24.0244,100,0.0441,4256,4253,4253,4276,0.015,0.0092,4408,100,20.2117,20,4408,25,0.05,0.05,0.05,16,20.2585,25,20,0.0601,22.8274,0.2615,4350,0.1688,0.0459,0.0402,0.1668,0.5687,0.0469,0.0371,0.7115,0.3246,2.7172,0.0126,1.1978,0.3428,0.0806,0.0067,0.0008,0.0019,0.004,0.0011,0.0038,0.0796,0.0016,0.4308,2.9888
SAT11/random/large/unif-k3-r4.2-v40000-c168000-S64788608-008-UNKNOWN.cnf,1,166897,0.0001,168000,8539,64,1612.5,91.8767,91.5,140,202,4.3256,1206,0.0005,53.2,109.6667,40000,0,3,1,1,4,0.0001,0,7,39032,8513.5,8515.5,12,8534,0.0001,0.0001,0.0002,8474,8539,8539,8539,0.0002,26.3333,0,6,0.004,0.0002,0.375,0,0.2177,0.2339,0,0.2587,0,5.9444,0.5444,0.5718,0.8052,0,0.755,0.0282,0.0934,0.1783,0.0475,0,0.073,0.0797,1.3145,3.3699
SAT11/random/large/unif-k3-r4.2-v30000-c126000-S913491256-073-UNKNOWN.cnf,1,125231,0.0001,126000,6300,67.0769,731.8,88.4753,83.6,134,233,5.2667,919,0.0006,53.25,99.5,30000,0,3,2,1,5,0.0002,0.0001,9,29270,6360.4,6371,14,6396,0.0001,0.0001,0.0002,6236,6320,6300,6320,0.0003,42.875,0.4222,7,0.0125,0.0002,0.3737,0.0045,0.2194,0.2337,0,0.2641,0.2416,5.7321,0.5354,0.2068,0.2422,0.0158,0.9614,0.0281,0.0928,0.1757,0.0474,0,0.0159,0.0792,0.6466,3.3691
SAT11/random/large/unif-k5-r20-v1500-c30000-S303265982-092-UNKNOWN.cnf,1,30000,0.0033,30000,269,60.7097,61.4,66.4209,66.0435,76.6875,90.0833,26.0924,79.6537,0.0146,55.65,71.85,1500,0.0083,20,18,15,24,0.0011,0.0006,36,1500,287.608,287,48,304,0.0033,0.0033,0.0033,271,285.966,306,287,0.0043,46.16,0.2651,31,0.049,0.0117,0.1277,0.0876,0.4692,0.05,0.0023,0.5597,0.2554,3,0.2859,0.2714,0.1403,0.0596,0.0138,0.001,0.0027,0.0049,0.0015,0.0002,0.0207,0.0023,0.3771,3.0394
SAT11/random/medium/unif-k5-r21.3-v150-c3195-S31505198-038.UNKNOWN.cnf,1,3195,0.0333,3195,24,30.8469,11.3072,31.7884,31.5157,33.0958,33.0958,4163.2857,12.501,0.0463,30.3354,32.9055,150,0.041,4090,4078,4078,4124,0.0097,0.0059,4320,150,29.7067,30,4320,35,0.0333,0.0333,0.0333,24,29.7083,35,30,0.0423,30.3354,0.2442,4273,0.141,0.044,0.0305,0.1414,0.5418,0.0469,0.0244,0.704,0.2553,3,0.0212,1.0053,0.2638,0.0668,0.0084,0.0006,0.0017,0.0031,0.0009,0.0028,0.0674,0.0015,0.4343,2.8497
SAT11/random/medium/unif-k5-r21.3-v150-c3195-S375894551-007.UNKNOWN.cnf,1,3195,0.0333,3195,24,31.6269,11.9093,32.2049,31.972,33.7334,33.7334,4176.5714,12.9832,0.0463,30.955,33.1368,150,0.041,4061,4038,4038,4182,0.0103,0.0066,4363,150,29.4587,29,4363,35,0.0333,0.0333,0.0333,24,29.6066,35,29,0.0423,30.955,0.2434,4312,0.1418,0.0441,0.0271,0.1416,0.5405,0.0469,0.0241,0.6902,0.2593,3,0.0276,1.0089,0.2415,0.0687,0.007,0.0007,0.0016,0.0028,0.001,0.0038,0.0661,0.0014,0.4261,2.7698
SAT11/random/medium/unif-k7-r89-v80-c7120-S1623694027-006.SATISFIABLE.cnf,1,7120,0.0875,7120,10,28.4267,9.2549,28.5137,28.5106,29.1253,29.1253,4408.6,9.4743,0.0111,27.9901,28.5159,80,0.0111,4357,4327,4327,4358,0.0084,0.006,4549,80,13.8743,14,4549,17,0.0875,0.0875,0.0875,11,13.7394,17,14,0.0958,27.9901,0.2977,4452,0.199,0.0111,0.0127,0.2003,0.6697,0.0112,0.0801,0.7574,0.2589,2,0.0186,1.7419,0.2535,0.0931,0.0001,0,0.0001,0.0001,0.0001,0.0041,0.0943,0.0001,0.4213,2.116
SAT11/random/medium/unif-k7-r89-v80-c7120-S1901567697-013.UNKNOWN.cnf,1,7120,0.0875,7120,10,28.2044,9.6484,28.42,28.3577,29.1588,29.1588,4418,9.8159,0.0111,27.8808,28.4983,80,0.0111,4344,4315,4315,4413,0.0073,0.0054,4514,80,13.788,14,4514,17,0.0875,0.0875,0.0875,10,13.7505,17,14,0.0973,27.8808,0.3024,4504,0.199,0.0111,0.0149,0.2,0.6707,0.0112,0.0801,0.7522,0.2534,2,0.0183,1.758,0.2486,0.0948,0.0001,0,0.0001,0.0001,0,0.0038,0.0934,0.0001,0.4224,1.9602
SAT11/random/medium/unif-k3-r4.26-v400-c1704-S895193371-061.UNKNOWN.cnf,1,1693,0.0077,1704,78,23.1441,12.1894,23.4231,23.4128,23.8866,23.8866,3928.5714,14.7744,0.0366,22.463,23.8661,400,0.0059,3892,3834,3834,3922,0.0083,0.0039,4022,389,86.3066,86,4022,95,0.0078,0.0078,0.0129,78,86.5656,95,86,0.0183,22.463,0.2068,3966,0.0802,0.0154,0.02,0.0804,0.3267,0.2298,0.003,0.6303,0.2984,4,0.0142,0.3739,0.2723,0.0405,0.3605,0.0228,0.0851,0.1617,0.042,0.0006,0.0396,0.074,0.383,3.258
SAT11/random/medium/unif-k3-r4.26-v550-c2343-S874954918-011.SATISFIABLE.cnf,1,2331,0.0056,2343,109,29.3663,14.8334,31.2851,30.0989,38.1678,38.1678,3823.7143,18.4348,0.021,27.8871,32.9217,550,0.0043,3776,3726,3726,3791,0.0064,0.0028,3984,537,119.308,119,3984,130,0.0056,0.0056,0.0112,109,118.939,129,119,0.0107,27.8871,0.2117,3910,0.067,0.0112,0.1002,0.0706,0.3191,0.2304,0.0021,0.5563,0.3,4,0.0218,0.3221,0.2438,0.0511,0.3785,0.0245,0.0887,0.1708,0.0444,0.0004,0.0324,0.0745,0.3584,3.3478
SAT11/random/large/unif-k3-r4.2-v2500-c10500-S924370159-018-UNKNOWN.cnf,1,10427,0.0012,10500,505,32.2734,52.6684,34.2843,34.3874,36.9828,43.51,116.8571,78.3389,0.0072,30.9029,35.9032,2500,0.0008,97,90,74,107,0.0017,0.0006,140,2433,529.8,529,322,551,0.0013,0.0013,0.0021,512,527.222,547,528,0.0035,29.3115,0.211,118,0.0298,0.0025,0.0748,0.0317,0.2639,0.2333,0.0004,0.4112,0.1684,4.9231,0.3352,0.1327,0.1615,0.0177,0.4806,0.0265,0.0915,0.1742,0.0464,0,0.0159,0.0784,0.2952,3.3491
SAT11/random/medium/unif-k7-r89-v90-c8010-S2014736708-037.SATISFIABLE.cnf,1,8010,0.0778,8010,12,31.0778,10.5066,31.249,31.0874,32.2223,32.2223,4372.2,10.591,0.0111,30.556,31.3013,90,0.0111,4280,4278,4278,4293,0.006,0.0044,4556,90,15.3607,15,4556,19,0.0778,0.0778,0.0778,12,15.3491,19,15,0.0876,30.556,0.2904,4454,0.1847,0.0111,0.0174,0.1856,0.6631,0.0112,0.0702,0.7522,0.2424,2,0.0259,1.7221,0.2406,0.0874,0.0002,0,0.0001,0.0001,0.0001,0.0029,0.0883,0.0001,0.4155,2.1281
SAT11/random/medium/unif-k7-r89-v80-c7120-S199880667-010.UNKNOWN.cnf,1,7120,0.0875,7120,10,28.2257,9.7029,28.5038,28.4435,29.106,29.106,4411.8,9.9186,0.0111,28.0041,28.7396,80,0.0111,4357,4302,4302,4408,0.0076,0.0051,4530,80,13.7092,14,4530,17,0.0875,0.0875,0.0875,10,13.6807,17,14,0.0934,28.0041,0.3064,4462,0.1986,0.0111,0.0136,0.1969,0.6703,0.0112,0.0824,0.7508,0.2416,2,0.018,1.7549,0.244,0.0937,0.0001,0,0.0001,0.0001,0,0.0035,0.0937,0.0001,0.4115,1.9547
SAT11/random/medium/unif-k7-r89-v60-c5340-S239039906-021.SATISFIABLE.cnf,1,5340,0.1167,5340,8,22.5787,7.4326,22.6802,22.5915,23.0636,23.0636,4487.6,7.8041,0.011,22.5249,22.6422,60,0.011,4439,4436,4436,4458,0.0101,0.0074,4588,60,10.4649,10,4588,13,0.1167,0.1167,0.1167,8,10.4885,13,10,0.1255,22.5249,0.3226,4517,0.2163,0.011,0.0086,0.2175,0.6906,0.0112,0.1064,0.7683,0.2766,2,0.0129,1.8856,0.2786,0.1055,0.0001,0,0.0001,0.0001,0,0.0047,0.1067,0.0001,0.4246,2.1942
