@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 5'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE d_ratio_int_vars NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE d_ratio_bool_vars NUMERIC

@DATA
normalized-aim-100-1-6-4.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0
normalized-aim-100-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667
normalized-4-fullins-4-6.xml.mzn_AND_NODATA,1,1,1,9.637681,0.103759,0
normalized-2-fullins-5-6.xml.mzn_AND_NODATA,1,1,1,14.320423,0.06983,0
normalized-3-insertions-5-4.xml.mzn_AND_NODATA,1,1,1,6.895448,0.145023,0
normalized-3-insertions-5-5.xml.mzn_AND_NODATA,1,1,1,6.895448,0.145023,0
normalized-aim-100-2-0-4.xml.mzn_AND_NODATA,1,1,1,1.5,0.666667,0
normalized-aim-100-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667
normalized-aim-100-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,0.5,0.333333,1.333333,0.75,0.666667
normalized-aim-100-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,0.502513,0.333333,1.326667,0.753769,0.666667
normalized-4-insertions-4-3.xml.mzn_AND_NODATA,1,1,1,3.778947,0.264624,0
normalized-aim-100-2-0-3.xml.mzn_AND_NODATA,1,1,1,1.5,0.666667,0
normalized-aim-100-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667
normalized-25s-smv.xml.mzn_AND_NODATA,1,1,1,1.868099,0.535303,0
normalized-44s-smv.xml.mzn_AND_NODATA,1,1,1,1.278788,0.781991,0
normalized-aim-100-3-4-2.xml.mzn_AND_NODATA,1,1,1,2.2,0.454545,0
normalized-aim-100-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667
normalized-aim-100-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667
normalized-aim-100-2-0-1.xml.mzn_AND_NODATA,1,1,1,1.5,0.666667,0
normalized-aim-200-1-6-2.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0
normalized-aim-200-1-6-3.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0
normalized-4-fullins-3-6.xml.mzn_AND_NODATA,1,1,1,4.745614,0.210721,0
normalized-aim-200-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,0.556328,0.333333,1.198333,0.834492,0.666667
normalized-3-insertions-5-3.xml.mzn_AND_NODATA,1,1,1,6.895448,0.145023,0
normalized-2-insertions-5-5.xml.mzn_AND_NODATA,1,1,1,6.592965,0.151677,0
normalized-aim-200-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667
normalized-4-fullins-4-7.xml.mzn_AND_NODATA,1,1,1,9.637681,0.103759,0
normalized-aim-100-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,0.501253,0.333333,1.33,0.75188,0.666667
normalized-aim-200-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667
normalized-aim-200-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667
normalized-aim-200-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,0.55788,0.333333,1.195,0.83682,0.666667
normalized-aim-200-2-0-sat-2_ext.xml.mzn_AND_NODATA,1,0.500626,0.333333,1.331667,0.750939,0.666667
normalized-aim-200-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667
normalized-aim-200-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,0.500626,0.333333,1.331667,0.750939,0.666667
normalized-aim-200-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,0.500626,0.333333,1.331667,0.750939,0.666667
normalized-4-insertions-3-3.xml.mzn_AND_NODATA,1,1,1,1.974684,0.50641,0
normalized-5-fullins-4-8.xml.mzn_AND_NODATA,1,1,1,10.502304,0.095217,0
normalized-aim-100-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,0.502513,0.333333,1.326667,0.753769,0.666667
normalized-aim-100-1-6-2.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0
normalized-aim-100-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667
normalized-2-fullins-5-5.xml.mzn_AND_NODATA,1,1,1,14.320423,0.06983,0
normalized-aim-200-3-4-sat-3_ext.xml.mzn_AND_NODATA,1,0.370714,0.333333,1.798333,0.55607,0.666667
normalized-aim-50-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.568182,0.333333,1.173333,0.852273,0.666667
normalized-aim-100-3-4-3.xml.mzn_AND_NODATA,1,1,1,2.2,0.454545,0
normalized-aim-200-2-0-1.xml.mzn_AND_NODATA,1,1,1,1.5,0.666667,0
normalized-43s-smv.xml.mzn_AND_NODATA,1,1,1,1.966621,0.508486,0
normalized-aim-200-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667
normalized-aim-100-1-6-3.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0
normalized-aim-100-1-6-1.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0
normalized-aim-200-1-6-sat-2_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667
normalized-aim-200-6-0-sat-4_ext.xml.mzn_AND_NODATA,1,0.252845,0.333333,2.636667,0.379267,0.666667
normalized-3-fullins-5-7.xml.mzn_AND_NODATA,1,1,1,16.626108,0.060146,0
normalized-aim-200-2-0-2.xml.mzn_AND_NODATA,1,1,1,1.5,0.666667,0
normalized-3-fullins-4-6.xml.mzn_AND_NODATA,1,1,1,8.701235,0.114926,0
normalized-aim-50-2-0-3.xml.mzn_AND_NODATA,1,1,1,1.5,0.666667,0
normalized-aim-200-2-0-4.xml.mzn_AND_NODATA,1,1,1,1.5,0.666667,0
normalized-aim-100-2-0-sat-4_ext.xml.mzn_AND_NODATA,1,0.501253,0.333333,1.33,0.75188,0.666667
normalized-aim-200-3-4-sat-1_ext.xml.mzn_AND_NODATA,1,0.370714,0.333333,1.798333,0.55607,0.666667
normalized-aim-100-2-0-2.xml.mzn_AND_NODATA,1,1,1,1.5,0.666667,0
normalized-army8-9ls.xml.mzn_AND_NODATA,1,1,1,1.509091,0.662651,0
normalized-aim-100-2-0-unsat-4_ext.xml.mzn_AND_NODATA,1,0.5,0.333333,1.333333,0.75,0.666667
normalized-aim-200-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,0.500626,0.333333,1.331667,0.750939,0.666667
normalized-5-fullins-4-7.xml.mzn_AND_NODATA,1,1,1,10.502304,0.095217,0
normalized-army13-24bt.xml.mzn_AND_NODATA,1,1,1,2.214286,0.451613,0
normalized-aim-100-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0.560224,0.333333,1.19,0.840336,0.666667
normalized-aim-200-3-4-3.xml.mzn_AND_NODATA,1,1,1,2.2,0.454545,0
normalized-anna-10.xml.mzn_AND_NODATA,1,1,1,3.572464,0.279919,0
normalized-aim-200-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,0.501882,0.333333,1.328333,0.752823,0.666667
normalized-army12-21bt.xml.mzn_AND_NODATA,1,1,1,2.200935,0.454352,0
normalized-army10-14ls.xml.mzn_AND_NODATA,1,1,1,1.506329,0.663866,0
normalized-army12-21ls.xml.mzn_AND_NODATA,1,1,1,1.504673,0.664596,0
normalized-aim-200-6-0-4.xml.mzn_AND_NODATA,1,1,1,3.4625,0.288809,0
normalized-aim-200-6-0-3.xml.mzn_AND_NODATA,1,1,1,3.48,0.287356,0
normalized-aim-200-3-4-sat-4_ext.xml.mzn_AND_NODATA,1,0.371402,0.333333,1.795,0.557103,0.666667
normalized-army10-14bt.xml.mzn_AND_NODATA,1,1,1,2.170886,0.460641,0
normalized-2-fullins-4-5.xml.mzn_AND_NODATA,1,1,1,7.646226,0.130783,0
normalized-aim-200-2-0-sat-4_ext.xml.mzn_AND_NODATA,1,0.500626,0.333333,1.331667,0.750939,0.666667
normalized-aim-200-6-0-1.xml.mzn_AND_NODATA,1,1,1,3.4725,0.287977,0
normalized-aim-50-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667
normalized-aim-200-6-0-sat-2_ext.xml.mzn_AND_NODATA,1,0.251731,0.333333,2.648333,0.377596,0.666667
normalized-aim-100-3-4-1.xml.mzn_AND_NODATA,1,1,1,2.2,0.454545,0
normalized-aim-100-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,0.5,0.333333,1.333333,0.75,0.666667
normalized-aim-200-3-4-1.xml.mzn_AND_NODATA,1,1,1,2.1975,0.455063,0
normalized-aim-200-2-0-unsat-4_ext.xml.mzn_AND_NODATA,1,0.5,0.333333,1.333333,0.75,0.666667
normalized-aim-200-3-4-4.xml.mzn_AND_NODATA,1,1,1,2.2,0.454545,0
normalized-aim-50-1-6-2.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0
normalized-aim-50-1-6-1.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0
normalized-aim-50-1-6-4.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0
normalized-anna-9.xml.mzn_AND_NODATA,1,1,1,3.572464,0.279919,0
normalized-army9-12ls.xml.mzn_AND_NODATA,1,1,1,1.507519,0.663342,0
normalized-aim-200-6-0-2.xml.mzn_AND_NODATA,1,1,1,3.49,0.286533,0
normalized-bibd-6-50-25-3-10_glb.xml.mzn_AND_NODATA,1,1,1,0.781905,1.278928,0
normalized-aim-200-1-6-4.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0
normalized-bibd-6-60-30-3-12_glb.xml.mzn_AND_NODATA,1,1,1,0.778571,1.284404,0
normalized-ash608GPIA-4.xml.mzn_AND_NODATA,1,1,1,6.450658,0.155023,0
normalized-army9-12bt.xml.mzn_AND_NODATA,1,1,1,2.154135,0.464223,0
normalized-22s-smv.xml.mzn_AND_NODATA,1,1,1,2.203509,0.453822,0
normalized-aim-200-2-0-3.xml.mzn_AND_NODATA,1,1,1,1.5,0.666667,0
normalized-aim-100-2-0-sat-2_ext.xml.mzn_AND_NODATA,1,0.5,0.333333,1.333333,0.75,0.666667
normalized-bibd-7-42-18-3-6_glb.xml.mzn_AND_NODATA,1,1,1,0.809524,1.235294,0
normalized-aim-100-3-4-4.xml.mzn_AND_NODATA,1,1,1,2.2,0.454545,0
normalized-5-fullins-4-6.xml.mzn_AND_NODATA,1,1,1,10.502304,0.095217,0
normalized-army13-24ls.xml.mzn_AND_NODATA,1,1,1,1.504082,0.664858,0
normalized-aim-200-1-6-1.xml.mzn_AND_NODATA,1,1,1,1.3,0.769231,0
normalized-bibd-6-40-20-3-8_glb.xml.mzn_AND_NODATA,1,1,1,0.786905,1.270802,0
normalized-aim-200-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,0.500626,0.333333,1.331667,0.750939,0.666667
normalized-bibd-6-70-35-3-14_glb.xml.mzn_AND_NODATA,1,1,1,0.77619,1.288344,0
normalized-aim-200-6-0-sat-3_ext.xml.mzn_AND_NODATA,1,0.252685,0.333333,2.638333,0.379027,0.666667
normalized-aim-50-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,0.5,0.333333,1.333333,0.75,0.666667
normalized-bibd-7-35-15-3-5_glb.xml.mzn_AND_NODATA,1,1,1,0.814286,1.22807,0
normalized-bibd-9-36-12-3-3_glb.xml.mzn_AND_NODATA,1,1,1,0.85,1.176471,0
normalized-bibd-7-63-27-3-9_glb.xml.mzn_AND_NODATA,1,1,1,0.801587,1.247525,0
normalized-bibd-8-42-21-4-9_glb.xml.mzn_AND_NODATA,1,1,1,0.829365,1.205742,0
normalized-bibd-16-16-6-6-2_glb.xml.mzn_AND_NODATA,1,1,1,0.952206,1.050193,0
normalized-bibd-6-100-50-3-20_glb.xml.mzn_AND_NODATA,1,1,1,0.771905,1.295497,0
normalized-ash958GPIA-4.xml.mzn_AND_NODATA,1,1,1,6.52714,0.153206,0
normalized-army11-17bt.xml.mzn_AND_NODATA,1,1,1,2.186486,0.457355,0
normalized-bf-2670-001.xml.mzn_AND_NODATA,1,1,1,1.48995,0.671164,0
normalized-anna-8.xml.mzn_AND_NODATA,1,1,1,3.572464,0.279919,0
normalized-bibd-13-26-6-3-1_glb.xml.mzn_AND_NODATA,1,1,1,0.906593,1.10303,0
normalized-bibd-7-77-33-3-11_glb.xml.mzn_AND_NODATA,1,1,1,0.798701,1.252033,0
normalized-bibd-7-28-12-3-4_glb.xml.mzn_AND_NODATA,1,1,1,0.821429,1.217391,0
normalized-aim-200-3-4-2.xml.mzn_AND_NODATA,1,1,1,2.2,0.454545,0
normalized-bibd-8-28-14-4-6_glb.xml.mzn_AND_NODATA,1,1,1,0.84127,1.188679,0
normalized-bibd-9-48-16-3-4_glb.xml.mzn_AND_NODATA,1,1,1,0.843056,1.186161,0
normalized-bibd-6-80-40-3-16_glb.xml.mzn_AND_NODATA,1,1,1,0.774405,1.291314,0
normalized-abb313GPIA-8.xml.mzn_AND_NODATA,1,1,1,34.268465,0.029181,0
normalized-bibd-11-22-10-5-4_glb.xml.mzn_AND_NODATA,1,1,1,0.893939,1.118644,0
normalized-3-fullins-5-5.xml.mzn_AND_NODATA,1,1,1,16.626108,0.060146,0
normalized-bibd-10-90-27-3-6_glb.xml.mzn_AND_NODATA,1,1,1,0.847475,1.179976,0
normalized-bibd-10-30-9-3-2_glb.xml.mzn_AND_NODATA,1,1,1,0.869697,1.149826,0
normalized-bibd-8-56-21-3-6_glb.xml.mzn_AND_NODATA,1,1,1,0.823413,1.214458,0
normalized-abb313GPIA-9.xml.mzn_AND_NODATA,1,1,1,34.268465,0.029181,0
normalized-bibd-6-90-45-3-18_glb.xml.mzn_AND_NODATA,1,1,1,0.773016,1.293634,0
normalized-bibd-16-24-9-6-3_glb.xml.mzn_AND_NODATA,1,1,1,0.931373,1.073684,0
normalized-bibd-7-98-42-3-14_glb.xml.mzn_AND_NODATA,1,1,1,0.795918,1.25641,0
normalized-aim-100-1-6-sat-2_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667
normalized-bqwh-15-106-14_glb.xml.mzn_AND_NODATA,1,0,1,1.245283,0.80303,0
normalized-bf-0432-007.xml.mzn_AND_NODATA,1,1,1,1.940385,0.515362,0
normalized-bibd-15-21-7-5-2_glb.xml.mzn_AND_NODATA,1,1,1,0.930952,1.074169,0
normalized-bibd-7-70-30-3-10_glb.xml.mzn_AND_NODATA,1,1,1,0.8,1.25,0
normalized-bqwh-15-106-83_ext.xml.mzn_AND_NODATA,1,0.227752,0.214141,3.450505,0.289813,0.785859
normalized-bibd-12-22-11-6-5_glb.xml.mzn_AND_NODATA,1,1,1,0.904429,1.10567,0
normalized-bibd-15-45-24-8-12_glb.xml.mzn_AND_NODATA,1,1,1,0.905556,1.104294,0
normalized-bf-1355-075.xml.mzn_AND_NODATA,1,1,1,1.597936,0.625807,0
normalized-bqwh-18-141-15_glb.xml.mzn_AND_NODATA,1,0,1,1.219858,0.819767,0
normalized-BlackHole-4-4-e-2_ext.xml.mzn_AND_NODATA,1,0.053478,0.117216,16.507326,0.060579,0.882784
normalized-bibd-8-70-35-4-15_glb.xml.mzn_AND_NODATA,1,1,1,0.819841,1.219748,0
normalized-aim-50-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0.555556,0.333333,1.2,0.833333,0.666667
normalized-BlackHole-4-4-e-9_ext.xml.mzn_AND_NODATA,1,0.053478,0.117216,16.507326,0.060579,0.882784
normalized-bibd-10-60-18-3-4_glb.xml.mzn_AND_NODATA,1,1,1,0.85303,1.172291,0
normalized-bqwh-18-141-23_glb.xml.mzn_AND_NODATA,1,0,1,1.234043,0.810345,0
normalized-bqwh-18-141-21_ext.xml.mzn_AND_NODATA,1,0.22486,0.212991,3.5,0.285714,0.787009
normalized-bqwh-18-141-14_ext.xml.mzn_AND_NODATA,1,0.224034,0.21267,3.514329,0.284549,0.78733
normalized-bqwh-18-141-22_ext.xml.mzn_AND_NODATA,1,0.212575,0.198872,3.768688,0.265344,0.801128
normalized-bibd-9-108-36-3-9_glb.xml.mzn_AND_NODATA,1,1,1,0.831481,1.202673,0
normalized-aim-200-3-4-sat-2_ext.xml.mzn_AND_NODATA,1,0.370714,0.333333,1.798333,0.55607,0.666667
normalized-bqwh-18-141-27_ext.xml.mzn_AND_NODATA,1,0.229819,0.212991,3.424471,0.292016,0.787009
normalized-bqwh-18-141-29_ext.xml.mzn_AND_NODATA,1,0.220008,0.206745,3.605572,0.277349,0.793255
normalized-BlackHole-4-4-e-3_ext.xml.mzn_AND_NODATA,1,0.053478,0.117216,16.507326,0.060579,0.882784
normalized-bqwh-18-141-14_glb.xml.mzn_AND_NODATA,1,0,1,1.234043,0.810345,0
normalized-4-fullins-5-8.xml.mzn_AND_NODATA,1,1,1,18.645683,0.053632,0
normalized-bqwh-18-141-23_ext.xml.mzn_AND_NODATA,1,0.213381,0.207353,3.714706,0.2692,0.792647
normalized-bqwh-18-141-19_glb.xml.mzn_AND_NODATA,1,0,1,1.198582,0.83432,0
normalized-bibd-9-72-24-3-6_glb.xml.mzn_AND_NODATA,1,1,1,0.836111,1.196013,0
normalized-bqwh-18-141-2_ext.xml.mzn_AND_NODATA,1,0.218256,0.207658,3.630339,0.275456,0.792342
normalized-bibd-12-44-11-3-2_glb.xml.mzn_AND_NODATA,1,1,1,0.881702,1.134171,0
normalized-4-fullins-5-5.xml.mzn_AND_NODATA,1,1,1,18.645683,0.053632,0
normalized-bibd-7-56-24-3-8_glb.xml.mzn_AND_NODATA,1,1,1,0.803571,1.244444,0
normalized-bqwh-18-141-22_glb.xml.mzn_AND_NODATA,1,0,1,1.248227,0.801136,0
normalized-BlackHole-4-4-e-6_ext.xml.mzn_AND_NODATA,1,0.053478,0.117216,16.507326,0.060579,0.882784
normalized-bqwh-18-141-17_ext.xml.mzn_AND_NODATA,1,0.23297,0.215596,3.366972,0.297003,0.784404
normalized-bibd-7-49-21-3-7_glb.xml.mzn_AND_NODATA,1,1,1,0.806122,1.240506,0
normalized-bibd-14-26-13-7-6_glb.xml.mzn_AND_NODATA,1,1,1,0.914652,1.093312,0
normalized-bqwh-18-141-57_ext.xml.mzn_AND_NODATA,1,0.234131,0.216923,3.344615,0.298988,0.783077
normalized-bqwh-18-141-52_ext.xml.mzn_AND_NODATA,1,0.221803,0.210448,3.559701,0.280922,0.789552
normalized-bqwh-18-141-32_ext.xml.mzn_AND_NODATA,1,0.220241,0.209821,3.587798,0.278723,0.790179
normalized-bibd-7-210-60-2-10_glb.xml.mzn_AND_NODATA,1,1,1,0.790476,1.26506,0
normalized-BlackHole-4-4-e-4_ext.xml.mzn_AND_NODATA,1,0.053478,0.117216,16.507326,0.060579,0.882784
normalized-bqwh-18-141-40_glb.xml.mzn_AND_NODATA,1,0,1,1.255319,0.79661,0
normalized-BlackHole-4-4-e-7_ext.xml.mzn_AND_NODATA,1,0.053478,0.117216,16.507326,0.060579,0.882784
normalized-bqwh-18-141-59_ext.xml.mzn_AND_NODATA,1,0.224714,0.209821,3.516369,0.284384,0.790179
normalized-bqwh-18-141-40_ext.xml.mzn_AND_NODATA,1,0.219424,0.204348,3.626087,0.275779,0.795652
normalized-bqwh-18-141-15_ext.xml.mzn_AND_NODATA,1,0.22684,0.21203,3.473684,0.287879,0.78797
normalized-bqwh-18-141-39_ext.xml.mzn_AND_NODATA,1,0.2247,0.21203,3.506767,0.285163,0.78797
normalized-bqwh-18-141-5_ext.xml.mzn_AND_NODATA,1,0.221535,0.207965,3.575221,0.279703,0.792035
normalized-bqwh-18-141-46_ext.xml.mzn_AND_NODATA,1,0.219718,0.20524,3.617176,0.276459,0.79476
normalized-bqwh-18-141-41_glb.xml.mzn_AND_NODATA,1,0,1,1.22695,0.815029,0
normalized-bibd-6-30-15-3-6_glb.xml.mzn_AND_NODATA,1,1,1,0.795238,1.257485,0
normalized-bqwh-18-141-10_ext.xml.mzn_AND_NODATA,1,0.224473,0.20951,3.521545,0.283966,0.79049
normalized-bqwh-18-141-71_glb.xml.mzn_AND_NODATA,1,0,1,1.219858,0.819767,0
normalized-bqwh-18-141-29_glb.xml.mzn_AND_NODATA,1,0,1,1.22695,0.815029,0
normalized-bqwh-18-141-73_glb.xml.mzn_AND_NODATA,1,0,1,1.234043,0.810345,0
normalized-bqwh-18-141-19_ext.xml.mzn_AND_NODATA,1,0.219682,0.207658,3.606775,0.277256,0.792342
normalized-bqwh-18-141-36_glb.xml.mzn_AND_NODATA,1,0,1,1.219858,0.819767,0
normalized-bqwh-18-141-7_glb.xml.mzn_AND_NODATA,1,0,1,1.234043,0.810345,0
normalized-bqwh-18-141-6_ext.xml.mzn_AND_NODATA,1,0.22582,0.212349,3.487952,0.286701,0.787651
normalized-bqwh-18-141-79_ext.xml.mzn_AND_NODATA,1,0.235704,0.217593,3.319444,0.301255,0.782407
normalized-bqwh-18-141-72_ext.xml.mzn_AND_NODATA,1,0.231371,0.218944,3.375776,0.296228,0.781056
normalized-bqwh-18-141-49_glb.xml.mzn_AND_NODATA,1,0,1,1.241135,0.805714,0
normalized-bqwh-18-141-7_ext.xml.mzn_AND_NODATA,1,0.225586,0.210448,3.5,0.285714,0.789552
normalized-bibd-8-56-28-4-12_glb.xml.mzn_AND_NODATA,1,1,1,0.823413,1.214458,0
normalized-BlackHole-4-4-e-5_ext.xml.mzn_AND_NODATA,1,0.053478,0.117216,16.507326,0.060579,0.882784
normalized-bqwh-18-141-3_ext.xml.mzn_AND_NODATA,1,0.225834,0.210762,3.494768,0.286142,0.789238
normalized-bqwh-18-141-64_glb.xml.mzn_AND_NODATA,1,0,1,1.241135,0.805714,0
normalized-bibd-11-55-15-3-3_glb.xml.mzn_AND_NODATA,1,1,1,0.866667,1.153846,0
normalized-bqwh-18-141-87_glb.xml.mzn_AND_NODATA,1,0,1,1.241135,0.805714,0
normalized-bqwh-18-141-66_ext.xml.mzn_AND_NODATA,1,0.22079,0.209821,3.578869,0.279418,0.790179
normalized-BlackHole-4-4-e-8_ext.xml.mzn_AND_NODATA,1,0.053478,0.117216,16.507326,0.060579,0.882784
normalized-bqwh-18-141-74_ext.xml.mzn_AND_NODATA,1,0.201331,0.196927,3.988827,0.2507,0.803073
normalized-bqwh-18-141-58_glb.xml.mzn_AND_NODATA,1,0,1,1.22695,0.815029,0
normalized-bqwh-18-141-82_glb.xml.mzn_AND_NODATA,1,0,1,1.248227,0.801136,0
normalized-bqwh-18-141-61_ext.xml.mzn_AND_NODATA,1,0.22036,0.207353,3.597059,0.278005,0.792647
normalized-bqwh-18-141-3_glb.xml.mzn_AND_NODATA,1,0,1,1.241135,0.805714,0
normalized-bqwh-18-141-55_ext.xml.mzn_AND_NODATA,1,0.229391,0.215926,3.41807,0.292563,0.784074
normalized-bqwh-15-106-14_ext.xml.mzn_AND_NODATA,1,0.205078,0.201521,3.893536,0.256836,0.798479
normalized-bqwh-18-141-41_ext.xml.mzn_AND_NODATA,1,0.230666,0.214612,3.404871,0.293697,0.785388
normalized-bqwh-18-141-9_glb.xml.mzn_AND_NODATA,1,0,1,1.22695,0.815029,0
normalized-bqwh-18-141-77_ext.xml.mzn_AND_NODATA,1,0.215294,0.204348,3.695652,0.270588,0.795652
normalized-bqwh-18-141-90_ext.xml.mzn_AND_NODATA,1,0.234317,0.217257,3.340524,0.299354,0.782743
normalized-bibd-22-22-7-7-2_glb.xml.mzn_AND_NODATA,1,1,1,0.962451,1.039014,0
normalized-bqwh-18-141-42_ext.xml.mzn_AND_NODATA,1,0.227095,0.212349,3.468373,0.28832,0.787651
normalized-C1-1-20.xml.mzn_AND_NODATA,1,0.758621,0.138047,1.171717,0.853448,0.861953
normalized-C1-2-20.xml.mzn_AND_NODATA,1,0.76087,0.130827,1.17594,0.850384,0.869173
normalized-bqwh-18-141-20_glb.xml.mzn_AND_NODATA,1,0,1,1.255319,0.79661,0
normalized-bqwh-18-141-83_ext.xml.mzn_AND_NODATA,1,0.232664,0.21659,3.367127,0.296989,0.78341
normalized-bqwh-18-141-90_glb.xml.mzn_AND_NODATA,1,0,1,1.241135,0.805714,0
normalized-bqwh-18-141-47_ext.xml.mzn_AND_NODATA,1,0.222269,0.210448,3.552239,0.281513,0.789552
normalized-bqwh-18-141-71_ext.xml.mzn_AND_NODATA,1,0.224343,0.210448,3.519403,0.284139,0.789552
normalized-4-fullins-5-6.xml.mzn_AND_NODATA,1,1,1,18.645683,0.053632,0
