@RELATION 'feature_values_premarshalling_astar_2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE group-same-mean NUMERIC
@ATTRIBUTE container-density NUMERIC
@ATTRIBUTE group-same-stdev NUMERIC
@ATTRIBUTE stacks NUMERIC
@ATTRIBUTE stack-tier-ratio NUMERIC
@ATTRIBUTE group-same-min NUMERIC
@ATTRIBUTE group-same-max NUMERIC
@ATTRIBUTE tiers NUMERIC
@ATTRIBUTE overstowing-stack-pct NUMERIC
@ATTRIBUTE bflb NUMERIC
@ATTRIBUTE empty-stack-pct NUMERIC
@ATTRIBUTE overstowage-pct NUMERIC
@ATTRIBUTE top-good-min NUMERIC
@ATTRIBUTE top-good-mean NUMERIC
@ATTRIBUTE top-good-stdev NUMERIC
@ATTRIBUTE top-good-max NUMERIC

@DATA
BF11_cpmp_16_8_77_31_47_11,1,2.40625,0.601562,1.34302,16,0.5,0,5,8,0.9375,49,0,0.367188,2,10.8667,6.05383,23
BF11_cpmp_16_8_77_31_47_16,1,2.40625,0.601562,0.963696,16,0.5,0,5,8,875,51,0,0.367188,2,10.2857,4.39852,17
BF11_cpmp_16_8_77_31_47_6,1,2.40625,0.601562,1.19529,16,0.5,0,7,8,1,51,0,0.367188,2,12.5,6.99107,25
BF11_cpmp_16_8_77_31_47_7,1,2.40625,0.601562,1.08568,16,0.5,0,5,8,0.9375,49,0,0.367188,2,11.7333,6.9519,26
BF12_cpmp_16_8_77_31_58_14,1,2.40625,0.601562,1.08568,16,0.5,0,6,8,0.75,58,125,0.453125,3,14.1667,7.74417,29
BF17_cpmp_20_5_60_12_36_1,1,4.61538,0.6,1.54613,20,0.25,0,7,5,0.55,36,0.1,0.36,2,6.36364,3.11223,12
BF17_cpmp_20_5_60_12_36_10,1,4.61538,0.6,1.68881,20,0.25,0,8,5,0.6,36,0.15,0.36,2,6,2.48328,11
BF17_cpmp_20_5_60_12_36_11,1,4.61538,0.6,1.59511,20,0.25,0,7,5,0.65,37,0.05,0.36,2,4.61538,2.33826,10
BF17_cpmp_20_5_60_12_36_12,1,4.61538,0.6,1.59511,20,0.25,0,7,5,0.65,36,0.05,0.36,2,5.23077,2.69341,10
BF17_cpmp_20_5_60_12_36_15,1,4.61538,0.6,1.77757,20,0.25,0,8,5,0.65,36,0.25,0.36,2,5.92308,2.46394,11
BF17_cpmp_20_5_60_12_36_16,1,4.61538,0.6,1.54613,20,0.25,0,7,5,0.65,36,0.15,0.36,2,5.53846,2.70656,11
BF17_cpmp_20_5_60_12_36_17,1,4.61538,0.6,1.49556,20,0.25,0,6,5,0.65,36,0.15,0.36,3,5.46154,2.06119,10
BF17_cpmp_20_5_60_12_36_2,1,4.61538,0.6,1.82033,20,0.25,0,8,5,0.6,36,0.05,0.36,2,5.25,2.34965,10
BF17_cpmp_20_5_60_12_36_20,1,4.61538,0.6,1.77757,20,0.25,0,8,5,0.7,36,0.1,0.36,2,6.07143,3.26156,12
BF17_cpmp_20_5_60_12_36_3,1,4.61538,0.6,1.54613,20,0.25,0,7,5,0.65,37,0.05,0.36,2,5.30769,2.64239,10
BF17_cpmp_20_5_60_12_36_4,1,4.61538,0.6,1.68881,20,0.25,0,7,5,0.55,37,0.15,0.36,2,4.45455,1.97086,7
BF17_cpmp_20_5_60_12_36_5,1,4.61538,0.6,1.49556,20,0.25,0,7,5,0.75,37,0.05,0.36,2,5.73333,2.86279,11
BF17_cpmp_20_5_60_12_36_6,1,4.61538,0.6,1.49556,20,0.25,0,7,5,0.75,36,0.05,0.36,2,5,2.47656,10
BF17_cpmp_20_5_60_12_36_7,1,4.61538,0.6,1.59511,20,0.25,0,7,5,0.55,36,0.05,0.36,2,5.54545,2.31059,9
BF17_cpmp_20_5_60_12_36_8,1,4.61538,0.6,2.13175,20,0.25,0,8,5,0.75,36,0.1,0.36,2,4.93333,2.79205,11
BF18_cpmp_20_5_60_12_45_1,1,4.61538,0.6,1.4432,20,0.25,0,6,5,0.7,45,0.25,0.45,2,5.92857,3.15015,11
BF18_cpmp_20_5_60_12_45_12,1,4.61538,0.6,1.54613,20,0.25,0,7,5,0.6,45,0.3,0.45,2,5.33333,2.71825,11
BF18_cpmp_20_5_60_12_45_13,1,4.61538,0.6,1.68881,20,0.25,0,7,5,0.6,45,0.4,0.45,2,6.41667,2.8419,11
BF18_cpmp_20_5_60_12_45_14,1,4.61538,0.6,1.59511,20,0.25,0,7,5,0.65,45,0.35,0.45,3,7.30769,3.07307,12
BF18_cpmp_20_5_60_12_45_15,1,4.61538,0.6,1.59511,20,0.25,0,7,5,0.6,45,0.4,0.45,2,5.33333,2.65623,10
BF18_cpmp_20_5_60_12_45_16,1,4.61538,0.6,1.54613,20,0.25,0,7,5,0.6,45,0.3,0.45,2,5.83333,2.99537,12
BF18_cpmp_20_5_60_12_45_17,1,4.61538,0.6,1.59511,20,0.25,0,7,5,0.65,45,0.3,0.45,2,5.92308,3.19763,10
BF18_cpmp_20_5_60_12_45_18,1,4.61538,0.6,1.68881,20,0.25,0,7,5,0.6,45,0.3,0.45,2,6.58333,2.81242,11
BF18_cpmp_20_5_60_12_45_19,1,4.61538,0.6,1.54613,20,0.25,0,7,5,0.65,45,0.35,0.45,2,6.69231,2.99704,11
BF18_cpmp_20_5_60_12_45_2,1,4.61538,0.6,1.59511,20,0.25,0,7,5,0.6,45,0.3,0.45,4,7.08333,2.92855,12
BF18_cpmp_20_5_60_12_45_3,1,4.61538,0.6,1.73376,20,0.25,0,7,5,0.6,45,0.3,0.45,2,5.25,2.71186,11
BF18_cpmp_20_5_60_12_45_4,1,4.61538,0.6,1.4432,20,0.25,0,6,5,0.6,45,0.25,0.45,2,5.83333,2.85287,12
BF18_cpmp_20_5_60_12_45_5,1,4.61538,0.6,2.20274,20,0.25,0,9,5,0.6,45,0.3,0.45,2,5.16667,2.54406,9
BF18_cpmp_20_5_60_12_45_6,1,4.61538,0.6,1.49556,20,0.25,0,6,5,0.6,45,0.4,0.45,3,6.5,2.5658,10
BF18_cpmp_20_5_60_12_45_7,1,4.61538,0.6,1.54613,20,0.25,0,7,5,0.65,45,0.3,0.45,2,5.92308,3.04988,11
BF18_cpmp_20_5_60_12_45_8,1,4.61538,0.6,1.94297,20,0.25,0,8,5,0.6,45,0.35,0.45,2,5.5,2.81366,12
BF18_cpmp_20_5_60_12_45_9,1,4.61538,0.6,1.38888,20,0.25,0,6,5,0.6,45,0.3,0.45,2,7,2.41523,11
BF19_cpmp_20_5_60_24_36_1,1,2.4,0.6,0.979796,20,0.25,0,5,5,0.7,36,0.1,0.36,2,10.1429,5.9983,21
BF19_cpmp_20_5_60_24_36_10,1,2.4,0.6,1.13137,20,0.25,0,6,5,0.7,36,0.15,0.36,2,10.8571,5.70535,20
BF19_cpmp_20_5_60_24_36_11,1,2.4,0.6,0.938083,20,0.25,0,5,5,0.5,36,0.1,0.36,4,9.4,5.78273,24
BF19_cpmp_20_5_60_24_36_14,1,2.4,0.6,0.748331,20,0.25,0,4,5,0.7,36,0,0.36,2,8.21429,4.00319,16
BF19_cpmp_20_5_60_24_36_15,1,2.4,0.6,1.0583,20,0.25,0,5,5,0.65,36,0.05,0.36,2,7.76923,5.0559,21
BF19_cpmp_20_5_60_24_36_16,1,2.4,0.6,0.848528,20,0.25,0,4,5,0.65,37,0.05,0.36,3,9.23077,4.50903,17
BF19_cpmp_20_5_60_24_36_17,1,2.4,0.6,0.979796,20,0.25,0,4,5,0.55,36,0.05,0.36,2,8.36364,5.22708,19
BF19_cpmp_20_5_60_24_36_18,1,2.4,0.6,0.8,20,0.25,0,4,5,0.65,36,0.05,0.36,2,10.0769,5.10598,20
BF19_cpmp_20_5_60_24_36_2,1,2.4,0.6,0.979796,20,0.25,0,5,5,0.6,36,0.05,0.36,3,10.1667,4.82758,20
BF19_cpmp_20_5_60_24_36_20,1,2.4,0.6,1.0198,20,0.25,0,4,5,0.55,36,0.2,0.36,2,8.54545,6.21382,22
BF19_cpmp_20_5_60_24_36_3,1,2.4,0.6,1.2,20,0.25,0,6,5,0.7,36,0.2,0.36,2,10.0714,6.46379,22
BF19_cpmp_20_5_60_24_36_5,1,2.4,0.6,0.848528,20,0.25,0,4,5,0.6,36,0.15,0.36,2,10.75,6.70976,23
BF19_cpmp_20_5_60_24_36_6,1,2.4,0.6,0.938083,20,0.25,0,4,5,0.6,37,0.1,0.36,2,8.58333,6.03405,24
BF19_cpmp_20_5_60_24_36_7,1,2.4,0.6,1.0198,20,0.25,0,4,5,0.55,36,0.15,0.36,3,8.63636,5.80396,24
BF19_cpmp_20_5_60_24_36_8,1,2.4,0.6,0.848528,20,0.25,0,4,5,0.75,39,0,0.36,4,11.2667,4.9189,21
BF19_cpmp_20_5_60_24_36_9,1,2.4,0.6,0.894427,20,0.25,0,5,5,0.65,38,0.05,0.36,3,8.84615,4.12956,16
BF2_cpmp_16_5_48_10_36_1,1,4.36364,0.6,1.66639,16,0.3125,0,7,5,625,36,0.3125,0.45,2,4.8,2.6,10
BF2_cpmp_16_5_48_10_36_11,1,4.36364,0.6,1.49379,16,0.3125,0,6,5,625,36,0.25,0.45,2,4.6,2.2,8
BF2_cpmp_16_5_48_10_36_12,1,4.36364,0.6,2.1436,16,0.3125,0,9,5,625,36,0.25,0.45,2,5,2.44949,9
BF2_cpmp_16_5_48_10_36_13,1,4.36364,0.6,1.87193,16,0.3125,0,7,5,0.6875,36,0.3125,0.45,2,5.90909,2.4663,10
BF2_cpmp_16_5_48_10_36_14,1,4.36364,0.6,1.82272,16,0.3125,0,7,5,625,36,0.3125,0.45,2,4.9,2.02237,8
BF2_cpmp_16_5_48_10_36_15,1,4.36364,0.6,1.66639,16,0.3125,0,7,5,625,36,0.3125,0.45,2,5,2.79285,10
BF2_cpmp_16_5_48_10_36_17,1,4.36364,0.6,1.43164,16,0.3125,0,5,5,0.6875,36,0.3125,0.45,2,5.45455,2.38799,10
BF2_cpmp_16_5_48_10_36_18,1,4.36364,0.6,1.55346,16,0.3125,0,6,5,625,36,0.3125,0.45,2,5.4,2.90517,10
BF2_cpmp_16_5_48_10_36_19,1,4.36364,0.6,1.61091,16,0.3125,0,6,5,625,36,0.3125,0.45,2,5,2.40832,8
BF2_cpmp_16_5_48_10_36_2,1,4.36364,0.6,1.72008,16,0.3125,0,7,5,0.6875,36,0.25,0.45,2,5.90909,2.35312,9
BF2_cpmp_16_5_48_10_36_20,1,4.36364,0.6,1.87193,16,0.3125,0,7,5,625,36,0.25,0.45,2,5,2.40832,10
BF2_cpmp_16_5_48_10_36_3,1,4.36364,0.6,1.55346,16,0.3125,0,6,5,625,36,0.3125,0.45,2,4.5,1.74642,7
BF2_cpmp_16_5_48_10_36_4,1,4.36364,0.6,1.77214,16,0.3125,0,7,5,625,36,0.3125,0.45,2,5.8,2.4,9
BF2_cpmp_16_5_48_10_36_5,1,4.36364,0.6,1.55346,16,0.3125,0,6,5,625,36,0.3125,0.45,2,5.4,2.37487,10
BF2_cpmp_16_5_48_10_36_6,1,4.36364,0.6,1.55346,16,0.3125,0,6,5,625,36,0.3125,0.45,2,4.6,2.2891,9
BF2_cpmp_16_5_48_10_36_7,1,4.36364,0.6,1.82272,16,0.3125,0,8,5,625,36,375,0.45,2,4.9,2.34307,9
BF2_cpmp_16_5_48_10_36_8,1,4.36364,0.6,1.55346,16,0.3125,0,6,5,625,36,0.3125,0.45,2,5.2,1.93907,8
BF2_cpmp_16_5_48_10_36_9,1,4.36364,0.6,1.77214,16,0.3125,0,7,5,625,36,0.3125,0.45,2,5.1,2.3,8
BF20_cpmp_20_5_60_24_45_1,1,2.4,0.6,0.938083,20,0.25,0,5,5,0.6,45,0.3,0.45,2,10.6667,7.31817,23
BF20_cpmp_20_5_60_24_45_10,1,2.4,0.6,0.848528,20,0.25,0,4,5,0.6,45,0.4,0.45,3,11.75,5.86124,22
BF20_cpmp_20_5_60_24_45_11,1,2.4,0.6,1.49666,20,0.25,0,7,5,0.65,45,0.35,0.45,2,7.53846,5.28591,22
BF20_cpmp_20_5_60_24_45_12,1,2.4,0.6,1.09545,20,0.25,0,5,5,0.65,45,0.3,0.45,3,11,6.02559,24
BF20_cpmp_20_5_60_24_45_13,1,2.4,0.6,1.2,20,0.25,0,5,5,0.65,45,0.3,0.45,3,11.5385,5.87845,21
BF20_cpmp_20_5_60_24_45_14,1,2.4,0.6,0.979796,20,0.25,0,4,5,0.6,45,0.35,0.45,3,10.8333,5.66912,20
BF20_cpmp_20_5_60_24_45_15,1,2.4,0.6,0.8,20,0.25,0,4,5,0.6,45,0.3,0.45,2,9.66667,5.57275,21
BF20_cpmp_20_5_60_24_45_17,1,2.4,0.6,0.979796,20,0.25,0,5,5,0.65,45,0.25,0.45,6,13.6923,4.76178,23
BF20_cpmp_20_5_60_24_45_2,1,2.4,0.6,0.894427,20,0.25,0,4,5,0.6,45,0.4,0.45,4,12.0833,5.64887,22
BF20_cpmp_20_5_60_24_45_20,1,2.4,0.6,0.894427,20,0.25,0,5,5,0.6,45,0.25,0.45,3,12.5833,5.34569,21
BF20_cpmp_20_5_60_24_45_3,1,2.4,0.6,1.09545,20,0.25,0,5,5,0.65,45,0.3,0.45,2,10.6154,5.83805,22
BF20_cpmp_20_5_60_24_45_5,1,2.4,0.6,0.894427,20,0.25,0,4,5,0.6,45,0.3,0.45,7,12.6667,4.17,21
BF20_cpmp_20_5_60_24_45_6,1,2.4,0.6,1.0198,20,0.25,0,4,5,0.6,45,0.3,0.45,4,10,3937,17
BF20_cpmp_20_5_60_24_45_7,1,2.4,0.6,1.0198,20,0.25,0,5,5,0.6,45,0.3,0.45,2,9.33333,5.63225,22
BF20_cpmp_20_5_60_24_45_8,1,2.4,0.6,1.0198,20,0.25,0,5,5,0.6,45,0.35,0.45,3,9.41667,5.1228,19
BF20_cpmp_20_5_60_24_45_9,1,2.4,0.6,1.0583,20,0.25,0,5,5,0.6,45,0.3,0.45,2,13.1667,5.95586,23
BF21_cpmp_20_5_80_16_48_11,1,4.70588,0.8,1.22545,20,0.25,0,6,5,0.8,51,0,0.48,2,7375,3.72282,15
BF21_cpmp_20_5_80_16_48_14,1,4.70588,0.8,1.36186,20,0.25,0,6,5,0.9,52,0,0.48,2,5.83333,2.71314,13
BF21_cpmp_20_5_80_16_48_16,1,4.70588,0.8,1.4858,20,0.25,0,7,5,0.85,50,0,0.48,2,7.94118,3.40364,14
BF21_cpmp_20_5_80_16_48_18,1,4.70588,0.8,1.63652,20,0.25,0,9,5,0.8,50,0,0.48,2,7.9375,4.40835,15
BF21_cpmp_20_5_80_16_48_19,1,4.70588,0.8,1.52488,20,0.25,0,7,5,1,54,0,0.48,2,6.2,3.89358,16
BF21_cpmp_20_5_80_16_48_2,1,4.70588,0.8,1.44567,20,0.25,0,6,5,0.8,52,0,0.48,2,5.9375,3.28764,13
BF21_cpmp_20_5_80_16_48_3,1,4.70588,0.8,1.80733,20,0.25,0,9,5,0.75,49,0,0.48,2,5.66667,3.0037,11
BF21_cpmp_20_5_80_16_48_4,1,4.70588,0.8,1.40439,20,0.25,0,6,5,0.85,50,0,0.48,2,6.76471,3.48998,14
BF21_cpmp_20_5_80_16_48_5,1,4.70588,0.8,1.36186,20,0.25,0,6,5,0.85,50,0,0.48,2,6.82353,4.10502,16
BF21_cpmp_20_5_80_16_48_7,1,4.70588,0.8,1.31796,20,0.25,0,6,5,0.75,51,0,0.48,2,4.86667,2.9409,13
BF21_cpmp_20_5_80_16_48_8,1,4.70588,0.8,1.52488,20,0.25,0,7,5,0.75,51,0,0.48,2,6.8,3.61847,12
BF21_cpmp_20_5_80_16_48_9,1,4.70588,0.8,1.52488,20,0.25,0,7,5,0.75,50,0,0.48,2,6.06667,2.93182,12
BF22_cpmp_20_5_80_16_60_11,1,4.70588,0.8,1.36186,20,0.25,0,6,5,0.8,60,0.1,0.6,2,8.75,4.08503,16
BF22_cpmp_20_5_80_16_60_16,1,4.70588,0.8,1.67208,20,0.25,0,7,5,0.85,61,0.15,0.6,2,8.05882,3.85732,16
BF22_cpmp_20_5_80_16_60_4,1,4.70588,0.8,1.7069,20,0.25,0,8,5,0.9,62,0.05,0.6,3,8.44444,3.13089,15
BF22_cpmp_20_5_80_16_60_6,1,4.70588,0.8,1.52488,20,0.25,0,8,5,0.8,61,0.15,0.6,2,7.25,3.23071,12
BF22_cpmp_20_5_80_16_60_7,1,4.70588,0.8,1.77448,20,0.25,0,7,5,0.8,62,0.2,0.6,2,6375,2.97647,11
BF22_cpmp_20_5_80_16_60_9,1,4.70588,0.8,1.52488,20,0.25,0,7,5,0.85,62,0.15,0.6,2,6.70588,3.32132,12
BF23_cpmp_20_5_80_32_48_10,1,2.42424,0.8,1.07394,20,0.25,0,5,5,0.9,52,0,0.48,2,8.66667,5.04425,17
BF23_cpmp_20_5_80_32_48_11,1,2.42424,0.8,0.985664,20,0.25,0,4,5,0.85,51,0,0.48,2,10.0588,6.27292,25
BF23_cpmp_20_5_80_32_48_12,1,2.42424,0.8,1.20681,20,0.25,0,6,5,0.9,49,0,0.48,2,10.7778,7.32997,28
BF23_cpmp_20_5_80_32_48_15,1,2.42424,0.8,0.922129,20,0.25,0,5,5,0.8,51,0,0.48,2,14.3125,7.48932,30
BF23_cpmp_20_5_80_32_48_16,1,2.42424,0.8,1.39328,20,0.25,0,7,5,0.9,51,0,0.48,2,11.8889,7.68757,28
BF23_cpmp_20_5_80_32_48_18,1,2.42424,0.8,1.25602,20,0.25,0,5,5,0.65,51,0,0.48,2,15.0769,8.21314,24
BF23_cpmp_20_5_80_32_48_3,1,2.42424,0.8,0.888659,20,0.25,0,4,5,0.85,51,0,0.48,3,11.1765,6.51907,27
BF23_cpmp_20_5_80_32_48_4,1,2.42424,0.8,0.922129,20,0.25,0,5,5,0.75,50,0,0.48,2,12.3333,7.28164,25
BF23_cpmp_20_5_80_32_48_6,1,2.42424,0.8,1.41486,20,0.25,0,6,5,0.85,50,0.05,0.48,5,14.3529,5.38998,23
BF23_cpmp_20_5_80_32_48_7,1,2.42424,0.8,1.04534,20,0.25,0,5,5,0.75,51,0,0.48,2,13.6667,7.11493,25
BF24_cpmp_20_5_80_32_60_13,1,2.42424,0.8,0.853879,20,0.25,0,4,5,0.85,64,0,0.6,2,11.8235,8.13298,26
BF24_cpmp_20_5_80_32_60_17,1,2.42424,0.8,0.779678,20,0.25,0,4,5,0.8,60,0.15,0.6,4,15125,7.43198,30
BF24_cpmp_20_5_80_32_60_2,1,2.42424,0.8,0.888659,20,0.25,0,5,5,0.8,61,0.1,0.6,2,14625,7.40671,32
BF24_cpmp_20_5_80_32_60_8,1,2.42424,0.8,1.1018,20,0.25,0,5,5,0.8,60,0.2,0.6,2,13375,7.61475,27
BF25_cpmp_20_8_96_20_58_20,1,4.57143,0.6,1.56057,20,0.4,0,9,8,0.8,62,0,0.3625,2,6875,3.70599,13
BF26_cpmp_20_8_96_20_72_5,1,4.57143,0.6,1.62045,20,0.4,0,8,8,0.6,72,0.2,0.45,2,9.91667,4.99096,17
BF27_cpmp_20_8_96_39_58_12,1,2.4,0.6,0.830662,20,0.4,0,4,8,0.8,59,0,0.3625,3,15.25,7.70146,27
BF27_cpmp_20_8_96_39_58_6,1,2.4,0.6,0.860233,20,0.4,0,4,8,0.8,60,0,0.3625,2,14.5625,10.1794,34
BF27_cpmp_20_8_96_39_58_9,1,2.4,0.6,0.943398,20,0.4,0,5,8,0.9,61,0,0.3625,2,15.0556,8.2964,30
BF28_cpmp_20_8_96_39_72_19,1,2.4,0.6,1.09087,20,0.4,0,6,8,0.7,72,0.05,0.45,2,16.7857,9.88634,32
BF3_cpmp_16_5_48_20_29_1,1,2.28571,0.6,1.45219,16,0.3125,0,6,5,0.6875,29,0.1875,0.3625,3,8.45455,3.82251,15
BF3_cpmp_16_5_48_20_29_11,1,2.28571,0.6,0.764875,16,0.3125,0,3,5,0.5625,29,125,0.3625,2,8.22222,4.91659,18
BF3_cpmp_16_5_48_20_29_13,1,2.28571,0.6,0.933139,16,0.3125,0,4,5,625,29,125,0.3625,2,8.5,3.98121,14
BF3_cpmp_16_5_48_20_29_14,1,2.28571,0.6,1.16058,16,0.3125,0,5,5,0.75,30,0.0625,0.3625,3,7.33333,3.85861,17
BF3_cpmp_16_5_48_20_29_16,1,2.28571,0.6,1.07539,16,0.3125,0,5,5,0.5625,29,0.0625,0.3625,2,10.1111,5.25874,19
BF3_cpmp_16_5_48_20_29_19,1,2.28571,0.6,1.20091,16,0.3125,0,6,5,625,30,0,0.3625,3,6.6,2.69072,12
BF3_cpmp_16_5_48_20_29_20,1,2.28571,0.6,0.982846,16,0.3125,0,5,5,625,29,0.1875,0.3625,2,7.3,4.98096,19
BF3_cpmp_16_5_48_20_29_3,1,2.28571,0.6,0.982846,16,0.3125,0,5,5,0.5625,29,0.0625,0.3625,2,6.44444,3.49956,12
BF3_cpmp_16_5_48_20_29_5,1,2.28571,0.6,0.824786,16,0.3125,0,4,5,0.6875,29,0.1875,0.3625,3,8.09091,5.16024,19
BF3_cpmp_16_5_48_20_29_6,1,2.28571,0.6,0.933139,16,0.3125,0,4,5,625,29,125,0.3625,3,9.6,5.08331,18
BF3_cpmp_16_5_48_20_29_8,1,2.28571,0.6,0.824786,16,0.3125,0,4,5,0.75,29,0.1875,0.3625,2,9.08333,4.78641,18
BF3_cpmp_16_5_48_20_29_9,1,2.28571,0.6,0.880631,16,0.3125,0,4,5,625,29,0.0625,0.3625,2,5.5,2.94109,10
BF4_cpmp_16_5_48_20_36_1,1,2.28571,0.6,0.764875,16,0.3125,0,4,5,625,36,375,0.45,3,8.1,3.7,14
BF4_cpmp_16_5_48_20_36_10,1,2.28571,0.6,0.933139,16,0.3125,0,5,5,625,36,375,0.45,4,10,4.51664,19
BF4_cpmp_16_5_48_20_36_11,1,2.28571,0.6,0.933139,16,0.3125,0,5,5,625,36,375,0.45,2,7,2.93258,13
BF4_cpmp_16_5_48_20_36_13,1,2.28571,0.6,1.35023,16,0.3125,0,7,5,625,36,0.3125,0.45,3,9.3,5.38609,19
BF4_cpmp_16_5_48_20_36_14,1,2.28571,0.6,1.11879,16,0.3125,0,5,5,625,36,375,0.45,3,13.4,5.04381,19
BF4_cpmp_16_5_48_20_36_15,1,2.28571,0.6,1.20091,16,0.3125,0,6,5,625,36,0.3125,0.45,2,9.3,5.9,19
BF4_cpmp_16_5_48_20_36_16,1,2.28571,0.6,0.880631,16,0.3125,0,4,5,625,36,375,0.45,3,12.4,5.0636,19
BF4_cpmp_16_5_48_20_36_17,1,2.28571,0.6,0.982846,16,0.3125,0,4,5,625,36,0.3125,0.45,3,9.7,4.38292,19
BF4_cpmp_16_5_48_20_36_18,1,2.28571,0.6,0.933139,16,0.3125,0,5,5,625,36,0.3125,0.45,2,7.1,4.65725,19
BF4_cpmp_16_5_48_20_36_19,1,2.28571,0.6,1.11879,16,0.3125,0,4,5,0.5625,36,0.25,0.45,4,9.77778,4.02155,18
BF4_cpmp_16_5_48_20_36_2,1,2.28571,0.6,0.933139,16,0.3125,0,4,5,0.5625,36,0.3125,0.45,4,10.4444,4.78681,20
BF4_cpmp_16_5_48_20_36_20,1,2.28571,0.6,1.27775,16,0.3125,0,6,5,0.6875,36,0.25,0.45,2,10.3636,5.26174,18
BF4_cpmp_16_5_48_20_36_3,1,2.28571,0.6,0.933139,16,0.3125,0,4,5,0.6875,36,0.3125,0.45,2,10.0909,5.40125,20
BF4_cpmp_16_5_48_20_36_5,1,2.28571,0.6,1.54744,16,0.3125,0,8,5,625,36,0.3125,0.45,2,6.4,3.87814,14
