@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_table_count NUMERIC
@ATTRIBUTE stats_edge_density NUMERIC
@ATTRIBUTE stats_varcount NUMERIC
@ATTRIBUTE stats_branchingvars NUMERIC
@ATTRIBUTE stats_var_discrete NUMERIC
@ATTRIBUTE stats_arity_mean_normalised NUMERIC
@ATTRIBUTE stats_cts_per_var_mean_normalised NUMERIC
@ATTRIBUTE stats_conscount NUMERIC
@ATTRIBUTE normalised_width_of_graph NUMERIC
@ATTRIBUTE stats_cts_per_var_mean NUMERIC
@ATTRIBUTE normalised_mean_degree NUMERIC
@ATTRIBUTE clustering_coefficient NUMERIC
@ATTRIBUTE normalised_median_degree NUMERIC
@ATTRIBUTE normalised_width_of_ordering NUMERIC
@ATTRIBUTE stats_tightness_0 NUMERIC
@ATTRIBUTE stats_Local_Variance NUMERIC
@ATTRIBUTE stats_tightness_mean NUMERIC
@ATTRIBUTE stats_tightness_75 NUMERIC
@ATTRIBUTE stats_tightness_100 NUMERIC
@ATTRIBUTE stats_dom_0 NUMERIC
@ATTRIBUTE normalised_maximum_degree NUMERIC
@ATTRIBUTE mean_degree NUMERIC
@ATTRIBUTE normalised_standard_deviation_of_node_degree NUMERIC
@ATTRIBUTE stats_dom_50 NUMERIC
@ATTRIBUTE stats_tightness_25 NUMERIC
@ATTRIBUTE stats_tightness_50 NUMERIC
@ATTRIBUTE stats_dom_25 NUMERIC
@ATTRIBUTE stats_tightness_mean_normalised NUMERIC
@ATTRIBUTE stats_literal_tightness_25 NUMERIC
@ATTRIBUTE normalised_minimum_degree NUMERIC
@ATTRIBUTE stats_literal_tightness_50 NUMERIC
@ATTRIBUTE stats_dom_75 NUMERIC

@DATA
1-insertions-5-6.xml.watchless.minion.gz,1,0,0.06044,202,202,202,0.009901,0.009901,1227,0.039604,12.148515,0.060141,0,0.049505,0.331683,169,0.243809,169,169,169,6,0.331683,12.148515,0.032959,6,169,169,6,0.137734,14,0.024752,18,6
1-insertions-6-4.xml.watchless.minion.gz,1,0,0.034455,607,607,607,0.003295,0.003295,6337,0.023064,20.879736,0.034398,0,0.029654,0.332784,263,0.159787,263,263,263,4,0.332784,20.879736,0.024126,4,263,263,4,0.041502,26,0.009885,27,4
1-insertions-6-5.xml.watchless.minion.gz,1,0,0.034455,607,607,607,0.003295,0.003295,6337,0.023064,20.879736,0.034398,0,0.029654,0.332784,184,0.159787,184,184,184,5,0.332784,20.879736,0.024126,5,184,184,5,0.029036,17,0.009885,21,5
1-insertions-6-6.xml.watchless.minion.gz,1,0,0.034455,607,607,607,0.003295,0.003295,6337,0.023064,20.879736,0.034398,0,0.029654,0.332784,169,0.159787,169,169,169,6,0.332784,20.879736,0.024126,6,169,169,6,0.026669,14,0.009885,18,6
1-insertions-6-7.xml.watchless.minion.gz,1,0,0.034455,607,607,607,0.003295,0.003295,6337,0.023064,20.879736,0.034398,0,0.029654,0.332784,154,0.159787,154,154,154,7,0.332784,20.879736,0.024126,7,154,154,7,0.024302,13,0.009885,13,7
2-fullins-3-4.xml.watchless.minion.gz,1,0,0.151584,52,52,52,0.038462,0.038462,201,0.096154,7.730769,0.148669,0.063836,0.134615,0.288462,263,0.331856,263,263,263,4,0.288462,7.730769,0.058075,4,263,263,4,1.308458,26,0.076923,27,4
2-fullins-3-5.xml.watchless.minion.gz,1,0,0.151584,52,52,52,0.038462,0.038462,201,0.096154,7.730769,0.148669,0.063836,0.134615,0.288462,184,0.331856,184,184,184,5,0.288462,7.730769,0.058075,5,184,184,5,0.915423,17,0.076923,21,5
2-fullins-4-4.xml.watchless.minion.gz,1,0,0.072476,212,212,212,0.009434,0.009434,1621,0.04717,15.292453,0.072134,0.021882,0.061321,0.259434,263,0.205428,263,263,263,4,0.259434,15.292453,0.038637,4,263,263,4,0.162246,26,0.028302,27,4
2-fullins-4-5.xml.watchless.minion.gz,1,0,0.072476,212,212,212,0.009434,0.009434,1621,0.04717,15.292453,0.072134,0.021882,0.061321,0.259434,184,0.205428,184,184,184,5,0.259434,15.292453,0.038637,5,184,184,5,0.11351,17,0.028302,21,5
2-fullins-4-6.xml.watchless.minion.gz,1,0,0.072476,212,212,212,0.009434,0.009434,1621,0.04717,15.292453,0.072134,0.021882,0.061321,0.259434,169,0.205428,169,169,169,6,0.259434,15.292453,0.038637,6,169,169,6,0.104257,14,0.028302,18,6
2-fullins-5-4.xml.watchless.minion.gz,1,0,0.033656,852,852,852,0.002347,0.002347,12201,0.021127,28.640845,0.033616,0.007851,0.029343,0.252347,263,0.122158,263,263,263,4,0.252347,28.640845,0.023979,4,263,263,4,0.021556,26,0.00939,27,4
2-fullins-5-5.xml.watchless.minion.gz,1,0,0.033656,852,852,852,0.002347,0.002347,12201,0.021127,28.640845,0.033616,0.007851,0.029343,0.252347,184,0.122158,184,184,184,5,0.252347,28.640845,0.023979,5,184,184,5,0.015081,17,0.00939,21,5
2-fullins-5-6.xml.watchless.minion.gz,1,0,0.033656,852,852,852,0.002347,0.002347,12201,0.021127,28.640845,0.033616,0.007851,0.029343,0.252347,169,0.122158,169,169,169,6,0.252347,28.640845,0.023979,6,169,169,6,0.013851,14,0.00939,18,6
2-fullins-5-7.xml.watchless.minion.gz,1,0,0.033656,852,852,852,0.002347,0.002347,12201,0.021127,28.640845,0.033616,0.007851,0.029343,0.252347,154,0.122158,154,154,154,7,0.252347,28.640845,0.023979,7,154,154,7,0.012622,13,0.00939,13,7
2-insertions-3-3.xml.watchless.minion.gz,1,0,0.108108,37,37,37,0.054054,0.054054,72,0.081081,3.891892,0.105186,0,0.108108,0.243243,324,0.458347,324,324,324,3,0.243243,3.891892,0.025743,3,324,324,3,4.5,32,0.081081,33,3
2-insertions-3-4.xml.watchless.minion.gz,1,0,0.108108,37,37,37,0.054054,0.054054,72,0.081081,3.891892,0.105186,0,0.108108,0.243243,263,0.458347,263,263,263,4,0.243243,3.891892,0.025743,4,263,263,4,3.652778,26,0.081081,27,4
2-insertions-4-3.xml.watchless.minion.gz,1,0,0.049066,149,149,149,0.013423,0.013423,541,0.033557,7.261745,0.048737,0,0.053691,0.248322,324,0.340533,324,324,324,3,0.248322,7.261745,0.021708,3,324,324,3,0.598891,32,0.026846,33,3
2-insertions-4-4.xml.watchless.minion.gz,1,0,0.049066,149,149,149,0.013423,0.013423,541,0.033557,7.261745,0.048737,0,0.053691,0.248322,263,0.340533,263,263,263,4,0.248322,7.261745,0.021708,4,263,263,4,0.486137,26,0.026846,27,4
2-insertions-4-5.xml.watchless.minion.gz,1,0,0.049066,149,149,149,0.013423,0.013423,541,0.033557,7.261745,0.048737,0,0.053691,0.248322,184,0.340533,184,184,184,5,0.248322,7.261745,0.021708,5,184,184,5,0.340111,17,0.026846,21,5
2-insertions-5-3.xml.watchless.minion.gz,1,0,0.022124,597,597,597,0.00335,0.00335,3936,0.015075,13.18593,0.022087,0,0.020101,0.249581,324,0.229052,324,324,324,3,0.249581,13.18593,0.014236,3,324,324,3,0.082317,32,0.008375,33,3
2-insertions-5-4.xml.watchless.minion.gz,1,0,0.022124,597,597,597,0.00335,0.00335,3936,0.015075,13.18593,0.022087,0,0.020101,0.249581,263,0.229052,263,263,263,4,0.249581,13.18593,0.014236,4,263,263,4,0.066819,26,0.008375,27,4
2-insertions-5-5.xml.watchless.minion.gz,1,0,0.022124,597,597,597,0.00335,0.00335,3936,0.015075,13.18593,0.022087,0,0.020101,0.249581,184,0.229052,184,184,184,5,0.249581,13.18593,0.014236,5,184,184,5,0.046748,17,0.008375,21,5
2-insertions-5-6.xml.watchless.minion.gz,1,0,0.022124,597,597,597,0.00335,0.00335,3936,0.015075,13.18593,0.022087,0,0.020101,0.249581,169,0.229052,169,169,169,6,0.249581,13.18593,0.014236,6,169,169,6,0.042937,14,0.008375,18,6
3-fullins-3-5.xml.watchless.minion.gz,1,0,0.109494,80,80,80,0.025,0.025,346,0.075,8.65,0.108125,0.051742,0.0875,0.2375,184,0.3083,184,184,184,5,0.2375,8.65,0.049847,5,184,184,5,0.531792,17,0.05,21,5
3-fullins-3-6.xml.watchless.minion.gz,1,0,0.109494,80,80,80,0.025,0.025,346,0.075,8.65,0.108125,0.051742,0.0875,0.2375,169,0.3083,169,169,169,6,0.2375,8.65,0.049847,6,169,169,6,0.488439,14,0.05,18,6
3-fullins-4-5.xml.watchless.minion.gz,1,0,0.043075,405,405,405,0.004938,0.004938,3524,0.02716,17.402469,0.042969,0.01485,0.037037,0.207407,184,0.185323,184,184,184,5,0.207407,17.402469,0.026781,5,184,184,5,0.052213,17,0.014815,21,5
3-fullins-4-6.xml.watchless.minion.gz,1,0,0.043075,405,405,405,0.004938,0.004938,3524,0.02716,17.402469,0.042969,0.01485,0.037037,0.207407,169,0.185323,169,169,169,6,0.207407,17.402469,0.026781,6,169,169,6,0.047957,14,0.014815,18,6
3-fullins-4-7.xml.watchless.minion.gz,1,0,0.043075,405,405,405,0.004938,0.004938,3524,0.02716,17.402469,0.042969,0.01485,0.037037,0.207407,154,0.185323,154,154,154,7,0.207407,17.402469,0.026781,7,154,154,7,0.0437,13,0.014815,13,7
3-fullins-5-5.xml.watchless.minion.gz,1,0,0.016388,2030,2030,2030,0.000985,0.000985,33751,0.010345,33.252217,0.01638,0.004678,0.014286,0.201478,184,0.10708,184,184,184,5,0.201478,33.252217,0.013841,5,184,184,5,0.005452,17,0.003941,21,5
3-fullins-5-6.xml.watchless.minion.gz,1,0,0.016388,2030,2030,2030,0.000985,0.000985,33751,0.010345,33.252217,0.01638,0.004678,0.014286,0.201478,169,0.10708,169,169,169,6,0.201478,33.252217,0.013841,6,169,169,6,0.005007,14,0.003941,18,6
3-fullins-5-7.xml.watchless.minion.gz,1,0,0.016388,2030,2030,2030,0.000985,0.000985,33751,0.010345,33.252217,0.01638,0.004678,0.014286,0.201478,154,0.10708,154,154,154,7,0.201478,33.252217,0.013841,7,154,154,7,0.004563,13,0.003941,13,7
3-fullins-5-8.xml.watchless.minion.gz,1,0,0.016388,2030,2030,2030,0.000985,0.000985,33751,0.010345,33.252217,0.01638,0.004678,0.014286,0.201478,136,0.10708,136,136,136,8,0.201478,33.252217,0.013841,8,136,136,8,0.00403,9,0.003941,13,8
3-insertions-3-3.xml.watchless.minion.gz,1,0,0.071429,56,56,56,0.035714,0.035714,110,0.053571,3.928571,0.070153,0,0.071429,0.196429,324,0.453656,324,324,324,3,0.196429,3.928571,0.01844,3,324,324,3,2.945455,32,0.053571,33,3
3-insertions-3-4.xml.watchless.minion.gz,1,0,0.071429,56,56,56,0.035714,0.035714,110,0.053571,3.928571,0.070153,0,0.071429,0.196429,263,0.453656,263,263,263,4,0.196429,3.928571,0.01844,4,263,263,4,2.390909,26,0.053571,27,4
3-insertions-4-3.xml.watchless.minion.gz,1,0,0.026589,281,281,281,0.007117,0.007117,1046,0.017794,7.44484,0.026494,0,0.02847,0.199288,324,0.334833,324,324,324,3,0.199288,7.44484,0.013027,3,324,324,3,0.309751,32,0.014235,33,3
3-insertions-4-4.xml.watchless.minion.gz,1,0,0.026589,281,281,281,0.007117,0.007117,1046,0.017794,7.44484,0.026494,0,0.02847,0.199288,263,0.334833,263,263,263,4,0.199288,7.44484,0.013027,4,263,263,4,0.251434,26,0.014235,27,4
3-insertions-4-5.xml.watchless.minion.gz,1,0,0.026589,281,281,281,0.007117,0.007117,1046,0.017794,7.44484,0.026494,0,0.02847,0.199288,184,0.334833,184,184,184,5,0.199288,7.44484,0.013027,5,184,184,5,0.175908,17,0.014235,21,5
3-insertions-5-3.xml.watchless.minion.gz,1,0,0.009816,1406,1406,1406,0.001422,0.001422,9695,0.006401,13.790896,0.009809,0,0.01138,0.199858,324,0.221368,324,324,324,3,0.199858,13.790896,0.007218,3,324,324,3,0.033419,32,0.003556,33,3
3-insertions-5-4.xml.watchless.minion.gz,1,0,0.009816,1406,1406,1406,0.001422,0.001422,9695,0.006401,13.790896,0.009809,0,0.01138,0.199858,263,0.221368,263,263,263,4,0.199858,13.790896,0.007218,4,263,263,4,0.027127,26,0.003556,27,4
3-insertions-5-5.xml.watchless.minion.gz,1,0,0.009816,1406,1406,1406,0.001422,0.001422,9695,0.006401,13.790896,0.009809,0,0.01138,0.199858,184,0.221368,184,184,184,5,0.199858,13.790896,0.007218,5,184,184,5,0.018979,17,0.003556,21,5
3-insertions-5-6.xml.watchless.minion.gz,1,0,0.009816,1406,1406,1406,0.001422,0.001422,9695,0.006401,13.790896,0.009809,0,0.01138,0.199858,169,0.221368,169,169,169,6,0.199858,13.790896,0.007218,6,169,169,6,0.017432,14,0.003556,18,6
4-fullins-3-6.xml.watchless.minion.gz,1,0,0.083993,114,114,114,0.017544,0.017544,541,0.061404,9.491228,0.083256,0.044685,0.061404,0.201754,169,0.289676,169,169,169,6,0.201754,9.491228,0.043477,6,169,169,6,0.312384,14,0.035088,18,6
4-fullins-3-7.xml.watchless.minion.gz,1,0,0.083993,114,114,114,0.017544,0.017544,541,0.061404,9.491228,0.083256,0.044685,0.061404,0.201754,154,0.289676,154,154,154,7,0.201754,9.491228,0.043477,7,154,154,7,0.284658,13,0.035088,13,7
4-fullins-4-6.xml.watchless.minion.gz,1,0,0.027976,690,690,690,0.002899,0.002899,6650,0.018841,19.275362,0.027935,0.011068,0.021739,0.172464,169,0.170563,169,169,169,6,0.172464,19.275362,0.019555,6,169,169,6,0.025414,14,0.008696,18,6
4-fullins-4-7.xml.watchless.minion.gz,1,0,0.027976,690,690,690,0.002899,0.002899,6650,0.018841,19.275362,0.027935,0.011068,0.021739,0.172464,154,0.170563,154,154,154,7,0.172464,19.275362,0.019555,7,154,154,7,0.023158,13,0.008696,13,7
4-fullins-4-8.xml.watchless.minion.gz,1,0,0.027976,690,690,690,0.002899,0.002899,6650,0.018841,19.275362,0.027935,0.011068,0.021739,0.172464,136,0.170563,136,136,136,8,0.172464,19.275362,0.019555,8,136,136,8,0.020451,9,0.008696,13,8
4-fullins-5-5.xml.watchless.minion.gz,1,0,0.008997,4146,4146,4146,0.000482,0.000482,77305,0.00603,37.291365,0.008995,0.003157,0.007477,0.167631,184,0.27407,184,184,184,5,0.167631,37.291365,0.008725,5,184,184,5,0.00238,17,0.00193,21,5
4-fullins-5-6.xml.watchless.minion.gz,1,0,0.008997,4146,4146,4146,0.000482,0.000482,77305,0.00603,37.291365,0.008995,0.003157,0.007477,0.167631,169,0.27407,169,169,169,6,0.167631,37.291365,0.008725,6,169,169,6,0.002186,14,0.00193,18,6
4-fullins-5-7.xml.watchless.minion.gz,1,0,0.008997,4146,4146,4146,0.000482,0.000482,77305,0.00603,37.291365,0.008995,0.003157,0.007477,0.167631,154,0.27407,154,154,154,7,0.167631,37.291365,0.008725,7,154,154,7,0.001992,13,0.00193,13,7
4-fullins-5-8.xml.watchless.minion.gz,1,0,0.008997,4146,4146,4146,0.000482,0.000482,77305,0.00603,37.291365,0.008995,0.003157,0.007477,0.167631,136,0.27407,136,136,136,8,0.167631,37.291365,0.008725,8,136,136,8,0.001759,9,0.00193,13,8
4-insertions-3-3.xml.watchless.minion.gz,1,0,0.050633,79,79,79,0.025316,0.025316,156,0.037975,3.949367,0.049992,0,0.050633,0.164557,324,0.450984,324,324,324,3,0.164557,3.949367,0.013793,3,324,324,3,2.076923,32,0.037975,33,3
4-insertions-3-4.xml.watchless.minion.gz,1,0,0.050633,79,79,79,0.025316,0.025316,156,0.037975,3.949367,0.049992,0,0.050633,0.164557,263,0.450984,263,263,263,4,0.164557,3.949367,0.013793,4,263,263,4,1.685897,26,0.037975,27,4
4-insertions-4-3.xml.watchless.minion.gz,1,0,0.015945,475,475,475,0.004211,0.004211,1795,0.010526,7.557895,0.015911,0,0.016842,0.166316,324,0.331519,324,324,324,3,0.166316,7.557895,0.008453,3,324,324,3,0.180501,32,0.008421,33,3
4-insertions-4-4.xml.watchless.minion.gz,1,0,0.015945,475,475,475,0.004211,0.004211,1795,0.010526,7.557895,0.015911,0,0.016842,0.166316,263,0.331519,263,263,263,4,0.166316,7.557895,0.008453,4,263,263,4,0.146518,26,0.008421,27,4
4-insertions-4-5.xml.watchless.minion.gz,1,0,0.015945,475,475,475,0.004211,0.004211,1795,0.010526,7.557895,0.015911,0,0.016842,0.166316,184,0.331519,184,184,184,5,0.166316,7.557895,0.008453,5,184,184,5,0.102507,17,0.008421,21,5
5-fullins-3-6.xml.watchless.minion.gz,1,0,0.067227,154,154,154,0.012987,0.012987,792,0.051948,10.285714,0.06679,0.039801,0.045455,0.175325,169,0.274114,169,169,169,6,0.175325,10.285714,0.038464,6,169,169,6,0.213384,14,0.025974,18,6
5-fullins-3-7.xml.watchless.minion.gz,1,0,0.067227,154,154,154,0.012987,0.012987,792,0.051948,10.285714,0.06679,0.039801,0.045455,0.175325,154,0.274114,154,154,154,7,0.175325,10.285714,0.038464,7,154,154,7,0.194444,13,0.025974,13,7
5-fullins-3-8.xml.watchless.minion.gz,1,0,0.067227,154,154,154,0.012987,0.012987,792,0.051948,10.285714,0.06679,0.039801,0.045455,0.175325,136,0.274114,136,136,136,8,0.175325,10.285714,0.038464,8,136,136,8,0.171717,9,0.025974,13,8
5-fullins-4-6.xml.watchless.minion.gz,1,0,0.019377,1085,1085,1085,0.001843,0.001843,11395,0.013825,21.004608,0.019359,0.008712,0.013825,0.147465,169,0.158896,169,169,169,6,0.147465,21.004608,0.014867,6,169,169,6,0.014831,14,0.00553,18,6
5-fullins-4-7.xml.watchless.minion.gz,1,0,0.019377,1085,1085,1085,0.001843,0.001843,11395,0.013825,21.004608,0.019359,0.008712,0.013825,0.147465,154,0.158896,154,154,154,7,0.147465,21.004608,0.014867,7,154,154,7,0.013515,13,0.00553,13,7
5-fullins-4-8.xml.watchless.minion.gz,1,0,0.019377,1085,1085,1085,0.001843,0.001843,11395,0.013825,21.004608,0.019359,0.008712,0.013825,0.147465,136,0.158896,136,136,136,8,0.147465,21.004608,0.014867,8,136,136,8,0.011935,9,0.00553,13,8
5-fullins-4-9.xml.watchless.minion.gz,1,0,0.019377,1085,1085,1085,0.001843,0.001843,11395,0.013825,21.004608,0.019359,0.008712,0.013825,0.147465,96,0.158896,96,96,96,9,0.147465,21.004608,0.014867,9,96,96,9,0.008425,10,0.00553,11,9
abb313GPIA-10.xml.watchless.minion.gz,1,0,0.044047,1557,1557,1557,0.001285,0.001285,65390,0.043674,83.994862,0.044019,0.440231,0.041105,0.076429,104,1.089224,104,104,104,10,0.096981,68.53693,0.012787,10,104,104,10,0.00159,8,0,11,10
abb313GPIA-5.xml.watchless.minion.gz,1,0,0.044047,1557,1557,1557,0.001285,0.001285,65390,0.043674,83.994862,0.044019,0.440231,0.041105,0.076429,184,1.089224,184,184,184,5,0.096981,68.53693,0.012787,5,184,184,5,0.002814,17,0,21,5
abb313GPIA-7.xml.watchless.minion.gz,1,0,0.044047,1557,1557,1557,0.001285,0.001285,65390,0.043674,83.994862,0.044019,0.440231,0.041105,0.076429,154,1.089224,154,154,154,7,0.096981,68.53693,0.012787,7,154,154,7,0.002355,13,0,13,7
abb313GPIA-8.xml.watchless.minion.gz,1,0,0.044047,1557,1557,1557,0.001285,0.001285,65390,0.043674,83.994862,0.044019,0.440231,0.041105,0.076429,136,1.089224,136,136,136,8,0.096981,68.53693,0.012787,8,136,136,8,0.00208,9,0,13,8
abb313GPIA-9.xml.watchless.minion.gz,1,0,0.044047,1557,1557,1557,0.001285,0.001285,65390,0.043674,83.994862,0.044019,0.440231,0.041105,0.076429,96,1.089224,96,96,96,9,0.096981,68.53693,0.012787,9,96,96,9,0.001468,10,0,11,9
aim-100-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,154,0.071919,100,100,100,0.029935,0.029935,154,0.05,4.61,0.0712,0.300758,0.07,0.11,114,0.796046,131.24026,136,273,2,0.14,7.12,0.016204,2,121,121,2,0.852209,11.25,0.05,13,2
aim-100-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,156,0.071717,100,100,100,0.029936,0.029936,156,0.05,4.67,0.071,0.291397,0.07,0.09,114,0.795805,127.647436,128,260,2,0.11,7.1,0.013229,2,114,121,2,0.818253,11,0.04,12.8,2
aim-100-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,156,0.074141,100,100,100,0.03,0.03,156,0.05,4.68,0.0734,0.292261,0.07,0.09,114,0.795776,126.884615,128,257,2,0.12,7.34,0.015951,2,114,121,2,0.813363,11,0.05,13,2
aim-100-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,157,0.073333,100,100,100,0.03,0.03,157,0.05,4.71,0.0726,0.283001,0.07,0.11,114,0.795656,125.949045,128,273,2,0.13,7.26,0.01671,2,114,121,2,0.802223,11.25,0.04,13,2
aim-100-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,157,0.082828,100,100,100,0.03,0.03,157,0.06,4.71,0.082,0.256906,0.08,0.13,114,0.795656,127.726115,136,273,2,0.13,8.2,0.019079,2,114,121,2,0.813542,11,0.04,13,2
aim-100-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,150,0.078788,100,100,100,0.029867,0.029867,150,0.05,4.48,0.078,0.244708,0.08,0.13,114,0.796552,136.14,136,273,2,0.15,7.8,0.019131,2,121,121,2,0.9076,11.25,0.04,13.222222,2
aim-100-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,152,0.080404,100,100,100,0.029934,0.029934,152,0.05,4.55,0.0796,0.262989,0.08,0.1,114,0.796287,130.105263,136,273,2,0.12,7.96,0.017025,2,121,121,2,0.855956,11,0.04,13,2
aim-100-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,157,0.08202,100,100,100,0.029873,0.029873,157,0.06,4.69,0.0812,0.233664,0.08,0.12,114,0.79571,130.146497,136,266,2,0.14,8.12,0.018126,2,121,121,2,0.828959,11,0.05,13,2
aim-100-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,194,0.090505,100,100,100,0.029948,0.029948,194,0.07,5.81,0.0896,0.256198,0.09,0.11,114,0.791291,127.85567,128,257,2,0.11,8.96,0.011307,2,121,121,2,0.65905,11.833333,0.06,13,2
aim-100-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,197,0.093737,100,100,100,0.029898,0.029898,197,0.07,5.89,0.0928,0.266276,0.09,0.12,114,0.790977,129.040609,136,260,2,0.12,9.28,0.011232,2,121,121,2,0.655028,11.833333,0.07,13,2
aim-100-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,191,0.089899,100,100,100,0.029948,0.029948,191,0.06,5.72,0.089,0.240865,0.09,0.1,114,0.791635,132.303665,136,273,2,0.12,8.9,0.01253,2,121,121,2,0.692689,11.833333,0.06,13,2
