@RELATION 'FEATURE_VALUES-SAT12-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC

@DATA
SAT-Race-2010-CNF/cryptography/mizh/md5_48_3.cnf,1,0.9718,0.6085,0.0385,1.5064,2.3627,0.0205,0.4883,157349,0.0485,0.1696,0.0002,0.0005,0.1579,0.0001,0,0.5909
SAT_RACE2008/post-c32s-gcdm16-22.cnf,1,1.6455,1.2728,0.1052,8.085,2.6941,0.061,1.2705,98894,0.084,0.1443,0.0008,0.0022,0.26,0.0001,0,1.0073
SAT_RACE2008/post-c32s-ss-8.cnf,1,1.76,1.065,0.124,2.9061,2.1911,0.19,0.8326,65966,0.1335,0.2086,0.002,0.003,0.217,0.0001,0.0001,1.2377
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_kkb_unknown.cnf,1,1.8364,1.515,0.0506,0.0891,4.8535,0.0314,1.116,697544,0.1562,0.0454,0.0006,0.0011,0.3768,0,0,2.39
SAT-Race-2010-CNF/mixed/bioinf/q_query_3_l48_lambda.cnf,1,3.1041,1.4973,0.1635,3.1589,3.0333,0.3658,1.9526,73221,0.126,0.1138,0.0039,0.0041,1,0.0002,0,1.2379
SAT_Competition2007/industrial/industrial/manolios/manol-pipe-g10bidw.cnf,1,2.7152,1.548,0.1496,5.0535,2.9175,0.1729,1.4393,302951,0.1496,0.1295,0.0014,0.0031,0.4628,0,0,1.923
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-c7bidw_i.cnf,1,2.9052,1.5143,0.1516,4.8307,3.0647,0.1711,1.4341,169202,0.1473,0.1328,0.0041,0.0086,0.443,0.0001,0,1.8133
SAT_Competition2009/APPLICATION/SAT07/industrial/grieu/vmpc_24.cnf,1,0.3614,0.0058,0.0021,0,0.7668,0.5229,0.086,67872,0,0.0085,0.0045,0.0046,0,0.0045,0.0013,0.0058
SAT_RACE2006/SAT-Race_TS_1/simon-mixed-s02bis-01.cnf,1,2.4435,1.552,0.1231,0.1466,2.6774,0.1386,0.5487,14244,0.0259,0.1484,0.0072,0.016,0.0827,0.0006,0.0013,1.6283
SAT_Competition2011/SAT-Race-2010-CNF/software-verification/nec/hard-25-U-7061.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_Competition2011/SAT09/APPLICATIONS/satComp09_BioInstances/rbcl_xits_08_UNSAT.cnf,1,2.6677,1.086,0.2792,0.675,4.1294,0.2882,0.9001,67183,0.0232,0.0114,0.0096,0.0189,0.1719,0.0035,0.0001,0.8587
SAT_RACE2006/SAT-Race-Benchmarks/ibm-2004-1_31_2-k25.cnf,1,3.3454,0.9423,0.1366,2.6433,3.4864,0.1777,0.7595,54690,0.0849,0.1562,0.002,0.0042,0.3221,0.0002,0.0001,0.8578
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_f_unknown.cnf,1,1.6787,1.4593,0.0395,0.0534,4.9338,0.0227,1.0746,760817,0.1493,0.0416,0.0006,0.0011,0.3432,0,0,2.4028
SAT_Competition2009/APPLICATION/SAT_RACE06/manol-pipe-c6nidw_i.cnf,1,2.9405,1.3359,0.1548,4.7944,3.1408,0.1757,1.2956,123377,0.1482,0.1341,0.0027,0.0067,0.439,0.0001,0,1.5948
SAT_Competition2007/industrial/industrial/anbulagan/medium-sat/total-5-17-s.cnf,1,3.0643,0.5586,0.1595,1.9531,2.8214,0.2463,0.5364,551972,0.0317,0.1628,0.0001,0.0001,0.2021,0,0,0.5332
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-f10ni.cnf,1,2.8303,1.7985,0.1523,5.5414,2.9222,0.1969,1.6184,456317,0.1481,0.1236,0.0016,0.0034,0.435,0,0,2.1584
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bc57sensorsp2-tseitin.cnf,1,2.8716,1.9496,0.136,3.0739,2.8718,0.1862,1.0773,80000,0.3185,0.2187,0.0127,0.0197,0.9998,0.0001,0,1.5718
SAT_RACE2008/velev-vliw-uns-4.0-9-i1.cnf,1,4.0488,7.5865,0.2587,0.1264,4.3628,0.4607,1.3152,3193200,0.3485,0.0429,0.0094,0.0187,0.5,0,0,5.2458
SAT_Competition2011/SAT07/industrial/anbulagan/hard-unsat/partial-5-11-u.cnf,1,2.8848,0.4219,0.1602,1.1328,2.5265,0.2707,0.4483,408968,0.0327,0.1882,0.0001,0.0001,0.1341,0,0,0.4355
SAT_RACE2008/post-cbmc-aes-d-r2.cnf,1,2.6334,2.0992,0.1396,55.6739,3.9039,0.0949,0.923,255997,0.4164,0.0192,0.0007,0.017,0.5,0.0001,0,1.6196
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/satComp09_BioInstances/ndhf_xits_11_UNSAT.cnf,1,2.6131,1.1579,0.2849,0.6139,4.1497,0.2881,0.9829,215680,0.0175,0.0067,0.0058,0.0114,0.1933,0.0019,0,0.9143
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_5_keyfind_1.cnf,1,1.7617,0.2778,0.0678,0.4801,2.6242,0.0496,0.2757,3748,0.1317,0.2012,0.0035,0.0091,0.135,0.0019,0.0013,0.2743
SAT_Competition2007/industrial/industrial/palacios/uts/uts-l06-ipc5-h29-unknown.cnf,1,4.2573,1.8552,0.312,11.0477,5.724,0.4002,1.6992,453005,0.4541,0.0234,0.0052,0.0055,0.5,0.0004,0,2.5013
SAT-Race-2010-CNF/mixed/jarvisalo/eq.atree.braun.12.unsat.cnf,1,2.0475,0.2991,0.0901,0.4541,2.4287,0.0776,0.5956,4834,0.072,0.241,0.005,0.0052,0.3218,0.0011,0.001,0.5948
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/partial-10-17-u.cnf,1,2.8612,0.5262,0.1632,0.9945,2.5867,0.2635,0.4989,854488,0.0292,0.1752,0,0,0.1344,0,0,0.5202
SAT_Competition2007/industrial/industrial/anbulagan/medium-unsat/dated-5-11-u.cnf,1,3.0944,0.4013,0.1552,2.1871,2.6926,0.2522,0.4251,185161,0.0323,0.1843,0.0002,0.0002,0.2037,0,0,0.4279
SAT_Competition2011/SAT02/industrial/nam/fpga-routing/k2fix_gr_rcs_w8.shuffled.cnf,1,0.0896,0.8492,0.0352,0.1567,4.8554,0.0023,0.8254,269998,0.015,0.0322,0.0013,0.002,1,0.0001,0,0.9566
SAT_RACE2006/SAT-Race-Benchmarks/simon-s03-fifo8-400.cnf,1,2.8031,0.3834,0.163,7.5232,2.8308,0.1403,0.4444,141426,0.2055,0.2155,0.0002,0.0004,0.4804,0,0,0.4898
SAT_Competition2011/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-lfsr_008_079_112-tseitin.cnf,1,3.169,4.4161,0.2535,69.0141,3.1268,0.3397,2.883,101640,0.169,0.063,0.076,0.0926,0.4995,0.0003,0.0001,4.5264
SAT_Competition2009/APPLICATION/SAT_RACE06/velev-pipe-o-uns-1.1-6.cnf,1,4.037,2.1893,0.2954,0.5216,4.6271,0.3978,1.6158,289635,0.1985,0.0402,0.0057,0.0162,0.4999,0.0002,0,1.7912
SAT_Competition2011/SAT07/industrial/IBM_FV_2002_13_rule_1/SAT_dat.k80.cnf,1,1.7922,2.1859,0.1608,1.6489,2.9998,0.1107,1.7668,122585,0.1402,0.1415,0.0023,0.0069,0.2916,0.0001,0,1.3881
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom15.cnf,1,2.3483,1.7564,0.2415,1.5656,2.5211,0.1974,1.5579,55718,0.2402,0.1817,0.0019,0.0053,0.2404,0.0001,0.0001,1.9377
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_b_unsat.cnf,1,1.7163,1.308,0.0361,0.004,5.1632,0.0223,0.9599,742878,0.1005,0.0349,0.0006,0.0011,0.2793,0,0,2.322
SAT_RACE2008/babic-dspam-vc973.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_RACE2006/SAT-Race-Benchmarks/ibm-2002-26r-k45.cnf,1,3.4492,2.889,0.2391,1.5249,3.3368,0.2369,1.9552,901822,0.0773,0.0986,0.002,0.0021,0.4749,0,0,4.1127
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/satComp09_BioInstances/rbcl_xits_12_UNKNOWN.cnf,1,2.2046,1.0769,0.3064,0.5751,3.8425,0.2424,0.968,117566,0.0251,0.0102,0.0064,0.0125,0.2005,0.0023,0.0001,0.825
SAT_RACE2008/ibm-2004-29-k25.cnf,1,3.3525,0.8601,0.1604,1.2454,3.386,0.1929,0.7651,52579,0.0927,0.1482,0.0018,0.0044,0.2987,0.0002,0.0001,0.7422
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-03.cnf,1,3.4323,2.3322,0.2476,12.3283,3.2312,0.2564,1.9696,23783,0.2878,0.1869,0.0484,0.0631,0.9992,0.0004,0,3.2754
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/dated-5-17-u.cnf,1,3.1127,0.5379,0.1573,2.0774,2.8292,0.2452,0.5205,357793,0.032,0.1666,0.0001,0.0001,0.2026,0,0,0.5231
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top22.cnf,1,2.1335,1.8918,0.1809,1.7349,2.1631,0.1582,1.58,104196,0.1749,0.1961,0.0015,0.0043,0.2397,0.0001,0.0001,1.7732
SAT-Race-2010-CNF/software-verification/nec/hard-11-U-7061.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_Competition2009/APPLICATION/SAT07/industrial/palacios/hard/safe-50-h49-unsat.cnf,1,4.1327,2.1775,0.3201,29.2074,5.697,0.4212,0.9341,769676,0.4508,0.0267,0.0055,0.0057,0.5,0.0004,0,2.5157
SAT_Competition2011/SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-18-step15.cnf,1,3.2353,2.1803,0.3145,0.0446,3.3715,0.4943,1.1339,2494752,0.4978,0.0499,0.0009,0.0009,0.5,0,0,2.5403
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-15.cnf,1,1.1936,1.5687,0.0665,1.4845,1.9084,0.0405,3.2162,200032,0.0608,0.1905,0.01,0.011,0.3002,0,0,2.6539
SAT_RACE2006/SAT-Race_TS_2/manol-pipe-c7_i.cnf,1,3.3927,1.1242,0.1738,4.5535,3.5237,0.2062,0.9875,15894,0.1513,0.1475,0.0097,0.0187,0.4353,0.0007,0.0003,1.1749
SAT_RACE2006/SAT-Race_TS_2/manol-pipe-f6nid.cnf,1,2.8613,1.3211,0.1564,5.4583,3.0606,0.1897,1.2342,166748,0.1485,0.128,0.0011,0.0022,0.4729,0.0001,0,1.6293
SAT_Competition2007/industrial/industrial/fuhs/medium/AProVE07-15.cnf,1,1.9442,0.7131,0.1129,2.3864,2.357,0.0735,1.2355,34035,0.074,0.1831,0.0079,0.0112,0.2875,0.0003,0.0001,1.0258
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bioinfo/q_query_3_L100_coli.sat.cnf,1,2.4475,2.3738,0.1599,5.5013,2.4733,0.3796,2.8925,506124,0.1019,0.0959,0.0012,0.0016,1,0,0,2.1941
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_1.025-NOTKNOWN.cnf,1,2.4951,1.2604,0.1617,2.1649,2.5028,0.185,0.735,192101,0.249,0.157,0.0011,0.0011,0.5198,0.0001,0,1.6043
SAT_Competition2007/industrial/industrial/babic/xinetd/itox_vc1033.cnf,1,1.6293,3.4168,0.0829,2.8017,1.7813,0.091,2.1869,143494,0.0793,0.2176,0.0039,0.0272,1,0,0,2.2459
SAT_RACE2008/mizh-md5-48-2.cnf,1,0.9713,0.6084,0.0385,1.5069,2.3624,0.0205,0.4882,157313,0.0485,0.1696,0.0002,0.0005,0.1579,0.0001,0,0.5909
SAT_RACE2006/SAT-Race_TS_2/miza-sr06-md5-47-03.cnf,1,0.9811,0.604,0.0385,1.5106,2.3705,0.0207,0.4858,153779,0.0485,0.1699,0.0002,0.0005,0.1579,0.0001,0,0.5862
SAT-Race-2010-CNF/software-verification/babic/dspam_dump_vc972.cnf,1,0.9825,1.7456,0.0289,0.8076,1.0642,0.0823,1.6251,682329,0.0619,0.2225,0.0009,0.0023,0.4034,0,0,1.7757
SAT_RACE2008/manol-pipe-f7nidw.cnf,1,2.8031,1.5803,0.1536,5.7814,2.9467,0.1888,1.4497,364855,0.1515,0.1255,0.001,0.0018,0.4512,0,0,1.9724
SAT_Competition2007/industrial/industrial/babic/hsatv17/hsat_vc12070.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_Competition2007/industrial/industrial/babic/xinetd/itox_vc909.cnf,1,1.6402,5.4321,0.0879,2.5842,1.8742,0.0899,2.8785,148639,0.1095,0.2108,0.0161,0.0562,1,0,0,3.7653
SAT_RACE2006/SAT-Race_TS_1/narai-vpn-10s.cnf,1,2.0392,21.041,0.1631,2.6391,1.5685,0.3423,5.7812,3193437,0.5,0.1954,0.0038,0.0127,0.5,0,0,12.5048
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bjrb07amba2andenv-tseitin.cnf,1,3.1934,2.2849,0.1293,3.218,2.996,0.1837,1.6796,99876,0.1372,0.1666,0.0016,0.0048,0.4333,0.0001,0.0001,2.1075
SAT_Competition2011/SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-12-step15.cnf,1,3.111,1.2586,0.3087,0.1213,3.2813,0.436,0.9885,932723,0.4295,0.0606,0.0008,0.0008,0.4918,0,0,1.4882
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/icbrt/icbrt1_32.cnf,1,2.2022,1.4899,0.0961,1.0804,2.09,0.1333,1.679,24515,0.0478,0.2217,0.0093,0.0197,0.3705,0.0002,0.0002,1.7125
SAT-Race-2010-CNF/mixed/diagnosis/UCG-20-10p1.cnf,1,2.9439,0.7411,0.1483,0.8793,3.0927,0.2256,0.6533,956610,0.0476,0.1442,0,0.0001,0.092,0,0,0.8457
SAT_Competition2011/SAT07/industrial/babic/hsatv17/hsat_vc12062.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_RACE2008/velev-vliw-uns-2.0-iq1.cnf,1,3.9885,3.2113,0.2492,0.4568,4.2835,0.2912,2.4185,244145,0.2028,0.0692,0.0179,0.0345,0.4654,0.0001,0,2.6766
SAT_RACE2006/SAT-Race_TS_1/velev-pipe-1.1-03.cnf,1,4.0378,3.3795,0.3272,0.7119,5.2312,0.5142,2.3481,4556085,0.3607,0.0178,0.0011,0.0043,0.5,0,0,2.4635
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/satComp09_BioInstances/rpoc_xits_12_UNKNOWN.cnf,1,2.275,1.1242,0.3078,0.5751,3.876,0.2482,0.9609,127840,0.0267,0.0094,0.0063,0.0123,0.2003,0.0023,0.0001,0.863
SAT_Competition2009/APPLICATION/SAT_RACE06/manol-pipe-f10ni.cnf,1,2.8303,1.7985,0.1523,5.5414,2.9222,0.1969,1.6184,456317,0.1481,0.1236,0.0016,0.0034,0.435,0,0,2.1584
SAT_Competition2011/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-ext_con_032_008_0256-tseitin.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_Competition2009/APPLICATION/SAT07/industrial/palacios/uts/uts-l05-ipc5-h27-unknown.cnf,1,4.2382,1.8731,0.2985,10.4181,5.473,0.3644,1.5958,267244,0.4493,0.0313,0.0076,0.0082,0.5,0.0004,0,2.5162
SAT-Race-2010-CNF/cryptography/mizh/sha0_36_5.cnf,1,0.8221,0.5124,0.0382,1.4334,2.5577,0.0189,0.5197,120346,0.0447,0.171,0.0002,0.0005,0.2106,0.0001,0,0.5015
SAT_Competition2011/SAT_RACE06/ibm-2002-21r-k95.cnf,1,3.69,1.1688,0.164,2.2757,3.6679,0.225,0.9826,432357,0.0839,0.1352,0.0003,0.0007,0.34,0,0,1.2369
