@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 5'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE c_avg_dom_cons NUMERIC
@ATTRIBUTE gr_avg_deg_vg NUMERIC

@DATA
normalized-army9-12bt.xml.mzn_AND_NODATA,1,2.154135,0.464223,11.157895,5.179756,68.105263
normalized-22s-smv.xml.mzn_AND_NODATA,1,2.203509,0.453822,7.934002,3.56741,12.895572
normalized-aim-200-2-0-3.xml.mzn_AND_NODATA,1,1.5,0.666667,3.9975,2.665,6.73
normalized-aim-100-2-0-sat-2_ext.xml.mzn_AND_NODATA,1,1.333333,0.75,3.326667,2.495,5.166667
normalized-bibd-7-42-18-3-6_glb.xml.mzn_AND_NODATA,1,0.809524,1.235294,3.5,4.323529,45.5
normalized-aim-100-3-4-4.xml.mzn_AND_NODATA,1,2.2,0.454545,6.095,2.770455,10.4
normalized-5-fullins-4-6.xml.mzn_AND_NODATA,1,10.502304,0.095217,21.004608,5.169925,21.004608
normalized-army13-24ls.xml.mzn_AND_NODATA,1,1.504082,0.664858,8.208163,5.457259,130.681633
normalized-aim-200-1-6-1.xml.mzn_AND_NODATA,1,1.3,0.769231,3.3975,2.613462,5.64
normalized-bibd-6-40-20-3-8_glb.xml.mzn_AND_NODATA,1,0.786905,1.270802,3.428571,4.357035,43.285714
normalized-aim-200-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,1.331667,0.750939,3.326667,2.498123,5.146667
normalized-bibd-6-70-35-3-14_glb.xml.mzn_AND_NODATA,1,0.77619,1.288344,3.428571,4.417178,73.285714
normalized-aim-200-6-0-sat-3_ext.xml.mzn_AND_NODATA,1,2.638333,0.379027,7.24,2.744157,12.513333
normalized-aim-50-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,1.333333,0.75,3.333333,2.5,5.146667
normalized-bibd-7-35-15-3-5_glb.xml.mzn_AND_NODATA,1,0.814286,1.22807,3.5,4.298246,38.5
normalized-bibd-9-36-12-3-3_glb.xml.mzn_AND_NODATA,1,0.85,1.176471,3.6,4.235294,39.8
normalized-bibd-7-63-27-3-9_glb.xml.mzn_AND_NODATA,1,0.801587,1.247525,3.5,4.366337,66.5
normalized-bibd-8-42-21-4-9_glb.xml.mzn_AND_NODATA,1,0.829365,1.205742,3.555556,4.287081,45.666667
normalized-bibd-16-16-6-6-2_glb.xml.mzn_AND_NODATA,1,0.952206,1.050193,3.764706,3.953668,20.294118
normalized-bibd-6-100-50-3-20_glb.xml.mzn_AND_NODATA,1,0.771905,1.295497,3.428571,4.441703,103.285714
normalized-ash958GPIA-4.xml.mzn_AND_NODATA,1,6.52714,0.153206,13.05428,4,13.05428
normalized-army11-17bt.xml.mzn_AND_NODATA,1,2.186486,0.457355,11.775676,5.385661,99.372973
normalized-bf-2670-001.xml.mzn_AND_NODATA,1,1.48995,0.671164,3.349964,2.226451,4.313711
normalized-anna-8.xml.mzn_AND_NODATA,1,3.572464,0.279919,7.144928,6,7.144928
normalized-bibd-13-26-6-3-1_glb.xml.mzn_AND_NODATA,1,0.906593,1.10303,3.714286,4.09697,30.142857
normalized-bibd-7-77-33-3-11_glb.xml.mzn_AND_NODATA,1,0.798701,1.252033,3.5,4.382114,80.5
normalized-bibd-7-28-12-3-4_glb.xml.mzn_AND_NODATA,1,0.821429,1.217391,3.5,4.26087,31.5
normalized-aim-200-3-4-2.xml.mzn_AND_NODATA,1,2.2,0.454545,6.1,2.772727,10.42
normalized-bibd-8-28-14-4-6_glb.xml.mzn_AND_NODATA,1,0.84127,1.188679,3.555556,4.226415,31.666667
normalized-bibd-9-48-16-3-4_glb.xml.mzn_AND_NODATA,1,0.843056,1.186161,3.6,4.270181,51.8
normalized-bibd-6-80-40-3-16_glb.xml.mzn_AND_NODATA,1,0.774405,1.291314,3.428571,4.427364,83.285714
normalized-abb313GPIA-8.xml.mzn_AND_NODATA,1,34.268465,0.029181,68.53693,6,68.53693
normalized-bibd-11-22-10-5-4_glb.xml.mzn_AND_NODATA,1,0.893939,1.118644,3.666667,4.101695,26
normalized-3-fullins-5-5.xml.mzn_AND_NODATA,1,16.626108,0.060146,33.252217,4.643856,33.252217
normalized-bibd-10-90-27-3-6_glb.xml.mzn_AND_NODATA,1,0.847475,1.179976,3.636364,4.290822,93.909091
normalized-bibd-10-30-9-3-2_glb.xml.mzn_AND_NODATA,1,0.869697,1.149826,3.636364,4.181185,33.909091
normalized-bibd-8-56-21-3-6_glb.xml.mzn_AND_NODATA,1,0.823413,1.214458,3.555556,4.318072,59.666667
normalized-abb313GPIA-9.xml.mzn_AND_NODATA,1,34.268465,0.029181,68.53693,6.33985,68.53693
normalized-bibd-6-90-45-3-18_glb.xml.mzn_AND_NODATA,1,0.773016,1.293634,3.428571,4.435318,93.285714
normalized-bibd-16-24-9-6-3_glb.xml.mzn_AND_NODATA,1,0.931373,1.073684,3.764706,4.042105,28.294118
normalized-bibd-7-98-42-3-14_glb.xml.mzn_AND_NODATA,1,0.795918,1.25641,3.5,4.397436,101.5
normalized-aim-100-1-6-sat-2_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.93,2.441667,4.393333
normalized-bqwh-15-106-14_glb.xml.mzn_AND_NODATA,1,1.245283,0.80303,2.962264,7.300251,12.169811
normalized-bf-0432-007.xml.mzn_AND_NODATA,1,1.940385,0.515362,4.813942,2.443013,6.233654
normalized-bibd-15-21-7-5-2_glb.xml.mzn_AND_NODATA,1,0.930952,1.074169,3.75,4.028133,25.25
normalized-bibd-7-70-30-3-10_glb.xml.mzn_AND_NODATA,1,0.8,1.25,3.5,4.375,73.5
normalized-bqwh-15-106-83_ext.xml.mzn_AND_NODATA,1,3.450505,0.289813,6.69697,2.579661,6.492929
normalized-bibd-12-22-11-6-5_glb.xml.mzn_AND_NODATA,1,0.904429,1.10567,3.692308,4.082474,26.076923
normalized-bibd-15-45-24-8-12_glb.xml.mzn_AND_NODATA,1,0.905556,1.104294,3.75,4.141104,49.25
normalized-bf-1355-075.xml.mzn_AND_NODATA,1,1.597936,0.625807,3.772936,2.347495,4.948624
normalized-bqwh-18-141-15_glb.xml.mzn_AND_NODATA,1,1.219858,0.819767,2.964539,7.994046,13.702128
normalized-BlackHole-4-4-e-2_ext.xml.mzn_AND_NODATA,1,16.507326,0.060579,33.014652,2.182847,33.014652
normalized-bibd-8-70-35-4-15_glb.xml.mzn_AND_NODATA,1,0.819841,1.219748,3.555556,4.336883,73.666667
normalized-aim-50-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,1.2,0.833333,2.933333,2.444444,4.413333
normalized-BlackHole-4-4-e-9_ext.xml.mzn_AND_NODATA,1,16.507326,0.060579,33.014652,2.182847,33.014652
normalized-bibd-10-60-18-3-4_glb.xml.mzn_AND_NODATA,1,0.85303,1.172291,3.636364,4.262877,63.909091
normalized-bqwh-18-141-23_glb.xml.mzn_AND_NODATA,1,1.234043,0.810345,2.978723,8.514029,13.702128
normalized-bqwh-18-141-21_ext.xml.mzn_AND_NODATA,1,3.5,0.285714,6.794562,2.635897,6.589124
normalized-bqwh-18-141-14_ext.xml.mzn_AND_NODATA,1,3.514329,0.284549,6.820513,2.664309,6.612368
normalized-bqwh-18-141-22_ext.xml.mzn_AND_NODATA,1,3.768688,0.265344,7.339915,2.647275,7.142454
normalized-bibd-9-108-36-3-9_glb.xml.mzn_AND_NODATA,1,0.831481,1.202673,3.6,4.329621,111.8
normalized-aim-200-3-4-sat-2_ext.xml.mzn_AND_NODATA,1,1.798333,0.55607,4.728333,2.629286,7.606667
normalized-bqwh-18-141-27_ext.xml.mzn_AND_NODATA,1,3.424471,0.292016,6.641994,2.696197,6.435045
normalized-bqwh-18-141-29_ext.xml.mzn_AND_NODATA,1,3.605572,0.277349,7.010264,2.6593,6.809384
normalized-BlackHole-4-4-e-3_ext.xml.mzn_AND_NODATA,1,16.507326,0.060579,33.014652,2.182847,33.014652
normalized-bqwh-18-141-14_glb.xml.mzn_AND_NODATA,1,1.234043,0.810345,2.978723,8.43134,13.702128
normalized-4-fullins-5-8.xml.mzn_AND_NODATA,1,18.645683,0.053632,37.291365,6,37.291365
normalized-bqwh-18-141-23_ext.xml.mzn_AND_NODATA,1,3.714706,0.2692,7.226471,2.638758,7.023529
normalized-bqwh-18-141-19_glb.xml.mzn_AND_NODATA,1,1.198582,0.83432,2.943262,8.37669,13.702128
normalized-bibd-9-72-24-3-6_glb.xml.mzn_AND_NODATA,1,0.836111,1.196013,3.6,4.305648,75.8
normalized-bqwh-18-141-2_ext.xml.mzn_AND_NODATA,1,3.630339,0.275456,7.057437,2.631365,6.854197
normalized-bibd-12-44-11-3-2_glb.xml.mzn_AND_NODATA,1,0.881702,1.134171,3.692308,4.187707,48.076923
normalized-4-fullins-5-5.xml.mzn_AND_NODATA,1,18.645683,0.053632,37.291365,4.643856,37.291365
normalized-bibd-7-56-24-3-8_glb.xml.mzn_AND_NODATA,1,0.803571,1.244444,3.5,4.355556,59.5
normalized-bqwh-18-141-22_glb.xml.mzn_AND_NODATA,1,1.248227,0.801136,2.992908,8.565795,13.702128
normalized-BlackHole-4-4-e-6_ext.xml.mzn_AND_NODATA,1,16.507326,0.060579,33.014652,2.182847,33.014652
normalized-bqwh-18-141-17_ext.xml.mzn_AND_NODATA,1,3.366972,0.297003,6.524465,2.653523,6.314985
normalized-bibd-7-49-21-3-7_glb.xml.mzn_AND_NODATA,1,0.806122,1.240506,3.5,4.341772,52.5
normalized-bibd-14-26-13-7-6_glb.xml.mzn_AND_NODATA,1,0.914652,1.093312,3.733333,4.081698,30.2
normalized-bqwh-18-141-57_ext.xml.mzn_AND_NODATA,1,3.344615,0.298988,6.483077,2.668591,6.276923
normalized-bqwh-18-141-52_ext.xml.mzn_AND_NODATA,1,3.559701,0.280922,6.914925,2.632538,6.710448
normalized-bqwh-18-141-32_ext.xml.mzn_AND_NODATA,1,3.587798,0.278723,6.974702,2.679439,6.77381
normalized-bibd-7-210-60-2-10_glb.xml.mzn_AND_NODATA,1,0.790476,1.26506,3.5,4.427711,213.5
normalized-BlackHole-4-4-e-4_ext.xml.mzn_AND_NODATA,1,16.507326,0.060579,33.014652,2.182847,33.014652
normalized-bqwh-18-141-40_glb.xml.mzn_AND_NODATA,1,1.255319,0.79661,3,8.636056,13.702128
normalized-BlackHole-4-4-e-7_ext.xml.mzn_AND_NODATA,1,16.507326,0.060579,33.014652,2.182847,33.014652
normalized-bqwh-18-141-59_ext.xml.mzn_AND_NODATA,1,3.516369,0.284384,6.834821,2.657039,6.636905
normalized-bqwh-18-141-40_ext.xml.mzn_AND_NODATA,1,3.626087,0.275779,7.047826,2.674295,6.843478
normalized-bqwh-18-141-15_ext.xml.mzn_AND_NODATA,1,3.473684,0.287879,6.742857,2.615656,6.538346
normalized-bqwh-18-141-39_ext.xml.mzn_AND_NODATA,1,3.506767,0.285163,6.804511,2.643157,6.595489
normalized-bqwh-18-141-5_ext.xml.mzn_AND_NODATA,1,3.575221,0.279703,6.946903,2.661484,6.743363
normalized-bqwh-18-141-46_ext.xml.mzn_AND_NODATA,1,3.617176,0.276459,7.033479,2.646613,6.832606
normalized-bqwh-18-141-41_glb.xml.mzn_AND_NODATA,1,1.22695,0.815029,2.971631,8.074503,13.702128
normalized-bibd-6-30-15-3-6_glb.xml.mzn_AND_NODATA,1,0.795238,1.257485,3.428571,4.311377,33.285714
normalized-bqwh-18-141-10_ext.xml.mzn_AND_NODATA,1,3.521545,0.283966,6.842496,2.639827,6.641902
normalized-bqwh-18-141-71_glb.xml.mzn_AND_NODATA,1,1.219858,0.819767,2.964539,8.411776,13.702128
normalized-bqwh-18-141-29_glb.xml.mzn_AND_NODATA,1,1.22695,0.815029,2.971631,8.483281,13.702128
normalized-bqwh-18-141-73_glb.xml.mzn_AND_NODATA,1,1.234043,0.810345,2.978723,8.041954,13.702128
normalized-bqwh-18-141-19_ext.xml.mzn_AND_NODATA,1,3.606775,0.277256,7.017673,2.625821,6.821797
normalized-bqwh-18-141-36_glb.xml.mzn_AND_NODATA,1,1.219858,0.819767,2.964539,8.693469,13.702128
normalized-bqwh-18-141-7_glb.xml.mzn_AND_NODATA,1,1.234043,0.810345,2.978723,8.304943,13.702128
normalized-bqwh-18-141-6_ext.xml.mzn_AND_NODATA,1,3.487952,0.286701,6.768072,2.663778,6.560241
normalized-bqwh-18-141-79_ext.xml.mzn_AND_NODATA,1,3.319444,0.301255,6.429012,2.669262,6.219136
normalized-bqwh-18-141-72_ext.xml.mzn_AND_NODATA,1,3.375776,0.296228,6.540373,2.665207,6.329193
normalized-bqwh-18-141-49_glb.xml.mzn_AND_NODATA,1,1.241135,0.805714,2.985816,8.165316,13.702128
normalized-bqwh-18-141-7_ext.xml.mzn_AND_NODATA,1,3.5,0.285714,6.79403,2.659158,6.58806
normalized-bibd-8-56-28-4-12_glb.xml.mzn_AND_NODATA,1,0.823413,1.214458,3.555556,4.318072,59.666667
normalized-BlackHole-4-4-e-5_ext.xml.mzn_AND_NODATA,1,16.507326,0.060579,33.014652,2.182847,33.014652
normalized-bqwh-18-141-3_ext.xml.mzn_AND_NODATA,1,3.494768,0.286142,6.781764,2.618285,6.573991
normalized-bqwh-18-141-64_glb.xml.mzn_AND_NODATA,1,1.241135,0.805714,2.985816,8.315602,13.702128
normalized-bibd-11-55-15-3-3_glb.xml.mzn_AND_NODATA,1,0.866667,1.153846,3.666667,4.230769,59
normalized-bqwh-18-141-87_glb.xml.mzn_AND_NODATA,1,1.241135,0.805714,2.985816,8.571237,13.702128
normalized-bqwh-18-141-66_ext.xml.mzn_AND_NODATA,1,3.578869,0.279418,6.958333,2.621063,6.758929
normalized-BlackHole-4-4-e-8_ext.xml.mzn_AND_NODATA,1,16.507326,0.060579,33.014652,2.182847,33.014652
