@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 3'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE FORALL_POS_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC
@ATTRIBUTE LITN_LIT NUMERIC

@DATA
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.054383,37.767857,0.571996
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.064824,69.247312,0.57169
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.06941,120.185185,0.571568
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.070741,154.892183,0.571535
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.057153,147.007782,0.571752
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.045529,20.06422,0.567702
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.055619,34.067485,0.569792
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.066565,141.184805,0.571119
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,0.115635,1513.166667,0.571418
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,0,7183,0.594019
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-002-shuffled,1,0.021311,38.302326,0.580409
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-009-shuffled,1,0.072795,138.389474,0.572847
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.053165,45.268657,0.577039
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.015498,57.413793,0.583333
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.064094,68.761364,0.572063
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.059011,35.678899,0.572678
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.053035,16.878261,0.566842
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.067691,28.069767,0.569396
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-007-shuffled,1,0.151751,2118.5,0.571423
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-003-shuffled,1,0.037722,62.346939,0.578143
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-006-shuffled,1,0.050159,123.907216,0.573903
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-008-shuffled,1,0.052765,167.403101,0.573141
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,0.059641,172.669291,0.573516
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,0.051531,61.677686,0.572552
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-007-shuffled,1,0.05711,121.985782,0.571921
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,0.064395,55.043011,0.574543
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.085862,133.822511,0.572444
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,0.060657,51.866242,0.571493
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.068674,101.072993,0.57146
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.069886,117.888179,0.571455
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.070803,134.795455,0.571452
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.071521,151.767263,0.571449
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.04318,22.413333,0.572441
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.059374,34.571429,0.571921
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.075033,94.138462,0.571571
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.058414,32.3875,0.569685
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-006-shuffled,1,0.067441,82.009404,0.570869
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-008-shuffled,1,0.133358,2735.666667,0.571425
BLOCKS3i.5.3-shuffled,1,0.049447,141,0.606983
BLOCKS3ii.5.2-shuffled,1,0.052826,139,0.636961
BLOCKS3iii.5-shuffled,1,0.077929,126,0.703248
BLOCKS4ii.7.2-shuffled,1,0.117033,454,0.69301
BLOCKS4iii.7-shuffled,1,0.155799,424,0.765071
blocks_enc_2_b3_ser--opt-9_-shuffled,1,0.074396,222,0.698101
blocks_enc_2_b4_ser--opt-26_-shuffled,1,0.103973,1518,0.763818
c1_BMC_p1_k2048-shuffled,1,0.033579,1101387,0.512647
c1_BMC_p2_k1024-shuffled,1,0.066083,556139,0.512122
c1_BMC_p2_k128-shuffled,1,0.431892,79047,0.507665
c1_BMC_p2_k8-shuffled,1,0.783066,14328,0.503841
c2_Debug_s5_f1_e1_v3-shuffled,1,2.874489,21446,0.507151
c3_BMC_p1_k256-shuffled,1,0.323326,24963.5,0.487572
c3_BMC_p2_k1024-shuffled,1,0.091591,92043.5,0.483398
c3_BMC_p2_k2048-shuffled,1,0.046834,181483.5,0.482413
c3_BMC_p2_k512-shuffled,1,0.175399,47323.5,0.48507
c3_Debug_s3_f2_e2_v2-shuffled,1,0.007205,289060.5,0.677261
C432.blif_0.10_0.20_0_0_out_exact-shuffled,1,0.015983,278,0.546586
C432.blif_0.10_0.20_0_1_out_exact-shuffled,1,0.015961,278.5,0.546226
C432.blif_0.10_1.00_0_0_out_exact-shuffled,1,0.001289,296,0.548469
C432.blif_0.10_1.00_0_1_inp_exact-shuffled,1,0.001288,296.5,0.548134
C499.blif_0.10_0.20_0_0_inp_exact,1,0.015643,89.4,0.529218
C499.blif_0.10_0.20_0_0_out_exact,1,0.013372,413,0.529463
C499.blif_0.10_0.20_0_1_out_exact,1,0.013372,413,0.529288
C499.blif_0.10_1.00_0_0_inp_exact-shuffled,1,0.001547,446,0.530655
C499.blif_0.10_1.00_0_0_out_exact-shuffled,1,0.001552,444,0.530735
c4_BMC_p1_k1024-shuffled,1,0.071273,8390,0.487941
c4_BMC_p1_k2048-shuffled,1,0.036263,16614,0.487389
c4_BMC_p1_k512-shuffled,1,0.137783,4278,0.488912
c4_BMC_p2_k2048-shuffled,1,0.036263,16614,0.487389
c4_Debug_s3_f1_e1_v3-shuffled,1,5.989524,25156.5,0.508285
c4_Debug_s3_f1_e2_v3-shuffled,1,5.989524,25156.5,0.508284
c4_Debug_s3_f2_e1_v3-shuffled,1,0.078323,27181.5,0.725155
C5315.blif_0.10_0.20_0_0_inp_exact-shuffled,1,0.028519,337.5,0.556652
C5315.blif_0.10_0.20_0_0_out_exact-shuffled,1,0.027762,2614.5,0.557659
C5315.blif_0.10_0.20_0_1_inp_exact-shuffled,1,0.028515,337.5625,0.556645
C5315.blif_0.10_0.20_0_1_out_exact-shuffled,1,0.027758,2615,0.557652
C5315.blif_0.10_1.00_0_0_inp_exact-shuffled,1,0.000131,2802.5,0.557518
C5315.blif_0.10_1.00_0_0_out_exact-shuffled,1,0.000131,2801.5,0.557531
C5315.blif_0.10_1.00_0_1_inp_exact-shuffled,1,0.000131,2802.5,0.557489
c5_BMC_p1_k32-shuffled,1,0.664117,16467.5,0.507652
C6288.blif_0.10_0.20_0_0_out_exact-shuffled,1,0.006184,2285,0.569414
C6288.blif_0.10_1.00_0_0_inp_exact-shuffled,1,0.003172,2337,0.569252
C6288.blif_0.10_1.00_0_1_inp_exact-shuffled,1,0.003171,2337.5,0.569213
C6288.blif_0.10_1.00_0_1_out_exact-shuffled,1,0.003203,2310.5,0.569396
c6_BMC_p1_k1024-shuffled,1,0.031982,67844,0.514498
c6_BMC_p1_k256-shuffled,1,0.122244,17468,0.512922
c6_BMC_p2_k128-shuffled,1,0.230815,9072,0.511285
c6_BMC_p2_k2048-shuffled,1,0.016116,135012,0.514799
c6_BMC_p2_k64-shuffled,1,0.415195,4874,0.509005
C880.blif_0.10_0.20_0_0_inp_exact,1,0.010212,93.636364,0.551508
C880.blif_0.10_0.20_0_0_out_exact,1,0.008857,479.5,0.552976
C880.blif_0.10_0.20_0_1_inp_exact,1,0.010212,93.636364,0.551343
C880.blif_0.10_0.20_0_1_out_exact,1,0.008857,479.5,0.552976
C880.blif_0.10_1.00_0_0_inp_exact,1,0.009195,504.5,0.552689
C880.blif_0.10_1.00_0_0_out_exact,1,0.009419,490,0.553495
C880.blif_0.10_1.00_0_1_out_exact-shuffled,1,0.009419,490,0.553325
CHAIN23v.24-shuffled,1,0.004679,1633.5,0.743712
cmu.dme1.B-f2,1,0.160359,469,0.571333
cmu.dme1.B-f3,1,0.114317,816.5,0.571375
cmu.dme1.B-f4-shuffled,1,0.092999,1209,0.571392
cmu.dme2.B-f2,1,0.140765,601.5,0.571355
cmu.periodic.N-d2-shuffled,1,0.088237,2475,0.571412
cmu.periodic.N-d4-shuffled,1,0.108695,5629,0.571421
cmu.periodic.N-f4-shuffled,1,0.109459,6009,0.571422
comp.blif_0.10_0.20_0_0_inp_exact-shuffled,1,0.01083,76.5,0.516146
comp.blif_0.10_1.00_0_0_inp_exact-shuffled,1,0.001188,152.5,0.51712
connect_5x4_3_R-shuffled,1,0.045291,453.090909,0.366656
connect_5x4_4_W-shuffled,1,0.055098,391.272727,0.374149
connect_6x5_4_D-shuffled,1,0.046359,617.875,0.376675
connect_6x5_5_R-shuffled,1,0.055915,546.625,0.378828
connect_7x6_4_R-shuffled,1,0.041609,900.954545,0.378211
connect_7x6_6_W-shuffled,1,0.057258,725.318182,0.382138
connect_8x7_3_D-shuffled,1,0.036135,1375.586207,0.366493
connect_8x7_7_D-shuffled,1,0.057716,927.586207,0.384616
connect_9x8_3_R-shuffled,1,0.03483,1795.72973,0.36651
connect_9x8_6_D-shuffled,1,0.042567,1363.72973,0.392242
connect_9x8_8_D-shuffled,1,0.058431,1153.567568,0.386529
Core1108_tbm_02.tex.moduleQ3.2S.000007,1,0.30233,143.1,0.654185
Core1108_tbm_02.tex.moduleQ3.2S.000015,1,0.300926,142.6,0.654968
Core1108_tbm_02.tex.moduleQ3.2S.000026,1,0.304902,145.1,0.652106
Core1108_tbm_02.tex.moduleQ3.2S.000056,1,0.300623,142.6,0.654861
Core1108_tbm_02.tex.moduleQ3.2S.000077,1,0.30233,143.1,0.654185
Core1108_tbm_02.tex.moduleQ3.2S.000095,1,0.303121,144.1,0.653313
Core1108_tbm_02.tex.moduleQ3.2S.000098,1,0.304513,144.6,0.652537
Core1108_tbm_02.tex.moduleQ3.2S.000099,1,0.302423,143.6,0.653643
Core1108_tbm_02.tex.moduleQ3.2S.000108,1,0.302423,143.6,0.653643
Core1108_tbm_03.tex.module.000003,1,0.441907,67.3,0.588453
Core1108_tbm_03.tex.module.000019,1,0.425532,61.3,0.587103
Core1108_tbm_03.tex.module.000021,1,0.432341,61.3,0.585288
Core1108_tbm_03.tex.module.000023,1,0.433931,61.3,0.584127
Core1108_tbm_03.tex.module.000031,1,0.434662,62.3,0.582318
Core1108_tbm_03.tex.module.000034,1,0.43089,61.8,0.583763
Core1108_tbm_03.tex.module.000037,1,0.433526,59.4,0.583367
Core1108_tbm_03.tex.module.000038,1,0.435418,58.9,0.583851
Core1108_tbm_03.tex.module.000039,1,0.435418,58.9,0.583851
Core1108_tbm_03.tex.module.000048,1,0.431442,58.4,0.584554
Core1108_tbm_03.tex.module.000056,1,0.42698,56.4,0.583151
Core1108_tbm_03.tex.module.000057,1,0.425798,55,0.58278
Core1108_tbm_03.tex.module.000058,1,0.424588,53.6,0.5824
Core1108_tbm_03.tex.module.000064,1,0.423348,53.1,0.582012
Core1108_tbm_03.tex.module.000065,1,0.422078,52.6,0.581614
Core1108_tbm_03.tex.module.000090,1,0.426913,47.9,0.581608
Core1108_tbm_03.tex.module.000092,1,0.425606,46.5,0.583374
Core1108_tbm_03.tex.moduleQ3.2S.000002,1,0.301744,135.6,0.633607
Core1108_tbm_03.tex.moduleQ3.2S.000003,1,0.303342,136.1,0.632761
Core1108_tbm_03.tex.moduleQ3.2S.000009,1,0.303792,136.6,0.632308
Core1108_tbm_03.tex.moduleQ3.2S.000011,1,0.301398,135.6,0.633503
Core1108_tbm_03.tex.moduleQ3.2S.000018,1,0.301744,135.6,0.633607
Core1108_tbm_03.tex.moduleQ3.2S.000048,1,0.303792,136.6,0.632308
Core1108_tbm_09.tex.module.000008,1,0.475916,111.2,0.602804
Core1108_tbm_09.tex.module.000009,1,0.475916,111.2,0.602804
Core1108_tbm_09.tex.module.000010,1,0.475916,111.2,0.602804
Core1108_tbm_09.tex.module.000028,1,0.464789,94.7,0.600076
Core1108_tbm_09.tex.module.000033,1,0.460847,90.2,0.599114
Core1108_tbm_09.tex.moduleQ3.10S.000001,1,0.244533,292.9,0.681842
Core1108_tbm_09.tex.moduleQ3.2S.000003,1,0.243545,291.9,0.682473
Core1108_tbm_09.tex.moduleQ3.2S.000005,1,0.244533,292.9,0.681842
Core1108_tbm_09.tex.moduleQ3.2S.000007,1,0.243069,291.9,0.682232
Core1108_tbm_09.tex.moduleQ3.2S.000010,1,0.245766,294.4,0.680982
Core1108_tbm_09.tex.moduleQ3.2S.000011,1,0.244533,292.9,0.681842
Core1108_tbm_09.tex.moduleQ3.9S.000001,1,0.244533,292.9,0.681842
Core1108_tbm_21.tex.module.000008,1,0.46034,66.7,0.599697
Core1108_tbm_21.tex.module.000009,1,0.46034,66.7,0.599697
Core1108_tbm_21.tex.module.000010,1,0.46034,66.7,0.599697
Core1108_tbm_21.tex.module.000014,1,0.454545,62.2,0.598355
Core1108_tbm_21.tex.module.000017,1,0.454545,62.2,0.598355
Core1108_tbm_21.tex.module.000023,1,0.447635,57.7,0.596761
Core1108_tbm_21.tex.module.000026,1,0.456081,57.7,0.593762
Core1108_tbm_21.tex.module.000027,1,0.456081,57.7,0.593762
Core1108_tbm_21.tex.module.000030,1,0.45657,58.7,0.591845
Core1108_tbm_21.tex.module.000091,1,0.444271,38,0.589364
Core1108_tbm_21.tex.moduleQ3.2S.000002,1,0.323557,126.5,0.648345
Core1108_tbm_21.tex.moduleQ3.2S.000007,1,0.320724,124.5,0.650762
Core1108_tbm_21.tex.moduleQ3.2S.000011,1,0.321144,125,0.650255
Core1108_tbm_21.tex.moduleQ3.2S.000014,1,0.323145,126,0.648845
Core1108_tbm_21.tex.moduleQ3.2S.000015,1,0.321144,125,0.650255
Core1108_tbm_21.tex.moduleQ3.2S.000019,1,0.321144,125,0.650255
