@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE FORALL_POS_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC
@ATTRIBUTE LITN_LIT NUMERIC
@ATTRIBUTE OCCP_OCCN NUMERIC
@ATTRIBUTE NEG_HORN_CLAUSE NUMERIC
@ATTRIBUTE EXIST_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE EXIST_VARS NUMERIC
@ATTRIBUTE WOCCN_WOCC NUMERIC
@ATTRIBUTE FORALL_VARS NUMERIC
@ATTRIBUTE OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE WOCCEP_WOCC NUMERIC
@ATTRIBUTE POS_HORN NUMERIC
@ATTRIBUTE LITEN_LITN NUMERIC
@ATTRIBUTE TOTAL_VARS NUMERIC
@ATTRIBUTE W_OCCS_FORALL_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE LITERALS NUMERIC

@DATA
adder-4-sat-shuffled,1,1.049057,87,0.729904,0.370044,0.030189,3.883019,174,0.809953,106,3,0.14083,244,0.781498,280,9.018868,3110
adder-6-sat-shuffled,1,1.052423,205.5,0.75084,0.331842,0.019063,4.399523,411,0.829222,237,3.091049,0.123948,570,0.805335,648,9.616034,8039
adder-8-sat-shuffled,1,1.053136,374,0.766531,0.30458,0.013937,4.839721,748,0.842999,420,3.131849,0.112944,1032,0.821982,1168,9.9,15668
adder-8-unsat-shuffled,1,0.377768,485,0.838756,0.192241,0.001737,9.205818,970,0.902284,212,3.106599,0.08235,1032,0.963248,1182,8.207547,22773
aim-100-1_6-yes1-3-50-shuffled,1,0.306905,177,0.594819,0.681185,0.530691,1.792839,354,0.642786,100,1.722467,0.304989,700,0.749129,454,4.8,1930
aim-100-1_6-yes1-3-90-shuffled,1,0.360902,138,0.598672,0.670363,0.506767,1.756391,276,0.642775,100,1.768617,0.298424,583,0.748992,376,4.8,1657
aim-100-2_0-yes1-2-50-shuffled,1,0.317073,198,0.595453,0.679395,0.52492,1.78579,396,0.642534,100,1.90121,0.293681,843,0.74928,496,5.98,2331
aim-100-2_0-yes1-2-90-shuffled,1,0.359375,161,0.598456,0.670968,0.50601,1.757212,322,0.642495,100,1.971564,0.288118,732,0.749194,422,5.98,2072
aim-100-3_4-yes1-1-90-shuffled,1,0.367626,230,0.599193,0.668912,0.504317,1.753957,460,0.642523,100,2.482143,0.264192,1219,0.750241,560,10.22,3468
aim-100-6_0-yes1-1-90-shuffled,1,0.369092,362,0.599539,0.667948,0.498561,1.752158,724,0.642796,100,2.951456,0.246211,2142,0.749519,824,17.96,6073
aim-100-6_0-yes1-3-90-shuffled,1,0.370066,361,0.599473,0.668132,0.501645,1.752467,722,0.642655,100,2.958637,0.246033,2134,0.75,822,18,6072
aim-100-6_0-yes1-4-90-shuffled,1,0.369852,361,0.599505,0.668043,0.500412,1.751236,722,0.6427,100,2.952555,0.246112,2135,0.749518,822,17.96,6060
aim-200-1_6-yes1-2-90-shuffled,1,0.360387,281,0.598505,0.670829,0.503351,1.760238,562,0.642083,200,1.762467,0.29806,1193,0.751748,762,4.84,3345
aim-200-1_6-yes1-4-90-shuffled,1,0.359643,282,0.598265,0.6715,0.509308,1.760238,564,0.641736,200,1.757853,0.298532,1188,0.752,764,4.83,3343
aim-200-2_0-yes1-2-90-shuffled,1,0.360961,322,0.59894,0.669618,0.504505,1.757958,644,0.642685,200,1.971564,0.287235,1469,0.750101,844,6.01,4149
aim-200-3_4-yes1-1-90-shuffled,1,0.367207,459.5,0.599278,0.668675,0.505586,1.754595,919,0.642646,200,2.479893,0.264326,2431,0.75012,1119,10.19,6925
aim-200-3_4-yes1-4-90-shuffled,1,0.367398,461,0.599452,0.668191,0.50018,1.753508,922,0.642734,200,2.475045,0.264035,2453,0.75,1122,10.21,6933
aim-50-1_6-yes1-1-00-shuffled,1,0.262821,114,0.590909,0.692308,0.549145,1.824786,228,0.64147,50,1.683453,0.310489,431,0.752959,278,4.92,1144
aim-50-1_6-yes1-1-90-shuffled,1,0.369369,69,0.598311,0.671371,0.501502,1.753754,138,0.640967,50,1.771277,0.296293,296,0.754032,188,4.92,829
aim-50-1_6-yes1-2-00-shuffled,1,0.246253,114,0.59071,0.692878,0.537473,1.82227,228,0.64482,50,1.679856,0.314491,428,0.740356,278,4.6,1141
aim-50-1_6-yes1-2-50-shuffled,1,0.288945,91,0.593878,0.683849,0.515075,1.791457,182,0.64513,50,1.715517,0.308854,359,0.738832,232,4.6,980
aim-50-1_6-yes1-3-00-shuffled,1,0.248927,114,0.59051,0.693452,0.555794,1.824034,228,0.643463,50,1.676259,0.314658,421,0.744048,278,4.64,1138
aim-50-1_6-yes1-4-50-shuffled,1,0.31701,88,0.594142,0.683099,0.525773,1.78866,176,0.64006,50,1.716814,0.303618,352,0.755282,226,4.92,956
aim-50-1_6-yes1-4-90-shuffled,1,0.371601,69,0.597813,0.672764,0.501511,1.752266,138,0.639629,50,1.760638,0.296774,295,0.756098,188,4.92,823
aim-50-2_0-yes1-1-90-shuffled,1,0.363855,80,0.599226,0.668821,0.510843,1.751807,160,0.642692,50,1.971429,0.286221,363,0.749596,210,6.04,1033
aim-50-2_0-yes1-2-50-shuffled,1,0.3159,101,0.594915,0.680912,0.541841,1.786611,202,0.64187,50,1.896825,0.293625,422,0.750712,252,6.04,1180
aim-50-2_0-yes1-3-90-shuffled,1,0.362981,80,0.598456,0.670968,0.504808,1.754808,160,0.642265,50,1.980952,0.287034,366,0.75,210,6.04,1036
aim-50-3_4-yes1-2-90-shuffled,1,0.366522,114,0.59919,0.668919,0.505051,1.751804,228,0.643054,50,2.492806,0.264495,604,0.748069,278,10.16,1729
aim-50-3_4-yes1-3-90-shuffled,1,0.363506,115,0.599078,0.669231,0.50431,1.752874,230,0.643328,50,2.485714,0.265072,607,0.747115,280,10.12,1736
aim-50-6_0-yes1-3-50-shuffled,1,0.358974,193.5,0.59897,0.669533,0.513622,1.757212,387,0.642693,50,2.851259,0.248316,1093,0.749597,437,17.92,3107
aim-50-6_0-yes1-4-90-shuffled,1,0.371594,179,0.599735,0.667402,0.500413,1.749794,358,0.642778,50,2.965686,0.24556,1062,0.749586,408,18,3023
biu.mv.xl_ao.bb-b001-p005-OPF05-c02.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-004-shuffled,1,0.090828,589,0.571392,0.750112,0.520317,2.151479,2945,0.583302,96,2.20125,0.409161,4998,0.931869,3041,25.666667,15618
biu.mv.xl_ao.bb-b001-p010-MIF04-c05.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,0.12517,1185.666667,0.571415,0.750041,0.508913,2.08292,7114,0.584612,235,2.495986,0.399161,13732,0.906117,7349,49.021277,42799
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,0,7543,0.588151,0.700244,0.581874,2.217683,7543,0.588151,0,1.369482,0.411849,8796,1,7543,0,25082
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-007-shuffled,1,0.049117,155.347826,0.573816,0.74272,0.515498,2.213716,14292,0.584931,91,2.351526,0.406458,25906,0.962976,14383,1484.747253,79360
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.018382,41.97561,0.577547,0.731461,0.564706,2.229412,1721,0.582333,40,1.478705,0.421936,2082,0.985955,1761,55,6164
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,0.050611,67.024691,0.57431,0.74122,0.5274,2.200349,5429,0.585139,80,2.038119,0.410014,8668,0.961711,5509,471,26376
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.046998,40.86,0.572065,0.748054,0.527745,2.215977,4086,0.585752,99,1.975149,0.414163,6298,0.964434,4185,311.393939,19316
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.049839,201.317241,0.572631,0.746325,0.50619,2.221992,29191,0.585036,144,2.578899,0.405412,57332,0.962512,29335,3421.666667,177018
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.049241,89.69863,0.572007,0.74823,0.509098,2.223643,13096,0.586315,145,2.441961,0.407409,24442,0.962929,13241,1333.268966,75548
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.054378,152.424893,0.571744,0.749035,0.502997,2.218494,35515,0.585429,232,2.670266,0.40476,71893,0.959132,35747,4620.068966,222890
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.04504,41.807339,0.571518,0.749726,0.520087,2.224891,4557,0.586653,108,2.053591,0.413397,7254,0.965957,4665,344.444444,22358
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.016249,55.242424,0.576866,0.733505,0.551117,2.244414,1823,0.58547,32,1.534232,0.417744,2247,0.987629,1855,44,6726
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-006-shuffled,1,0.045244,133.680412,0.572948,0.745358,0.510326,2.227045,12967,0.585938,96,2.384598,0.406946,23669,0.965926,13063,1220,72942
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.029851,34.254237,0.572319,0.747278,0.543881,2.239403,2021,0.585043,58,1.584416,0.418829,2522,0.977314,2079,98.068966,7702
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,0.049673,90.753425,0.571663,0.749283,0.508017,2.225375,13250,0.586496,145,2.457335,0.407041,24801,0.962622,13395,1371.268966,76846
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.055938,127.452632,0.571709,0.749142,0.505901,2.214753,24216,0.585624,189,2.594878,0.404849,47733,0.957946,24405,3111.322751,147862
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.037623,25.137931,0.568471,0.759106,0.537077,2.242094,2187,0.585096,86,1.613726,0.421049,2741,0.97144,2273,134.627907,8500
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.057064,142.669565,0.571117,0.750953,0.500587,2.217513,49221,0.585613,344,2.749279,0.404158,102159,0.957148,49565,6890.627907,317728
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-003-shuffled,1,0.073596,652,0.571386,0.750131,0.514998,2.185909,2608,0.585659,129,2.094995,0.416762,4307,0.944793,2737,10.418605,13378
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-004-shuffled,1,0.05735,59.561798,0.574747,0.739896,0.524501,2.182214,5301,0.586126,88,1.997402,0.408155,8324,0.956558,5389,510.363636,25312
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,0.053099,189.246753,0.572797,0.745819,0.505029,2.214083,29144,0.585349,153,2.569751,0.404406,57089,0.960047,29297,3630.601307,176230
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.050238,37.576271,0.571642,0.749346,0.51707,2.211322,4434,0.587556,117,2.014063,0.412291,6939,0.961985,4551,367.076923,21398
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,0.061688,70.040816,0.571528,0.749694,0.505452,2.200348,13728,0.586671,195,2.465704,0.405516,25851,0.953551,13923,1765.610256,80122
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.054383,37.767857,0.571996,0.748263,0.526159,2.200321,4230,0.586242,111,1.984335,0.412357,6553,0.958826,4341,389.081081,20126
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.064824,69.247312,0.57169,0.749201,0.51017,2.192725,12880,0.586116,185,2.440566,0.405371,24069,0.951175,13065,1743.2,74446
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.06941,120.185185,0.571568,0.749572,0.503655,2.188702,35695,0.585311,296,2.676058,0.402091,72483,0.947826,35991,5958.641892,224806
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.070741,154.892183,0.571535,0.749675,0.501827,2.187449,57465,0.584965,370,2.748267,0.401122,119519,0.946854,57835,10241.789189,370966
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.057153,147.007782,0.571752,0.749009,0.503088,2.212761,37781,0.585506,256,2.681284,0.404089,76800,0.957044,38037,5202.164063,238152
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.045529,20.06422,0.567702,0.761487,0.53401,2.222161,2187,0.584687,108,1.588671,0.422183,2714,0.96533,2295,176.074074,8434
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.055619,34.067485,0.569792,0.755027,0.513884,2.213219,5553,0.587385,162,2.155031,0.412236,9204,0.958006,5715,553.395062,28628
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.066565,141.184805,0.571119,0.750948,0.499798,2.198521,68757,0.585308,486,2.792484,0.402151,144924,0.950013,69243,11561.156379,450848
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,0.115635,1513.166667,0.571418,0.750032,0.503302,2.102006,9079,0.585457,270,2.542839,0.398862,17857,0.91327,9349,51.37037,55469
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,0,7183,0.594019,0.683448,0.599495,2.179818,7183,0.594019,0,1.220938,0.405981,7796,1,7183,0,21602
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-002-shuffled,1,0.021311,38.302326,0.580409,0.722922,0.57623,2.2,1647,0.58203,42,1.359384,0.422199,1880,0.983627,1689,57.047619,5472
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-009-shuffled,1,0.072795,138.389474,0.572847,0.745666,0.508388,2.173129,26294,0.584823,189,2.536948,0.401154,51067,0.945195,26483,4445.269841,157288
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.053165,45.268657,0.577039,0.732984,0.54358,2.168174,3033,0.583739,66,1.716683,0.413439,4211,0.959493,3099,241.969697,12578
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.015498,57.413793,0.583333,0.714286,0.583605,2.200653,1665,0.582393,28,1.346722,0.419914,1901,0.988095,1693,42.571429,5472
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.064094,68.761364,0.572063,0.74806,0.51154,2.191306,12102,0.586046,175,2.40303,0.405746,22353,0.951696,12277,1584.457143,68940
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.059011,35.678899,0.572678,0.746182,0.528422,2.184553,3889,0.58528,108,1.931449,0.413394,5917,0.955248,3997,368.111111,18066
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.053035,16.878261,0.566842,0.76416,0.542173,2.202556,1941,0.581699,114,1.523114,0.42764,2337,0.959473,2055,170.824561,7226
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.067691,28.069767,0.569396,0.756245,0.516708,2.186939,4828,0.586019,171,2.095219,0.413817,7839,0.948809,4999,563.649123,24324
biu.mv.xl_ao.bb-b003-p020-MIF02-c01.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-007-shuffled,1,0.151751,2118.5,0.571423,0.750016,0.501541,2.029803,16948,0.584729,399,2.675102,0.38808,34830,0.886184,17347,123.929825,108277
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-003-shuffled,1,0.037722,62.346939,0.578143,0.729675,0.523387,2.195775,3055,0.588681,48,1.637125,0.409469,4028,0.971273,3103,155,12042
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-006-shuffled,1,0.050159,123.907216,0.573903,0.742455,0.505741,2.209863,12019,0.586661,96,2.306727,0.405191,21383,0.962168,12115,1219,65586
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-008-shuffled,1,0.052765,167.403101,0.573141,0.744772,0.50273,2.211755,21595,0.585893,128,2.485384,0.404261,41053,0.960271,21723,2560,126482
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,0.059641,172.669291,0.573516,0.74363,0.505357,2.195378,21929,0.585549,126,2.448062,0.402771,41223,0.955073,22055,2939.444444,126598
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,0.051531,61.677686,0.572552,0.746566,0.50721,2.210968,7463,0.58811,120,2.207306,0.407292,12724,0.961106,7583,692.066667,39158
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-007-shuffled,1,0.05711,121.985782,0.571921,0.748495,0.500827,2.210683,25739,0.586249,210,2.596324,0.404055,50824,0.957049,25949,3362.92381,157382
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,0.064395,55.043011,0.574543,0.740514,0.522971,2.168518,5119,0.585655,92,1.992324,0.407854,8020,0.951213,5211,546.304348,24402
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.085862,133.822511,0.572444,0.746897,0.505087,2.149821,30913,0.584612,230,2.581318,0.398319,60868,0.935391,31143,6314.704348,188022
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-004-shuffled,1,0.060657,51.866242,0.571493,0.749803,0.508233,2.198749,8143,0.586975,156,2.298831,0.407799,14386,0.954252,8299,929.974359,44522
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.068674,101.072993,0.57146,0.749903,0.501852,2.189973,27694,0.585687,273,2.637466,0.402748,55453,0.948364,27967,4421.545788,172124
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.069886,117.888179,0.571455,0.749918,0.500977,2.188496,36899,0.585422,312,2.688829,0.401984,75190,0.947474,37211,6203.974359,233474
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.070803,134.795455,0.571452,0.749928,0.500329,2.187354,47448,0.585208,351,2.72763,0.401407,97951,0.9468,47799,8297.196581,304232
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-010-shuffled,1,0.071521,151.767263,0.571449,0.749936,0.49983,2.186445,59341,0.585033,390,2.757931,0.400955,123736,0.946272,59731,10701.574359,384398
